ParlaMint-NO_2008-05-29.ana.ud558e57	The representative Lise Christoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-05-29.ana.ud558e369	Several speakers have stressed that it is historic for a government to present, and for a national assembly to deal with, a big message on a topic as important as women in development policy. Let me thank the Stortinget for a very good cooperation on this. Although of course the government, and I, would like to take credit for what has happened, I think we must be honest enough to say that it is not certain this would have happened if it had not been for the strong pressure of active women in many parties in the Stortinget, and also from some men. This is a matter where the Storting took the initiative and wanted the Government to follow up. We've been following up, and it's been a good cooperation. I would like to say that the debate reflects consensus, and if I can say it in a ghostly way: what most of all symbolizes the consensus in the debate is that the articles of the Progress Party here would obviously qualify for membership of all Norwegian women's organisations. I guess that shows that the world is moving forward, and that we can stand together in a lot. I think the case rapporteur, Mr Ågot Valle, put a headline on the whole debate. She said, "Politics must be developed with the women's glasses on." That's what I think is at the heart of the matter -- the big, important areas that are not direct women's issues: peace, economic development, economic growth, business. The representative Samuelsen was involved in the social responsibility of business. All these questions need to be seen with ‘the women’s glasses on’. In addition, there are a number of separate women’s issues related to health, violence, education, etc. So you have to take both the specific women's questions and the broad questions, and look at everything with women's glasses on. I think that's what we should probably take most of all with us from this debate. Of course, women too are most affected by policy in the broad areas. Women in a war country are affected differently by this than men in a war country. But for both of them, almost always the most important thing is to stop the war. Any measure that contributes to it will also be an important measure for women in a war country. Women suffer more in the world under energy shortage. When the majority of India's population, for example, does not have access to electricity, it means that the work of women becomes extra heavy as a result. So something that, of course, both men and women in India will have a huge joy of, is whether we can contribute to the development of solar energy, hydropower or whatever it may be. The social responsibility of the business community is another area of this kind, where in a good number of cases, women see that they have the biggest problems, but there is a lot to learn from the broad policy. I am very happy that many people have stressed that we should not see women primarily in a victim role. There are women in some specific situation, perhaps the most closely related to rape and violence against women, and in some situations such as sexual mutilation, but above all women make up more than half the population of most countries, and these are more than able to speak their own language. They are a crucial force for any significant social relationship, not least for the economy. The World Bank has produced a report that has a title that appealed to me, and it is: «Gender Equality as Smart Economics». The essence of it is of course to see that without the leading role of women and the economic power of women, it is very difficult to imagine that a country should be able to make economic progress. It's just looking at our own country. If we hadn't gotten almost all of the women into the labour market in one generation, it's impossible to imagine that we wouldn't have been significantly reduced financially in relation to where we stand today. So the major women's policy issues are interwoven with all the policies, but there are also some specific women's issues. Here I allow myself to bring a tribute to middle-class women. I mean basically that the middle class is the most undervalued social class everywhere. We've had a tendency on the left hand side to pay tribute to the working class, and that's all right. People on the bourgeois side have tended to pay tribute to the very best. But very often it is the broad middle class that is actually the one that keeps many societies up, and that in many contexts is the most important anchoring of completely fundamental democratic values and other values. In all the societies that we know, it has been that middle-class women who have mainly been at the forefront of women's forms, those that we have seen in Norway, and those that we now see in many other countries. So is almost all other social change. It can't start with the poorest, those who have the hardest, those who don't know what to eat tomorrow, those who don't know how to scrape together enough money to hang themselves through from day to day. It is very rare that they will have enough surplus to take the social leadership to change social development. In almost every country, not least in our own, there were sanitary women, the women in business, the churches and the labour movement that brought about the social changes. Very many of these were middle class women. That is why we should not demand that all our women's policies should have immediate poverty orientation, in the sense that they should reach the very poorest immediately. Changing the broad framework for social development is also what changes women's situation, and there have been middle-class women, systematically in countries by country, who have been at the forefront of it. Let's accept that, and let's give them support in the work they do in many countries. This is a message The Stortinget has heard from me many times before: the world does not go from bad to worse. Also in women there are many things that go from good to better. Look at the educational situation. The Nepalese Constitutional Assembly decided yesterday to wind up the kingdom of Nepal with-- I think it was-- 540 against 4 votes. It's probably one of the clearest majority that's ever been on a similar question in any country. But what's not much talk about is the underlying, that girls and boys are now starting school in Nepal in exactly the same number. There's no difference. There may be a tendency for girls to end something earlier, but they all start, almost to say, a huge advance. In neighbouring Bangladesh, which is a Muslim country, which rejects the fact that it is religion that is the determining factor here, the exact same thing happens. There are now more girls than boys who start school in Muslim Bangladesh. And even more important, of course, is that this is now approaching 100 pst. both in Nepal and Bangladesh, where it is now about 90 p.m. in both countries. of the children who start school. In other words, enormous progress, and also enormous progress for equality, because in both countries, and this is among the poor countries of the world, both girls and boys are starting school. We have, in the past, been involved in the drastic revolution that is taking place in many countries by the fact that many more women are involved in politics. I think it was the case rapporteur who pointed out that it is almost 50 pst. Women in the Rwandan National Assembly, and a number of African countries now have female finance ministers, female foreign ministers, etc. - traditional power positions. If I'm going to draw out an area that I feel may have received too little attention, and where it's obvious that it's not just progress, it's violence against women. There are very few things that might be worse for a human being than to sleep at night and don't know if this is the night it should again be practiced violence against me, whether it is my husband who is the threat to me, my neighbors, or an armed group that exists in the heights around my house. Burundi, a small country in Africa, has just had a significant level of violence in and around the capital. That means that women do not sleep safely at night. So in East Timor, which I visited last week, there was violence in 2006. Not many people died, but 15 pst. of the population fled. Many of them were women, and many of them were also afraid of gender-specific violence, afraid of being raped, because society was in disintegration. I think it's very difficult for us -- for men in particular, but also of course for women in Norway who live under safe conditions -- to really feel the fear that you have in a society where there is no police, and where the military groups you see are not there to protect you, but perhaps against attacking you. As Anne Margrethe Larsen had in mind, in some cases a systematic means of winning warriors has been raped, meaning to terrorize the population. There's nothing happening because you don't have enough control over your soldiers and your ex-husbands are running around doing malicious things. It is a systematic and planned means of war - as we saw in former Yugoslavia, and as we now see in Congo, for example. There is one of the most disgusting things that exist, so let's be resolute in the fight against all those who organize rape as a means of war. Then there are a number of specific questions raised in the debate. Let me just try to answer some of them. Both Finn Martin Vallersnes and Dagfinn Højbrätten were concerned about the need for more systematic work on indicators that show whether we are going in the right direction or not. I'll share it. NORAD is in the process of developing such indicators and will provide a mid-term review in 2009 to see if we can succeed in developing indicators to measure whether or not it is moving forward. We're also looking at an equal opportunities budgeting. We are looking at how to measure whether the budget contributes to the necessary progress. We certainly share the view that many of the great advances in women's struggle are not easy to measure from minute to minute, or from day to day. It's just looking at our own society, how it's fundamentally changed in one generation. Everything about women's questions is completely different in Norway today than it was when I was a boy. It was not easy to see the changes every day or every month, although we can see today with a historical glance that there was definitely another way in terms of kindergarten, abortion, women in leadership positions, women in politics, female priests, female doctors, or whatever it might be. The fact that girls in Norway are now doing better in all the subjects at school, from doctorate to kindergarten, was at least not something I was told when I was a boy, that that was how it was going to go. The point is that it's not always easy to see final historical changes from month to month even if it goes in a positive direction, but we're going to try to measure it better than we can do today. Mr Valle asked about the Accra conference on aid issues. State Secretary Håkon A. Gulbrandsen will participate, and we will help to make the gender perspective clear. I want to attend the Doha Conference on Financing for Development, which is a major event in terms of how aid can be used sensibly in the world, and the other money relating to development, business, corruption money, etc. There, too, we are going to contribute to the inclusion of women's and gender perspective. So I distance myself from Dagfinn's claim that the government does not put education as an essential part of the policy. That's it. Norway has won in almost all international competitions – to the extent that you can talk about it – about being the best at educational assistance. So it's a very strange debate that we should be very bad in that area. We spend more money on education and health than at any other point in the development budget, so I cannot accept that claim. And we are organizing the so-called Education for All Conference here in Oslo in December, as an international symbol that Norway is not following, but on the contrary is a central country in the driving seat in terms of education assistance. On the other hand, I very much agree with Dagfinn Høybråten on the question of gender-selective abortion. I think that's an underestimated international problem. Of course, it's a moral problem that was raised here, but it's also a long-term political problem that's worth thinking about. So what happens to a society when it starts to get 85 girls for every 100 boys? It's a historical experiment we don't know from ever before. There have been many more women in war countries than men, but I don't know any historical society where there have been many more men than women. If current developments in some countries are allowed to continue over time, then once in the future, when people get older and get married, in some societies you will have a clear human surplus. I think one should also consider the social psychological and political consequences of such a development. Interestingly, this is not a phenomenon of poverty. If you are to have a child, it is often in the middle class that you want a boy to be the strongest. So it's essentially a middle-class phenomenon to promote boys and abortion girls. I therefore welcome a significantly more international debate on this. I am absolutely sure that the authorities in India and in China, which are the countries in question, are as concerned about this as we are. It's not a theme where it's appropriate to travel around with an international index finger, but a theme that is suitable for an international dialogue on what we could expect to do to reduce the problem. Finally, let me say: Ågot Valle and several others were at the Sudan Conference, which was held in Oslo 14 days ago, about the peace process in Sudan. It illustrated the problems we have with women's issues in peace processes. We don't solve the problems by pretending they don't exist. We were the ones who had to take care of and bring women from Sudan in there. There was no strong desire from the parties to the conflict to put women's issues actively on the agenda. There are very few of the central leaders on some of the sides of the conflict that are women, and there are probably even fewer of the leading peace negotiators who are women. When I was in the peace process in Sri Lanka for many years, there were no central women in that peace process, except the president of Sri Lanka. This was true either of the parties to the conflict or of the dealer. Here's a lot to do. Norway organises a major international conference for peace brokers each June. We have had considerable problems finding women who have played a central enough role in peace processes around the globe to be natural participants at such a conference. So I'm not talking about the many women who are supporters of peace processes that are active in non-governmental organisations. There's a lot of women who make a fantastic effort there, but inside the innermost core of the peace processes, where the military and other decisive decisions are made, there are few women. I think Norway will be able to do more to get more women out of these positions. Let me just say in the end that the Danish Minister for Development, Ulla Tørnes, has taken an initiative for which I have signed up as one of the strongest supporters. It's getting the so-called Millennium Goal on Equality, Millennium Goal No. Let's get three more forward. There's been a tendency to be one of the forgotten millennial goals. She has gained a broad international commitment from both politics and business to contribute to the Millennium Goal, and from the Norwegian side we are doing what we can to support the Danish initiative in this area.
ParlaMint-NO_2008-05-29.ana.ud558e409	It's going to be line change.
ParlaMint-NO_2008-05-29.ana.ud558e413	I just want to pay attention to a country that goes from bad to worse, in my opinion. It's Nicaragua, which has abortion legislation that endangers both mother's and children's lives. This has become a constellation between a radical president and former revolutionist, Ortega, and the Catholic Church. There is a country without sex education, where the number of teenage pregnancies is enormous, and where the challenge for young girls and women is depressing. I visited the country myself in January and thought it was despairing. Norway is an aid operator. We're in dialogue with the authorities. How can we change this desperate situation?
ParlaMint-NO_2008-05-29.ana.ud558e420	I have to admit, I'm not a specialist in Nicaragua. It aroused considerable international amazement, as Morten Höglund said, when Daniel Ortega, possibly to win the election, in the final phase of the election campaign launched himself as a particularly restrictive politician when it came to abortion. The alliance seen in Nicaragua, as it is also mentioned here, between a strong, conservative church and a seemingly left-wing president, is unusual on an international scale. Let me suggest that on the basis of what Morten Höglund is now presenting, I contact our ambassador in Nicaragua to discuss with him whether there are ways Norway can positively influence policy. It's not always like a raised index finger is the right way. At least I'm going to discuss with him whether there are ways we can contribute to finding a solution to what we're dealing with.
ParlaMint-NO_2008-05-29.ana.ud558e427	Several have not asked for the word for a line.
ParlaMint-NO_2008-05-29.ana.ud558e430	I would first like to thank the case rapporteur for an excellent work on this big message. I am very proud of a government that has submitted a message to the Stortinget stating that we must contribute to women being given the opportunity to take their rightful place in the development processes, and taking seriously that the Millennium Goals can never be achieved without changing the everyday life and the life situation of girls and women. Two thirds of the world's poor are women, who also underlined Anette Trettebergstien and Ågot Valle. I want to add what Valle and Trettebergstien have also said, that the government parties will put in again the 16 million. kr to the woman’s allocation cut to the revised national budget. Then I am very pleased that it was the representatives of the government parties in the Foreign Affairs Committee who insisted that the Women's Rights Assistance Action Plan, which was presented on 8 March last, I think it was, should be turned into a big message - first of all Ågot Valle, Anette Trettebergstuen and I ourselves. I can assure the President that there is a lot of rigidity in such a woman’s life, especially when it comes to putting women at the centre of development policy. I also want to commend the other parties that have participated in this. Norway has taken on specific responsibilities for the Millennium Goals 4 and 5 - reducing infant mortality and reducing the risk of death in pregnancy. There are areas in the world where the most dangerous days in life are the day you are born, and the day you, if you are a woman, create life by putting children into the world. While Angola is a nation of oil money flowing into a few, the birthplaces in Luanda, the capital, are among the worst in the world. This is a development paradox, but we don't want it like this. That is why it is necessary to focus on women in development policy. And as the Committee stresses, there has been far too poor follow-up of women and gender issues in both Norwegian and international development policies. The Committee points out that there is a need to enhance the competence of all parties involved in development cooperation and in humanitarian aid, national and global, public authorities and civil society. Therefore, both integrated actions and targeted activities for women are needed. In 1983, I was an information assistant in the Norwegian Folkehelp's TV collection «Action Human World». In a paper I edited about women, I wrote among other things.\t\t You can change the settings of the grid. \t\t \t ‘In all societies, regardless of the economic or political system, women are worse off than men. No matter what starting point we take or what living conditions variable we choose: the women are at the bottom of all the statistics. The lower the social status, the harder the women's lives. They represent the poorest of the poor. Today, women constitute the great, poor masses in developing countries, those whom development aid has not reached, the masses that have never heard of North-South negotiations or international women's conferences.» So this is 25 years ago. It could, at least almost, have been written exactly the same way today. Whatever economic and social development we have in a society, women are actually at the bottom of the social ladder, exposed to social, economic, political and cultural oppression, but that doesn't mean it's not going forward. I want to refer to what the council said about the daily, nitite work, and that basically it doesn't go from bad to worse. Today’s big news is the first of its kind in Norway, but in fact it is also true that no country is so commonly compared to us, nor has it produced a similar document. It may be said that Norway has a special responsibility - the status and role of women in Norwegian society are in many ways in a special position internationally. There is again the result of the decade's struggle for equality in the direction of the women's movements and the political parties. This is an area where Norway has a high level of credit. Therefore, our voice is also heard when we consider the situation of women in a development context. Finally, let me mention two areas in the message that I think are particularly important. Others have been involved in these fields before, so I'm not going to do this far. First, women's sexual and reproductive health: this is about everything from being able to put children into the world without risking life, to the right to safe abortions, i.e., no to knitting pinnails. It's about the right not to be sexually mutilated, and about the right to determine your own sexuality and body. All of this is also important in the context of the Millennium Goals. I must commend the representative, Mr Höglund, who took up abortion legislation in Nicaragua. It is a very frightening development we see in some countries if we also see this in connection with the lack of sexual education and a very large proportion of teenage births and teen pregnancy. The second thing I think is very important is the follow-up to UN Resolution 1325, which concerns: less violence against women in war ensures women's participation in peacebuilding activities of women's participation in peacekeeping operations in the decision-making bodies that decide on security policy issues As a member of the NATO Parliamentary Assembly, where we have finally got this on the agenda, I can say that in particular the last point is actually also very important. There must also be girls where security policy decisions are made. At the end of the day, the former prime minister and councillor Sissel Rønbeck called the oppression of women and the lack of equality here home to the ‘long ear’. Today, it is well relevant to say that: girls who are female mutilators who are coerced women who risk life when they put children to the world women who are exposed to prostitution and trafficking girls who are denied education women who are constantly exposed to violence women with the long, heavy working days are the ones who today notice this long earache. That's our challenge.
ParlaMint-NO_2008-05-29.ana.ud558e502	Let me start by thanking the case rapporteur, Mr Ågot Valle, for a very good piece of work. She has an exceptional commitment to women and their woes and well here at home and internationally, and she is clear, rightly, proud of this message. We are also the others in the Norwegian Parliament, not least we who have the background from the red-green ones. I am very proud that the Government has submitted a communication on women's rights and gender equality in development policy. Thus, we continue the work that the nation of Norway started at home several decades ago. Of course, we should not teach the world how to treat women, but we have solid experiences in gender equality that we can share with others. The government moves wisely when it says that the good thing must be promoted with speed and understanding, and that sometimes the tone must be low. I agree. However, it must never be that our own interests become crucial to whether we say off or tens. It must never be that we roar or look through our fingers because of who we're talking to or about. It must in any case be the case - in this case women's rights - that must be decisive. Some will be able to claim, rightly, that we are better at focusing on and addressing difficult issues - including lack of legal certainty for women and other suffering they have to undergo - in some countries more than in others. For example, we are much better at focusing on violations of human rights in China than in Israel. We are very strict in the tone as regards the opposition's condition in Iran -- and rightly so -- at the same time, we may be short on the guantanamo prisoners. Women have special needs in war and conflict. Such an example is the situation of women in Indian-controlled Kashmir. There are shared opinions as to whether there are 700,000 or 400,000 Indian paramilitary and military forces in the state. But everyone agrees that the conflict and military presence have meant great suffering for women in Kashmir. Amnesty International has no access to the valley. You might want to ask yourself why. However, other human rights groups estimate that a place between 7 000 and 10 000 women have been raped in the valley since 1989 - the vast majority of government forces, it is claimed. A place between 17 000 and 22,000 women have become widowed in the same period. Poverty as a result of the conflict affects women the most. There have been several people around before me. In a relatively underdeveloped part of the world, these women in Kashmir thus have to live without their husbands, who were perhaps the only income-bearing in the family. The conflict between the Kashmiri and the Indian Government has lasted for over 60 years. It should be resolved by peaceful means. We should help to solve it quickly. But violence against women in Kashmir must cease immediately. We must all be able to agree on this, and the message must be conveyed. In this context, it is important that both women are given special consideration in the conflict and that they be involved in defining the peace to be created. UN Security Council Resolution 1325 of 2000 on women, peace and security gives women the right to participate in both peace negotiations and post-conflict reconstruction. Historically, this perspective of peace building has been down-priority, but through Security Council Resolution 1325, we have established a strong global focus on this. SV and the Government take this perspective very seriously, and our action plan to meet women’s rights in peace and conflict is therefore very progressive and good. In order for women to enjoy the protection, legal certainty and peace they claim, these rights must also be valued by their own government. We have to make sure that women get involved in development, so that they can realize themselves, take education, work and make sure that there is no more harassment from their own people. We must find out that a peace that does not take women's situation into account is also not sustainable. Peace is a fundamental condition of human rights - a peace women should be involved in both creating and carrying. It cannot be expected that the peace will be very long in 50 p.m., perhaps more, of those who will carry this peace, have not been allowed to participate and decide how it should be. The government and the Minister for Development have an important and demanding task ahead of him, but he has the positive forces of the whole world behind him. Together, we're going to lift women's rights all over the world.
ParlaMint-NO_2008-05-29.ana.ud558e524	I'm just like most speakers here -- I think I've heard it -- very proud that you've got a message like this in place. I would also like to express that what has happened here is very good. I was impressed when I read the settings and saw the extensive work that had been done with comments. It was almost a message of its own. In Nybakk's contributions, it was revealed that here we have another example of how important it is for women to participate and have power. That it's this womanry that has helped to get this in place, it doesn't matter any less. It's almost an emphasis on the whole message itself. Women's rights and equality are some of the main areas of government intervention. I think that's very good. I think it is strong when it is expressed that this government believes that women's efforts and women's rights are crucial to reaching the vision for the future of the world contained in the UN's Millennium Declaration. I believe many of us, at least when you read these goals, view this as a matter of course, but the truth is that in many places in the world it's not. I think it is good that the Storting now collectively joins in to this and has done this work to get so many common comments in place. Clearly, we have major challenges in achieving the UN’s Millennium Goals, perhaps especially in areas where Norway has taken special responsibility, namely maternal mortality and infant mortality. Women's rights and equality shall have a major place in Norwegian development policy and have also had it in recent years. But it's, as the representative Trettebergstien also said, very powerful forces that you fight in many areas. The report says that in many areas one must hurry slowly, and that one must take into account or ensure that one does not close doors and close for cooperation where one is in the process. I would nevertheless like to express my opinion that this should not be a kind of sleep cushion, that we should not resort to this, that here we are in a situation where we must proceed slowly. Even if you were to have that strategy, it's important when we meet partners or others that you can assume don't have the same opinions as us, to always remember to be clear and clear. As an active member of the AUF, I have had the pleasure of participating in many democratic projects around the world, including: in Uganda and Palestine. There I have seen for myself how important it is for women to participate - to comment on one of the disagreements in the setting - and how important it is for women to be quotad. When we arranged meetings and seminars, it was obvious that the AUF's equality policy was to be based on that at least 40 pst. of one sex should be represented. As a result, women had to participate, and organisations with whom we worked had to strive to find good female representatives from different areas of the country when we were going to have seminars. I think what we've seen is that women have a much greater willingness to criticize the society in which they themselves live. I think this is about not being bound to the same degree as men, who traditionally have the power of these societies, by the same structures of power. They're not part of the male apparatus of power, so they have a lot easier also to be able to criticise it and question it. Another thing that many have mentioned, and as I would like to stress, is that women's sexual rights and reproductive health, lack of access to prevention and safe, self-determined abortion are definitely some of the major problems. Insecure abortions must be replaced by lawful and safe abortions. I think it's scary when the message describes this as one of the areas where you're really working in the back. I also find it difficult to say clearly that one of the negative forces here is the policy that the United States is pursuing towards many developing countries, where abortion projects are not supported and prevention projects are not supported, because policy is about abstinence. You might say that abstinence is a theoretical possibility for family planning, but it's not, I don't think, a particularly practical opportunity. You can also see that on the birth figures. Women's rights are also important in our neighbourhoods. Countries such as Italy, Poland, Latvia and Lithuania, which are forces within the EU, call for a negative reduction in women’s rights. I believe that this can also have negative consequences for the policies pursued in the rest of the world, if it is no longer to be such that Europe is a positive force for the development of women's rights. Otherwise, I just want to join in what many others have said. - I'm looking at the clock here. When you first start talking about these issues, there's a lot you should have said. I will end by saying that I really knew first how taboo this topic is in the world, when I was given the opportunity to attend the UN General Assembly last autumn. I attended several meetings on women's rights - reproductive health, maternal and infant mortality, etc. - where the debate was only about clean health measures, i.e. good hospitals, feeding rooms and that kind of thing. It was quite obvious that everyone steered away from talking about prevention and abortion, because so strong forces in the world don't want to talk about it. They are trying to shut it off from the public debate, but then we have to be a clear and strong voice. At the end of the day, I just want to stress what the representative of Trettebergstien said, that this is not just about women's rights. This is also about gender equality, and gender equality also for other minorities who have problems getting through in society.
ParlaMint-NO_2008-05-29.ana.ud558e552	I will first join the honor given, both to the Government, to the President, Ågot Valle, and to the entire committee. It has been very nice to sit and listen to the posts that have been so far. Here it has been said very much wisely. So this is the first message of its kind here to land. It is not similar in comparable countries. So let's hope that more now can inspire. There is clear talk when the Government says that the lack of follow-up to women’s and gender equality issues is one of the major omissions of Norwegian and international development policies, and that Norway should speak where others find it easiest to remain silent. That's something we in SV support 100 pst. There are enough areas to take off, enough of the areas where women are oppressed and discriminated against, unfortunately. Earlier today, at a meeting of the Parliamentary Network for the Rights of the Child of the Storting, we received one example. We had asked Redd Barna to tell us about the consequences of the natural disasters in Burma and China for children in particular. We wanted to know what is being done to deal with the abuse of children by UN soldiers and aid workers. The example we heard from Mozambique is not unique, but it is just as cruel and unfortunately representative of what many young women experience. A mother came to Red Children in Mozambique earlier this year and asked for help. Her 14-year-old daughter was bleeding in the heel after a failed illegal abortion for five months. She cared for her little siblings, seven in number, by prostitution for UN soldiers. This shows several things. The need to settle the positions of UN soldiers is one side. There has also been a proposal to establish a separate unit in the UN to ensure that abuse problems are taken seriously, because this is not the case in the UN so far. The need to provide access to school and health services for girls is another aspect of this issue. Reproductive rights, the right to decide over your own body, to gain control and power over your own life is also a side. In addition, we could say a lot about the right to legal and safe abortions, also seen in the light of, among other things. the experience of Nicaragua, which was taken up in place of Morten Høglund and several others. In Nicaragua, it has now been decided that no one, regardless of whether it is a low age, whether it is a rape, whether it is a risk of their own life, will have an abortion. At the other end of the scale, we know that there is probably a female deficit in the world of up to a hundred million due to selective abortions and partly also biotechnology. 80 pst. of the world's poor are women and their children. As a member of the Parliamentary Network of the Stortinge for Children's Rights, I would like to underline the child perspective. When women are discriminated against and oppressed or subjected to violence and abuse, children are also affected. Then it is easy to forget that children are not attached to their mothers or fathers. They are independent individuals with independent rights. Children have their own human rights convention. We must never forget that. We have also had experience at home in Norway from, for example, Norway. the own development and recognition of crisis centres, which may be worth reminding ourselves. Children shall be heard, taken seriously and listened to and assisted. I stress this today in this debate, because policies relating to women also have the greatest impact on children. We know that girls are particularly vulnerable and need a special focus. I fully agree with all those who have pointed out that the world's women are essentially not victims. It's e.g. worth recalling that the movement Support Centre against Incest here in Norway itself wants to use the term ‘exposed’ instead of the term ‘victim’, which often gives associations to the passive and auxiliary need. Victims also have resources, provided that the community around is conscious of asking for them and supporting them through Empowerment Strategies. A big danger is also that we create images of ourselves and the others, the others who need help from us, we please in the rich part of the world. We must maintain solidarity in terms of charity strategies. We have to hold on to the equivalence, respect and humility. We have a lot to learn from each other.
ParlaMint-NO_2008-05-29.ana.ud558e569	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 3442]]
ParlaMint-NO_2008-05-29.ana.ud558e587	The starting point for this interpellation is the World Bank's alarming announcement that 100 million people in poor U.S. countries are threatened by increasing poverty and hunger. In some countries, as in Ethiopia these days, drought has destroyed crops and led large numbers of people into acute starvation. In a number of other countries, significant increases in food prices have led to serious social unrest and conflict. The interpellation concludes with a question about a Norwegian answer to this situation: ‘Does the Government intend to take exceptional measures to prevent a world-poor famine?’ There are a number of reasons behind the sudden increase in food prices. One of them is strong growth in the use of biofuels, which captures both food products and large agricultural areas. The representative of Vallersnes was early on focusing on this problem, that ‘biofuels will not feed the hunger’, in an interview that we discussed on 8 May. I would like to take this opportunity to thank my colleague, Mr Vallersnes, for promoting this interpellation, which contributed to important clarifications not least on the criteria to be met for the sustainability and usefulness of biofuels in climate policy. What I want it to focus on in today's interpellation is what we can do to help those who are affected by the food crisis in the poor part of the world. In recent years, the number of people in absolute poverty has been reduced. Now evolution can turn around. It's not primarily because storms, such as drought or cyclones, destroy the crops, but this too creates major crises, as we've seen in the last of the cyclone-capped Burma. We now also receive alarming messages from the drought - stricken Ethiopia. The new aspect is the explosion in food prices. According to the World Bank, increased food prices can send over 100 million people into absolute poverty and severe malnutrition. Others want to take the kids out of school for the family to live. For the most vulnerable, it can mean hunger and, in the worst case, death. For the first time in 30 years, there are now food riots in several places in the world at the same time - from Haiti to Cameroon and Indonesia. The reason is the dramatic growth in food prices. The UN Food Organisation says that this crisis is the greatest they have ever faced since the organisation was established. Norway has a special responsibility. We've been making a lot of money on some of the things that contribute most to the crisis for years, namely, the increased oil prices. Now we also benefit greatly from poor country farmers through the increased fertiliser prices, as Yara's recent record results show with all manner of clarity. From the Christian People's Party we have repeatedly called for a stronger Norwegian response to this crisis situation. The government’s actions are disproportionate to the challenges. But let me give you credit for what's going on. The food aid promised to be 100 million. kr is a positive first step. But we need more. In my view, the government should take the initiative of a new deal for those who are now threatened by malnutrition and poverty. Tackling measures and reforms can improve the capacity to deal with the crisis. Firstly, I want the Government to provide much more resources to strengthen food security, especially in the most vulnerable countries. Norway should also take the initiative to reform the UN Food Programme. The UN and other actors must contribute to the development of new social security programmes, including: for the poor in the cities. The forms of support need to be more demanding and thus stimulate local agricultural production in developing countries, as we have seen that the Minister for Development has underlined. More robust food stocks are needed to better manage market fluctuations and strengthen food security in vulnerable regions, such as the United States and Japan. The UN Food Safety Special Rapporteur has pointed out. Secondly, there is a need for renewal and stricter requirements for biofuels policy, as we were well informed in the recent debate on the interpellation of Vallersnes. The quantity of maize to be used to fill a SUV tank with biofuels may be fed to one person for one year. American cars are now burning enough corn to cover the entire import needs of the 82 poor countries that the UN food programme says are threatened by food shortages. The share of US grain production going to fuel only increases. Countries that Germany plans to use high quantities of wheat for biofuels for the autumn. This isn't going to work. Food's on the plate, not on the tank! The UN, the World Bank, the OECD and Oxfam all agree that the biofuel policy of rich countries has made worse. It has taken land out of food production and contributed to increased prices. The food program believes it has contributed 10 pst. by the price increase, the IMF says 20 pst. Anyway, it's an important contributor. For a poor family in the Third World living on the edge of the plunge in food and nutrition, an increase of 10 pst is even noticed. on the body. It could mean the difference between hungry and saturated children. When biofuel production does not go beyond existing food soils, challenges related to the clearing of new land are created. Many forms of biofuel production destroy forests, grasslands and wetlands, releasing large amounts of CO2. New research shows that biofuels based on maize and soya are about twice as climate-friendly as petrol. Biofuel integration requires good certification arrangements. I therefore welcome today's SFT's message, which I also understood the Government is agreeing to, to proceed with caution and to ensure that good certification arrangements are in place. I hope that the European certification systems will be good enough, and that they will not be too much of a compromise product, where the strong business interests will dominate the outcome. I appreciate the positive signals that the Solheim Council gave during the debate on 8 May about the importance of certification. At the same time, action on the generation of second-generation biofuels is important, such as: can use food waste, forest waste and seaweed as feedstock. We are concerned about this precisely because sustainable biofuels that do not contribute to increased food prices are an important part of the response to the climate challenge. Thirdly, we need more agricultural aid for poor countries. The Bondevik II government presented an ambitious action plan for agricultural development in development policy. After the government change, the plan has not been followed up as provided by the majority of the population. I hope the Council of State can give other signals on this today. The technical advice goes very clearly in the direction that this should be followed up, and a joint foreign committee has repeatedly asked for agricultural assistance to be stepped up during this process and for the action plan to be followed up. Last autumn, a unanimous foreign committee asked for this. My impression -- I hope it can be corrected -- is that little or nothing has happened in relation to the follow-up to this. I hope that the responsible State Council today will be able to provide concrete news and concrete details of how the Government will follow up the unanimous recommendations of the Stortinget regarding agricultural aid. So far, I have focused on three follow-up areas: firstly, increased food aid and improved food security; secondly, reform of the biofuel policy; and thirdly, stepping up long-term aid for agricultural development and food production. We see the riots. We know who's hit by the food price -- it's the poorest. We know the consequences of malnutrition and hunger. It's a distress--and an injustice-- that doesn't hit us ourselves. In Norway, we foam the cream in the form of greatly increased revenues from sky-high oil and fertilizer prices. It gives us a responsibility to give a strong and solidarity handshake to those who are threatened by hunger. Exceptional measures are required. And it's urgent. I am excited to receive an update from the Council of State on how the Government is now following up both in international forums and in bilateral contexts.
