ParlaMint-NO_2008-06-20.ana.ud1237e36	The representative Per-Kristian Foss will present a draft constitution.
ParlaMint-NO_2008-06-20.ana.ud1237e107	The representative proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will propose that the morning meeting, if necessary, continue beyond the regulatory time, at 5 p.m. 16 until today's map has been processed. - No objection has been raised against the President's proposal, and it is deemed to have been adopted. At the request of the Financial Committee, the President will propose that cases be brought before the Court of Justice of the European Communities. 1 and 2 are treated as a whole. - It is deemed to have been adopted.
ParlaMint-NO_2008-06-20.ana.ud1237e138	At the request of the Finance Committee, the President will propose that the debate be limited to 2 hours and 5 minutes, and that speaking time be allocated to the groups as follows: the Working Party 45 minutes, the Advance Party 25 minutes, the Right 15 minutes, the Socialist Left Party 10 minutes, the Christian People's Party 10 minutes, the Central Party 10 minutes and the Left 10 minutes. Furthermore, the President will propose that there should be a change of line of up to five lines, with replies from the main speakers of the parties, the parliamentary leaders, the Minister of Finance and the Prime Minister, and up to three lines, with replies from other members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-06-20.ana.ud1237e145	The government has submitted some proposals for necessary changes to the government budget for 2008. The various proposals do not reflect the basic commitment that we should have a framework that ensures a stable development in the Norwegian economy. The majority of the Financial Committee endorses the Government's proposal at all points. The issues we are discussing now relate to the revision of the current year's budget. No fraction in the financial committee re-committee on all aspects of the 2008 government budget. I find, however, that the level of rematch is quite high. The opposition party launches a total of 113 proposals. None of them are part of the recommendations of the Financial Committee. The largest change in the budget is one for the health sector. The frame is expanded by just 3.5 billion kroner, which is mainly used to cover pension costs. The number of asylum seekers coming to Norway has increased sharply in 2008. It is therefore necessary to strengthen the Ministry of Labour and Inclusion’s budget by 633 million. kr. Other important changes concern the assistance framework to launch climate and forest projects of 225 million. kr. A total of 305 million people are receiving social assistance. kr. One third of these funds have been allocated to the financial committee's review of the budget. These funds shall be used to ensure a high level of collective provision in the State. Universities and universities are allowed to increase their budgets by a total of 143 million. kr. It's necessary and joyous. We have experienced a very strong economic development in this country in recent years. In practice, we talk about the strongest growth in the economy since the 1960s. The activity has increased by twice as much as normal. The unemployment rate has not been as low as at present in 20 years. Demand for our exports has increased sharply. It applies specifically to oil and other commodities. At the same time, we have witnessed cheap imports from countries that have become better integrated into world trade. Cheap imports have contributed to a low price increase. I do not say that the sitting government should have the honor of all the positive things that have happened. Economic trends in the world economy, prices that are set on international markets, and other external conditions are certainly playing a major role. However, it is beyond doubt that it is not without interest what kind of economic policy we are pursuing in Norway. Paradoxically, economic policy challenges are not reduced in good times. It's the opposite. Expectations tend to increase faster than is possible. I am very much aware of the developments we have had in the labour market in recent years. The registered unemployment rate is now 1.5 pst. Fortunately, we have experienced a dramatic fall. More than 200,000 more people have come into gainful employment since the fall of 2005. Not less than 50000 people leave the unemployment line during the same period. At the same time as many of the former unemployed have taken up work, many have joined the labour market. Labour supply has increased particularly in the younger and older age groups. Especially positive is the fact that people on social security and on retirement have got work. Both for individuals and families, it is crucial to have a job to go to. Of course, it has a lot to say for their economy. It's also completely fundamental to self-esteem. One of the most important challenges for us politicians is to make our active contribution to keeping unemployment low in this country. The Government Party is strongly committed to measures that can help us to maintain a high labour force. One of the main bets has been the construction of kindergartens. As a result, many thousands more children now have space in kindergartens than was the situation when we took over the government power barely three years ago. From 2005 to the end of 2007, the increase was 26 000 children. There's a lot to say for young children's parents -- they get the opportunity to go back to work, while making sure their children have it safe and sound in their kindergarten. When there is a high demand for labour, it may be easier than otherwise to give people with weak employment a better foothold. There has been an important reason why we have increased efforts in labour market measures and kept it at a high level despite the strong fall in the number of unemployed. This is a very important political mark. If you get the right side, the government party gets criticized because we're doing too little in the labour market. A number of important measures have been taken: Simplifications have been created in the labour immigration legislation. Workers from the new EEA countries can now start working immediately after the application for unemployment has been submitted. The disease reporting and follow-up rules have been changed. The waiting period after cessation of recovery is reduced to stimulate faster transition to work. The minimum subtraction has been increased. It stimulates particularly low income groups to increase labour input. Time-limited wage increases, qualification programmes and redundancy payments have been introduced to mobilise labour on the edge of the labour market. The curtailment of an old-age pension against labour income is liquid for 67-year-olds. The negotiated AFP solution has good work incentives. The liabilities from the right-hand side of the missing effort are low. The right's proposal, on the other hand, to increase the nursery price, which would result in a saving of 544 million. kr, will not inspire parents to search for work outside the home. On the right, however, there will be a 3 000 reduction in the number of ordinary action places. There is no doubt that this will affect those who labor the most to get a job. Such a policy is unsocial. Right, it's a good idea not to throw a stone when they're in a glass house. If we are to develop solidarity, we must have a responsible fiscal policy. It plays a role in the governance rate set by Norway Bank, which in turn has a lot to say for the economy both to individuals and businesses. Higher interest rates will increase the borrowing costs for businesses and may result in the krona being strengthened further. It may have negative effects on the profitability of export holdings. It is therefore very important to maintain the use of petroleum revenues in this budget. The progress game is in an entirely different world than the rest of the games on this question. We have far too much experience of this. On the other hand, there is a very similar perception between the current and previous government parties in view of the use of the revenues generated by the oil and gas industries. Rightly, the Left Party and the Christian People's Party are critical of the government's arrangement and argue unless oil money is spent. But in their alternative budget, the difference is small. The right-hand side uses $1 billion less than the budget that is going to be approved today. The left operates with a number of 560 million. kr. The Christian People's Party claims that they spend 115 million. less of the oil and gas revenues than the majority of the financial committee. A number of proposals from the opposition party have a very small budgetary impact in 2008. On the other hand, they will have major budgetary implications for 2009 and later years. Some of the containment proposals from the opposition party are one-time transactions. I'm thinking, for example: on a proposal from the Right and the Left concerning the sale of property. Such revenues will not be able to finance the continuation of the proposed priorities. In general, the site will lead to the disappearance of future rental income and thus to a weakening of the budget. Therefore, in view of the use of oil and gas revenues, the difference is small between the current and the previous government parties. In turn, it must mean that the difference has very little to say about what kind of interest rate we will get here in the country. The revised national budget is characterised by several crass characteristics. The largest words are used by the leader for the smallest size group. Sponheim was not gracious in the review at the time the document was submitted. He follows in the setting and writes the following: ‘The draft revised budget is almost entirely out of political priorities.’ Political editor Arne Strand commented on the vocabulary of the Left Leader in the Newspaper of 16 May: ‘Lars Sponheim believes that the revised national budget is so boringly free from politics that it is almost to fall asleep. [[VT]] Lars Sponheim must have slept well during the budgetary conferences during the years he was the Council of State." That's the way it can be said.
ParlaMint-NO_2008-06-20.ana.ud1237e214	It's going to be line change.
ParlaMint-NO_2008-06-20.ana.ud1237e217	I have to add to the story that I think the representative Sponheim was on his way across the mountain by train and was in the sleeping compartment and was awakened early, so that he was very tired when the revision was presented. But I partly agree with the representative Sponheim, just so it's said. I record that the representative Reidar Sandal boasts very unhindered about what the government has created, not least this revised budget. The Chairman of the Financial Committee has largely joined the package and is pleased with it. I don't think a lot of people in this country feel that the world is as rosy as Sandal's representative wants it to be. Among other things, we know that the waiting lists in Norwegian hospitals are increasing. We know that many more people experience coming under the concept of poverty and have major challenges. Many people find it problematic to face increased interest costs and the increased charges that this government has made. Does not the representative Sandal see any areas where it would actually have been reasonable to make an extra effort to meet some of the challenges that actually remain in society? For some challenges, must the representative Sandal see what remains?
ParlaMint-NO_2008-06-20.ana.ud1237e226	Yes, I have a progressive and radical social vision, so I'm always busy making society better, perhaps in contrast to the representative of Leirstein and some of the other representatives of his party. We're going to make improvements. And we're not in the goal. But I think it would be a sin of failure not to point out the extremely good times we have in our country, and that we can rejoice that we live in many ways at the top of a sunny realm. We have proposed extra efforts in the budget, we have dealt specifically with the health and care sector. We've actually invested more than $3.5 billion extra on that in the revised budget. It is quite consistent to have such an arrangement in a revised budget. We have moved on with a stronger effort in the area of aid and the environment, and we have invested more money in the area of public transport - to identify some important areas of our society.
ParlaMint-NO_2008-06-20.ana.ud1237e233	The worn-out campaign rhetoric from the Workers' Party that the choice is between tax relief and welfare has got its final shot at the bow. In a report presented by the Statistical Central Bureau, we see that the Right and the other bourgeois parties are right and the Workers' Party is wrong in how the dynamic tax policy works. This SSB report makes it clear that tax reliefs contribute to increased labour supply, growth and development, which means that the State is getting tax money back. I am therefore pleased that the Workers' Party's fiscal spokeswoman, Marianne Aasen Agdestein, says that she ‘will not deny that there are dynamic effects of lower taxes’. Does the representative Sandal share Aasen Agdestein's view that there may be dynamic effects of tax relief?
ParlaMint-NO_2008-06-20.ana.ud1237e247	The Labour Party and the other government parties are concerned that we should provide the public and the state with more revenue to build up the welfare arrangements in our society. In relative terms, we do that by taxing less those with the lowest income, and in relative terms taxing harder those with the most help in society. It is, and it will be, our most important course. That is why we have in the growing period we are now in, increasing the tax burden overall, in the pact with the commitment we made to elections in 2005. I want to tell the representative Sanner that there is no main strategy for us to work for tax relief. We are concerned that we should maintain good welfare, we must have significant incomes. But it's important that the tax burden is the hardest for those who have the most help in society. It's, and it's, our line forward.
ParlaMint-NO_2008-06-20.ana.ud1237e254	One year ago, the Christian People's Party promoted a proposal to reduce the day-to-day pay obligation in the case of leave from 34 to 32 weeks in the treatment of the revised national budget. Then the representative of the Labour Party, Alf E. Jakobsen, said to the undersigned: ‘ It surprises me – and it surprises me greatly – that the Christian People’s Party has a proposal to reduce the day-to-day pay obligation by permitting from 34 to 32 weeks. [[...]] Is this not an unsocial measure, which affects those who have involuntarily come into a very difficult situation, and who in my opinion should be in the group that the Christian People's Party has a desire to be part of?" In the state budget, the government itself proposes a tightening, not 32 weeks, but 30 weeks, and I have not seen anything done with what is termed an unsocial proposal, in the revised budget. So my question is, what has happened to this social proposal, from the Labour Party?
ParlaMint-NO_2008-06-20.ana.ud1237e264	I have not at any time characterized the Christian People's Party's arrangement in this field as an unsocial grip. It is true that changes have been made to this field for 2008. This is probably mainly due to the exceptional situation in the labour market, with extremely low unemployment, now down to 1.5 pst., considered as registered unemployment. But let me say that I'm actually very busy -- that's the main signal I'm going to give -- that the order of business we're not going to deal with, we're not going to touch it out of the way. It is important to maintain a network, an opportunity for security for those who are tired of entering the labour market. That's why it's my heart near not going into any weakening in this field. I believe that the representative Syversen and I can stand shoulder to shoulder about the time that will come.
ParlaMint-NO_2008-06-20.ana.ud1237e271	I am now of the opinion, I, that the country is served by a government of state that is able to sleep at night and be awake by day. Unfortunately, there does not seem to be a situation for any of today's state councils. My question to the Chair of the Financial Committee is what has become the most obvious profile of this revised national budget, namely an increase in petrol and diesel taxes of 5 and 10 øre respectively. It is consistent with what one agreed in the climate agreement would do on the 2009 State budget, in a whole where one showed that money was used for proper climate action, such as new technology and collective action. The government decided to release this, and of course it has received a lot of attention. The order of the factors does not matter in politics. I have read in the newspapers that Sandal's representative was very critical and advised others to the Government, and he has used his role and power in the Finance Committee to decorate this with 100 million. kr for collective betting - that's good. Is there any other thing the chairman of the financial committee would have liked to have come as part of the climate agreement, along with the increase in fees?
ParlaMint-NO_2008-06-20.ana.ud1237e281	Lars Sponheim often says sensible things, and I can join in the general view that he had initially, that even politicians should sleep at night and be awake a day. That principle I'm trying to work on, too. But I disagree with the representative Sponheim that the most obvious profile in the revised budget is to increase fuel taxes. It is only a very small part of the draft budget, apart from a proposal to which the representative Sponheim and the rest of the former government parties have joined. I would like to remind you that the most important profiles of this draft budget are to give more money to health and care - in the billion-dollar class - to provide more money for climate and assistance, as I call it, with 225 million. kr, and, not least, to bet on strengthening collective provision throughout the country. These are the most important profiles. I mean, we can't lose sight of that, even though the political and media noise is the biggest around the fuel prices.
ParlaMint-NO_2008-06-20.ana.ud1237e290	What struck me when I heard the message from the representative Sandal, was that there was a lot of self-confidence here at once. One could almost begin to suspect that it was comedian Ali who had taken over as a new information strategy for the Government. It can't possibly be as pink as the representative Sandal is trying to express. There are two notes where the government party distances itself from the Workers' Party and SV. There are comments about Trillemarka. My question to the leader of the finance committee is whether he thinks it is entirely right for a government party to distance itself from the government, or whether this indicates government wear, or whether this may have caused the government to pursue such a bad policy that one government party is forced to distance itself from the rest of the government.
ParlaMint-NO_2008-06-20.ana.ud1237e297	The President notes that Comedian Ali is in the newspaper columns, but he is not represented in this room.
ParlaMint-NO_2008-06-20.ana.ud1237e300	I hear what the representative Hagesetter says about self-criticism. No matter how a characterizes it, I am in favour of the assessments and the points of view that I expressed. If I were to change the script, it would have to put more emphasis on the positive aspects of the social development that we now have, especially in the economy, and especially in the labour market. Then it is directly incorrect what the representative Hageset says, that the central government party distances itself from the Labour Party and SV. It is therefore the case that the representative of the Central Party in the Financial Committee has, under two points, entered into a comment on the so-called Trillemarka Saka in Buskerud, where there is a deal between the relevant Central Party representative and the opposition in the Committee. But the central party as a party does not support that assessment. The views have been tested with the leader of the Center Party's big group. The central party - with the exception of the person named - the Labour Party and SV stand by the agreements and understanding we have when it comes to Trillemarka-saka.
ParlaMint-NO_2008-06-20.ana.ud1237e309	The cord shift is over.
ParlaMint-NO_2008-06-20.ana.ud1237e312	Some of us who have recorded that much is happening in Norwegian politics today may have been afraid that there would be a sleepy debate about revision in many ways. Anyone who has heard the first posts and the line rounds can start fooling when we've had so much focus on sleeping. But we hope it will not be the example of how the debate will proceed, because this is an important debate. The entire treatment of the revised state budget today should have brought considerable attention, because we are in the situation that we are in one of the richest countries in the world. The surplus in the state economy is estimated at around DKK 424 billion in 2008, and the oil fund will be estimated to consist of approximately EUR 424 billion. NOK 2 430 billion at the end of the year. At the same time, we experience that we have major challenges in some areas - which can be remedied if it is willful. At that time, the revision of the State budget is a real opportunity for government and growth to make an extra effort in areas where development has been seen to be in the wrong direction, based on the premises adopted last autumn in the national budget. But is the government coming with new grips? No, unfortunately, the red-green government has submitted a revised budget which is almost chemically free from politics. However, expenditure that would have come to the state budget more or less in any case, is covered, under the pretext that this is a bet. At the same time, it is ignored that there are areas of society that lack resources. The government clearly indicates that only one year before the next major elections, the majority of people have resigned. The paradox is that the government is most concerned with keeping to a considerable degree under the use of money for which the policy of action on the use of oil billions is open. This has become the main focus of the Government without delineating what economic instruments can actually be used. I strongly doubt that many of the voters who supported the government parties three years ago had this as top priority. The voters probably expected a better return of their vote than what they're about to get. But let me not turn the debate on revised into a one-sided debate on the use of oil money. For the Progress Party, it is important to regard revision as just that. There is only a revision of the budget adopted by the majority in this Chamber last autumn. We take note of the fact that our proposals in connection with the state budget treatment last autumn were voted down. So we're not going to rematch the area by area. We should have such respect for the fact that the decisions taken in the context of the State budget have a duration of at least one year until we have a new round now for the autumn. But as we see it, things can happen along the way, from the adoption of the State budget to the promotion of revision, which requires revision. Therefore, in the examination of the revised budget, the Progress Party has consistently referred to proposals which can be justified on the basis of an urgent need or on the basis of circumstances which have changed since the adoption of the State budget last autumn. With regard to the so-called use of oil money in our alternative to the revised one, we are beyond NOK 10 billion more than what the Government is now proposing. But our efforts are directed towards areas where this is fully feasible in today's economic situation. There are no coincidences that underlie our priorities. The Progress Party has three main fields of action in its alternative to the government’s revised budget. Beacon area 1, transport: In the current situation, it would be wise to use a little more funds for investment in areas where capacity is available, for example: in the construction industry. By providing more funds for this purpose, the available capacity available in the market would be used without creating pressure in the economy. At the same time, the Progress Party would like to see larger, more comprehensive offers made, so that larger European companies can also benefit, thus helping to increase the supply of labour. In addition, sensible investment in the road sector would improve the efficiency of business and the population and reduce the level of damage. This will be positive for the economy. The government's own proposals in this area in the revised budget are of no use. Transport priorities are almost absent, and in a situation where, among other things: high oil prices make the projects that have been said to be implemented more expensive. So you get less miles of road than you assumed in the state budget. Let me remind you of the considerable available capacity documented in the civil engineering sector nationally and abroad, and the opportunities available for placing asphalt work, other maintenance and new installations on international tenders, with minimal domestic demand effects. It must be possible to set higher targets for the Government’s concept of historical, as previously mentioned by the government’s spokespersons on the road network as compared to the fact that the road surface at best falls slower than before. The Party considers that maintenance must be stepped up immediately. We propose to allocate significant amounts to improve asphalt and cover improvements during the year and to other measures within the area. Action area 2, health and care: Many people waiting for treatment in Norwegian hospitals deserve action now. With fewer and fewer unemployed people and the fact that access to labour is needed in many sectors, it would be very sensible for the Government to promote proposals to invest in increased and faster patient treatment. This would allow workers waiting for an operation to have them carried out quickly either by public or private institutions, possibly abroad. As a result, savings had been made on public social welfare schemes, while the labour force had been brought back to work more quickly. This would reduce the pressure on the economy. The Progress Party is committed to ensuring adequate resources for regional health businesses, so that patient provision is strengthened, rather than the deterioration we see today. We are disappointed that the Government shows lack of action in this area. We are listening to the signals that are now coming about constantly cutting, cutting, increasing waiting times and longer waiting lists. The year’s wage settlement in the sector will further weaken the economic situation of enterprises, and the victims are patients. Even the head of the Federation has realized that the health care situation alone can overthrow the entire government of the day. So if today's government doesn't listen to patients, stakeholder organisations, employees or the Progress Party in terms of increased patient treatment efforts, you should at least listen to your biggest financial contributor. The Progress Party also believes that there is an urgent need to improve the quality and extent of care services in the country. The Progress Party will therefore propose that in the second half of the year, care for the elderly be strengthened by DKK 1.6 billion. In order to ensure that these funds go to improved care for the elderly in the current hopeless system of municipal funding and management of the care of the elderly, we have proposed that the funds be earmarked for increased staffing in the care sector. This should be done by attaching, in particular, to better medical coverage in hospitals, since this is too low in most places. Action area 3, fight against crime: Today, we have a justice sector characterised by too little visibility of police, too low an investigative and clarification share, too long a response time, too many unoccupied police positions, and a lack of budgets for investment within the police. The result of this is that we get a public space of increasing insecurity, as a result of organised recriminalism, blind violence, rapes and open light, illegal activity such as alcohol abuse. drug turnover. People experience an increasing insecurity in everyday life when the police do not stretch, to which the police should actually have the opportunity to do. The Oslo police have a particularly demanding crime scene to deal with. As the situation is now, we see a trend that goes in the opposite direction of building a safer society and a more visible and present police force. The government's strengthening of police operational budgets is insufficient to meet the real needs of the police. This applies both to fill job vacancies across the country and to maintain close police and police posts in e.g. different urban areas of Oslo. The Progress Party will therefore further strengthen the police in order to remedy the acute situation. Let me say a few words about taxes and taxes. On the tax side, the Progress Party has put forward proposals for significant cuts in the fuel and diesel taxes. Norwegian motorists and Norwegian industry are experiencing a dramatic increase in pump prices, which seriously affects the private economy and the business environment. So in this precarious situation, the government, unfortunately with the support of the Right Party, the Left Party and the Christian People's Party, chooses to increase fuel taxes. Talk about a gift package for the people! Even internally in the ranks of the government parties, many are clearly frustrated by the government's lack of willingness to see what today's high fuel prices will mean for Norway. For the Progress Party, it is important to clarify that when Norway experiences extremely high extra revenues due to high oil prices, it is appropriate to take the opportunity to reduce fuel taxes, so that most of them can be returned, as the country’s wealth is increasing significantly. But I note that the Government does not listen, nor to its own voters in this matter. Once again, in a debate on the revised budget, we find that the government parties do not, in reality, make changes to the vote in relation to the proposal promoted by the Government. Good input from organisations and businesses through the hearings of the Financial Committee shall not be heard. We record that the type of recording is largely ignored, and the government parties in the finance committee - and most likely in this room today - will automatically ring the bells on the proposals that came from the government. For the Progress Party, it is at least important to make serious recordings. We have done just that with our draft revised budget. I will deal with the proposals that the Progress Party is promoting in the vote, either alone or in conjunction with other parties.
ParlaMint-NO_2008-06-20.ana.ud1237e363	The representative Ulf Leirstein has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2008-06-20.ana.ud1237e368	A few days ago, Jan Tore Sanner here in Stortinget said that Right will never conduct an irresponsible economic policy. Right now claims that the lot will spend less on oil than the government. The Progress Party will spend many, many billion dollars more than the Government in the context of the revision of the budget. The president of the party of progress - as it is called - has said this week that she would like to reign with the Right. This must mean that the Progress Party must accept Right's economic policy. In turn, it must mean that the Progress Party must cut at least DKK 40 billion in matters proposed in the State budget, in the revised national budget and in numerous representative proposals. My question to Mr Leirstein's representative must therefore be: What kind of proposal is it that the Progress Party should cut to be accepted by the Right as a government party?
ParlaMint-NO_2008-06-20.ana.ud1237e377	I'm proud to belong to a party that takes seriously the challenges we face in society. That's why the Progress Party is a party that, in most cases, in this Chamber, promotes very concrete proposals on what we should do to bring about improvements in society that I regret to record that the government parties are doing little with. When reference is made to cooperation between the Advance Party and the Right, our starting point is that we are going to vote on the Party Programme of the Advance Party, which will be adopted at our national meeting in May next year. And then the voters get to say what kind of parties the voters want to join. And then, after getting the election results, you'll see if you're going to go into government discussions, and then see what the result is - just like the party that Sandal represents, did with today's coalition partners. After the election, negotiations were conducted with the relationship of strength, and a result and a declaration were made. The Progress Party also pursues an absolutely economical and responsible policy. So we have no problem talking to parties that want to talk to us.
ParlaMint-NO_2008-06-20.ana.ud1237e386	The Progress Party is a party that calls itself market liberal, but they want political governance of fuel prices in Norway. In the revised national budget, the Progress Party proposes to reduce the petrol and diesel tax by approximately NOK 2.50, which, according to Leirstein, will bring prices down to a reasonable fuel level. That means going from a pump price today of about 14 kroner to about 11.50 kroner. On 9 November 2005, the representative Ulf Leirstein presented another proposal in this Chamber. Then Ulf Leirstein thought that a suitable fuel price level was 8 kroner. What is it that during the two and a half years that have passed, the Progress Party believes that a fuel, petrol and diesel price increase of approximately SEK 3.50 is reasonable?
ParlaMint-NO_2008-06-20.ana.ud1237e393	If the representative Holmås had heard what I actually said in my post, he would have heard that I said that this is a revision of the budget. That means that the proposals the Progress Party is now promoting are based on precisely that, and are not rematching in all areas. This means, among other things: what we are doing with regard to fuel taxes is to assume what the government itself was most likely to be the pump price when it presented the state budget and it was adopted in this room at the end of November last year. Then it was said that according to the oil price the government intended, the pump price would be around NOK 11. We take that into account now, when we see that it's going in the wrong direction and most people experience a significant contraction in their economy due to high fuel charges. So this is just a step on the way. For the Progress Party, it is clear that we want a significant cut in the taxes and taxes that the government parties are happy to collect from the Norwegian people and from Norwegian drivers through sky-high fuel charges, through annual taxes, through one-off charges, through tolls. You take in 40, 50, 60 billion dollars a year, and you give back only a quarter for road use. It is a development the Progress Party does not support, and we will go in the opposite direction. But this concrete proposal is based on the fact that this is a revised budget.
ParlaMint-NO_2008-06-20.ana.ud1237e401	From the last point of view, I understand that there is more oil on the fire until the fall. I'm going to deal with another topic that the representative Leirstein was dealing with. That was the situation for the police. Meritfully, Leirstein faced the specific challenges of the Oslo Police. Usually the Progress Party listens to the police’s advice, and the Progress Party is in the leadership seat of this city. I also understood that the representative, Mr Leirstein, agreed that the public funds should be managed in the best possible way. The Oslo police are slaughtering the alcohol policy action plan of the Advance Party and the Right Town Council, which is a little specific to that plan. Will there be any hope that the Progress Party will listen to the police and ensure that an alcohol policy is adopted, which will reduce violence and crime than is the case today?
ParlaMint-NO_2008-06-20.ana.ud1237e410	I also note that the Progress Party sits in the City Council in Oslo thanks to - largely - good support from the Christian People's Party. That, of course, delights me. It's just that it's not obvious that everything the police bring is something you automatically jump on and say is a good idea. Nor has it been our point when we support the police in relation to increased resources. Police have to do their priorities, and, like many other agencies, Oslo police are a consultative body for the development of alcohol policy guidelines in this city. For the Progress Party, it is a starting point that you have to look at the recordings you get, and then you have to look at what is a sensible policy from a liberal point of view. We are absolutely convinced that liberal giving times, among other things, are provides for smaller taxi cows, smaller collections of people who are going home at the same time, a better flow in them. We therefore believe it would be wrong to have a significant tightening, as some representatives in Oslo and the Oslo Police want. Obviously, if the police's advice were to be followed in everything, you could probably go to the extreme to say that if you had monitored everyone's home, you might have gotten down on the crime, but there's something about actually having to weigh something in the policy you're facing.
ParlaMint-NO_2008-06-20.ana.ud1237e419	The political spokesperson of the Progress Party has great boldness - must be friends with everyone. It is quite common to meet even prisoners in prisons who feel that the Advance Party is the party for them - with a line under it. They have money for a lot of good purposes. What the Progress Party is now called just a modest adjustment is plus NOK 11 billion in the revised national budget. There are small requirements for priorities. One should not go through the loops, but either live under the parole you take it, then you take it. More money will be spent on the state budget. No one passes the Progress Party in increased appropriations. The question is gross domestic product, relative numbers, the relationship between the private sector and the public sector. Does the Progress Party believe that a person should spend relatively more on public budgets than is the government's policy?
ParlaMint-NO_2008-06-20.ana.ud1237e426	This is, as we know, the revised national budget, and our proposals take that into account. If one looks at our overall economic policy, the representative, Lundteg, also knows that we are putting it into our alternative state budget, which we are promoting every harvest. And then we're going to have a little more than a year to hope that then it's not an alternative state budget we're putting forward, but then it's the representative Lundtigen who is putting forward an alternative state budget, because we're going to present the main state budget. But now leave that debate. If you look at our priorities in such a setting, you will see that the Progress Party chooses to go in for significant cuts in a number of areas in many sectors in order to finance our additions and our priority of strengthening the budget in this way. What we spend more oil money on than other parties is on significant tax relief. We cut something like 22 billion kroner in taxes and charges in our proposal for the current year. We are very pleased with that and very proud of it, for in such a setting, as among other things. The representative, Mr Sanner, has been involved in the exchange of lines earlier today, as the new report of the SSB also shows, that it provides a dynamic tax policy that is very positive for all economic growth in Norway. It takes the Progress Party into account, and we will continue to pursue a policy in line with that.
