ParlaMint-NO_2008-11-25.ana.ud2412e74	The representative Finn Martin Vallersnes, who has been on leave, has once again taken up his seat.
ParlaMint-NO_2008-11-25.ana.ud2412e228	I am pleased that the Government has made changes to this matter earlier. I guess that's good. Now, parts of the opposition have made a proposal to further improve the system. There we have also received support from FHL, Norway’s Fiskarlag and Innovation Norway, to name a few. So there's a broad desire in the industry to make these changes. So far, the Council of State was somewhat concerned with the argument in its statement not to make this change, but I can ask the question: why does the Council of State not listen any more to the industry and to the wishes of the industry and the organisations? Because they also think completely about fisheries policy and fisheries management.
ParlaMint-NO_2008-11-25.ana.ud2412e237	In this case, the need for further flexibility must be weighed up against other considerations that we must also take into account in the fisheries policy. With regard to the opposition’s proposal to increase random fishing quotas from 20 pst. until 30 p.m., we believe that this is no longer about a random fishing system. The starting point for the random fishing system and the changes that the Government has made is that the remaining allowances should be taken in a light manner instead of being unfished, or instead of being taken at a very high cost in the form of both crowns and in the form of climate emissions. 30 pst. is one third of the quota. Then we are no longer talking about coincidences, but about increasing the negotiability in the purchase and sale of allowances. That direction does not want the Government and government parties to go in.
ParlaMint-NO_2008-11-25.ana.ud2412e244	We've already boasted of the government's new regulation, so we don't have to repeat it. Now there's the difference between the opposition and the position that's the theme, these 20 pst. and 30 pst. We heard instead that the Left argued that such an increase would lead to further overfishing, but I record that the Council of State here argues in another way, that 30 pst. is no longer a coincidence and conflicts with other important considerations. To the right, there is an important consideration that the industry is quite clear and united in this desire to increase flexibility. It might be interesting to hear the Council of State's perception of the practical consequences of increasing the share of random fishing from 20 pst. until 30 p.m., and a little bit about what other considerations the Council of State believes are so important that you cannot accept such a scheme as the whole industry wants.
ParlaMint-NO_2008-11-25.ana.ud2412e253	As I have just explained, the Government believes that 30 pst. does not refer to residues. It's actually about one third of the quota. Let me also comment on the discussion that has been around the intersection date on 1 October, and why we have chosen to keep it. This is because the fishing industry wants access to fresh fish throughout the year, and we want to ensure that fish come on land even during the autumn. When you talk about the fishing industry, you also have to listen to what the workers here are saying. The Marine Association has been concerned that increasing transferability, increasing the percentage from 20 to 30, means that the crew is at risk of losing lottery revenue. There is also a basis for the assessments made by the Government.
ParlaMint-NO_2008-11-25.ana.ud2412e262	Several have not asked for the word for a line. Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 649]]
ParlaMint-NO_2008-11-25.ana.ud2412e280	As indicated in the Committee’s opinion, the fisheries agreements concluded by Norway with other countries for 2008 and the fisheries agreements concluded in 2006 and 2007 are of an approximate political nature. However, I would like to make some comments on the Committee's position. Eighty p.m. Norwegian fishing is carried out on populations sharing with other countries. This requires, and will require, cooperation. In the North Sea, Norway manages fisheries resources with the EU. Norway and the EU are therefore working together to maintain and further develop good fisheries management. Cooperation with the EU has produced good results in many areas, including: in the fight against illegal fishing. At the same time, we face major challenges in the years to come. The situation of some North Sea populations is not what we want. The International Council for the Exploration of the Sea — ICES — has again recommended the cessation of fishing for cod in the North Sea. The stock situation of cod in the North Sea is still serious, but there are still signs of some growth in the stock. Of the total quota, Norway has 17 pst. and the EU has 83 pst. One-sided management measures in the Norwegian zone will therefore have little effect on cod stocks in their entirety. This is why EU draft policy is very important in future negotiations. Drafting fish is a serious threat to sustainable management. Norway has a draft ban, while this draft practice is legal in EU waters. In Norway, fish taken from the sea shall be landed. On the other hand, the EU has a draft mandate. This implies that the fish that is caught by an EU fish, but for which it does not have a quota, or which is below the legal minimum size, must be thrown overboard. This summer, a foreign vessel was observed throwing out large quantities of fish caught in the Norwegian economic zone. The fish were thrown out as soon as the vessel left the Norwegian zone and entered the EU zone. The incident was documented by Coast Guard. Only in this case, more than 5,000 kg of fish were wasted. It is not only morally reprehensible to waste food in this way. It is also resource-disgusting. In addition, draft unregistered withdrawals lead to a poorer scientific basis for our joint management decisions. The events I have just described are illegal in Norwegian waters, but not in accordance with EU legislation. Norway cannot force foreign vessels to legislate when they stay outside our jurisdiction. But we can set conditions for those vessels that want to fish in Norwegian waters. We must therefore demand that all fish drawn in Norwegian waters be taken to land, regardless of the port used. I understand that the Government will now impose such conditions on anyone who wants a licence to fish in Norwegian waters, in other words, one will lose the license if this is not respected. Drafting is a particular problem for the North Sea community. I am therefore pleased that the Government in forthcoming negotiations with a high voice would argue Norway’s view of the EU draft mandate. Many suggest that this effort will subsequently also make an impression in the EU. Still investing in control work is a key to future management and a better extraction pattern both in the North Sea and in Skagerrak.
ParlaMint-NO_2008-11-25.ana.ud2412e306	I just want to make a few brief comments about the matter. The representative, Opbebøen Hansen, made a clear statement on the Committee's views. On one point, however, the Progress Party separates law from the Committee. It's about the problem of overfishing, or UUU fishing, as it's called. Combating this type of activity has been going on for several years and under several governments. There has been a targeted job, which gradually begins to produce positive results. But at the same time, it is true that overfishing and illegal activities have not ceased to exist. 2007 figure for Norwegian Arctic cod shows that there was an overfishing of 40 000 tonnes at an initial value of 800 million tonnes. kr. It's pretty big numbers, and the numbers for elevators are 21,000 tons. These are very uncertain numbers, and the estimates may be lower, but they may also be higher. It worries me. What we in the Progress Party have focused on is strengthening control at sea, at sea, where crime is committed. In this context, we believe that it is important to be present, visible and have effective and effective surveillance where crime is committed. That is why, in our alternative state budget, we have proposed strengthening Coast Guards by 350 million. kr. It's going to be dealt with later this week, and then we'll see what the result is, but I guess I don't have the very great hopes that it will be adopted, unfortunately. This means that those who commit this type of illegality have reasonable freedom of movement. I expect the Council of State to enter into UUU fishing, as it is called, as one of its central points. I would like to hear about the measures that the Government intends to take in 2009 to combat this overfishing further.
ParlaMint-NO_2008-11-25.ana.ud2412e317	I would like to begin by stressing that sustainable resource management is a central objective of the Government in the fisheries negotiations we conduct each year with other countries. I've read the Committee's attitude with interest. The Committee's comments show that there is broad agreement on the objectives we should pursue in these negotiations. I also note that the Committee points out that the work on illegal fishing is now producing good results. In the negotiations with Russia, the joint effort towards unreported fishing in the Barents Sea has been central for several years. Norway and Russia agreed on further measures to address the problem in the autumn. I am pleased that the work done by the Government since the fall of 2005 has led to concrete results. The overfishing in the Barents Sea is, according to the latest estimates, reduced by 60 pst. Thus, large amounts have been returned to Norwegian, Russian and other countries’ fishermen and the fishing industry and to Norwegian taxpayers. But we're not in the goal yet. In the 2009 budget, we are proposing further measures to combat illegalities. We are proposing to set aside money to follow up all the agreements we have concluded with other countries, and not least we are proposing to hire more inspectors at the Kaikant in Norway, because we need to be in order in our own house. It is important that, in further work, we have measures both on the sea and on the land, and that we continue to focus on international work, which is a key to solving this problem. The International Council for the Exploration of the Sea now states that the important cod stock in the Barents Sea is managed in a sustainable manner and, as stated, that unreported fishing is significantly reduced. The Norwegian-Russian Joint Fisheries Commission has therefore established a total Norwegian Arctic cod quota for 2009 of 525000 tonnes, which is an increase of 20 pst. in relation to 2008. Although this is a large quota increase, it will still provide the lowest fish mortality rate for this stock since 1991. In addition, taking into account that the stock of hake is in good condition and that in 2009 it can be re-opened for fishing on weights, it is a hot spot for Norwegian and Russian fishing industries during a turbulent economic period. I also think that we are working well on the control side with the European Union. Cooperation on fisheries with the EU on the resource side has produced results in many areas, but at the same time we face significant challenges. I see and hear that the committee is concerned about the draft issue. Of course, it's also the government. The development of fish is a serious threat to sustainable management. As you know, Norway has a draft ban, while practice is legal in EU waters. It has moral aspects, but it also leads to a large unreported withdrawal. This is a central theme during this year's quota negotiations with the EU, which is probably starting today. The Norwegian objective is to include a draft ban in the EU zone. I do not think that is realistic to put in place in the short term. That is why we are also working on finding solutions that can effectively reduce drafts during 2009. There we will work with the EU and the individual Member States to see what action can be taken. Before the autumn negotiations, we met with several Member States where drafts have been the central theme. It was also the theme of the meeting I had with EU Fisheries Commissioner Joe Borg last week. I believe that the EU position is turning around and that there is now an atmosphere there to reduce the issue of discards.
ParlaMint-NO_2008-11-25.ana.ud2412e336	It's going to be line change.
ParlaMint-NO_2008-11-25.ana.ud2412e339	I am pleased that the Government has gradually taken a focus on overfishing in the Barents Sea and is following up on what previous governments and the Advance Party have paid great attention to. Now, however, as I said in my post, there is still a significant overfishing – 40,000 tonnes to a first-time value of nearly 1 billion kroner. There are huge numbers, and it's important to bring down that activity. I actually have three simple questions to the Council of State: Who is responsible for this overfishing? Where is this fish being traded? And with the government's budget proposal on Coast Guards, is there going to be more or is there going to be fewer sailing days?
ParlaMint-NO_2008-11-25.ana.ud2412e346	Firstly, I think it is interesting that the representative of Korsberg pays tribute to the efforts of previous governments in this area, because I must say that this did not lead to the great results. The results in this area have been achieved after the red-green government took over and put this on the map in negotiations with other countries and, not least, set aside resources to control both at sea and on land. Then I fully agree with the representative Korsberg's description that we are not in target. We have achieved significant results, but we are not in the target. That's why we can't relax either. Overfishing in the Barents Sea is carried out, inter alia: from Russian registered vessels. They also have vessels flying flags of convenience. Then I am concerned that we in Norway should not just sit and point to the others. Recently, we have also seen a significant increase in reviews also in Norway. This is something that we need to take seriously, and that is why we will strengthen control in Norway next year and restore the fish phone. So we use the tools we can to combat illegalities, both in the Norwegian economic zone and in the Barents Sea as such.
ParlaMint-NO_2008-11-25.ana.ud2412e357	I still maintain that there has been a significant job in combating overfishing before this government took over. But don't let it become the big topic of debate. The Council of State was not given the opportunity to answer my last question, whether there will be more or less sailing days at Coast Guard with the budget submitted. I would like an answer to that question.
ParlaMint-NO_2008-11-25.ana.ud2412e364	It is at least a fact that the government in the budget for next year is setting up a new civil protection vessel, a tugboat, which will release one of the coastguard vessels from that task, allowing the Coast Guard to spend more of its resources on sovereignty and resource monitoring. Then we're going to replace a coastguard vessel. The new vessels will be large vessels with good reach, with helicopters on board, and will have a completely different impact field from that of today's vessel. So it's going to be a strengthening of the Coast Guard in the years to come.
ParlaMint-NO_2008-11-25.ana.ud2412e371	Several have not asked for the word for a line. Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 649]]
ParlaMint-NO_2008-11-25.ana.ud2412e389	At the request of the Municipal and Administrative Committee, the President will propose that speaking time be limited to 5 minutes for each group and 5 minutes for the Council of State. Furthermore, the President will propose that three lines of reply be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2008-11-25.ana.ud2412e398	This is a proposal from the Progress Party. The setting is based on most parts, with slightly different degrees of comment. All lots except the Progress Party are behind this setting. I believe that the Progress Party itself will justify its position on the matter and its proposal. The number of applicants for protection varies from year to year. It's swinging. The reasons for the fluctuations are different. One reason is international conflicts. Major international conflicts result in an increase in the number of refugees. We know this. We know that the conflict in Iraq, the conflict in Afghanistan, the conflict in Somalia, etc. contribute to increasing the number of refugees in need of protection. We note this in Norway as well. Some of them apply to Norway for protection. We have a duty to accept them and assess whether they need protection. We have obligations to that under international agreements, and we have an obligation under our own law to give them shelter when they come and apply for protection. These are the formal things that oblige us to accept them properly. The large fluctuations in the number of applicants create problems in relation to the number of asylum recipients needed. We have a policy where we're trying to adjust the reception capacity according to the number of people coming. This means that when the number of applicants falls sharply, we will adjust the capacity afterwards, and once again a strong increase in the number of asylum seekers, we need increased capacity. This creates problems. There are several things that make this problematic. Firstly, it becomes problematic because we lose some competence when we build down asylum recipients as the fluctuations take place, and that is not good. We should reflect on that a little bit more. Is this a good way to organise that business? Although it fluctuates from year to year, we see that it is reasonably stable over a long period of time. So I think it would be appropriate to look at whether, in periods of some decline in demand, we should have an overcapacity just to take care of the competence. I think that the key to running the receptions in a good way and among other things. avoid conflicts, as we have seen in some municipalities, precisely those who work in these receptions have the necessary skills. I think that in many ways it's our big challenge to make sure that we have the right capacity, but at the same time that those who are going to do the tasks have the right skills. There's no answer. Accepting asylum seekers, giving them fair treatment and acting in accordance with international conventions and in accordance with our own law is a national responsibility, and it is a national responsibility that we do this properly. Therefore, we cannot leave this to the individual municipality – 430 municipalities or around it – and say that they should have a veto right against the establishment of a reception. We have commitments, and we have to take them seriously. It's a national responsibility to have the capacity we need. Therefore, this proposal is simply not possible to adopt, precisely because it is a national policy area. Finally, let me comment on the Right Commentary on the reception of competence. The right has its own comment where they address something they call the reception of competence. They have their own Document No. Eight proposals. I think that this proposal is very good, and it will be dealt with later on in a separate case. Let me just signal that I think that in this proposal there are many wise ideas, many sensible ideas, which we are going to take seriously and discuss in a proper way.
ParlaMint-NO_2008-11-25.ana.ud2412e417	Norwegian asylum policy is completely out of control. In these days we experience a triple in the number of asylum seekers coming to Norway. We are most likely to receive four times as many asylum seekers this year as Finland and Denmark make up. The reason, of course, is that we have a red-green government that conducts some of Europe's most liberal asylum policy. The so-called curtailment signaled by the Government at the beginning of September has obviously not worked. We are still expected to get around 15 000 asylum seekers to Norway in the current year, and it is added to the same arrival to the next year. This is a government that obviously has no means to deal with the massive influx to Norway today. But it is not useful to hide behind international conventions, international agreements, because it is fully possible to pursue a policy where we limit asylum immigration to Norway, as many other countries actually do within the agreements, conventions, Norway is bound by. What this government has actually done is move the problems. When you do not take national responsibility for asylum policy at the top level, you simply run the issue to Norwegian municipalities. For this reason, for the past six months, we have seen a massive debate among local politicians and among citizens in a number of Norwegian municipalities that have received asylum receptions step down their heads – against their own will. It is just to mention municipalities such as Bømlo, Overhalla, Nord-Aurdal, Stage, Eidsberg, Bremen, Hemsedal, Bergen, Rollag, Skien, Ørskog, Skiptvedt, Ulstein etc. etc. Even I came from Troms County, where they were informed about the news, at the NRK Evening News, that they would receive an asylum reception with them after every 130 reception places in the municipality of Harstad. The same thing happened to Tromsø and a number of other municipalities. Thus, there was no dialogue at all with the various municipalities receiving asylum in their territory, prior to a decision. This testifies to a lack of respect for local democracy, a lack of respect for the fact that local politicians actually have a certain degree of competence to assess what is manageable in their own community. It has been decided to run completely over because the State at the UDI has been so pressured to put in place new reception places that they have only run over Norwegian municipalities. The majority in the view that this is really, as I understand the comment, impractical, it would be a little difficult, a little complicated, if the municipalities were to make the decision themselves – actually have a veto – as we want. That would be impractical! Well, democracy is not just practical. In fact, if you want to listen to opinions, you have to let local politicians come to their positions, you have to give them time and opportunity to do so, and then you also accept the decisions that are coming. In this respect, it is not useful to show that there has been an increase in the subsidies that accompany the country when asylum-seekers are established, because a number of municipalities have proved by their own examples that they are not fully compensated for the costs of an asylum-seeker. Kväfjord Municipality, for example, has proven with a calculation that only in the small municipality they experience a loss of 1 million each year. kr because they are now receiving an increase in the reception of asylum in their municipality. The obvious solution has been sketched all along by the Advance Party. We want us to establish closed receptions, use the detention of asylum seekers while processing the application. If we had, this wouldn't have been a problem, and then we wouldn't have had this debate in Stortinget. But I hope at least that you take into account that there are local politicians out there, in a situation where we have open reception, who feel that they are completely overrun by the UDI in the process. I'll take up our suggestion.
ParlaMint-NO_2008-11-25.ana.ud2412e438	The representative Per-Willy Amundsen has taken up the proposal he referred to.
ParlaMint-NO_2008-11-25.ana.ud2412e441	I refer you to the speech by the rapporteur of the case first, and I agree with him on what he says about the need for competence in asylum recipients, the need to adapt the capacity and the national responsibility we have for accommodation. So the right-hand side is in the majority decision, and we disagree with the proposers for a number of reasons. One of the reasons is that we have to have a reception capacity that is always best suited to the need that exists. We know that the influx of asylum to Norway has gone on waves, and the number of asylum seekers in the country will vary, not only because of international conditions, but also because of the policy pursued at all times at national level. It is necessary to take account of the need to adapt the reception capacity. That's what the model we've had since Erna Solberg was the municipal minister. It is and will still make sense to assume that 80 pst. of the fixed transit points and 90 pst. of the permanent regular spaces used at all times. It gives a little bit of flexibility. It is appropriate to use Community funds to reduce capacity if the need is reduced. So one has to accept rapid reconstruction if the need is to increase suddenly, as we have been exposed to now in 2008. However, it is important for people's understanding and acceptance by the Asylum Institute that foreign policy is well managed, and today's situation, with a tripling of the number of asylum seekers to Norway, cannot be explained simply by international circumstances. In Europe, Norway has had the largest increase in the number of asylum seekers, and UDI Director Ida Børresen also wrote in a chronicle in the Newspaper on 21 May: ‘This is a development that has not been easy to predict since there has been no change in the countries of origin in question, which was due to a large increase right now.’ The policy of the red-green government up to the summer of 2008 has made it easier both to stay in Norway and, in particular, to believe that it is easier to stay in Norway than in other comparable countries. Where the Bondevik government tightened in, the Stoltenberg government released it again, and these signals quickly went out into the world. Right-wing caution against pursuing a policy that is more liberal than the policy of our neighbouring countries. It is a fact that both Sweden and Denmark have tightened up their asylum policy, like other European countries, while Norway has been moving in the opposite direction for three years. The government also said in the revised national budget that Norway has a more liberal policy now than before. On the right, we have voted against, and we have made other proposals, of course in vain. Nevertheless, fortunately, we see that the Government has gradually met us and followed up our views and suggestions. However, this case is an example of what could have been avoided if the Government had more consistently followed up the previous government policy rather than creating a false impression of asylum seekers’ opportunities in Norway. I would like to stress that Norway is obliged by international agreements to accept and accommodate all asylum seekers who come to the country. It is directly premature for the Progress Party to mix the cards in this case by addressing the EU Return Directive and the possibilities of internalising asylum recipients for up to 18 months. It is not these asylum seekers that this matter is about. It is also important for asylum seekers who are refused their applications to be transported quickly – there is no doubt about that. But that's a different discussion than what today's debate is about. To give municipalities the right to veto the establishment of asylum recipients does not seem to be a proper solution to the great need for accommodation we now have. I still understand the debate. Norwegian asylum policy and the situation of asylum recipients have naturally marked the media debate throughout the summer and much of this autumn, and not least municipal. For reasons of government policy, Norway has not been able to accept all those entitled to stay in a good way. The ambitions must be greater than what Secretary of State Libe Rieber-Mohn wrote in an article in Dagbladet on 14 August. It said, "We can get a roof over the head of everyone who comes." I have no doubt that the UDI is working and still working on blasts, because the authorities are under a strong pressure, and the forecasts will be a triple – 15 000 asylum seekers – still. Now asylum reception is being established in the municipalities around the country, and many rapporteurs are despairing and feeling overwhelmed by the UDI. That is where I agree with the Advancement Party. Here, dialogue with the municipalities – I see, President, that the clock is going too fast – must be much better than what it is. And since the clock goes so fast, President, I will already draw myself to a three-minute post!
