ParlaMint-NO_2008-12-15.ana.ud2230e124	The representative of Marianne Marthinsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-12-15.ana.ud2230e295	Recently called World Economic Forum Norway to the world's most equalised country. This has not come off of itself. This has come after clear political decisions that have led to systematic changes in our society through budgetary measures, legislative changes and changes in attitudes. Norway tops the list, among others because of our high participation of women in politics. But it wouldn't have been possible without a sex quota. Norway is passing Sweden on the ranking, because we have so many women in corporate boards. But it would never have been possible without the law of 40 pst. women of the ASA controllers. Had the Progress Party had managed gender equality policy in Norway, perhaps only the Arab countries had been behind us on this ranking. In its draft budget, the Progress Party is raging the appropriations for the Equality and Discrimination Ombudsman, an institution which is important to follow up the law we have in the field of equality and which is a driving force to fill the gap that remains before we can adorn ourselves as an equal society. The report from the World Economic Forum tells us that despite being the best, we have not yet achieved full equality. We have a job to do before we fill the gap. Gender equality and women's participation in society are profitable and give countries an economic competitive advantage. This documents the World Economic Forum in its report. Norway has the highest professional participation among women in the world, while giving birth to more children than our European sisters. This is an impossible combination in most other countries. In Norway, this is possible because we have a uniquely organised working life, with family-friendly working hours, the world’s best parental leave scheme and good childcare solutions for children through a good childcare facility. We are improving these arrangements through the draft budget. The red-green government is about to pass the finish line in the job of getting full babysitting. About 96 pst. of the children who started school in the fall have gone to kindergarten. From being a good thing for the few, kindergartens have become an offer to the large majority of children between one and six years of age. The 2002 kindergarten agreement and the subsequent massive expansion of kindergartens are a major reform which means much to young children’s parents. Newly-baked parents are now free to lose their night sleep because of the lack of childcare facilities for the small person. So there is no small reform that has now been implemented. Since 2003, more than 60,000 children have been accommodated in kindergarten. Today, we spend SEK 13.8 billion more on kindergartens than we did in 2003. This means an increase of 170 pst. At the same time as the massive expansion, the price of kindergarten has been reduced. We have introduced a maximum price of NOK 2 330. In municipal kindergartens, the price of a kindergarten is reduced by 37 p.p., while in private kindergartens, the price is almost halved. These price reductions have resulted in more parents now able to afford to have their children in kindergarten, which has resulted in more demand for kindergarten than we could see in 2003. We view kindergartens as a prerequisite for women's participation in the profession, and thus as an important contribution to the creation of value added. But most importantly, we view kindergarten as an important social arena and an important learning arena. A new research report from the Ministry of Knowledge and the Institute of Public Health shows that children aged 18 to 36 months who go to kindergarten have a better language. Particularly large are the estimates for minority children and for children with low-educated parents. The use of cash support was almost halved after the red-green government took over. However, for a group, use is increasing, among minority speakers. Many children miss a lot of learning and development because of the cash support. It would have worsened further if we had, as the Right and Left do, increased the price of the nursery. Still, children in Norwegian schools who do not speak a single word Norwegian and who have not received the important social training by being with many other children before they begin school. I've begun to wonder what the opposition's ambitions in kindergarten policy are. If you read the comments on the Right and the Left, you can really fool. The right is critical that the government builds too many kindergartens on too short a time, because this can go beyond quality. At the same time, they are opposed to keeping the maximum price down, because you choose to prioritize development first. What do you really mean? Are you in favour of, or are you against, full child-care? Similar questions can be asked regarding the lawmaking of the court. There's law enforcement because you don't have full coverage yet, while criticizing the government for not being too ambitious. What does the opposition want - what is their alternative? The Workers' Party is engaged in the Federation role, and therefore the State Council presented Huitfeldt on Friday's first big deal about the human role. Norwegian men take more responsibility for their children than the fathers in other countries do. Today is 90 pst. by the fathers entitled to parental leave at home with their own children. There has been a revolution in the care of men for their own children since the introduction of the parental quota in 1993, because, in addition to the fact that men are at home with their small children in the context of birth, the equality studies show that fathers are currently spending more time with their children and are also taking greater responsibility for their daily domestic tasks. But despite fathers taking a greater part in care, there's a lot left before we have an equal parent. Still, women take primary responsibility for children and households, and toddlers are the group that works most overtime. Only 17 pst. by the fathers take leave in addition to the six weeks of father's allowance. The government's proposal to extend the spring quota by four weeks in next year's budget will be an important step towards a more equal parenthood. In addition, the Government is signalling further enlargement of the human role, which will result in father being granted parental leave for at least three months and two weeks paid leave in connection with birth. Norway has had a steady increase in birth rates since the Governments of Gro Harlem Brundtland in the 1990s increased the parental leave considerably and introduced the birth rate. We also see that the number of births is higher among Norwegian couples who share the parental leave. We've seen the same trend in Iceland. Icelandic women have ended up at birth in Europe after extending and introducing thirds of parental leave. Sickness about Norway is a good country to live in, not all children have equal growth conditions. Many children grow up in families with major drug problems and with major social problems. As a society, we have a duty to help these children and their families. The red-green government does not accept that children in Norway live in poverty and in unworthy conditions. In this context, child protection is also important. We've seen in recent years that the number of children receiving child protection has increased. It could mean two things, either that more children and families need help, or that municipal child protection has become better at seeing the children who need help. Many children get good help from child protection. At the same time, we know that many children get help too late. The increase in the number of emergency positions may indicate this. We have an important job ahead of us to make child protection better. Interaction between the various public agencies is still too random. Here the new Minister for Children has taken action to ensure that children receive help as early as possible. The switch from an institution to more home use requires better follow-up of foster parents and good pay and pension conditions for the municipal foster families, as for the state. Children have the right to good growth relationships regardless of their social background. In a country like Norway, we have a duty to ensure that all children can live a good life and have equal opportunities.
ParlaMint-NO_2008-12-15.ana.ud2230e341	It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e344	I will put away the question that I had originally intended to ask the representative Gjul, because she said something in her post that I actually need to clarify. The representative Gjul said that there are actually many minority children starting school without being able to speak Norwegian. Then it's very interesting for us to hear what the Workers' Party has been going to do with it. Is it the case that you have to coerce minority children into kindergartens, or is it the case that you have to make kindergarten mandatory in order not to stigmatise one group of children?
ParlaMint-NO_2008-12-15.ana.ud2230e351	The representative Woldseth addresses a very important question in relation to the group that is most difficult when they start school, just the minority-speaking children. It is quite obvious that we need to facilitate that several of these children get the opportunity to participate in the important activity it is to be in kindergarten before they start school. One of the measures already in progress, which should obviously be extended, is free core time. In parts of Oslo, then, free core time has been set up, and other cities with free core time are also active. In addition, both the Labour Party and the Swedish Labour Party have a discussion in connection with the programme work on introducing an opportunity for pre-school training before the children begin school. This will also be an important measure for this group.
ParlaMint-NO_2008-12-15.ana.ud2230e358	The representative Gjul had a great post in relation to all the children's right to have a good growth, and of course, not least the children who live under difficult conditions, the ones we often call the poor. At the same time, I noticed that the representative Gjul criticized the Right because we had put on a couple of hundred kroner at the maximum price in the kindergartens. It raises a problem that is about what's most important. Is it most important to take care of the poor, or is it important that most of us, who have quite good advice, have to pay 200 kroner from or to the maximum price? It's a distribution theme. As the government puts up the race, it's really a big transfer from society to those who really have it pretty good from before. Right up that list, but we also put in a series of targeted measures for those who need it the most. Does not the representative Gjul think that this is a good priority?
ParlaMint-NO_2008-12-15.ana.ud2230e363	The most important thing we can do to get the most children into kindergarten, and to give their parents the opportunity to have their children there, is to have as low a price as possible – then we embrace the most parents. That's exactly what we saw in the 2003 kindergarten agreement, that we haven't been able to estimate how many parents want to have their children in kindergarten. There are many more parents who want it, and who have the opportunity to do it, precisely because we've halved the price of kindergarten for the children who go to private kindergarten, and that's a reduction in the price of 37 pst. for children who go to public kindergarten. In addition, each municipality has free space schemes for those who have the most difficulty. The very largest municipalities also have a quite large graduated payment. If we're going to be able to embrace as much as possible, we need universal arrangements. It's always been typical for the Right that you don't want the universal arrangements, but you kind of try to run after and find solutions for the very, the poorest. We're trying to embrace everyone.
ParlaMint-NO_2008-12-15.ana.ud2230e370	There are a few things I really don't understand, so I hope maybe the representative Gjul has an answer to me. One is that last year the government regulated child care prices. This year, left kindergarten prices are regulating, and that is a great threat to the equivalency. It wasn't last year. The second is that when you're really going to reach the poorest, there's an income-differentiated payment that would be the best, and I know a lot of municipalities are struggling to do that, but it's been complicated with the maximum price policy that the government has put in. But when the representative gets questions about how we're really going to reach these groups, it's not the price that's being mentioned, it's actually the free core time and the other tools that the Left agrees with. Why is it that when the Left does what the Government did last year, there is a great threat, and when you look at the real tools, which is what the representative addressed now, there are none of the instruments associated with the maximum price?
ParlaMint-NO_2008-12-15.ana.ud2230e379	Firstly, I would like to inform the representative Skei Grande that the government did not regulate last year's maximum price. It was the very first year we were in government, we did it. What we've recognised is that if we're going to be able to have as many children as possible, and if the kids are going to be able to go to kindergarten, we have to try to achieve the maximum price goal. Now the government has taken a decision that will hopefully come out in 2012 with the target we set in 2002–2003 at a maximum price. So both the Right and the Left try to make it so that all the income grader and all the schemes for those who have the most difficulty are gone. That's not right. In addition to the fact that we have now received a maximum price, the price of kindergartens halved, among other things. In private kindergartens, most municipalities have, among others: retained the free residence arrangements for those with the lowest infects. A large number of municipalities also have a graduated residence payment scheme for those with difficult finances.
ParlaMint-NO_2008-12-15.ana.ud2230e386	The cord shift is over.
ParlaMint-NO_2008-12-15.ana.ud2230e389	Also in the 2009 budget, the Progress Party will highlight the family as one of the most important pillars of society, and pursuing an active and proper family policy will bring significant social benefits in the short and long term. It is important for us to have this as a foundation at the bottom and as a premise for the rest of this budget framework. First to kindergartens. The party of progress is probably the party that, over the years following the big kindergarten agreement, has been in the best position to follow the agreement. In the budget setting it may seem that the opposition is almost fighting to give money to the kindergartens for them to be treated in a non-discriminatory manner. Nevertheless, it will only be a game for the gallery as long as the Workers' Party and SV do not want to take the necessary steps to ensure equal treatment of public and private kindergartens. We in the opposition should be able to get together, so that all the private kindergarten drivers out there actually understand that there are people who appreciate the job they do for half of all kindergarten children who go to private kindergartens. It is a fact that one of the premises in the conciliation, and ever since, has been that all parties have said that they will treat private and public kindergartens in a non-discriminatory manner. This was the main requirement of the Progress Party in the draft representative we promoted together with SV in 2001. We haven't forgotten that since, while some of the parties in the hall obviously just talk about non-discrimination without lifting a finger to get it done. SV, who stood loaded and broken together with the Advance Party until they came into government, has failed. They have failed thoroughly when you think that they have both the Ministry of Kindergarten and the Minister of Finance. Nevertheless, the Workers' Party and the rest of the opposition want to make people believe that this is a lifting from the Government. It's not at all. The premises for this promise were laid long before this government took over the chairs, and now they use all the excuses they can to get away from the fact that private kindergartens have to close or go bankrupt often because municipalities spend money on things other than kindergartens. Then I refer to Telemark's research, which says that over NOK 1 billion of child care money is spent on other things, because you simply don't want to treat private and public kindergartens in the same way. There has never been more money allocated to kindergartens. For the Progress Party, however, it is most important that all the parties in this room come together and rework or refresh the old agreement, so that we can be sure that all the parents who want a kindergarten place will have it, that all kindergarten drivers have a predictable framework to deal with, and that all kindergartens are treated in a non-discriminatory way. So to child protection. There is no doubt that we need child protection, but it is the device of this child protection that we need to discuss, when it is possible to let young people stay in hotels for a month because they do not have control of the person at the institution, or when young people escape from the institution and engage in criminal acts against others because there is no right offer for them. Isolation of these young people in ordinary institutions is not a good solution to the problem. Child protection is very good, but in 2008 we also have to assume that we may need a revision of the law on child protection services of 1992. Many of the young people with behavioural problems, who also have adult problems alongside, such as drug dependence and violent behaviour, have not had the schooling they require and often have poor self-esteem and mental problems. On the night of Sunday, I followed the babysitting guard in Bergen. What I saw and experienced there, set its tracks, which is going to follow me for a long time. The involvement and care that employees showed for children and young people with problems was quite impressive. These were people with long seas in child protection, and had the requisite ballast and competence to ‘read’ the children and find solutions to acute problems. One theme they brought up with me was that because state child protection pays their child protection educators far better than the municipal authorities, the municipalities and first-line services lose people with the most experience in the state child protection. The municipalities are left with the newly educated, and they are the ones who come in contact with the children. This is a problem I think we should look at, so that we do not lose so much competence in the municipalities. There are a lot of kids who need an emergency offer. We have emergency services in Norway, but within a very large number of them, it is exaggerating, aggressive and, in part, addicted to youth. This is not a place to place a child on e.g. eleven years, which is afraid and need a free minute from an angry father. It could have been nice if you were in connection with, for example: children’s homes also had one or two beds or perhaps weekend places, so that the group of children, where there is almost a clarification with the family going to, have a place to stay overnight or where the institutions are not able to mobilise the staff during the weekend. This is also a problem we should consider. We see from the Riksrevision's annual report that there is still a lot of work to be done to control the economy, tenders, etc. A few years have passed since the reform, and the Progress Party feels that it is incredibly bad that the Council of State and the Ministry have still not been able to control either the economy, the stability or the tenders. This should be a priority in the coming years. Then to the financial crisis. Some people probably wonder why I come into this issue here, but the matter is that under our framework there are also consumer policy measures. And among many good measures is the crisis phone for victims of debt. We see that some people go so far that they consider suicide because the debt has taken over in these times of crisis. Then it is more important than ever that there is a crisis phone through the Debt Victim Alliance, which can provide advice to those who need it, and I hope that the Council of State will continue the crisis telephone response in 2009, because there is certainly nothing to suggest that the problems will be smaller in the year to come. And when the government has failed in its poverty reduction, we must at least make sure that there are some in the third sector, as far as possible, who can provide help to those who seek advice. We also know that the waiting time for municipal debt advisors is now up to one year, resulting in additional costs for those waiting, in the form of interest and debt collection fees. That's why it's very important that they have a place to go, which can give advice on what to do while they're waiting. Finally, I would like to say a little about crisis measures. The Progress Party does not support the legalisation of the crisis centre offer, but that does not, of course, mean that we do not support the crisis centres. The government has submitted, and has been adopted, a law prohibiting sex purchases in Norway. It comes into force on 1 January, and then, we're going to believe both newspapers and prostitutes, the sex trade is going on behind closed doors, i.e. indoors. That means that many of these women will be subjected to violence, because they no longer have the opportunity to see their customers in the same way that they had when they were out on the street. What has the Council of State done to ensure that in all cities there will now be extra preparedness and a genuine offer to women who are subjected to violence in connection with closed sex trafficking? Are you prepared, or are they rejected, as drug addicts and violent women become today? We're good in Norway with violent women, but are we good enough? I hope that the Council of State will come to this in its article. With this I address the proposals that the Advance Party alone or together with others has in the vote.
ParlaMint-NO_2008-12-15.ana.ud2230e423	The representative Karin S. Woldseth has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e429	I just have to admit that I do not stop to wonder about the Progress Party – neither when I hear the article, nor when I read the setting. Karin S. Woldseth argues very strongly for the kindergarten agreement, and has in the past also been very indignant if she is not mentioned as one of the mothers of this conciliation. At the same time, budgetary remarks warn against increasing the number of family tasks being transferred to the state. I'm going to think that the only thing that's now being transferred to the state is that the kids are going more and more into kindergarten. In addition, when you are concerned about the consequences of young children spending so much time in kindergarten – it's almost amazing – you actually start at the opposite end. The consequences should be looked at before the scheme is introduced. This is one way to double communicate. The other way in which the Progress Party doubles is that in the financial situation they adjust the amount of child benefit costs, but in the position of the Ministry of Children and Gender Equality, they do not adjust it costly. In their financial position, they do not advocate equal treatment for kindergartens, but in the budgetary position of the Ministry of Children and Gender Equality, they advocate equal treatment. So the question is, are you in favour of or against adjusting the nursery prices? Is there equivalent or equivalent treatment for kindergartens? Or are you both for and against? Anyway, you spend the money twice.
ParlaMint-NO_2008-12-15.ana.ud2230e438	No, we don't. If the representative Gjul had read our comments on Framework 2 and the financial position, she would see us adjusting the increase in child welfare that we did in the financial position – as we lost there – in the framework when the framework was put in place, and they transferred the money to kindergartens. Otherwise, in terms of equivalent treatment: we want equivalent treatment, of course, and we're going to fight for that. And the fact that we have this nursery arrangement is of course because the parents should have the option to choose, because you don't have full child care coverage, nor do your parents have a real choice between cash support and kindergarten because you need it.
ParlaMint-NO_2008-12-15.ana.ud2230e445	When the Progress Party in a comment in the budget setting states that no one proposes such a stepping up of funds when applying equivalent treatment, as the Progress Party does, it may not be surprising that it is a little bit of a reaction since the Progress Party in its original alternative budget has not proposed more non-discrimination money. But I'm assuming that there's a mistake, because I know that the Progress Party is occupied by equivalent treatment. So the criticism that has been raised against the Government, I agree when it's true that they haven't done anything to get a more equivalent treatment – and it all frames. Another point that I want to challenge the Progress Party is equality, because many of the inclusion proposals are cut in the equality area. Equality does not come about by itself, and we know that a lot in society has evolved in the right direction, because we have more equality between women and men, and more men have taken responsibility. A conscious and active job has been required for equality, so why won't the Progress Party support the kind of organisations that are involved in this?
