ParlaMint-NO_2008-04-23.ana.ud1988e22	The representative Ivar Kristiansen will present a proposal for a representative.
ParlaMint-NO_2008-04-23.ana.ud1988e165	The Council of State is still referring to the Bondevik government. But the Bondevik government had to sort out the Norwegian economy and create competitive conditions for business before we could grant more to the public tasks. This government has $132 billion more to travel with than the Bondevik government had. So the maintenance run is calculated at 15 billion kroner by road and 5-6 billion kroner by rail. The response of the NTP proposal to these key challenges is a reduction in investment. The right has launched another solution. We want a maintenance fund both for the maintenance tasks that are imminent and for those that are from the past, with an annual return that can solve these tasks. Will the Council of State support such a maintenance fund?
ParlaMint-NO_2008-04-23.ana.ud1988e172	First of all, the number of billions mentioned by the representative is uncertain as one would have had the community at its disposal if the right-wing government had continued, because then one had to expect that they would have continued the fiscal policy, which had brought these funds into the private wallets and not out on the road. That being said, I also record a lot of creativity for the time being with regard to financing the commercial project and maintenance, and that's good. It is a good thing that culture has come on the agenda both in many parties and in many forums. But it's about the seventh and last thing about allowing enough money. Whether they're in a fund, whether they're in project finance, or they're in OPS, they're kind of inconsequential, because there's no free lunch. It is due at some point in time. So Ergo is the important question: is there a political will to allow more money? This government has shown that we have that will.
ParlaMint-NO_2008-04-23.ana.ud1988e179	Borghild Tenden - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e182	My question also concerns road safety. As the Council of State itself said, the car density has increased. Trucks have grown in size and buses have grown in size. This goes beyond the already congested roads that rage out. In the state council's own home state, Sogn and Fjordane, the discussion goes high about Dalsfjordbrua - a project approaching DKK 1 billion, which has too low annual traffic to finance tolls. This may be at the expense of road safety on roads known to the Council of State as rv. 60, rv. 609 and the Lote Tunnel. Former State Council for Forestsholm prioritised road safety. Will the Council of State not overrun local democracy, but engage in dialogue with its own parties and give priority to road safety at the expense of large-scale projects of excellence?
ParlaMint-NO_2008-04-23.ana.ud1988e191	We're in a hearing process, where the county has to express its priorities in relation to the next national transport plan. In respect of that process, I do not intend to go into and discuss individual projects, nor those relating to my own home country, although, naturally, after ten years in the county, I have good knowledge of the different projects and priorities there. We'll have time to discuss these priorities in time. Let it just be clear: I'm going to put a lot of emphasis on the priorities from the regional level, both from Sogn and Fjordane and from other countries. It is important that we listen to those who have their daily work in the county. It's the best people know the challenges, and it's the best that can give us the best advice on what we should prioritise in the next NTP.
ParlaMint-NO_2008-04-23.ana.ud1988e198	Let's move on to the next main question.
ParlaMint-NO_2008-04-23.ana.ud1988e201	I also have a question for the Minister for Transport. The draft national transport plan was presented on 17 January. The lack of investment in new investment is a major problem across the country. Of course, it is possible to do something about this when the Government will present its proposal to the Stortinget during December. The Minister of Transport boasts of the increased appropriations and the enormous effort that has been made, calling it a journey promise. But as the representative Halleraker said, this government has got over NOK 132 billion more to go with. Very little of this helps to improve a worn-out transport sector. In fact, the share of the state budget for transport has fallen from 2.3 pst. in 2005 to 2.15 pst. in 2008. Then it's important to be creative. The comfort of many red-green politicians has been the Soria Moria declaration, which says: «The Government will: - fund projects for the continuous development and modernisation of new road and rail sections.» This gave many people hope that they would think untraditionally. But in 2007 in the state budget, the government itself said: ‘The Government considers that investments in the road and rail sectors should continue to be granted in accordance with the budgetary principles in force and that no debt financing scheme should therefore be established.’ Then we have a draft NTP on the table, where both the Railway Agency and the State Road Administration want to use that type of funding, either project financing or OPS, Public Private Cooperation. Then we have an evaluation on the table of three OPS projects showing half-time construction, with the savings it has for road users and businesses. Is it the phobia of the Government and the Government against private solutions that the Government has not yet concluded in respect of OPS? Does the Council of State wish to contribute to the construction of roads at double speed, in a faster and more efficient way than we do today?
ParlaMint-NO_2008-04-23.ana.ud1988e227	I'm recording that the Right is still coming back to the available funds on the state budget. There's nothing to suggest that if the previous government had been sitting there, there would be more money for transportation. On the contrary, there was a lot of hares in this room when we added 1 billion more to the road and 1 billion more to the path. I'm sure that's what the representative of Greece thinks very well. Project funding can be a good way to finance a commercial project. The main evaluation of the OPS project was point 1 that there was no economic gain, but point 2 that there is a social gain through the faster implementation of the projects. I'm now working on how we can make use of that knowledge, so that we can get a greater social benefit for the future from the money we put into the transport sector. So far, we've started everything on that road. I'm now giving priority to launching projects and having full attention to them and their implementation instead of starting up many small projects, which are important enough individually, but which would lead to much later progress on the large projects. That means I'm getting a few fewer loops and opening a few fewer ways, but the projects that are being opened and started are at least giving me a full currency for the money. There is no phobia to project funding in the Government. We will also be sure to discuss it in the future until NTP is presented. As I have said before in this room, we shall come back to that matter. This government has no phobia against anything, but goes boldly into all things. I will also do so when it comes to project financing. I was yesterday at an exciting conference in the direction of the LO where the trade was on the agenda, and where the NHO was on the agenda. It is clear that the social partners are also extremely concerned that we should find a way of intensifying our behaviour. That's what I share.
ParlaMint-NO_2008-04-23.ana.ud1988e240	That's interesting. The council came in an answer here in the hall instead of Øyvind Halleraker with the slightly alarming statement that it is immaterial what kind of solution one chooses, only one grants the money. Now the Council of State says that it might actually be interesting to discuss both OPS and project financing. Does this not show that it is really very important what kind of tool a user should use when making the money go as far as possible? Just as OPS projects have made such rapid progress, there is a huge socio-economic gain. At a distance of three miles, E18 in Westfold, the State Road Administration spent 89 months completing the project. On a similar route, on the OPS project Grimstad-Kristiansand, the private developer spent 36 months completing the project. Does that not indicate that OPS is a good solution?
ParlaMint-NO_2008-04-23.ana.ud1988e247	What this shows is not necessarily that OPS needs to be such a good solution, because it binds funds into the future budget for transport for decades. What it shows is that making enough funds available when a project is agreed so that one can have continuous progress is important. That's the experience I'm working on right now, to look at how we're going to work on this in future transportation projects. When I instead said that it is unimportant what kind of tool a user is using, and now says that we should assess project funding, there are two aspects of the same thing. The point is that one has to put the money at the disposal. So in case of project financing, one has to pay for this over many years to come by budgeting, or one pays it year by year. That's the big difference. So these are two sides of the same thing. I'm open to discussing project finance, but we don't have to fool ourselves into believing that OPS is a sesame-sense. The bill must be paid. There's no free lunch.
ParlaMint-NO_2008-04-23.ana.ud1988e254	There will be follow-up questions - first Øyvind Halleraker.
ParlaMint-NO_2008-04-23.ana.ud1988e257	In the right we think it is nice that the tax policy we conducted in the last period has given so much more to the Norwegian economy and given us the opportunity to allocate more to sensible tasks. It was OPS that was the theme. OPS or public project financing is competition. It's rather realization. It's a better economy. It is about private actors, and it is about flexible, state-owned schemes. So this is a system that works. We have seen three examples of this in Norway. The central party in Sweden, in the civil government, has major plans for reforms in the transport sector, while in this country we see an almost paralysis of action in all structural work in the transport sector. Is it the great ideological disagreement in the Government that we also see in this matter? Or is it simply a lack of will when one does not come up with a single pragmatic structural reform?
ParlaMint-NO_2008-04-23.ana.ud1988e266	We've seen e.g. in the state roadway after the reorganisation they had, what significant resources you need to use internally in organizations for reorganisation processes. I've been busy making use of the resources that we're currently using, and the resources that have been created are going to be used on the road, not on internal, new reorganization processes. As I said, we have just been through a major reorganisation in the state road system. When it comes to competition and OPS, it is the case today that all the contracts are competitive. I don't think the entrepreneurs that put in an offer will count whether it's the state road service that's a contractor, or whether there's a OPS project that they're going to be operating under their own control. I need to trust the industry that they're the same as the best price possible, and that one wants to get the offer. There is full competition today on all the major road and rail projects.
ParlaMint-NO_2008-04-23.ana.ud1988e271	Bord Hoksrud - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e274	I am recording that the Council of State is very concerned that there is no free lunch. We are, in fact, in agreement. However, it is likely that costs will be allocated over several years and not pay everything at once, so that more projects can be started. Right-wing requests for OPS projects. The government has said that they want project finance, even if it is temporarily suspended. For the Progress Party, not the most important thing is what it is called, but that it is actually the state that pays the whole bill for road construction and that there is a strong increase in the state appropriations for the development of the road and rail networks. Do the Governments agree that either OPS, project financing or funding can be fully financed by the State? And do the Council of State agree that by exploiting these possibilities, costs will be less bound to the annual budgets? Do the Governments also agree that such tools reinforce the impact of increasing investment and will contribute to a faster deployment of proven profitable transport projects that are over-ripe for the start-up?
ParlaMint-NO_2008-04-23.ana.ud1988e283	The question of whether tolls or not depend on the way they are financed, even if a person has demanded tolls on the OPS projects that have now been launched. An example is given, for example: from Sweden, where one has a type of loan office that makes money available to builders. So I can't see that one is going to exclude the other. On the other hand, when it's up to being bound to the annual budgets, I'm not the same thing. The three OPS projects that are now being built will cost you the annual budgets with millions of dollars -600 million. kr, I think, for a 20-year period. It's clear that it's tying up the annual budget. If we have ten such projects, we might have three billion kroner that will tie up the annual budget for ten years. If the frame doesn't increase, no means will be given to start a new project after a time. Therefore, I come back to what is my basic point on this issue, namely that it depends on the willingness to allow over the frame.
ParlaMint-NO_2008-04-23.ana.ud1988e290	Jan Sahl - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e293	A well-known person said, once, even the stones should cry out. Without comparison, and to put it this way: we see that it is not just politicians who are asking for new forms of contract, for OPS and project funding, but the levels do so in the national transport plan. They've looked at the challenges we're facing. They have put OPS projects into operation. Now they are asking for project finance and new forms of contract. I want to focus on the last one. I think it's exciting, the proposal in the NTP for new forms of contract, where one can therefore imagine seeing investment funds, maintenance funds and other financing in the context and outsourced the work to an entrepreneur over a 10-15 year period to get the road properly put in place. Does the Minister share such a view?
ParlaMint-NO_2008-04-23.ana.ud1988e301	I have previously called on the state road safety authorities to ensure that we see a change in the means of investment and maintenance. We have a project on rv. 3 where we run the width extension. Here's a little bit of a try. If we see the funds a little bit more in context, we can get a whole-scale development of a road where a piece might have to be a new road, while a big piece can be about improving the swings, i.e. the width extension of the road, and securing deferred points. There I found that the state road system was on a very good track. When it comes to how to finance this, there will be a dialogue and discussion that we will have to have in the future. But I thought the recordings that came from the State Road Service at this point were very interesting. Of course, we have a dialogue on this in the further work on the national transport plan.
ParlaMint-NO_2008-04-23.ana.ud1988e308	Borghild Tenden - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e311	My question is also about getting more transportation for the money. The red-green ones stopped all forms of railway competition despite red-green rapporteurs on the Gjøvik track filling the Gjøvik track, which now has 40 pst. multiple take-offs, higher punctuality, greater regularity and better arranged for disabled persons. Similar experiences are also available from Denmark and Germany. Chief Einar Enger himself has said that getting competition, it sharpens you. Does the Minister for Transport see that increased competition can contribute to and have a positive impact on more and better rail and, for that matter, on the road?
ParlaMint-NO_2008-04-23.ana.ud1988e322	There's a couple of lines going between the government of the day and the previous government, or the opposition, at this point. The confidence that even those who work in a community-based establishment, or the state, can do as good a job as those who work in private companies, is probably greater in the government party than in the opposition, which I experience has a strong distrust for what added to government enterprises can contribute. I mean that Gjøvikbana works well, it's very positive to pick up there. I have met with the director there to hear how a job works, and possibly get ideas from those who can be transferred to other railway operations. I'm open to listen to all the good ideas about how to get a better and more efficient railway. But it's not per. Today, there are plans for further rail sector competition on our part.
ParlaMint-NO_2008-04-23.ana.ud1988e329	Let's move on to the next main question.
ParlaMint-NO_2008-04-23.ana.ud1988e332	I have questions for the Minister for Children and Gender Equality: In the hearing on the proposal for a new marriage law which was here at Stortinget on Monday, there was a great deal of concern about the future state of freedom of faith. In the proposal for a new marriage law, the government says that it is up to the Church to decide whether or not to marry a couple. At the same time, the government says that they hope the Church will change meaning and will vie gay and lesbian. The Minister for Children and Gender Equality has expressed this in the following way in our country: ‘I have the hope that religious religious communities will also be on the brink of these questions.’ The proposal for marriage law changes marriage in its basic structure. It is claimed that today's separation between marriage and partnership is discriminatory. If it is discriminatory to have a marriage law for the commitment of men and women, how long will it be legitimate, in a new state of law, to assert this traditional view without society having to break it down as discrimination? The National Association for Lesbian and Homophil Liberation believes that if a community of trusts, if they receive state aid, already today can't refuse to marry like-minded couples. Many church and trust societies experience a pressure from the Government to change their vision. They're also uncertain as to what consequences it's going to have foreshadowed that marriage is a relationship between man and woman. I have the following questions to the Council of State: Will it be regarded as discriminatory that a faith society will not dedicate lesbians and gays? And what consequences might this have when it comes to State aid?
ParlaMint-NO_2008-04-23.ana.ud1988e350	We have put forward proposals for a new marriage law, and I think it is important that everyone participates in the discussion about it. It is obvious that the Church has changed its view of homosexuals. In 1952, it was said that decriminalizing this would result in a horrendous amount of homosexuality. The Christian People's Party said when we adopted the partnership law in 1992, that this can be very unfortunate, it can lead to norm resolution in society. So I've seen from a lot of environments that here we've changed our vision. It is important that we, as citizens, have opinions on this. But when it comes to the question of whether we're going to oblige the Church to commit homosexuals, I'd say we're not going to do that. We respect the fact that the Church has internal discussions on this. We're going to participate in these discussions, it's important that we participate as citizens in these discussions, but we don't want to oblige the Church to dedicate. But we've now made a law. So the law is ready, so when the Church is ready, it's also possible for gay people to get married in the Church.
ParlaMint-NO_2008-04-23.ana.ud1988e357	I thank the Council of State for your answer. What the Council of State says is that the Government will not put any pressure on the Church. The Church shall be allowed to govern its inner life. It can be a little frustrating for some church leaders when one on the one hand says that the Church should decide for itself, and at the same time says that one hopes that the Church will change its vision. One might be uncertain as to what the framework conditions will be for religious freedom in the future. Can one feel confident that the Government will not press the Church, that the Church itself will be allowed to control its own house, and that it will be respected without a consistent attempt to put pressure on the Church to change its vision?
ParlaMint-NO_2008-04-23.ana.ud1988e362	This is an important value debate, and it is important that we, as citizens and politicians, participate in it. The Church's vision has changed in many areas. The Christian People's Party itself has said that the Partnership Act would lead to a weakening of the position of marriage. It hasn't happened since 1992 - on the contrary, you see more people marrying, and divorce rates go down. So I think it's important that we have a discussion about these questions. If the Church and many in the church environments feel that this discussion is almost an intervention, it is not, but we are going to have open social discussions about this. In much of the discussion we have, it is said that we should have further investigations, that we have not been informed of all the aspects of what this can lead to. I think it's much more important that we get the counter-conceptions up today, so that we can have a discussion. I'm sure this law is going to help many people who have had big problems because of their lay, and I've seen that the Church has met with a much greater openness than what we've seen in recent years.
ParlaMint-NO_2008-04-23.ana.ud1988e369	President: There will be follow-up questions - first Ingebrigt S. Sørfonn.
ParlaMint-NO_2008-04-23.ana.ud1988e372	From media surveys in recent times, we can record that there has been a deep concern among owners of Christian freshly-breds, for both the proposition’s emphasis on the concept of “discrimination” and from strong government statements, these school owners fear that the government will jeopardize the freedom of trust if the understanding of marriage as a relationship between man and woman is defined as discriminatory and as misguided. Nor does it seem that the Government has fully understood the content of the ‘parent’s right issue, because the parent’s right is about the choice of parents in the challenge and assignment of their children, i.e. far more than slightly extended Christian education and a little extra salmeson. So my question to the Council of State is, Will the freshman who teaches about marriage as a relationship between man and woman become a blacklist and lose state support?
ParlaMint-NO_2008-04-23.ana.ud1988e380	The question of how the private school law is to be practised is a question primarily addressed to the Minister of Knowledge. However, I would still like to express my opinion, on a general basis, because we have laws in Norway, and we also have attitudes that the school should communicate. For a school student, it's unfortunate if you go to a school where you don't learn that homophilis is practised in Norwegian society. It's natural, and this is something you'll meet as a citizen. So I think that Norwegian schoolchildren, whether in good private, Christian schools or in public schools, should know that homophilia is natural and that they should not discriminate or look down on people with homosexual orientation.
ParlaMint-NO_2008-04-23.ana.ud1988e387	Ulf Erik Knudsen - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e390	This change in law, this redefinition of marriage, is a major concern of the various churches and religious organizations in Norway. If you look at previous statements by labour party politicians and SV politicians in Norway, including government positions, you have been involved in bishops' recruitments, employers' policies and the content of school books, and you have threatened church communities and schools with reduced appropriations or with depriving them of the appropriations. The Council's response so far today gives us no reason to believe that the concerns are not fully real. In connection with the hearing we had on Monday, the following questions were asked: Will there be exemption arrangements for children of Christian parents in schools where the new marriage law is to be taught? And: Will there be exemption arrangements for Christian teachers who do not feel at home in the definition of marriage that the Government has laid down?
ParlaMint-NO_2008-04-23.ana.ud1988e397	As regards the practice of private school law legislation and State aid schemes for private schools, there are questions to be addressed to the Minister of Knowledge. Now we've had a discussion in Stortinget, and we've agreed on a new arrangement in the relationship between state and church. We are constantly moving towards giving the Norwegian Church more internal autonomy. But it doesn't mean that we don't want a general and broad discussion about important value issues within the Church. I am sure that the Christian private schools we have today are busy giving children and young people a ballast to participate in the society we have. But the society to which the kids are going is quite different in terms of gays, than the society we saw 20-30 years ago. So these kids have to know that homosexuals are part of our society, and they also have to be prepared to meet children who have gay parents. It's an important part of generalisation in our society.
ParlaMint-NO_2008-04-23.ana.ud1988e406	Let's move on to the next main question.
ParlaMint-NO_2008-04-23.ana.ud1988e409	I have a question for the Minister of Fisheries and Coast. Through the management plan for the Lofoten and the Barents Sea, the Government opens up record areas for petroleum activities in the northern regions. We now find that the level of conflict between oil interests on the one hand and fisheries and environmental interests on the other is becoming acute. The Council of State Party and Energy Policy Spokesman of the Workers' Party, Tore Nordtun, have called for a decision on the principle of opening up petroleum activities in the sea area outside the Lofoten and the West Sea when the adoption of a new roll-out election programme in the Workers' Party. In fact, it is one year before the investigation work through the management plan, which will be the basis for the future status of the marine area, is completed. The Minister for Fisheries is in charge of this programme work as Vice-Chairman of the Workers' Party. My question is: does the Minister for Fisheries and Coastal Affairs share the scepticism of the coastal population and fishermen for petroleum activities in the sea area outside the Lofoten and the West Seas, or will she, as the North Tune trap, open up petroleum activity in this vulnerable sea area?
ParlaMint-NO_2008-04-23.ana.ud1988e418	When the Government presented the management plan for the Barents Sea, the leader of the Fisker Team, Reidar Nilsen, said the day after that the fishing industry had been fully informed. I believe that the management plan we presented was a very good balance between the different interests and the different industries that use the Barents Sea. Then we're going to come back to the areas outside of Lofoten and the West Pole in 2010, when the management plan is to be revised, and when we've picked up the knowledge base we've said we're going to pick up on seabirds, seismics and bottom mapping. With regard to the programme for the Workers' Party, we will have an open and inclusive process in which all those who have opinions on this matter will be brought to their attention. But not in the programming process either have we so far concluded on that question.
ParlaMint-NO_2008-04-23.ana.ud1988e427	I thank you for your answer. Sick if you've come a long way, you think, in the Barents Sea, Lofoten and the Western Sea are a much more vulnerable area. It has been protected in the past, and it is also an important coastal area that is involved in displaying a picture of Norway. My question to the Council of State is whether she shares the concern that is, because this area is special, and whether she believes that the fisheries organisations can be as happy and express as much joy when the plans come for this area, as she refers to the Barents area.
ParlaMint-NO_2008-04-23.ana.ud1988e432	I cannot stand here and preface the outcome with regard to the Lofoten and the Vestral, but at least I can assure the representative Skei Grande that the fishing interests will be very well cared for in the processes until the decision is taken. It is totally unthinkable that the Government falls on a decision that puts the fishing industry at risk. We must take into account fishing and environmental interests outside the Lofoten and the West Sea to the same extent as has been done for the Barents Sea.
ParlaMint-NO_2008-04-23.ana.ud1988e437	There will be follow-up questions - first André N. Skelstad.
ParlaMint-NO_2008-04-23.ana.ud1988e440	Minister for Fisheries, Minister for Oil and Energy Åslaug Haga admits that the land conflicts between the oil industry and the environmental and fisheries interests are at stake. The Minister for Fisheries has so far not been on the road in relation to fishermen's interests. The Oil Directorate has now proposed to launch 104 new oil and gas exploration concessions. Several of the concessions are in vulnerable sea areas, in important spawning areas for fish. The proposal has been met with massive criticism from environmental and fisheries organisations. Can the Minister for Fisheries guarantee that she will take care of fishermen's interests when the Government takes a decision on the final scope of the exploration area through the 20th concession round?
ParlaMint-NO_2008-04-23.ana.ud1988e446	With regard to the Barents Sea Management Plan and its follow-up, including the shooting of seismics, the Government follows up the majority of the population determined at the time of the processing of the notification at Stortinget. The Ministry of Fisheries and Coastal Affairs has very good cooperation with the Ministry of Oil and Energy with regard to the allocation of new land and the conditions to be attached to the oil industry and is very pleased with that process. We have also started several working groups now dealing with how to jointly use the land, where both the underlying directorate and the industries concerned themselves have been represented.
ParlaMint-NO_2008-04-23.ana.ud1988e451	Ivar Kristiansen - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e454	There has been broad agreement on the procedure for the management plan. It is also a misunderstanding if someone believes that the fishing industry is opposed to exploration in the Lofoten-Westerålen-South Troms areas. But the whole approach taken by the Government bears the mark of internal conflict, which creates conflicts, and which in turn creates poor communication, not least with the fishing industry. Seismics, on which the main questioner was involved, is one such example. The bad communication -- not to say no communication -- creates a deep conflict, which creates resistance. Will the Minister for Fisheries now ensure dialogue with the Norwegian fishing industry so that the procedure and implementation of the management plan are restored?
ParlaMint-NO_2008-04-23.ana.ud1988e459	I believe that regardless of how dialogue and processes are organised, the extent of the petroleum industry in Norway and where it is going to go will always differ at the end. Having said that, I would like to say that the Ministry of Fisheries and the Coast has a very close and good cooperation with the Ministry of Oil and Energy in clarifying the issues it has been discussing in the last few months, especially in relation to seismic shooting. There have been several working groups in progress. One has made suggestions on how to better announce compensation schemes, and has also proposed new requirements, including: to allow fishermen to be on board seismic vessels, that fishing vessels should always take precedence over field and other specific measures. They will now be followed up both in the Ministry of Fisheries and Coastal Affairs and in the Ministry of Oil and Energy. So the fishing industry is going to be very much taken into account in the further work as well.
ParlaMint-NO_2008-04-23.ana.ud1988e464	Line Henriette Holten Heimdal - for follow-up questions.
ParlaMint-NO_2008-04-23.ana.ud1988e467	In Lofoten and Vesterålen we find the best spawning and growing conditions for the fish. That is why the Christian People's Party has said that in this area we must have petroleum-free zones, because this is such an important area in view of our future. We can only see in today's news picture that fish are being pulled out as an important part of the food crisis in the world. This spring there will be a lot of seismic shooting outside of Lofoten. Representatives of the Norwegian Coastal Fisheries Team call this shooting carpet bombing -- it's hidden from us, yes, but the fish notice it. This may also be why the annual meeting of the fisheries and aquaculture industry last week said no to petroleum activities in the vulnerable areas of the north. 100 billion dollars is the oil in this area estimated at. My question is: is the Council willing to sacrifice Norway's most valuable fishing resources and Lofoten as an important tourist destination for a short-term oil adventure at a price of DKK 100 billion?
