ParlaMint-NO_2008-04-09.ana.ud1393e22	The representative, Hans Frode Kielland Asmyhr, will present a proposal for a representative.
ParlaMint-NO_2008-04-09.ana.ud1393e115	If the reality description that Sonja Själi here is trying to draw, would have been true, then I would have been really worried. I can assure the representative, Sjöli, that this case has not boiled away in the cabbage, this council has not given up at all. I am very concerned that we should ensure good quality in the food supply throughout the country. With regard to St Olav's Hospital in particular, I have asked for a briefing on that situation. When it comes to summer entertainment - there's nothing else that has started under this government, that people have to have vacations in the summer; that's the way it was when the Right was in government, and that's how it has been for many years - I've asked that we prevent it from being so that it's not enough follow-up service, that it is not closed more than necessary, and that it should not be closed because of economics. I have today a meeting on that matter in the department to make sure that it is not closed more than necessary, and that the pregnant women who have to give birth while it is closed are guaranteed good follow-up in other ways. Then this government will very soon come back with its own plan to make birth care even better in our country. We live in one of the safest countries in the world to give birth, but we're going to be even better, because there are also unfortunate events happening in us. It's a matter we'll get back to in a very short time. The new National Council for Paternity Care is now soon up and running. I'm absolutely sure there are very good people coming in who have a good bearing on what they're talking about.
ParlaMint-NO_2008-04-09.ana.ud1393e126	I now think the Council of State repeats itself. These promises have been made in the last two or three years without any improvement in the situation. Unlike Brustad, the Right does not believe that there is only more money that is the solution, but also a better organisation, structural change, priorities and better leadership. The right has always fought for better quality in the food supply, and the Council of State knows that. The situation that has now arisen, she cannot talk away from it. She has to take into account the reality as the pregnant and the birthing experience, namely a poorer offer, unforeseeableness and insecurity. It's just reading the papers. Time and time again, fire-fighting must be operated. Now Brustad has the responsibility, she has to stop blaming others. The right now requires that she take responsibility and ensure a safe and sound offer for nursing women throughout the country. What will the Council of State do to ensure a good, sound and secure midwife preparedness in the municipalities and a good follow-up service?
ParlaMint-NO_2008-04-09.ana.ud1393e133	At least this government has not said that only money is the solution. On the contrary, there are a lot of other measures that have to be taken in this sector, while at the same time giving money. This government has for the current year provided the most historic hospital budget - significantly more than under the government for which Sonja Sjøli and her co-representatives were part of the foundation. Like the representative, Mr Sjöli, I am very concerned that pregnant women should have safe, good offers throughout the country, and that there should be predictability. This applies from the time you get pregnant and are going to have a follow-up in the municipality, and I believe that there must be a real freedom of choice in all municipalities, whether you are going to a regularity or to a midwife. In other words, we need more midwives in several municipalities. It must also be such that there is good food supply throughout the country. Unfortunately, it is not today. There the government is going to propose changes, and we're going to come back to it in less than a very long time.
ParlaMint-NO_2008-04-09.ana.ud1393e140	There will be follow-up questions - first Linda C. Hofstad Helleland.
ParlaMint-NO_2008-04-09.ana.ud1393e143	It is incomprehensible to me that the Council of State is now continuing its explanation of the situation of the natives. I would like to inform the Council of State that the representative Sjøli's description of reality actually matches reality. It's just to read the Address Paper in the last few days. There are trade unionists who say that St Olav's Hospital shuts down the maternity wards at night, and they say that births are being speeded up for the children to come to the world before the department shuts down. The midwives warn against this, it creates more stress and increases the risk of complications. St Olav's Hospital must save more money, and there are women and children who have to pay the price, in terms of insecurity and danger of health damage. The Council of State may well agree that changing the maternity centre/department in the middle of a child is not optimal food conditions. Does the Council of State think it is good health policy to push women to birth in office hours?
ParlaMint-NO_2008-04-09.ana.ud1393e152	I do not think it is a good solution that when the birth is started, the birth will be replaced from one department to another. It's quite obvious. I've also taken up already with the management of Health Mid-Norway what's really the situation at St Olav's Hospital. I've asked them for an orientation. What management has assured so far is that it is not right what has been written and said that hormones are used to accelerate births. I trust that's right-- and that should just be missing. Then, when I get that briefing from St. Olav's Hospital, I'm going to go into this, because all women, including in Health Mid-Norway, are going to be sure that they get good, safe and sound follow-up when they're going to give birth. That is why I am very concerned about that situation. And the representative probably also knows that the county doctor has gone into that matter.
ParlaMint-NO_2008-04-09.ana.ud1393e160	Harald T. Nesvik - for follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e163	The situation of pregnant and pregnant women is a recurring theme in this room. We are now approaching summer, and we remember all the debates both last year, previous year and year before there again in summer-bound food departments around the country. The debate is now under way again because a number of health businesses have to make some savings in order to achieve a financial balance, which is the requirement of health businesses. We have also just seen a big look at the situation of the natives in Central Norway, and the situation that arose related to the summer-related maternity ward in Volda, the municipality of Ørsta, and which the Health Authority has reported on. My question to the Council of State is this: Will the Council of State now ensure that it does not get a worse offer around the country in individual municipalities because maternity wards have to stop in the summer? What will the Council of State do to ensure that this does not happen?
ParlaMint-NO_2008-04-09.ana.ud1393e172	Summer closures shall not be for economic reasons. But that it must be a certain summer closure because people are going to have a vacation, is nothing new this year and was not last year, nor was it the year before there. That's quite correct -- and I was also very upset about some of the cases I saw of summer closure last year, not least at Narvik Hospital, where the pregnant women were not informed, where there was no accompanying service, and where the system was not set up so that the pregnant women were guaranteed good and safe follow-up. I have mentioned this with the health companies, and today I have a meeting in my department to make sure that you do not repeat it as some health companies did last year, and that all pregnant women, including those who are going to be born in the middle of the summer, are guaranteed good quality. This means that to the extent that there are closures, there must be good follow-up, for example. with accompanying service. Unfortunately, this was not the case, for example. in Narvik last year.
ParlaMint-NO_2008-04-09.ana.ud1393e179	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e182	Unfortunately, the director of the University Hospital Nord-Norway has decided that the maternity ward at Narvik Hospital will be shut down for five weeks in the summer of 2008. In 2007, the Council of State said that no maternity wards should be closed due to economic circumstances. Similarly, the Narvik maternity ward was closed last year, which was also pointed to here by the councils. The natives become anxious, and they become insecure. Is that how we are going to treat women and children in Norway in 2008? We asked the question last year, and we ask it again this year: will the Council stop the summer closure of the maternity wards, and quite specifically the maternity ward in Narvik? This cannot be experienced by the birthing women in Narvik even until the summer of 2008. We have, as I know, not an operational midwife service that has been upgraded, until now.
ParlaMint-NO_2008-04-09.ana.ud1393e189	When I got to know the situation in Narvik last year, I immediately intervened. That's also one of the reasons why we have that meeting in the ministry today -- to make sure that it's okay not only there, but also elsewhere in the country. The fact that it's decided by the UN to close it for five weeks doesn't mean that it's necessarily going to be like this. One of the reasons I'm having a meeting about these things today is that I just want to make sure that we're not going to relive the situation that unfortunately some birthing people experienced in Narvik last year, because that's not what we're going to do about pregnant and pregnant people in Norway.
ParlaMint-NO_2008-04-09.ana.ud1393e194	Gunvald Ludvigsen - for follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e197	The summer closure of maternity wards is something we have unfortunately been watered down with. The last day in the Official Journal of Bergen it says that the "Food" of Voss is in danger. And when I hear the Council of State today say to these other questions that we should not close more than necessary, I have to say that it is not particularly trusting for pregnant women, especially in the districts. I also have to say that there is a rather surprising response from the Council of State that has said that one should not close because of the economy. There is at least no guarantee for all those born who now have to travel long distances. So my question to the Council of State is, can the Council of State assure that no maternity wards are shut down this summer?
ParlaMint-NO_2008-04-09.ana.ud1393e204	I can't do that. But what I'm talking about is that it's not going to be closed for economic reasons. But that also people who work in hospitals must have a vacation, I assume we all agree on that. And then there's a problem for a few weeks in parts of the country, and I have a lot of attention on it -- especially in those parts of the country where there's a long way between hospitals. That's why I'm going to have that meeting today, and the goal of it is to ensure that all women throughout the country will have good follow-up and safe offers even when those who work in hospitals - seafaringly - are going to have a vacation. But we're going to make the closing time as short as possible.
ParlaMint-NO_2008-04-09.ana.ud1393e209	We move on to the next main question -- from Harald T. Nesvik.
ParlaMint-NO_2008-04-09.ana.ud1393e212	I will also be allowed to ask questions to the Minister of Health and Care. Today, we have a relatively demanding situation in regional health businesses. That's about. NOK 1.5 billion to be saved for the current year to balance the economy. This is the fact -- maybe plus/minus a few tens of millions, but in that order of magnitude it is. This makes it possible for a number of hospitals and healthcare companies to now sit and wonder: How are we going to get this done? How are we going to make functional benefits? How are we gonna get to the finish line? In addition, you meet a paycheck, which we're now in. 5 pst has been added to this year's budget. wages and salaries of the health care system. We have received a signal that, besides that, there will be no compensation from the central authorities, whose wage-fixing means higher growth. We've looked at the requirements that have come in, and it's approaching 7 pst. a difference of 2 pst. Each percentage is 500-600 million. kr annually in additional expenditure for health enterprises. This could result in a number of offers being hit once again, unless this is compensated by the central authorities. My question to the Council of State is as follows: when you see the end of this payroll, will the Council of State be involved and contribute extra funds if it turns out that the growth is higher than 5 pst. ?
ParlaMint-NO_2008-04-09.ana.ud1393e226	Firstly, the money spent on hospitals this year represents the best settlement ever in Norwegian history. Then it's true that some hospitals have migration challenges for the current year. It is mainly about the fact that some hospitals have not complied with the Stortingen decision, but have spent more money than they have been put to. We have to end that, because if you don't have control of the economy, you can't give the best possible treatment and have the right priority for those who actually need the help. The payroll should not I mean anything about now. We've put what Mr. Nesvik here says in the budget statement for the current year, and I'm not going to think anything about the payroll or shoot either one or the other. Then the government and I are very concerned that there needs to be changes in Norwegian hospitals, not least in order to get a better quality. We have to distribute functions even better. We have to centralize some of the most demanding surgery in serious diseases. So there's going to be changes. But I believe that with the money that Norwegian hospitals have received for the current year, it is fully possible to make a good and equivalent health offer for patients throughout the country.
ParlaMint-NO_2008-04-09.ana.ud1393e237	It was just to be lacking that the Council of State could say that we have got the best settlement for the hospitals ever. I think every health minister could say that in the years to come, because both the wage and the cost are increasing in the hospitals. I am absolutely sure that every year the funds for the health sector will be bigger than in the previous year, so that's not a good argument. I will not challenge the Council of State to enter into the wage settlement at all. My question is related to compensating for the higher costs that health care will derive from this. Will the Council of State be able to give a signal here that you will be involved and contribute if the salary increase is more than 5 pst., so that the offer to Norwegian patients does not get worse?
ParlaMint-NO_2008-04-09.ana.ud1393e244	The offer to Norwegian patients shall be very good also for the current year. The representative of Nesvik knows very well that I can't or should feel anything about the payroll and any relationships around it. We have put in money to handle the paychecks also for hospitals in the budget for the current year. Then the payroll has to go its way, and I'm not going to mean anything about that.
ParlaMint-NO_2008-04-09.ana.ud1393e249	It's going to be follow-up questions -- first Vigdis Giltun.
ParlaMint-NO_2008-04-09.ana.ud1393e252	Every week since the turn of the year, the media have taken up the economic situation of health businesses. This year's wage settlement provides a well-earned grant to many of those employed in the health sector. But the cuts and conversions we've seen so far this year have actually led to longer waiting lists and a worse patient offer. If the government chooses not to go in with extra funds as a compensation for an extra high salary settlement, this will exacerbate the situation. We are already seeing a long wait for radiological studies. We see that people pay private for this type of investigation. We see that they pay for treatments and also for operations at private clinics where the public paid earlier. Governments have put an end to it - an end to the use of all the available free private capacity. It can be wondered whether waiting time is now calculated according to the hospital budget and not according to patients’ needs not to get worse during the waiting period. Is that so?
ParlaMint-NO_2008-04-09.ana.ud1393e261	It should be believed that there was a great deal of poverty in the hospitals in this country. That's actually not the case. When I'm out and going, or when I get letters, e-mails and telephones, I actually get a lot of enquiries about how great people think our healthcare system is. It is clear that there are challenges, but the reality description the Progress Party is trying to produce here as a general picture of the hospital in Norway, that there are worse patient services, is not correct! We can treat many more diseases and many more people than we have ever done, for example. people with heart attacks, who before was not a certain age limit for surgery, but who could not be operated on up to a certain age because of the technology -- today there is actually no age limit -- or deaf, who had to remain deaf before, but on whom one today can operate a little thing behind the ear. That's good, and that makes people line up. It is also not correct that the waiting times have increased somewhat, it is only a small adjustment of two to three days. I think that's quite normal fluctuations. So it's wrong that we've put an end to all use of private businesses. [[President clubs]]
ParlaMint-NO_2008-04-09.ana.ud1393e272	Elisabeth Røbekk Nørve - to follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e275	Providing health businesses with a healthy and sustainable economy and the population with a good supply means that structural intervention needs to be taken. The state councils have so far not made it. We now have a wage settlement that, together with the lack of structural intervention, will help health businesses to have greater financial problems. This means that the promises made by the Prime Minister in the election campaign cannot be carried out as promised. The Prime Minister promised that the construction of a new hospital in Molde and the new Children's Department in Ålesund could be started if the enterprises had the power to balance. They have. What will the Council of State do to comply with the pledge of the election campaign on new Molde Hospital and the new Children's Department in Ålesund?
ParlaMint-NO_2008-04-09.ana.ud1393e284	There is no change in those election promises, and Health Mid-Norway has got more money to invest than any other region in the country, among others. Because we're in the process of Norway's largest land-based construction project at St. Olav's Hospital, which is going to be an outstanding, great hospital. It's planned for a new hospital in Molde. It's coming. It is also planned for a new Children's Department in Ålesund. It's coming. But Health Mid-Norway has the framework they have at their disposal, as all the other regions of this country, and they have prioritised St Olav's Hospital as No. 1, two DPSs as No 2 and saw Mold and Eel. So it's coming. There's no stopping the planning of the hospital in Molde.
ParlaMint-NO_2008-04-09.ana.ud1393e293	Laila Bavøy - for follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e296	The hearing of the Committee following the State Council statement on the financial situation of hospitals has confirmed that major changes, the winding-up of patient services and the closure of departments and hospitals are underway. The private ideal hospitals are also in a huge mess. If it turns out that we get a paycheck as high as 7 pst, it's of course a pleasure for the employees, but the ideal private hospitals will have an extra burden on an already completely unmanageable situation, namely increased pension costs, as the council knows well. Here the Council of State has promised to follow up from the Government. So far we haven't got a solution, and it's unreasonable, as the private hospitals themselves say, that they have to wait until revised before they know this. So in addition, there's a hugely high paycheck. How in the world has the Government planned to solve this for the private hospitals as well? Or, how do you want to solve it - because they have to get funds, they can't handle it by themselves?
ParlaMint-NO_2008-04-09.ana.ud1393e306	First of all, I want to say that very many of the private ideal hospitals we have are doing a very big and great job, and we're dependent on them. A lot of patients depend on the job they do. When it comes to the issue of pension expenditure, I have previously said, as the representative knows, that the Government is also working on it, and we are coming back later in the revised national budget. It is in a month's time, and I have no answer but that today. In the case of wage-fixing, the representative Davøy, who has been on both sides in terms of wage-fixing, both in government and in trade-union, also knows that there is something that government councils cannot or should not respond to at the time we are now in.
ParlaMint-NO_2008-04-09.ana.ud1393e315	Lars Sponheim - for follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e318	My follow-up question goes to the Minister of Finance, since the question is about the consequences of the hospital payroll, and also beyond that. I certainly believe that it is demanding enough for our dealers in both the state and the municipality to find a solution, whether or not they should be informed by Stortinget, as we have seen today, that they should only excrete, for the state pays. There has been a result in the private sector of 5.6 pst. The budget says 5 pst. increase. I think I'm going to live with that. Equally, wage-fixing is demanding, as well as the consequences, because we may be at a break point in the Norwegian economy, where prices and perhaps interest can be taken as a consequence of an excessive wage settlement. I think it is time for the Minister of Finance to have the opportunity to hold a moderate appeal in Stortinget. This is the occasion, Minister of Finance! [[Laughter]]
ParlaMint-NO_2008-04-09.ana.ud1393e329	I am so happy that I can trust the representative Sponheim, for now I have been sitting behind here for a while without having the opportunity to point out what was just one of his points in the question. No one can seriously believe that the Minister of Health can stand here and say: No, now only the hospitals have to negotiate, we take the bill. It's completely impossible, everybody understands, it doesn't matter. It's true, as Sponheim's representative says, that we are now facing a demanding wage settlement. The private sector agrees on a framework of 5.6 pst., and the requirements we so far see in the public sector are significantly higher than that. Of course, I will not go into commenting on the details of the settlement that is, but I think it is wise to look back on the lessons we have from 2002 and 2003, when we were at the end of a boom, and when we got a hit that meant that more than 30 000 jobs were lost in the competitive sector. That is the warning that must go to everyone, because that is the reality. We don't quite know how this high economic activity surfaced out, but the challenge is there.
ParlaMint-NO_2008-04-09.ana.ud1393e340	Then the appellant must go and sit down. [[muttering in the hall]]
ParlaMint-NO_2008-04-09.ana.ud1393e343	I have a question for the Minister of Health. An older lady who was admitted to the hospital again shortly after she was discharged was met with the following: “We have been waiting for them” - implicitly: they expected a quick cleaning. This opinion testifies to the fact that elderly patients are discharged from hospitals without having received the treatment they need, or receive adequate treatment and care when they come home. A city councillor in Oslo said this to the evening post the other day: ‘We have many serious and shocking examples of elderly, sick people being discharged from hospitals, without, in our opinion, being fully investigated or treated.’ It's simply inhuman. A study from Akershu University Hospital showed that ten patients died the same day they were sent home, and 40 died the first week. The study shows that sick elderly people are sent back and forth between hospitals and hospitals. The focus on the economy in hospitals is on the patient flow. The pressure for rapid printing is increasing, particularly affecting the sickest of the elderly. Today’s funding system focuses too much on efficiency through the number of treated patients over quality. This also affects the interaction between the hospital and the municipality. My question to the Council of State is: what will the Council of State do to prevent the sickest elderly from becoming wasteballs - or should we say continue to be wasteballs - between health care levels?
ParlaMint-NO_2008-04-09.ana.ud1393e361	Older people shouldn't be throwing balls in our health care system. I am aware, as the representative of Davøy, that unfortunately there are examples of this. I believe one of the most important challenges facing us in the healthcare system is that we are able to achieve an interaction between primary health services, care centres, hospitals and hospitals. I'm concerned that people are not supposed to be printed before they should be printed. But it's not like older patients need to be typed in if they don't have to. Today, there is a situation in which I am absolutely sure that many elderly patients who are in hospital and are very sick, some of them dying, are admitted to hospital when they should have been allowed to end their life in the hospital, and have received treatment and a worthy follow-up there. I think Akershus University Hospital is a good example of how this can be done. They have established a contact telephone that all hospitals in Akershus can call and say, for example.Harry Hansen, 89 years old, is now so sick, what should we do? In a very large number of cases, patients can stay in the hospital and not be driven into Aarhus, following such changes leading to older people. So I think there is also a lot to be able to treat and help especially older people in hospitals and in the municipalities where they belong. It's this interaction we have to get even better at. The government, as the representative is sure to know, has concluded an agreement with the Municipalities' Central Association at national level. We assume that this also happens at local level in all counties and in all hospitals and with all municipalities. Practical solutions need to be found to ensure that we do not experience situations such as those in the example of the representative Davøy here. We fully agree on that.
ParlaMint-NO_2008-04-09.ana.ud1393e372	The reality is that this is happening all over the country. It's nice that some hospitals in Oslo might have found a solution to this, and we can probably find some good examples elsewhere. But too many older people experience this every day. On several occasions, the Council of State has also assured that hospital priorities at the hospital level should not occur, but that sick elderly people are being discharged prematurely. The sick elderly must receive the treatment they need. There is a need for increased competence in the disease of the elderly at all levels of specialist health services in municipalities. But there is also a need to take a number of new governance measures, and more governance is what the Council of State refers to right now. The government announced in the care notification, which came a year and a half ago, that in 2007 they would present an action plan to strengthen specialist health services for older people and that they would follow up the funding of the plan in the government budget for 2008. My question is whether the Council of State can explain where this initiative was.
ParlaMint-NO_2008-04-09.ana.ud1393e381	It comes, and there will also come more and, I would say, better governance to achieve interaction than is the case today. I think some of the best example we have in addition to the way Ahus has done it - and we have many other good examples too - is Søbstad in Trondheim, which I am absolutely sure the representative Davøy knows. Many elderly patients receive good follow-up and treatment there, which means that more people survive and receive more valuable treatment than they would have received in hospitals. I think we need more places like that, and the government is now also looking at how we can learn from it and get more like that in the country. So I just want to repeat that using the input-driven funding down to the department level, as has happened in some hospitals, is not in line with the legislation. It gets tightened up in front of the hospitals. And, of course, it's like older patients like everyone else are going to get very good and equivalent treatment and not be throwing balls. But there's a challenge.
ParlaMint-NO_2008-04-09.ana.ud1393e390	There will be follow-up questions - Åse Gunhild Woie Duesund.
ParlaMint-NO_2008-04-09.ana.ud1393e393	A patient almost 90 years of age with Alzheimer's was suddenly sent home from the hospital to an empty house, even though both the registrar and the hospital doctor felt that the patient was unable to handle himself. The result is often a worsening of the disease and a further need for treatment and care. Such practices create insecurity both within the patient and among relatives and clearly show that we need a guarantee of dignity, a guarantee that the needs of the elderly will be given priority first. This has been agreed and committed by the Council of State. So my question to the Minister of Health and Health is quite specific: When does the guarantee of dignity come?
ParlaMint-NO_2008-04-09.ana.ud1393e399	I can confirm that we are on the basis of the agreement we have concluded, among other things. with the Christian People's Party, and I'm very happy about it. It also applies at this point. The government is working on it right now, so I can't say exactly today, but we're going to get there as soon as we're ready for it. So to the example the representative has of the 90-year-old person. Once again, that's not the way it's supposed to be. It has to be clear. Therefore, it is also as important the grant proposed by the Government and to which the Storting has given its consent, in order to build more hospitals and also more short-term places. Because it seems quite obvious, without knowing the example, that the person - insofar as one should not have been treated in the municipality, but if one had to go to hospital - should at least have been discharged to a hospital, possibly a short-term place, and not have been sent home to an empty house. That means that we need more short-term places and more long-term places, and that's why the new grant that municipalities can apply for is also a very positive grant to get it in place.
ParlaMint-NO_2008-04-09.ana.ud1393e406	Harald T. Nesvik - for follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e409	I'm 100 pst. agree with the Council of State that it is important to improve the interaction between specialist health services and the municipalities, and in particular given that we are now most likely to write to many people in hospitals, including those in hospitals. from nursing homes. The reason for this is, among other things, that we do not have enough competence in individual hospitals to properly care for patients there. In addition, when a patient is in hospital, the municipality and the hospital have to cover medical costs, but if the patient is in hospital, the healthcare company has to take the costs when the patient is there. Ergo is actually a situation where we have a lack of competence in the municipalities as well as a funding system related to these services that opposes us starting and doing an even better job in the individual nursing home. My question to the Council of State is: in the dialogue you have with KS, and also in the state apparatus, do you want to look at what's going on with the funding system here, so that you don't have anything contradictory, I kept saying, but what you actually want here?
ParlaMint-NO_2008-04-09.ana.ud1393e414	I can confirm that we are now looking at many different proposals and arrangements to get to what we call the seamless offer, so that patients should not notice if they are here or there, I would have almost said, but that we ensure good offers at all stages, and that the interaction goes painless. Then I fully agree with the representative Nesvik -- I believe one of the biggest challenges we have in this area is that there are too many elderly people who end up in hospitals that should have been treated in the hospital and in the municipality. There is a need for expertise, and it is quite clear - and I also agree - that medical services in hospitals need to be strengthened. That is why we have now asked for an overview from all the counties and municipalities of how it is done, what action we should take to get more doctors in there, as they have at the Red Cross Hospital in Bergen - fantastic setup. We should have more of that in the whole country, and we get to it, and we get to a better link with the hospitals -- and I'm optimistic there, once again the example of Ahus -- we'll also be able to provide both a more dignified situation and better treatment for the elderly, where they don't get dragged out and out of hospitals, as the situation is too many today.
ParlaMint-NO_2008-04-09.ana.ud1393e421	No pay - for follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e424	It is not so difficult to agree on the problem description, and I fully agree with the Council of State that the problem may be that too many older people are written in, and not that they are printed out. But the question is, why does this happen? The answer to that is obvious, that's because it's in the hospitals the doctors exist. There is a need for doctors in our hospitals, and the doctors do not exist where the elderly exist, and where there is a need for medical expertise. Most of these shipments to hospitals are due to the absence of adequate medical expertise in which the patient is located. A simple grip proposed by the Right, I would like to hear the State Council's comment again: why can't you do anything about such a simple phenomenon as the pay gap between doctors working in the hospital sector and doctors working in hospitals? Couldn't it at least be a grip?
ParlaMint-NO_2008-04-09.ana.ud1393e429	I don't want to comment on salary issues at this point either, except that I know it's a challenge. Then they've done something very interesting in the Health West, because there's been a situation where more hospitals have been employed, among other things. more doctors than they've had money for, and we've also seen that some of them haven't dealt with the national framework for how many doctors are going to be hired in hospitals. It's now tightened into the Health West. This has meant that you have filled up many vacant permanent homes, among others. in Sogn and Fjordane, which was before empty. So we're now working on tightening up at the hospitals, getting more people into the municipalities and more people into the hospital. I also believe that one catch of several in this area is what has now been agreed to, namely that doctors in the tour must also have practice in the nursing home. We hope and believe that there will also be one of many contributions to find the work there interesting.
ParlaMint-NO_2008-04-09.ana.ud1393e434	Gunvald Ludvigsen - for follow-up questions.
ParlaMint-NO_2008-04-09.ana.ud1393e437	We hear in this debate that older people are throwing balls, older people are turning door spaces, and we're always talking about unworthy situations. And then we are all a few people about interaction - we are so many about that, and that is the great mantra in this debate. We want to, but we don't get it-- at least we don't get it to work well enough. Governments today have been involved in different things, but here there must be some structural grips and some stronger incentives to get to this which we are all a few about to happen. So my main question here is, what will the Council of State do to achieve a real interaction between the specialist and primary health services, and to achieve a truly holistic patient course, or, as the Council of State itself was involved, a truly seamless service?
ParlaMint-NO_2008-04-09.ana.ud1393e442	I'm probably a little more optimistic than the representative Ludvigsen, because I want to say that we're going to get it done. But we are not quite in the goal today, and therefore I believe that there must also be more pressure on it. That's why we're now going through different arrangements to look at how we can do this even better, and also in that area maybe can control something more. In addition to what many have already had in mind, to strengthen the competence of the municipalities, which I believe is one of the most important things we can do, the government also wants to strengthen its efforts with more outpatient teams. We want to get more district medical centers that are closer to where people live. It will also help elderly patients, and we also believe that our local hospitals, of which we have many - and all of them to pass - should deal with older patients more closely than is the case with some hospitals today. But basically, I think, in this area, we have to make sure that those who need help and treatment, and in this case older, sick people, get good treatment where they are, so they don't move so much in and out of hospitals.
ParlaMint-NO_2008-04-09.ana.ud1393e447	We're going to go to the next main question, which could be the last one -- it's asking what Sponheim is able to go up!
ParlaMint-NO_2008-04-09.ana.ud1393e451	Thank you for that, President! My question goes to the State Council Halvorsen. It's been a week since we had completed wage settlements in the private sector in the LO-NHO area, and the wage settlement also made decisive clarifications regarding the AFP and the future finalisation of our pension system. There is reason to say that we should be happy in this country because we have put in place a comprehensive pension reform that provides savings for the next generations in a way that seems to be happening with harmony and tranquillity and broad upturn. That's basically good. But then in retrospect we have to do some reflections on whether this is the sustainable system we're going to be based on further. It is true that when the Pension Commission in its time put forward its decision, it was committed to adding the State contribution to the AFP into the general pension scheme, which meant that the contribution made by the State, which all taxpayers contribute, will also benefit everyone. Then the solution, the one on which I and part of the opposition in the Storting are involved, was based on a pension settlement where one accepts an AFP scheme that goes to someone. There was the assessment that it was necessary to have the necessary calm and stability around such a system. It would be politically impossible to get to anything else. Then it is also true that what happened last week has led to further State contributions to the AFP scheme that is therefore paid by everyone, but not received by everyone. There are many questions of principle, whether it is sustainable over a long period of time that only those organised in the LO-NHO area should be able to draw the bills on all citizens' money through the treasury, or whether one should further develop this for more. My question to the Council of State is: does she see no fundamental concern that we are now using, after this settlement, so much government money to an AFP scheme that goes exclusively to the trade unions?
