ParlaMint-NO_2008-12-09.ana.ud1828e61	The representative Dagfinn Højbrätt, who has been on leave, has again taken the seat.
ParlaMint-NO_2008-12-09.ana.ud1828e215	It is said that no one reads our budget position. I believe that, after trying to read it continuously during the weekend. But for those who endure, it's really very interesting and concentrated about the main issues in the health care system in this setting. According to this judgment, attention has shifted from more money issues to major health policy challenges. It is perhaps because in the last few years the government has taken a great deal of action to get the basic structure of economic governance in place. A better investment regime has been put in place with new depreciation rules, giving at least DKK 1 billion more per year in investment funds. A solution has been put in place for the expenditure on pensions, which was out of control. A solution has been put in place for the bias distribution. And a solution has been put in place regarding the implementation of the escalation plan in psychiatry. All parties seem to take on board that the increase from SEK 54 billion in 2002 to DKK 103 billion in the next year's draft budget is so large that there are other main issues than those dealing with more money, we need to focus on now. It is also reflected in the budgetary options of the parties. If you ignore the Progress Party, left has the highest bid that proposes 500 million. kr more, i.e. approx. 0.5 pst. in relation to the corporate budgets, and to the right with 230 million. kr more, i.e. 0.25 pst. – while the Advance Party then stands in a separate class. You could perhaps be jokingly saying that whoever was going to form a health department from this budget position would not have a very complicated negotiating task. However, there are also major issues of a health policy nature addressed, where the Committee approaches matters in many ways on a common basis. In the last year’s budget debate and in the debate on the Minister of Health’s financial statement, the main issue here at Stortinget was the whole patient cycle – how to strengthen the coherence of the patient course from prevention to rehabilitation, so that fewer people become seriously ill and go to hospitals. Everyone agreed that it is a major problem that we in Norway are at the top of the world in terms of what we use on specialist health services per year. It includes, but is not there for first-line services and prevention. Perhaps that's why we're not at the top either in terms of quality and good resource use and health efficiency? It is not the first time the theme of strengthening the first line and prevention, etc. has been up. It lies in the so-called Leon principle, and it was in what is called the Wisløff Committee. But no matter how heavy this insight seems to us now, it's not time to give up, it's no alternative. The new Minister of Health, who, after a few days at work at the end of June, was in full swing with the interaction reform. He took a strong hold on the thought shared by a close-up magnification. It's very well expressed in several parties' notes. For example, I can refer to the Right notes on the s. 15 in the budgetary position, where the very essence of the cooperation reform is well expressed. The objection from the opposition when the Minister for Health launched the cooperation reform was: Should we wait until April, should nothing be done during this parliamentary term? The Minister for Health has not intended to wait until the ageing period to start action in line with the interaction reform. As early as Friday – and it was announced in the budget – it was presented how changes to the ISF scheme will be implemented from 1 January, taking into account not only what medical specialists are doing in hospitals, but also that nurses and psychologists can trigger the instinctive regime in hospitals, in the local medical centre, in the chronic care for coal, asthma, diabetes, MS patients, etc. The system will also be able to be used in light treatment and wound treatment outside hospitals, and investigations and outreach activities will be possible — at all — creating a better response in relation to lifestyle diseases, chronic care, etc. This is the core of measures The size has already been called for to strengthen the work in areas that could prevent the flow into hospitals and address patients in the past. I expect the Minister of Health to think in the same way in the future in the context of the interaction reform – that we should not wait for all the implementing measures until they have been fully addressed, but that strong individual measures such as this will be possible, only within a whole that the Storting is familiar with and supportive of. It is important to look at all aspects of the healthcare system that contribute to this spiral, with increasing numbers of people in hospital and increasing expenditure, as we continue to work on the interaction reform. I think you have to look at the fixed medical system, and that there you can add up to a funding that better stimulates to make the job the best possible in the first line, and that you don't do too much further directly to the hospitals. I think you have to look at good mechanisms to build up local medical centers or hospitals in both districts and neighbourhoods, among other things. with the funding of observation beds — so that not so many are sent to hospitals for security reasons — and financing rehabilitation measures. As far as rehabilitation is concerned, I think we have to admit that it has not yet been the great promise in this big time period. We in the government parties have agreed that rehabilitation must be part of this cooperation reform. I hope and believe that the ISF changes that were submitted on Friday, about what you can do in the first line, could also be used for rehabilitation measures. I believe that by changing the forms of financing for rehabilitation in one’s own enterprise – there are more details that need to be changed in terms of the treatment of rehabilitation in groups, day-care, etc. – could make rehabilitation a stronger part of the patient’s course. I also believe that what the Committee has said about the duration of agreements with voluntary and private organisations operating rehabilitation institutions will lead to stronger interaction and a better commitment to rehabilitation in the future. It is important to stress that the interaction reform is not just about drugs, it is about drug care, mental health protection, care for the elderly, etc. It is at the heart of the interaction reform itself that all diagnosis and parts of the health system must be seen in the context. That is why the joint comments and the joint approach to drug care – which the chairman of the committee was in front of me – are just about interaction in order to carry out patient courses until a successful outcome. Because this is about a major challenge, the Committee also agrees that a new commitment must be made when the escalation plan for care expires in 2010. The same applies to mental health. The Committee's wish for interaction is reflected in the setting. It may be in the case of mental health that the opposition is most critical, but at the same time the government parties and the opposition have many common comments. This applies, inter alia, to: a common proposal to address the needs for multidisciplinary mental health work in municipalities. Getting more psychologists in the municipalities and more psychologists in the school health service. There are schemes other than calling psychologists specialists using name lists. The number of dwellings needed in the field of mental health protection needs to be adjusted. The competence to accept demanding patients transferred from the specialist healthcare system. There are major tasks in the field of mental health protection that have been highlighted by both the National Audit Office, the Health Inspectorate, etc., as the Committee – the government parties together with the opposition – approaches in an offensive way in the suspension. The care plan, committed by the agreement on the elderly, is also about interaction. The provision of quality records to follow the course of patients and to obtain person-identifyable quality records in several areas is also about interaction. It also makes it possible to put ICT in place in health services, so that it can be used across all levels of government. Finally, I want us to warn ourselves against linking all the questions we are now dealing with in the healthcare system to the interaction reform. We must also pursue concrete policies. I believe we do that in this setting, both government parties and opposition. But the measures get more direction and coherence when we see them compared to the major reform that is completed in April.
ParlaMint-NO_2008-12-09.ana.ud1828e245	It's going to be line change.
ParlaMint-NO_2008-12-09.ana.ud1828e248	It was good that, at least in the last twenty seconds, people didn't talk about the interaction reform that's going to come, but they became a little more concrete, or they said they'd be more concrete in the future. I will at least raise two very specific questions to the representative, Mr Bøhler: the Soria Moria Declaration states that the excesses in the health care system should be reduced and kept at a low level. Since then, self-participation 1 has increased by 12 pst., the proportion of medical care has increased by 10.25 pst., and the same for psychologists and physiotherapy. How does the representative, Mr Bøhler, feel that these increases in the prostheses are in line with the Soria Moria declaration of the red-green parties? Question no. 2, which should be reasonably easy to answer: What is the comment of the representative of Bohemia that the Government is not doing anything at all to follow up the National Action Plan related to diabetes, except that it is passed on to the big groups of the red-green parties last year, namely support for the Diaphon? What is Bohemia's comment on this?
ParlaMint-NO_2008-12-09.ana.ud1828e257	To the general comment on Nesvik, I would like to say that very many of the questions I raised in the budget position, which are related to the interaction reform, are very specific, whether in terms of drug addiction, mental health, elderly care or chronic care. So I thought that was an unnecessary comment. In the case of prostheses, the picture in this period is that we have removed the prostheses for 7-12-year-olds, we have removed the five-apple for physiotherapy, and we have lowered the prosthesis 2 by 1 000 kroner. As for what I was in the line change instead, the medicines that have been transferred to the health companies, you don't have any excesses. There have been price adjustments, and Nesvik will claim to be slightly out of line in some areas, but all in all, I would say that the picture in terms of promissory notes, in sum, is positive. The last question, about the diabetes plan, I'm going to go that far. In addition to Diafonen, which was mentioned, we also have the diabetes workshop and information activities to catch those who do not know that they have diabetes 2 yet, measures taken by the Government and continued in 2009. [[The President clubs.]] [[The President Clubs Again]] [[The President Clubs Again]] These diabetes interventions go across all health businesses. It's not just a single amount.
ParlaMint-NO_2008-12-09.ana.ud1828e266	The president's in a Christmas mood, but there's a limit.
ParlaMint-NO_2008-12-09.ana.ud1828e269	The Labour Party has been criticised by users, professionals and organisations such as the Salvation Army for their lack of efforts for drug addicts. The proposed increase in next year's budget is far from sufficient to correct the two previous rather poor budgets in this area. 4 000 addicts are in line for treatment. The waiting time is very long, and it's increasing. Jan Bøhler appeared on the TV2 news on Thursday together with Harald T. Nesvik and launched a campaign package for addicts. I have not found any trace of this package of measures in the budget setting. The Workers' Party does not support the Right's proposal to increase the appropriations by 100 million. kr. On the other hand, we have found a reason to reduce the budget by 1.5 million. to finance funds for increased physical activity under the auspices of the Norwegian Sports Association. What is the content of the said package of measures? And do you think it right to cut the appropriations for addicts, who, according to Jan Bøhler on TV2, are in danger of death, in order to transfer the funds to the Norwegian Sports Association?
ParlaMint-NO_2008-12-09.ana.ud1828e280	Thank you for the question. The Committee agrees that there is a need for a strong escalation beyond what has been proposed for the following year. We are therefore in favour of a new commitment from 2010. The appropriations for care have increased by 700 million. kr in this period in relation to the government that represented the wage. However, an overall committee – both the Right and all the government parties – has merged to focus on the most vulnerable, namely those who die of overdose. A rusacout has been added to be established in 2009 to accommodate patients who have taken overdoses and to bring them into a continuous course of treatment. It will be a very great improvement for the most vulnerable patients. The same also means the increase in treatment in prisons, where unfortunately many of those who are addicted to drugs are in prison. And the same thing is going to be the investment in better back-up protection and housing in the municipalities. [[The President clubs.]] Given that we've been working towards a joint effort on a common track in the committee, I think there's a very negative representation the pay representative gives in his question, although there's still a lot to be done, that we're going to go into in the years to come. [[The President Clubs Again]]
ParlaMint-NO_2008-12-09.ana.ud1828e289	I am very afraid that we have to install a gear here.
ParlaMint-NO_2008-12-09.ana.ud1828e292	I read in the setting from the government parties in the case of tenders that the government parties «satisfying the fact that the amendment to the regulation on government acquisitions opens up the possibility for regional health establishments to purchase specialist health services from certain private rehabilitation institutions without applying the procurement procedures laid down in Part III of the Acquisitions Regulation». So far, the government has said that the EEA rules prevent this, that the Ministry of Consumers and Administration needs some time, and that they are working on the matter. My question is, what change in regulation is what you're referring to, because I can't find anything that the government has made any change at this point? I also took it up at one of the committee meetings, but I really didn't get any feedback, either then or later. I think it's very good if there's been a change, but I can't figure it out myself.
ParlaMint-NO_2008-12-09.ana.ud1828e304	It is the view of the government parties that we need to come up with arrangements where we can get longer-term contracts, both in the area of rehabilitation and care, secure quality and be able to conclude agreements after negotiations, not only after tenders. Improvements have been made, especially with regard to child protection. There are changes out of consultation and there are changes that are now being discussed in the Government. So we have to get back to that. The Committee has come up with common comments on duration, although the opposition has made it concrete with 6 plus 2 plus 2 years, which we believe is a little concrete framework to set up already now. But the intention to create better conditions to build quality and build long-term sustainability for the partners we have in both the private and non-profit organisations, we share with the questioner.
ParlaMint-NO_2008-12-09.ana.ud1828e311	The cord shift is over.
ParlaMint-NO_2008-12-09.ana.ud1828e315	Let me first point out, in connection with my small exchange of lines with Jan Bøhler, that I perceived the answer to that, that the package of measures mentioned is the one that a unanimous committee has written into the vote. In that case, I think it is not appropriate practice for two parties to use the media to produce it as if it were these two parties who have submitted a package of measures. The budget debate is the annual opportunity to highlight the broad lines of health policy, describe the challenges we face, and outline the attempts of the parties to respond to these challenges. The first challenge is that health cows are growing quite sharply in today’s Norway. Under the current government, it has increased by a net of 35,000 patients. The figures for the second quarter of the current year show that there are 256,800 patients waiting for health care. Under the previous government, the queues were reduced by 85 000 patients. The waiting time has increased quite significantly for several patient groups, including for addicts who should have been given priority. In Health South-East, waiting time has increased by seven days. In Health Nord, drug addicts wait an average of four months for treatment. For a patient group called ‘indeterminate’ in the statistics, the waiting time has increased by 19 days from 2006 to 2008. At the same time, statistics show that there is an increasing variation between health enterprises as regards the right to provide the necessary health care and the number of deadlines. There's a variation of 8-22 pst, and there's nothing to suggest that this variation has anything to do with patients' need for help. The next point: Norway is the world leader in health money, and we only have medium-sized results to point to. Norway is the country that next after the United States spends the most money on health per year. the population. In a new European study, the Norwegian health system is ranked as No. 7, and we're ranked the worst country in the Nordic region. In a French study on the relationship between resource use and the effectiveness of healthcare, Norway is ranked last. We're in a situation where we're using more and more resources to save lives when they're hanging in a thin thread – that is, helping to survive – while we're exceptionally poor at providing help to live with the results of accidents and illness. We are developing a classed healthcare service in this country. An important reason for the increasing queues is the reduction in agreements with private operators, which, according to SAMDATA, was significantly reduced from 2006 – otherwise in line with the Soria Moria declaration. The sale of private health insurance has increased by 70 pst. Private hospitals report that they operate as many as before, but that an increasing proportion of patients now pay the bill themselves, because they are able to pay. Private drug institutions that have reduced the number of publicly funded places tell of despairing relatives who pledge houses and homes to fund a treatment site. I will briefly outline the solutions described in the budget statement. Firstly, the hospital crisis – the pressure on specialist health services with increasing health cows, large deficits and corridor Asiates – must be resolved outside hospitals. The Ministry of Health and Welfare's own figures show that patients could be saved for 400,000 lay-days per year if the health and care services in the municipality were better. Instead of depositing NOK 1 billion into the large drain of health care businesses, the right label EUR 400 million. kr to interaction measures, outreach health services, local hospitals and district medical centres. This will also help to support municipal health and care services. Decentralised outpatient health services contribute to improved accessibility, reduced travel and reduced transport costs. Transport costs are one of the most increasing items in today’s Norwegian health system. In addition, we increase the funding for care services in the municipalities by 250 million. to strengthen the quality and competence of the care service. This will include, inter alia: improving the quality of health care in hospitals, improving care efforts at the end of life, and improving the provision of young people with disabilities. The important thing is to make sure that those who get help to save their lives also get help to live on. The remaining 600 million. As the Government has proposed for increased activity, we are earmarking in our draft budget for rehabilitation, including drug treatment. It shall enhance the quality and capacity of the provision of rehabilitation services, also in order to speed up the return of those who are not ill-reported and who are therefore excluded from the scheme. It shall include, inter alia: is used to purchase free capacity in private drug establishments – 50 million. kr is earmarked for this – and in other private training institutions. Special focus on the provision of services to children and young people with drug problems, or living in families with drug problems, and/or having mental problems – also here we have earmarked 50 million. kr. This should ensure better assistance for these groups and at the same time prevent them from developing drug dependence or mental disorders themselves. In terms of quality of care: In order to enhance the quality and competence of municipal health and care services, we increase the appropriations by 250 million. kr. Within this, 46 MIU. to strengthen medical care in hospitals, through grants covering the difference between the salary of hospital doctors and hospital doctors. Qualification of unskilled: the proportion of unskilled in the care sector is between 35 and 40 pst. – skyrocketed across all other sectors of today’s Norwegian society. Strengthening research and professional development will contribute to increased recruitment, in particular by nurses. Our draft budget is intended to strengthen the vocational schools, the teaching homes and the educational home project. The provision of care at the end of life should also be strengthened, in particular in the municipalities, and in particular in enabling the development of new hospice services. We have recently had our own interpellation debate on the issue in Stortinget, where it was widely agreed that it is regrettable that the development of hospice services has stagnated in Norway over the last ten years. And then finally, we're assuming 50 million. kr to strengthen health centres, because health centres are one of the most important advanced posts in preventing serious disease development in the current Norwegian system. Finally, from the Right, we don't think it's a good idea to put in place a system of an annual hospital proposal, simply because it will reinforce the imbalance that there is now a broad consensus that we have in today's Norwegian health policy, between the specialist health service on the one hand and the rest of the healthcare system on the other. We think it's a completely wrong time to introduce such a scheme. What is needed today is to see the overall health care as a whole. What is needed is that we get higher on the track when it comes to catching up and preventing disease and suffering. Not only is the good social economy compared to doing repairs, but it also means that the population gets much better quality of life, and that we can release funds for other kinds of efforts. As I pointed out at the beginning, we are already world champions of money in health care. Now it's time we took the goal of becoming world champions when it comes to putting users in the center and ensuring quality.
ParlaMint-NO_2008-12-09.ana.ud1828e353	Is the salary going to include suggestions?
ParlaMint-NO_2008-12-09.ana.ud1828e356	It was a very useful reminder, President. I will address the one proposal on which the Right stands with the Christian People's Party and the Left. As far as I remember on the go, that's the only proposal that's my job to take up.
ParlaMint-NO_2008-12-09.ana.ud1828e363	The representative of Inge Wohnning has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2008-12-09.ana.ud1828e368	I would like to ask the representative Wage how he sees that the company is going to handle the growth of activity in 2009, when the Right in its alternative budget takes the entire envelope that is set aside, slightly below NOK 1.1 billion, and disposes of it by distributing SEK 600 million. kr earmarked for rehabilitation and 400 mill. kr for interaction actions. In extending that, I would like to ask the representative, who is concerned with corporate reform and correctness in relation to the role of corporate governance, and that we should not conduct detailed management towards them, how it turns out that, in his comments to each healthcare company, the Right comes with a long list of measures to which health businesses want to spend this money, for example. for Health South-East: Skudsmotunet Hospital, Stensby Hospital, Romsås Short-Term Department, Aker and Ahus Lung Team, Visiting Age Geriatry at the Hospital Asker and Bærum, District Medical Centre in Valdres and Nord-Gudbrandsdalen, Intermediate Department Halden, Kristiansand and Arendal, etc. How does it relate to the fundamental relationship of wages with the corporate reform?
ParlaMint-NO_2008-12-09.ana.ud1828e375	I'm glad Boehler didn't try to quote all the sections. It could have been tiring both for him and the rest of the Stortinget. To the first question, we find it paradoxical that the Minister of Health, while on behalf of the Government, says that now is the time to shift the centre of gravity from the specialist health service to the other parts of the health service, suggests an unspecified billion increase to the hospitals. We have taken the consequences of the Minister of Health's premise and said that we believe that this increase should go to the highest priority objectives. It's, in my opinion, the task of Storting. And I can't see that the activity in the areas that we prioritise is of any minor importance. It's about activity anyway. The only question is which patient groups should benefit from the increased activity. That we have listed justifications for what we mean by strengthening the local function where patients live, I think in particular is exemplary. I think that other parties could also explain why they are proposing an increase.
