Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-UQvPdziCyz3xyiWiKNY2oV	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-29	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168740	Weidby, Ciczie	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-31	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-32	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168740	Weidby, Ciczie	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-33	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-36	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q17080318	Adaktusson, Lars	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-39	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-41	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q17080318	Adaktusson, Lars	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-42	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-44	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q3674337	Avci, Gulan	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-46	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-50	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q3674337	Avci, Gulan	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-53	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-56	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202412	Haraldsson, Johanna	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-58	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-62	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q18242588	Hirvonen, Annika	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-65	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-69	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	MP	Miljöpartiet	-	Centre-left	Q18242588	Hirvonen, Annika	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-70	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-72	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q57168719	Meijer, Louise	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-76	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-80	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q15963975	Marttinen, Adam	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-84	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-88	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q57168752	Varas, Lorena Delgado	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-EWGY4uLaKYcpgjZsPbBykc	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-96	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q18238286	Damm, Sofia	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-TGKBcsJBgADwCAwPkBqAVY	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-102	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	L	Liberalerna	-	Centre-right	Q5781437	Haddad, Roger	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-105	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-109	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q6223773	Vepsä, Mattias	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-114	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4946204	Ekström, Anna	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-121	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4766168	Johnsson, Ann-Charlotte Hammar	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-124	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-128	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	SD	Sverigedemokraterna	-	Right to far-right	Q71133291	Utterstedt, Ann-Christine From	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-132	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-136	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q4964100	Lundgren, Kerstin	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-138	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-142	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	KD	Kristdemokraterna	-	Centre-right to right	Q71340705	Kihlström, Ingemar	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-146	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-149	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q24701062	Tegnér, Mathias	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-152	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18243775	Linde, Ann	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-155	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q70592245	Westergren, Sofia	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-157	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q4970111	Nordmark, Eva	F	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-162	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q5737622	Forssell, Johan	M	-	
ParlaMint-SE-en_2020-05-28-prot-201920--127	i-c3926ad358afb181-166	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 127	2020-05-28	Unicameralism	2019/20	-	-	2019/20--127	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3372917	Damberg, Mikael	M	-	
