Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-10	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-88	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-97	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30035697	Anstrell, Alexandra	F	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-104	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-109	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-115	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4724776	Esbati, Ali	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-124	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-133	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4724776	Esbati, Ali	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-140	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-19f84d0edd7fc475-145	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	MP	notMinister	V	Vänsterpartiet	-	Left	Q4724776	Esbati, Ali	M	-	
ParlaMint-SE-en_2020-08-27-prot-201920--147	i-CRhRDQFys6hzSpHLf9LDob	Swedish parliamentary corpus ParlaMint-SE-en, 2019/20 nr. 147	2020-08-27	Unicameralism	2019/20	-	-	2019/20--147	-	COVID	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
