ParlaMint-BE_2015-11-17-54-commissie-ic268x.u1	Debates of the European Parliament Mrs Vanheste's 6009 will be converted into a written question.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u12	Mrs Willaert, I am indeed very aware of this Belgian promise which will soon be celebrating its 15th birthday. We see that promise popping up over and over again. If it is not here in Parliament, it is in the numerous reports, to which Belgium is indeed internationally obliged. As you yourself have said, we were reprimanded by the Committee on the Elimination of Racial Discrimination and the ECRI, the European Commission against Racism and Intolerance. Also in the context of the Universal Periodic Review we are certainly aware of this. Civil society will also play its part in this. There is certainly a social need, which is hard to deny. I want to investigate this emergency, identify it and see how we can respond to it. Racism is a destabilising factor in every society, limiting people in realising their full economic and social potential. That is why I started a study, together with an external academic centre of expertise, which is now mapping out the existing anti-racism policy, which will identify the gaps and provide an overview of good practices from other countries. On the basis of the conclusions of this work, potential policy initiatives can be examined. We must not rush this either, of course, but I will consult with my fellow Members, both at the federal level and in the Länder.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u13	Madam Secretary of State, this study is a good thing, although we already know a great deal, but in order to objectify a number of things, I think that is a good thing. We are particularly looking forward to the potential policy initiatives in this area. I hope that we can land with an inter-federal action plan.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u14	Madam President, Madam Secretary of State, in February 2015, I asked you about the evaluation and possible revision of the anti-discrimination law and asked you about the state of play in the positive action dossier. Because of my maternity leave, you answered that question in writing at the beginning of July. That answer leads me to the following questions. When our country introduced anti-discrimination legislation in 2007, it also provided for a royal decision on positive action. Eight years later, that royal decree is still not there. This morning, it was also quoted on the radio by the director of the Inter-Federal Equal Opportunities Centre following the results of socio-economic monitoring, which are currently being proposed at the Employment Office. There is an improvement in the employment of people with a migration background, but the well-known points remain, namely that they often have less attractive jobs, often not full-time and so on. We shall hear more about these results today. The director put that on the map again this morning, and this also confirms my question about the positive action. You mentioned in your answer to my previous question that several consultations had already taken place in the case of positive action. Madam Secretary of State, is there already agreement with your fellow ministers on the conditions of action and, if so, what conditions? What is the timing to complete the consultation round? When will the conditions to enable positive action for certain groups of workers be transposed into a royal decree? We already have legislation banning and punishing discriminatory behaviour, but targeted actions are not allowed or encouraged by the absence of that royal decision. That is a clear gap in our legislation and I very much hope that you will be able to speed up that dossier more than your predecessors. With regard to the evaluation of the anti-discrimination law itself, you spoke about a committee of experts to be set up. Is the royal decision to achieve this, as you promised, brought to the Council of Ministers before the summer recess? Has that committee been set up in the meantime? At what time will it be able to submit an evaluation with recommendations?
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u15	Madam President, Mrs Willaert, thank you for your very valid question. We are following that file very closely from the cabinet. From the start of this legislature, it is clear that many people, both members of parliament and equality bodies in civil society, are hungry for legislation on discrimination. Your question in February is an example of this. The file combines two elements. On the one hand, it concerns the implementing acts of the laws of 10 May 2007 and, on the other hand, it concerns the evaluation of the same law. At the beginning of the legislature we examined this issue in detail and we entered into consultations with the Inter-Federal Equal Opportunities Centre and the Institute for Equality between Women and Men. With this background information, it was chosen to carry out the evaluation required by the law, which is already three years too late. That is why I have worked over the past year on the composition of the committee of experts, which is a necessary condition for this evaluation. The KB, which forms the basis for this composition, was approved by the Council of Ministers in July and is currently with the King for ratification. The KB will then be published in the Belgian Official Journal. I'm expecting this the next day. Three weeks after publication, the committee will be set up. It will exceptionally submit an initial evaluation report within a period of six months. So the committee is really on the scaffolding. In 2016, I will aim to implement this evaluation and adapt the legislation where necessary. We also support the findings of the Committee of Experts to draw up the necessary implementing decisions, including those aimed at positive action. The introduction of such implementing decisions before or during this evaluation does not seem logical to me. We must wait for the evaluation and only then take the implementing decisions. I hope I have answered your question. I'm gonna keep this under review anyway.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u16	That is a very good thing, Madam Secretary of State. I assume that after the evaluation and the implementing decisions, the positive action will also follow?
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u17	The establishment of a committee of experts was discussed and approved at the Council of Ministers. The KB in this matter is currently with the King for signature. It's only after that that I can officially set up the committee of experts. They may then start their evaluation and report exceptionally after six months. The implementing decisions will then be taken. In fact, therefore, we are speeding up the procedure because it has taken so long.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u18	Madam Secretary of State, my question concerns a sub-problem which is less in the interest. Official rape figures are hallucinatingly high in our country anyway. We have talked about this before in this committee. In 2013, an average of eight complaints were submitted per day according to police statistics. However, 90% of the victims of sexual violence do not report it. Rape is still in a taboo atmosphere. In other words, the real figures are even higher. Rape is by definition a violation of human rights. It is a profound impairment of the victim's physical and psychological integrity. It is therefore important that we come up with a comprehensive plan, a set of measures to deal effectively with rape. Sensitising victims and encouraging them to break the silence is certainly valuable and necessary. The fact that you, Madam Secretary of State, are doing a great deal of work on a comprehensive plan of action is an excellent thing. I would like to talk today about a partial problem. Although women are the largest group of victims, men are also victims of sexual violence. I think there is even less known about this. It is clear that the taboo on this issue is even greater and that the percentage of this is much lower than the real figures. For this reason, a Swedish hospital, of which I will not try to pronounce the name, recently opened up a department dedicated to male victims in addition to its existing facilities. It is very important not to ignore male victims. Anyone who is the victim of sexual violence must be able to count on proper assistance. Hence my questions, Madam Secretary of State. Do you also work specifically on the rape of men? In what way will this aspect be taken into account in your plan of action? Do you have any statistics on male victims, or is there any need for further investigation? In what way do you intend to deal with this? Thank you for your answer.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u19	Mrs van Peel, as you said, rape is also effective in men, but the taboo is even bigger there, so it hardly comes out. Most victims of rape are, of course, women, but that does not mean that we should leave some of the victims in the cold. A study by the Institute for Equality between Women and Men on the experience of partner violence already shows that men share their experiences with partner violence less often than women, 64.8% of women compared with 39.2% of men. So we see a clear difference there. That is all the more true of sexual violence. In that study it is suspected that this is due to the stereotype of men, who must be strong or always enjoy sex, which makes the threshold to seek help or complain much greater than that of women. Therefore, attention should certainly also be paid to violence suffered by men, as this is more often hidden than in women. That is why I have indeed started a study, based on foreign figures, because we ourselves do not have that material, to identify the prevalence of male victims of sexual violence, the circumstances in which this happens and by whom, how best to reach them and what their specific needs are in terms of reception. We will, of course, be very close to Sweden's example. On the basis of this study, I will look into whether there is a need for a specific prevalence study in Belgium or whether we can rely on these foreign figures. In other words, can we extrapolate those figures? In any case, this study and the recommendations for reception will be taken into account in the feasibility study and in the launch of the three pilot projects of multidisciplinary reception centres for victims of sexual violence. In this feasibility study, I specifically requested that male victims should be taken into account for these multidisciplinary centres and, therefore, that specific reception should be provided for men, for additional training or for any other type of psychological assistance, so that both female and male victims could go to those centres.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u20	Madam Secretary of State, in the meantime you are known to deviate from the beaten track. This too is an example, because you dare to look at subgroups that have not always been given sufficient attention in the past. We must not ignore this problem either, which is why I think it is a very good thing that you take it with you in the pilot projects that you will launch. I am, of course, curious about the results and the specific points or measures. I assume that we will come back to this at a later date, if you come up with your full plan of action.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u21	Madam President, Madam Secretary of State, the opinion committee of the Parliament of the Wallonia-Brussels Federation responsible for examining issues relating to equal opportunities for men and women was asked on 6 October 2015 to deliver an opinion on the intra-French-speaking plan to combat gender-based and intra-family violence. This 2015-2019 intra-francophone plan, comprising almost 176 measures, was initiated by Isabelle Simonis, Minister for Women's Rights and Equal Opportunities, in collaboration with the governments of the Walloon Region and the Joint Community Commission. While the 2010-2014 plan aimed at partner violence and domestic violence such as forced marriages, female genital mutilation and honour-related violence, the new 2015-2019 plan presented today extends its scope to sexual violence, namely rape, sexual harassment and prostitution. This consideration of sexual violence is also provided for in the new national plan of action to combat all forms of violence against women under your control today. Madam Secretary of State, we hope that you will present your new national action plan on this important topic as soon as possible. In a previous oral question, you expressed your wish to finalize it before the summer break. Could you inform us of the status of the case? What is the new schedule of work that has been set? When will the federal Parliament really get to know this new plan?
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u22	Ms Winckel, the 2015-2019 National Action Plan to Combat All Forms of Gender-Based Violence is indeed complemented by an important chapter on sexual violence. The plan is also fully in line with the Council of Europe Convention to Combat Violence against Women and Domestic Violence. Before the summer, I submitted a proposal for an action plan to my colleagues in the federal government and federal entities. I am pleased to announce that we will launch this action plan on 24 November, International Day to Combat Violence against Women. The plan will be available for consultation in Parliament next week, starting on Tuesday.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u23	Minister, that's good news! Seeing that the federated entities were moving forward, I was wondering, because this is a theme that needs to be addressed at all levels of power and by all the actors involved. We look forward to this plan. It will be with pleasure that we will also be able to discuss it in the Social Empowerment Opinion Committee.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u24	This item will be on the agenda of the Council of Ministers of the federated entities this week.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u25	Because of the time taken by your colleagues to get to know it, I hope that you have been able to identify ways to achieve the important objectives in this area. Given the numbers, it is essential to combat this violence against women and men, in other words, domestic violence.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u26	Madam Secretary of State, in the Advisory Committee on Social Emancipation, we have already done an extensive reflection on the issue of rape. This made it very clear that a comprehensive policy is needed and that it is particularly important to deal with victims in integrated centres. You have looked at a number of foreign examples and I would have liked to ask you a few questions. What are your first impressions of what you saw there? Have you seen any elements that would apply to us? Are there things we could do better or else? How does this relate to the pilot project already launched in Ghent today? Have you learned new things with a view to any adjustments?
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u27	Madam President, Madam Secretary of State, you said last May that you wanted to develop a program to deal with rape victims. This project would enable more people who have suffered sexual violence to emerge from the shadows. According to the figures, only 10 per cent of rape victims would have the courage to file a complaint, while an overwhelming majority took refuge in silence because of fear, shame or guilt. To encourage them to file a complaint and report their abuser, you proposed the establishment of a multidisciplinary team specializing in the reception, support and psychological support of these rape victims. The aim of this project would be to complement the work of doctors and police officers in charge of these sensitive cases and to centralize all the aids available in competent medical centres. Madam Secretary of State, some time ago you cited the example of the Netherlands and the United Kingdom which have such multidisciplinary centres and mentioned a visit which could be the starting point of a feasibility study on the establishment of these multidisciplinary centres for the care of victims of rape. You know that the opinion committee is responsible for this subject and that it has organised numerous hearings in this regard. At last week's study, we learned that this study had been launched. My questions will be specific. Could you give us an account of your mission abroad? What are the work practices and tools that could be replicated at home? Have you associated the representatives of the federated entities? As with my previous question, I believe that this subject should concern all levels of power. Has this project ever been discussed with your federal colleagues and federal counterparts? Could you inform us about the progress of this project?
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u28	As I have already announced, I intend to launch a number of pilot projects to improve the reception of victims of sexual violence. Victims now have to go to the different services themselves: police, hospital, justice, counseling and psychologists, and do their own story several times, which helps to revitalize them. They become victims for a second time. I would like to centralise services in multidisciplinary centres so that victims can be helped in one place by the various bodies and be given psychological assistance. These structures already exist abroad. That is why I launched a feasibility study at the beginning of September, which will take a year, in order to check how these foreign models can be adapted to the Belgian context. We are working in collaboration with the University of Ghent because it has already begun similar work. To this end, we visited Great Britain and the Netherlands on a study visit with a delegation of researchers, prosecutors, federal and local police, gynaecologists, paediatricians, psychologists and social workers. I did not go to London but to the Netherlands, but the whole team visited both centres. The reception centre in Great Britain, however, accepts only a small number of people, which has forced us to limit our delegation to about 20 people. In the Netherlands, only two Members were able to accompany us. We therefore invited two members of the Advisory Committee. My firm has also forwarded all the relevant documents. The experience at both centres was also very different. The reception centres in Britain have been in existence for many years, some even for twenty years, but are also somewhat outdated. They no longer provide shelter as is expected in modern times. In the Netherlands the reception centres were only started in 2012. The laws and the police and judicial system are different than in Belgium. So it is not possible to copy the form of the reception centres to Belgium. It is therefore not easy to say what is and is not applicable in Belgium. We have discussed this very much, the various laws, during the meetings. It was very useful to see how they deal with the problem. We will certainly have to adapt their approach to our own legislation and see how we can implement it. These aspects are part of the feasibility study and will be discussed and evaluated with the Steering Committee tomorrow. In addition to the field staff, the offices of my colleagues from Health, Justice and the Interior are part of the steering group and also participated in the study visit. Exchanges are therefore constant. My colleagues from the federated entities are also aware of my plans. I have already informed them of my intention to consult with them as soon as the feasibility study is finalized, in order to be able to launch, together, the three pilot projects (one in Flanders, one in Brussels and one in Wallonia) at the end of 2016, at the beginning of 2017.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u29	Madam Secretary of State, there are a lot of studies in the scaffolding and measuring is known. So I think it would be good to carry out studies, of course, with the intention of landing. Several people have already said it, but I would like to stress once again that we must work hard to reduce the threshold for victims, women or men who have been raped. The integrated work in a center can help with that, I think. Today, the victims have to go to the police to do their story before they are given any care, both physically and psychologically, let alone in the field of justice. It is a double or even triple agony, and we must try to avoid that. I therefore hope that the study will produce results and that we can effectively change some things on the ground, so that we can ensure that more and more women report and, in particular, finally, that the number of rapes is reduced. I am still amazed that in a country such as Belgium, in a western society, so many women still suffer from sexual violence. I find that unacceptable. We must use all our resources to continue fighting and fighting against it. Now there is one possibility for this and we hope that we will be able to achieve results quickly.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u30	Madam Secretary of State, thank you for your answer. It is true that the figures are worrying. In fact, 30,000 rapes are registered annually and it is estimated that only 10 per cent of victims file complaints. Seven rapes are committed every day in Belgium. You know, Madam Secretary of State, that the opinion committee supports your thinking. Indeed, it is important to organise better care for victims, in particular to encourage them to file complaints. You talked about the visits. I do not wish to argue here, but I should like to know that the members of the opinion committee of which I am a member have been informed only a week before. In doing so, it was difficult to determine who could participate in these visits, especially since they took place in August. However, the committee was unable to meet and no Member of Parliament was able to accompany you while many members of the committee were interested in the subject. As far as the study is concerned, it is, in my view, a good way to take the problem with arms-to-body. Indeed, the hearings that were held within the committee allowed us to realize that the situations are very different depending on the area in which we are located. Trying to harmonize procedures is already an interesting step. It is now necessary to consider whether a multidisciplinary centre such as the one in question can be an answer. The study you have initiated will allow us to determine whether such a centre would effectively address this issue. We will therefore wait until the end of 2016 and the beginning of 2017 to launch your three pilot projects since our country has three Regions.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u31	[[...]]
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u32	These pilot experiments will therefore be carried out in hospitals in the three regions.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u33	In hospitals that have already organised a specific reception...
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u34	It is the study that will determine the criteria, etc.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u35	She'll figure out what to do, what we need. Then we will decide which of the hospitals and centres in the three regions are the most suitable.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u36	Question No 6918 by Mrs Schepmans is transformed into a written question.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u37	Madam President, Madam Secretary of State, it has now been more than three months since Tournai took his share of responsibility for welcoming refugees. Since the beginning of September, the Red Cross, the communal authorities, local associations and many volunteers have been working daily to ensure that everything is done for the best at the Saint John barracks, where, for the moment, nearly 800 refugees live, compared to 520 two months ago. While the government was also committed to fulfilling its responsibilities in this context, I must note today that these were just words that have not been translated into action. The government had thus assured that, in parallel with the reception of refugees, homeless people could still benefit from accommodation at Saint John's barracks during the winter, as was the case in previous years under the cold plan. Today, however, it seems that the government has not kept its promises. I informed Mr Franken of this problem in a letter dated 27 August. After two months of waiting, I received his reply explaining to me that this subject "had been dealt with with with you before the decision on the assignment of the barracks to the reception of asylum seekers", i.e. before 6 August. At the end of his reply, Mr Franken said that he would keep me informed once the solution had been found. I also learn that Defence has also decided to pay for the provision of military infrastructure as part of the 2015-2016 cold plan, which my group strongly disagrees with. Madam Secretary of State, do you confirm that you discussed the problem of homelessness in Tournai with Mr Franken before the Council of Ministers on 6 August 2015? What emerged from this discussion? What solutions are envisaged to provide shelter for homeless people this winter? While it seems to me essential to be able to receive refugees on our territory with dignity, it also seems to me that we must be able to continue to provide adequate responses in the context of the reception of the homeless.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u38	Madam President, honourable Member, in reply to your first question, I can confirm that our firm has worked with the offices of Mrs Marghem, Mr Vandeput and Mr Franken to reach a solution. In the end, however, it turned out that the City of Tournai had itself proposed a place to accommodate these people this winter. The case was therefore considered closed and no communication was made in this regard. With regard to your second question, I should like to inform you that the local winter reception in Tournai does not fall within our remit. We are only competent for front-line reception in the following five major cities: Ghent, Antwerp, Liège, Charleroi and Brussels. Within this framework, we allocate €50,000 of subsidies per city. In addition, we are also responsible for second-line reception in Brussels. With regard to these measures, I refer you to the local and regional authorities. For Brussels, this is more than EUR 1 million for second line reception.
ParlaMint-BE_2015-11-17-54-commissie-ic268x.u39	Madam Secretary of State, I suppose you also know that I am the mayor of Tournai. So, when you tell me that the city of Tournai has found a solution and that the firm hasn't been looking for. I think it's making fun of people! Really! Why was the city of Tournai trying to find a solution? Because precisely, we have never received an answer from anyone! When I wrote in August to a whole series of people, who answer me three days before November 1st, just before the start of the Great Cold Plan, I think fortunately that the city of Tournai has thought of doing something! Of course I have a lot on the potato when I'm told that we tried to get together and we tried to find other solutions. No, no solution has ever been proposed to the urban social relay. The only ones who got wet in this story is the city of Tournai! And I regret it. In addition, I was talking about 520 refugees and 800 refugees. Maybe I'm a little off the question and I'm already apologizing for it. But I can assure you that from the start, I always said that putting 700 people in a jar was doing everything to make it go wrong. I have always said that we do not put the assets on our side to ensure that integration goes well and that would promote communalism. In Tournai, when there were about 530 refugees, it was going well. Right now, I can tell you that it's starting to get more difficult, because of promiscuity. Some are trying to tell me it's because of the joint presence of Sunnis and Shiites. No, the problems do not come from there but are due to promiscuity, in a place where we continue to add them again and again. If I wanted to make a sense of humor, I would say that I have the chance to have a delegated official who has always refused flat roofs in Tournai, otherwise we would put people on the roof too!
