ParlaMint-BE_2015-03-10-54-commissie-ic108x.u1	Questions Nos 2019, 2309 and 2688 by Mr Top lapsed.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u12	Madam President, Minister, that means that you are unable to enforce the decision on which Iraqi soldiers are trained by the Belgians. However, you can do so through your foreign minister, Minister Reynders.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u13	I did not say that the Foreign Office was authorized to do so, because I do not know that. I'm just saying that the issue is beyond my jurisdiction. We're gonna train people, not recruit them. Nor are we the ones who deliver people for training.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u14	Then we disagree. I remain of the opinion that Belgium, in exchange for sending trainers, should be able to ask those who do decide to ensure that that group of soldiers is a correct reflection of Iraqi society and that it is not about people who have committed war crimes and so on. I believe that it is one of your options, and certainly within the Belgian Government's ability to enforce guarantees in this area before sending trainers.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u15	Thank you, Minister, for your reply. At the end of September, early October, we adopted a resolution on Belgium's participation in that international coalition against IS. Originally, that resolution also included TAA, which was Train, Advise and Assist. I remember that very well. That was done there, mainly by the socialists, who then shouted very loudly that it was not done to have boots on the ground. We took this out because we wanted a broad-based resolution. However, I never understood that Train, Advise and Assist had to be taken out because it is precisely people who train and advise outside the deployment zone. The Minister has just repeated that this is happening outside the secure zone. Trainers and trainers are of course an added value. I think it's all about use them or loose them. We don't have soldiers to man the barracks. There are people who are very capable of providing these training courses. As far as I am concerned, these people should be deployed.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u16	Madam President, thank you. You should have made it clear that the resolution was only for a month. Minister, thank you for your answers. I know that this is also a matter for foreign affairs, but we are living in a world where it is difficult to separate this department from that of defence. With regard to the region's post-crisis situation, have any contacts been made? We know that a strictly military operation, without political follow-up, will find it difficult to stabilize such a situation. Conversely, I do not see an exit from the crisis without a military component to guarantee a minimum of security in Iraq. I thank you already for the clarifications that you will give me.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u17	It is true that we have registered in a number of modules. Saturday the first course will start. This is now for six months. Then we will evaluate how this continues. I have already said that there are several stages in the fight against Daesh from which we must look at what we consider necessary, what we can do and how we can respond to them in the military field.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u18	Minister, I am a little disappointed and I have to admit that I have been used to longer and more detailed answers on your part. I respect the confidentiality of the Committee on Military Operations abroad, of which I am not a member, but I think that we also have the right to have access to information which, obviously, is widely public today. First, when I ask you about the state of Daesh's forces and ask you if we are gaining ground or losing it, I find it normal and appropriate to have a comment from you on a public commission. We don't reveal a state secret if we say we're rather winning certain victories and if Daesh is more defensive. Anyway, that's what everyone says. We can see public debates in other parliaments, so I think that our Parliament could also have some of this information. Secondly, with regard to the duration of operations, you gave us a response from Normand. You say it depends on the available budget, otherwise we will rotate with other coalition countries. The Prime Minister has been much clearer: he has pledged to stay with the allies. So I don't know the right version. You'll have the Prime Minister's budgets. Have you had any assurances that other partners are ready to take over? There is a formal commitment from Belgium to the King of Jordan.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u19	I don't know. We joined the coalition on 15 September 2014 and I think it is necessary that we continue to contribute in one way or another. We warned our partners that we were engaged until the end of June with our F-16s. At the same time, as I have just said, we look to Europe to see who could take over. We are still in the stage of informal conversations and we need to see how we can formalize them.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u20	I hope that this is not just a somewhat light statement made by the Prime Minister, because today you have no assurance on the budget. So we don't know what the future of our operations will be after the end of June. I hope that this commitment of the Prime Minister will be fulfilled and that it was not just a declaration without tomorrow. Thirdly, I agree with Mr Wouter De Vriendt's remark. I think it is really very important that we know exactly and that we have the opportunity to choose the trained people. We have had very bad training experiences in the past. I remember in particular our military cooperation in the Congo. At the outset, we had not made any demands on the type of people, on the way these trainings were conducted. I believe that it is extremely important not to aggravate the divisions in Iraq, but rather that, through our presence, our training and our demands for trained personnel, we contribute to bringing together and ensuring that all components of Iraqi society can benefit from these trainings. Fourth point: these are new recruits. I don't know if they're people destined to go to the front. Is there not the danger of training people who are not ultimately and directly involved in the fighting? Are we certain that these trainings are indispensable and necessary in the course of operations today? These are young recruits, totally inexperienced people. Are we certain that these trainings have a direct effect on the course of operations? This also seems to me to be extremely important for the future. I have a question of clarification. I didn't get it right. You said, but perhaps it was a translation problem, that you were looking for a budget of 3 million euros for the formation of Iraqi air troops outside Iraqi territory.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u21	You mentioned the question of the possibility for the Pershmergas. I only replied that our possibilities are under consideration. Today I am not looking for money, there is no concrete project at this level. No questions have been asked about this. Within the coalition, we look at what can be done, and by whom. But there's no question. Today, we have answered the two questions that have been put to us in a positive way. The F-16s are here until the end of June. As for the trainers and instructors in Baghdad, they have been there for two weeks and will remain there for six months.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u22	So, these three million euros would eventually be spent on...
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u23	No, no. This amount represents the cost of instructors. It's part of the overall defence budget.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u24	Madam President, it is a little frustrating that the question has remained for over a month. I'm still trying, Minister, to ask my question. A few weeks ago, we read in the newspaper that you doubt that we will be able to meet our international commitments. My question is somewhat in line with the previous question, but it is much wider. How do you see our engagement in foreign missions evolve, specifically in the fight against ISIS? Of course there are the F-16s and meanwhile there are people for training and advice there. What will happen to the F-16 species currently placed in that region? Secondly, can you give me an overview of the missions that you would like to end when the budgetary situation obliges you to do so? Thirdly, additional missions are planned in your policy paper, including in Tunisia and Eastern Europe, in particular the deployment of 250 soldiers as ground representative assurance measure. Does this mean that our commitment to this mission will be reviewed in a very concrete way?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u25	Thank you, Mr Yüksel, for your question. I'm surprised you're surprised. I think you, like the other members of the committee, are aware of the precarious financial situation in which Defense is in. I also think it is important to read, read and take into account the context of what is written in an article. If I say that I have doubts as to whether we can fulfil all our commitments to NATO, I have said so in the context of our long-term budget. In response to your specific question, I can tell you that in the short term we have made a proposal on the operations in 2015. That proposal was adopted by the Council of Ministers. I have also proposed this proposal to Parliament and all the budgets have been provided for it. I see no reason why there should be deletions in that today. As the budget stands today, it will be implemented this year. My observation regarding the precarious budgetary situation of the defence sector is mainly about the long-term sustainability of the situation. You will not have noticed that this year's budget for operations is already significantly smaller than last year and that it will be difficult to maintain an acceptable level in the long term. Specifically, will we delete short-term missions? No.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u26	Minister, we all know, of course, that the situation is precarious. All my fellow Members here in committee have sufficient figures and information to conclude that the situation is not what it is and that our international commitments may be under pressure. However, we should not make a preliminaries now. My surprise has to do with that. This question dates back to the end of January and we are working on an exercise. It has been said that Parliament would be involved as much as possible. You have to explain what to do, that's your business. As a Parliament, we must do what we have to do. My surprise relates mainly to this. From your answer, however, I would point out that no changes should be expected for the ongoing missions.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u27	Debates of the European Parliament Mrs Fernandez Fernandez 1890 was postponed.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u28	Mr Van der Maelen's question lapses.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u29	Madam President, Minister, I come back to the question of the acquisition of aircraft to replace the F-16s. This has already been the subject of lengthy debate in committee, particularly in February. I come back because we are still hungry about a number of commitments and opportunities for Parliament to monitor the preparatory phase. The Minister reiterated that no decision was taken, that no guidance was given to this market on the basis of the prior information requested from the various manufacturers. Nevertheless, there is some kind of opposition in principle for Parliament to first receive information available to the SPF National Defence, particularly as a result of the questionnaire sent to manufacturers. According to the Minister, these responses cannot be communicated to Parliament on the basis of a confidentiality clause that would have been provided for, which is in itself already questionable. Several parliamentarians from different political groups would like to see at least an agreed procedure between parliament and the government to follow up on this issue so that tomorrow it will not have the launch of a specification and a contract which would be subject only to the government's decision on the basis of the expert reports which it consults. If the government were to confirm its intention to replace the F-16s, this budgetary commitment would be considerable. Moreover, the only assessment of this budget commitment is also controversial, not only in terms of the cost of acquiring aircraft, but also in terms of maintenance, operation, maintenance and management costs. I therefore return with concern to this requirement of transparency. First, no one believes that the Defence budget is now in a position to meet the cost of acquiring these aircraft. For a single fiscal year, the Defence investment budget does not even cover the acquisition of an aircraft from any manufacturer. At one point, the government will have to say how it plans to finance the acquisition of F-16 replacement aircraft. On what budget forecast? And on what multi-year perspective of depreciation? I would like to know whether the government would accept – indeed, this is the subject of a resolution tabled by several groups on the initiative of our colleague Dirk Van der Maelen – that the Court of Auditors should be involved in all the preparatory stages of this market, if the intention to launch it was confirmed. Could the Court of Auditors therefore, given the government's willingness to preserve certain information, become the permanent intermediary, perhaps through the special committee on military procurement and investment, between the government and Parliament?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u30	Mr Minister, in addition to Mr Maingain's question, to which I join, since I have co-signed this resolution on the association of the Court of Auditors, I am asking you today about a very particular and very sensitive element, but fundamental in this tendering procedure, which will be launched if the government actually decides to renew its fleet of fighter aircraft. As we know, you started a pre-survey. You have sent it to a series of manufacturers that have been competing and that have sometimes been preparing for months or even years to respond to a possible call for tenders from the Belgian government to replace its fighter aircraft. There is an extremely important element in this future call for tenders. It is important to clarify this right now. We all know, even if you won't confirm it to me because you can't officially do it, that the current F-16s are equipped to transport the nuclear bombs based in Kleine-Brogel. These are bombs that must be dropped by plane. There are no launchers. We all know that their firing requires a secret code that only the American army holds. These firing codes are strictly confidential and absolutely not shared by the U.S. Army. Therefore, in the context of the renewal of these F-16s, rightly, in our capacity as parliamentarians, and the same applies to manufacturers, we have the right to know whether this equipment will be indispensable for future fighter aircraft. Should they carry these B61s? It is important that there is full clarity on this issue from the outset. If that were to be the case. If these aircraft were to have the same functions, the same nuclear missions as they are today, this call for tenders would make no sense, since it is known that for the future, US Defense will never share its firing codes and B61 bomb drop codes. It is therefore necessary to know from now on whether we have gone into a procedure of false appearance, to give the appearance that there is a call for competition but that in the end only the American manufacturers will be able to comply with the specifications issued by Belgium. To avoid wasting time, money and false hopes, can you clarify this issue? Yes or no, will these future aircraft, among others, have to comply with this element of the specifications?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u31	Mr President, Mr Maingain, in order to answer your questions, I would like to refer you to the report of the committee where the results on the replacement of the F-16s were presented in detail. I don't think I always have to answer the same questions! Mr Dallemagne, the functional specifications of fighter aircraft will depend on the level of ambition that will be decided in the strategic plan. Today, the question is what requirements will be set out in the strategic plan for fighter aircraft.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u32	Madam President, the minister is telling us clearly that he does not want to play transparency! I take note of that. I am simply saying that in other states, in other countries, be it in Canada, in the Netherlands, where the renewal of the fighter fleet has been asked, every time, Parliament has been given, in real time and not in delayed time in a part of the cache-cache with the government, essential information. That there is a procedure to ensure that certain aspects of the confidentiality of the preparatory acts for the launch of a market of this importance are dealt with, I can still understand, but that there is a total refusal to consider cooperation with Parliament on such a decisive choice is difficult to accept in a state governed by the rule of law.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u33	Mr. Minister of Defence, your answer is skilful but unsatisfactory, because I think it is a fundamental question. I must confess that I do not imagine that Belgian Defence is making such an important expenditure by preventing itself, in the future, from carrying out a mission which no one hopes will ever have to carry out, but which is now part of the agreements we have with an important ally who are the United States. In any case, if that were to be the case, those bombs would obviously no longer be of any interest. So of two things one: either these bombs must be activated, and therefore our aviation and our hunting will have to be able to carry out this mission; or, indeed, these planes will not have to do so, and then we will have to be able to dismantle them. It is therefore a question that must be asked from the outset, and it would perhaps be interesting to speed up this reflection which has been going on for years in Belgium on the interest and the opportunity to keep this nuclear arsenal. We know that this interest is now extremely low. In any case, in terms of deterrence, it is invalid; in terms of tactics, it is invalid; in political terms, there may still be some arguments supported by some. I really believe that if we want to have a call for tenders that is transparent and open to European aircraft, we must ask ourselves the fundamental question of dismantling this arsenal or, in any case, of the fact that it must no longer be on Belgian soil, otherwise this call for tenders would be biased from the outset.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u34	As chairman, I would like to point out that the market research on the replacement of the F-16 was discussed extensively in committee. I just had it looked up. You were neither present. I suggest that you also follow up the report on that discussion.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u35	Madam President, I was here!
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u36	Me too.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u37	Mr Dallemagne, you were not present at that meeting. I just looked it up.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u38	The question is not here. My question has nothing to do with this debate. It's a matter of topicality. Madam President, this is the second time I have asked a question and this is the second time you have made a comment. I find this very unpleasant. It's not the habit of our commission. We have the freedom to ask the questions we want. This question is an important one and it was normal for me to ask it today.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u39	Minister, recently you sat with your colleague Jeanine Hennis-Plasschaert. You mentioned, of course, an enhanced cooperation between Belgium and the Netherlands. Last week, you and your colleague also signed an agreement on the exact content of this cooperation. The agreement follows the principle of pooling and sharing. I am pleased that progress has been made in this area. The principle of pooling and sharing was used by your predecessor and was now put into a concrete chord. We welcome the initiative all the more, given the budgetary context. Collaboration with the Netherlands can generate significant efficiency gains in terms of finance, experience and knowledge sharing. We know that there is already a lot of cooperation between the Belgian Navy and the Dutch Navy. There is now far-reaching cooperation for airspace as well. Minister, exactly what forms of cooperation were discussed with your colleague? What matters were cited by you as added value in order to reach an agreement? There are also joint purchases of material. That's new and quite unique. What kind of purchases would this be about? Were the possibilities for joint maintenance and updates of the jointly purchased material also discussed?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u40	Madam President, I was present at the time of the call for tenders for the F-16s and this does not detract from the relevance of the resolution co-signed by the opposition to the preliminary questioning of the Court of Auditors. Minister, the Belgian and Dutch governments have signed an agreement providing for the introduction by mid-2017 of a joint surveillance of the airspace of the two countries and Luxembourg by their respective fighter aircraft. The idea is to carry out jointly and alternately the air police mission over Benelux territory, in particular for the tasks of warning take-off and, above all, the procedure for identifying a suspicious aircraft (Renegade). Minister, what is the legal framework for this treaty? Will it have to be ratified by our assembly? What are the political, legal and technical consequences? How will Belgian sovereignty be exercised within this framework? Under such a treaty, who has the final and legal responsibility to shoot down a hostile military aircraft or hijacked airliner? I recall that there was a precedent with French people who had escorted a plane over Switzerland. In case of a major incident, all this is not very clear. Has this been provided for in the cooperation agreement? Are there already coordinated procedures at Belux, Benelux, European or Alliance level? What are the procedures to be followed? Who is responsible for damage? Is there any more comprehensive reflection with our other neighbouring countries? Finally, from a technical point of view and from a military point of view, such an agreement implies the perfect cooperation of our hunts. How, in this context, can we ensure the compatibility of these hunts? What could be the consequences in terms of military purchases (e.g. potential replacement of F-16s), maintenance and maintenance, and training of our pilots?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u41	Debates of the European Parliament Mr Top's 2721 expires.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u42	Madam President, Minister, my question is with that of my colleague. On 4 March, you went to The Hague with the government and entered into a series of agreements. As far as you are concerned, you have signed the Treaty on common surveillance in turn over our two countries. This treaty is aimed in particular at accompanying civilian aircraft which do not comply with their flight plan. In this context, Belgian aircraft are required to monitor the airspace of the Netherlands and vice versa. While I welcome this enhanced cooperation and the pooling of resources, I wonder about some of the points that relate to this cooperation. Could you clarify to me the rules of engagement and the line of command that will apply in practice to this cooperation? For example, in the case of an intervention by a Belgian aircraft in the Netherlands, which takes command of operations and gives orders? Does the Belgian pilot follow a Dutch command line directly or does he pass through his own hierarchy? In an extreme case where a potentially extremely threatening airliner should be shot down in Benelux airspace but outside Belgian airspace, who decides? How does information flow in an emergency between the pilot, the military hierarchy and the political decision-makers of the two countries concerned? Moreover, on a completely different level, this enhanced cooperation with our Dutch neighbours, who have already chosen the F-35 as their future fighter aircraft, is not likely to bind our hands in favour of this aircraft for the replacement of our F-16s? Under the pretext of ensuring maximum interoperability within the framework of this common surveillance of our airspace, is there not a risk that at some point we will be told that "finally, in order to simplify things, it would be better to have the same planes"? We may then say: "It will be easier to carry out these missions at the same time, so that our pilots can have the same types of training, so that we can eventually pool the spare parts." Do we not put a finger in a gear that we would not have decided on before in a totally autonomous way?
