ParlaMint-BE_2015-02-03-54-commissie-ic078x.u1	Mrs. Van Hoof isn't coming.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u12	Mr President, Mr Minister, my two colleagues have already very broadly set the stage. In short, jobs are involved on both sides of the linguistic border. About 700 direct jobs in Châtelet and just over 1,000 in Genk as well as many indirect jobs are at risk. In total, about 5,000 jobs are seriously threatened. I assume, minister, that you are aware of the situation, as many press articles have mentioned it. In addition, the trade unions of the steel companies, namely the ACV-CSC METEA, the CNE, but also the FGTB have informed you of their concern. It is essential that Europe take measures to counter this dumping. Indeed, if nearly 800 million stainless steel were imported in 2013, the market share increased by 50% in 2014. That is why I call for a relatively rapid radical intervention. I would like to recall here that about two years ago the European Commission presented an action plan for the steel sector. At the time, one European Commissioner even said that it was a strategic sector for Europe, and that it needed to be reindustrialised. Unfortunately, concrete measures are still expected at European level. While Europe, and in particular Belgium, is faced with a situation of dumping, European countries are not the only ones concerned. In fact, other countries in the world have also been confronted with the dumping of stainless steel from China or Taiwan. Brazil, India, Korea, Vietnam and Russia have already taken anti-dumping measures against Chinese and Taiwanese stainless steel. This means that the potential for the export of stainless steel from these two countries is shrinking. If we do not close the doors, we will see not a sharp increase but a flood of our European market by products from China and Taiwan. The United States, on the other hand, has imposed taxes and opened investigations into Chinese steel products. So, Minister, can you tell me whether you share our analysis of the situation of stainless steel in Belgium in relation to our industrial sectors? As far as production is concerned, there is a virtually complete steel industry in Châtelet. We produce the inox and we lamine it. Jobs are therefore at great risk. What measures are you considering in this regard? And since we are usually told that the answer must be European, what do you intend to advocate at European level, so that measures can be taken to ensure a sustainable industry and fair trade by combating this dumping? In the end, what is also noted by the workers is that we can fight as long as it is with equal weapons. It is well known that wage and environmental standards are not the same on the other side of the planet, or even in other places. Is it therefore possible for you to advocate the inclusion of safeguard clauses in all trade agreements concluded by Europe and/or Belgium in order to ensure high and binding social and environmental standards, protecting human rights, fair competition and the environment? Beyond anti-dumping measures, this would also allow producers to return to a level playing field.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u13	Mr President, Minister, I will avoid repeating what has already been said. First of all, I am glad that our colleague from Vlaams Belang cares about employment in Wallonia; it is important and I thank him for that.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u14	I became a Belgian parliamentarian. Alas!
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u15	On this point, we do not share your concern. Minister, on January 7, the press reported that several unions had sent you and your regional counterparts a letter concerning stainless steel imports into our country. This steel comes from China and Taiwan; it would be sold at prices up to 20% lower than those on the Belgian market. Many industries are at stake in Belgium, in Flanders and Wallonia, in Genk and Châtelet and, more broadly, in Charleroi. Nearly 5,000 jobs are at risk. In June 2014, the European Commission reportedly opened an investigation into these Chinese and Taiwanese imports following a complaint from the European professional federation, EUROFER. This investigation could lead to the imposition of customs duties if the commission came to the conclusion that we are indeed in the presence of a case of dumping - sale at a loss. Can you confirm this figure of 5,000 people employed indirectly and directly in the sector? What is the state of play of the European Union survey? What are the future deadlines in this file? What options would be available to Europe, the federal government and the federated entities if the case of dumping were acknowledged?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u16	Mr President, ladies and gentlemen, I have obviously received the letter from the trade unions. It is good that majority and opposition are concerned about this dossier. I believe that this will be very positive for everyone who is employed in this sector. Mr Friart, I see that direct and indirect employment in the sector reaches more than 5,000 people. It is a very important sector, not only for Belgium, but also for Wallonia and Flanders. Now I'll come back to the letter. The letter calls for support to be given to the imposition of European measures against massive imports at dumped prices of inox originating in China and Taiwan. For the sector, it is true that the best way to respond to this is to promote trade-blocking measures at European level. I believe that this should also be looked at at at European level. The principles of the World Trade Organisation must be respected and the trade defence instruments are not for nothing part of the Marrakesh WTO Treaty. Consequently, if there is indeed dumping and serious injury, the necessary measures should be possible. The question is where we stand now. Mr Friart said that Eurofer submitted an anti-subsidy complaint to the European Commission on 13 May 2014 and 1 July 2014. The European Commission has then launched an investigation procedure. This will take some time, but the positive thing is that in February or March 2015, the European Commission will deliver its proposal for provisional measures to the Member States and request their opinion at a meeting of the Trade Defence Committee. You know that Belgium is represented there by an expert of the FPS Economy. Following the European Commission's proposal for provisional measures, Member States will be asked to adopt a final position by September 2015. Without prejudging the situation too much, I can say that, given the economic and social impact that this dossier has on the Belgian economy in two regions, I am very sensitive to this problem. I will wait and see what Europe is going to propose, but I expect that we will propose measures which will go in the direction of the questions that have been formulated. The sector has carried out various restructuring measures in Europe in recent years. This strengthened the competitive position of Belgian companies. That makes us one of the largest producers in Europe. It increases the importance of Belgium in this dossier. Trade protection measures can ensure that the injury suffered by the European steel industry by dumping is compensated so that employment in the sector concerned can be safeguarded. Ladies and gentlemen, that means that I am in favour of defending the measures you have launched. I also assume that we will be able to provide very clear answers at European level by September at the latest. For Belgium, I think it is clear what position will be taken there.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u17	Mr Minister, I am not a protectionist, let me make this clear from the outset. I'm a Fleming, chers collégues. We Flemings live off the open economy. We have every advantage of keeping our economy open and of being able to import and implement as much as we consider useful. However, we must always play with what is called the level playing field in the Flemish Parliament, through a bad expression. We must ensure that, in the battlefield in which we take on the economy, everyone, not with equal weapons, must be different but be able to start fighting with equal opportunities. This is no longer the case in this sector. We are faced with a dumping practice. You refer to Europe to remedy that, but I would have liked to know what you will do. What responsibility do you take in this, especially when you are encouraged by people from your own constituency?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u18	Minister, I welcome your comprehensive answer, although I think it is difficult to take action at Belgian level, as you make it clear that it must first go through Europe and that there will be a ruling in September 2015. As much as we regret it in terms of employment, we will have to wait until September 2015. At that time, we will be asking the questions we need to ask again. Thank you.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u19	Minister, the way you refer to the issue, we hear that you are well aware of the situation. There are risks to Belgium, but this is also the case in other European countries. We were just talking about Aperam in Châtelet. In its time, ArcelorMittal wanted to sell it, and a German even bought it. So Germany also produces stainless steel, just like France. In short, all major European steel producers are concerned. It is true that the measure must be taken at European level. Nevertheless, we can expect a proactive reaction from you, especially when we see that the majority and the opposition are very attentive to this issue to the point of being able to unite behind any initiative that you might take. One thing is to expect that Europe will not submit any anti-dumping proposals or propose any social and environmental standards. Another is that a minister – for a case involving 5,000 threatened jobs – takes his pilgrim stick to discuss it with his European counterparts. You could also provoke a meeting of European ministers to agree on a response from the States to the Commission's proposals. That's what I was hoping for from you. If you take this initiative, don't worry, we'll be behind you. But please take it: 5,000 jobs are at stake. We are aware of the current economic situation and the difficulties experienced by the population. What the hell! This would be a positive sign from the government towards those who have called the alarm, i.e. the trade union organizations.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u20	Minister, thank you for your answer. The problem is that we will have to wait for Europe to make a decision. It will be in 2015. The situation will only deteriorate for our companies in Belgium. I'm still confident in what you're saying. I also hope that you will be very proactive in this matter. For our part, we will remain attentive to what is happening in the sector and we will ensure that all these jobs are protected.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u21	Mr Massin, I can assure you that we are proactive. This is a very important sector for all of us, 5,000 people are working there! As Mr Janssen has pointed out, this is particularly true at European level. It is at European level that we have to deal with things. March is near. I could understand certain reactions, in case of February-March 2016. Then one could say that it takes too long. It's already February and we'll be in March soon. Mr Penris, having spent many years in different parliaments together, I thought that my answer, as has always been very carefully formulated, was sufficiently clear to you. As far as I am concerned, this sector and the position of Belgium are so important that I assume that Europe will propose very clear measures to protect the sector on the basis of the level playing field. If we did not get that protection at European level, we would have an enormous problem. I do not want to anticipate things and assume that Europe is not going to do so, but perhaps we could, together with a number of other countries that are also heavily endorsed, consider what we can do ourselves. I am convinced that Europe has enough elements to take a position in this direction. However, I am not Europe and I must, of course, be careful to respect my powers. I do not want to suggest anything to the European Commission for which I am not competent for the time being.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u22	Mr Minister, I assume that you will soon be able to announce a date for the meeting of all the Ministers for Economic Affairs of Europe with this item on the agenda.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u23	That was the last line or we'll never finish! I said that I was not going to use the usual formula "the incident is closed" because the subject is not and is very important!
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u24	Minister, people are living longer and longer, and that is, of course, a good thing, but that also sometimes brings with it some inconveniences. Increasing numbers of people are suffering from hearing problems due to ageing. If it's genetic, it doesn't look so good to me either. So I am asking this question a little out of my own interest. Hearing aids can compensate for a large part of hearing loss, but they are extremely expensive. A study by the Price Observatory showed that the average price in 2013 was around EUR 1 650. When I submitted the question a while ago, the problem reached the newspapers. You said you wanted to work on responsible prices for hearing aids in a transparent market. It was not clear to me, however, what exactly you meant by that. Did you mean that the current prices should not be raised anymore? Or are you saying that prices can go down a little bit? The study also shows that 80% of the hearing aids analysed are more expensive in Belgium than in our neighbouring countries. In the Netherlands, on average, the hearing aids are even 25 % cheaper than ours. The difference is so great that I would have liked to have had an answer to the following questions. How will the responsible prices, which you will introduce, relate to current prices? What is the extent of the difference? How do you explain the large price difference with the Netherlands? Is there a correlation between the price difference and turnover? Are there a lot more hearing aids sold in the Netherlands, which means prices are lower? Or is there another reason for the price difference?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u25	Mr Klaps, nothing in this life is strange to us: from solariums over inox to hearing aids. We have also dealt with that dossier as it should be. I'll give you an overview. At the end of the previous legislature, the hearing aids sector was subject to federal price control. As a result of a price regulation that became applicable on 1 July 2014, the FPS Economy Prize Service received requests for price fixing during the last week of September 2014 from the distributors of hearing aids for more than 2 500 types. I didn't know there were so many different types. You refer to the average price for a hearing aid in 2013 of 1 650 euros. That is the final price, which the consumer pays to the audience. It is important to mention that only the wholesale prices of distributors are subject to price regulation. Maximum prices may thus be fixed for them. The prices charged by the wholesalers and thus the distributors are increased by the amounts requested by the audience for his services, which are not covered by the price regulation. So let me clarify this. We can impose maximum prices on the wholesalers, but not on the audience themselves. They provide additional services which are not covered by the price regulation. In determining the level of future maximum prices for hearing aids, account will be taken of the cost structure of the distributors of hearing aids. A methodology will also be used on the basis of certain parameters of the cost structure, such as the import cost, the commercial cost, the financial costs and the margin of the distributor. Foreign prices and prices of similar products can also be used to determine the maximum prices. All this is new as a result of that investigation. Applications are currently being examined. In any case, the aim is to make the hearing aids sector more transparent on the basis of price control. The files on wholesale prices, which I have approved over the last few weeks, show that a clear reduction in prices was made between the wholesale prices of the distributors and the prices I have granted. Due to the new methodology and our approach, wholesale prices have fallen by as much as 25% on average. This concerns only the price at the level of the distributors and, for the sake of clarity, not the price charged to the consumer in the shop. Perhaps you'd like to make that more public. Maybe the media are here too. I assume that the retail price will also be reduced. However, I do not have a grip on that. At present, no data are available on the price difference with the Netherlands. The comparison of the prices of a hearing aid in Belgium and neighbouring countries is not so evident given the lack of access to uniform data, the variety of reimbursement procedures and the difference in inclusive services depending on the country. There are substantial differences between the Belgian and Dutch markets, both in terms of guarantee and service. For example, we include two years of warranty, as well as a mandatory test period of at least two weeks and a follow-up of the device by the audience for a period of five years. In the Netherlands, the follow-up costs are additional and the services included in the purchase price depend on the agreements between the audience and the insurer. There are also differences in the reimbursement procedure and the level of training of the audiences. Mr Klaps, the most important thing is that we dealt with the problem, which was achieved by the press at the time. I have already tried to give you an insight into how the new methodology and approach have produced results, for the time being, because we are not going to be long. There is a 25% reduction in wholesale prices, which is already an important step forward. Let us hope that at the end of this year or at the beginning of next year, when we have an overview for the whole year, we can confirm it or make it even more concrete.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u26	Minister, that is encouraging. It means that there was indeed work on the shelf and I am glad that the problem has been addressed. It might be good to look at the relationship between wholesale prices and our neighbouring countries at a later stage. If the wholesale price is reduced, I hope that the reduction will also benefit consumers. I understand that you have much less to say about this, but perhaps we should give it just as much publicity, so that consumers can know it when they buy it and ask it proactively.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u27	Mr Klaps, I leave it to you to pass it on to the press, by e-mail or by any other means.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u28	Mr. Secretary, I haven't had time to send emails yet, so I'll just...
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u29	Pay attention to that, because they may arrive wrongly.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u30	Mr President, since last year a new consumer price index has been used to measure inflation more accurately and has 2013 as the reference year. The new consumer price index includes a new index basket, a new method of calculation and all kinds of improvements for certain categories of products. A switch to a chain index was also realised, allowing refinements in the weight scheme, product basket and methodology to be applied annually in January. The year has just begun and in theory changes could take place. I therefore have a few specific questions. Are there new products in the product basket and are there products that disappear from it? Are there any changes in the weight schedule?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u31	Mr Klaps, the answer is yes. I even have a nice list for you showing which products are new and which disappear. That's what the paper made, if I'm not mistaken. Last year, in February, the Index Commission established its work programme for 2014 as a function of updating the consumer price index for 2015. The change to a Laspeyres chain index makes it possible to update the weighting schedule every year in January, both by updating the weights of all witnesses included in the basket and by adding or deleting products. The composition of the index basket has recently been modified, adding a number of products and services and deleting others. I have a list of all the products, Mr President. Maybe I can give it to Mr Klaps later. The list includes knitting wool, toilet bags, driving licences, etc. A few products have also disappeared from the basket, such as fabric for dresses, mp3 players and mp4 players, because when you buy those devices, they are all integrated. As for the shifts within the weight scheme, I can give you the following. The new weight scheme was published together with all the necessary methodological information at the end of January on the occasion of the January 2015 index. Clothing and footwear fell in this scheme from 65.72 to 63.31, as did electricity from 31.83 to 27.46 and gas from 23 to 20. Alcohol and tobacco have increased from 23.6 to 25.2. The weight scheme is still based on the 2012 household budget survey. However, for two reasons, slight adjustments had to be made. On the one hand, a number of witnesses were removed and others were included. On the other hand, since 2014 a chain index has been used, the weights have to be updated annually via a price update according to the most current reference period, in particular December 2014. I will be happy to provide you with the full schedule so that you can think about it with even more knowledge, if necessary.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u32	It is always interesting to follow closely how a system is applied, to see what its practical consequences are. Something sometimes appears in the press here and there, but when a question is put, of course one cannot know what will appear in the press in two weeks' time. I remember that the weight of clothing is reduced. That is probably because the solders in Antwerp have been a great success. Thank you.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u33	Mr Minister, unfortunately I have already thrown my copy into the old paper, but you may have gotten it on the bus yourself. It's a leaflet with a big one on it.A 7-inch tablet is already yours. The message is that for only 2 euros you will receive a two-month trial subscription plus a 7-inch tablet as a gift. At first glance, that's really cool. When you read the conditions of use, it says: "The trial subscription is automatically renewed without a counter-notice." If the consumer does not take any action himself, he will automatically end up in a standard subscription. By the way, these 2 euros must be paid by direct debit. You know that the new SEPA rules themselves have much less control over this. One must therefore already sign a direct debit and then be able to cancel on time. Secondly, the gift, so the tablet, will be sent within ten weeks of receipt of the first payment. One takes a two-month trial subscription and only after ten weeks one gets the tablet! If the subscription is cancelled during the trial period, this means that each shipment linked to the promotion offer will automatically be discontinued, with the exception of those already on the move. In other words, if the subscription is cancelled during the trial period, there will be no more shipments, not even the tablet, as it comes after ten weeks. The strange thing is, of course, that such an offer comes from the consumer protection organisation number 1, in particular Test-Achats. That's pretty poignant, isn't it? So, Minister, I have a number of questions for you. Firstly, how many complaints have been received in recent years by the ombudsmen and the General Directorate of Control and Conciliation regarding such misleading promotional offers? Secondly, how do you evaluate this offer and similar offers compared to Articles 97, 98 and 99 of the Economic Law Code concerning misleading acts and omissions? Thirdly, what actions do you think should be taken here by the government, but of course also by the FPS Economy and perhaps by the organisation in question?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u34	Mr Dedecker, as far as your first question is concerned, the ombud services do not have detailed figures on misleading offers. We have, of course, requested it in response to your question. In future, when book XIV of the Economic Law Code enters into force, ombudsmen and qualified entities making out-of-court dispute settlement will have to prepare an annual report containing detailed information. So in the future we will have those figures. I can give you the figures from the General Economic Inspectorate. In 2012, 2013 and 2014, 3 893, 4 320 and 4 590 complaints were received in respect of unfair commercial practices respectively. These numbers include both complaints about unfair commercial practices against consumers and complaints about unfair market practices against persons other than consumers. "Unfair commercial practices," "unfair commercial practices," "unfair commercial practices," "unfair commercial practices," "unfair commercial It's not just about promotional offers. As far as your second question is concerned, we have been informed. This is important information. I was confirmed that the tablet was acquired by the consumer as soon as he accepted the promotional offer and took a trial subscription, even when he canceled it. We can of course assume that the messages in such actions can be clearer, but that does not mean that there are misleading commercial practices. It is for the Economic Inspectorate to carry out counter-inquiries in the event of possible breaches of legal provisions. That inspection needs to investigate. The rules on unfair commercial practices vis-à-vis consumers are European-based. The directive in question is of a maximum nature, which means that Member States no longer have the possibility to draw up additional or stricter rules. If you have already accepted that offer, I hope that this answer will make it clear to you that your tablet has been finally acquired, even if you cancel the subscription.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u35	Thank you, Minister, for your comprehensive reply. I have some observations to make. Firstly, the number of complaints is increasing, but the complaints concern both unfair commercial practices and other matters. It would be interesting to distinguish between them and to look at them separately, but that will soon be the case. Secondly, I did not go into it for the sake of clarity, but communication is in any case very unclear, especially if the conditions explicitly state that the tablet will not be sent until later and that there will be no more shipments if the subscription is cancelled. That is anything but clean and anything but an example for such an organisation, which always demands of others that communication be open, fair, transparent and correct. I think we can expect an example from them.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u36	Debates of the European Parliament Mr Lachaert's 1306 question was converted into a written question. Next, attached questions Nos 1370 by Mr Wathelet and 1800 by Mr Nollet are postponed. Question No 1414 by Mr Pirlot was withdrawn. Debates of the European Parliament Mr Van Biesen's 1437 has been converted into a written question.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u37	Debates of the European Parliament 1438 by Mr David Geerts has been converted into a written question.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u38	Mr.President, Deputy Prime Minister, at the end of 2014, the federal government was expected to decide on the award of the newspaper and periodical distribution contract. Traditionally, this distribution contract was awarded to La Poste. At bpost, obtaining this market is crucial because its non-renewal will likely lead to the dry loss of 3,500 jobs. The concern is palpable within trade union organisations and bpost staff. A restructuring has been under way for years. In the difficult economic situation we are facing today, when the decisions taken by your government are already very hard on all workers, this would be another terrible blow for our fellow citizens. Mr. Deputy Prime Minister, has the federal government, as a representative of the shareholder state at bpost, ever taken a decision on the award of this distribution contract? If so, what are the ins and outs of this decision? Otherwise, what is the planned schedule for this allocation?
