ParlaMint-BE_2015-05-06-54-commissie-ic164x.u1	Mrs Demir, you have a question. 2369 on the national pool of port workers.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u15	Mr President, Minister, on Monday 20 April we read in De Standaard that the Group of Ten decided not to increase the budget for external prevention services at work. However, we also heard that it might even be a reduction in resources. That's what's been said here and there. It seems as if a passport was issued to restrict the availability of bridge-retirement workers, which was recently approved. It is very difficult for our group to accept that these two basic rights should be at the expense of each other. In the context of workable work, which you are also in favour of, we should not give the signal that we no longer regard occupational safety, health prevention and well-being as priorities. On 23 March, the European Agency for Health and Well-being published a study demonstrating once again that investing in safety and health at work makes workers happier and more productive. These are matters that we can only welcome. External prevention services should play a greater role in this and not a smaller one. Especially in SMEs, their role is often indispensable because they do not have the necessary competences. I come to my questions, Minister. Will you ensure that the external prevention services for safety, health and well-being at work are not reduced? What will you do to increase the fight against accidents at work? Can you give us a specific explanation?
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u16	Mr President, ladies and gentlemen, Mr Kitir, the problem of financing external services is not only an important one, but also a technically very complex one. The Group of Ten was asked to draw up detailed proposals by the end of May to clarify their social agreement. I have also expressly asked the social partners to examine their proposals in the external services sector. I also assume that the social partners will take full account of their own concerns when preparing their proposal, as expressed by the NAR in the plan to address the strategy on well-being at work 2014-2020. The social partners have strongly opted for strengthening the added value of external prevention services. It is not only the definition of an improved framework that should allow external services to work more effectively, but also, of course, their role in promoting workable work. I therefore expect concrete proposals from the social partners on the financing of the external prevention services that these services must allow to meet these ambitions in all small and large enterprises. The final result must, of course, provide a high level of protection for all workers in the performance of their work. A proposal of national strategy on well-being at work for 2015-2020 will shortly be submitted to the High Council for Prevention and Protection at Work, asking for a proposal of actions or actions within the framework of the strategic and operational objectives of the national strategy, in close cooperation with the general managements. It remains important for all or the main stakeholders to be involved in the commitment and implementation of the actions so that they become responsive and assume their responsibilities. Perhaps you will come back to this later, but I can tell you that we will give the necessary concrete consequences to everything I have just gone through.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u17	I would ask you, Minister, to deal with this matter urgently. The law published by the previous minister actually entered into force in 2016. The reason for this was to give the external prevention services ample time to prepare themselves for the rules agreed at that time. There is now the intention to reduce or modify this. We are now in the month of May. I hear in your reply that you have given the partners until the end of May time to reach an agreement. I trust that you will have to translate that into a royal decree, into implementing decisions. There's still a lot of work to do. Once again, the external prevention services do not know how to prepare themselves. I would like to ask for this matter to be dealt with as a matter of urgency. I will be interviewing you on this very soon.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u18	Minister, on 21 April we learned in De Oortend that Flanders will increasingly focus on several new high-tech initiatives to stimulate the economy and exports. However, no mention was made of the future of the manufacturing industry in Flanders. It was even said that it had lost its place in Flanders. Very many people in Belgium and therefore also in Flanders are employed in the manufacturing industry. When they have to be told by radio that their sector no longer has a future, they are very concerned. The same interview talked about the negotiations between America and Europe on the free trade agreement. We also have concerns about this. An internal trading platform with America has enormous advantages, of course, but not if this is at the expense of the standard of living of our employees. I also read in the coalition agreement that a job plan will be drawn up in consultation with the social partners. Special attention will be paid to employment in the industrial sectors. Because of this situation, I have a few questions. Do you think there's a future in our Belgian manufacturing industry? If so, what will this future look like? If not, how will you guarantee these people a new job? Are all our social rights guaranteed by such a new free trade agreement between Europe and America? Has work been done on the job plan with special attention to the industrial sector, as mentioned in your coalition agreement?
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u19	Mr Kitir, like you, I am convinced that there is a future in our Belgian manufacturing industry. It will, of course, have to adapt to changing market conditions and innovate sufficiently in economic and environmental terms, but also in social terms. The keys to industrial policy, of course, lie primarily with the regional level. Nevertheless, the federal government still has a number of non-important elements in labour costs, taxation and so on. The manufacturing industry in Belgium faces major challenges: guaranteeing top quality, keeping small ranges affordable, quickly achieving large volumes, efficient management and sustainable business. I believe that our industrial model of production is in need of a thorough makeover with as few people as possible because of the high company costs. The cost structure is an important variable. Furthermore, the DNA of the factory of the future must look different. It must be aware of knowledge, cooperation and innovation. The regions of this country have taken various initiatives to provide the necessary answers in this context, with a great involvement or a very important role for companies and business organisations, but of course the workers' organisations are right to be concerned about this and have given or will continue to give their support. I am thinking of the action plan Made Different by Agoria and Sirris. My Flemish colleague Mr Bourgeois, Mr Muyters and others are working on this, including through the Flanders Make research centre. In Wallonia there is the Plan Marshall 4.0. The Walloon Government is also developing the necessary dynamics in this respect. As far as the free trade agreement and social rights are concerned, the agreement is concerned, in particular, with increasing trade among ourselves with a view to increasing economic growth, which in turn contributes to additional employment. The European Commission is now negotiating this TTIP with the United States on the basis of a negotiating mandate. I understand that there is a great deal of concern about this, but the social regulation as such is not the subject of the negotiating mandate, and therefore no compromises are being made in this area. With regard to labour legislation, I refer to the following specific sentence in the negotiating mandate: "The EU and Member States' laws, regulations and requirements regarding work and labour conditions shall continue to apply. I believe that this is clear and that there should be less concern about it. That does not mean that we should not follow this closely. As far as industrial employment is concerned, the wording of the coalition agreement is very clear: more generally, the government, together with all the actors involved, will pay particular attention to employment in the industrial sectors in the context of this employment pact. You know that after the adoption of the index jump, after the adoption of the wage standard and after the social elections, sector consultation can now start effectively. Yesterday, I spoke to all the chairmen of the joint committees and the mediators on this matter, in order to give maximum effect to the sectoral negotiations and to maximise employment in these sectors. As you know, we also need to discuss it with the regions. These debates are also in full swing. In short, I hope that, step by step, we can achieve a job pact across all sectors, and that we can create jobs here in Belgium together with the various regions of the island. Step by step the ingredients are given to make this possible. That is where we stand at the moment, and that was also your explicit question.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u20	Thank you, Minister, for your reply. I am glad that you do not write off the manufacturing industry, as other people with a great responsibility unfortunately do. You refer very much to the regions and to the social dialogue. I can understand that, too. Everyone has a responsibility in this. I would ask you, however, to remain vigilant in this regard. Eventually, you're also Federal Secretary of Work. So you have a good overview of the whole country. Much has already happened in terms of labour costs and cost structure. There are also a lot of reductions in charges for this sector. You also indicated that it is partly about top quality, about reorienting companies and so on. Please also note that our employees have certainly always been the best students in the class in industry when it comes to flexibility and quality delivery. I therefore hope that you, from your position, together with the regions and the social partners, will take care of it and continue to support the manufacturing industry and come up with concrete initiatives.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u21	Mr President, Minister, at the start of the previous government, the social partners had concluded a number of partial agreements in spring 2013, including partial agreement 4, in particular on the modernisation of labour law. This includes flexibility tailored to employers, which deals with overtime and the annualisation of working time. In addition, there was a commitment to develop a framework for greater flexibility tailored to employees, namely a regulatory framework for sliding timetables or school bell contracts and a better status for part-time workers. While the first part was concretely completed and subsequently transposed into regulation, discussions on the second part continued. In the media, reference was made in the week of 20 April to a study by the Verwey-Jonker Institute, which shows that today's classic household model has been replaced by an income model of one and a half, with women working more, but mainly part-time. The traditional role pattern, in which women in particular take up family responsibilities, is maintained according to this study. One of the ways to better reconcile work and family life, where men would also take on more family responsibilities, and women who attach great importance to the family would still have the opportunity to work more full-time, is more tailor-made. This can be about homework, but also about more autonomy or customization in the work schedules. Where are the discussions between the social partners on this second part? Is there any prospect of an agreement on that? Otherwise, will you come up with a proposal for a regulatory framework for sliding timetables and a better statute for part-time workers?
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u22	Mr President, ladies and gentlemen, Mr Kitir, in February 2013, at the request of the government, the social partners concluded an agreement on modernising labour law. The first part of that agreement, which concerned the flexibility of working time, was transposed into the Law of 17 August 2013 on the modernisation of labour law and on various provisions. The other parts of that agreement concerned sliding timetables and part-time work. This file was transferred to the National Labour Council. Several meetings were held on these different aspects of the modernisation of labour law in the Committee on Individual Labour Relations. Even though a strong pace of negotiation was followed and it certainly seemed to be moving timetables close to an agreement, things were blocking. For more than a year, discussions on the two shutters have been interrupted. The National Labour Council is waiting for a signal from the Group of Ten. As indicated in the government agreement, but also in my policy paper, I will ask the social partners to restart the ongoing discussions. Following their advice, I will also take the necessary legislative initiatives.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u23	Mr President, Minister, I am pleased that you will be calling for the talks to be resumed. This can be a very important part of the combination of work and family life. I will come back to this later.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u24	Mr Massin, the rule in this House is that when one is not there and has not been notified, the question lapses. I can say that in French too. The presence of a member is required. If he is not present and is not explicitly excused by a collaborator or others, I can only see his absence and delete his question.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u25	Mr President, I will therefore answer officially. Earlier, as part of my intervention on the bill, I said that I was late because a motion for a resolution was under discussion in the Public Health Committee. I indicated that, after my intervention here, I was returning to the Public Health Committee and that I would come back later to ask my questions. You'd rather take this excuse to blow up my question. I find your attitude cavalier. I repeat that I was leaving and then coming back to ask my questions. I don't think it's very elegant! It is not because a colleague (in this case, Mr Hedebouw) withdraws his question from the attached questions that it is automatic to consider that the other two members do not ask theirs. That's not right! We can do it nicely for everyone. We wait and those who are late ask their questions after. Or if the minister has to leave, questions are deferred, transformed into written or deleted questions.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u26	For your question No. 3488, I propose that the Minister provide you with the written answer directly.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u27	All right. That will allow me to have the answer.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u28	The same applies to Mr Gilkinet's question No 3763. I propose that you ask your question No. 3716.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u29	Mr President, thank you for your understanding.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u30	Mr. Chairman, Minister, a few weeks ago, MCO Roux's pre-pensioners, a former glass factory closed last summer, had a bad surprise. In fact, the ONEM has recalculated the allowance for compensation for dismissal and the result is alarming for these workers. These former workers will lose up to 500 net euros per month. This aberration is not specific to AGC, nor to Charleroi because similar cases have been identified in Liège and Namur. Assimilated to severance pay, the compensation for dismissal derives from the reconciliation of worker/employee status. In the glass sector, it results in several weeks of additional notice paid by ONEM. In order to qualify, AGC Roux's pre-pensionees have therefore joined the conversion unit. Today, they are disillusioning because the ONEM has revised its method of calculation to establish the discount due on these allowances, with the result that the withholding at source increases from 17.5% to 50%. This method of calculation is rather foolish because these pre-pensioners will receive less than if they were unemployed. This interpretation is not in the spirit of the law. Minister, have you been warned by ONEM of this aberration, which has been the subject of articles in the press? Are you trying to solve the problem with the ONEM? Are you in consultation with the various unions that threaten to take action if the situation does not unblock?
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u31	Mr President, my colleague, the compensation for notice (PKI) is calculated on the basis of the Royal Decree of 9 January 2014 on compensation for notice. In essence, the PKI is calculated by subtracting the employee's leave allowance from the leave allowance he would have received if the single status legislation as applicable from 2014 had been applied to the entire length of service, i.e. also before 2014. I think I can deduce from the question that they are candidates for the supplementary business unemployment scheme who have registered in an employment unit created by the employer in the context of collective redundancies. Where an applicant for an unemployment scheme with an additional business is enrolled in such an employment unit, he or she shall receive compensation from his or her employer equal to three months' pay. In most cases, it is for a worker much more than the leave allowance to which he or she is normally entitled. The ONEM reimburses the employer for the additional cost of the benefit thus granted to the worker. The Royal Decree of 9 January 2014 provides that, when calculating the PKI, account shall be taken of this benefit granted to the worker in addition to the leave allowance. Otherwise, the worker in question will receive twice the amount covering the same period, once paid by the employer and once paid directly by the ONEM. It is therefore obvious that the worker enrolled in an employment unit will receive a PKI lower than that received by a worker who has not registered. The latter does not receive the additional advantage which the former has enjoyed. To calculate the amount of PKI paid as a net non-taxable allowance, a theoretical occupational discount is calculated. In this context, in accordance with the above-mentioned decree, account shall be taken, depending on the family situation, of the amount obtained by applying the scale 1 or 2 provided for in Annex 3 to the Royal Decree taken in implementation of the Income Tax Code. To date, the ONEM has consistently applied the regulatory calculation model in the same way. However, it appeared from the analysis of the reported situations that strict application of these scales leads to too large a withholding tax. I confirm that the ONEM is responsible for examining how to introduce proportionality into the tax calculation method. This should lead to future compensation being based on a normal net monthly salary and to a correction for PKI paid since January 2014, as they were also entitled to a reclassification allowance due to their inclusion in an employment unit.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u32	Minister, thank you. I welcome your efforts in this area, which is not simple; this is a very technical issue. Beyond that, I took note that you had instructed the ONEM to make changes and find a solution. They should be asked to hurry. Workers have been facing these difficulties since January. These are four months on which they have very important deductions. If an urgent solution could be found, it would help many affected workers.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u33	Mr President, Mr Minister, I would like to go back to the cacophony that was seen in the press in mid-April with regard to the figures and, in particular, what some have called the EUR 291 million in unemployment benefits unduly paid. In view of the interpretations and reactions that go in all directions, including among the majority, I have looked at objective facts, namely the annual report of the ONEM on unduly paid allowances. Mr. Chair, in the question referred to the Minister, I had taken up the important part of the 2014 annual report of the ONEM. I am obviously not going to read the whole of this official report. I imagine that every Member who spoke on this issue has taken the trouble to examine the objective facts. That being said, Minister, what a confusion! What a cacophony! I heard everything and its opposite. I've heard facts and proven numbers. I have heard completely manipulated figures between the supporters of the increase of cheaters, on the one hand, and, on the other hand, the best control of cheating. In substance, the debate was summed up within the majority and among the various stakeholders in this dual version, which is obviously not on the same line. In view of this type of attitude, which seems to me at least to be a broad political manipulation of the figures, it seemed interesting to me to hear you and to hear through you the work and, above all, the evolution of the work, which has been carried out in recent years by the ONEM.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u34	Mr. Secretary, I want to start at the beginning. I raised the dossier in Parliament in 2012. In my capacity as a Member of Parliament, I am doing my job, in particular, to read and analyse reports produced by the RVA. In 2012, one sentence from the 2012 annual report brought me to the problem. After that, the sentence was no longer in the report. After the problem was raised here in this House, the sentence I stumbled upon disappeared and was written by an official of the RVA. I quote: 'The increasing number of new recoveries and the increase in the balance still to be recovered are, according to the RVA, very worrying in budgetary terms.' This was the case in relation to the problem of wrongly paid benefits, irrespective of their origin, i.e. whether they are unemployment benefits, time credits, service cheques or so. That one sentence was in the annual report. On that basis, I asked Monica De Coninck a question in 2012. She responded as follows. I quote: "The cabinet of the Minister of Work, Monica De Coninck, confirms that the loss is incurred by the government. That's what the Minister said at the time. In fact, the Minister, together with Mr Crombez, said that more controls would be carried out. I have replicated that it was very good that more controls would be carried out because the problem is worse than we can estimate at the moment. It's not transparent either. It is important for this to be clarified here in committee. As a result, more controls have indeed been carried out. That's noticeable, too. After all, I have never claimed that the amount of EUR 290 million is an amount of 2014. It is indeed a cumulative amount. Nor have I ever opened the hunt for the unemployed. Nor did I say the word'social fraud' three weeks ago. I have just pointed out that the amount is increasing. Benefits unduly paid, irrespective of whether they are unemployment benefits or other benefits, are increasing. There are indeed more controls. In 2011, the RVA committed a total of EUR 93 million and in 2014 it amounted to EUR 140 million. It is important, of course, that we also recover the money after the checks. What do we notice? Minister, this is an important observation. In 2011, the recovery amounts to €65 million. In 2014, where more determinations and controls are made, the recovery amounts to only EUR 69 million. The difference between the collections in 2011 and the collections in 2014 is minimal, although controls have increased. I follow up on the file every year. I did that in 2015. Once again, it is a problem, because the amount is increasing. There are indeed more controls, but it does not make sense for the final, cumulative amount to increase. It should take off. There was then a storm of criticism. My conclusion would not be correct and populist. Certain parties were talking about social fraud, although I did not even say those words. However, no one answered the most essential question. I hope I can get an answer from you today. After all, Mrs Fonck apparently did not read the audit of the Court of Auditors. Mrs. Fonck, if you read the audit of the Court of Auditors, specifically about the amount of benefits recovered, you will read that the Court of Auditors...
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u35	[[...]]
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u36	Mrs Fonck, I have the floor. I've had you pronounced, too. It's my turn. You will then read that the Court of Auditors also notes that there is a sharp increase in benefits to be recovered. Mr Minister, my question is very simple. After all, I don't want to play a well-being game. It is appropriate that you answer the following essential question. Firstly, how will we prevent this amount, which is growing sharply every year, from increasing further? Secondly, how will we recover the amount?
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u37	Minister, there has recently been a debate, particularly in the press, on the recovery of unduly paid benefits from the RVA. The discussion arose as a result of the publication of the annual report of the RVA. However, on the basis of the report, a number of wrong conclusions were immediately drawn. It was assumed that it was only about stamp money. It was assumed that the problem is getting bigger and bigger. It was assumed that trade unions played a very bad role in payouts. I was pleased that your colleague Tommelein provided some clarity. In fact, it is about a greater reduction in the wrongly paid benefits, thanks, among other things, to the work of the previous government. Those who follow the report, which has been quoted a great deal, can see that EUR 33.4 million was unduly paid in 2010. Every year that followed 2010 we saw the figure fall. In 2014, we are talking about EUR 11.9 million. In this respect, it has been denied that the trade unions are ensuring that the invoice continues to rise. The work of the previous government, of which your party was also a member, Minister, continued to reduce the amount further. We cannot therefore talk about an increase in fraud, but about an increase in the successful controls to combat it. Some colleagues cited this dossier to question the role of the trade unions in the payout. There would be a cheaper and better system, but if one looks at some other European countries, one can see that such a system is simply much more expensive. As a result of this discussion, I have the following questions, Minister. Can you explain how the government interprets the figures in the annual report? Can you tell us exactly what is going on with the amount and the evolution of it? Do you have any plans to curtail or change the role of trade unions in this matter? What action will this government take to ultimately recover and reduce the wrongly paid benefits?
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u38	Minister, I am not going to take too long and will respond directly to the number debate. The figures certainly have a political content, in that sense, Mrs Demir, which you yourself are not very communicating about the fact that the 290 million is cumulative. Well done, as they say in politics! It's practical. The goal is made in the media. In terms of objectivity, it's a little bit on the limit. It would have been much more correct to take the annual rate. You didn't talk about social fraud, but you made a direct link with the unions. What benefit is it about if you link with the unions? If you make the link with the unions, you clearly take a political view that the problem is about social benefits. Let us not get carried away, you have clearly talked about social benefits. That's just wrong. That can and must be said. Minister, the 2014 RVA report puts forward a certain hypothesis on page 114 about the question to which these increases are linked. I quote: "The amount of new debts to be recovered has increased sharply in 2013 and 2014. This increase is mainly due to the better target group definition and an increase in the number of checks on service cheque undertakings. Mrs Demir, what do the trade unions have to do with the service cheque companies?
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u39	Nothing.
ParlaMint-BE_2015-05-06-54-commissie-ic164x.u40	That is the question that everyone in this committee is asking. It is, of course, a little more difficult to have the debate here than on television. However, I effectively expect the Minister to better determine the figures and, above all, to say what he and the N-VA want to do in relation to those service cheque companies. Should control be further increased or reduced, which will, of course, reduce the money to be recovered. The next discussion is about the role of the trade unions. Of course, we're not gonna find each other in that. Let's just take it back that historically, the benefits are a joint responsibility. The trade unions have sat together to build their own cashiers. Does the State now have to settle this so that it can be taken entirely out of the hands of the trade unions today? Historically, it comes from the hands of the unions. The same applies to the mutualities. In that primacy of politics, everything to the state, we cannot, of course, agree. I will end with a few questions, Minister. I ask you to correct the falsely quoted figures and to distance you from the statements made by N-VA Member, Mrs Demir. What is your position on the role of trade unions in paying unemployment benefits? What are your views on employers' contribution fraud and tax fraud? What are your views on attempts to reduce the role of trade unions in social dialogue and social security management?
