ParlaMint-BE_2015-01-28-54-commissie-ic070x.u1	Debates of the European Parliament Mr Dedecker's 1409 was converted into a written question.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u12	Minister, I asked Minister Borsus this question first, but he referred me to you. Since the crisis, we have broken again year after year the record of the number of bankruptcies per year. In 2014, 11 294 companies went over the top. Often the failure of a company is not due to the lack of creativity or commitment of the entrepreneur. It has not been economically easy in recent years to keep a company open. Now that the light is coming to the end of the crisis tunnel, it is important that all those entrepreneurs, who went down in good faith, can start again with a clean slate. For this, the possibility of a change, especially for small companies set up with unlimited liability, is very important. When the change is made, the debts can no longer be enforced and own funds can no longer be used to repay the debts. Until so long, it's actually impossible to start a new business. It is therefore also important that the bankruptcy proceedings can be dealt with quickly and correctly, so that anyone who is entitled to change can also rely on them. The European Commission recognises this need. She called for non-fraudulent bankruptcies to be dealt with within a year. The deadlines for handling vary enormously within the EU, from 4 months to 9 years. Minister, how long does it take, on average, in our country to deal with non-fraudulous bankruptcies? Should a great deal of effort be made to reach the one-year deadline to complete bankruptcies? At the end of the bankruptcy proceedings, discharge has been granted automatically for several years if there is no fraud. How often is change refused? Cleaning can also be requested by the entrepreneur after six months after the bankruptcy. Is this rule sufficiently known to the entrepreneurs? Is changing often applied for early?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u13	As regards your first, third and fourth questions, I must inform you that it was not possible for my services to make precise figures available within the time limit for the oral question. You can ask questions again later, or submit them in writing. As far as your second question is concerned, bankruptcies affecting a natural person as a trader are the only ones eligible for a change. They are often very modest in size. Consequently, it is unlikely that this type of bankruptcy would often take longer than a year. Of course, complications are always possible, such as processes to be carried out or other sources of delay. I would remind you that, in accordance with Article 35 of the bankruptcy law, the court commissioner is specifically responsible for overseeing the management and liquidation of a bankruptcy. Moreover, in accordance with Article 73 of the same law, where it is established that the assets will be insufficient to cover management and liquidation costs, the court may, at the request of the liquidator or even of its own motion, declare the immediate closure of the bankruptcy. We note that a rapid resolution of the bankruptcy operations is a requirement that the legislator has not escaped, and that it is therefore desirable that this should be applied.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u14	Thank you, Minister, for your reply. I can understand why you cannot answer the first questions immediately. I will indeed submit them in writing. However, I would like to stress that it would be a good thing for entrepreneurs who act in good faith and go bankrupt because of the economic situation or because of the fact that a competitor is located close to the door to be replaced quickly, so that they can start again.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u15	Minister, I am not really a shopper myself or a real bargain hunter, but as a result of the bargain period, a number of things are always happening. First of all, there are many people going to the shops, but second, there are also many people going there with bad intentions, shoplifters in particular. That phenomenon is not new, it occurs every year. Last year we also knew this: through the various media we were told that there is an increased risk of shoplifting every time solders. It was then found that the thieves were becoming more resourceful, with transmitters to disable electrical anti-theft gates, self-designed pliers to pry off safety clamps and the like. It is therefore a good thing that traders take their own initiative in the first place and make greater use of security. About two weeks ago, there was a reportage of Telefacts on VTM, which showed that traders would use up to 30% more security agents in the bargain period. It also showed that the total cost of thefts for traders was hallucinating: no less than EUR 1 billion would be lost. Two thirds of this amount would arise from the loss of goods, a third goes to the cost of security itself. Surveillance agents are mainly found in larger shopping centres and in larger commercial areas in larger city centres, but smaller SMEs do not always have the means to pay for self-security. This group will be more easily targeted by thieves. The impact on such SMEs is therefore fairly high both financially and morally. Of course, everyone has to try to take up their ultimate responsibility and secure their own goods, but we also think that the government should make sufficient efforts to deal with this retail crime. It is good that the government agreement explicitly states that efforts will be made to set up specific chambers in each district to enable the rapid judicial procedure for simple crimes and that this would continue. At present, the use of the existing fast-track law is relatively limited. According to my records, it's about 436 shoplifting suspects who were subpoenaed through quick justice. Both the National Syndicate for Self-employed and Unizo find quick justice an efficient form of punishment for shoplifters. Therefore, the NSZ has asked you via the media to urge all judicial arrondissements and prosecutors to bring shoplifters, regardless of the value of the stolen property, before the express court. I have two questions about that. Firstly, do you believe that the NSZ's call to speed up the work of more high-speed courts is a valid question? If so, what initiatives will you take to meet this demand? Secondly, what will you do with parquets such as Turnhout's, which has already indicated that you do not feel anything for the system of high-speed courts? Is there no danger of a two-speed system?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u16	Mr President, Mr Vermeulen, Article 76 (2), first paragraph of the Court's Rules of Procedure provides that one or more chambers shall be responsible, inter alia, for the procedures of immediate appearance and summoning of minutes. Those chambers have been provided for this legal provision since the Law of 28 March 2000 amending the judicial organisation as a result of the introduction of an immediate appearance procedure. The term Quick Law is used for the summoning of minutes in Article 216c of the Code of Criminal Procedure, not for the immediate appearance (Article 216quinquies, to a large extent cancelled by the Constitutional Court). Firstly, the coalition agreement and the policy statement state that the efforts to set up specific chambers in each district to enable a rapid judicial procedure for simple crimes will continue. The practice varies between the prosecutors or even the departments, depending on the priorities of persecution set by each prosecutor of the King in relation to local crime, the capacity of the police, the organisation of the courts of first instance by each chairman and the extent of the local frameworks of magistrates, clerks and prosecutors influencing the capacity to prosecute and serve. This point of the policy statement should therefore be raised in the general context of the discussions on autonomous management. Secondly, the period of time envisaged to answer an oral question is too short for a national survey of all the State's public prosecutors. The nature of the reaction is determined according to different criteria, including the extent of the disadvantage (this is up to a certain amount), the contests of the perpetrator, the indications of gang formation (circulating offenders group), the use of force, the use of tools to facilitate theft, the extent to which the victim was compensated or the goods were taken back, the absence or limited number of previous criminal offences of a similar nature by the perpetrator (is he a polyplayer?), the suspicion of a financial, social or other problem, e.g. addiction, kleptomania, a permanent or non-permanent residence in the country and other elements specific to the case. Depending on those criteria and legal conditions, the decision to dismiss, municipal administrative sanction, amicable settlement, mediation in criminal matters, direct subpoena, subpoena in quick-paced or judicial investigation was given. As mentioned earlier, these criteria vary from parquet to parquet and even from department to department. For example, within the Antwerp department, two rapid court sessions are held each month. In addition to the above mentioned shoplifters are also included in the fast-track procedure: facts of success of agents and rebellion. Following a previous parliamentary question on the handling of shoplifting in fast-track law, the Turnhout department has indeed communicated that it does not deal with the matter in quick-track law, but does aim to achieve maximum results within a reasonable period of time. According to this section, focusing only on the right to speed would lead to false conclusions. It seems better to open up the demand for total handling and then look at the time span within which the result is to take place. In the Turnhout department there is a virtually zero tolerance policy on shoplifting. Almost every file of an identified shoplifter against which sufficient evidence can be brought will be subject to judicial action. The speed of decision is also remarkable.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u17	Minister, I am aware of the differences between cantons and practices which also differ due to local conditions, capacity and autonomous management. However, my concern is not only with the judicial system, but also with the victims. In my introduction, I made it clear that the problem of shoplifting is huge, not only economically but also socially. Lick-up policy with fast-track law is, of course, a solution. I see that in the arrondissements where the system is in force, the first figures relating to shoplifting are very positive. They're only quarterly figures, so we have to be careful in that, but they're hopeful anyway. I call for the best possible support for the calls of Unizo and NSZ.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u18	Mr. Speaker, Mr.Minister, at the end of the previous Parliament, we voted for the recognition of co-parenthood for children from same-sex couples. The Act entered into force on 1 January 2015. However, it has come back to me that some communes are not yet up to date. When women come to recognize the child already born, either officials are not aware of it, or they say that there is no suitable form for the situation. They therefore find it difficult to have their rights recognized because some municipalities send them home and tell them to come back when this is ready. Minister, has there been any training for public servants? Has the adjustment of the forms been considered? This is an important additional right for these women and for the security of the child's status. Could a press campaign be organized so that all mothers know that this right is recognized to them today?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u19	Mrs Lalieux, on 22 December 2014 I adopted a circular on the new legislation on comaternity by supplementing the one on the name which was published in the Belgian Monitor of 29 December 2014. This circular, which takes into account the law of reparation of 18 December 2014, was transmitted to all officers of the civil state of the kingdom via the public prosecutors. Specific training has not been organised for civil-status officers and does not prove necessary, since the new provisions on comaternity are mutatis mutandis similar to those on the establishment of filiation for heterosexual couples. As for the adaptation of the forms, I would like to remind you that the law of 5 May 2014 was published on 7 July 2014 in the Belgian Monitor and that the date of entry into force of 1 January 2015 was already known since that time. As a result, municipalities and computer software providers had six months to take the necessary minimum measures. These changes are limited to adapting the existing models of birth certificate and recognition by replacing the reference to the father with a reference to the co-parent. Finally, a notice was published on 23 December 2014 on the FPS Justice website drawing attention to the entry into force on 1 January 2015 of the law on comaternity.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u20	Minister, thank you for that specific answer. Apparently, everything has been done, but as laws change a lot, not all civil servants are aware of it. Perhaps the Attorneys General did not transmit the information? They may need to be asked to return a reminder circular. It should also be checked whether there are any other complaints regarding the adjustment of the form. For the City of Brussels, it is in order but I do not know whether all the communes in the Kingdom have suitable forms. This is important because this right that we give to these women must be effective in all municipalities. The FPS Justice should send information by e-mail.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u21	Mr President, Minister, the Court of Justice in Brussels has recently been evacuated following a bomb alert. This is the second time since the events in Verviers. While measures are needed to ensure the security of the Palais de Justice and the security of those who frequent it, the measures adopted do not seem to be the most effective and are mainly conducive to disruption of the hearings. It was decided to place at the entrance of the Palace a control of objects by means of a scanner and a control of persons through the passage of a portico. However, the lines quickly lay down and some had to wait for three hours before they could return to the Palais de Justice. The justice staff is therefore, we can understand, irritated, angry but also concerned. Indeed, the amateurism of the controls carried out and the insufficient number of officers assigned to this mission increase the sense of insecurity and impotence of the security forces to guarantee their safety. Judicial personnel and persons wishing to participate in public hearings must be able to be monitored promptly. If the system is not organized and adapted to the high level of attendance at this place of justice, there is a great risk of a total blockage. But you know how complicated the functioning of the Brussels Courthouse is. If the threat is so high and the organisation of the security of the premises is not possible at short notice, the President of the Brussels Court of First Instance considers that it would be better then to close the Palais de Justice for the time necessary for the verification of the premises. If there is a bomb alert, the Palace is closed; you search everything and then you reopen to ensure proper functioning. Minister, how have the controls at the Brussels Courthouse been organised? How many officers were assigned to exercise this control? How did you identify the threat? I know that these matters also fall within the competence of your colleague from the interior, but I am asking you as the head of the courthouses. How can we explain that commercial, labour and civil courts have not been protected? Are additional security officers provided for surveillance around scanners and portals?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u22	Mr President, Mrs Lalieux, security in the premises of Justice is obviously a priority, but I would like to point out that there is indeed a security policy for the palaces, which is based on the following idea. The concept within and around the Justice buildings will, on the basis of an ongoing risk analysis, increasingly be based on the integration of three fundamental elements, namely, the organisation, configuration of the building and electronic equipment, each of which is adapted to a judicious level commensurate with the risks. Meanwhile the events of Verviers have occurred and the level of threat has been raised to 3. The security measures currently in place in many courthouses are therefore adapted to the current exceptional situation at level 3 of the threat and consist mainly of the increased deployment of police services and, even in some places, of military personnel. These measures will be assessed once the MACO has decided to review the level of the threat downwards. The situation in Brussels as well as in the Palais de Justice are specific, due to the presence of the Federal Prosecutor's Office and the high concentration of cases of terrorism; suspects in these cases are brought before the Chamber of Counsel and the Chamber of Indictments in Brussels, therefore in the Palais de Justice. The same situation arises in any substantive trials. The presence of a scanning portal in Brussels is therefore justified in any case. For the Poelaert site as a whole, the necessary additional measures were examined for each building, depending also on the means and staff available. As a result of the increased level of threat, a number of new measures have been taken. It is true that they caused delays on the first day at the Palais de Justice, but this is only normal when implementing important new measures. Most of the persons concerned have therefore shown understanding, given the exceptional nature of the situation. Most of the problems also lasted only one day. Following the effective intervention of all parties concerned, the situation was already normalized on the second day. This means that judges and staff have a reserved entrance where their identity is verified and that there is also the scanning portal where, next to the normal visitor waiting girl, a priority queue is reserved for lawyers. The waiting time for this second group usually oscillates around 10 to 20 minutes, which I believe is acceptable. So things are going right. I am aware of the personnel problems in the security forces and we are currently working on a structural solution through, among other things, social consultation. All parties will be involved in the process in due course.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u23	Minister, thank you for your answer. It is true that the question was tabled just after the articles were published in the press and that was very messy. Not only is there a backlog of cases, but if judges, lawyers and magistrates can no longer access the palace for a day to practice their profession properly, it becomes very difficult for the saga of the Palais de Justice in Brussels! If, for me, security in our places is necessary, we need the means to do so. Indeed, a queue in front of a courthouse may also lead to some confusion and violence or problems in the line. Security, yes, but the means must be put in place, not only technical but also in relation to the security forces that need to be strengthened.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u24	Minister, in a democratic system, public administration is one of the most important pillars. It is understandable that there are restrictions in this area. Anything that concerns the security of the State and its citizens at the moment is kept secret for everyone's sake. However, information from the distant past with little or no relevance to the activities cannot be made public today. In its 2011 Annual Report, the Committee calls for a new regime to be introduced in the classification of State Security Archives. These documents have so far been kept at the headquarters in Brussels and not in the General National Archives. One of the reasons why the State Security Archives can be protected in this way is the status of "classified debt instrument', which is given to certain documents. Documents that are classified are state secret and therefore not public. The solution, as suggested by the Committee I, could be to set an end date for the classification at all times. If this would not be renewed and the deadline has expired, the document will automatically become public. Mr Minister, first of all, what arguments are there today for not handing over large parts of the State Security Archives to the State Archives? Secondly, are you prepared to review the classification law and, in particular, to draw up regulations on classification, so that a large part of the archives can be accessed for citizens or for scientific research? Thirdly, how long can we expect a solution on this issue?
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u25	Mr Van Hecke, the archives of the Security of the State concern files compiled by the intelligence and security services in the performance of their duties, namely intelligence and security investigations. For intelligence-related files, it is important to know that intelligence-related work does not only have a short- and medium-term perspective but also a long-term perspective. For example, it is common practice to use files that are over 30 years of age on matters that affect counter-espionage, the protection of economic and scientific potential, extremism and religious fundamentalism. To this end, the preservation and protection of the archives in question is necessary for a sufficiently long period to allow the security of the State to comply with its legal obligations. In addition, it should be noted that the necessary protection of state security agents and their human resources, as well as their families, does not allow the simple disclosure of those archives. With regard to the safety investigation files, I can state that there is a legal obligation to destroy them when they are no longer of any use. Consequently, disclosure of this information is not at issue. Finally, the wish of the General National Archives to declassify and make public the archives of Belgian institutions and even to have them scanned in low-wage cost countries is not in line with the need for secrecy required in the proper performance of the tasks of the State Security and is not in conformity with the classification law. With regard to your second question, a revision of the classification law, as recommended by the 2011 Committee I annual report, this will be looked at from a broader perspective. In connection with your third question, the archives of the Security of the State were transferred to the General National Archives for the years 1830 to 1910. The files relating to the Second World War were issued to the Study and Documentation Centre for War and Contemporary Society from the 1990s. In this respect, the State's security is ahead of the equivalent services at European level. For the period from 1948 to now, the forces were combined with researchers to conduct searches in specific files, without endangering the proper performance of the tasks entrusted to the State Security.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u26	Minister, I understand that it is of course very delicate, but, as you yourself say, the archives from 1830 to 1910 have been transferred to the National Archives. Of course, something is not meant to be made public if there is still a relevance today or if there are still persons who can be identified, for example, who are still active today in the security of the State. The Committee I's recommendation is, of course, very interesting. You say you'll look at it and work on it. However, a decision must be taken on the classification, for example after a certain period of time, after which the documents will be passed on to the archives for disclosure, unless a new decision to preserve confidentiality is taken. That can be a useful exercise, because of course part of our history is contained in it. I refer, for example, to the period of the Cold War; scientific research on that period can also be useful. In this sense, it is important that the Committee's recommendation I is taken up.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u27	Minister, many reports have already been published in the press and questions have already been asked about very specific problems in certain courts and courts that are faced with a serious shortage of staff. A number of vacancies would not be filled, young start-ups would opt more often for the Public Prosecutor's Office, where the opposite was the case in the past: they chose the seat and the Public Prosecutor's Office often had difficulty recruiting staff, but now it is reversed. As a result, several rooms have to close in courts and courts. I only received the figures this morning on the situation in East Flanders, and that is quite dramatic. In East Flanders there would be 16 vacancies at the three courts in Ghent, Dendermonde and Oudenaarde and two long-term sick. The worst is in Dendermonde, with seven vacancies and two long-term sick. The result is that many rooms are closed. In the court in Ghent, for example, the first civil chamber, the second civil chamber and the twelfth civil chamber go from two to one hearing a week. From 5 January the fifth and sixth bourgeois chambers were also halved. Two rooms are closed. A seventh civil court for tax civil disputes and the thirty-first for correcting tax matters are simply closed. The fourth bourgeois chamber goes from a collegiate chamber to one magistrate. This but as an example, to show that the impact on that one court is very large. Firstly, Minister, how many chambers within the various courts and courts in the country have been closed for the last two years? Information can be obtained by arrondissement, court or court, court of appeal and labour court. How many were the result of a shortage of staff? Secondly, how many vacancies are currently not filled in at all peace courts, courts and courts? The data is also available by arrondissement and by court or court. Thirdly, has this led to less specialisation within the courts and courts? When we made the exercise to bring about a reform of the judicial landscape, it was also intended to get more and more specialization. Now we see that rooms need to be closed and underneath are tax, civil and criminal matters, but also building rooms, I have heard. In this way, specialization is likely to be undermined. I look forward to your answer.
ParlaMint-BE_2015-01-28-54-commissie-ic070x.u28	Mr Van Hecke, the timetable of courts and courts is laid down by special regulations. The establishment of the chambers is part of the internal organisation and local policy of the competent Superior. I note that the overall implementation of the frameworks at courts and courts is 95 percent higher than in the public prosecutor's office, 90% overall. Consequently, I cannot confirm that the appeal of the prosecution on this basis would be higher than that of courts and tribunals. As regards the figures requested, the courts of appeal have a framework of 267 magistrates and were employed on 1 January 252. The courts of first instance have a framework of 763 magistrates. There were 724 employees on 1 January. The peace courts have a framework of 187 peace judges. On January 1st, 171 were employed. The need for specialization naturally depends on the nature of the case, dealt with by the different jurisdictions, and is also influenced by various socio-economic and demographic factors. However, I have noted in my contacts with the judicial authorities that, in these times of reflection on the optimisation of staff deployment, they are just thinking about strengthening specialisation either through concentration of certain matters in a department (in this case I refer to the case-sharing rules) or through the mobile deployment of magistrates within the jurisdiction. Consequently, I do not see any tendency to weaken specialisation.
