ParlaMint-BE_2015-02-11-54-commissie-ic091x.u1	Mrs Jadin cannot be present for her question No. 585.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u12	Mr Secretary of State, what will you do about Polish Tradesman Belgium?
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u13	Mrs Lanjri, I hope you do not blame me for the fact that nothing has happened in the last six years. I've only been working for four months, and I've only just been able to do my field analysis. I have already understood that we have to deal with it in a different way. In practice, however, such situations are usually not so simple. When one acts, one asks for documents and cooperation from the home country to check whether or not some cases are in order. I admit that there is a lack of cooperation with the home countries. If such a dossier is to be dealt with, certain European rules must also be observed. From the gut feeling one can, of course, do this also wonder how this is possible in the name of God. The fact that the situation has been dragging on for six years alone shows that it is rather complex and that it is not easy to act. Nevertheless, I asked my services to take even stricter action in this matter and speed things up. I believe that a number of elements of my action plan on social dumping can help to speed up this in the future. Given the ongoing investigation, I can't give you any details. It is very important that we can count on the cooperation of the Member States from which the workers or the self-employed come. There is, by the way, a big difference when it comes to employees or self-employed persons. I must first have proof that they are not employees, because Europe is very rigid in this. Under European rules, I am not allowed to impose requirements on self-employed persons. The country in which people work must not impose obstacles. I believe that you are right about the file quoted. It must be faster, we must act more efficiently and there must be much more cooperation. I have a laundry list of measures. To put it very concretely, I refer to what was agreed this morning between the various authorities. I called a meeting this morning with only the social partners, the trade unions and the employers. My administration and my inspections will also be present at the next meeting, not only to make very clear agreements, but also to evaluate how a number of things are handled. There will therefore be a tripartite consultation between trade unions, employers and the inspection of a more efficient approach to concrete dossiers in the future. In general, I have three fronts on which to work. First of all, you must be absolutely right, Mr Raskin, to take immediate action at Belgian level. I have received a list from both trade unions and employers. We will not waste any time debating proposals on which there is no consensus, but we will immediately implement at Belgian level the measures on which there is consensus. Secondly, I have already explained in detail the Benelux-plus level. By the way, I'm doing a lot of work on that. I believe that at European level, too, we must send out a number of signals that we must have the cooperation of Europe and the home countries in order to find solutions. Thirdly, as far as Belgium is concerned, we need to work on the important yard monitoring and inspection. You are right on that point, Mrs Lanjri. It is also necessary to simplify procedures. We always want new measures and laws, but they are so complex that they are not verifiable, let alone enforceable. That's what I'm trying to do. I want simple procedures, which are easy to control and easy to implement. Finally, we absolutely need to work on the exchange of information. A great deal of progress has already been made in this respect. I am talking about the exchange of information at Belgian level between the various services and the social fraud hotline or, as one might call it, the single point or contact, my stick horse. Data from the field can be combined with data from our social inspection services via data mining and data mixing. If companies work below the price level, my inspection services cannot automatically know. They do, however, see in the social security databases whether or not social contributions are paid. They also see that there is economic unemployment of Belgian workers, who can then be replaced by foreign workers. They can see all that through data mining. I therefore urge both the majority parties and the opposition once again to establish such a hotline. I had the debate in Parliament during the previous parliamentary term. Everyone agreed it should be there. But everyone did find a reason not to install it. However, the measure is really crucial in tackling social dumping. In other words, we must work together on three fronts, in terms of control, inspection and simplification. With regard to simplification, I forgot to mention that we need to evaluate certain systems. For example, we need to examine whether the labour relations law still works efficiently and produces results. Mrs Lanjri, I know that there is a lot of work to be done for me. There's a heavy burden on my shoulders.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u14	Mr Secretary of State, I would just like to add a fourth point to your three points, namely that there must also be action. You're talking about control and inspection, which is good. When everything is known, the company in question must also stop unregulatoryly employing employees. That is a shared responsibility, not only of politics but of course of justice. We must act on this.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u15	Mrs Lanjri, cooperation with the courts is good.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u16	Mr President, Mr Secretary of State, although my question was submitted on 15 September, it remains topical, perhaps even more so than ever. Two weeks ago, my question finally appeared on the agenda, but then I was sick. At the beginning of September, the Brussels Attorney General Delmull stated that he wanted to tackle the benefits of Syrian fighters. The Federal Police responded by saying that it has been working intensively for 14 months to address the problem and that benefits have been recovered. In the meantime, this amount would amount to EUR 90 000. According to the RVA, thirty-five of the seventy Antwerp young people who left for Syria would be subject to unjustified benefits. It is now known that not only Antwerp is confronted with Syrians, but that it has become a Belgian problem since young people have left different cities. As a result, I have a number of questions. Does the sanctioning of social fraud in Syria fighters depend on local initiatives such as those of the Antwerp federal police or have general guidelines been given on this issue covering the whole country? It would be useful if the same method were used throughout the country. The RVA has already communicated its initiatives in the fight against these abuses. Will other public services, such as the RKW and the RIZIV, follow the same line? Will they also recover unduly paid benefits? What is the amount of money to be recovered? How often were those involved subpoenaed? What amounts have been effectively recovered in the meantime? How many convictions have been issued to recover those amounts?
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u17	Mr Secretary of State, Mrs Lanjri, with regard to your first question, in particular whether the Antwerp approach is a local initiative or whether general guidelines have been issued from the parquet, it seems to me appropriate that the Ministers for the Interior and Justice should give an explanation of their own motion. It is, of course, clear that the government wants to pursue an integrated approach to radicalisation and terrorism. This, of course, transcends the functioning of the different levels of policy and departments. Its coordination is in the hands of, among other things, the newly established National Security Council. As far as my specific competence is concerned, the fight against fraud in relation to social benefits, I can tell you that the right to social benefits is always conditional. It is essential that a person receiving a benefit has a main place of residence in Belgium and is also effectively resident in Belgium. This is the case with unemployment benefits, which must remain available for the labour market and must also actively seek employment. In practice, I know that this is also the case for family allowances, for example. A person receiving child benefit must stay in the host country unless there is a reason for staying abroad, such as taking an internship or participating in the Erasmus project. Otherwise, if you go abroad, you will lose the benefit. I have had discussions on this with the various services and it is true that all the institutions concerned are constantly checking whether the beneficiaries do meet these conditions. This is usually done in cooperation with pay institutions and regional employment services. As you know, in many cases unemployment benefits are still paid by the trade unions. This is also done through the exchange of electronic data and the consultation of external and internal databases. Let me illustrate this in the following example. My proposal to do data mining on residential fraud on the basis of energy consumption has given rise to a lot of dust. However, when a Syrian warrior leaves, it is quite logical that there will be little or no energy consumption in the house where he is supposedly dominated. A very good way to determine whether a person is still entitled to a social benefit is to check whether the person concerned is actually still living at the address and thus using energy. I think it's all being controlled in a good way. As for the figures, in 2014, twelve cases were reported by the Financial Information Processing Cell to the King's Attorney for financing terrorism. Social benefits were found in those files. For the cases reported in 2014, we arrive at a total amount of 172 617 euros. In 2013, it was 168 330 euros.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u18	For those 12 cases alone?
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u19	That's right, for the 12 cases.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u20	Then you haven't got all of them yet. There are still more than 12 Syrian fighters.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u21	On the basis of its analysis of financial transactions, the Financial Information Processing Cell reported 12 cases to the King's Attorney. In these cases, social benefits were paid and in 2014 total EUR 172 617. It is unfairly paid benefits, and I do not want to say that they were also recovered. The total amount is comparable to that of 2013, i.e. EUR 168 330.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u22	I also asked whether, and if so, what amount was recovered.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u23	I don't have that information. (...) The amounts were reported, but I do not have any information regarding their recovery.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u24	It concerns a large amount, on the one hand, but only twelve cases, on the other. I suspect there will be more than 12 cases between all those Syrian fighters. It could be about family allowances, unemployment benefits or OCMW benefits. There may also be Syrian fighters who did not receive any benefits. In any case, twelve cases seem to me to be very little, and I think that is just the tip of the iceberg. I hope that every Syrian warrior will be effectively examined to see whether they receive some kind of benefit and whether they can be recovered. It is two-fold: the payment must be stopped and the undue payments must be recovered.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u25	I do not have specific statistics for these young people. I have no separate statistics for Syrian fighters in my follow-up tables. Besides, not all Syrian warriors collect unjust benefits. In any case notified, an investigation shall be opened, subject to the approval of the Labour Auditorate, and any benefits unduly paid may be recovered. That's where my authority stops. I am investigating social fraud, I report a number of abuses, and then it comes to the Justice Department and the Labour Auditorate, which may follow the case further. If there is a need to go back, it is the responsibility of the Minister of Finance. I'm not authorized to do that. Some institutions, such as the RVA, can be recovered directly, but other institutions must be recovered through the Minister of Finance. Of the number of people who have already been subpoenaed and sentenced, I have requested the statistics from the Department of Justice, but I have not yet received them. I do not therefore have this information at my disposal at the moment.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u26	(...)
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u27	It concerns twelve cases reported to the King's Attorney for financing terrorism by the Financial Data Processing Cell.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u28	Mr Secretary of State, the law of 25 August 2012 increased the fight against bogus self-employment. That law identified certain fraud-sensitive sectors, including the construction sector, and introduced a rebuttable legal presumption of a contract of employment on the basis of nine defined criteria. (...) The law also allowed the sectors to further develop or replace these criteria through an KB if necessary. By way of the Royal Decree of 7 June 2013, the construction sector, together with other sectors operating in the real estate sector, also used this possibility to provide for specific criteria. The Royal Decree entered into force on 5 July 2013. This change in the law also considerably strengthened the impact of the inspection. A legal presumption of contract of employment was introduced if more than half of the criteria laid down were met; if less than half of the criteria were met, there was a presumption of self-employment. I would have liked to ask the following questions. How many checks on bogus self-employment have been carried out specifically in the construction sector since the Royal Decree of 5 July 2013? How many cases of false self-employment have been effectively identified in these checks? How many checks were there? How many cases of false self-employment have been identified in these checks? What amount of regularisation of RSZ contributions did these checks result in construction? To what extent will these controls be adjusted or increased in 2015?
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u29	Mrs Lanjri, I have just announced that we will have to evaluate this law in order to see if it effectively achieves its objective. You yourself say that there are nine criteria. These are all rather complex investigations that need to be carried out. I recently asked for an investigation into the status of Uber, the taxi service that wants to offer its services in Brussels. The question is whether employees are self-employed or voluntary. It takes a long time for these investigations to be carried out. It is also not a mathematical calculation to be made, since the law of 25 August 2012 asks for a rebuttable presumption. This presumption may be refuted by any means of law based on general criteria laid down in the same law. It therefore requires considerable time spent. I cannot tell you how many checks have been carried out correctly. However, I can tell you that in the period from July 2013 to November 2014, a few months ago, 155 cases of bogus self-employment were identified in the construction sector, for an amount of EUR 5 571 800 in social contributions. In my policy statement, I said that I wanted to continue the fight against bogus self-employment, including with regard to bogus workers. I now announce that today, with my colleague, Mr Borsus, who also mentioned the whole construction sector, I have asked for this to be evaluated as laid down by law, in order to make the legislation simpler and more transparent, so that we can monitor it more easily. The inspection services have pointed out to me that enforcement is very difficult: the combination of specific criteria for certain sectors of activity and the possibility of rebuttal make this very difficult to apply on the ground and make it all unclear. After all, the interviews of these workers in bogus status take a very long time and, moreover, there is a constant need for interpretation. Together with Minister for Small and Medium-sized Enterprises Borsus, I will ask the General Management Committee for the Social Status of the Self-employed and the National Labour Council to evaluate this law.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u30	Thank you, Mr Secretary of State. I will closely monitor the evaluation and then we will see what can happen.
ParlaMint-BE_2015-02-11-54-commissie-ic091x.u31	Mr President, Secretary of State, the Programme Act of 29 March 2012 introduced the system of joint and several liability for wage debts. This became applicable in the construction sector from 1 September 2013 through a KB. In the implementation of that legislation, principals who rely on one or more contractors for certain works and who were informed in writing by the inspection that their contractors or subsequent subcontractors do not pay the minimum sectoral wages shall be jointly and severally liable for the payment of employees' wages. This joint and several liability is not direct. Where the inspection finds a serious infringement with a contractor, a 14-day regularisation period shall be granted to the contraaing authority or the contraaor upon written notification of the infringement. The liability of the contraaing authority or the contraaor may not enter into force until the expiry of that period of 14 days. If the infringement was established after that fourteen days, the joint and several liability shall apply for a maximum period of one year. Moreover, the joint and several liability applies only to the services provided from that date. The law thus determines no effect on the past. This law therefore offers a lot of escape routes in relation to joint and several liability by introducing that time limit of 14 days. For example, if the staff who are underpaid is transferred to another company, under the same group, within a period of 14 days, then suddenly there is no more joint and several liability. The European Directive 2014/67 of the European Parliament and of the Council of Europe of 15 May 2014 on the Posting of Workers Directive provides for a number of options and obligations related to liability in the event of subcontracting in respect of the payment of minimum wages. This Directive should be transposed into national law by 18 June 2016 at the latest. In this sense, it may be an opportunity to make things right in the future. My questions are as follows. How many written notifications have been made in construction in the last calendar year? In how many cases, as a result, were regularised in time, within fourteen days? Do you want to deal with these abuses? How do you want to do this? What adjustments are you thinking of? Do you foresee a possible extension of these principles to other sectors? Now we are dealing with fraud-sensitive sectors. We have already argued in the past for an extension of this joint and several liability in other sectors. When will the directive be transposed into Belgian law, if we know that the deadline is 18 June 2016 anyway.
