Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PasBarbara	Pas, Barbara	F	1981	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u18	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u19	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	KirEmir	Kir, Emir	M	1968	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u20	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u21	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	KirEmir	Kir, Emir	M	1968	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u22	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u23	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u24	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u25	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u26	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u27	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u28	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MichelCharles	Michel, Charles	M	1975	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u29	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	PTB	Parti du Travail de Belgique	-	Left to far-left	VanHeesMarco	Van Hees, Marco	M	1964	
ParlaMint-BE-en_2015-03-25-54-commissie-ic130x	ParlaMint-BE_2015-03-25-54-commissie-ic130x.u30	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 25-03-2015	2015-03-25	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Coalition	Centre-right to right	VermeulenBrecht	Vermeulen, Brecht	M	1969	
