ParlaMint-BE_2015-03-03-54-commissie-ic103x.u1	Mrs Becq is absent because of illness.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u12	I am, of course, aware of the recommendations of the Women's Council. Crimes against physical integrity are also a policy priority for me, as I indicated in my policy statement and policy paper. The problem requires a multidisciplinary approach. In this context, I would like to refer to the Protocol on Child Abuse Justice and Home Affairs, the National Action Plan on Trafficking in Human Beings and the National Action Plan on Partner Violence. The latter is now being transformed into a new national action plan on gender-related violence for the 2015-2019 period under the coordination of the Institute for Equality of Women and Men. Justice is an important partner in this. The plan will also be fully aligned with the Council of Europe CAHVIO Convention. This is the Istanbul Convention against Violence against Women. It will contain a separate section on sexual violence. The recommendations of the Women's Council will also be discussed in this context and assessed against the broader policy approach. For the initiatives that are being taken, I would like to refer to the following. We continue to focus on the sensitisation of victims. Rapid trace testing on and off the body is crucial for building up the burden of proof against the suspected offender. Initiatives such as the www.hulpnarape.be campaign therefore deserve all support. The new DNA law shortened the investigation deadlines, speeded up data transmission after the DNA databases and extended the content of the Convicts database. From now on, the national cell within the Public Prosecutor's Office assigns the DNA code numbers and the DNA profiles from the Belgian databases are automatically compared to foreign databases. Clear criminal policy guidelines on DNA legislation were also drawn up. I am convinced that the use and analysis of the Sexual Aggression Set, SAS, and an optimal DNA procedure will lead to more offenders being caught thanks to solid evidence. The average dismissal rate in rape cases has been around 40% in recent years, but the number of dismissal decisions has declined in recent years. This shows that the continued commitment of our magistrates, who do take such matters seriously and give a clear response to the complaints, makes a difference. Finally, Justice also invests heavily in the care of victims. I refer to the new circulars on the victim reception in the courts and public prosecutors. The new laws adopted following the Special Committee on Sexual Abuse also contain a lot of victim-friendly measures.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u13	Mr President, Minister, I am of course aware of the new National Action Plan on Gender Violence. I am particularly pleased with that. I am also pleased to hear that the recommendations are being taken into account in the context of all these plans. However, I cannot agree to a certain level of determination. We clearly have a double problem here. The willingness to report is far too small, so we still do not really have a good view of the real number. This willingness to make a declaration also has to do with the high percentage of dismissals and the feeling that they are not being taken seriously. I am glad to hear that there has been a falling trend in the rate of dismissal, but I think we should give the full pound so that women know very clearly that their complaint is actually being made when they go to the police. Despite falling figures, however, this remains a problem. I am therefore counting on you, Minister, to pay the necessary attention to this. I suggest that we keep following this closely.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u14	Debates of the European Parliament Mrs Lanjri's 2307 will be converted into a written question.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u15	Mr President, Minister, a few months ago the Disability Act was passed. The purpose of the Act was to improve the care and respect of the incapacitated, to better protect their rights, and to review certain institutions, such as the interim administration of property, to provide for a system of assistance to the person and his or her property based on what he or she was still able to exercise. In addition, the power of the justice of the peace has been strengthened. The Supreme Council of Justice issued a rather critical opinion on 17 December 2014 on the control of the administration of protected persons. It calls for improving, optimizing, harmonizing and professionalizing the oversight of such administrations by justices of the peace and makes a series of recommendations. Minister, I will ask you a series of questions, which are quite long, I recognize. Therefore, I see no objection to receiving part of your responses in writing. It is true that the law has only been applicable for a year, but can we already take stock? Above all, has adequate training been offered and implemented for justices of the peace, so that they can learn about the changes, especially philosophical changes, proposed by the new law? Have there been any changes on the ground? Is there a clear idea of these changes in terms of care, the designation of the trusted person and the decrease in the number of cases assigned to lawyers? Have you read the advice of the Supreme Council of Justice? What follow-up have you given or intend to give to this opinion? Have the current files been revised to reflect the new legislation and its new philosophy? In how many cases is an administrator still appointed when a trusted person has proposed? In how many cases did the administered person request a change of director or a change of director by a trusted person, which is permitted by law today? In how many cases has this trusted person been authorized by the justice of the peace, since the law insists that the will of the person must be taken into account? The justice of the peace is called upon to play a more important role in this area. Unfortunately, many cases of malfeasance and collusion between lawyers and justices of the peace have been mentioned in the press. What is the procedure in place when misappropriation and complicity are suspected or established? How can families and trusted individuals express their grievances, and especially to whom? Usually, they didn't have anyone to talk to. How many justices of the peace have been challenged in such cases? You are aware of the resounding trials and the real risks that exist in these matters where money plays a significant role. What have you put in place or plan to put in place to ensure the proper management of cases throughout the judiciary? I turn to my second question about the maximum number of cases that lawyers could handle in the administration of property, given the actual capacity of the lawyer to deal with them. The Supreme Council of Justice recommends that an asset administrator manage 80 to 100 files simultaneously. It also recommends that justices of the peace apply this limitation even without the royal decree that has not yet been adopted. Has this royal decree been taken in the meantime? If so, how many files can be submitted by counsel? If not, when do you plan to take it? If this takes time, could you not write a circular encouraging justices of the peace to respect the advice of the Supreme Council of Justice? Finally, who controls the effective handling of these files by lawyers?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u16	Mr. Chairman, Mrs. Lalieux, I have the answers to both of your questions. I'll be as brief as possible. The law of 17 March 2013 reforming disability regimes introducing a new protection status in accordance with human dignity entered into force on 1 September 2014. Article 497/1 provides for the possibility for the King to make the exercise of the function of administrator subject to certain conditions, in particular by limiting the number of persons of whom one may be the administrator. This provision is taken over from the old system of provisional administration. As it stands, there is no initiative in this direction. I am considering, in consultation with all the parties concerned, the possibility of implementing an appropriate framework for the exercise of the function of administrator, with the objective being a good enforcement of the law and respect for the objective pursued by the legislator. I also intend to assess, in consultation with all the parties concerned, the application of this law and, where appropriate, to consider the enforcement measures that would be necessary in order to enable it to be properly implemented and to achieve the objective pursued by the legislator. As part of this review, I will take into account the opinion of the Supreme Council of Justice on the oversight of the administration of protected persons, which has attracted my full attention. In 2014, the Judicial Training Institute and the Judicial College's Commission for Modernisation organized eight training days entitled "New systems for the protection of persons with disabilities" for active and alternate justices of the peace, appeal magistrates, third-year trainees, chief clerks and clerks of the justices of the peace and the courts of first instance, and referenda and prosecutors' lawyers. Training for clerks and administrative staff of the justices of the peace is under way. At the end of 2015, new training will be organised for judges on practical problems encountered in the field following the entry into force of the law of 17 March 2013. My services do not have figures on the number of professional director designations, trusted individuals or changes to them. These data are not recorded anywhere. Since 1 September 2014, the date of entry into force of the Act of 17 March 2013, the contact details of the administrator are recorded in the national register. In the case of persons placed under a protective measure decided under the former regime, the above-mentioned law organizes a transitional period, the duration of which varies according to the type of protection enjoyed by the person concerned, allowing the justice of the peace to adapt the protective measure to the new status. Thus, if the provisional administrations settled prior to the entry into force of the new law have not been subject to prior adjustment, they will be subject, on 1 September 2016, to the new provisions relating to the administration of the property. By 1 September 2018 at the latest, the justice of the peace must assess each judicial protection measure and may terminate it or amend it by means of a reasoned order. The control of the administrator's performance of his or her duties is regulated by the above-mentioned Act. The latter contains specific and binding provisions in this regard. Furthermore, the order of the justice of the peace may be subject to the usual remedies, namely appeal and cassation. The stickman is competent to deal with any complaint against lawyers of his order concerning violations of the principles of dignity, probity and delicacy, which form the basis of the profession of lawyer.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u17	Minister, thank you for your answer. In view of the new philosophy of this law and the work done in parliament, it is crucial to organise this appropriate framework of all actors. It is also important to inform families. A trustworthy person seems more appropriate to me than a property administrator, who can be very distant. Similarly, orders will have to be made in order to avoid drifts. I will come back later on the timing of the evaluation, since you did not communicate it to me. I hope it won't take place in twelve months. I know you have a lot of work to do, but this is an important subject. I also hope that you will respect the opinion of the Supreme Council of Justice by drastically limiting the number of cases. Indeed, when administered three hundred, it is impossible to properly manage the property of anyone, except to know exactly what the situation is. Finally, I believe that justices of the peace should be made more accountable to some lawyers. There are very sensitive files which are now published in the press and/or which are the subject of complaints. This must not happen again.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u18	Question No 2447 by Mr Denis Ducrame is transformed into a written question.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u19	Mr President, Minister, a few days ago, the press reported that an agreement had been reached within the government to increase registration fees. Tariffs would go from simple to five times in some jurisdictions. For civil actions, e.g. before the peace court or the police court: from 40 to 80 euros; before the court of first instance or the commercial court: from 100 to 500 euros; before the court of appeal: from 210 to 800 euros; before the labour court: from 600 to 800 euros; before the court of cassation: from 375 to 1,200 euros, etc. Your objective, through this increase in tariffs, would be to discourage the litigants from going to court with a view to favouring constructive dialogue and thereby reducing the workload of the judiciary and the number of cases. Minister, you want to improve constructive dialogue between citizens who claim opposing rights. What do you intend to promote or implement in order to really improve the dialogue between the parties? Do you intend, for example, to facilitate access to mediation or other alternative dispute resolution? Legal aid is, of course, maintained for the most vulnerable, although the reforms announced do not reassure us, but what about those with a higher just income or even an average income who complain about the cost of justice and the fact that it has become impeccable? Do you not risk limiting access to justice for those who make up the vast majority of the litigants and creating two-tiered justice by increasing the rights to be put on the roll? The most affluent people, the big companies keep easy access; and the others, the most impoverished? What about a posteriori reassessment of the right to register if the amount is not at all in line with the amounts claimed at the origin of the dispute? Don't you worry that the parties and/or their lawyers will tend to underestimate the estimated amount of the dispute to reduce the registration fee and, if so, what solution do you propose to remedy it?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u20	Mr President, ladies and gentlemen, the reform of role rights does not in any way prevent access to justice. On the contrary, it aims to ensure its sustainability. The fundamental right of access to justice is safeguarded for the socially and economically weak by the maintenance of the legal aid system. The weaker party socially and economically can obtain a partial or total exemption from the payment of legal fees, if it proves that its income is insufficient. It should be noted that the tariff, applied today to each instance, is maintained for low-value applications in order to ensure access to justice. In other words, the first access to justice is not compromised. In the case of actions where greater interests are involved, the right of appointment increases proportionally according to the value of the action or an appeal on appeal or in cassation. A purely linear increase is therefore not targeted. On the contrary, enforcement rights are being tried to make them proportionate not only to the running costs of justice, but also to the capacity of the litigants. It should also be pointed out that the amounts of duty on duty are in general still still lower than those applied in other Member States, even with the proposed increase. With regard to the underestimation of the value of the application for the parties, it should be stressed that the applicant still has to receive the decision of the judge, which will force him to make a correct assessment of the value of the application and thus of the right of assignment to be collected. Furthermore, it should be borne in mind that lawyers must respect a duty of ethics according to which lawyers must exercise their profession with expertise and are also bound to respect the principles of dignity, probity and delicacy that form the basis of the profession. If there was to be an abuse, the abuse would remain limited to the first instance, the value being better known in the degree of appeal. In conclusion and in response to your question on the practical possibilities for encouraging mediation, I am convinced that, in the face of the difficulties posed by the high cost of justice, the parties must be encouraged to resort. This requires, however, a comprehensive approach that includes several parameters including the management of the cost of the trial and the accountability of the litigant to his or her own litigation. Consideration should continue on this point.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u21	Minister, thank you for your answer. It is well known that there is the great principle of access to justice. But this must not remain a principle. The most disadvantaged must have access to justice. I am thinking here, in particular, of those who do not qualify for legal aid. You say that the reform does not in any way limit access to justice. For my part, however, I believe that this is the case for a large group of people who do not qualify for legal aid. In doing so, we're going to be faced with two-speed justice. If, as you have said, the capacity of the litigant is taken into account, for some people, it will be like passing an entry-level test of access to justice. In other words, those who do not have the means will not be able to stand trial.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u22	Mr President, Minister, the press reports that over the next five years, at least one third of the country's 2,500 magistrates will or will be of retirement age. On the part of the justices of the peace, the percentage would even rise to 58 per cent. Bodies such as the Judicial Advisory Committee, the Supreme Council of Justice and trade union associations are concerned about the problems that these massive departures may cause. Moreover, this phenomenon, coupled with drastic budgetary savings, delays in the publication of vacant places and the freezing of recruitment, endangers the judicial institution as a whole, since it is expected that only one in six magistrates will be replaced. To fill this void, Minister, you propose to offer judges who so wish the opportunity to work full-time until the age of 70, while the legal age of retirement for judges is currently 67 years, with the exception of the Court of Cassation and the Council of State where it is already 70 years old. The Association of Magistrates' Trade Unions believes that this proposal will solve nothing structurally. Minister, how many places do you think will be filled by this career extension? What are your estimates in this regard? What other measures do you intend to take to ensure full judicial management despite the age pyramid in the judiciary? How long?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u23	Mr President, Mrs Özen, an estimate of the number of places for magistrates which can be filled by the extension of their careers is difficult to estimate, since this is an option under the initiative of the judges concerned. The introduction of this faculty nevertheless responds to the wishes expressed by several of them. This measure is only one of the possible answers to the problem posed by the age pyramid. I remain convinced that with the judicious use of available resources, we are able to meet the needs. I think it is useful to recall, as can be seen from the European Commission's 2014 report on the effectiveness of justice, that our country has more judges per 100 000 inhabitants (21.7) than France (13.6) and the Netherlands (19.1). Judicial officers are currently filled at an overall rate of 93.4 per cent, with seats and public prosecutors combined. However, it is important to reduce the workload of these judges. I will shortly submit to the government a draft bill that will contain a number of measures to reduce this burden, routine or unnecessary, in civil, commercial, social and criminal proceedings. The government agreement also provides that the opportunity to review the map of the judicial cantons will be examined in consultation with the justices of the peace themselves and with respect for the proximity of justice to the citizen in order to achieve a better distribution of the workload between them.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u24	Minister, you say that it is difficult to estimate the number of magistrates who will prolong their careers, as this is done on a voluntary basis. You also say that this is one of the answers to the structural problems faced by the judiciary. We know that the aim is precisely to reverse this pyramid of ages. Do you therefore have a commitment from these magistrates, who wish to stay longer, to work with young judicial trainees to enable the transmission of their experience?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u25	Mr. President, Minister, according to the press, the boss of the OKC sect has been in hiding in Aiseau-Presles since 2001. As a reminder, in 1997 the parliamentary committee of inquiry on sects had pinned Ogyen Kunzang Choling (OKC), as one of the harmful sectarian organizations active in Belgium. The judicial consequences of the Chamber's report had not been long since a rain of searches had fallen in Belgium and abroad in the centres founded by Robert Spatz. There are 117 preventions in this case which will be the subject of a trial before the Brussels Correctional Court. But there is still something new in this case, since the spokesman for the Brussels Prosecutor's Office has in fact indicated that Robert Spatz and his wife had illegally settled in Aiseau-Presles, from where I came from, where Robert Spatz is suspected of having committed new acts, namely rapes and indecent attacks on a minor. This brings to five the number of young women, minors at the time of the incident, who filed a complaint against Robert Spatz for rape and/or indecent assaults on their person. In addition to the acts of morals already mentioned, the indictment speaks of abductions of children, from the age of four, in order to indoctrinate them, far from their parents. Minister, a hearing in the Council Chamber was scheduled for December 2008 to commence proceedings in this case. How can we explain that it took more than six years for the Indictments Chamber to order the removal from prison when the investigation, which lasted eleven years, was apparently closed in 2008? Without prejudice to the presumption of innocence, which is a fundamental principle in our rule of law, what precautionary measures can be considered with regard to persons suspected of having committed such serious acts? New facts appear to have occurred long after the investigation and prosecution began. Finally, in view of the slow pace of justice in this case, is there not a risk of exceeding the reasonable time limit, with the result that the proceedings are inadmissible or even acquittal?
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u26	Mr President, Mrs Özen, let me first point out that, in my capacity as Minister of Justice, I cannot, as a general rule, mention elements relating to individual cases in progress. However, the following elements have been forwarded to me by the Brussels Prosecutor General in order to allow me to answer your question. In fact, it deals with two criminal proceedings pending in the judicial district of Brussels. The first procedure consists of the 117 preventions you refer to. The file represents a volume of fifty minutes and documents. The Public Prosecutor's Office of the King of Brussels requested the Chamber of Counsel to refer the accused to the Criminal Court by written requisition of 3 June 2008. It targets eleven defendants, both natural and legal persons. The investigation file was accompanied by a judicial information file opened by the Public Prosecutor's Office in 2005 in order to verify the situation of the community in question. On 12 November 2010, the Chamber of Counsel ruled on the requests for removal of the Public Prosecutor's Office by ordering the referral to the Correctional Court, as required by the Public Prosecutor's Office. All of the defendants appealed against this removal order. On 23 October 2013, the Court of Appeal, Indictments Division, upheld the order appealed against, i.e. referral to the Correctional Court, noting that the reasonable period of time would be exceeded and stating that it would be up to the trial judge to draw the consequences provided for by law. The eleven accused filed an appeal in cassation against the judgement of the indictment chamber. On 7 January 2001,5 all appeals were dismissed by the Court of Cassation. The second criminal procedure focuses on suspected acts of rape of a minor over the age of 16 years, with the aggravating circumstances of the kidnapping of the victim and of the authority exercised by the suspect over the victim. These allegedly established acts of morality, which only a court of judgment has the power to determine, would have taken place until the end of 2002. The complaint for these facts was filed on May 10, 2007. Duties such as psychological expertise and a rogatory commission were carried out in the context of the investigation. On 21 September 2010, the Public Prosecutor's Office established its request for referral and the case was first decided before the Chamber of Counsel. But on 24 March 2011, additional duties were requested by a co-indictee. On 6 April 2011, the investigating judge rejected this request for additional duties. Referred to by the appeal of the co-indictee, the indictment chamber on 7 March 2012 upheld the order of the investigating magistrate. On 27 June 2012, the Chamber of Counsel ordered the transfer of the three accused concerned to a correctional court. Referred to by their appeal, the Indictments Chamber confirmed the order for removal as a whole. On 11 September 2013, the Court of Cassation dismissed the appeals in cassation brought by the three accused. The Public Prosecutor's Office decided to bring the two criminal proceedings simultaneously before a correctional court, which explains why the second procedure was not fixed before the court until the Court of Cassation delivered its judgment in the first procedure, which took place on 7 January 2015. Both cases are now settled before the Correctional Court at the March 30, 2015 hearing. An agenda will probably have to be set by the court, both of which, in the view of the public prosecutor's office, would require a certain amount of debate. With respect to the precautionary measures with respect to suspected persons raised by your question, it will be up to the correctional court to determine the appropriate measures if it considers the established facts. However, this will not be a precautionary measure but a possible penalty. Of course, as you have done, it is clear here that the principle of presumption of innocence, to which my answer cannot under any circumstances be interpreted as prejudice. With regard to the observance of the reasonable time limit, it will be for the correctional court to draw the consequences provided for by law from the finding that the indictments chamber has exceeded that time limit in one of the two proceedings. It is up to the court to draw the consequences of this overtaking. The prosecution is of the opinion that this issue should not result in the inadmissibility of the proceedings. If the court determines the facts, it may impose a conviction on a simple conviction or a sentence lower than the minimum penalty prescribed by law, but it may also simply impose a sentence lower than the one it would have imposed.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u27	Minister, thank you for your answer. This raises the more general question of the sacrosanct principle of presumption of innocence vis-à-vis a case that has lasted for ten years already because of the slowness of the justice system. But it is important to protect society and avoid recidivism. Of course, you have just been appointed in charge of the Department of Justice. I don't blame you. Between these two periods, surveillance must be exercised on these dangerous persons. In this case, they travel in nature. We learn it in the press and it's a huge concern. Even in cases of presumption of innocence, it is important to protect society from such dangerous persons.
ParlaMint-BE_2015-03-03-54-commissie-ic103x.u28	Mr. Chairman, Mr. Minister, we had already questioned you during the review of your policy note on the shortage of staff at the Central Seizure and Confiscation Body (CCSO). Your government had decided to drastically plan the remuneration of the staff while the Director General was demanding, for his part, the commitment of 21 additional people allowing to recover tens of millions of euros for the state funds and perhaps for your budget which is in need of it. In the absence of human resources, as many as 40,000 cases still remain to be processed. 40 000 files that could bring back 494 million euros! But in the absence of sufficient human resources and in the absence of the organization of trials and public sales to liquidate the seized property, the money sleeps on an account and the goods are recorded in warehouses. Minister, you promised us that you would come with budget slips and a revision of your budget at the end of this month. Have you already discussed the negotiations on this issue? Can the OCSC expect the additional staff requested to carry out its missions? What do you intend to implement in the short and medium term in order to be able to recover as soon as possible this manna of money indispensable to the State budget and the Justice FPS in particular? I believe that the citizens who are being asked to tighten their belts, that the judicial staff who are being called upon to do so and to work under inhuman conditions, that legal aid lawyers who are being asked to accept a reduction in their remuneration would not be able to understand that there is no effective and prompt attempt to recover that money and avoid losing it by letting the seized or confiscated property lose its value because justice has not been diligent enough.
