ParlaMint-BE_2015-01-28-54-commissie-ic069x.u1	Mr. Bonte's not coming.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u17	Mr Minister, I tabled this question a moment ago, but it is still very topical. As you know, a proposal for a law from my political group is intended to provide legal cohabitants with the same life pension scheme as married couples. As a liberal, I defend the principle of free choice for every person. In order for this principle to apply, it is necessary to remove the differentiations that exist at the legal level, depending on whether a decision has been taken for completely private reasons. Moreover, this is a fairly large-scale social development. Indeed, a press article of which I have read indicated that the percentage of couples in legal cohabitation had increased from 3% in Flanders in 1991 to 12% today. The figures are probably similar in the rest of our country. Unfortunately, this proposal has not been implemented under the previous legislature, which is why I intend to resubmit it in this Parliament. It is in this spirit that I have read with great pleasure the passage of the government agreement on this subject. The text mentions a modernisation of the family dimension of pension schemes and an opening of derived rights to legal cohabitants, in particular with regard to the survival pension. Minister, can you give me more details on the government's project in this area? How do you intend to deal with it and on what timetable? Can you inform me about the legal differences that still exist today between the pension schemes of legal cohabitants and married couples? What measures will you give priority to?
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u18	Mr President, Mrs Jadin, as you know, the modernization of the family dimension of the pension system is part of the government agreement. In the first half of 2015 – and I answer in part to the previous questions – the government will set up the National Pensions Committee (NPC) to deal with this and a series of other issues. The National Pension Committee will take charge of the reform as a whole and will try to better respond to changes in society. One of the topics that will be discussed will be the right of the legal cohabitant to a survivor's pension. As you have pointed out, society has evolved significantly in recent years. Thus, the Act of 23 November 1998 provides a legal framework in civil matters for legal cohabitants. It grants them rights and obligations similar to those of marriage. Other legislation has followed, particularly with regard to income taxes. The right to a survivor's pension for the legal cohabitant could not be realized in the previous legislature because of the budgetary impact of such a reform. In statutory pension schemes, therefore, being married remains the condition for the benefit of derived rights and being a legal cohabitant does not give rise to a right to a survivor's pension. However, recently, following two decisions of the Constitutional Court, the legislation on survivor's pension has changed somewhat. It now takes into account the duration of legal cohabitation when it is followed by a marriage to determine whether the condition of a year of marriage is fulfilled in order to qualify for a surviving spouse's pension. This measure has recently been implemented, in a law of 25 April 2014 for the self-employed, a law of 5 May 2014 for the employed and a law of 15 May 2014 for the public sector to take account of these two decisions of the Constitutional Court. The National Pension Committee will obviously have to examine this issue and examine the compatibility, in particular with budgetary requirements.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u19	Minister, I had the opportunity to ask the same question to your predecessor, who had also told me about the budgetary dimension of such regime alignment. However, this remains totally unfair, aberrant and no longer in line with the evolution of our society. The fact that the Constitutional Court has to decide is that the principle of equality is considered to be undermined. He's being questioned, and they're trying to correct him, as you exposed him to me. I hope that solutions can be found, especially money. I know this is a particularly difficult exercise for the government as a whole. Thank you, Minister, for your answers and for the accuracy of those answers.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u20	Mr President, Mr Minister, like those of my colleagues, my question is somewhat dated. It has lost its relevance, because I wanted to ask you about your meeting with the Ministers of Education of the three Communities last Thursday 20 November. I note that this issue was also on the agenda of this morning's Consultation Committee, which allows us to get back to the news. Moreover, we will certainly still have the opportunity to address this issue. As part of the pension reforms you are announcing, what will be the special fate of teachers? Of course, other categories of workers may also be involved. I am thinking in particular of the consequences of the abolition of the diploma bonus, the extension of the reference period and the inclusion of total or partial career breaks in the calculation of the pension. Mr. Minister of Pensions, I would like to take stock of this interview with you: what was the result of your interview with the Ministers of Education this Thursday, November 20? What commitments have been made by you? Do you have any projections of the consequences of the pension reforms announced with regard to the minimum career duration of teaching and the impact of the change in the calculation rules on their pension amount? In November, you announced that their career would be de facto extended, which deserves to be objected to. Is there an exception scheme for career duration, career interruption periods and the calculation of teachers' pensions?
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u21	Mr President, ladies and gentlemen, on Thursday 20 November I met with the Ministers of Education of the three Communities; they were able to express their concerns. I have been able to provide them with a variety of clarifications on the real impact of the phasing out of the diploma bonus, which is an essential object of their concerns. Thus, I was able to confirm to them that the abolition of the diploma bonus will have an effect only on the career condition, to leave for early retirement, and that it will only occur from 2016. In relation to the government agreement, this is an amendment: the reform is postponed for a year, mainly for technical reasons which imposed this postposition. I have sometimes heard the reflection that teachers should work 6 or 7 more years. I asked the administration to object to this. The Commission therefore carried out simulations to measure the actual impact of the measures taken. In the current state of the proposals – but other proposals have been made to Committee A next Friday – I had a meeting earlier at 9 a.m. with all the governments of the federated entities and the federal government, and the pension component was dealt with at the request of the French Community. I was able to explain that the consultation with the Communities would take place both within Committee A and within the National Pension Committee. In fact, when teachers' pensions are discussed within the National Pension Committee, they will be discussed in a specific committee with the Communities, with the teaching staff under the supervision of the Communities, even if the pensions depend on the federal government. The definition of how to implement the abolition of the diploma bonus is therefore currently subject to social consultation. I hope that this week we will be able to reach a conclusion on new proposals, of which you have probably already been able to read in the press yesterday. The aim is to ensure that persons who were able to apply for a TBS in the Flemish Community or a DPPR in the French Community are exempted from this abolition of a diploma bonus. It is simply a matter of justice, for some have not asked for it and have remained active and we do not intend to punish those who have remained active. We are moving towards this measure. This is in any case what will be proposed to the social partners next Friday. On the other hand, another injustice has arisen. Those who had studied for two or three years would be impacted in full very quickly, 6 months a year. Those who had completed 2 years of study were going to do so in 4 years, while those who had completed 3 years of study were going to do so in 6 years, and those who had completed longer studies were going to be impacted in full later years. So we're looking at a way not to apply a six-month period for everyone. This includes a shorter period for those who have completed a two-year course and a shorter period for those who have completed a three-year course. Another proposal is to provide for exceptions based on the age of the persons concerned. You know that the government agreement provides for an exception for people aged 58 and 59. The former will have to work up to one year, while the latter will have to work up to two more years. We will try to put in place a measure for 57-year-olds who should also take up to two more years. Persons aged 55 and 56 should work up to three additional years. Indeed, on the basis of administrative simulations, I have always defended the idea that the impact of the measure on teachers would be one to three years. Obviously, anyone who has a very short career will be impacted a little more. But as far as "normal" careers are concerned, the additional period of work will be – I repeat – from one to three years. On the other hand, I would point out that there will be no negative impact on the amount of the pension. Even those whose careers are not complete and who will have to work longer will benefit from an increase in the amount of their pension. This is not an ideological choice, but a mathematical logic. With regard to the calculation of the pension, in accordance with the Government Agreement, career breaks will still be eligible in the future as long as they are motivated. In this context, an additional 12 months of eligibility is provided for under certain conditions which I will not recall here. You know them. However, career interruption must be based on certain grounds.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u22	Thank you for these first clarifications and for your openness to adjustments. You mentioned simulations carried out at your request by the services of the Pension Office. Are these documents accessible to parliamentarians? It would be interesting for you to pass them on so that we can objectiveise the debate. I take note of the adjustments related to what I would call potentially acquired rights, i.e. the rights of people towards the end of their careers, who could have activated certain rights but did not do so and who would remain in a position to do so. It is a form of smoothing in relation to specific cases. However, within the overall framework of the debate on pensions, and in particular the definition of heavier occupations, some teaching functions are more difficult than others, depending on the context, socio-economic context, level of education. I am thinking of maternal education or technical education. We are waiting for a finer approach. As far as the question of valuing career breaks is concerned, the debate is not just about teachers. It seems to us, and it has been pointed out by others, that the government is misguided, on the one hand, in relation to the objective that people work longer (to enable them to do so, it may be easier to adjust their working time) and, on the other hand, in relation to the problem of non-employment of young people. A teacher who takes a part-time career break frees up a place for another teacher, often younger, and allows him to integrate into the labour market. It's a way of sharing work time. You're also talking about the concept of part-time pension. We're curious to see it evolve. Agree on the adjustments. We take note of that. Good if there's an agreement on that. But overall, it seems to us that this reform does not take sufficient account of the specific nature of careers. We will have an opportunity to debate it again. If we can have access to these projections, I think it would be useful.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u23	Mr President, Minister, I had already asked this question at the end of last year. It keeps a certain timeliness because, again yesterday, an article in the newspaper Le Soir dealt with this subject. The current debate is who will guarantee the minimum rates of return on group insurance. Today, the saver is quite satisfied because his rate of return is guaranteed by law and varies between 3.25% and 3.75%. On the other hand, insurance companies are very concerned about this second pillar of the pension. Indeed, the insurers who have to invest this money must stay away from any risky investment and concentrate on safer products, such as government bonds and government bonds, which no longer yield a return similar to that guaranteed. This may eventually pose serious problems when paying premiums when people take up their pensions. Insurers may no longer be able to guarantee such returns. Minister, you have stated that everyone is entitled to group insurance. We can see that this is a certain success because, today, almost 75% of workers already have insurance through this second pillar. What is your perspective on this issue, knowing that the subject is under discussion at the National Labour Council? Do you already have a satisfactory solution in this regard, both for insurance companies and for their customers? Is it possible to balance the system over time? I would like to hear from you about this.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u24	Mr President, this is a crucial issue since the supplementary pension component (second pillar) is essential to ensure sufficient purchasing power for future generations at the time of their pension, on the one hand, to guarantee them a dignified life and, on the other hand, to enable economic growth in our society. The government's will is to generalize the second pillar. The rates of 3.25% for employer contributions and 3.75% for personal contributions are now totally disproportionate to the 10-year OLO rate, which is the benchmark in terms of insurance company investments. They cannot place everything in actions because this would create too much uncertainty in the constitution of reserves. The OLO rate is now 0.63%. If I'm not mistaken, it was still 4% in 2011. That is, the phenomenal speed of falling this rate. Perhaps the European measures of the European Central Bank will ensure that this rate is raised. I hope so, because we still need a minimum of inflation. To date, we are in any case in a major gap with the market. It is difficult for insurers to ensure a return. Moreover, they have reduced these yields. AG Insurance has announced that it is now 1.50%. But in the end, this mismatch mainly affects employers! They're the ones who guarantee the rate, not the insurers. It is therefore no longer in their interest to encourage the creation of second pillar pensions, since it is increasingly expensive for them. There is a real problem here. I therefore intend to submit a proposal to the National Labour Council. Indeed, I am not just going to ask him to work on the subject because this has already been done by the previous government; a lot of other issues have been examined such as the harmonization of the statutes, for example. I will very quickly make a proposal to link (not equal) the guaranteed rate of return to the market rate. Indeed, it is a matter of not having to introduce a new bill whenever there are significant variations. We'll try to find some automaticity of connection. However, a medium term must be found, since the worker must also have an interest in establishing a second pillar pension. If he is offered 0.63%, this will not satisfy him. An attempt must be made to strike a balance between encouraging employers to encourage the system and encouraging workers to register. We cannot, of course, remain at this stage.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u25	Minister, thank you. I note with interest that you will find a solution. I hear you're going to work on a long-term basis so you don't have to rethink the model every time a fluctuation occurs. I count on your inventiveness to find the solution because this second pillar is indeed essential for all.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u26	Mr President, Minister, in an interview you gave to La Libre Belgique, published on Monday 12 January 2015, you justify the abolition of pension bonuses by stating that this measure has mainly benefited high pensions. This was not a great revelation. You said it here in committee and in plenary. So I was not surprised by this statement. The reality is quite different, but I have already had the opportunity to mention it here in committee. Indeed, the latest study available from the ONP on the pension bonus shows that this bonus applies to all pension levels and, in the first place, to pensions of between EUR 1 000 and EUR 1 250 per month. This graph shows that more than a quarter of the pension bonuses concerned these pensions. In addition, in the same interview, you indicated that the government's goal is for a quarter of the population to work up to 66 or 67 years of age. At other times, however, you mentioned 10% of workers who were going to be involved in work beyond the age of 65. Minister, what source does it give you to say that pension bonuses mostly benefit high pensions? If, following the ONP study, you find that the information you previously had was incorrect, will you go back to this deletion? What are the government's objectives with respect to the proportion of the population it wants to work beyond the age of 65? 10 or 25%? Can you inform me of the elements that prompted the government to talk about objectives rather than estimates, and to review these targets upwards? If so, what steps will be taken to achieve these new 25% targets?
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u27	Mr President, ladies and gentlemen, I thank Mr Daerden for his question, which will allow me to clarify things because I am the object of a disinformation campaign of which you know the origin. Obviously, it is sometimes difficult to maintain objectivity in the debate. First of all, your chart, which I studied but I already knew, is no longer relevant: it relates to the pension bonus as it existed before Mr Di Rupo and his government changed it. At that time, your chart was up to date. It is no longer so: the pension bonus was significantly reduced under the previous government. In fact, the old conditions allowed a pension bonus to be granted to someone with a very short career. It was possible on condition that it was still active after the age of 62. That's for the previous rule. It has been abolished and modified: now it is necessary to have a long career in order to get the bonus in the second frame. The situation has changed completely. Your graph no longer matches the news at all. Even if it was still, the columns are presented in absolute values; they do not indicate the proportion of people under a particular type of pension who receive a job bonus. The number is in absolute terms, so it has no purpose in relation to the debate we are dealing with, i.e. whether it is the high, the average or the low pensions that benefit the most. Obviously, sticks are higher for medium and low pensions: they make up the majority of pensions, which in no way indicates the proportion of beneficiaries of the pension bonus. I remember the reflection of our colleague Gilkinet, who started the debate on the subject, without me having mentioned it. In committee, he said that high pensions benefit from the pension bonus. This is the thesis of Ecolo, on which one may or may not agree. The truth is that, as modified by the previous government, the pension bonus applied only to long careers. From then on, it concerned many workers who had started a career very early, such as workers, surface technicians and others; despite the pension bonus, these people were not interested in working more, which we can understand. The pension bonus therefore had little impact on them. That is what I have explained and, of course, maintain. On the other hand, in short careers and in the lowest pensions, there was no possibility of pension bonuses. The fact that the pension bonus was an eminently social measure in its current version is not correct. It was an interesting measure, I don't deny it. But a government agreement is a compromise agreement and we decided not to do any malus because it was quite destructive about the purchasing power of pensioners. So we decided to delete the bonus-malus system as a whole. With regard to the number of people who will go up to this or that age, you have to think of cutting off the ducks' legs! The Administration of Pensions has given me very clear figures, we are less than 10% of people who actually work up to the age of 65. I'm not saying they're in the pension system, I'm saying "who actually work." I confirm this figure by less than 10%. Moreover, there is not a single expert who will say that this is not true and all existing publications confirm this! In addition, I have never spoken of those who will go up to 67 years of age. I said that those who would go beyond the age of 65 and 66 would make more or less a quarter of the population. It's an estimate because we can't probe people's intentions. It is likely that we will not have a major increase up to 67 years of age since we have not changed the reference career, which is 45 years of age. If we had put that figure at 47, there would have been a much greater impact. Not only did we not change career duration, but we kept exceptions for long careers. I therefore maintain my previous estimates.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u28	Mr President, Minister, as far as the first part is concerned, it makes me smile when you talk about the period before the last pension bonus reform, under the previous government, and the period after it. Indeed, depending on what suits you, you argue depending on one or the other to show that a system is interesting or not. I think, at some point, it is necessary to avoid playing too much with this. If this was changed, it was to make the bonus board more attractive. And if you want to rely on recent figures, take out the figures from the moment you took your reform, that is to say at the end of 2014, to say that the graph is no longer applicable and that it is in higher pensions that the bonus was above all profitable. Minister, do you have updated figures? I find it too intuitive to respond by saying that the reform has changed the chart. That's my reaction to your theory. Next, to say that binding the amount of pensions,...
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u29	Mr. Daerden, do you accept the minister interrupting you?
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u30	But of course, Mr President, we are here in a constructive dialogue.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u31	The only thing that I am asking for is that the question-and-answer session should not re-examine the debate that took place during the discussion of the general policy note.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u32	Mr President, I would just like to make a point. I understand Mr. Daerden's question. But, in fact, I would not be able to give figures on the new application of the pension bonus since it has only been in force since 2014. So, honestly, I have no figures yet on the effect of the restrictions imposed by the reform decided by the previous government, since it takes a year after the early retirement age. But, of course, since a longer career is required to take his bonus, my interpretation is fair and the objective figures will make me right.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u33	So you take a measure based on an a priori.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u34	No, we didn't take any measurements.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u35	But yes, deletion.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u36	That's not what I mean.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u37	And I understand that under a government agreement, sometimes less interesting things have to be conceded.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u38	No, I don't.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u39	And I understand that it wasn't really what you wanted.
ParlaMint-BE_2015-01-28-54-commissie-ic069x.u40	Not at all. I am talking about the reform of the previous government, I am not talking about it. I say that the effect of the bonus following the reform of the previous government only came into effect in 2014.
