ParlaMint-BE_2015-05-05-54-commissie-ic159x.u1	Question No 3581, 3715, 34, all of Mrs Pas are postponed.
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u12	I found out, too.
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u13	Coordination meetings were sometimes held, including mayors of Brussels who were sometimes more exposed than other agglomerations, with federal police officers who asked us for information as essential as those. Good if we've been able to make progress on the exchange of information. I believe that in the face of peril, we are all united and therefore all willing to participate in the efficiency of the work. But I had been dismayed to see that the possession of information was so flawless in some services.
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u14	Mr President, I would like to thank the Prime Minister for the answers. I would just like to stress Mr Maingain's last speech on coordination and local information. I myself was able to make the same observations in the difficult period that we went through around the events in Verviers.
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u15	To abound in the sense of what Mr. Maingain said, I was very surprised at the events in Verviers that there was no systematic inventory of sites in the territory that might have to be protected in the event of identified threats such as those we were facing. I have therefore asked the ministers and departments concerned to carry out this work. In a few weeks, I think that progress has been made, but we will have to continue the work exactly as in the case of the emergency plans, for which each municipality has had to put itself in order by identifying the type of response according to the level of danger we would be facing. I really want to support the remark that has been made.
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u16	Prime Minister, in fact, I was able to see that there were indecisions or hesitations about the division of labour in such circumstances between the different police forces. This is a point of attention which I would like to stress because it is a matter of coordination and it could give rise to problems.
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u17	Prime Minister, when discussing your policy statement in our committee on 18 November, you mentioned the establishment of the Centre for Cyber Security Belgium (CCB), which would start in early 2015. The Centre would receive EUR 495 265 for staff, EUR 2 384 667 for operation and EUR 5 070 000 for investment, or a total of EUR 7 949 932. In addition, the call for candidates for vacancies for director and staff of the Centre would soon be published, which has also happened in the meantime. An article in De Tijd of 16 April said that the recruitment procedure at Selor had been completed. The center would not be operational until after the summer. In addition, the budget for the centre would be greatly reduced. According to De Tijd, it would be only EUR 900 000, and the future director would have had a say in the size of the amount. The newspaper also reported that the decision to integrate CERT.be into the CCB was at issue. Firstly, can you explain why the CCB does not become operational until after the summer? Secondly, how many candidates were there in total for the functions of Director and Deputy Director? Thirdly, the CCB must be forceful. How many employees will recruit it? How many of them are real experts who will be responsible for cyber security? Fourthly, can you tell me how much budget has been allocated to the CCB? I prefer to be split up in terms of staff, operation and investment. What are the changes to the figures at the time of your policy statement? Fifthly, is it true that the future director has already had a say in the size of the budget for the centre? Sixth and finally, is it true that CERT.be will not function under the CCB? What's the reason for that decision?
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u18	Mr Vermeulen, the CCB will become operational once the selections for Director and Deputy Director organised by Selor have been completed. Selor expects to complete the procedure by the end of June 2015. Once the two functions have been completed, the CCB may commence its work. For the director of the CCB there are sixteen Dutch-speaking candidates and nineteen French-speaking candidates. There are twenty-seven Dutch-speaking candidates and twenty-nine French-speaking candidates for the post of Deputy Director. According to the current recruitment plan, the CCB should consist of a director, a deputy director, two project managers, an attaché lawyer, an attaché communication, two administrative experts and two eGov officials by the end of this year. The 2015 budget for the CCB is EUR 719 000 I want to be very precise and clarify the information. The famous EUR 200 million envelope for investment in 2015 can and will be used on the basis of concrete proposals to be formulated by the Director. So you do not have to worry about the means: we will respect the clear commitment. That's very important to us. As with any government agency, the Director shall draw up proposals for budget sheets to be submitted for analysis to the Chancellery and to my cabinet. The Director of the CCB therefore has a say in the preparation of the budget. The functional links between the CCB and the federal services working on cybersecurity have not yet been fully established. At present, it is based on the principle that each department retains its responsibilities and role in cybersecurity, including the CERT. The Director of the CCB will analyse and determine the functional links needed in the context of the performance of the tasks of the CCB, including on the coordination of the cyber strategy. This analysis will be one of the priorities for the future of the CCB. As I have already said, I intend to inform Parliament systematically and regularly about the progress we will make on the dossier after the summer.
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u19	Prime Minister, Rome was not built in one day. The previous government has announced a lot about cyber security, but very little has been done. I am pleased that we are getting started. Better with delay, but sure, than not moving forward at all. A ship can't sail without a good captain, especially when it gets into turbulent waters. Thank you for your answer and I will certainly follow up on the subject.
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u20	The cybersecurity summit in The Hague is one of the most important conferences for all business leaders and policy makers in the cybersecurity sector. Belgium was also represented by Deputy Prime Minister Peeters. You could enjoy a well-deserved holiday. According to De Tijd who reported on this, the teneur in The Hague about the operation of cybersecurity in our country was free to even very negative. Several Dutch sources have criticised the Belgian attitude towards our cybersecurity. They blame the previous government and the current government for not taking sufficient steps in the fight against cybercrime. According to them, this attitude would also make partner Member States vulnerable to attacks. So it is not only a story of shared knowledge but also of a shared response. Together one is stronger than all alone. The newspaper has also reported that Belgium, like 40 other Member States, will participate in the creation of a new international cybersecurity agency. I have the following questions about this. Can you reassure our Dutch colleagues and demonstrate that our current government, unlike the previous government, is indeed making cybersecurity a real priority? Will you contact us or have you already contacted your Dutch colleague? It is said that we are a great risk and that the attitude of Belgium makes it more difficult to counter threats. Are there any cases where there have been cyber attacks on Belgium to obtain data from a partner country? If so, can you explain it? How will our country be represented in the newly established international cyber security agency? What budgets will we set aside for this? Is it correct that they may be deducted from the assets of the CCB? If not, where do these resources come from?
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u21	Mr President, the Belgian delegation at the conference in The Hague consisted of Deputy Prime Minister Peeters, the Belgian Ambassador in The Hague, an expert from Fedict, a member of the BelNIS information security network and three experts from Cabinets. My cabinet was also represented at the conference. On the basis of my information, I can inform you that no criticism of Belgium's cyber strategy was made at any time at the conference. It was neither the place nor the time for it. It was an international conference aimed at uniting the participating countries around the cyber strategy. Following the conference, Belgium signed a cooperation agreement on cybersecurity. So Belgium is making a real commitment. As regards contacts with the Netherlands, national and international contacts have already been established in general, including with the Netherlands. Other contacts are planned, in particular through the network of CERT.be. CERT.be must establish and maintain the necessary contacts with other countries' CERTs with a view to mutual support. Information is constantly being exchanged through this route. There are no cases or examples of cooperation on security issues. However, I can tell you that technical information has been exchanged with the Netherlands in both directions. Indeed, on the occasion of the cyberconference in The Hague, Belgium co-signed a cooperation agreement in the framework of cybersecurity projects. The CCB can serve perfectly as a Belgian contact point for the collaboration with support by Fedict and CERT.be. Belgium will a priori not employ any staff in the office you are talking about. Belgium's participation consists in the implementation on an ad hoc basis of joint projects and in the bilateral or multilateral exchange of good practices on cyber security. There should not be a specific budget for this cooperation at the moment. This cooperation is part of the day-to-day work of the Belgian cyber services concerned and is part of projects that must be carried out in any case. With a view to the entry into force of the CCB and on the basis of the concrete proposals on the table, we will study that network very seriously.
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u22	Prime Minister, there was also someone from our party present at that summit in The Hague. He says it was a very valuable contact, but he had also heard in the corridors that the gap between the Netherlands and Belgium in cybersecurity is very big that there was criticism of Belgian policy. We have taken the start, especially with the Cybersecurity Centre and other measures, in order to give them much greater priority. Nor is it the intention to live on criticism, but to offer solutions. I am convinced that we have taken the right path.
ParlaMint-BE_2015-05-05-54-commissie-ic159x.u23	I note that several fellow Members were not present during this sitting. Debates of the European Parliament 2981 and No. Question No 34, by Mr Hedebouw: Question No 36, by Mr Delizée 3880 by Mr Dallemagne shall be considered withdrawn on the basis of Article 127.10 of the Rules of Procedure.
