ParlaMint-BE_2015-04-01-54-commissie-ic140x.u1	Mrs Cassart withdrew her question No 3527.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u12	Mr President, Mr Secretary of State, the legal scope of "undouble consent" is different from the "explicit consent" that can be given to processing data. The question is why one should go to a lower level. There was also comment that other proposals from Belgium would be privacy unfriendly. Some speak of 23 privacy unfriendly amendments. Another part of the question concerns the technical note promised by the Privacy Commission. I think you are also using it as an input for the privacy conversations in Belgium and at European level. Can we get an insight into the Belgian text proposals, as we have just discussed? Why do we have to switch back a level? Is that for certain companies or for e-government? If we know, we might be able to defend it. Now, perhaps unjustly, a certain perception has arisen. What legal changes has the Privacy Commission proposed to you? The note on this matter was promised to us, but we have not yet received it.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u13	Mr President, allow me to go further on what we have just discussed. I have some reservations about the findings of the so-called LobbyPlag website. The documents which have been studied and the ranking that has been drawn up give a very partial picture of the reality of the negotiations. I have just said that we are one of the most active countries in the technical working group. We often form the basis of compromise proposals. All I can say is that tall trees catch a lot of wind. If we had kept our mouths shut and not intervened on anything, we would have been at the top of the most privacy-friendly countries in Europe. Not all proposals are presented in the official documents either. That is the case in the European Parliament. We are working there on the basis of amendments which must be tabled at a certain time. It seems that we in the Belgian Parliament still have the habit of tabling amendments at the sitting. According to my information, this would be done in a different way in the other assemblers. This is not always on the basis of amendments, but the discussions of the technical working groups are gradually being adjusted. We certainly do not want to undermine citizens' rights. Not at all, otherwise there would be no separate Secretary of State for Privacy, but if we want to achieve better consumer protection, we must have this European regulation very urgently, if only because of the digital world, where we cannot control all this. When we formulate a Belgian position, I negotiate and discuss it with other Cabinets and with the administration, so that everyone can give their opinion on it, when it comes to their competence. However, we cannot separate privacy from the economic and social world. Privacy is never on its own. I do not think that privacy can be compromised, but one can balance between the importance of privacy and the common interest. Privacy always relates to other challenges. For example, there must always be a balance between privacy and security. A balance must also be struck between innovation, technological innovation and privacy. I know I have to do that exercise. That's why I sometimes feel like a string dancer when it comes to privacy, although I don't have it physically. A rugby game would be more appropriate for me, but in this case I have to play ballet dancer. It is also important that we should be able to allow our Belgian data systems to function in a good way in order to achieve an efficient and customer-oriented government. The essence of your question is about the "explicite' or "explicite' consent. The current directive and the Belgian law transposing the directive now provide for unambiguous consent. I don't see any problem with that today. Nor am I convinced that a replacement by the term "explicit consent" will in practice provide more protection. For an outsider it is not always clear what the difference is between unambiguous and explicit. When one has to give explicit consent to everything, the question arises as to whether this remains workable. It's the same story about the cookies. People get a pop-up asking to accept cookies. I only note that in practice, because of ease of use, people are clicking on "acceptance' to continue surfing. These are small formalities which are very quickly bypassed and touch upon the essence. You're asking me about my interventions. I've intervened twice at a council. The first time I said that there was a need to make a clear distinction between the protection of judicial and police data, on the one hand, and other personal data, on the other. In my view, these two matters need to be clearly defined. The second time I expressed my strong doubts about Article 6 (4), which gives rise to ambiguous interpretations, which only increases legal uncertainty. I asked for the paragraph to be revised and clarified when discussing Chapter 3 on the rights of data subjects. This seems to me to be the most important issue in the next phase, in June. The Belgian position has been negotiated with all stakeholders. You know that I have established a privacy platform, in which I have asked a number of consumer organisations, human rights organisations and industry organisations from the business world to come together to exchange views and to strike a balance between privacy in our country. I know that there is a doubt as to whether companies can point out the problems they may have when certain privacy rules are too strict. I have my opinion on that. I believe that a number of improvements can be made to company policy. I also believe, for example, that in the standard settings of a sold item or licence, privacy protection should be optimal; we should not reverse that. In other words, a consumer or user should not modify its settings to improve privacy. In the delivered product, with the licence delivered or when accessing a particular website, the strictest possible privacy setting must be set up and the consumer must take the initiative to reduce those privacy settings. I do not think that the opposite can be done, where one gets a product and one has to make sure that the privacy settings are tightened. That is twice a different approach, but with a different starting point.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u14	Mr President, Mr Secretary of State, I have two points of reply. Whether explicit or unambiguous, such consent should not be conditioned by ease of use. When it comes to the protection of fundamental rights, it must not be left to choice or ease of use. This is an important approach to further discussions. If one says in principle that it is not possible, one should also not want to force permission by creating frustration with a user of a website. Secondly, you spoke about the regulation and its design, including the distinction of personal data from judicial and police data. Mr Secretary of State, the directive is also very important for this. We have not yet discussed this directive, Mr President. We have discussed the regulation in particular, but I hope that we will have a good debate on it in this committee. Mrs Onkelinx also supported that question. The directive and the regulation are in one package. They were also proposed as a package together in the European Parliament, in April 2014, and in the Commission, in 2012. I hope that we will be able to discuss this again on the substance of the matter one afternoon.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u15	Question No 3185 by Mrs Kattrin Jadin is transformed into a written question.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u16	Mr Minister, since the previous legislature, the implementation of short sentences has been re-established, i.e. penalties of less than three years, for which the equivalent electronic monitoring is also often used, in part or mainly. A new system has also been introduced for this purpose, namely electronic monitoring with voice recognition. This has been introduced for sentences of six to eight months. This was also intended to be applied later for penalties of four to six months. Minister, what is the state of play of the electronic monitoring system that works with speech recognition? Is it an efficient system or are there significant start-up problems? Has the planned enlargement been completed? How many files use electronic surveillance with voice recognition?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u17	Mrs Van Cauter, as you know, the powers for implementing electronic surveillance have been transferred to the Communities and the Regions since 1 January. For the current state of affairs, I would like to refer you to the relevant ministers of the Länder. As for your second question, the Minister of Justice was still responsible for implementation and organisation until 2014. I can tell you that the home detention was introduced in 2012. That is electronic supervision without the assistance of a judicial assistant, for persons with a total sentence of eight months to be carried out or a maximum of two months to be served. In 2013, the home detention was extended to a sentence total of six to eight months. In 2014, the home detention was extended to a total of four to six months. This is dealt with in the Ministerial Letter No. 816. This letter of 10 January 2014 entered into force on 1 February 2014.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u18	Minister, I fully understand your answer. I do wonder whether there will be no consultation between the Länder and the Minister of Justice. I see you nodding. I'll translate that immediately. I do not think it is possible for you to allow yourself to be committed and for you to have no knowledge of the state of affairs. You may not have to answer that, but it seems to me appropriate that we should know what is happening with our regulations on the ground.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u19	I'm not gonna answer that. There has already been an interministerial committee on the justice houses, but I cannot provide the right statistical data at the moment.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u20	Minister, I am asking you a question that is of great interest to me. This is the recognition of the Belgian Buddhist Union (UBB), an issue on which I worked a lot when I had your ministerial competence. It is therefore a recognition – since this point had given rise in itself to a real debate – as a non-denominational philosophy. We had studied all five criteria that must be met by all those who wish to be recognized under article 181 of the Constitution. These five criteria are: a quantitative criterion: the number of faithful; a criterion of representativeness: a representative body that can represent worship in its relations with civil authority; an old presence in the country; having social utility and not constituting a danger to public order. After extensive work with the UBB and the Parliament, the Parliament passed the law of 24 July 2008 according to which an annual subsidy is granted to the UBB to structure Buddhism with a view to its recognition, thus recognizing that Buddhism met all the criteria. Since then, numerous meetings have been held between the UBB representatives and the Department of Cults and Laity of the FPS Justice. I think the file was forwarded with the answers to all the questions. In qualitative terms, Buddhism is a non-denominational philosophy with 100,000 faithful, if we can say so. The social utility is evident since this philosophy advocates altruism, tolerance and non-violence that our country, like others, obviously needs. The work of Buddhists in assisting the dying, prisoners and persons in distress is well known. Buddhism is therefore not a danger to public order, on the contrary, I think that it can really participate in our living together. The UBB has been working with the Justice FPS since 2008. We asked successive ministers the question. Each time, we were told, "We're working on it." My question is simple, since we were told the last time there were a few small details left. What is the status of the recognition of Buddhism? Do you think it can be operational in the short term?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u21	Dear colleague, a meeting was held in my cabinet on 19 January 2015 in the presence of Mr Carlo Luyckx, President of the Belgian Buddhist Union, Mr Koen Vermeulen, the Secretary-General and my administration of the Cults and Laicity. As you have just indicated, the Law of 24 July 2008 on various provisions provides in Article 139 that a subsidy is granted to the non-profit association "Union Bouddhique Belge" with a view to structuring Buddhism in Belgium, the modalities of which relating to operating and personnel costs are laid down by the King. Amounts required to deal with them are included annually in the FPS Justice budget. This article is above all a preparatory step. He tries to operate the structure of Buddhism by granting the UBB a specific subsidy. A second legislative stage will therefore be necessary to enshrine the definitive structure of Buddhism in our territory. Since 2008, discussions have taken place and various texts have been exchanged between the Belgian Buddhist Union and the administration in order to establish, at the territorial level, a structure conducive to the exercise of moral assistance according to a Buddhist conception. The Belgian Buddhist Union has chosen to base its recognition on Article 181, § 2, which recognizes philosophical organizations that offer moral assistance according to a non-denominational philosophical conception. A dossier currently under consideration in the form of a preliminary draft law takes up the objectives of the Belgian Buddhist Union, provides for the creation of a general secretariat, with a functioning subside which defines the treatment of Buddhist advisers. In conclusion, I note that the request for recognition of Buddhism in Belgium dates back to 20 March 2006 and that, after almost ten years, it is updated by my services to grant definitive recognition. A draft bill should soon be submitted to me to that effect.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u22	Of course, I believe in the minister's good faith. That's what we're told every time, "It's on the right track." There are only a few small points left to finish. So I'd like to come back in three months to see if the little details have been settled.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u23	Minister, the judicial landscape has recently undergone profound changes. Judicial districts now have provincial territories as a sphere of jurisdiction when it comes to courts of first instance. As a result of these consolidations, concerns have emerged about the future of the courts. Reassuring responses to this seem to have been made: the current seats of the former courts of first instance would remain the place where the cases would be dealt with. What about the places of hearing of the justices of peace? There is an insistent rumour that it would be intended to abolish seats of justice for peace in order to bring them together in a cost-effective manner. I would like to draw your attention to what seems to me to be an essential objective to be pursued in the field of justice, namely its accessibility and hence its proximity to the citizen. This is particularly true for justices of peace. Moreover, the name is indicative of the nature of the justice service that must be rendered. Minister, many cases handled by justices of the peace are handled by the citizens themselves, without the assistance of a lawyer. Citizens go to the justice offices to file an application and the judge summons the parties, who come before him to explain themselves for neighbourhood disputes, servitude problems, game damage, rental disputes, etc. I also stress the importance of conciliation appeals at this level of jurisdiction. All of this requires that the accused be able to have easy access to his justice of the peace. It seems to me that it would be totally inappropriate to remove the citizen from his judge, which would necessarily be the case if seats of justice for the peace were abolished. As the mayor of a small rural commune, I very often encounter people facing problems to be solved before a justice of the peace. They come to me as a local authority, without knowing who to refer to, and show a great deal of concern when they learn that I am not competent to help them and that they must address other bodies. It is a real relief for them to know that such a service is in their village or in the neighbouring village. I believe that the quality of life in this environment must be preserved and that it is essential to maintain the peacemaking role assigned to the justice of the peace. In Luxembourg, you are aware that distances are particularly large and that the supply of public transport is unsatisfactory. What are the current plans for the consolidation of justices of peace in the judicial districts of the province of Luxembourg? Can you establish an inventory of justice buildings in the same province? Can you give us the number and distribution of justices of the peace in this territory and let us know which cantons would be grouped and therefore who would be deprived of a justice of the peace?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u24	Mr President, Mrs Poncelet, our country has 350 judicial buildings, small or large, including prisons (34). In this regard, I would like to refer to my Justice Plan, section 4.1.4.3. Masterplan – Judicial buildings, in which I specify that the many judicial buildings should be subject to a thorough rationalization exercise which should eventually lead to a significant decrease in the number of courtrooms and a more centralized management of the buildings. The Justice Plan also indicates, under point 4.2.1.3. Reorganisation of the judicial cantons, the number of justices of the peace and their headquarters is very high and in this regard also an exercise must be launched, as the government agreement provides for. This Masterplan must be ready by the end of the year. This exercise is not an easy task and will have to take into account many factors and actors, including distance, as you have just mentioned in relation to the province of Luxembourg. We will now proceed to this task. So you understand that it is too early to answer more detailed questions. I will come back to you as soon as we can be more concrete.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u25	Mr Minister, if I understand correctly, we will have to meet again in this committee. I will not miss the appointments and hope to have clear, precise and not too worrying answers for our province. It is very important for the population to be able to benefit from this community service.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u26	Mr President, Minister, it is my responsibility to this day that the magistrates record in their PV the names of the police officers who were forced to kill or injure a person during an intervention. In the event that a person is injured or killed during a police intervention and that the defence, including the family of the injured or killed, has access to the file and is thus able to discover the names of the police officers responsible, there may be cases of threat. This situation, I am told, makes many police officers uncomfortable. Would it not be possible for the magistrates to note instead the names, the number numbers of the police officers in question?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u27	Mrs Jadin, your question is part of one of my concerns. The Act of 8 April 2002 on the anonymity of witnesses guarantees partial or total anonymity. It also provides for investigators to mention, in their testimony before the investigating judge in court, only their professional residence and not their private address, in order to limit the risk of reprisals. These are new sections 75ter and 155ter of the Code of Criminal Investigation. On the other hand, the Act does not contain any specific provision guaranteeing the anonymity of a police officer who is subject to a civil suit or a complaint. This problem had been ruled out at the time as theoretical and hypothetical, but the practice has recently shown the opposite, particularly in cases of abuse as a result of civil party constitutions. In other words, the anonymity of agents, in particular members of the intervention teams, but also of other units or even magistrates responsible for certain forms of serious and organised crime, cannot be guaranteed in all circumstances when this proves necessary. The discussion has been under way for several years and this issue has already been raised on several occasions in the College of Attorneys General, which has set up a working group within the Network of Expertise Criminal Procedure, a group in which the Federal Police is involved. Consideration will be given to the recommendations that will be made in writing the bill that I intend to introduce in Parliament in the near future. The Law of 5 August 1992 on the Police Function also provides, in its article 41 as amended by the Law of 4 April 2014, that minutes may not mention the name of the police officer but only his intervention number. This is an exceptional situation. These provisions would enter into force only on the date to be determined by the King. It provides that the chiefs of corps and/or the head of service shall determine the circumstances in which the police officer may replace his nameplate with an intervention number. This intervention number consists of a maximum of 4 digits preceded by a code designating the police zone or the federal police service. It is affixed to the armband worn by plainclothes police officers and allows the identification of the police officer via the head of the corps or the head of the service. The responsible authority which authorizes anonymity shall take its decision in the light of the circumstances of the intervention when they render the identification of the police officers dangerous. This is therefore an inconclusive assessment. In this context, a distinction should be made between special police units and investigators working on certain forms of crime. As I have already pointed out, a working group, including magistrates and police officers, is examining the whole issue. Thank you.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u28	I thank you, Minister. This is a situation that I have been told about and you have rightly said, there are abuses that have taken place. I appreciate that this issue is taken very seriously and that we want to legislate on it. To the extent of my abilities and opportunities, I will give my full support to your projects.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u29	Mr President, Minister, the Public Prosecutor's Office through its public prosecutors issues circulars to the police, thus exercising some kind of legislative power over our law enforcement agencies. It is my responsibility that the officers of the Internal FPS complain a great deal about these circulars which carry out transfers of tasks from justice to our police officers, whose tasks are already important. Is it true, Minister, that for the past two years there has been an increase in the circulars issued by the Attorneys General to the Internal FPS? According to your information, do these circulars sometimes cause problems for the police?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u30	Mr President, Mrs Jadin, as you know, we must distinguish the joint circulars of the Minister of Justice and the College of Attorneys General to the courts of appeal by which the Minister of Justice adopts the criminal policy directives after having taken the opinion of this College on the establishment of Article 143quater of the Judicial Code and, on the other hand, the circulars of the College of Attorneys General in the strict sense aimed at the coherent implementation and coordination of the criminal policy determined by these directives on the basis of Article 143bis, § 2, 1 of the Code. Some circulars refer more specifically to police services in that they are aimed at working processes between police and prosecutors. As far as your first question is concerned, there are no specific statistics that would allow us to know whether, for the past two years, the circulars of the prosecutors general to the internal FPS are on the increase. As far as your second question is concerned, I am not aware of any specific problems encountered by a police force with regard to circulars that transfer tasks from justice to our police officers, whose tasks are already important. In order to avoid difficulties and improve the efficiency of the fight against crime, there are regular consultations at several levels. There is, for example, a Federal Police Council. The local police and the federal police are represented in the Police Expertise Network of the College of Attorneys General. Since this year, there has been an official platform for consultation between the integrated police and the judicial authorities, called JustiPol, the first formal meeting of which was held on 18 March 2015. At the level of judicial districts, police-justice consultations take place in particular at the level of borough research consultations which take place approximately once a month. They consist mainly of the King's Prosecutors, the Chiefs of Police Areas, the Judicial Directors and Coordinators of the Federal Police. Finally, the zonal security councils set up in each police area bring together the chiefs of corps, the relevant mayor(s) and the King's prosecutor(s). It is therefore possible, if not probable, that any of the problems mentioned in the question have already been discussed within one of the structures referred to above.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u31	Mr President, Minister, I am the spokesperson of the judicial officers. Following the reform of the justice system as well as the entry into force of the new law on the bailiffs, it became apparent that the studies of the bailiffs present in the judicial district of Eupen are somewhat overwhelmed by work and demands. Indeed, following the amendment of the law on judicial officers, all bailiffs who still wanted to notify in the judicial district of Eupen had to pass the language examination in German. Of course, it's normal in itself. However, no bailiff from the other boroughs passed this examination. I would like to know if we can follow up on the request of the Order of Ushers. The capacity of bailiffs for the judicial district of Eupen should be increased with regard to these studies. I know this can only be done by royal decree. Had that not been the case, I would have tabled a bill on this matter.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u32	Mr President, Mrs Jadin, following the reform of the judicial landscape and in execution of article 518 of the Judicial Code, the opinions were requested from the National Chamber of Judicial Officers, the Attorneys General and the Prosecutors of the King, dated 13 October 2014, relating to the number of judicial officers in the new judicial districts. None of the requested bodies has expressed the need to increase the number of judicial officers in the judicial district of Eupen. In addition, the Judicial Code provides in Article 516 that the judicial officers of the cantons of Limburg-Aubel, Malmedy-Spa-Stavelot, Verviers-Herve and Verviers may exercise their functions in the judicial district of Eupen if they provide proof of the knowledge of the German language. An implicit extension of the number of judicial officers in the judicial district of Eupen is therefore possible without having to go through the making of a royal decree. Given the organisation of the language examinations by my services, the legal possibilities provided for in the Judicial Code and the absence of a desire to increase the number of judicial officers in the judicial district of Eupen, it does not seem appropriate to take a royal decree establishing an extension of the framework for the judicial district of Eupen.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u33	Minister, thank you. For my understanding, it is quite possible to broaden the framework and therefore the number of judicial officers within the judicial district of Eupen without going through an amendment of the royal decree?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u34	I've been talking about an implicit frame extension.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u35	I will re-read your answer and, if necessary, I will re-examine you.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u36	Mr. Chairman, Minister, professional secrecy is governed by section 458 of the Criminal Code and of privacy. I'm not going to fight you to read it to you. Only article 29 of the Code of Criminal Investigation runs contrary to article 458: "Any constituted authority, any public official or public officer, who, in the performance of his duties, acquires knowledge of a crime or an offence, shall be obliged to give immediate notice of it to the Crown Prosecutor next to the court in which the crime or offence was committed or in which the accused could be found, and to transmit to that magistrate all information, minutes and acts relating thereto". On the other hand, in the face of police arrests, the professional may request to be heard by a judge only - investigating judge or judge of a court. If he is summoned by a judge, he must go to the hearing and take an oath. Minister, in the specific case where police officers go to a CPAS and address a social worker in order to obtain information on the place of residence of a suspect who is a danger to society in the course of an investigation, the latter may, if she wishes, waive professional secrecy and request that the information requested be disclosed to a judge. In this specific case, when there is an urgent need and the suspect is at risk of leaving the territory or committing other wrongs, how long is it necessary for this procedure? Could it not be envisaged that judges could send an apostille to the police officers in charge of the investigation in the interests of speed? Finally, as detailed above, there is a slight legal uncertainty regarding professional secrecy, since the obligation of secrecy is in contradiction with the Code of Criminal Investigation, on the one hand, and the lifting of professional secrecy is left to the discretion of the social worker in some cases. In general, does this cause any problems?
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u37	Mr Flahaux, your question is essentially about a very complex and delicate area. Like doctors, psychologists and legal assistants, social workers find themselves in a difficult situation with regard to professional secrecy: on the one hand, a relationship of trust with those they deal with constitutes a necessary condition for the performance of some of their duties; on the other hand, because an unjustified breach of professional secrecy exposes them to criminal and disciplinary sanctions. The principle of professional secrecy is of public policy and is not used in any way to protect professionals. Exceptions to this principle are not within the scope of their assessment, but are exclusively recognized by law and jurisprudence. Without this, the person who wishes to be helped and to entrust information will now decide not to surrender to anyone and will abstain. The arbitration between this principle and the necessary protection of vulnerable persons has led to the inclusion of article 458 bis in the Criminal Code. To paraphrase Montesquieu, I would say that the principle of professional secrecy should only be touched with trembling hands. You will understand that the College of Attorneys General cannot, within the very brief time limit, answer an oral question or provide a detailed answer as to the problem that the procedure would pose in order to untie, in the event of an emergency, a social worker from professional secrecy. An opinion from the relevant network of expertise could be sought, but it would take time for the time limit set by an oral question to be missed.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u38	Mr Minister, thank you for your answer, which is right for me, and the reference to Montesquieu. Without forcing you to do so, I would like to ask for an audit – with all the time it takes, of course. My question relates to the CPAS of Braine-le-Comte, I would like to say so. I think it can be raised in the medium term.
ParlaMint-BE_2015-04-01-54-commissie-ic140x.u39	Mr President, Minister, I was able to discover your Justice Plan, in which I found good things. One of them particularly pleased me, that is the news concerning Masterplan III and what concerns the prison of Verviers. I have already had the opportunity to question you about the latter and to explain to you its importance for the judicial district of Eupen, but also the region of Verviers. Can you tell me more about this? Will Verviers find a prison with the same number of prisoners? I think that was what your predecessor had advocated. Are we going to a renovation or a new construction? As the building is unsanitary, I hope that this will be the last possibility.
