ParlaMint-BE_2015-03-11-54-commissie-ic115x.u1	Mr Luykx apologized for the meeting.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u12	Minister, thank you for these additional explanations. On the basis of the updated report, we will check what the more precise criteria were for certain choices, even if you have already given some elements of a response. More generally, what strikes me a lot in the direction of the current external relations policy is that it favours a common approach with the other two Benelux states. I admit I have more than just reservations about it. Benelux had its raison d'être at a time when the European Union did not yet have its strength or its integration, if I may say so. Everyone thought that, little by little, this institution would go towards a gradual extinction and, suddenly, it would be revived in a somewhat systematic, if not obsessive, way. I confess to being reserved because, on the one hand, there would be room for budgetary manoeuvre if certain contributions were dispensed with to the Beneluxian institutions and if they could be reallocated to other political choices of external relations; on the other hand, because I do not always feel that, in particular, the European view of the Netherlands on a number of major European issues is close to that of Belgium. In European history, there have been deep differences between the Netherlands and Belgium as to how European integration can be conceived. I find that, in the relationship with the other European states, give the impression that there is a kind of common front Belgium / The Netherlands may not always be the best signal of understanding. Indeed, whether we like it or not, the symbolism is there. When you share the premises of one chancellery in another state, you feel closer to that state politically than to another. So this is still a political choice with far-reaching consequences, and I am not sure that it does not deviate, somewhere, from the perception of the role of Belgium, particularly in terms of European integration, where I find that the Netherlands did not always have the same audacity or the same will as Belgium. And then, vis-à-vis third countries (outside the EU), why not give priority - I do not know if it is possible - to what could be done with the representation of the European Union present abroad? When a number of European states reflect on their representation in countries where there is a European representation, perhaps our presence in the premises, the buildings of the European representation would have a more interesting political significance. And I go even further: for countries in French-speaking Africa, in particular, when we see the development taken by the institutional francophonie, to find partnerships with countries that play a major role in its development, could also be a way – if we look for operating economies – to give an additional signal and weight to the institutional francophonie. I therefore do not mean that, if there is a representation in Andorra, a partnership with the Netherlands or Luxembourg would not have their raison d'être. I'm teasing you! But more fundamentally, I believe that we have to diversify our partnerships and our representation, and it seems to me that the systematic choice, which is very politically marked, and which nevertheless has some connotation in relation to our debates on domestic policy, partnership with the Netherlands, could be reconsidered.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u13	Minister, I will make three small comments. First of all, I fully agree with my colleague. We always start from the implicit idea that we would share diplomacy, interests, an identical international vision with the Netherlands. This has yet to be demonstrated. I have not seen this on many occasions. I therefore find, Mr President, that this debate would be interesting in your committee. Is there indeed a common foreign diplomacy in Benelux? Do we have common interests, are there common priorities? Do we actually have the same vision of things? I have been asking myself this question for a number of years about a series of issues, including security issues. I come to my second point. I understand you, and I can agree with a series of comments that you make, Minister. There is still one element that draws your attention and vigilance. We are moving away from a whole series of places where our security or directly that of our diplomats is probably threatened, but there too are issues that are extremely important for the security of Europe, for our security in general and for the future of our stability. I mean Damascus, of course, Tripoli, Kabul, and to a lesser extent Brazzaville. The role in the security of this place has been stressed, and I would add the Baltic countries. Care must be taken not to withdraw from these places, and not to become in the end completely devoid of the capacity for direct diplomatic intervention in all these places where security in the future is involved and all these issues. It seems to me important not to desert these places, and to verify that diplomatic action is taking place there that can support or possibly prevent or anticipate defence and security actions. This is something that I think is very important for the future. We tend, and I can understand, because of the security of people, to shut down these embassies. You stressed the cost of protecting our staff, but at the same time, they are extremely important places in terms of international security and stability. Diplomacy obviously has a role to play in this context. Thirdly, I am surprised by your comments on Cologne. In our previous debate, you told me that if Cologne were closed, the budget line would be deleted. You confirmed it to me. Today, however, you tell me the opposite.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u14	I'm not telling you the other way around. I'm telling you, we're still working with the Regions. If the Regions wish to rent the building, we will try, in a good relationship between the federal and the federated entities, to rent them in good conditions. If we continue to use this building – we will see whether this is the case or not – work may have to be done. On the other hand, if it is completely abandoned, it is possible that this work will not be done. For now, we continue to work with the Regions on the site. We are not going to abuse our tenants, especially since they are our regional friends.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u15	It is therefore no longer very clear. We'll see about it.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u16	Minister, my vision of Europe and the world does not stop at the borders of Benelux. However, I would like to make a comment on the doubt expressed by my two colleagues as to the usefulness of this Benelux. Nevertheless, I have the feeling, while being a very convinced European, that Europe has as its backbone the Member States and that there is a little lack of flesh on this spine. I have the impression that exchanges between European citizens do not take place in the way that one might wish. Therefore, having a cross-border entity, a place where this crossing of the internal borders of the European Union is true and daily, does not seem to me to be uninteresting. There are files that bring us closer together, including the whole of port policy, river transport policy, etc. This concerns the Netherlands and it concerns us. I am not obsessed with the subsistence of the Benelux, but in my view it is interesting to have cross-border areas throughout Europe that learn to cross borders.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u17	Mr President, Minister, a few months ago the press revealed the catastrophic working conditions in which foreign workers on Qatari yards operate to build infrastructure that will be used for the 2022 World Cup. This situation remains extremely worrying to date. My question dated 25 November, the facts are not recent. On 17 November, the International Trade Union Confederation published a report on the situation of domestic workers in the Gulf countries. The report is entitled How Operations Is Facilitated. This is a new element that comes in addition to numerous reports by other human rights NGOs that have pointed to the status of quasi-slavery in which migrant workers in Qatar are immersed, whether they work in homes or on construction sites. They work under indecent conditions and survive in unhealthy camps. They have neither the right to unionize nor the right to strike. However, the Belgian Parliament agreed to an investment agreement with Qatar no later than July 2012. This treaty was presented at the time by the Di Rupo government as a way of helping several Belgian companies to participate in the construction of stadiums and the infrastructure linked to this future World Cup by imposing so-called strong social clauses. Article 6 of the agreement I have just mentioned concerns the promotion of mutual protection of investment and Article 3 provides that "the contracting parties reaffirm their obligations as members of the International Labour Organization (ILO) and their commitments under the ILO Declaration on Fundamental Principles and Rights of Labour and its follow-up. (...) The Contracting Parties shall ensure that those universally recognized principles and rights of workers, as set out in paragraph 6 (...), are recognized and protected in their national legislation." Moreover, paragraph 4 of the 2012 Agreement provides that "at the request of one of the Contracting Parties, the other Party shall accept that the representatives of their Government meet for the purpose of consultation on any matter falling within the scope of this Article". In short, in the light of recent events and reports, Qatar visibly fails to comply with the essential provisions of international social law. Minister, in an answer to a question I asked you in March 2014 in the Senate, you stated that the agreement in question had not come into force. Could you please tell me if it's done now? If this agreement has entered into force, how do you intend to activate the provisions in question – Article 6 – and allow for consultation in order to verify the application of this article? Finally, whether the agreement is applicable or not, is it appropriate for Belgium to organise a princely trade mission, scheduled this month, in Qatar, when this future partner visibly fails to comply with basic social standards? Without strict respect for the social norms of this future agreement, Belgium would not only be complicit in an unacceptable social situation, but would also pose an economic risk to the many Belgian companies working there, their credit being tainted by what turns out to be a slavery literally organised by the Qatari State.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u18	Mr President, Mr Hellings, on 31 March 2014, I exchanged the instruments of ratification relating to the bilateral agreement on the protection and promotion of investment between the Belgian-Luxembourg Economic Union (BLEU) and Qatar, with Qatar's Deputy Minister for Foreign Affairs, Mohamed Bin Abdullah Al-Rumaihi, and the representative of Luxembourg. The Agreement entered into force on 30 April 2014. On the occasion of this meeting and having the social clauses that you mention in your question in mind, I conveyed to the Deputy Minister my concerns and those of the Belgian Parliament, as well as trade unions and associations, regarding the working conditions of migrants on the worksites in Qatar. I have informed the Deputy Minister of the Belgian side's wish to enter into a dialogue on how the work is organised on these projects. I have also stressed the great importance which the Belgian side attaches to this issue, particularly in the light of the many Belgian companies interested in concluding contracts in the framework of the World Cup of football and keen to avoid associating themselves with subcontractors whose practices would be problematic. I also stressed that it would be important to see how some of the reforms announced would translate into practice by suggesting that this be done in the context of on-site visits. In addition, I suggested that the International Labour Organization should be involved in the follow-up to these initiatives. Our diplomatic posts in Qatar and the region have been closely following the issue of respect for workers' rights for a long time. Moreover, whenever the opportunity arises in a context that proves appropriate, this issue is raised with our interlocutors both in bilateral and multilateral discussions. In this regard, I would like to refer in particular to Belgium's intervention during the last universal periodic review of Qatar on 7 May 2014 within the framework of the Human Rights Council. On that occasion, Belgium made two recommendations on the situation of migrant workers, which Qatar accepted. Belgium is also active on the issue within the European Union. In this context, I would like to draw your attention to the declaration made by the Union at the 322nd meeting of the ILO Governing Council on 12 November 2014. In his statement on behalf of the Member States of the Union, the representative of the Union stressed that Qatar's political commitment to improve its legislation must be followed up within a clear and determined time frame of appropriate measures to ensure its effective implementation, including through the strengthening of labour inspections. He also referred to the importance of close cooperation with the ILO. The Qatari authorities are well aware of the concerns and the issue has become a priority for the government, which has been rather constructive and open to dialogue. Qatar had taken steps to improve working conditions: an increase in the number of labour inspectors; an on-line complaints mechanism; various new instructions for improving housing conditions; new measures in the workbooks for many projects related to the World Cup, Qatar Foundation and Ashghal Public Works Authority; the adoption of a new labour law, which would soon be in force, including payment of salaries at least once a month in a bank account; and the reform of the sponsorship system, which would allow for the change of employer and the improvement of the granting of exit permits. Discussions are also underway with other CCG countries for a standard contract for domestic workers. The entry into force of the new laws will be an important time to judge actions taken. Once these new measures have been promulgated, concrete implementation on the ground will have to be assessed with our European partners. I insist, in order to avoid amalgamation between all foreign companies active in Qatar, that my services are not aware of critical situations involving Belgian companies. I should like to remind you that this is important to take into account when referring to the provisions of the bilateral agreement on investment promotion and protection between the BLEU and Qatar or when referring to the next princely mission to Qatar and the United Arab Emirates. With regard to our bilateral contacts with Qatar, I can assure you that this issue is systematically addressed. The same will apply to my contacts on the occasion of the next Princely Mission. I can assure you that my services will continue to give all the necessary attention to the follow-up of this dossier, not only to the follow-up of the reforms that are in place, but even more to the monitoring of their implementation on the ground.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u19	Minister, thank you for the briefing you have just made. I am particularly reassured by the attitude of your services and Belgian diplomacy to the various initiatives that have been taken at all levels, bilaterally and multilaterally. On the other hand, I am much less reassured by Qatar's attitude: nothing has been said about trade union rights. We must be extremely vigilant. I urge you to stay that way. I am pleased to learn that no Belgian company, to the knowledge of our services on the spot, is involved in this kind of disguised slavery. There has been a geopolitical element since my question was tabled in November: Qatar recalled its ambassador to Egypt on 19 February for consultation. That's diplomatically said. It was linked at the time to a statement by the Egyptian delegate at an Arab League meeting, which had reservations about Qatar and the financing of terrorism. This is an extremely strong and clumsy political act, which would at least justify the utmost caution with regard to the mission you are going to carry out with Princess Astrid in Qatar. Beyond the social and environmental dimensions that we have been working on for years in this Parliament, there is now also the geopolitical dimension. Qatar plays at least a troubled role in the crisis experienced by Daesh in Syria and Iraq, but also now in Libya. This would be to be extremely careful and to be able to put the points on the i by remaining extremely firm as regards the financing of Daesh or the ambiguous attitude as to what Egypt is doing, for example, on Daesh in Libya. That must be reminded of your Qatari counterparts.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u20	Minister, as acting non-Member State at the UN, following ratification of the Rome Statute, the Palestinian Authority applied for membership of the International Criminal Court in The Hague, after which UN Secretary-General Ban Ki-moon confirmed the accession of the Palestinian State to the International Criminal Court by 1 April 2015. Israel regards this action as a direct confrontation with Israel and has immediately blocked and threatened the monthly tax revenue, which is legally due to the Palestinian Authority worth 106 million, with heavier sanctions. The retention of tax revenues is an international violation of Israel's responsibilities under the Paris Protocol. Minister, the European Union, with Belgium in its lead, has always played a very active role in promoting justice and protecting human rights. What is Belgium's position on the accession of the Palestinian State to the International Criminal Court? Will Belgium encourage its partner Member States in the EU to support accession? Do you see the accession to the Rome Statute as a possible strengthening of the peace process? How serious do you think Israel is about containing Palestinian taxpayers' money, and thus the violation of the Paris Protocol? Have you spoken to Israel about this, possibly in a European context? How will you respond to any further reprisals of Israel? My next question is very closely linked to this. We call in the resolution adopted in the Federal Parliament on 5 February for the Palestinian State to be recognised at the most opportunity in order to achieve as many positive effects as possible in the context of the peace negotiations, preferably as a result of a concerted European action aimed at achieving a strong Palestinian government. However, Minister, I note a great diversity of views in Europe. How will you and your colleagues at the European Council of Foreign Ministers and the High Representative for Foreign Affairs and Security Policy, Federica Mogherini, approach the issue in the near future? Will you take concrete initiatives on behalf of Belgium or together with the EU? Are you aware of the initiatives taken by other European countries in relation to the situation in Israel and Palestine? Will you support certain initiatives? How did your conversation with President Abbas go? How do you see the continued support of the Palestinian Authority from Belgium? In summary, Minister, what strategy will you follow to comply with the parliamentary resolution?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u21	Mr President, I would like to take this opportunity to apologise to my colleague Grovonius, who has also asked a question on the subject but is on a mission abroad. We chose to file the inquiry in order to finally be able to question you on the matter. On 5 February last, in your absence, while this was a key issue, the majority adopted in plenary session a motion for a resolution calling on the Government to recognize Palestine as a State and a subject of international law at a time that will be judged most appropriate on the basis of different elements. I am also surprised at my colleague's question, since she also supported this text with a number of elements: the positive impact of this recognition in order to revive or support an inclusive political process of negotiations between Israel and Palestine, the evolution of the dialogue between the Member States of the European Union and the efforts of the European Union to support the peace process with a view to a definitive and comprehensive solution respecting the legitimate aspirations of peace, security and prosperity for the Palestinian and Israeli peoples, and the exercise of a full-fledged Palestinian Government with authority over all Palestinian territories. Moreover, according to this text, the recognized boundaries of the territory of the State of Palestine will be the 1967 borders, only amended by agreement of the two parties. Following this adoption, can you tell us, Minister, how the government now intends to implement this resolution and on what timetable and thus effectively and formally recognize the State of Palestine?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u22	Mr President, ladies and gentlemen, what we have always said to the two parties during the political dialogue is that they must return to the negotiating table. It is only through the resumption of the peace process that the establishment of a sovereign Palestinian State will be possible, a Palestinian State living in peace alongside the State of Israel, whose security should be assured. So we have taken note of the latest developments in Palestine's accession to the International Criminal Court, but that does not change either the substance of the matter or our basic position, namely that a lasting peace can only be achieved through a political negotiation process. All the steps that are being taken must therefore contribute to that process. We call on both sides not to take any further steps to prevent a rapid return to the negotiating table. In this context, we believe, as Federica Mogherini has also said, that a well-functioning Palestinian Authority is essential for a solution and that Israel's decision not to pay the taxes it collects in the Palestinian territories to the Palestinian authorities is contrary to the Paris Protocol. As for your question, Mrs Claerhout, I am not aware of any specific steps that other countries would have taken to discourage the prosecutor of the International Criminal Court or to prevent an investigation. At least that is not our policy. Accession to the International Criminal Court was not discussed during the negotiations on the Association Treaty with Israel. The Association Treaty was concluded in 2000, before the entry into force of the Rome Statute on 1 July 2002 and before the decision of the Council of the European Union on the International Criminal Court on 16 June 2003. I think it is appropriate for Members to debate the resolution adopted by Parliament, since it was a resolution. It is not essential for the government to be present, Mr Crusnière. You have set out the three criteria contained in the resolution that was voted on, to determine when Palestine's recognition will be most timely. It is difficult to say that the development of the current situation is likely to draw closer to these three elements. To stick only to the first of them, we do not consider that, in the present state of affairs, the recognition of Palestine would have a positive impact in reviving or supporting an inclusive political process of negotiation between Israelis and Palestinians. This does not mean that nothing is being done to bring both parties to the negotiating table. You will no doubt have read the statement of the quartet meeting in Munich on 8 February, which shows that the need to relaunch the peace talks is a priority shared by all its members. A special representative of the European Union for the peace process should also be appointed. I had asked for it since several meetings of the Foreign Affairs Council, in order to promote this return to negotiations. Initiatives are therefore being taken to ensure that the Middle East peace process can make further progress as soon as possible. However, we do not consider that the recognition of Palestine as a State is, at this stage, timely and effective in reviving this process. You know that in the coming days another process will begin, that of elections in Israel. It is not entirely correct to say that there is a strong diversity of views on the peace process in the European Union. It is a fact that some of the EU countries have recognised Palestine as a state and some of it has not. However, all EU countries agree on the fundamental principles that the EU's actions must guide in the peace process. The conclusions of the Foreign Affairs Council on the common position are very clear. We all have the same ultimate goal: the two-state solution, that is, the creation of an independent, sovereign, democratic and viable Palestinian State, which it exists side by side and in peace and security with Israel. This approach guides our policy in the peace process. Belgium is actively involved in the concrete implementation of this policy. Recently, only one new recognition of Palestine has been added, namely by Sweden. The remaining decisions to recognise Palestine as a state date back many years. So we remain on the same page, together with the other European countries, and we will try to take new initiatives to restart the peace process.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u23	Minister, I am of course pleased to hear that there is more consensus at European level on the approach and position towards a two-state solution than sometimes seems to be. Minister, we visited Palestine three weeks ago with some Members of Parliament. There is a feeling that the possibility of a two-state solution is getting smaller and smaller. We have also noticed that the Palestinians are expecting initiatives from Europe there. That is why I would certainly like to continue to encourage you to play an important role in this. In Belgium we have a lot of experience with very complex and complex political situations, and you yourself have built up a lot of experience and expertise. I think that Belgium can really play a much greater role in the peace process than it is at present. I think several other committee members feel the same way.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u24	Minister, I thank you for your answer, which – as you may know – does not appease my concerns about the timing of the effective implementation of this resolution. To hear you, one can indeed wonder when one will reach the most opportune time to implement this resolution. That is why I have tabled a motion to seek the immediate recognition of the Palestinian State, in accordance with the discussion we had in plenary.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u25	In conclusion to this discussion, the following motions were tabled. At the end of this discussion, further motions were tabled. A motion for recommendation was tabled by Mr. Stéphane Crusnière and reads as follows: The Chamber, having heard the inquiry of Mr Stéphane Crusnière and the response of the Deputy Prime Minister and Minister for Foreign and European Affairs, responsible for Beliris and the Federal Cultural Institutions, asks the federal government 1. to proceed, in effect and immediately, to the recognition of the Palestinian State within the 1967 borders and in accordance with UN General Assembly Resolution 43/177; 2. In this context, consultations should be held with the European partners in order to - work towards the mutual recognition of the two States as an indispensable step towards a just and lasting solution; - to plead with the European Union for the establishment, within the framework of its Euro-Mediterranean neighbourhood policy, of an area for constructive dialogue on peace in the Middle East. A motion of recommendation was tabled by Mr Stéphane Crusnière and reads as follows: The Chamber, heard the interplay of Mr Stéphane Crusnière and the reply of the Deputy Prime Minister and Minister for Foreign Affairs and European Affairs with responsibility for Beliris and the Federal Cultural Institutions, calls on the federal government 1. to recognize the Palestinian State effectively and immediately within the 1967 limits, in accordance with United Nations General Assembly Resolution 43/177; 2. to consult with the European partners in this regard, in order to: - to promote the mutual recognition of the two States, as an essential step in achieving a just and lasting solution; - to urge the European Union, within the framework of its Euro-Mediterranean neighbourhood policy, to provide a forum for a constructive dialogue on peace in the Middle East. A simple motion was tabled by Messrs. Richard Miller and Tim Vandenput. A simple motion was tabled by Mr Richard Miller and Mr Tim Vandenput. The vote on the motions will take place at a later date. The discussion is closed. The motions will be voted on later. The meeting's over.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u26	Mr Minister, my question is to a large extent about the same subject that has just been discussed, namely the International Criminal Court. My question was tabled on 10 December, even before the Palestinian Authority's application to join the Criminal Court, which makes the matter even more difficult. I would therefore like to delete my introduction and confine myself to the question. Have you already raised the issue of accession to the Rome Statute or will you bring it up in the context of your political dialogue with Israel or Palestine, because, as Mr Claerhout has just said, Israel has stopped transferring taxpayers' money, the Palestinian Authority's money for the sake of clarity? We have heard on the ground that this is causing problems, not only in terms of administration, hospitals and schools, but also in terms of the security dialogue between the Palestinian Authority and Israel. This is a security dialogue which has so far been fairly hassle-free. We have heard this from both the Palestinian and the Israeli sides. Of course, such a step because of Israel complicates the matter. It was also noted that the Israeli authorities blamed the Palestinians for taking a unilateral step in applying for membership of the International Criminal Court. I think we can all imagine the despair of the Palestinian Authority if the illegal settlement policy continues and thus complicates any peace process. I don't think it's a unilateral move. On the contrary, I think it is an involvement in the multilateral organisation which is the International Criminal Court. Moreover, since the Criminal Court can investigate war crimes, there has been an opportunity at the time of the Gaza conflict, war crimes that may have happened on both sides for the sake of clarity. Perhaps you could open up this question a little, since the current situation has changed compared to 10 December last year.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u27	Mr Minister, my question dates from 12 December and I think it stands. I begin with the observation that the European Member States took over a decision by the Council of the European Union on the International Criminal Court, namely that the Member States consider that as many members as possible should become members of the International Criminal Court as soon as possible. According to media reports, some European Member States would have discouraged the Prosecutor of the International Criminal Court to launch investigations into the situation in Gaza, and Palestinian policy makers would also have been advised not to ratify the Rome Statute. What position has Belgium taken on Palestine's accession to the International Criminal Court since the adoption of the above-mentioned decision by the Council of the European Union delivered to the prosecutor of the International Criminal Court, the PLO or the Palestinian Authority?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u28	Unfortunately, I have the same answer as for Mrs Claerhout, but I would like to go into a few more details. Mr De Vriendt, it is clear. I have already said that we are following the same reasoning as Federica Mogherini regarding Israel's decision not to pay out taxes it collects in the Palestinian territories to the Palestinian Authority. This runs counter to the Paris Protocol, but it also runs counter to a possible positive development in the peace process. I repeat that we are against all unilateral actions in that story. I have heard your reasoning about a unilateral decision that is not unilateral when it is possible to go to a multilateral organisation. I've tried to follow, but it's a very dubious reasoning. There is a contradiction between a multilateral organisation and a unilateral decision. As far as I am concerned, however, that does not change the decision itself. As far as accession to the International Criminal Court is concerned, Mr Van der Maelen, we have always advocated, like many others, the accession of all possible states to the Rome Statute. That was a question, as it was asked by many other European countries, to all states. I repeat that we are still in favour of the accession of as many states as possible. I have given an answer on the current situation regarding the recognition of Palestine by the Belgian Government. I have not been given any information on a possible attempt by a European country to push a partner such as Palestine in one direction. Belgium has not taken a specific initiative in this respect. With regard to the Treaty of Association with Israel, I referred to the Treaty itself and to the Rome Statute, which came later. We maintain the same reasoning. For us, it is very important for a very large number of states to be able to apply the Rome Statute, but we have not taken specific initiatives for Palestine.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u29	You say that you are in favour of as many states as possible becoming an effective member of the International Criminal Court. I hope that in your political dialogue with Israel you have urged them to join the International Criminal Court. You know that Israel signed it a while ago, but Parliament has not yet wanted to ratify it. Israel is therefore not yet a member of the International Criminal Court. It seems to me that you do not welcome that step because of the Palestinian Authority. You say it has no positive impact on the peace process. What are they supposed to do? They are faced with a partner in negotiations that are not negotiations and continues to set up illegal settlements. They are looking for a way out, a lever, an accession to a multilateral organisation. We all encourage the multilateral organisation of the world in accordance with international law as a large global framework. That step must not be rejected and disqualified, taking into account the difficult context in which the Palestinian Authority finds itself. Keeping their own taxpayers' money is counterproductive in all possible ways.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u30	Mr De Vriendt, you said just now that you cannot follow Mr De Vriendt's reasoning. I'm having trouble not following them. Any accession to the International Criminal Court is an individual decision of a state. That's not unilateral. If one takes the step to submit his actions to the International Criminal Court, that is progress. I'm really having trouble following the position you're defending. The PLO, the supporting force of the Palestinian authorities, was on the terrorist list 25 years ago. After all that has happened, with intifada............................................................................................................................................................................................ What is the response of the United States? Beware if you do so, because then we will stop supporting the Palestinian authorities. What is Israel's reaction? If you do so, we will withhold tax revenue. That's the world upside down, isn't it? If an organisation which was not known as a terrorist organisation more than 25 years ago wants to register in the international legal order, then the person who takes the step will be sanctioned, and that will be done by two countries that refuse to engage in the international legal order themselves. I really don't understand.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u31	Thank you, Madam President. Minister, I am going to be short in my question because some of the issues have already been raised in yesterday's debate on trade treaties. But a question didn't get an answer, so I'm starting. We have learned that the European Union is negotiating, in the utmost secrecy, an agreement on trade in services or Trade in Services Agreement (TiSA), thanks to a leak from WikiLeaks. Since then – the question was asked in December – much more is known. WikiLeaks revealed the existence of an internal working document dating back to April 2014. The negotiation of a new free trade treaty would regularly bring together representatives of the United States, the European Union and 22 other so-called developed countries on the premises of the Australian Embassy in Geneva. These fifty countries are called "very good friends of the Services" (I quote) and they negotiate outside the usual WTO chambers, even though all the parties involved in this negotiation – and it is original – are members of the WTO. According to its supporters, the TiSA aims to reduce, from the perspective of maximum free trade, "barriers preventing mutual investment" and "stimulate business growth". These barriers include, for example, national quotas, reserved public procurement, state monopolies and health, social and environmental standards. In applying these principles, it is a kind of global TTIP, with an equally opaque or even more opaque mode of operation. My first question was about the mandate, but as it was unveiled yesterday in the first place by your collaborator here, I don't need to ask you any more. On the other hand, what would be interesting to know is whether you are ever going to demand transparency of the final mandate, as the Commission obtained in Council, as you did for the TTIP. Then, as far as the negative list is concerned, can you confirm to me that you are rather in favour of a positive list of subjects on which we can negotiate in contrast to what has leaked in recent months, namely a negative list (= we can discuss everything, except some topics)? So, in the mandate, was it a positive or negative list? And, if it was a negative mandate, could you clarify the content of that list? The last question, which was not addressed at all yesterday: unlike TTIP, TiSA was not preceded by an impact assessment by the Commission or the Belgian Government. We know that the TTIP has a lot of disadvantages, but we can at least recognise that the Commission has made an impact assessment. For TiSA, this is not the case. Can you clarify whether your government is considering asking, as it did for the TTIP and as you said a few months ago in committee, for an ex ante impact assessment at the SPF Economy, knowing that the Office of the Plan had already refused to answer for the TTIP?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u32	Mr President, ladies and gentlemen, I have already had the opportunity to raise a number of points yesterday in connection with the exchange of views on all these negotiations. I confirm that the mandate of the European Commission has been declassified. I hope that we will continue in this direction and that in the future we can continue to work in the same way and move towards greater transparency. The competent Commissioner, Cecilia Malmström, shares this view. Now we still have to convince the partners to move forward in this direction. Prior to the formal launch of the negotiations, the countries participating in the TiSA agreed on the parameters on which the agreement could be based. These parameters were discussed with the Council. You will have found that this is discussed in the negotiating mandate. One of the parameters is that the parties to the agreement will make a horizontal commitment to national treatment. This means that any person or undertaking in a Member State will receive treatment no less favourable to that granted to nationals once it has been authorised to enter the national market. Parties may make horizontal or sectoral exceptions to this treatment in the Annexes. These exceptions constitute one of the three guarantees provided for in all EU trade agreements in the field of public services. These guarantees relate to the regulation, monopolies and national treatment mentioned above. They allow EU member countries to remain fully free to manage public services as they see fit. With regard to national treatment and market access commitments for publicly funded services such as health care, social assistance, education and water supply, national authorities are not obliged to treat persons and businesses outside the European Union in the same way or to open their markets in these sectors. On the contrary, the countries of the European Union may favour European companies in relation to foreign companies, prevent them from providing or investing in these services or defer any decision to allow foreign companies to provide or invest in a specific service. These three guarantees still apply regardless of the approach taken to reflect the EU's commitments to services in these trade agreements (positive lists or negative lists). As I mentioned yesterday, I plead that we should be able to work with positive lists, but for the moment I do not have much echoes around the European table. In other words, I do not have much support in this area. But – I repeat – one can achieve the same result through one step or the other. For the moment, we are working regularly with negative lists simply because there is no consensus to go in another direction. The following areas are excluded from any commitment: publicly funded health and social services; public education; water collection, treatment, distribution and management services; and audiovisual services. In addition, services provided exclusively by governments, such as justice, police or defence, are by definition excluded from the scope of the Agreement in accordance with Article 1.3 of the General Agreement on Trade in Services (GATS). The schedule for launching the negotiations agreed by all the countries participating in this initiative did not allow the Commission to carry out an upstream impact assessment. Nevertheless, it mandated an external company to conduct an assessment of the impact of this agreement on sustainable development, the "Sustainability Impact Analysis". This evaluation is under way. The first results were published on the Commission's website. An impact assessment for Belgium can be requested. We have already done so with the FPS Economy, which now has to decide how to implement this analysis.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u33	Thank you for your answer. I understand that negotiations started in Geneva when the impact assessment did not exist, either in the head of the Commission or in Belgium. If there are economic or social benefits of such a treaty, it would be interesting to be able to measure them before taking the decision to put the finger in the middle of such an important negotiation. It seems to me that's what this is all about. I understand that the studies are going to be carried out now and that it is an external society, as far as the Commission's study is concerned, which will deal with them. I assume he's a consultant. I find this disturbing as far as methods are concerned. We'll have to keep an eye on this. Let us never forget that, within the framework of the TTIP, the Commission's preliminary study is now the subject of strong challenges, as it seemed to be oriented. Attention will have to be paid to this study commissioned by an external consultant by the Commission. I encourage you, if you do not be able to stop these negotiations on which we have the worst fears, to continue to fight, even if you cry alone in the desert, for these positive lists. We don't know what the economy of the future will be made of in ten years' time. Perhaps it will be collaborative and social and will not be excluded from this future free trade treaty. We must be able to say that we are ready to involve a series of sectors where Europe has advantages, rather than involving all but a few sectors. We'll pay attention to it.
