ParlaMint-BE_2015-10-28-54-commissie-ic255x.u1	Merged questions Nos 6373 by Mrs Van Cauter and 6732 by Mrs Lanjri are postponed.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u12	Mr President, Mrs Lanjri, thank you for your very comprehensive explanation. You know it's hard for me to talk about individual files. Apparently, the Rules of Procedure of the Chamber state that this must be done.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u13	I have given an example from the media, but your answer really should not be about that example. My questions are about the principles. It should not be about this individual case for me. I am concerned about the principles that are being applied.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u14	I'm not commenting on individual cases anyway. Firstly, yes, it was possible under the Dublin II regulation and it is also possible under the Dublin III regulation. Secondly, Article 2 of the Dublin II Regulation defines the term family member as follows: 1. the spouse of the applicant or the non-married partner with whom a lasting relationship is maintained. 2. the minor children of the above couples, provided they are not married. 3. if the applicant is a minor and unmarried person, the family members shall be the father, mother or adult responsible. 4. if the beneficiary of international protection is a minor and unmarried person, the family members shall be the father, mother or adult responsible. The adult children are excluded from the scope of the definition "Member of the family'. If the asylum seeker is an unaccompanied minor or a dependent person, other family ties, brother, sister, aunt, uncle or grandparent, may also play a role in determining the responsible Member State. Thirdly and fourthly, during the interview with DVZ, it is always asked whether the asylum seeker has family ties in Belgium or another Member State. The country of entry does not matter. If the person concerned has family ties in Belgium and the conditions of the Regulation have been met, DVZ will deal with the asylum application. I ask for a written question for specific statistics. I should like to refer to Rule 122 of the Rules of Procedure.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u15	Mr Secretary of State, you spoke very quickly.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u16	I have to leave at 12:30. I got here in time. I said that at first, but you didn't hear it. So you shouldn't be mad when I'm gone at 12:30. That's a deal with the chairman.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u17	No problem. It is clear that this is only about underage children. A 19-year-old adult, a young man or woman who wants to join her mother or father, can't do that. However, the Dublin Regulation provides for the possibility of dealing with asylum applications on humanitarian grounds. I would ask you to take this opportunity into account. It's probably not about a lot of cases. Nowadays, children at 18 years of age are not independent and leave the house. I hope you will take this into account, Mr Secretary of State. I will ask another written question for the figures. For the time being, however, it seems that an eighteen-year-old cannot join his family anymore, whereas the Dublin Regulation makes it perfectly possible for Europe to do so. You're talking about adults.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u18	Mrs Lanjri, you have not listened carefully. This is considered on a case-by-case basis. Dublin allows this, but it depends on the situation. I'm not going into individual files.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u19	Is this also considered on a case-by-case basis for adults?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u20	In my opinion, the Foreign Affairs Office treats every file properly, correctly, on the basis of international law.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u21	So family reunification is possible for adults, too?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u22	Individual cases may be possible. That situation must then be convincing, and that is not always the case.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u23	Okay, that's obvious.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u24	Mr Secretary of State, a law recently adopted by the Hungarian Parliament now allows the massive deployment of military personnel at the borders and authorizes the army and the police, under certain specific conditions, to open fire against refugee candidates, provided that these shots are not "mortal". The army is also authorized to carry out identity checks and custody of the migrants in question. The new system, which complements anti-migrant legislation that came into force on 15 September, also allows the police to search any private home where refugee candidates are suspected of being present. The situation in Hungary is catastrophic from the point of view of respect for the most basic human rights and therefore calls on the Foreign Office to apply the entire provisions of the Dublin Regulation, particularly Article 3.2(2) of the Regulation, which states: "Where it is impossible to transfer an applicant to the Member State originally designated as responsible because there are serious grounds to believe that there are systemic shortcomings in the asylum procedure and the reception conditions for applicants, which entail a risk of inhuman or degrading treatment within the meaning of Article 4 of the Charter of Fundamental Rights of the European Union, the Member State making the determination of the responsible Member State shall continue to examine the criteria set out in Chapter 3". Mr Secretary of State, in these circumstances, can you confirm to me that the Foreigners' Office fully implements the Dublin Regulation (including its Article 3.2, which I have just mentioned) and therefore assumes responsibility for the processing of the asylum applications of those concerned because of the serious shortcomings found in Hungary? Can you tell me how many refugee candidates from Hungary who have joined our country have been sent back to Hungary since 1 January 2015?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u25	Dear colleague, I have the honour to provide you with the following information. Hungary authorises a limited number of "Dublin" transfers per day, in order to ensure proper reception and proper treatment of the procedure for returnees in this context. These persons are therefore not victims of failure to comply with the asylum procedure and reception conditions. To our knowledge, the Aliens Litigation Council has not yet suspended or annulled this type of transfer decision to Hungary. Pursuant to rule 122 of the Rules of the House, I cannot provide you with the statistics in an oral question. Please ask me a written question.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u26	Mr Secretary of State, Hungary's decision is quite recent. It's catastrophic. It is a matter of possible non-lethal shooting on migrants passing through Hungary. This decision dates back to a few weeks ago; this is probably the reason why you have not yet received any requests or appeals on this issue. As you suggest, I will ask you the question in writing. I still draw your political attention to the fact that the situation there is catastrophic. It would not be a matter for Belgium to send the hot potato back to Hungary, i.e. to send back migrants from Hungary where their humanitarian, political, and simply human situation would be appalling. This would be tantamount to condemning them, perhaps not to a certain death, but to certain wounds.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u27	Mr Secretary of State, at the beginning of September, the Commissioner-General for Refugees decided to hold a decision on the granting of subsidiary protection to asylum seekers from Baghdad and the surrounding area. After all, it was found that the number of asylum applications from Iraq had increased explosively. About half of Iraqi asylum applications came in August. On the website of the CGVS, he also writes literally that a lot of asylum seekers cite similar facts in a more stereotyped manner and produce a stereotyped story, which apparently led to the conclusion that these are lucky seekers and not real asylum seekers. That conclusion was also reached because the security situation in Baghdad has been positively evaluated. It turns out that there has been a rumor stream in Iraq that depicts Belgium as the land of milk and honey, where it is good to apply for asylum. That is a situation in which crooked smugglers are all too eager to respond. We're two months later now. What is the status of the decision-making stop? Has it been confirmed and is it definitively converted into a refusal to grant subsidiary protection status? How many people from the region have submitted such an asylum application on suspicious grounds, with that stereotypical story to which the CGVS refers? What's the profile of these people? Is it mostly men, families? Could you give us some more information on that? How many of these people have been granted refugee status or subsidiary protection? Are these files being reviewed or has the Statute been taken away in such cases? What happened to the people from that region after the September decision-shoot? Where are they at the moment and in what statute? Some people were deported? Have people returned voluntarily, as they now receive a return bonus? How many people were removed from the territory? I would like some figures on this. You've already launched a distress campaign on Facebook. Are you planning any further measures to stop the economic fortune seekers in that region more vigorously?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u28	Mr Secretary of State, on 22 September, the Iraqi residents of the Belgian asylum-seeking centres received a signed letter from your hand, which follows the same logic as the purchase by your services of an advertising space on the Facebook social network in Iraq. You are clearly aimed at discouraging Iraqi asylum applications. Thus, your mail has announced the freezing since September 3 – in the meantime we know that the decision of the Office of the General Commissioner for Refugees and Stateless Persons (CCRA) has changed – of the analysis of the files of nationals from the Iraqi capital and its surroundings. Your letter states in English and Arabic: "Since 2014, the situation in Iraq has changed in such a way that a return of the asylum-seeker to that region no longer poses a real risk to him". It is a point of view that I find very surprising when we know that six Belgian F-16s participated, from 24 September 2014 to 2 July 2015, in air strikes against Daesh in Iraq, in the name of the security situation, in particular around Baghdad. Your Defence colleague announced a possible resumption of these Belgian strikes in the summer of 2016. That's what the Defence website is announcing. Moreover, in its advice to travellers, the FPS Foreign Affairs, managed by your colleague Reynders, announces on its website - which I consulted on 8 October - that: "The security situation in Iraq remains unstable and very dangerous for all travellers. The risk of attacks and acts of banditry is high. The recent fighting and the risk of violence spreading to Baghdad make the situation very precarious and volatile." Basically, there are two different visions, that of your letter to the refugee candidates and that of the SPF Foreign Affairs, with an English and Arabic version for the Iraqis and a French and Dutch version for the Belgians. Mr Secretary of State, what are the sources that make you say that the situation in Baghdad and its surroundings has improved in recent months, has such a point that you or at least your services are freezing applications for asylum and temporary protection for applicants from this region? I know that the decision has changed between the filing of my question and the moment I ask you. Are your services not working with Defence and FPS Foreign Affairs to assess the security situation in the areas in question? Given the expertise, in particular the defence that comes from Iraq and the foreign affairs that has a network, does this not prompt you to reassess your position?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u29	Mr President, I apologise, but the meeting of the Management Committee ended. Mr Secretary of State, my fellow Members have undoubtedly already outlined the reasons for these questions. At the beginning of September, the Commissioner-General announced that asylum applications from the Baghdad region in Iraq would no longer be assessed temporarily. He announced a decision stop that lasted a few weeks because the refugees told stereotypical stories that lacked the necessary details. This led them to suspect that they were driven by human smugglers. The Commissioner-General has therefore decided to stop processing all applications from that region for two or three weeks and to first examine whether it is necessary to grant temporary protection to all asylum seekers from Baghdad. This study showed that it is no longer necessary to grant asylum seekers from that region temporary protection. The Commissioner-General considered that, although the situation in Baghdad is problematic, it is not of that nature to automatically label everyone as a person at risk of being the victim of violence. Therefore, from now on, dossiers will be assessed individually on the basis of that risk of prosecution. Mr Secretary of State, can you give me an estimate of the number of applications that cited similar facts and told the same flight story? In the meantime, could a decrease be observed following the introduction of the decision-stop? An individual assessment of the security risk for each dossier from the Baghdad region obviously requires more time. Does this affect the lead time of those asylum applications? I suppose so. Will there be a return to earlier decisions that were presumably made on the basis of incorrect information?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u30	Mr President, Mr Secretary of State, I have four brief questions. Firstly, what is the state of play on Iraqi asylum applications? Secondly, your open letter of 22 September has given the impression that applying for asylum as an Iraqi is no longer possible in our country. What purpose did that letter have, other than the betrayal of applying for asylum in our country? Thirdly, do you consider the situation in Baghdad to be safe? What reports do you base yourself on? Fourthly, what about Iraqis fleeing Iraq from war zone to Baghdad and coming from there to Europe to apply for asylum?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u31	Mr President, ladies and gentlemen, I would first like to say the following in relation to Baghdad. Mr. Hellings, you lack intellectual honesty. Your quote is incomplete. The way you present the mail I sent to the Iraqis is not entirely correct. Indeed, you claim that the letter reads as follows: "Since 2014, the situation in Iraq has changed in such a way that a return of the asylum-seeker to that region no longer poses a real risk to him." My missive says: "The security situation in Baghdad has changed since 2014 so that it is no longer such as to justify the fact that every asylum-seeker from Baghdad faces a real risk in case of return." Contrary to what you suggest, I never said that there was no risk to anyone, but that there was not necessarily a risk to everyone. The independent decision of the CGRA to change its protection policy towards Baghdad reinforces my view on this issue. When you quote, I would like to ask you to quote at least the full quote and not to highlight a small part of it, because that is, of course, a great deal of proof. That quote is literally from the decision stop, it is motivated and is on the website of the CGVS. That is not my quote, that quote comes from the Commissioner-General himself, that is not from me. So I think it is very brief what you are trying to do here, the game you are trying to play here. I have already said it to your colleague from the PVDA in plenary last week.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u32	[[...]]
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u33	I never said that Iraq is safe, that Baghdad is a safe city... I have never said that Baghdad is a safe city, and you should not insinuate that, because that is absolutely not right. I did mention the quote from the decision-stop. I see that the Commissioner-General's policy has also been adapted. A decision stop was first introduced and then an adjustment of the policy was made. Baghdad is no longer automatically 15C area. This means that Baghdad no longer automatically leads to recognition and at least subsidiary protection, often also to recognised refugees. That's what happened. In doing so, we are doing the same thing that the Netherlands did six months ago and what Finland introduced two weeks ago. Suddenly all those Baghdadi were in Finland, more than 300 a day. If you tell me that what I'm doing can't be done, you'd better put your ear to EASO, the European Asylum Office, to hear what's happening. You say that letter was sent. That's right, yes. This makes it clear to those people what the fork is like. It's not because the CGVS puts something on its website that everyone knows immediately. I think we can agree on that, too. I think it's important to inform people. If a decision stop is introduced, I think that is a very important fact. If one sees one getting a story, where, in two to three months' time, one gets six thousand to seven thousand Iraqis, 150 a day, almost all of them from Baghdad, all with the same story, I think that is a question of good policy, to be honest. I have never said that people from Baghdad will no longer be recognised as refugees. Nor have I said that people can no longer be protected in a subsidiary way. That was never said, neither by me, nor by my services, nor by the government. The government would like to inform people if a huge stream of information was suddenly launched through networks towards our country, which suddenly moved to another country after the decision and was seen before in another country. It happens from country to country, they are foamed off, we should not be naive in that. I think it is the responsibility of the government and of me as the competent Secretary of State to inform the people of the decision-making stop. I did not introduce that decision stop, but the Commissioner-General. If you know him a little bit, you will know that he does so in complete independence and that he will certainly not ask me what I think about that. I think it's a good policy. If the situation continues for other countries, I will do the same. I would repeat the same thing, and it is very important to work in this way.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u34	Mr President, Mr Secretary of State, I know that I have raised a lot of figures. I will ask them again in writing, because today's limited period of time does not allow you to quote them all. It seems interesting to me to know the numbers of them. Certainly also to know whether something will be reversed for those who have received recognition before the decision-making stop with such identical narratives.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u35	On the 150 a day yesterday there were 20 and the day before yesterday 26; so that has fallen very much since that decision-making stop and especially since that letter. So that has an incredible impact on the asylum figures. This also applies to the 200 euro Facebook campaign.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u36	Is it still the case for the applicants who were dealt with before that decision was taken and who also came up with that similar story or not?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u37	Each application will be dealt with as the Commissioner-General deals with the application.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u38	So no.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u39	If it turns out that they bring very stereotypical stories, it'll all be investigated to the core, and if it turns out that these are false stories, this will lead to a non-recognition, I suppose. But again, you should actually ask him that.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u40	From this I conclude that this will not be the case in practice, as Sarah Smeyers says. I want to take Mr Hellings out of his dream world and put him on the ground: those are indeed the lucky seekers, that is just a normal decision, all the data were there too. I am counting on more of these decisions to be made in non-insecure areas.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u41	Thank you for caring about my mental health. I assure you, everything's fine! Secretary of State, the question I asked you was whether you were working with Defence and Foreign Affairs. You didn't answer that. You write a letter that you finish in English, by "This is a genuine message from the Belgian government". That's what you're talking about. It's a message from the government. You are, it is true, based on a quote from the CGRA that you write in italics. But you talk about it and assume the political responsibility to send this mail. You do not want asylum seekers from Iraq to file their applications in Belgium. That's your goal. You know that there is a difference between your remarks and those of your colleague Vandeput in Defence or your colleague Reynders in Foreign Affairs. I have just come back from a follow-up meeting of missions abroad where the security situation in Baghdad has been mentioned. Our soldiers do not leave the barracks in Baghdad where they train Iraqi soldiers and you want to send Iraqi asylum seekers back to Baghdad. It's completely contradictory!
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u42	Mr Hellings, if you will excuse me, what you are saying is simply not correct. Firstly, there is no forced return to Baghdad. "Renvoyer' means a voluntary return, on which the parties concerned decide. It is wrong to say that there is a mandatory return. Secondly, again, I ask for intellectual correctness, please. Surely there is a difference between a travel advice from Foreign Affairs for Belgian citizens on the website and...
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u43	Well, is there a difference?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u44	Of course there's a big difference. Of course.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u45	So the security situation is good for an Iraqi but not for a Belgian?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u46	No, that's not what this is about. In the letter, the Commissioner-General says that the security situation in Baghdad has changed. That's what I'm quoting what he's writing. In his view, there are sufficient elements to assess the changed security situation. That's what it's about.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u47	The situation has not changed sufficiently to explain that asylum is not granted or in any case that it is not possible to apply for it.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u48	(...)
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u49	You're looking forward to the frost. You announce to the Iraqis in the asylum centers (...) May I speak!
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u50	I call Mr Hellings.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u51	Thank you, Mr. President. Secretary of State, you welcome the fact that the CGRA has changed its position with regard to the security situation in Baghdad and you are announcing to the refugee candidates that the decision has been frozen. In the meantime, the CGRA has completely independently returned to its decision, which is true and for good reasons. Indeed, the region's defence specialists, who were there six months ago and who are still there to train military personnel, believe that the security situation in Baghdad is catastrophic. You froze and you say to the Iraqis, "Don't come and ask for asylum because we're freezing."
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u52	Ni M. Van Overtveldt ni moi-même n'avons rien gelé. I sent a letter.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u53	You're telling the Iraqis that the CGRA has frozen the situation. What is the purpose of this letter? What is your goal? Your goal is for fewer Iraqis to come. However, the situation in Iraq justifies at least temporary or total protection. That's it! We disagree. MM. Reynders and Vandeput are not in your opinion either.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u54	Then you'll have to ask them questions.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u55	(...)
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u56	That's interesting to know.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u57	I call Mrs Smeyers.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u58	You probably asked Reynders if what I said was right. He probably...
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u59	Mr. Secretary of State...
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u60	Thank you, Mr Secretary of State, for your reply. Mr Hellings, you asked: This decision was not taken by the Secretary of State, but by an independent body, the Commissioner-General for Refugees and the Stateless. ♪ A quoi ça sert? ♪ Managing and controlling the largest influx of refugees ever. I believe, Mr Secretary of State, that you have succeeded well so far. Every day you face an incredible task, which is to manage that incredible influx. No one would have thought it would be this big. The figures you give show that this decision has not come too early; there is a decrease. Those asylum applications are still being dealt with, but in a different way. The protection status is no longer automatically granted. Everyone gets individual treatment. Even with this massive influx, it is still decided to go deeper into those files. It would be much easier to approve them in bulk, but we do not. The Commissioner-General's attitude is correct and correct. The only right general vision and attitude, including yours, is to manage and control that influx. So please do not be rushed by Members who leave the sitting while others still have to replicate. (...): (...) two committees.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u61	Well, that's a little bit of an interest perspective. Please don't let that...
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u62	I'd be ashamed.
