ParlaMint-BE_2015-10-21-54-commissie-ic252x.u1	Debates of the European Parliament Mrs Temmerman's 5175 is converted into a written question.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u14	Like I said, I'll follow the file. But the democratic control of the employer is the responsibility of the college and the police council of the area. I don't have a lot of skills in this. I think you have representatives there. They can therefore fulfil their role. I am obviously very concerned about the well-being of our police officers, whether federal or local, but the responsibility for monitoring lies with the college and the council of the area.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u15	Mr President, Minister, at the beginning of June we heard about your new recommendation for the fire department. After each extinguishing intervention, firefighters will have to remove their used firefighter's uniform immediately on site in order to keep contact with carcinogens as short as possible. In the case of local corps, this recommendation is very much welcomed as a step in the right direction. In the South East aid zone of the province of East Flanders, the committee on prevention and protection at work met recently. It is clear to everyone that exhaust gases from PAHs, VOCs, carbon monoxide and other terrible substances are highly toxic. It is not only the acute exposure to these substances that is very cancerogenic, but also the delayed release of absorbed substances in our clothing and other textiles such as car interiors. At present, only one intervention suit per person is available in the South-East zone. This means that firefighters have to perform all interventions with the same clothing. Due to the lack of spare clothes it cannot be washed in between. Recent testimony confirms this. Not only the inhalation of the exhaust gases is a problem during and after the intervention, but also the absorption through the skin and to a lesser extent the digestive system. Some interventions also involve risks such as asbestos fire and the burning of dangerous substances. Such interventions are subject to specific measures which unfortunately cannot be followed, because firefighters only have an intervention suit. For example, a full procedure on asbestos was developed by the KCCE a few years ago, which unfortunately cannot be followed because there is no spare clothing available. Minister, in many corps people row with the belts they have. That is a credit to them, but we must also recognise that the federal government has a great responsibility. I call for the federal government to assume its responsibilities, define good practice and provide the necessary support and follow-up for each fire zone to apply these procedures. Minister, I have some questions that have already been answered in part in your letter. Do you agree with me that washing fire clothes from the federal level should be better organised? What steps have been taken to this end? In the short term, I also advocate setting up a zone, either by post or by section, where a washing site can be provided. Here authorized persons can properly clean the clothes of their colleagues. In addition, in order to help stop particulates of soot gases, mass masks can be made available after an intervention, when compressed air is no longer handled. Perhaps in the past the government has long assumed that the firefighters are making their plans anyway, but now is the time to give our corps the support they deserve. I know that, as Minister of the Interior, you have a warm heart or should I say a heartfelt heart to our firefighters. I therefore hope that you will soon be working on a comprehensive plan to increase the hygiene of our operational firefighters in a sensitive and structural way, as well as to ensure their safety and health.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u16	Mr President, I can inform you that I share your concern about the health and safety of firefighters. That would still be wrong. That is why, as you said, your question dates back to before sending the circular letter, in July I published a circular letter covering not only the cleaning process, but also other important issues relating to proper handling of fire clothes, such as proper inventory. It is surprising to note that some corps do not inventory their clothes and therefore cannot record their age, with all possible consequences. In addition to proper inventory, this includes the assignment of colour codes, performance of the spray test, determination of damage, repair of damaged clothing and so on. All these aspects are addressed in the circular. Attention should also be paid to operational measures during and after intervention. However, I think it is right to add that the responsibility lies primarily with the employer, in this case the fire zones, to monitor well-being at work and to ensure that people can carry out their work in good conditions. This means that workers must have proper clothing and that all protective equipment, such as FFP3 masks, are available, as well as ensuring that the intervention clothing is maintained and cleaned. To support the areas therein, I have included in the amount of 12 million, planned as a subsidy for the purchase of rolling stock, clothing and protective equipment. The list of what can be purchased by these means now includes clothing for firefighters and personal protective equipment. So that list has been extended. Finally, let me examine new washing methods, such as washing with CO2. To this end, I have set up a working group, composed of specialists from the various fire zones, to draw up the specifications so that my services can launch a public contract, which will enable the fire zones to have an alternative in the foreseeable future. In addition to traditional washing with water, washing with CO2 will thus also be available after that market procedure.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u17	Thank you, Minister, for your detailed reply and your education. We look forward with interest to the results of the working group. The corps are also looking forward to further development. Especially about the cleaning process, the cleaning with CO2, has already been a lot to do.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u18	Mr.President, Minister, the Higher Council of Health issued in March 2015 a notice concerning nuclear accidents, environment and health in the post-Fukushima era. His advice is very clear since he states that in the event of a nuclear accident, the protection strategy is based on the rapid and large-scale administration of non-radioactive iodine to prevent thyroid uptake of radioactive iodine in accidental releases. He emphasized the development and planning of a rapid distribution strategy for target populations at distances up to 100 kilometres and more from the site of the accident. He stressed that he considered that populations with iodine deficiency were at greater risk. This risk is known. Iodine distribution is advocated in the event of a nuclear accident and we must be fully prepared for it. I asked your colleague, the Minister of Public Health, about these issues. To make it short, she's sending me back to you. I tabled my question last June. Mr Minister, my questions are as follows. What is the state of play in the development and planning of a strategy for the rapid distribution of non-radioactive iodine on the basis of the Council's recommendations to extend the measure to citizens living at a distance of 100 km? Given all the nuclear power stations on Belgian territory, it is the entire population that should benefit from iodine, but today iodine is only available to the inhabitants within a radius of 20 kilometres, with circles limited to a minority population. Are we going to move forward on this? In my view, this is a minimum protection that must be provided.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u19	Mr President, ladies and gentlemen, with regard to the issue of thyroid protection, various international and national bodies and organisations have delivered opinions. In addition to the advice of the Senior Health Council, an opinion is also expected from the AFCN Scientific Council for this month. The protection of the thyroid and the Belgian strategy in this area are one of many points of attention in the context of the updating of the federal nuclear emergency plan under consideration. This problem affects, on the one hand, the competence of the Minister of Public Health since iodine tablets have the status of a drug and that the individual distribution of these tablets is currently carried out through the circuit of pharmacists and, on the other hand, the competence of the Minister of the Interior, responsible for coordinating the provisions of the Federal Nuclear Emergency Plan. I would like to stress that, in addition to the distribution of iodine tablets in the 20-kilometre zone around nuclear facilities, stocks of iodine tablets are also available in civil protection units and that there is a national stock for distribution throughout the country as necessary. The current strategy for the protection of the thyroid during nuclear emergencies will be evaluated on the basis of its timeliness. A working group is currently being established in close consultation with my colleague from Public Health. It will be composed of the emergency planning and crisis management departments, both departments and AFCN. The aim of this working group will be to formulate a proposal for a strategy to the competent ministers and to implement the strategy finally adopted, including the dissemination of information to the population, doctors and pharmacists. It goes without saying that the opinions of the Senior Health Council and the Scientific Council of the AFCN will be taken into account and Greenpeace's position on this matter. At this level, the protection of children and pregnant women is always a focus. Finally, the Belgian strategy will be discussed with both the Netherlands and Germany. There is a consultation with these two countries on nuclear emergency preparedness. A further bilateral meeting with Germany is planned for the end of this month; not only the German federal authorities will participate, but the Länder Nordrhein-Westfalen and Rheinland-Pfalz will also be represented. Collaboration at the national and local levels takes place on a regular basis with the Netherlands between the corresponding bodies.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u20	Minister, thank you. I hear that the two ministers are going to consult each other because there is nothing worse than playing ping-pong with a minister who is referring to the other. Mrs. De Block sent the file back to you saying it wasn't her business. I hear we're going to work together with Health and the Interior, which seems obvious to me. Once the AFCN scientific opinion has been given this month, I would be interested in having it. With regard to updating the contingency plan, I believe that you will not be able to do anything other than integrate the need to work with a much wider scope of protection than it is today. Working on a 20-kilometre perimeter of protection based on what is known about thyroid cancer epidemics following nuclear accidents in other countries – I am thinking of Fukushima – would be totally unacceptable. We know it's the key factor in avoiding thyroid cancer. Having tablets only at the civil protection unit level is not enough because the time factor is a major factor. You mentioned the consultation for updates of contingency plans with the Netherlands and Germany. I insist that the same approach be taken with France, since there are nuclear power stations at the border. We must protect the boring people and the Namurians who are concerned by the French nuclear power plants and not only with the articulation of borders with the Netherlands and Germany.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u21	When I refer to the circle of 20 km, this is the old plan. We are in the process of drafting the new plan. As far as France is concerned, we are further on in the cooperation plans. The latter are more recent and well established than with the Netherlands and Germany.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u22	I repeat that the scope of the current plans, which is set at 20 km, is insufficient and must be extended to 100 km; it is therefore, in practice, a matter of covering the whole of Belgium. It is enough to draw concentric perimeters around all nuclear power plants and the entire national territory will be covered. It is necessary to change the current distribution and availability of iodine tablets and to adapt this to the situation. For France, some protocols are more recent. At the same time, history has shown that there are still shortcomings in the transmission of information. When there are incidents on the other side of the border, we find that on this side, we do not necessarily always have the correct information in good time. To obtain them three or six months later is not interesting in the area of secondary risk prevention.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u23	Debates of the European Parliament Mr Demeyer's 5518 question was converted into a written question. The combined questions Nos 5531 by Mrs Temmerman and 5600 by Mrs Schepmans are also converted into written questions. Debates of the European Parliament Question No 55, by Mr Kir has been converted into a written question, as has his question No 5549. 5550.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u24	Minister, Interpol has set up a Global Complex for Innovation (IGCI), a new centre in Singapore, far from here, in order to fight cybercrime more effectively. It is a collaboration between private and public players, which should also ensure technological innovation, including Kaspersky Lab, Trend Micro and Microsoft. The aim is to ensure that the police can use the latest technologies to cut off cybercriminals. In the IGCI there is a forensic lab, a bunker, especially to investigate smartphones and other things, highly sophisticated equipment to investigate cyber threats. Of course, police officers receive special training for such special tasks in order to identify these crimes on the Internet. So they have their own training to be able to better empathise with the world of the cybercriminals themselves. Most of the criminal cybernet activities happen on the so-called darknet. Darknet sites are dedicated sites on the Internet that are completely inaccessible unless they have keys via an anonymous network. Those networks, TOR or I2P, are therefore very special networks where one does not just enter. Interpol also uses such a kind of darknet but of course not for bad activities, but precisely for secure, good activities. For me, cross-pollination between private and public actors is an example of how the fight against cybercrime could happen in Belgium. That darknet is also something that has recently come to light in the case of child pornography. An Australian investigation has shown that a 45-year-old Mechelen there would have offered his 11-year-old child to paedophiles. At the moment, research and the fight against the darknet is certainly important. What about the CCUs? Are there any police officers monitoring the darknet? If so, what technology do they use? How many full-time equivalents are used specifically to monitor the darknet? How many actions have been taken in this regard? Are there any legal objections or obstacles to this? Does the possible absence of the police on the darknet include other security risks for the population? Have our police services already used Interpol's services with the IGCI?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u25	Mr Vermeulen, it would have given me a little more peace of mind today if we could have dealt with that question a few weeks earlier. After yesterday's P Committee, there was some swell. I'll answer your first three questions together. The purpose of monitoring or monitoring the Internet is to maintain public order and prevent crime in public places by mere presence. As such, this activity is part of the tasks of the administrative police and is legally permitted without any difficulty. Actually, patrolling the web is like patrolling the streets. That's completely comparable. The finality of monitoring is what matters. As soon as monitoring becomes legal in nature, becomes systematic and identifies specific persons and/or places, collecting information over longer periods and possibly with the use of technical aids, the legislation on the special detection methods is implemented. Such activities can only be carried out under the direction of a magistrate and within the framework of a specific dossier. Police, at both local and federal level, regularly investigate criminal activities on the darkweb within the framework of a specific file. Besides, the State Security will also analyze the web and the darkweb for the follow-up of specific files. For example, in a cooperation between FBI, Europol, FCCU, FGP Dendermonde and the police area Kouter, arrests were recently made of a number of suspects who were involved in drug offences on the darkweb. The mere patrolling of the dark web has so far been done with a half-time equivalent, according to the statements of the P Committee yesterday and today. We are working within the federal police on the development of an internetrcherche unit, which will take on this task. It will scan not only the Internet for terror, but also for child pornography, drug states and illegal trafficking. The systematic presence of the police on the dark web will undoubtedly lead to more crime being detected and addressed and will also have a deterrent effect. We're planning to start that cell on January 1st. In the first instance, five to ten full-time equivalents will be set. As regards your last question, as agreed in the channel choice model, Europol is the primary contact point for Belgium. If required, there will also be close cooperation with Interpol in European cross-border files. IGCI is still in full swing. Cooperation is currently limited to receiving intelligence reports. The Commissioner-General personally made sure that the specialists at the IGCI came to give training to our investigators here in Belgium. I might add the following. I have recently visited Interpol, especially the unit that deals with tracking child pornography on the net. I have to tell you, what these people are doing is impressive. This is being sent from Interpol, in cooperation with the Member States.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u26	Mr Minister, the information received yesterday and today by the media has, of course, made sure that a piece of the question had already been answered. In the meantime, we know where the shoe is and that things have been dealt with. I look forward with interest to the results of the Internet Trecherche Unit, which should be able to deal with matters effectively. Thank you for your answer.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u27	Mr President, Minister, during your visit to Herve last June, you drew attention to the growing problem of biker gangs acting outside the law. While the Netherlands and Germany are strengthening their legal possibilities, Belgium is still waiting, which is why some groups are coming to our border region. Mr Minister, I welcome the fact that you have taken note of this problem which, as you know, is topical in my region. Minister, are there specialized units within the federal police for this kind of crime, as is already the case in our neighbouring countries? If so, are there regular consultations between the German, Dutch and Belgian police services? Are you considering taking further action within the police on this issue? If so, which ones?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u28	Mr President, Mrs Jadin, both in the local police areas and in the deconcentrated services of the Federal Judicial Police, the police personnel carry out, as part of their routine tasks, the investigation of cases involving criminal motorcycle gangs. In addition, the road police are also aware of the problems of the same gangs. The federal police have as a priority the fight against organised crime, a mission for which a comprehensive and integrated programmatic approach is implemented. Let's be clear, motorcyclists' criminal gangs are an example of organized criminal organization. As early as 1996, a specialized service was established at the national level to monitor the problem of motorcyclists' criminal gangs. The tasks of this specialised department as well as the "Highsider" project of DG SOC, which deals with serious criminal organisations, are partly reflected in the confidential circular of the College of Attorneys General (COL 6/2009) on motorcyclists' criminal gangs. The purpose of this circular is to frame legal proceedings in a structured and coherent manner and to propose an administrative approach to the phenomenon. A reference magistrate is appointed to monitor the problem within the Federal Public Prosecutor's Office. In order to ensure optimal follow-up, a network of investigative experts composed of members of the Federal Judicial Police has been established. These contact persons have a more advanced knowledge of motorcyclists' criminal gangs, which can be activated in investigations that show links to the problem. The cooperation between the Highsider project and other European and non-European countries is part of the classical international police cooperation. Information is exchanged through existing platforms where the problem of motorcyclists' criminal gangs is one of the areas of activity. For Belgium's direct neighbours, mention may be made of the Heerlen Centre for Police and Customs Cooperation, the Office voor Euregionale samenwerking, which brings together the German, Belgian and Dutch police services and magistrates, as well as the NeDeBeAgPol, the association of police officials within the Euregio Meuse-Rhin, which deals with trilateral police cooperation. At European level, it should be mentioned that Europol has established a surveillance platform specifically dedicated to the issue, called "Monitor", which prevents criminal activities of criminal bikers' gangs and provides support in the management of events where these gangs are represented. Most recently, the organizational framework of the Federal Police "Highsider" project has been completed. There are now four police officers; the evolution of the phenomenon of new biker gangs and the optimisation of federal police services will require more than likely an adaptation of the approach as implemented so far. For an effective fight against criminal biker gangs, it is essential that an administrative and judicial approach be developed in perfect harmony. This requires, inter alia, that the authorities have a legal framework in place to enable the exchange of relevant information in their possession. With the administrative approach, various possibilities that fall outside the traditional framework of criminal prosecution are offered to the authorities to prevent or try the offence committed by criminal bikers' gangs. This approach is certainly foreseen in the context of the comprehensive security framework note being developed. In addition, this aspect is based on numerous scientific research on this subject. Without wishing to be exhaustive, I refer to the analyses of Professors Brice De Ruyver, Dirk Van Daele, Cyrille Fijnaut and researcher Michaël de José de l'Euregio Meuse-Rhin. I would like to draw inspiration from their work and recommendations. I met different mayors of Limburg, the border area. They received a presentation of the "Highsider" project. They also asked me to establish international contacts. At the last JHA in early October, I put the criminal biker gangs on the agenda. I have received the support of the whole Council of European Ministers to understand this phenomenon through the European Commission. We have also signed a small convention between Germany, Luxembourg, Belgium and the Netherlands, according to which we will exchange our respective information and meet regularly to examine the measures taken in the various countries and align them. You're right, you mentioned it in your question. Germany has adjusted its law and the Netherlands has put in place an administrative policy to put pressure on it. We already have our "Highsider" programs. An alignment of the different approaches must be considered and this is the purpose of this small convention.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u29	Minister, thank you for your very comprehensive answer. You know that I am delighted that you have taken to heart the problems of my region. It is a border region with problems of criminal biker gangs and all administrative and judicial problems that go hand in hand. This is regularly highlighted by the police services in my area. I welcome the efforts that have been made in this regard with this Convention. I have also heard in your reply the importance of the platform, which I invite you to come and visit one day, set up by the various police services of the Euregio Meuse-Rhin who are trying to work in a more coherent way and therefore to speed up the work, especially in this field. Of course, that's welcome.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u30	Mr President, Minister, on 16 March 2015, AREVA finalized for its Electrabel customer the delivery of the new tank cover for Unit 3 of the Tihange nuclear power plant in Belgium. This stainless steel component of more than 60 tonnes is expected to be installed as part of the cut-off maintenance operations. Mr. Minister, you are aware of the difficulties that the same AREVA manufacturer of the EPR tank lid has at the moment raised by the failure to manufacture. Can you tell me if the method of making this lid for Tihange is the same as that used for the EPR lid? Can you assure me that this lid for Tihange has been subjected to the necessary tests to verify that it does not suffer from the same defects as that of the EPR? Can you reassure us completely that this Tihange 3 lid is safe and safe?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u31	Mr. Nollet, the new cover of the Tihange 3 reactor and the cover of the Flamanville EPR were not produced by the same manufacturer. In Belgium, AREVA was in charge of coordinating the project for the finishing of the forged part, but the actual manufacture of the new lid took place at Japan Steel Works. The cover of Flamanville's EPR comes from the French firm Creusot Forges, a subsidiary of AREVA. While the new Tihange 3 reactor cover and the Flamanville EPR cover have both been forged with a single piece, their respective production processes show some differences. On the basis of these differences, one can in principle exclude the possibility that the Tihange 3 lid suffers from the same defects as the cover of the Flamanville EPR. In any case, AFCN and BelV impose strict quality requirements for the new Tihange 3 lid. Even before the problem with the Flamanville PRT was announced, AFCN and BelV had already requested additional tests to ensure that the quality level of the new lid exceeded the level prescribed by the ASME code for nuclear pressure equipment. After the French nuclear safety authority informed him of the manufacturing defects of the EPR lid, the AFCN conducted a first literature review. This analysis showed that it was unlikely that the new Tihange 3 lid would have defects as the production process was different. However, AFCN requested the operator Electrabel to carry out additional measures to demonstrate that the new lid does not have any such defects. These measurements were carried out and the results were transmitted to AFCN prior to the launch of Tihange 3. The results confirmed that the Tihange 3 lid has no such defect. The AFCN therefore approved the delivery of the new lid.
