ParlaMint-BE_2015-02-11-54-commissie-ic092x.u1	Maya Detiège requested the postponement of her question No. 1835.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u12	The problem of air quality and, in particular, the pollution of fine dust is one of my main concerns. This pollution is, of course, detrimental to the health of our people, but also to our economy. However, in accordance with the special law of 18 August 1980 reforming the institutions, most of the environmental policy falls within the competence of the regions. This is the case for the control of the risks associated with the presence of the airport and the measures for the exposure of the population. As regards the protection of workers, I would refer you to my honourable colleague and Minister for Labour, Mr Kris Peeters. Given the division of powers between the Regions and the federal authority with regard to airport operations, air management and airspace and the environmental impact of air traffic, the Government will enter into cooperation agreements with the Regions. I would refer you back to my adorable colleague, the Minister of Mobility, Mrs Jacqueline Galant. You will have to commute between the different committees.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u13	That's why you haven't seen me here. I'm running from commission to commission.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u14	As regards the quality of fuels, their sulphur content and the performance of engines, Belgian standards in this regard would have no effect in view of the international nature of air traffic. It is mainly through a pooling of the effort to reduce emissions at European level that we will manage this pollution. I will therefore continue to plead with the European Union for further strengthening the environmental standards applicable to the air transport sector. Belgium is, moreover, one of the Member States of the Union which has reacted, interlocked, defended and finally secured the retention of the Clean Air package in the work programme of the new Commission.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u15	From the locker to the wall.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u16	Minister De Block has forwarded me to you for this question. I wonder how many ministers you will list. The most recent European air quality report from 2014 shows that particularly vulnerable groups bear the consequences of fine dust. Especially in the first years of life, this has an important impact on the development of the child. Later too, it can cause diseases. So children are the first victims. The poor quality of our air is responsible for 20% of cases of acute bronchitis in children. Prenatal exposure to fine dust leads to disease at a later age. That's why I asked Minister De Block my question first. This is not only disturbing for public health, it also costs our system a lot of money. The European Commission has also calculated that this will lead to a loss of many millions of working days, while this government is asking that we all work longer and more. What will you do to protect our children from fine dust? What will you do to defend the clean air policy package and the strict European standards? How will you convince your fellow ministers to make this a priority? Will you calculate whether stricter air quality standards can lead to cost-efficiency?
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u17	Mrs Dedry, the problem of air quality is an important challenge for Belgium. Its cost, including in the area of health care, is indeed excessive. Vulnerable groups, such as young children whose lungs are not yet fully developed, are particularly sensitive. They must be better protected, first and foremost by reducing air pollution. However, under the Special State Reform Act of 8 August 1980, most of the environmental policy and prevention policies in the field of public health fall within the competence of the Regions and Communities. For example, air quality standards fall within the scope of the European directives which are transposed by the Regions in Belgium. A unilateral policy of Belgian standards would, moreover, make little sense, given the cross-border nature of this type of pollution. It is also through a pooling of effort at European level that we will manage this pollution without undermining the competitiveness of our companies. As part of the National Environment-Health Action Plan, in collaboration with my colleagues in Health and the Environment at different levels of authority, I am involved in the implementation of a certification in environmental medicine. This certification should enable health professionals to better manage pathologies related to environmental causes. In terms of federal jurisdiction, this certification will need to be recognized and various tools adapted to enable environmental determinants to be taken into account in medical practice. I am thinking in particular of the introduction of certain environmental factors related to air quality in the computerized medical file. I refer you for more details necessarily to my honourable colleague, the Minister of Health, Maggie De Block. A new federal air pollution control plan will be presented shortly. The plan will include a number of measures in the areas of transport, taxation and product standards. The aim will be to support the Regions and to comply with European air quality requirements. The Clean Air for Europe strategy and, in part, the package of measures currently under discussion within the European Union must be properly and fully implemented. Our goal of breathing healthy air, in line with the recommendations of the World Health Organisation, is and will remain a major challenge for the European Union for 2050. The federal government must no longer be convinced of the importance of air quality, in order to demonstrate that one of the important federal levers remains taxation. It will not have escaped your notice that the government agreement provides for an important tax reform and a shift from labour taxation to, among other things, environmental taxation. Through greener taxation, the government also aims to encourage sustainable choices, improve health and protect the environment. In concrete terms, the government has already opted to phase out the price advantage to the diesel pump in the fight against the car fleet's diesel engine, which is largely responsible for the many pollution peaks.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u18	Madam Secretary, thank you for your answer. I'll keep following it.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u19	As announced at the beginning of the sitting, Question No 1835 by Mrs Detiège was postponed.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u20	Minister, the EU's Climate-Energy Package 2013-2020 sets two legally binding targets for Belgium to achieve by 2020: to reduce by 15% our greenhouse gas emissions in non-ETS sectors and to achieve a 13% renewable energy share. These objectives must be implemented jointly by the Regions and the federal government. The 2013-2020 package is also a source of financial revenue through the emissions trading system. In simple terms, "ETS sectors need to buy emission allowances in order to be able to pollute". Some of these emissions are auctioned by Member States. Belgium thus obtains income. These revenues must also be distributed between the Regions and the federal government. These elements have been the subject of inter-federal negotiations since 2009. This has not been achieved to date, in any case in a comprehensive manner. The Consultation Committee on 28 January has again considered this thorny issue. I would therefore like to ask you the following questions. What decisions were taken at the Consultation Committee on 28 January on this matter? What part of the effort in terms of reducing greenhouse gas and renewable energy emissions are you going to propose to take over from the federal government and what part of the ETS revenue you feel you have to go back to the federal government? What is the amount of revenue from the auctioning of currently accumulated CO2 allowances? Can you confirm to me that this money is being held up pending an agreement between the Regions and the federal government?
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u21	Mr President, ladies and gentlemen, I attach the utmost importance to the question of sharing efforts on the European climate-energy package and the distribution of revenues from the auctioning of emission allowances. This case was too late. It has therefore become increasingly urgent to conclude an agreement between the Regions and the Federal State in order to ensure that Belgium is able to fulfil its international commitments and can carry out the various actions required for the annual monitoring of the implementation of the various elements of the package in due course this year. The Consultation Committee, which met on 28 January, instructed the National Climate Commission to resume negotiations without delay on the sharing of the objectives of the Climate-Energy 2013-2020 package between the federal government and regional governments. It was also agreed that the government of the entity chairing the National Climate Commission, namely that of the Brussels-Capital Region, should be entrusted, after consensus within that committee, with proposing to the Concerted Committee a draft political agreement on the allocation of efforts, together with a work plan to finalize the administrative procedures for its implementation. As regards the federal contribution to efforts to reduce greenhouse gas emissions, it was agreed in the framework of the government agreement that the Regions would be supported in their climate policy, as well as in their air quality policy, with support in the areas of taxation, biofuels, bicycles, product standards, energy efficiency of federal public buildings and railways. This, together with efforts on renewable energy – offshore wind – will be the federal contribution to the achievement of the European Union's 2020 climate-energy package in Belgium, in the context of a balanced distribution of efforts and revenues from the auction of CO2 emissions allowances. In concrete terms, my proposal is to build on the elements defined by the previous government in the discussions held in late 2013 and early 2014, which are consistent with the agreement of this government. Negotiations with the Regions at the time had almost been concluded, with a consensus on most of the elements, with the notable exception of the distribution of revenues from the auctioning of emission allowances. It seems reasonable to me to build on the achievements of the previous negotiating phases, which took place in the presence of the same players as those at the negotiating table today, in order to facilitate the conclusion of an agreement and not to start all over again. I have therefore asked my partners in the government to reconfirm the previously determined federal offer. This offer includes four points that I'm going to detail. First, with regard to the emission reduction target in non-ETS sectors: the continuation of existing policies and measures, whose effect is estimated at 15,250 kt of CO2 for the period 2013-2020 and the introduction of new policies and measures for an additional emission reduction of 7,000 kt of CO2. Secondly, as regards the renewable energy target: a double commitment to take all the measures necessary to contribute, via offshore wind production, to a minimum share of 2% of renewable energy in the gross final energy consumption in 2020 and to achieve the full renewable energy target in transport, i.e. 10%, with a revision clause in the cooperation agreement in the event of a revision of the European energy regulation and provided that the Regions undertake to continue and/or strengthen their policies and measures in this sector. Thirdly, as far as revenues from the auctioning of emissions are concerned, a share of 20 to 30% goes to the federal government. This range is consistent with the federal share in efforts to achieve the objectives of the Climate-Energy package. Finally, with regard to international climate finance, a commitment to allocate 10% of the revenues from the auction of emission allowances. This policy is also in the context of an energy vision that will enable the socio-economic and environmental transformations required over the next 20 to 25 years and will also contribute to the transition to a carbon-poor society essential to limit global warming to a maximum of two centigrade degrees compared to the pre-industrial era. As far as the revenue from the auctioning of emission allowances is concerned, I can confirm that, in accordance with the decision of the Conciliation Committee of 11 December 2012, the accumulated revenue of 3 February amounted to €222,952,660 will remain in the account in which it is located until the conclusion of a cooperation agreement on their allocation.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u22	Minister, thank you for the completeness and quality of your answer. I also welcome your willingness to conclude negotiations on the basis of the elements that you have reminded us and which, I am sure, will be the subject of a long-awaited agreement in the coming weeks.
ParlaMint-BE_2015-02-11-54-commissie-ic092x.u23	This therefore puts an end to our working session. I would like to thank the minister and her staff, the committee secretariat and the translation.
