ParlaMint-BE_2015-10-28-54-commissie-ic262x.u1	Questions Nos 4227 and 4228 by Mrs Fonck are converted into written questions.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u16	Mrs Lanjri, I can tell you the following. The government is indeed planning to raise minimum pensions to 10% above the poverty threshold. As part of the welfare envelope, which was raised again to 100 %, minimum pensions were raised by 2% of their amounts on 6 September 2015, i.e. EUR 1,145.80 for a single person and EUR 1,431.80 for a family pension. Moreover, since June, the so-called "small minimum pension' for a mixed career worker-self-employed person has been as high as the ordinary minimum pension for an employee. From 1 August 2016, the minimum pension for a self-employed person will also be raised to that of the employees. So we are definitely on the right track. The prosperity envelope for 2017 and 2018 will allow us to further increase the minima. For the family amount, the difference between the objective and the current amount is greater than that for single persons. This is due to the ratio between the amounts for families and single people. The amount as a single person is multiplied by 1.25 to arrive at the family amount. Therefore, the ratio between the amounts of the poverty threshold is different. Let us not forget, however, that not every family should do it with a family sum. More and more people are building up their own pension rights which reduces the granting of family pensions, which is a very positive development. Now, if both spouses receive a minimum pension as single for a career of 33 years or more, then today they already exceed the poverty threshold for a family. I will keep a table available for you, which will take back the number of people with a full career and a minimum guaranteed pension.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u17	Mr President, Minister, thank you for your reply and the additional information. I hope that I can also find out how many people we are talking about for which the gap has yet to be bridged. However, I do not think this will be the case. As far as I can tell, this isn't in the table. You said that the welfare envelope was first applied in September. A number of other corrections were also made. As you yourself know, the difference for a family pension is enormous. More specifically, it concerns 250 euros. I fear that we will not get rid of this difference with the welfare envelope alone. I think it will take more than the welfare envelope. Mr President-in-Office, what steps do you have to take to ensure that, in addition to the welfare envelope, additional resources are available to eliminate this difference? After all, we will not get there with the wealth envelope alone.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u18	The social partners need to find a solution to the 2017 and 2018 welfare envelope.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u19	The prosperity envelope to the end of this legislative term amounts to EUR 1.2 billion. We're not gonna get rid of the difference with the welfare envelope alone. As we have laid down this ambition in the coalition agreement, I believe that the government should also provide additional resources. I will support you in that.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u20	Okay, thank you.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u21	That ambition must be fulfilled. The government has committed itself to this. The wealth envelope exists, but with that wealth envelope alone, it is impossible to raise all the benefits to the poverty line. Nor can we allow all minimum pensions to rise 10% above the poverty line. This cannot be achieved by EUR 1.2 billion. That would require EUR 3 billion. Unless the government increases the budget of the welfare envelope from 60% to 300 %, it will still have to look for alternatives, Minister. How do you intend to realize that? How many people are we talking about in total? I can't tell that from the table.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u22	That will be evident from the budget negotiations. There is a table with the number of people.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u23	Those are the ones that are at the minimum. How many people are below the European poverty threshold?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u24	That's what's in the current table.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u25	I'll check it out. If it's not clear, I can ask another question. If you still have figures, you can add them to the report.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u26	Questions Nos 4744 and 6408 by Mr De Roover and Mrs de Coster-Bauchau respectively were postponed. Debates of the European Parliament Mrs Fonck's 4766 will be converted into a written question.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u27	Mrs. Fonck apologized.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u28	Minister, I am obviously pleased with the increase in the minimum pension for mixed careers. Pensioners who have worked as employees and as self-employed and who benefit from a small pension will see this increase. That's very good, but you're presenting this as a "government gift." That's what bothers me because this claim, this appropriation seems a little abusive to me. In fact, as you know, this is the result of social consultation. This measure is the result of the work carried out by the social partners in the context of the distribution of the welfare envelope and not by the government. This has been spelled out in a press release from the liberal union which states that "you are trying to recover the work of the social partners without ever quoting them". I join them in lamenting this attitude. Having said that, I welcome the fact that this time you have decided to implement the agreement of the social partners. That is to be stressed, it is not necessarily frequent! In addition, you promise an increase of 141 and 169 euros per 250,000 pensioners. You also mention this in your tweet of June 11, 2015. Based on the information in my possession, it is not 250,000 pensioners who will see their pension increase by more than 140 euros per month, but only a few. Indeed, in the vast majority of cases, the pensioners concerned will receive only a few more euros but this is already happening! Minister, my questions are very simple. Do you recognize that it was social consultation that led to this positive measure and that it is not simply a "gift from the government"? Can you confirm that it is not 250,000 pensioners who will see their pension increase by 140 euros or more? Finally, can you tell me in detail what, by category of pensioners, the increases are planned?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u29	For starters, could you provide me with a text from which I would have said that this is a government gift? I never said that. It's a phraseology that I never use. I never use the word gift as part of government policy. I don't think you'd find a quote like that. There are some shortcomings in the current minimum pension. Especially for people who have had a mixed career, this is a very important and growing problem. The reform of minimum pensions must provide a solution. Each career will count for the career condition that gives rise to the right to the minimum pension, regardless of the plan in which it was performed. I shall shortly be submitting a proposal to the government and the social partners. As far as minimum pensions are concerned, I confirm that the government has decided to raise social benefits in line with the proposals made by the social partners. Of course, we raised the welfare envelope from 60% to 100%. It's a government decision. We have, in a joint meeting between the Government and the Group of 10, clarified the elements that should be given priority in this agreement. There was still a need for adequate budgetary resources. This is what the government has done by fully re-establishing the well-being envelope. As a result, nearly half a billion will be spent on pension revalorization over the 2015-16 period, exactly double what had been reserved for pensions over the 2013-2014 period. The size of the budget made it possible to release 118 million, or 43 million in 2015 and 75 million in 2016, to redress an injustice suffered by pensioners who had a mixed career as an employee and self-employed. Because of their mixed career, they are often unable to meet the condition of 30 years of career under one of the two statutes, which is necessary to obtain the minimum pension in the paid or self-employed scheme. Unrighteousness is even greater when it comes to people who have sometimes spent 45 years in their entire career. The amount of the minimum pension for a mixed career is subject to a much less favourable specific calculation since it provides for a minimum pension amount for the career provided as an employee much lower than that provided for the minimum pension of the employee's scheme. This amount has been aligned with the minimum pension of the employee scheme. Since 1 June this year, it has increased from EUR 954 to EUR 1,123 per month, an increase of EUR 168.98. At the "household" rate, it rose from €1,262 to €1,430, an increase of 140 euros. Of course, as you know, this amount must be applied to the career actually provided by the pensioner concerned. I never considered that everyone would receive 141 to 169 euros more each month. In a press release, which I can provide you with a copy of, I made it clear: "This increase will vary between 20 and 30 euros, and up to 120 to 140 euros. Not all people will benefit from this maximum increase." That's exactly what I said in my statement. I therefore give you the figures provided by the administration, taking the number of beneficiaries per €20. I'll attach a table to the answer. Increases range from zero to 169 euros depending on the careers provided. While the vast majority of pensioners benefit from an increase of between zero and 100 euros, there are still more than 10,000 pensioners who will benefit from an increase of more than 100 euros. These increases are the result of the revalorisation of the holiday pay in May and were followed by a further revalorisation of 2 % of the minimum pensions at least in September. The beneficiaries of a minimum pension for mixed careers will still benefit from the full equalisation of the minimum pension for self-employed persons with that for employed persons, scheduled for August 2016. There will of course always be sorrowful minds to consider that this is not enough. One thing is certain: it is this government which has, since the introduction of the law on the pact of generations in 2005, devoted the most important budget to linking pensions to well-being. You will find, like me, that the total number of beneficiaries indicated in the administration table is exactly 146,873. The difference with the 250 000 beneficiaries announced is due to the fact that this catch-up operation was, for the initial budget estimate, broken down into two separate operations, each assigned to an estimated number of beneficiaries. On the one hand, the alignment of the basic amounts of the minimum pension based on a mixed career for the basic amounts of the minimum pension guaranteed in the self-employed scheme concerns 111,359 pensioners. On the other hand, the alignment of the basic amounts thus increased with the basic amounts of the minimum guaranteed pension for employees, based solely on the consideration of the career of employees, should concern 142,936 pensioners. It was finally decided to upgrade the minimum pension in a single stage, on the understanding that most of the persons involved in the second stage were already in the first stage. The attached table is constructed at the outset of the data used to estimate the welfare envelope. It includes the number of salaried pensioners who, according to the estimate, benefit from a gross increase in retirement and/or survival pension per €20, following the alignment of the basic amounts of the minimum pension based on a mixed career as an employee and self-employed person with the basic amounts of the minimum pension of salaried workers based exclusively on the taking into account of the career of salaried workers.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u30	Thank you for these points of answer. I am pleased to have the tables in order to be able to analyse these figures better. As I said in the question, we can only welcome the increase in pensions, particularly the minimum pensions. This responds to an existing injustice. I note that you acknowledge that your tweet of June 11th was perhaps a little simplistic and a little reductive.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u31	The tweet is the reproduction of the title of La Meuse's article.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u32	A Minister of Pensions could grade a press article title...
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u33	In a tweet, it is difficult to nuance!
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u34	But you're taking it back. I also note that you acknowledge that you have applied the outcome of the agreement of the social partners by making this improvement. Thank you!
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u35	Mr President, Minister, one of the previous questions mentioned the generalisation of supplementary pensions, which is important for workers. However, contractual staff in public enterprises are often not included in such a generalization, or that category of personnel is not immediately considered. However, this is also an important group asking for a complement, as is foreseen for employees. In my view, this is certainly important when a split system for civil servants is set up, before or after the permanent appointment. In July 2015, I submitted this question, because during that period I read in the press that you are proposing to set up a kind of insurance group for this category of staff, such as in the private sector. I would like to stress once again that I think it is important to think about setting up such a supplementary pension system in time and to provide the necessary regulatory framework for that purpose. In Flanders, most local authorities started building such supplementary pensions for their unappointed staff in 2010. Some municipalities pay minimum amounts, while others have provided for higher percentages. You announced that you were thinking of some kind of insurance group. With my question I would like to ask what role we can and will play in this as a federal government. The federal government also employs a few contract staff. Mr Minister, how exactly do you intend to organise the second pension pillar for unargued staff? Which officials would be eligible for this? Would minimum guarantees be imposed? In what way would the second pillar be operational? If so, do you foresee that the existing systems will continue to exist or be taken over into the insurance group, if any, referred to in that newspaper article?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u36	Mrs Becq, I intend to adapt the legal framework of the law on supplementary pensions, which applies to employees, in order to address the problems of application of the law on contract staff. Several ministers have already tried to draw up proposals, but without success, which demonstrates the difficulties associated with the exercise. In parallel with this initiative, I will introduce the mixed pension. In the case of a mixed career as a contractual and permanent official, the statutory pension will be composed of an employee's pension for the years worked as a contractual and a civil servant's pension for the years following the permanent appointment. I will lead these yards with respect for social dialogue. Departing from this framework, the government agreement provides that the government will start developing a supplementary pension scheme for contractual staff of the federal government. It is too early to be able to give you more details on this matter. The applicable guarantees relate to the guarantees already provided for the employee. After all, I would remind you that the law on supplementary pensions for employees already applies to supplementary pensions built up in favour of contractual public staff. The adjustments I will make will not question the principle of building up a supplementary pension in favour of their contractual government staff, particularly by certain local authorities in Flanders.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u37	Minister, I understand that you want to start the supplementary pension system in parallel with the introduction of the mixed pension.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u38	That's important.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u39	I think that is also very important, so I would like to repeat that point. That is one of the reservations: a civil servant's pension may be higher, but supplementary pensions are not taken into account. You will also amend the law on supplementary pensions in such a way as to include a number of elements relating to contract staff. You will also involve social dialogue. May I therefore assume that you will make the adjustment more general, including any other reservations that might arise from the social partners. I think, for example, that Mr De Roover is no longer a question of transparency, an important element in the whole, which could be incorporated into the legislation. The question remains, of course, as to how long it will start. I understand you haven't seen the end yet, but the timing was also a question.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u40	Mr President, Minister, some pensioners are receiving an additional retirement rate today if they have made pension payments during their career under previous legal provisions. In general, this is of course something positive that is eager to be accepted and collected. However, there are cases where older people, who benefit from their pensions, suffer from this additional old age rate. I know someone who receives a little more than EUR 17 per month of extra old-age interest, which means that the person goes beyond a certain limit and is no longer able to benefit from the preferential rate of the sickness fund, which entitles him to a higher reimbursement in the health care sector and a number of other social benefits. Sometimes this extra old age rate ensures that people are just above the allowed limit. It would therefore be more advantageous for those people to be able to give up this old age rate. My question is as follows, Minister. Can you see if it could be made possible to waive the old age rate?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u41	Mr President, first of all, I would like to point out that interest rates, which began on 1 January 2001, are paid as capital. The problem raised does not arise in respect of this interest, since interest is no longer paid on a monthly basis. It is not possible to waive an old age rate, and I am not in favour of changing anything about it. Allow me to explain why. As a pension income, a person receives only a pension that is just 5 euros above the limit for the preferred rate. This person cannot choose to reduce his pension amount by 5 euros in order to benefit from the preferred rate. As a pension income, his neighbour receives both a pension and an old-age pension amounting to the same total amount. I do not think it would be appropriate, simply because a person has two parts of his pension income, to waive some of his pension rights in order to benefit from a preferential rate. Moreover, this does not seem to me to be a pension problem. Persons with a different income may also just cross an income line. People will always be just above the income limit of a statute or tariff. I think it would be appropriate for the relevant ministers of each benefit or statute to have a thorough reflection on the respective conditions of access.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u42	Mr President, Minister, I agree with your last remark. Certain limits have never been indexed in the past, causing problems for people. I know, apart from pension problems, situations where people start to work less at some point, because, for example, the accumulation with their husband's invalidity allowance is at risk. So it would perhaps be a good thing if you and your fellow ministers in the government could make the global exercise. There are situations where we do not want them to happen today. It would be good if we could find a solution. Thank you, however, for your answer.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u43	Question No 4938 by Mrs Fonck is transformed into a written question. Question No 5132 by Mrs Thoron is also transformed into a written question.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u44	Mr Minister, my question concerns the survivor's pension for civil servants in the public sector who are divorced. As you know, in the event of death, that survivor's pension is distributed pro rata between the surviving spouse and the divorced spouse. According to the information I have at my disposal, the husband who is divorced must in principle apply for the survivor's pension within the year following the death of the ex-husband. In a judgment of 24 May 2006, the then Arbitration Court, now the Constitutional Court, held that this legislation infringed the principle of equality. According to the Arbitration Court, there is no reason to make the entitlement to the survivor's pension more difficult for the divorced spouse than for the surviving spouse. In addition, in a judgment of 17 February 2011, the Belgian State was ordered by the court of appeal in Ghent to compensate for the damage resulting from this discriminatory legislation. You can read that in the written version of my question but I will not read it all out here in his wisdom in the judgment decides to condemn the Belgian State, on the basis of Article 1382 of the Civil Code, for committing an error by continuing to distinguish in his legislation, which has caused damage to the ex-husband who has been deprived of the right to receive the survivor's pension, whereas it is automatically granted to the surviving spouse. Since then, according to my information, nothing has changed. I may have been misinformed, but so far I have no knowledge of any changes. Do you have any idea how many people this legislation, which is considered discriminatory, would cover? Do you intend to amend the scheme in question so that it is no longer discriminatory? If so, do you intend to do so in the short term and include it in further reforms in the future? How does the administration interpret the law in the meantime? Is it interpreted and applied in accordance with the Constitution?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u45	Mr President, following the judgment of the Constitutional Court of 24 May 2006, the Public Sector Pension Service has adapted its method of granting a survivor's pension to the divorced spouse who, together with the surviving spouse, is entitled to a survivor's pension. This adapted approach has been in place since September 2006. A distinction must be made in this respect, depending on whether the survivor's pension is granted because of the death of the pensioner who already had a retirement pension or because of the death of a person who was still in active employment. In the event of the death of a pensioner who was entitled to a retirement pension, the PDOS of its own motion examined the right to survivor's pensions of the surviving spouse. If, at that time, the PDOS can establish, on the basis of the information available in the National Register of Natural Persons, that, in addition to the surviving spouse, there is also a divorced spouse, the PDOS shall inform the divorced spouse by registered letter of the husband's death. In the event of the death of a staff member who was still employed, no ex-post examination of the right to a survivor's pension for the surviving spouse is carried out, since the PDOS does not have any pension records in the name of the deceased person. Consequently, in this case, the PDOS may not notify the spouse who is divorced until the surviving spouse has applied for a survivor's pension and, of course, on condition that the spouse who is divorced can be identified on the basis of the information available in the national register. Following new technical developments in the pension portal, it will be possible in future for the PDOS to examine, even in the event of the death of a person who was still in active employment, of his own motion, the right to public pension of the surviving spouse. Those developments will indeed allow PDOS to determine, in this situation, on the basis of the information available in the National Register of Natural Persons, whether there is, in addition to the surviving spouse, an actual divorced spouse and to invite them to apply for his survivor's pension. From that moment on, therefore, the PDOS will no longer be dependent on the application of the surviving spouse to examine the rights of the divorced spouse of the staff member who died in active employment. Finally, I would like to inform you that a draft royal decree is being prepared to give the aforementioned a regulatory basis. As far as the number of staff involved is concerned, I cannot give you an answer. In order to provide an answer, the personal data from the National Register of Natural Persons should be examined.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u46	Minister, your answer has given a great deal of clarity. Firstly, I conclude from the fact that a draft royal decree is on the way to overcoming PDOS' new working methods. Secondly, I understand that since the 2006 judgment, it has not changed the framework but has changed the way the administration operates, so that the distinction between the surviving spouse and the ex-husband is removed. For pensioners PDOS itself warns by registered letter. I believe that this has achieved equality of treatment. In the event of the death of employees in active employment, I understand, this is less evident, because that information is not present at PDOS. I hope that the Royal Decree and digitisation will be there soon, so that this working method can be implemented and that the Belgian State will not have to pay damages. Minister, your answer has made much clear, and thank you for that.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u47	Minister, I will ask a question about an area that you know well, not only as Minister of Pensions, but also because of your training and your former private activity. It concerns medical specialists in training. I had been dealing with this file in part at the time. We had worked on a status for general practitioners in training. For medical specialists in training there is a real difference which is due in particular to the length of the training of specialization. They are in demand of a real status. At the same time there remains a lack of separation of roles between the employer and the trainer, but above all their social protection is incomplete. They constantly come back with the question of pensions. They have imagined the creation of an ASBL funded by INAMI and hospitals which could harmonise remuneration, monitor working conditions and also, by way of a contribution from employers, provide them with social insurance in respect of pensions. A question was asked of Mrs De Block. I know there are consultations with you. A consultation with the Association of Medical Specialists in Training was also planned last June. Did you participate in the consultations? Is the file progressing? What is your opinion on the matter? Can we hope for something new to meet the demand of medical specialists in training?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u48	Mrs Onkelinx, so far I have not been involved in a consultation between the Minister for Social Affairs and the sectors involved in this field. The status of medical specialists in training is a matter of particular interest to me. The social status needs to be improved and it needs to be clarified for medical specialists in training with the impact on pension rights. There are two aspects. On the one hand, taking into account years for the duration of the career which fall within the public sector or the independent regime. On the other hand, and in this case, do they have to buy back or not their years of training? That is a question that needs to be decided. A second part concerns the calculation of the amount of the pension, i.e. the creation of the rights. It is indeed opportune to move forward on this issue and I will raise the awareness of both the Minister of Social Affairs and the minister responsible for the self-employed so that we can reach a definition of the social status of these doctors and agree on their pension rights.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u49	When can I afford to ask you again? Three months? Six months?
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u50	Three months.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u51	Thank you.
ParlaMint-BE_2015-10-28-54-commissie-ic262x.u52	Debates of the European Parliament Mrs de Coster-Bauchau's 5646 will be converted into a written question.
