ParlaMint-UA_2014-02-20-m0.u1	Ladies and gentlemen, please insert e-registration cards. Thank you.
ParlaMint-UA_2014-02-20-m0.u12	Thank you, Vladimir Mikhailovich. I'm about to inform the honourable people's deputies that, in fact, right now, on behalf of the leadership of the European Parliament, the European Union, the leaders of the opposition factions are holding an urgent emergency meeting with the foreign ministers of Germany, Poland and France on this issue. So I'd like to invite you to the floor of National Deputy Vitaly Gruszewski. Please.
ParlaMint-UA_2014-02-20-m0.u13	What? I thought other questions were interesting and interested in registration. Good day, fellow believers, it's a pleasure to meet you, but it's a shame that we're meeting too late, because human sacrifices, mutilated fates, disability. If we had been working since the first day of such a disgraceful event in the Eromaydan race, we could have avoided all the sad consequences, but the fact remains that today the Ukrainian went against the Ukrainian. Why did you leave? He went because for 20 years it was those who worked in this Parliament who adopted the wrong drafts or adopted those bills that allowed for the fine living of other categories of people. And the law was not equal for all, but thanks to the people who came out, who believed that after that the law would be equal for all. How can you do that? This is not a return to the Constitution in 2004 or 36, it's not a change in the presidency of the Supreme Council, it's not a way of forming a majority or a way out of a political party, because today is not a time of color, not an ideology, but of saving Ukraine. And what did a small number of deputies today say about what? That's not 450 deputies. But the main task today is to stop the bloodshed. Today, all those who have united the people on the grounds must stop fighting. Law enforcement doesn't protect families, they protect statehood, no matter who and whose family. And your screams say it's true. And today let every Ukrainian hear that today's task is not color, it's fine work. And the main thing is to make it clear to people that the street is not a solution and it's not a coming to power, it's everybody who needs to understand. Therefore, negotiating groups should be formed, not by opposition leaders, but by a group of deputies, to engage the public organizations that are there, on the forerunner, and to seek solutions together, but the main thing is to stop the bloodshed. And tomorrow we meet all the national deputies in full stock. Nobody shoots anyone because people are waiting for the Constitution to come back, people are waiting for action.
ParlaMint-UA_2014-02-20-m0.u14	Please finish.
ParlaMint-UA_2014-02-20-m0.u15	from the people's deputies.
ParlaMint-UA_2014-02-20-m0.u16	Mr. Vitalia, please finish.
ParlaMint-UA_2014-02-20-m0.u17	And this is my position. Thank you.
ParlaMint-UA_2014-02-20-m0.u18	Thank you. Here's to Peter Dustenka's word.
ParlaMint-UA_2014-02-20-m0.u19	Guys, I'm asking everyone to calm down. Dear friends! Glory to Ukraine! We need to remember. [[B in m in s a l in]] Guys, guys, let him go! Friends! Nestor, don't go down there! Guys, let him go!
ParlaMint-UA_2014-02-20-m0.u20	Dear company, I ask you to remain calm!
ParlaMint-UA_2014-02-20-m0.u21	I think the main goal was to start the provocation. Let him go with God! Let him go with God from here.
ParlaMint-UA_2014-02-20-m0.u22	It's a provocation, distinguished national MPs! Don't act like you're being provoked!
ParlaMint-UA_2014-02-20-m0.u23	All of it! He's been beaten up by this provoker, my dear friends! I propose to announce a minute of silence for the 70 dead today by Ukrainian patriots and the soldiers of the internal forces and the Berkutu, who are also Ukrainians. [[A Minute of Silence]] Thank you very much. And our conduct should be worthy of the memory of these Ukrainian heroes. Dear friends, could I have your attention for a moment? For these crimes committed by the Ukrainian authorities. Dear friends, the European Union has just announced its decision by consensus of the 28 member states at the level of Heads of State and Government. The head of the Van Rompay European Council has just reported: against Ukrainian officials who are involved in the death of people involved in mass confrontations, violence on Ukrainian streets, up to two thousand injured, the European Union has imposed emigration, financial and economic sanctions! [[Applause]] And those who hoped that Europe would not find the strength to be the only one to demonstrate that crime would not be punished and criminals would not be brought to justice are absolutely clear messages to all Ukrainians. Dear friends, the whole world is with us. And do we have the right today, as some suggest, to wait until morning when every 10 minutes snipers at the Ukrainian Hotel kill innocent boys and girls who don't even know where the bullet might come from? Today, the Ukrainian people pay such a high price even for their dream of their will. And I have a very specific proposition: from here we, all the responsible national MPs, who care about the fate of Ukraine, who are willing to take responsibility for every Ukrainian life, especially for its protection, will not leave here until we make decisions that will protect the Ukrainian people. [[Applause]] And every hour we're going to announce a list of deputies who are hiding from responsibility. And let the country, let their voters help them buy tickets from Cyprus or Maldives in order to get here and in their political position to protect the Ukrainian people from violence, stop the crime, and finally allow political conflicts to be resolved in the parliamentary plane, not in the streets, because they will be sitting in warm chairs, and people will be killed in Ukrainian streets. We, the responsible national deputies who are here today, will not allow this. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u24	Thank you. I would like to welcome you to the floor of the People's Deputy, Andrew Illenka. Andrew Illenko, please.
ParlaMint-UA_2014-02-20-m0.u25	Dear colleagues! A real civil war began in Ukraine. Someone wants to admit it or not, but it's a fact. And it's probably a situation that, in fact, I misspoke, it's not a civil war, it's a war for independence that wasn't actually 22 years ago, and this 22-year-old state was being built in an incomprehensible way, this nation was being built, it was being built, it was being built, it wasn't being understood for whom it was built. And now the Ukrainian people are fighting this war for the content of the Ukrainian State, so that this is really a state where Ukrainians, where the Ukrainian people are essentially sovereign, and they decide how this nation should live. We're seeing calls here right now, and we're hearing a lot about the need to create some working groups that need to be moved for tomorrow, for the day after tomorrow, you can't solve any questions, you have to wait. Society! How many more corpses do you need to wake someone up? I don't know who, probably, Janukovitch will never wake up, and in other people around him, she won't wake up, they're now choosing between Ceausescu and Caddafi. But in those people who still have this conscience, regardless of party membership, they have only one chance today -- to come here right now. Otherwise, people's eyes. Only today 70 people were killed. 70! These eyes will look into your eyes until your last day if you do not come here today. You don't have a choice right now, you guys. I know that members of the Party of Regions are being threatened. I know they're threatening your families. But believe me, the only chance to save your families is to come here now and publicly state your position. Still, he will destroy all those who waved, those who swayed, and even those who remained faithful to him. He's inadequate. Today's only opportunity is to come here and publicly declare your struggle with dictatorship, regardless, once again, from partying, regardless of anything. Today we must save our nation. If we don't save her today, we're all gonna die. Society! It's a reality. And it is between such a reality that we must choose today. So today I fully support the performance that was before me. We have to get out of here only when we stop, we'll make those decisions that will stop the war. No one else is going to take the option. No one is going to accept the Ukrainian people, no one. History will not forgive us. Then we can either flee this country, or we will be swept away by this nation along with all others. That is why we need to make decisions today that will save our country. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u26	Thank you. Please. Alexander Valentinovich, please wait. Please, gender equality, after all. Heratchenka, please, very much asked of the woman. You're after Heratchenko, if you don't mind.
ParlaMint-UA_2014-02-20-m0.u27	Dear colleagues! I really want to take the floor from those women, deputies of opposition who have worked in the hospitals of Kiev these last few days. First of all, I'd like to thank the honorary colleagues for standing by and applauding and thanking the Ukrainian doctors who are now loyally saving the lives of Ukrainians. [[Applause]] You know, maybe in the European Union, better technology, better equipment, more modern. There are probably nice hospitals with nice toilets, because they are well funded, but such doctors, who only with bandages, with greenery very often, just with painkillers, but with their gold hands and heart, are saving our boys and girls, there is nowhere in the world. Dear doctors, we thank you, and you are doing a great job for Ukraine today, saving our world for its future. And you know, when the girls and I drove here to the Supreme Council, the doctors grabbed our hands and said, "Please make a decision! Do something!" Another story. The average age of the national deputies of this call is 45 years, so do you know that the average age of those parents who come for the bodies of their children are also 45 years old, our peers. And the average age of boys in the morgue -- 23 years old -- is the age of independence. Do we have the right to part now without saving Ukraine?Oh, my God! And those who were born in 1991, and those who are now saving Ukraine's independence like its heroes, we have no right to do that. I want to see my colleagues from the Party of the Regions. Very many of you were secretly on the phone, passing money on medicine, equipment, asking how the wounded were there, whether no one was killed, and we thank you for that, but, dear colleagues, passing the money on is like leaving, and after some bad candle in the church, it doesn't mean saving the soul from God. How do we do that now? Come to the session room and make a decision. From the women of the Supreme Council of Ukraine we address you, and above all, to our colleagues of women: let us make a decision today. I'd like to give you a personal name. There is such a deputy to the Flood. He's in charge. He's here. We're happy that you, if you're here as a rector whose students are here on Maidan, we thank you for that. And we ask you, Mr. Michael, if you're not here, come here because your children are standing there. So let's go to all the independent deputies, let's make a decision. You know, when we came here, we were sitting there at the Supreme Council with black-armed guys, WB soldiers, their average age was 23 years. And they said to us, "They call us every day, they're afraid for us to survive." Our responsibility is now with you to make this decision. And specific suggestions. Mr. Kosulinsky, first: All Ukrainians, wherever they live, have the right to know what is going on in the Supreme Council. That's why we're calling for an immediate broadcast of the "Race" channel. If that doesn't happen, this person who now seems to be leading this channel has to retire immediately, and let an honest journalist come, lead, and broadcast. The other one. Today, we have a decision with you not only to restore the constitutional order and ban arms, but to let these people who want to work in Parliament's leadership work in the President's Office go and work. We have to vote today for the resignation of the speaker and the first vice-speaker who are not speakers and vice-speakers. They are dependent on the Authority, and they have no right to run an independent Ukrainian Parliament. [[Applause]] And then you and I will become as independent people's deputies. Let's do everything we can to get the honor, the dignity, the courage and the ability to make decisions back in this room. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u28	Thank you. Respectable Society!
ParlaMint-UA_2014-02-20-m0.u29	Yeah, you know, I've been waiting a long time, but.
ParlaMint-UA_2014-02-20-m0.u30	But you didn't sign up.
ParlaMint-UA_2014-02-20-m0.u31	You know, I've been taking notes since the non-faction second year. You are no different from power! Please tell me (people are looking at us), what are we talking about in three hours? Why did the Governing Council’s rostrum, where decisions were to be made, become self - centered again? Our loyalty, what we must do, must be done! Let's not fool society if we don't have 226! Turn on the Rada system, register the cards! If there are no opposition deputies, ask them: Where are your opposition deputies? Partly. Please tell me. There are no deputies, we'll sit one day, two, three. Now let's make a decision that we're going to make to all the people, and we're going to wait for 226 members to get honest in the hall. Stop these statements! Stop saying how grateful we are for all the ladies, look! Just for today, almost 100 dead bodies, what do we say? We say we have 227. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, There isn't! But it will! And let's wait. But wait, you don't just have to say the word from the Supreme Council! Let's work on the documents that we'll accept when we have an honest 227 in the Council. And you, Mr. Koshulinsky, I will not ask you whether I can speak or not. I'm an MP from Berdichev. And I have the right, like all deputies, to speak when I want and what I want! And do not lie to people! Then we are no different from that part of Parliament. Sign up with your cards. Show me who's gone. Let's wait a day or two, but work on the decisions that we have to make. Stop talking!
ParlaMint-UA_2014-02-20-m0.u32	Thank you. Please.
ParlaMint-UA_2014-02-20-m0.u33	Mrs. Labunska, I want to tell you, personally, as a member of the Accounting Commission, I want to tell you, I'm asking you very much, we counted. When we first started, the Supreme Council allowed us to register at the workplaces, and before that we counted -- we were 240 people in the room. And then we just opened up an official registration. And so let's still show that a female MP and a man is a state-level, peaceful and responsible attitude. Let me read out the honor of reading Julia Volodymyrna Timoshenko's application as we have just received. "Janukovich has long gone beyond the law. But what he's given the command today to conduct a principled sniper fire to strike at peaceful unarmed people is beyond extreme sadistic cruelty that cannot be inherent to man. We cannot look without tears and despair at the simple and honest boys who have risen up to protect Ukraine hiding from sniper bullets behind handmade wooden shields. These shields cannot protect them, they fall, struck by snipers and die in front of the world. They're being killed by a man who thinks he's their president. He kills them in the area of freedom, in the center of the European capital, in cold blood and in peace. There is no such thing as forgiveness or forgiveness. I demand that the opposition never again sit with Yanukovitch at the negotiating table. Each of us who violates this taboo will be associated with Yanukovich in the killings of innocent people. From this moment forward, the only requirement of the people, civil society, opposition, international community and every moral person can be the immediate removal of Yanukovic from office as President of Ukraine and his criminal responsibility for the mass killings of civilians. I ask the leaders of the democratic world to find an immediate way to deal with Yanukovich's case in an international criminal court with the immediate isolation of him from peaceful people as a dangerous beast. Praise to all who have died for Ukraine! Praise all supporters of Ukraine! Glory to Ukraine! Don't step back! The dictator falls from day to day! Julia Timoshenko.
ParlaMint-UA_2014-02-20-m0.u34	Thank you. Please let me speak to Alexander Turkinov.
ParlaMint-UA_2014-02-20-m0.u35	Glory to Ukraine! Dear national deputies, dear colleagues! Now, in fact, every 20 minutes, snipers in Kiev kill one person. Since the beginning of our opposition, we have lost more than 100 people, peaceful protesters, patriots, who have gone out to protect their country, our land. Friends, the problem is that these people's blood isn't just on Yanukovich, it's not just on executive power. This blood is also on the Supreme Council, because the Supreme Council could make a decision that would stop this opposition. The Supreme Council could restore the Constitution in order to deprive Yanukovich of his dictatorial powers. The Supreme Council could have postponed two months ago the government's resignation -- what the opposition offered. Moreover, fellow believers, we have only hours left to make a decision that can stop blood, blood, friends. Because human life is the most precious thing in this world. And we can do that. What's more, I'm the only one calling the MPs: no hysteria, no friends, no calm, no confidence. We can do this. And we'll do it. The only thing I want to say, my friends, is, right now, everyone understands: The Supreme Council can make the decisions that I will continue to tell you about, the decisions that will change the situation in the country. But we see how many people today have not come to the Supreme Council, that is, people who are clearly taking blood on themselves. And from this day forward, we will not say that the entire Supreme Council is to blame in blood. The blood of the people will be blamed along with Yanukovitch, Zacharychenk, along with other criminals who fired will be blamed by those who will not be on the Supreme Council today. And we are obliged to each of the names of the deputies who today, when the Supreme Council is obliged to work, because, I recall, the Communist Party of Regions has adopted the agenda -- and today, the working day of Parliament, and those who are hiding today, who have not come to Parliament, take responsibility for the blood on themselves. And these names should be known to all Ukrainians. Friends, this is our responsibility. These names should be known by the parents of the slain children and those who are still being beaten because the Supreme Council is gathering votes. The next question, my friends, on our concrete steps that I am obliged to take today — I emphasize — is to make our Supreme Council, our Parliament. Of course, we must decide on the responsibility for the blood of those responsible. We have to abolish acts, ridiculous acts of counter-terrorism, attempts to introduce a military state, another attempt to kill Ukrainians. The Supreme Council must stop, undo these provocations, which have led to a huge number of human casualties, to thousands of wounded, to blood. Next question. It was announced that at three o’clock the Supreme Council was meeting. Everyone knew about it. We don't see the head of the Supreme Council and the first deputy here. This is their responsibility, including theirs. And that is why today Parliament must choose a new leadership that is capable of acting within the limits that today. Having the responsibility that every patriot today must have, including a national MP. So the second question is the re-election of the leadership of the Supreme Council. Next, dear friends. Regardless of who will be the next president of the country, we cannot leave this man with the dictatorial powers that Yanukovic illegally assumed. Therefore, the third issue that the Supreme Council is to adopt today is the restoration of the 2004 Constitution, which was illegally repealed. Restoration of the Constitution! The decision is, it is registered, and we are obliged to vote today. And as of today, we will live within the framework of the Constitution, which has been adopted by Parliament, which has been illegally abolished by the Constitutional Court, along with criminals who have contributed to this, who have given orders to break the law, to violate the Constitution. Next question. Within the framework of the restoration of the Constitution, the Supreme Council is able to decide not only on the resignation of a government that is not in Ukraine today. She is obliged to make decisions on specific ministers who continue to carry out their duties illegally. That is why the Supreme Council is under an immediate obligation to remove from its responsibilities the ex-Minister of Internal Affairs Zacharychenk, who continues to carry out all the duties that continue to give a criminal order that continues to command the killing of people. Next question, dear friends. Recall that one of the demands after the beating of the students was the punishment of those responsible for the beating. The number of perpetrators of beatings, killings, kidnappings is increasing daily. Bullying is not just for those on Maidan, bullying and beating up journalists. I want to ask you, who did the Henprosecutor's office open a criminal case against? Only against the opposition, against the peaceful protesters. No criminal who tortured people who killed people who beat children who beat journalists is punished. Therefore, the next question Parliament today must express its mistrust to the Attorney General of Pschenka. [[Applause]] And another acting minister who has no right to do so. A few hours ago, there was a terrible accident on the way to Kiev. There's been a coup d'état. Military personnel, who received an illegal order to go to Kiev, were killed. In the lives of these people, it is the responsibility of the acting minister of defense to give illegal orders to use the Armed Forces against the civilian population. And that is also the issue that Parliament should consider today. And the last question that we need to consider and make a decision that millions of our citizens are waiting for. Today, Parliament must also set a date for the presidential elections in Ukraine. And just after a list of these issues, after a positive vote for all these issues, we can say that each of us, the national MPs, has fulfilled his duty, stopped the bloodshed, saved the country, the country for which people are dying today. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u36	Thank you. National MP Oleg Lazko, please.
