Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	PeričGregor	Perič, Gregor	M	1984	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	Levica	The Left	Opposition	Left	SiterPrimož	Siter, Primož	M	1979	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Coalition	Centre-right	ŠuštarTadeja	Šuštar Zalar, Tadeja	F	1990	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	SAB	Party of Alenka Bratušek	Opposition	Centre-left	StarovićVojko	Starović, Vojko	M	1952	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u19	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u20	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Regular	MP	notMinister	LMŠ	The List of Marjan Šarec	Opposition	Centre to centre-left	MedvedRudi	Medved, Rudi	M	1959	
ParlaMint-SI-en_2020-12-30-SDZ8-Izredna-56	ParlaMint-SI_2020-12-30-SDZ8-Izredna-56.ana.u21	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Extraordinary Session 56, (30. 12. 2020)	2020-12-30	Lower house	8. mandat	-	Izredna	-	-	COVID	English	Chairperson	MP	notMinister	SMC	Modern Centre Party	Coalition	Centre to centre-left	ZorčičIgor	Zorčič, Igor	M	1978	
