ParlaMint-HR_2022-03-10-0.u96310	Your Honor, Mr. Stier.
ParlaMint-HR_2022-03-10-0.u96322	As a visiting lecturer at the Ban Josip Jelačić War School, who has educated our top officers for years, I have been systematically following military policies and all the shortcomings we have in improving military science that is the prerequisite for our strategic positioning in the future especially when we talk about such serious threats. Unfortunately, what we could see when we voted on the university law on a new military university does not have enough hearing for constructive proposals to help make military science in Croatia not only advanced but finally and isolated. So, to simplify for the citizens of the Republic of Croatia, we are not developing our military strategies, and then we wonder why we do not have enough quality discussions in public space about the acquisition of military equipment, aircraft and everything else. Without such strategies, all the other military equipment, I won't say it's too high, but it certainly can't be used in a quality way. In the previous debate that has lasted so far, we could hear a conversation on three topics within this legislative proposal. One is the attitude towards NATO and the question of whether Croatia should send an army to Hungary, the other is the issue of cybersecurity, and the third is the issue which is currently current and which has been the issue of the general issue of our security and thus the issue of the state of supply. When we talk about cybersecurity, I want to remind you, and this is what we were talking about when we discussed the Cyber Security Certificate Act that Croatia is also the target of cyber attacks by other countries that SOA is trying to oppose, and in this regard we have developed the SKAUT Central System for Disclosure and Early Warning and Protection against State-sponsored cyber attacks. But what I'm interested in is how does it work in practice? Government of the Republic of Croatia on 1 April 2021 decide on measures and actions to raise national early detection and protection capabilities against State-sponsored cyber attacks. What is allowed here is to include key services operators, digital service providers, critical national structures operators and other legal persons registered in the Republic of Croatia. So it is according to the regulation, and we have recently had one truly significant breach of cybersecurity regarding one of the most important mobile operators where their users' data came out. So in that sense, the question is whether we're doing really enough because we see that in this sense we're quite vulnerable when any threat comes, and the threat can also be military or cybernetic military character. When are we talking about Croatia's participation in NATO military and how much is Croatia threatened by this conflict? It is important to say that Croatia currently has a thousand soldiers on alert so-called ... and currently in Hungary on the NATO mission there are 15 of our soldiers who are there in office. If we send them now, they will, together with Slovakia, Slovenia and Hungary, form a NATO division. What matters to us here is that the area... of extreme importance for the safety of the Republic of Croatia is, in fact, by protecting that space, we are indirectly protecting our country. However, one question is what our obligations as NATO members are, the other is when a concrete military threat comes to how much all NATO members are willing to carry out their obligations, so we have the current situation with Hungary and its reluctant consent to NATO operating within it and it has allowed NATO troops to deploy in western Hungary, meaning only in western Hungary and shipments of weapons to move its territory to other NATO member states, it was in the government's regulation. So the question is how does the NATO alliance really work in the bang, given all other interests of all other countries in our environment. And in the end, I'm going to drive to what's really about stockpiles, not a good condition. During the Covid’s pandemic, this also served as an excuse for not controlling stock stocks, so the State Inspectorate or the Directorate did not exercise control. Earlier, malversions were present, and we now have insufficient stock supplies, given who is headed by the competent ministry, Minister Coric, I fear that the problems with the supplies will continue.
ParlaMint-HR_2022-03-10-0.u96323	Thank you. The Republic has a respected representative, Glavasevic.
ParlaMint-HR_2022-03-10-0.u96324	Dear colleague Selak Raspadic. You mentioned a recent breakthrough, in fact you and I spoke about it at the time of our discussions, but this is not the first such situation that a significant system with a significant amount of personal data from Croatian citizens and citizens has been compromised. A year ago, two of these things happened in one of the Croatian hospitals, and then it was talked about in the media, but the impression is that these things are only known after they happen, or more likely to happen by chance than by targeting some kind of communication by the authorities. Do you think there's enough transparency about situations like these, so when the breach is already happening? Do you feel that there is a situation in which the public and the public are unable to know what happened and how do you feel that this should generally work in terms of public communication? Thank you.
ParlaMint-HR_2022-03-10-0.u96325	Dear representative Selak Rasdic.
ParlaMint-HR_2022-03-10-0.u96326	Thanks for asking. So, as far as this part of the SOA is concerned on its pages is concerned, I suppose that these issues that the countries are jeopardizing us, and we would be happy to have access to these data and to the issue of state security, so we can't dispose of them, although interestingly in the defence report, many data that are indeed and the question of our security are easily revealed, in contrast to public procurement data that doesn't exist at the time of the crown because it's declared secret, so there are double standards. What is interesting when we talk about these breakthroughs in cybersecurity or cybersecurity that is present in Croatia is that there is not enough articulation even under EU directives, then, in consequence of our consumer rights legislation. So even this security certificate that we've been discussing remains voluntary and precisely because it allows some grey zone companies to have no special obligation to protect their users because they won't pay the fine. And I think INA a few years ago if I'm not mistaken, she also had a serious breakthrough in that sense. which is also a matter of national threat. [[Intruder Reiner: Thank you.]]
ParlaMint-HR_2022-03-10-0.u96327	Dear Representative Kujundzic.
ParlaMint-HR_2022-03-10-0.u96328	Thank you, Chairman. Dear colleagues. Given the geographical position of Croatia, then the countries with which we are bordering, and then also a certain form of floating mines in our neighbourhood, in your opinion that Croatia should be strategically positioned in the context of NATO itself, supply supplies, cyber security and all? Thank you.
ParlaMint-HR_2022-03-10-0.u96329	Dear representative Selak Rasdic.
ParlaMint-HR_2022-03-10-0.u96330	If Croatia really cared about its security, I will express myself more precisely, the current government, which manages the Republic of Croatia, would then resolve the key issue that is a prerequisite for conflict and which can always be escalated, which is respect for the Dayton Agreement, so the equality of Croats in Bosnia and Herzegovina. We did not use the mechanisms within the EU that we have at our disposal, secure our key strategic and security interest, enable the Croats to participate in the political life of BiH, so that we can say that not only have we not contributed to the stabilisation of BiH, but today and see how much its instability can cost us. So that's where we made a serious political failure, and as to whether it would escalate NATO countries are surrounded by the Republic of Serbia, so Given the distance from Russia, I believe that this kind of escalation will not come. [[Intruder Reiner: Thank you.]]
ParlaMint-HR_2022-03-10-0.u96331	Thank you. The next debate will be the respected representative of Ante Deura, please.
ParlaMint-HR_2022-03-10-0.u96332	In this debate, above all, what is most important and what is in the environment of our security, it is a matter of security but the Croatian state and people during their 30 years in the circumstances in which the modern Croatian state was created, in which everything was threatened by the stability of the Croatian people, the Croatian army since the Homeland War until today proved to be how far ahead President Tudjman had thought. At that time, we had as much as our colleagues today who are in opposition without diminishing their patriotism but certainly not understanding them or that activist who is always popular not thinking about security, about leadership, about survival. I would like to say that, above all, the Croatian army has continued to grow. Let us also remember former Defence Minister Damir Krstic, who, along with the Croatian Government, led by Andrej Plenkovic, former President Grabar Kitarovic and the opening of new military from Sinj, Vukovar when many at the time did not understand what it was, why this is happening, how much budget we now have all the time of a certain activism that is not under the circumstances in which Eastern Europe is today and the environment in which we are in. Today, the Croats are currently in BiH. I would like to welcome today in Tomislavgrad doctors who were then creating a military headquarters, which is then Croatian doctors, the war sanity at the head of wonderful people who came from Croatia to help leave warm hospitals, their families. Today is the anniversary of the field, and here I want to welcome them this way and thank them for all the human, human effort through the war in BiH that they gave at the time. I want to say about the abilities of the Croatian army. During the six years of this government, President Plenkovic and Minister Krsticevic, Minister Banozic, showed something, something that is leadership, proved to be recognizable. All that we've been through in the 1990s, remembering Vukovar, the cry, the impotence of the Croatian man, the infirmity of the cry, and regretting that we are not then in a family called NATO, which we are not in a family called the EU. Today we can give from this pay phone plus or minus to NATO or the EU but Croatia is not at risk. Croatia is in the strongest family today. Surely we have compassion for the people of Ukraine so they don't. Let us remember Srebrenica, all the cities that Serbian aggression has conquered. Today, the Ukrainian people are going through something similar. From this place they gave the declaration, but first of all Croatia is permanent. We have a strong Croatian army. Through the planes, unfortunately, our colleagues wanted to take from that part and put it elsewhere, not thinking about the safety of the people as it came into existence, in the indifference and financial and armed except love and empathy towards its homeland. Today we have a strong, professional army that has been recognized in the NATO alliance. We can be proud. It is certain that it is a European force, and France is the first military force in Europe and this shows that we are part of it, that these aircraft that we have bought are the greatest security in the environment in which we are. Listening to a colleague of the Rasudiæ yes, the Croatian people bled but then some did not understand because they fought for civil Bosnia without thinking about their people, but today it is important Let's be national, let's have value... [[Intruder Reiner: Thank you.]]
ParlaMint-HR_2022-03-10-0.u96333	Thank you, colleague Deur. We have a replica of the esteemed representative of the Kristulovic Opara.
ParlaMint-HR_2022-03-10-0.u96334	Dear Mr. Chairman, dear colleague, dear representative Deur. You spent three months defending Vukovar as an abandoned warrior here on this occasion I repeat my congratulations both to you and to all the Vukovar defenders who today mark Wolf's Day. How your experience as a Vukovar defender today can be passed on to brave Croatian soldiers who will defend the security of Europe within NATO at the Hungarian borders, we are discussing this today. Tell me how you feel as a werewolf defender and how you see the possibility that this heritage of brave Croatian soldiers, but also victory in the Homeland War can be used as part of NATO's security umbrella, and all in connection with the document that we can be proud of, on the Homeland Thanksgiving strategy you worked on.
ParlaMint-HR_2022-03-10-0.u96335	Thank you. Dear Representative Deur, thank you, thank you, dear representative Deur.
ParlaMint-HR_2022-03-10-0.u96336	Thank you, Your Honor, for sure that during Vukovar and the Homeland War the Croatian people showed the ability, love, emotion under the leadership of the first Croatian president. Throughout all these years of strengthening the HV and its abilities today we have truly trained and quality HV with all the capabilities that, through all the missions that we are going through the EU and through NATO, it is something that gives young people security, gives new perseverances and I think that the Croatian state can be sure, that Croatian people can trust their HV and today as members of the EU and NATO can really be constant in all of this, unfortunately that we have been in the 1990s where we have no help and very little today, we can be safe and truly proud of everything that has been gone. Thank you.
ParlaMint-HR_2022-03-10-0.u96337	The following will be spoken by honourable representative Bojan Glavasevic, please.
ParlaMint-HR_2022-03-10-0.u96338	Thank you, Mr. Vice President, dear colleagues and colleagues. Here's the second week we've experienced the feeling we had in the '90s and the way we hoped we'd never feel again, but there's the Russian aggression that made us and the rest of the world feel like a narrator in that famous Vladimir Visock song about wild horses leading him over the edge of a break-in. Yet as much as we feel the icy wind of war on our faces, we're so aware that today we're not in the vulnerable position we were in back then. Just because we remember what it's like to be lonely in front of a ruthless aggressor today we're standing next to Ukraine at her moment of need. We have opened the doors of refugees, in the news here I hear there are nearly 4,000 of them in Croatia, we have sent help in medical supplies, protective equipment and weapons. Equally important, we've come close, we've joined the sanctions on Russia, even though we're aware that this will expose us to risks. Russia put us on the list of countries that make up, quote, hostile acts against the Russian Federation, Russian companies and Russian citizens. That means we'll be the target of Russian countermeasures, both economic and cybernetic. If we look back at my club, we personally have been warning about cyber threats and their dangers for a long time. We asked for a significant increase in that item in the budget, but then there was no hearing, okay. I am pleased that our experts will be involved in the fight against hybrid threats. I want to warn here of an important phenomenon in the digital eco system, which is so-called. The echo chamber. Often these days we hear Ukraine win the so-called. The propaganda war, they use memories, videos and social networks, but they win where, in the West, Russia doesn't win. In Russia, largely due to the effects of echo chambers and algorithmic prejudices on social networks, but also because of the repressive control of the media propaganda victory, Putin bears a 10% increase in the ratings in the last two weeks. This has implications for our neighborhood as well. The so-called The Serbian world of Dodik and Vukica Putin is a hero and some of them, like Bosko Obradovic, in Serbia, already project and wish war in BiH for claims that Sarajevo and mujahedin will attack Banja Luka. Such Putinovic should be fought primarily where their lies fall to the most fertile soil, in the digital eco system. Does Croatia have the capacity for such a fight? Is there any understanding of the battlefield and the weapons the other side controls? Does Croatia have a clear picture of what victory would be here in this case? That answer to this last question I can give. Escalating any conflict in the region, the Serbian world is a defeat, European values, peace and stability in the region that is a victory. Putinov, Dodik and Vukicev divide et ipmer it is defeat, unity in the fight for democracy, freedom and rule of law that is victory. Thank you.
ParlaMint-HR_2022-03-10-0.u96339	We have two replicas, the first respected representative of Oreshkovic.
ParlaMint-HR_2022-03-10-0.u96340	Thank you, Chairman. Comrade Glavasevic, you have touched on the themes of this digital eco world and the way false information is created by an indoctrinated people who then make the wrong political decisions. Do you have any idea how the academic community, especially historians, could in any way contribute to the understanding of some current political events in this digital world by spreading and placing the right information and their proper contextualization and in light of these recent events?
ParlaMint-HR_2022-03-10-0.u96341	Dear Representative Glavasevic.
ParlaMint-HR_2022-03-10-0.u96342	Thank you for asking, and I'm glad you asked him because it's a very common one, one very common one, so I won't say a mistake, but a logical first step in thinking, if we have something that's false then we need to place information that's true, but it's just, it's just part of the answer, because phenomena like echo chambers aren't the kind of thing, just in what kind of information appears, but the thing is that it's a phenomenon of social networks where algorithms that show information to users and bring them together with other users create this one effect of echoes in which these false information is simply echoed and repeated, and thus they get momentum and strength. So the problem is solved by algorithms. So that's where we need to talk to big companies like Google, Facebook to solve the problem.
ParlaMint-HR_2022-03-10-0.u96343	Dear representative Maric.
ParlaMint-HR_2022-03-10-0.u96344	Thank you very much. My dear colleague, here's a very close colleague of mine who's come to me on the point that I wanted to do the same to you as she did, so I'm going to rephrase a little bit. When you go to SOA sites, then you have a number of concepts that you can also monitor cybersecurity and specifically separate information security. You were, of course, talking about what we as a society can contribute to this cyber war, but how do you see from these proposals decisions where the Armed Forces in terms of cybersecurity will be sent, how much can there be a link to the forces of civil society that are important to us for cybersecurity? It means they connect with each other and perform together. Thank you.
ParlaMint-HR_2022-03-10-0.u96345	Dear Representative Glavasevic.
ParlaMint-HR_2022-03-10-0.u96346	Well, that might be such a complex question. On the one hand, civil society and civil society forces are precisely in the independent action of one another. And I think it's a matter of more being viewed as something that's complementary than something that maybe, I think, sometimes there are situations where civil society and, say, armed forces or cybersecurity teams can act together. And civil society may have shown, in a period of time, that these feck checks are a kind of attempt to solve a part of the problem with a certain amount of success, but I think that the problem is, in fact, that civil society can have a lot more difficulty interacting with large companies in whose jurisdiction and whose greatest power is to solve the problem. So, I would still return the matter more to the institutions than to the civilian society in that part. [[Intruder: Thank you.]]
ParlaMint-HR_2022-03-10-0.u96347	Thank you. Now he will speak to the esteemed representative Ante Bacic. Here you go.
ParlaMint-HR_2022-03-10-0.u96348	Thank you, dear Vice President. Dear Secretary of State, the Honorable Secretary-General, colleagues and colleagues, we have two decisions in front of us to send Croatian soldiers to NATO's mission. I will in this short time consider cybersecurity and this cybernetic response team and direct assistance to cyber security. I think in the 21st century, but here in this aggression we see that hacker attacks today are considered the greatest threat to world peace and security. The threat from cyberspace is the fastest growing security challenge today, and the threat to the NATO alliance itself is becoming more and more frequent and complex, and the attack on one member could endanger the entire alliance. We've had such a recent attack, we've seen that there's also been a fall in a mobile network, access to certain data from the operator and the banking Internet system, and we know how much this can cause one country's problem itself. The introduction, which I am in the replica note, which is something that I am pleased to see the Ministry of Defence taking into account and doing exercises on, in this area, which is the very exercise Cyber Coalition that happened in Croatia at the end of last year. I think that these exercises should have more and that might be something that goes under the radar and it's good to go under the radar honestly sensitive subject and that's one of the special capabilities that the Armed Forces of the Republic of Croatia have been developing over the last few years, and this particular exercise Cyber Coalition has gathered over 1,000 participants from 34 NATO member states and partner countries, but what's important when we talk about cyber attacks, it's hybrid warfare that they involved other private and social institutions that have been involved in this exercise. Especially here is CARNET our scientific network, but also the colleges of computer engineering, the college of engineering, the Faculty of Transport, the Faculty of Law in Osijek, high school in Algebra, and is today when we look at what is actually a hybrid type of warfare and this why we send out 5 of our participants related to the cybernetic team.../incomprehensible/... that these are attacks that are not only a problem for defence purposes. So they're not, they're not attacks that only defend themselves, they're only the Ministry of Defense, they're just attacks that happen to affect the whole country all over the country. I think every country has a problem that exactly this kind of information infrastructure is often privately owned. It's hard to control this one, but there's a intelligence community and these cybernetic teams themselves must certainly give their pain. And at the beginning of this aggression itself, we saw that it was actually this war propaganda, the difamation of NATO itself, the differentiation of certain structures, but also one fake news that, every day we witness in our space that it was actually the first attack before the actual actual aggression, before soldiers or certain missile systems or anything else went to some country. That's how it happened here and in with the Russians. So we've seen a very strong rhetoric for several years and a lot of false news, but a lot of misinformation involving this very hybrid action in the choices of individual, individual countries, on the financial system, and that's one thing that convinces, one beginning where certain panic is sown normally among the people, among a particular nation, among a certain people, and then it's just going, just war action. Why is it important that we have this cybernetic team? Why is it important that, as the Secretary of State has told us, that the Ministry of Defense is very much developing, developing this ability, it's important just for the sake of common protocols. When we see 34 countries, when we see 1,000 participants, they can simply work quality only if they have a common language, if they have common protocols. So the cybernetic system, the hybrid type of attack, the hybrid type of action is very important in all future conflicts. My question was also at the beginning how much Croatia is a cybersafe country. I know, I repeat, it's not a subject we talk about and talk about more often than our services do in the background. I am pleased that both the university community and that certain companies are involved in this particular exercise, because this means that the Ministry of the Interior, as well as the Ministry of Defence, is taking these threats very seriously and that I believe that Croatia will ultimately be ready for any of these activities. Thank you.
ParlaMint-HR_2022-03-10-0.u96349	And on your exhibit, we have more replicas. The first is the respected MP Baradic.
ParlaMint-HR_2022-03-10-0.u96350	Thank you, Mr. President. Dear counterpart Bačić, today in the 21st century we live in a world where most attacks on modern democracies are mainly happening in cyberspace by hybrid action, as you mentioned in your debate. Therefore, there are certain disinformation systems that spread doubt and thus achieve certain objectives. What's your opinion? How much Croatia is a cybersafe country. Knowing our infrastructure owns the same and possible attack. Thank you.
ParlaMint-HR_2022-03-10-0.u96351	Dear Representative Bačić.
ParlaMint-HR_2022-03-10-0.u96352	Thank you, Vice President. Thank you, colleague Baradic, for this replica. Here's how I finished the presentation my question was exactly how much Croatia is a cybersafe country. I've got an answer from the secretary of state, that we're working very hard on it, and we have no reason to be afraid. I always say what we see now in Ukraine. The first attack goes to telecommunications services, the first attack goes to that very infrastructure. The problem is every country in the modern and Western world, which is precisely this infrastructure is already 10, 20 or 30 years ago privately owned, and this difficult state can be involved and acted on its own. He has to act together with his private partners. Looking at the size of our country, looking at this team of cybernetics and the very ability of the army we've been developing since the time of Minister Krstičević, I believe it's working on, and this is exactly how our soldiers' participation will only make it easier. Thank you.
ParlaMint-HR_2022-03-10-0.u96353	Dear Representative Željko Pavić.
ParlaMint-HR_2022-03-10-0.u96354	Your Honor, I'm glad you're... presented in his debate, which is that members of the military and civil society can work together on security and can work together on security. [[The speaker doesn't understand.]] It is therefore necessary to include the academic community and all those who are good and quality experts in this area. I would just like to draw your attention that it is an extremely important fact how secure Croatia is. Why? Because that also applies to EU security. We know that safety is as good as the weakest link. Therefore, if we are weak in that part, the EU will be weak, and we cannot afford it. Before we talked about where, I was talking about where all the information is actually used, where everything is used Internet and it's extremely important for our current life. But let's not forget that without it he can't continue to communicate, we can't continue to function.
ParlaMint-HR_2022-03-10-0.u96355	Dear Representative Bačić.
ParlaMint-HR_2022-03-10-0.u96356	Thank you Vice President, I thank my colleague Pavić for this replica, and we are on a similar trail and I see that we may have devoted a little space to this other part, which is cybernetics itself. We talked more about the aggression itself in Ukraine. I will only repeat this sentence that you have highlighted, and this is exactly a threat to NATO's alliance there is increasingly often, and an attack on one member could endanger the entire alliance. We also know now that the information infrastructure is not to mention the internet operators that are foreign operators that we've discussed here a lot about tax policies themselves and we've seen that we can't just control things, that we can't even charge for things, but we can't control the system itself. And we've seen now attacks on exactly Russia that go exclusively and first on such services and on such devices, which are telecommunications. If you separate one country from the world, and very simply with several cables and several transmitters you can do it, it can be dangerous for the whole world.
ParlaMint-HR_2022-03-10-0.u96357	Thank you. Dear Representative Krstulović Opara.
ParlaMint-HR_2022-03-10-0.u96358	Dear Mr. Chairman, dear colleague. We are witnessing right now at the time of Russia's aggression on Ukraine's strong cybernetic and hybrid attacks on general public opinion. With algorithms on our screens, our phones appeared, news appeared that conditioned thinking and even some of our colleagues who were against voting for the Declaration on Ukraine, who spoke of the unnecessary demilitarisation of Croatian society as it esculates NATO. And NATO has just been the target of these attacks lately where we've had a chance to hear that there's a Russian attack should be justified because Ukraine attacked Russia because it has a nuclear weapon. How do you look at these attempts and how do you resist it? Because it's about extremely fragile, unusually important and sensitive subjects. Thank you.
ParlaMint-HR_2022-03-10-0.u96359	Dear Representative Bačić.
ParlaMint-HR_2022-03-10-0.u96360	Thank you, Vice President. Thank you, colleague Krstulović Opera, on the replica. I fully agree with you and during the debate on the Ukraine Declaration itself, which is here I look forward to bringing it almost unanimously to the Croatian Parliament, but in a report last week by the Prime Minister on the state of Ukraine we were just talking about and on the subject we see not only in Croatia where it may not be such a problem, but we see in the environment that there are certain actors who, for their oxy reasons, normally stand on one side, have been trying here specifically to side with Russia for years to make a certain distinction of the NATO alliance's path, accuse them. That's dangerous stuff. Why? Simple portals, media, social networks carry it over, certain opinions are being drawn up. What stands in the background is questionable, but it can in any case compromise the system of a single state, especially when it comes to the attack.
ParlaMint-HR_2022-03-10-0.u96361	Dear representative Oreshkovic.
ParlaMint-HR_2022-03-10-0.u96362	Well, thank you, Your Honor. Given what parliamentary majority you are coming from, I would like to draw your attention to the fact that you do not take for granted this agreement of all parliamentary clubs, as well as the opposition on some of the issues that are important to our common national security, namely, I would like you to respect also some suggestions and recommendations. In your speech, you asked rhetorically how secure Croatia is, and I would like the home defence committee of HS to define what data we need to have in order to be able to assess ourselves as a representative body of citizens whether Croatia is safe enough or not and would also like to include more significantly in these activities the academic community with its information, interpretations, suggestions and comments.
ParlaMint-HR_2022-03-10-0.u96363	Dear Representative Bačić.
ParlaMint-HR_2022-03-10-0.u96364	Thank you, Vice President. I thank my colleagues, Oreshkovic, on the line. I agree fully with you regarding the academic community, and I have therefore highlighted the Cyber Coalition activities and this exercise that took place together with the Ministry of Defence, the Ministry of Defence and certain other public institutions, including a large number of universities and a large number of universities from Split, Zagreb and Osijek from computer to law school, and that's a good thing because cyber attacks and cybersecurity concern the entire public space and there without private actors, public, without government, without a ministry, we can definitely do nothing as a country ourselves. As for the consent of the opposition and the ruling, it should not be negative for anyone. These are serious topics, and these are the serious moments we're in, and it's a big plus that we have this big agreement and we can work very well on it. Thank you.
ParlaMint-HR_2022-03-10-0.u96365	Dear Representative Budalic.
ParlaMint-HR_2022-03-10-0.u96366	Thank you, Vice President. Your Honor. We are witnessing that through the conflict in Ukraine and the spread of false news in media space... is a certain damage. Is it a cyber attack through our media space if we testify to the increasing entry of Serbian capital into Croatian media and to what extent, how can we protect ourselves from such activities? Thank you.
ParlaMint-HR_2022-03-10-0.u96367	Dear Representative Bačić.
ParlaMint-HR_2022-03-10-0.u96368	Thank you, Vice President. Thank you, fellow Budalic, for that replica. I'll take advantage of my failure to reach my colleague Oreshkovic at the back of the Defence Committee itself. I agree with you there are things and foreign capital what we say about internet domains and Internet operators, these are all foreign companies located in Croatia and media houses. We have seen an attempt, but certain acquisitions in our area related to the television houses themselves. That's the problem if it's uncontrollable, we need to know what the state's interest is. We had a recent and closed defence committee session where the Director of the Military Intelligence Agency was, he gave us some things, convinced us that they were following the situation to react to every type of threat. Now as much as that, it was still a closed session as we can share it here with all the MPs, yet we have signed related to qualified data. [[Intruder Reiner: Thank you.]] Thank you.
ParlaMint-HR_2022-03-10-0.u96369	Dear Representative Balic.
ParlaMint-HR_2022-03-10-0.u96370	Thank you, dear Vice President. Dear colleague Bacic. These two decisions that we are discussing today are repeatedly highlighted today as being made in the context of aggression against Ukraine. It is indisputable that EU Member States should jointly strengthen cyber-resistantness and also develop common opportunities for cyber-security and defence in order, of course, to respond quickly and adequately to security challenges, all of which, of course, in coordination with NATO. It is therefore necessary to take clear steps to strengthen the defence cybernetic capacity, and thus to strengthen European security. The participation of the Republic of Croatia in this project is certainly one of the steps that will be taken to contribute to this and my question in this regard has been, in your opinion, necessary to take further steps towards this clear security defence? Thank you.
ParlaMint-HR_2022-03-10-0.u96371	Dear Representative Bačić.
ParlaMint-HR_2022-03-10-0.u96372	Thank you, Vice President. I thank my colleagues Balic for this replica. I'm not going to say cybernetics is a new thing, but there's a certain number of decades, and now we see exactly this example of Russian aggression in Ukraine, and now we see an example of how harmful and dangerous it can be. I am also pleased that you have pointed out at European level that certain institutions have been involved in the debate, under discussion I mean not only demagogical or political but also I see that the European Parliament's representatives are also looking for certain steps and the European Commission itself to take in this field. We know ourselves that the European Commission does not normally interfere with such conflicts at the level of arms supply, equipment and cybernetics that it is now involved. It is simply a problem that is ahead of us, we team no matter how many people we have sent to this cybernetic team we have in Morh a special ability that deals exclusively with it, so I think that the Croatian state has taken it seriously that together with partners it will do it well. Thank you.
ParlaMint-HR_2022-03-10-0.u96373	He will now speak finally on behalf of the Centre and GLAS MP, Dalija Oreskovic. Here you go.
