ParlaMint-HR_2022-04-28-0.u102862	- Mrs. Crescent. Hope Dreven Budinski will be the position of the HDZ Representatives Club, please.
ParlaMint-HR_2022-04-28-0.u106061	Thank you. My colleagues, Oreshkovic, come in.
ParlaMint-HR_2022-04-28-0.u106062	Thank you. Your Honor, I would like you to answer very clearly to the question to which extent did you include the judges themselves when making these amendments and the additions, which judges and how many judges were they who would apply these procedural provisions involved in creating their content? And the second question is, most laws kind of focus on the use of new information tools of tone shots and other innovations that I support, but I'm curious about how much you have ensured their feasibility in practice and I'm curious about the quality of the trial most important that we have a uniform court practice, what have you done to establish publicly available, so citizens have easily available a transparent database of judicial decisions that is searched by key categories? Thank you.
ParlaMint-HR_2022-04-28-0.u106063	Here's your answer.
ParlaMint-HR_2022-04-28-0.u106064	Thank you very much, Your Honor. Therefore, when we talk about the involvement of judicial officials or judges and state lawyers, all working groups that are held in the Ministry of Justice and the administrations to amend certain rules are always involved representatives of the judicial authority. In particular, if we are talking about the Law on the litigation of a member of the working group was Judge Katic, so the Supreme Court judge, but besides him there were also judges of the lower courts, were also representatives of the State's Attorney's Office. So, these amendments that we have today, the Law on the Procedural Procedure, we are primarily working for an effective and more effective judiciary. The judiciary depends on state lawyers, the judiciary depends on judges who apply the rules and are involved in all activities. There is, of course, a dialogue with the Association of Croatian Judges. As far as other matters are concerned, the National Justice Development Plan is worth a billion and 800 million kuna, so after this law has been passed the rules go, and certain means of recording will be invested, of course. [[The incursion president: Thank you.]]
ParlaMint-HR_2022-04-28-0.u106065	Thank you very much. Come on in, pals. Here you go. Here you go.
ParlaMint-HR_2022-04-28-0.u106066	Thank you very much. Dear Minister. Here's the first time we've heard about speeding up procedures and increasing the efficiency of the judiciary, and we are now, of course, introducing these deadlines both for holding the preparatory hearing and for the main debate. I hope so, and I believe it will be effective this time, but the main question remains what about all the cases so far? You yourself said that there are too many cases, that we are at the top of Europe in general how many objects we have. But the question is, you said that the court's hearing is a matter of distance, and there's no right to appeal against it. What will happen in cases of a little older citizen or those who may not be electronically close to technology and similar cases? Thank you.
ParlaMint-HR_2022-04-28-0.u106067	Here's your answer.
ParlaMint-HR_2022-04-28-0.u106068	Thank you very much, Your Honor. When we talk about the application of new technology, especially here's a remote hearing that institute has been introduced into the litigation process since 2019. And not knowing in fact that we're going to have a situation with the covida-19 panedemia where we could use that institute. And that's actually what happened that we didn't predict, but we made it possible for the pandemic to also be used by that institute of remote hearings and that the judicial authorities could work uninterruptedly, as can finally be seen in the number of cases that were received and solved in these pandemic years. We are now, through changes to the CAP, more specifically prescribing the institution's remote hearings itself, but certainly the Institute of remote hearings should take into the context of the right to access the court, so that there are simply procedures in which the parties have their own representatives, in which representatives are e-communication bonds where the actually remote hearing can be held and without access to the party itself. Where we can't do that, we'll get those judges to actually make this one a party's approach. Thank you.
ParlaMint-HR_2022-04-28-0.u106069	Thank you very much. Do the committee's reporters want to take a word for it? No, I don't. Thank you Minister, you can return to your seat. Now, after I open the debate, the first one will speak on behalf of Representatives' Club Mosta, a respected colleague, Kujundzic, please.
ParlaMint-HR_2022-04-28-0.u106070	Thank you, Mr. Bukarica, the Honorable Minister, the Honorable Mr. Salapic, and three colleagues and colleagues, four, five MPs. So what I would agree with in your presentation is that the chronic problem of the Croatian judiciary is definitely not judges. If we take our Croatia and compete with current Finland in the previous days we will see that one judge in Croatia solves about 300 cases at year level, while in Finland one judge solves 66 cases at year level. Also, 60 judges in the second-degree court plus 60 advisers in Finland solve some 4 thousand cases at year level while in Croatia, in particular at the County Court in Zagreb 40 judges solve the amazing 16 thousand cases annually. So we can agree that the key to the problem of the Croatian judiciary is mainly here if we are talking about the civil department and the ZPP are definitely not judges in the first place. What I'm going to talk about, and you've given me a partial answer, is that in the next package of laws, you will eliminate everything that proves to be actually a cancer of the Croatian judiciary. In my replica, I asked you therefore or mentioned two things, I know that the Municipal Court in Makarska is overcrowded, overcrowded with cases, so from the domain of ownership, which can be very easy to resolve, therefore, by transferring certain powers to a state attorney who will, on the spot, pass a certain verdict in favour of a particular party whose sides are all relevant facts, and then all such actions will be removed from the Croatian judiciary. What is also a huge problem when we talk about the overcrowding of Croatian courts where certain objects are extremely important and extremely important for the life of each of us can't come to order are actually litigation from damages compensation, painful neck injuries, now I wouldn't go into the machinations that the insurance houses are doing, thus showing certain amounts as operating costs etc., etc.. If a priority is known to the outcome of a particular case, there is no need to convene several hearings, court experts, all of this is paid neatly, and the cases that really need to be solved stand elsewhere. I believe it will all be an integral part of that package you're talking about. What I would really turn my back on today, here's my speech is about the FPP directly, and in these changes it's not mentioned, and that's the problem of delivery, which, in practice, is where various lawyers are still standing in drawers from 2013 and 2014, so I don't want to be either populist here, or here I want to be someone who throws wood and stones at anyone, I want to talk about what's the fact, and the fact is that in drawers still from 2013 and 2014 so I want to be someone who shoots wood and stones at anyone because of the problem of delivery. If we live and live in a time of digitisation, if Europe and the European directives have forced us to go to these, it seems to me that the ninth changes are unclear to me for which reason our mailman should still carry home invitations, so he doesn't find him at home, so bring them back, so someone doesn't want to receive them, if we have a very simple situation. My late grandmother had her cell phone device she knew how to write a message and send a message. Is it a problem to make one unique register of mobile devices that someone will get a call on, that's one of the models that comes to mind? And we're not going to get into a situation where someone hasn't received, that someone's returned a certain call, etc. And so on and so forth. Is it a problem to make a certain user box, so by e-invite send someone a call and be aware that we have done so on the legislative side and by the court all the things we needed, so we are fucking alive whether someone has read it or not. Therefore, the basic and only model in order to speed up the litigation process is the solution to the delivery problem, in order to facilitate the personal delivery process itself in litigation procedures, and the model to protect possible abuses of the front system, which is undeniable and easy to resolve through the institute of repetition of the procedure that the Institute as an extraordinary legal medicine works in quality and in the current arrangement. The very proposal for this law states in its assessments everything that I have mentioned digitisation, and then on the other hand, we do not offer these changes to the solution in accordance with this digitisation. If we are also talking about the introduction of sound recording and the limitation of the duration of certain procedures and others, I would dare say the wetlands of the European directives, I'm afraid they'll be shooting at nothing, and I'll explain to you why, God forbid I'm wrong. To imagine a judge who is in the category of someone who is not a worker, and there are such people everywhere, there are such ones in the house when it is necessary to clean the table, there are those everywhere we turn in each system, but if we take an example of such, one of them will easily compensate and bypass this way of recording the procedures themselves and limiting the duration of the period in a way that the wolf is full and sheep. I'm telling you this if you have space, and I'm sure it's your profession, so you'll do much better to compose one of the rulings into a certain form of amendment so that this kind of ZPP is better if we listen to those who meet each other every day. So, to return to that case, the above example. So, for example, Is it any of the legislators that comes to mind that a judge who doesn't do anything meets a famous standard without any trouble? So, to do nothing will fill out its court quota despite the fact that we will have a recording and that we will have a limited duration of the proceedings. How? So he is reluctant to provoke the participants in the process in quotes because it is the brother’s duration, and someone needs to be resolved in order to solve certain other matters by solving a man in his life. So, by provoking the participants in the procedure, mostly the prosecutor, because he needs to complete the proceedings, the prosecutor can withdraw the lawsuit and file another which he has the right to beg God not to assign the computer to him, to assign the computer to someone else, and not to the same one again. And if it works great, if it doesn't, he's withdrawing the lawsuit again and again the same procedure. And the non-worker's judge for such withdrawal under the applicable rules for each withdrawal of the suit will be honored with a certain point effect and eventually more than three of his three withdrawals in cases in which he has not moved his fingers bring more points than one resolved case of a judge who had to conduct hearings, eyewitnesses, to listen to witnesses. And it's like when a non-worker comes to a smaller place in a voice like that, then everyone's pulling charges as soon as the system assigns them to that judge and buying a man points like he's the biggest worker in this system. We'll agree that it's total absurd. And we'll agree that for these, you'll definitely need a certain control mechanism. All of this, and I hope that there will be opportunities in the individual, so I wouldn't want anyone to understand me, despite the fact that it's the easiest tree and stone and sass, the goal of all of this here and all of us here is to try to make the situation better. On that trail and in that sense I would beg, and you know better than me, that these certain things if they are correct, incorporate. [[Intruder: Thank you.]] Thank you.
ParlaMint-HR_2022-04-28-0.u106071	Minister Malenica has now returned, has the right to have five minutes of exposure. Here you go.
ParlaMint-HR_2022-04-28-0.u106072	Thank you very much. Well, here's the esteemed president and the esteemed representative, it's hard to explain everything the Justice and Administration Department is doing in response to the replica. However, here in your presentation you pointed out some things that require certain reactions. First of all, the issue of judicial delivery, therefore you have well noted that these amendments to the Law on the Procedural Procedure are not covered by the issue of delivery for the reason that a working group is currently formed at the Ministry of Justice and Administration, which is actively working on the adoption of a single regulation that will regulate judicial delivery. So now we have litigation, criminal proceedings, and certain actions that each of us handles the issue of court delivery. So now we're going to pass a single law that will arrange court delivery. It will be called the Law on Court Delivery, and it will therefore integrate into itself all these processes and modernization or digitisation of the delivery process. So there is also the development of the e-delivery project together with the Croatian Post Office where we will have a digital delivery and digital return. You pointed out this section relating to the system of e-Citizens whether there is a possibility that if we already have an application or a platform of e-communication where citizens can apply, they can get judicial, judicial writing into the user's mailbox of the e-Citizen system. As far as other matters are concerned, I would also point out what is important in the Law on Parley Procedure or Amendments, these are small-value disputes, which are generally now written, that will certainly relieve the courts or shorten the proceedings themselves, but I would also point out the Law on Peace that we are planning by the end of the year and the Act on Extraparnical Procedure, which has not been passed since 1934. And in fact, through the rest institute that didn't live the way the legislator wanted when he passed that law, we'll try to solve certain proceedings before coming to court. And also through the Act of Extraparnical Procedure, so part of the procedures to modernise and resolve them in a much more efficient and efficient way. Also when you mentioned norms, framework standards and what we actually did at the end of the last year, last year, where we brought new framework criteria that are certainly going to lead to judges or at the end of the year having more resolved cases than we have in recent years, that actually judges solve more cases annually or to monitor their execution. So far, compliance with the norm was 80% of the norm, but new framework criteria will therefore also include the Law on Prosecution, so judges will have to meet 100% of the norms in order to make 100% of the framework criteria in order to be considered to be fulfilled. Since last year, we have also implemented action plans, so the Action Plan for an effective judiciary where we monitor each court at a quarterly level, follow each judge and in a quarterly conversation with all the presidents of the courts individually, where we actually point to certain problems that we see through the system e-Subscribed, so digitisation has made it possible for the system to monitor the efficiency and effectiveness of each court and each judge and that through this system we can influence that individual courts or individual judges are effective and that they meet framework criteria. As for other activities, then, I would also point out the Law on Land Books that speeded up should come here to a assembly that certainly goes towards speeding up the procedures related to land books, especially land book renewal procedures. So the area of land books is very important to us both for entrepreneurial activity and for everything else, so it is also one of the important and important laws and regulations that we are preparing. And when you look at the legislative plan in 2022. where there are about 50 regulations, the 50 laws that will come here in HS, something in the second reading, something smaller is in line for the EU, so you can see that some kind of mosaic that we agree on through changes to these laws. I can agree in a certain part and say that it is not a good hyper normisation, but when you see some problems in practice you have to solve them and actually through changes to these laws, but also through the NPOO and the Multi-annual Financial Framework that is being prepared. So we have good grounds for the judiciary in the future to be effective, effective and to restore the slow trust of citizens in the judiciary. Thank you.
ParlaMint-HR_2022-04-28-0.u106073	You have two replicas of the minister. The first one is a colleague of Oreshkovic's. Here you go.
ParlaMint-HR_2022-04-28-0.u106074	Thank you. The Honorable Ministers. I think that in every regulation, the quality of the provision depends on their involvement in the creation of those who know most about some matter, so that's how this particular law applies. When I asked you who the representatives of the judicial authority were, it is clear to me that you in the working group invited the presidents of the courts both here and there, but I am interested in how much you expanded the base, how much effort you made to get from the 1700s and some of the judges that Croatia has as many of them as possible about what is really going on in the courts. So, what I'm afraid of is that in principle I don't object to these technical improvements and the use of IT tools, how much of this moment is there the readiness of our judges, so that will do so in the best possible faith and the will to really stick to what's written here? Did you even ask them? How should norms and regulations read? [[The incursion president: Thank you.]]
ParlaMint-HR_2022-04-28-0.u106075	Here's your answer.
ParlaMint-HR_2022-04-28-0.u106076	Thank you very much, Your Honor. So, you know that the working group has a limited number of members, so I can then provide you with who except Judge Katic were members, and they were members of the county court and judges of the municipal court, so we covered all the levels of the judiciary. There is an institute of public consultation, I assume you have looked at the comments at the public consultation where a very large number of judges appeared, the president of the courts and other stakeholders in that judiciary and the Association of Croatian Judges. We also have a conversation next week with the Association of Croatian Judges who we hold as a partner in this. I mean, the judges are important and important to us because without them, we can't implement any regulations, so we agree that there's some kind of dialogue, a good dialogue as far as I'm concerned, because tomorrow it all depends on how the judges apply. So they are included and through public consultation, we have taken into account some of their proposals and, of course, between the two readings we will continue to discuss, specifically here on Thursday with the Association of Croatian Judges. Thank you.
ParlaMint-HR_2022-04-28-0.u106077	Second replica of fellow Sacic please.
ParlaMint-HR_2022-04-28-0.u106078	Dear Minister. It is certainly very important that a provision in the transitional content relating to the application of existing or proposed legal solutions to the existing state of civil litigation in civil trade disputes is also important, and that you have put a certain provision in place that everything that is older or older by 2013 that will improve in certain respects, that is very good. This should be well-determined because it can come to really big forests, for example I personally had the opportunity a few days ago of the vehicle book was abolished in 2013, but by chance I lost it somewhere in 2008 and now I had to waste time, space to get confirmation from the MUP that I lost something that wasn't worth it at all. It's crazy stuff, it's terror red tape.
ParlaMint-HR_2022-04-28-0.u106079	Thank you. Here's your answer.
ParlaMint-HR_2022-04-28-0.u106080	Thank you very much, Your Honor. Therefore, the Law on the Procedural Procedure is one of the two most important procedural laws in the Republic of Croatia and are certainly the transitional and final provisions regarding these amendments and the additions are extremely important and important because of the large number of litigation procedures currently being conducted in Croatian courts and therefore we have taken a serious consideration of how we will regulate transitional and final provisions. I personally believe that we have done them very well and very well, so the current regulation applies until the end of the process except for the revision itself. But of course, we now have time between two readings, of course, and after these amendments are in force and the addition of the Law on Procedural Procedure here we will certainly go after it to be the Judicial Academy that prepares judges to apply this regulation as best as possible. Thank you.
ParlaMint-HR_2022-04-28-0.u106081	Thank you, Minister. Let's move on with the debate now, on behalf of the Centre and GLAS Representatives Club, a respected colleague, Oreskovic, will speak. Here you go.
ParlaMint-HR_2022-04-28-0.u106082	Thank you, Chairman. It is really motivated to talk about how we are going to improve our judiciary, which is looming under the burden of strong mistrust of citizens when there are only five parliamentary deputies in the assembly. So much for that and for all of us. As far as the law itself is concerned, it is simply a technical regulation, technically which does not in any way penetrate the architecture of the judiciary, and we, if we want to move forward if we want to improve, should then be hacked into that particular architecture. These are the essential reforms and changes from which this government flees like a cat or an environment around them as a cat around a hot porridge. When I say architecture, and when I talk about what may be three key measures, the three key steps that should be taken is to establish stronger control over the work of the judges themselves. These controls today are de facto gone, so the first thing the state should deal with is the DSV structure. It is today a body consisting of 11 members, including two parliamentary representatives, we also have people from the academic community, but none of them performs these jobs in terms of professional and permanent engagement and therefore we have situations that check property cards are a mere form, and at the very level of the law that defines what this check actually contains is about checking the form, not the essence and choice of how the property is obtained. I think that the new DSV Act is also in preparation somewhere, but again it does not penetrate anything essential, so we need DSV which was formed as one permanent institution as we did in 2011 to change the Commission's decision on conflict of interest, which by 2011 was an ad hoc body to a professional permanent state-owned institution. That's what should be done with both the DSV and the membership members to remove those who do not belong there, which are primarily parliamentary representatives. The MPs cannot, because they do not have the necessary specific knowledge, cannot verify the property cards of judges and cannot decide on their strict responsibility, nor should they interfere with the selection, appointment, promotion and shift procedures, so this is the first foundation and the first pillar. And the second pillar is control of the transparency of the court decisions itself, and I don't mean the control carried out by a higher instance, I mean the control carried out by the citizens themselves because with due respect for the proposed changes that I think some of them have good potential, but they're simply accepting the century in which we live. These digital tools that we are now introducing in the process itself and in the trial process are not something that fundamentally changes the quality of court decisions. It's like saying that if you introduce computers and tablets into schools and into the education process that will change the quality of the class itself. No, the class and the quality of what the teacher conveys to the students depends on the quality of the teacher. Thus, the quality of the court decision will depend primarily on the quality of the judge himself, on the quality of the material rules under which the judge judges and everything else is merely auxiliary technical means. Now what we're about to do here is, let's say, technically, on a good path, there's a key missing. So, there's an old, old saying that justice is worth not only if it's done and implemented but it has to be visible that it's enforceable and there's this element of our citizens' mistrust because they have an impression that unfortunately is very often and that in the same situations at the level of different courts, they make diametrically opposite decisions and we haven't been able to solve this problem through appeal procedures, and even at the level of audits, and we've had situations that different county courts have made quite the opposite decisions very often. We have a lot of information about this through reports from the judicial authorities, or through reports from the Supreme Court President. In order to solve this problem, it is important to introduce transparency of court decisions in a way that enables judges to control them themselves. The reliability of the trial will also reduce the number of court proceedings that are being opened and initiated because everyone else will be able to conclude rationally what awaits him in the court proceedings, and that is the result of the damages. If someone knows whether his claim is warranted, if he knows that he can get about 30 to 50 thousand kuna, then he himself will assess whether he is being tried at all, paid by lawyers, or reached for some settlement procedure in which someone will stick to these frameworks and parameters publicly available through such a database. So, I don't know how many times we've been behind this pay phone, and even by the government's representatives, we've heard the word digitization. The entire Strategy for the Development of the Republic of Croatia, the NPOO, which you want the Strategic Document contains this famous word of digitisation, and in none of the key processes, we have not established, for example, a publicly available register of state property, we have not established a publicly available register of all business relations concluded with public authorities, and if we are talking about this concrete law, what is missing is a clear plan and a clear hodogram of the implementation of the database of judicial, judicial decisions. That database is going to be a team, a team more important now that we're introducing, and I'm going to say some of these really new things that way through the tone recording of court hearings. How do we control the processes? In tone shots, one will write one thing, and someone who listens, for example, to the testimony of witnesses or warlocks based on listening to the video will get an impression, and in the record it will write something perhaps quite different, not necessarily incorrect, but sufficiently short, sufficiently mutilated to leave one entirely, quite different impression. And what will be written in the court's ruling will be seen. And how much this court decision will contribute to the fact that we can control whether, for example, the court in Split, Dubrovnik and Osijek had the same criteria and standards in a typical case. And for the end of the third pillar that I think would take a big step in some balance of power within the system itself is a question of who controls the system of the e-record. It seems to me that the President of the Supreme Court, when he explained his programme here in the Croatian Parliament, was right when he said it was not quite appropriate for the system of the e-scription to run the FINA. He is nominally the owner of the Justice Department program, but this is also a very powerful tool in which the executive authority holds the keys, and it is an important, important control key over the judicial authority. Let us leave the system of e-recording to the judges themselves, introduce new modes to make it easier for judges to examine court practice themselves, but at the same time that they can make their comments in that system when they directly notice in some regulation how it works in practice. And finally let's start to respect what the judges themselves have to say about any regulation. We often pollute the judiciary, and those to whom it all applies are at least asked in practice. It is not the same to be the president of a court or to be an ordinary judge who is engrossed in his writings and days and nights in his courtroom, and believe it or not, there are such judges. You won't find such judges in the media, you won't find them on TV shows, you won't find them on coffees with high-ranking HDZ officials, and just those judges would have the most to say. Thank you.
ParlaMint-HR_2022-04-28-0.u106083	Now, on behalf of the Social Democrats' Club, a respected colleague, Romana Nikolic, will speak. Here you go.
ParlaMint-HR_2022-04-28-0.u106084	I would like to thank the President of the Assembly. Dear Ministers and State Secretarys, colleagues and fellow MPs, the Law on Criminal Procedure in the last few amendments has been amended with the aim of overcoming the perceived problems in its application and in order to make civil legal protection more effective, especially for the functioning, acceleration and reduction of the costs of the litigation process more effectively. Both these amendments and additions aim to further improve civil legal protection and comply with EU rules. Faced with the exceptional circumstances caused by the crisis caused by the Covid pandemic and the change of circumstances and the way the whole world had to adapt to the new circumstances becomes an imperative of the digitalisation of the judiciary with the aim of ensuring an effective litigation procedure. The digitisation of the procedure will reduce the number of pending cases in courts in the Republic of Croatia, but possible traps should also be foreseen through individual digital practices that may lead to infringement of the right to a fair procedure. Furthermore, despite the legislator's efforts to speed up court proceedings, it is doubtful how much longer it will take to achieve that goal. Namely, it is necessary to leave the paper form of the court files and to introduce deadlines for judges, all of which requires adjustment and time. Through the introduction of a tone recording debate in a litigation procedure, such a solution would need to be fully equipped with courts at all levels, but also to allow parties to be able to use those recordings. It should be pointed out that all of this requires additional funds and the preparation of judges, lawyers and parties. When holding a remote hearing, as proposed by these amendments and additions, it is necessary to take into account that all parties do not have technical opportunities to participate in the debate at a distance or must ensure that all parties have equal access to the court. The novelty that we can welcome, which the legislator states is also the objective of amending and supplementing the CAP, is to update the litigation process as a whole, which is to look at and prevent the decisions of surprises or decisions changed by appeal on the basis of a new legal assessment of the dispute which is significantly different from the legal assessment discussed in the procedure and which the conscientious and caring party could not reasonably foresee. Finally, although the intention and objective of these amendments and the addition of the CAP is to speed up court proceedings since a whole series of additional and preparatory adjustments are necessary, this acceleration will certainly not take place for the next 5 or more years. In addition, since the original law already has a number of amendments and additions, and taking into account the report of the Legislative Committee in which the whole set of objections to this bill is, in the interests of legal certainty, the Social Democrats Club considers it necessary to access the new law. Thank you.
ParlaMint-HR_2022-04-28-0.u106085	Now on behalf of the Club of Representatives of the Croatian Sovereigns, the respected colleague, Željko Sacic, will speak on behalf of the Croatian Sovereigns' Club. Here you go.
ParlaMint-HR_2022-04-28-0.u106086	Dear President, colleagues and colleagues, ministers, state secretaries, Croatian public, we as the Club of Croatian Sovereignists have repeatedly pointed out the need to do everything in our power especially in this assembly to reform the Croatian judiciary, to take certain measures primarily on material technical modernisation, personnel teaming, on everything offered by modern techniques, methods for the best, the more effective and the faster the trial because only rapid justice is good effective justice. Of course justified, checked at all instances. This step you have now made with this proposal to encourage the European Parliament and the Council, especially after this terrible year of earthquake, where money from this support programme has been provided by the EU is possible at the last minute and financial resources are now provided not only to patch up the roofs so that the courts do not sneer, the courts, to complete equipment, technical issues, information but to digitise, to actually enable us at a modern civilization level in terms of how this modern time brings and how we all expect it to be. And that's how this process, all of these great frustrations about hundreds of thousands of objects that we've had piled up over the past few years after this solution, will certainly speed up and we'll start from a dead end. And that is commendable, it is to praise, especially, the task force that has dealt with these proposals for a new law on litigation, these are terribly complex legal issues, these are very complicated procedures that need to be tackled by the greatest experts. I have no doubt that you hired them, of course I welcome the idea of my colleague Dalia Oreshkovic, who says that even more should be included in the whole system. But already the very fact that you have determined mandatory communication by electronic means, by e-mail for state bodies, state attorney's office, police, court experts, etc. The whole series of taxed already is the revolution, it's at the level of that time when from some long time ago the former state of Yugoslavia started writing the minutes by hand on a machine, a typewriter or a typewriter 30, 40, 50 years ago in a computer way. This is a good approach today, you've put an e-Advertising here, and that's one way to solve the frustrations of our people, to speed up the procedures that our colleague Ante was talking about, all you've suggested is an absolute step in relation to the current situation. We can now be theorised by looking across the border of the Republic of Croatia whether there is anything better in Italy, Germany, Switzerland, America, but here in the area affected by the resection of Roman law, with hundreds of years of process, you have put even in one litigation process the elements of the proactive action of the courts, even in that part you went to that institute that the court and independently of the parties in the case may take certain measures, for example, to complete the procedure if they do not come to this final debate in the main debate at the final hearing if there are conditions. So I think in any case it's good, we'll support it, our public will support it and you'll see certainly great moves in the quality of the trial. Unfortunately, I myself have had several processes in recent years because of various slanders, etc., private lawsuits, so I have personally seen how this and where it can be misused, how this process can be stalled. Now that I'm looking at these rules that are available to judges, it's going to be a spaceship, it's going to be a new approach. For the first time in the GPP, or in the Law on the Procedural Procedure, you put this instructional one that looks even more like a pre-inclusive deadline for proceedings in which litigation proceedings must end, especially in the first degree, in the second degree in the Supreme Court of Audit, these are all extremely good solutions. And you even referred to the positive effects of these deadlines in working disputes. So that's already proven to be possible. Of course, it's all good and in the end I'd say just don't feel sorry for millions. Here you have said 68 million and 700 thousand kuna that for a litigation procedure should be organised in all courts that information, digitization, that we can say on one side is big and not big money, but given the effect it is negligible. However, later on, when we're going to talk about the Criminal Procedure Act, I'm not that optimistic and I'm not that happy because there's less money you've secured and you've left space. There is no reason to provide only 15 million kuna for the modernisation of our courts in criminal proceedings, and even open the space that some proceedings will not be able to do so, but in the future you will only put in place one declarative provision that other courts will approach modernisation in criminal proceedings when conditions are obtained. I'm not happy with that, but we'll do it in a second wheel. Anyway, I wish you success, and it's very good. You can also see that you are taking care of other elements because you have all the rules, there are several places you have determined that with the rules you will further explain, do and give instructions to the courts, reduce to the adoption of that 60-day deadline, that's good. I can only grab my head when I remember how various ministers, say the secretary of defense, civil war victims laws, defenders, ma 6 months, please give yourself a nice time, 6 months to postpone it means the law we've passed here takes six months to put it in full application, so it's out of your mind. I'm glad you took care of it, you just said it for 60 days, you've done it before. Do it before. Thank you, good luck.
ParlaMint-HR_2022-04-28-0.u106087	Now, on behalf of the Club of Representatives of Focus and Independent Representatives, the Honored counterpart Zurovec will speak. Here you go.
ParlaMint-HR_2022-04-28-0.u106088	Thank you, Mr. President. Honorable ministers, respected MPs and MPs, I'd basically tie these practically two laws here. So the one who's in the debate right now, and the one who's gonna come back later. So the first thing that falls into the eyes is that most of the observations were made through a public debate that was generally not accepted. And in general, looking at this very system of public consultation is already becoming a serious problem, and I am really interested in whether this public debate is really an instrument we want to serve or have it just for the sake of order. That's what I'm saying most because, as far as I can tell, the judges, the lawyers, the chambers, the office of the occupier, the judicial association, that's what I'm saying. persons whose law is primarily about the litigation process of the tool that is used daily and who know all its advantages and faults. Most of the remarks are mostly concrete, objective, but not only not adopted but my impression is that it wasn't even thought about it. Anyway, as far as the public can see, it focuses most on the tone recording of the debates. However, this should definitely be welcomed, but this revolutionary change has also been accompanied by automatic changes in all the usual actions in the litigation process. I have the impression that no one took care not only of the technical possibilities of the courts but also of others who would have to adapt to these novelties. That's where I primarily think about public notebooks. Those in the Republic of Croatia are mostly conducting desert procedures. Leaven procedures are out-of-party, which is true, but they are subject to the Law of Parley Procedure, so it will also have to have equipment for tonic recording. The system itself does not normally work properly, there is no possibility of uploading larger files which I consider to be a technical failure, and sometimes it is under maintenance so it cannot be accessed or collapsed at all because more people are accessing at the same time. I think it's a serious technical failure that needs to be resolved as soon as possible. The mandatory content of the court minutes is also no longer the same. So it's only basic, and no emergency situations are foreseen anywhere, a guy that if we run out of power, what if we're going to lose the Internet, what if we have now, as we've seen lately, hacker attacks, which is the security of that system itself. If the notes are in tone, and the party has to file a legal remedy in a certain way, let's say the complaint and can't then access exactly for the reasons mentioned above, what will happen then, what will we do. It is not even specified in which format it will store, so the question is whether it will be any commercial and all available program or something else. At the same time, not only the court but all parties will also have to have equipment to store, but also to listen to these videos, which if someone does not have how they will be able to access the contents of their case which will no longer be in writing. It is also important to point out that, according to the new natural persons carrying out their registered activity, they become mandatory participants in electronic communication. This includes primarily craftsmen. Unfortunately, today the craftsmen are more mature and a large part of them may be smaller, come on, God is a little weaker with technique, and he mostly does not serve it. With these provisions, I think they will also be significantly difficult, and in practice, perhaps impossible access to court. It is hard to expect that a slightly more experienced and older craftsman will check his electronic box daily, and it is even harder for a pensioner to listen to the tone of the court hearing on his computer. I ask you what when the public is excluded from the debate for example for the protection of minors, then what do we do? Are we going to prescribe that tonnes obtained or which are allowed to be accessed as parties to the procedure should only be listened to with headphones so that others do not hear them precisely because of the protection of a minor. We're also going to make sure those headphones are put on so others don't hear if we listen to it, for example, in the cafe. What if it gets out in public? What about those video discussions, can I say, share in public through the media? These are some serious failures, and I have to end up here with a different, different aspect. Although it may not have been so much to do with this law, we could see that this one indetermination and inequality of judicial practice and legal disorder that refutes investors create one systematic injustice that eventually leads people to leave Croatia. The laws must be clear. They must be universally applicable. They must be the fruit of a wider debate. It can't be a public debate just a reform, experts have to ask. If he only had the designs I'm really wondering why spend it for anything at all. Then we can shut it down automatically. I would also draw a little attention to that famous government rule on service areas, and there was also no respect for the opinion of the profession, nor the opinion of the people who, for example, are dealing with it, but it was all done in a completely insane way. And if you are not already reading the advice in the public counselling process, here is a comfortable advice. Croatia is ultimately nobody's private property, it's not mine, it's nothing, but the Croatian people should be involved and, of course, our experts in the debate on all important issues. And as for some other things, especially with regard to government procedures if people are excluded, experts are excluded, so we really can't expect to have some good results and good laws. Thank you.
