ParlaMint-HR_2013-06-26-0.u35491	Here you go, colleague Jandrokovic.
ParlaMint-HR_2013-06-26-0.u35503	Dear colleagues and colleagues, I don't care if the information is correct that the German police have raised the prize on the basis of a European arrest warrant, they say. I'm not particularly sad that Mrs. Merkel won't come to Zagreb, whether for that reason or any other reason, I don't care. It doesn't matter to me, or I'm going to ask what the Prime Minister's sentence is today at the government's session, you're going to push the fox out, you're going to drive King Kong out. I caught information a few days ago from a state official that 80 European arrest warrants had already arrived in Croatia. Only the executive authority or the bodies of the judiciary, the police probably know if it's true and who it refers to. Here we have another problem, we have a problem with the credibility of the Republic of Croatia in terms of decisions and proposals of the Executive Authority and possible decisions of the Croatian Parliament. When this was to be taken into account and these were negotiations in the Justice chapter and before the accession negotiations were concluded, seek exceptions, delays, deadlines or anything else. It's not done. And we've taken over our duties. We must carry out our obligations if we want to be credible and when we do not like those obligations. On this occasion, a sentence of all government presidents, all foreign ministers of European integration when the topic of Croatia's EU accession was present. Unfortunately, a few days before 1.7, this credibility was compromised. We could have done something different. The Croatian judiciary could also ask for the takeover of the case at the time the case was opened in Germany. It wasn't done either. I will not interfere in the public bickering of the Prime Minister with the Attorney General. That's what they're gonna do to each other. It's a shame they're running the dialogue through the media. I'm only interested in one thing, if today the government has made an official decision at its session to withdraw the law from the procedure, nothing else. This response can come orally after this speaker or by written submission by the Government of the Republic of Croatia in the next few minutes. This is a question of the credibility of the legislator and Parliament's relationship with the government. That's what we've been talking about for hours, and we'll talk about it for hours and on the basis of the Rules of Procedure. You will see what the provisions of both this law and the Rules of Procedure mean if the Government is now, the Croatian Parliament does not officially report on the fate of this law. That's all he has to do. No one about me and the Labourer has to come here. Just let them give the official answer. I also accept the written.
ParlaMint-HR_2013-06-26-0.u35504	Thank you. On behalf of the HDSSB club, colleague Josip Salapic.
ParlaMint-HR_2013-06-26-0.u35505	Thank you very much, Vice President. On behalf of the HDSSB Club, when it was debated on the European arrest warrant, we said one key sentence and asked the key question of the Minister of Justice, which is whether we got the green light above all Berlin and Brussels to change the Law on the European Arrest Warrant here in the Croatian Parliament not because we have no sense here in Croatia, not because we have nothing to do but change the laws as someone likes but because of the credibility of the state, international and European policies of Croatia. Too much has been done, too much has been spilled for Croatia in recent years to give this kind of rain primarily to the Croatian state and our people 7 days before Croatia's entry into the EU. We do not want and support any law that will be passed by anyone's name here in the Croatian Parliament. But what is true about these suicide crimes, the communist crimes and any crime committed in any war in the Republic of Croatia should be tried by the Croatian judiciary. And where was the role of the Croatian judiciary and the Croatian State's Attorney's Office in this case it should be asked questions. And for us here in the Croatian Parliament today, first of all, it should be uncomfortable and unpleasant that a world politician and stateswoman, one who is from the international recognition of Croatia, let us not forget the role of Germany since the years of the first recognition of Croatia, our war route and the creation of the Croatian state, that one person representing the Federal Republic of Germany, one key role in Mrs Merkel's European policy due to such failures does not come to the Republic of Croatia. No one forced us to discuss the laws we passed in chapter 23 when we had an open legal path, which is the debate over the European arrest warrant from 2010 to talk or not to talk about dates. We are now forced to publicly embarrass ourselves 7 days before Croatia enters the EU. And not just that. Germany is one of the last states to ratify the treaty, which is accessible to the EU, and we only sent that or 5 days later to the Croatian Parliament procedure and we embarrassed our country first. We also embarrassed the late President Franjo Tudjman, whose idea was to create a Croatian state in the NATO Pact and then the European Community, today the EU. And today 7 days before that because of one law and because of one case regardless of which we are back at the time of the UDBA and Communism and we create slaps for the Republic of Croatia a week before our country's entry into the EU. What about who will think and what we should talk about as representatives in the Croatian Parliament can only say that it is embarrassing for the creation of the Croatian state, for Croatian defenders, for all the prime ministers of the Republic of Croatia so far and for everything we have done for Croatia, this should be a political, international shame that we responsible politicians and responsible Government of the Republic of Croatia should never have allowed. And what we're going to say now that there's a vote on that law on Friday that we have a different opinion now. The minister himself confirmed here that he did not get the green light and that there is no consultation with Brussels on this law, and we have allowed ourselves the luxury of passing this law and saying that it is not because of someone, but because of the interest of the Republic of Croatia in the EU. I think colleagues and colleagues that the time has come if we are really ready for Croatia's entry into the EU, if we really want to act as a European people and as a community of European states, free democracy with the highest fundamental values of human rights, which is that no crime will go out of date, no crime must have protection in the Republic of Croatia or in the Croatian Parliament, and most of all these crimes of communism and refugees, including all those who have innocently died in any war for the freedom of the Republic of Croatia. I ask you and I believe that we will not allow this kind of disgrace more in the Croatian Parliament and that the President of the Croatian Government should appear here before us, and first of all send an apology to Mrs. Angela Merkel, who has done a lot for the Republic of Croatia, I can say freely and most of all European politicians so far. Thank you very much.
ParlaMint-HR_2013-06-26-0.u35506	And on behalf of the Club of Independent Representatives Jadranka Kosor and HGS colleague Jadranka Kosor.
ParlaMint-HR_2013-06-26-0.u35507	Madam Vice President, ladies and gentlemen of fellow Members and colleagues, I believe that most of you share the feeling and thinking here with which I personally am going to go to this payphone, a feeling of truly terrible discomfort and great shame because if this is exactly what the portals are writing about, what do the media say that Mrs Merkle has cancelled her arrival in Zagreb, the arrival in the Republic of Croatia, of course, immediately raises the question of whether ladies and gentlemen will cancel? Will anyone else refrain from coming to the Republic of Croatia on this most important day be here in decades of Croatian independence when we have actually achieved the last greatest historical strategic goal, which is to join the EU. I feel bad about having to repeat some facts that are notorious, feeling uncomfortable that I might be bored about it, but it should be repeated. So, the law which we regulated by the European arrest warrant came from the Constitution of the Republic of Croatia which we changed here in 2010, we adopted it by consensus, without then opposition of course we could not change the Constitution, in the Constitution we adopted that provision that the Republic of Croatia as the 28th member accepts this European Arresting Institute. There has been no debate that would suggest that the Government of the Republic of Croatia should take up some restrictions. Then after that, we passed the Law on a European arrest warrant. Also, I don't remember any suggestions to install any time limit. So, August 7, 2002. And as we all know, we did bring it in one consensual atmosphere. I repeat the fact that some may forget, some may not know in the Croatian public, perhaps not, all the laws, all the main provisions, all the main decisions of the Government of the Republic of Croatia had to go through the solution of the National Committee which supervised the absolute work of the executive authority in this regard, headed by today's foreign and European integration ministers. Therefore, that there was a reason to be installed and that anyone felt that such restrictions should be incorporated could be raised as a question on the National Committee. So we passed the law, nothing since 2010, absolutely nothing in that sense has changed, not one single circumstance. We all knew, I won't mention names, we all knew who and why the European arrest warrant could apply. I certainly don't think that when we talked about that law, it wasn't enough to just say something, at least about the opposition and do it. We've made an amendment on behalf of the club. That is why I think it would not be good for the government to withdraw the law because the EU, the European Commission, our colleagues in the 27 Member States, could not be sure what the Government will do in September or what the Government will do in September, but the ladies and gentlemen of the Government should accept this amendment which deletes this restriction so that we can fix this damage and finally know what the position of the Republic of Croatia is on July 1st. Not only the Government of the Republic of Croatia about the European arrest warrant. So that we agree to use, use, or submit to, that institution in the fullest sense of the word as we have negotiated. This could open Pandora's box so the government remembers to change some other laws when we become a member of the EU. Of course all this is happening in the atmosphere, which is particularly embarrassing, so the last ratification of our accession contract was in Germany on June 6th. It was not an accident, and after that 13 June, the government sent amendments to this law. So there are too many circumstances that suggest imagination. So, I propose on behalf of my club to accept this amendment that my club and I have invested on behalf of the club and completely and forever removed from the Republic of Croatia to enter with a fig in my pocket. We must do everything possible and at this point that as proud as possible and joyful as possible, we leave in that July 1st. What is happening today has indeed cast a great shadow, and I remind you that it has also happened with problems with the Ljubljanska banka which in my opinion would not have been if also the Government of the Republic of Croatia had made some decisions that had complicated the procedure a year ago.
ParlaMint-HR_2013-06-26-0.u35508	Thank you very much. We're continuing the debate.
ParlaMint-HR_2013-06-26-0.u43830	Dear colleagues of the Croatian Parliament, distinguished colleagues in the Croatian Parliament, continue with the plenary session, 8th session of the Croatian Parliament. According to the agreement reached, i.e. according to the agenda, it is the final draft law on the cooperation of the Croatian Parliament and the Government of the Republic of Croatia in European affairs, second reading, PZ No. 373 The legislator is the Committee on the Constitution, Rules of Procedure and the political system. You've received the motion for an act in boxes. In the case of the adoption of this law, the provisions of the Rules of Procedure relating to the second reading of the law shall apply, those shall be the provisions of Articles 155 to 157. Rules of Procedure of the Croatian Parliament. The debate was conducted by the Committee on Law, the Committee on European Integration and the Committee on Justice. You received the reports at the session. Would the applicant's representative like to further explain the proposal? Yeah. Peja Grbin, Chairman of the Committee on the Constitution, Rules of Procedure and the political system. Here you go, Your Honor.
ParlaMint-HR_2013-06-26-0.u43831	Thank you, Mr. President. Dear colleagues and colleagues. We are facing the Final Proposal for a Law on the Cooperation of the Croatian Parliament and the Government of the Republic of Croatia in European Affairs. After the first reading was carried out, the Committee on the Constitution, the Rules of Procedure and the political system as proposing the act in question considered the comments, proposals and parts thereof and, in my presentation, I will make changes to this law in relation to those which were in the first reading. First of all, Article 3 of this Law has been amended in the section concerning the powers of the Parliament in the performance of European affairs. The power of the Assembly shall also state those powers arising from the Treaty on European Union, or the Treaty on the Functioning of the European Union. Also, in order to maintain the pace of reforms needed and after entering the European Union, in order for the Republic of Croatia not to happen what happened to some other countries that entered the European Union more unprepared and after entering the necessary reforms, it is envisaged that the Parliament should monitor the work of the Government in ensuring the sustainability of reforms and the implementation of all the obligations arising from the negotiations with the European Union and the consistent application of the acquis of the European Union. Furthermore, Article 4 states that some of the powers of the Croatian Parliament in European affairs will also be exercised by the Committee on Foreign Policy. The section concerning the European Union's common foreign and security policy on the exercise of the Parliament's powers states that this will be done by the Committee on Foreign Policy. Certain amendments have also been made to the article concerning the notification of the Assembly in such a way as to allow the European Union documents to be delivered to the Assembly in addition to ensuring EU access to the base by other means. In considering the position of the Republic of Croatia, it is said that the envisaged procedure applies not only to the Committee on European Affairs but also to the Committee on Foreign Policy and the Croatian Parliament when it determines its position at the plenary session. This Decision shall enter into force on the day following that of its publication in the Official Journal of the European Union. Article 15 of the final proposal of the law states that if the Government withdraws from the opinion of the Committee on European Affairs on the proposal of the candidate of the Republic of Croatia for the institutions and bodies of the European Union, then it will be mandatory to discuss this after the Government has informed the Parliament on a reasoned basis why it has resigned. However, the biggest amendment that this law has experienced between the first and second readings concerns the provisions of Article 11, i.e. reporting to the Council on meetings of the European Council. It is envisaged that the Prime Minister, once a year, at the beginning of the first annual session of the Assembly, informs the Parliament of the meetings held by the European Council in the last year. Of course, the report will have to say not only what happened at these meetings of the European Council, but also how decisions and topics discussed will apply to the Republic of Croatia. In respect of the observations made by individual clubs, i.e. representatives and individual committees, it is provided that, before each meeting of the European Council, the Government shall, in writing, notify the Committee of the agenda and of all other accompanying documents and draft conclusions of the European Council, if they are delivered to the Government or if they exist. It is also prescribed that, after each meeting of the European Council within 15 days, a report shall be submitted to the Committee, i.e. to the Parliament, a report which will inform the Parliament of what happened at the meeting in question at the European Council and, if so, the need of the President of the Parliament on its own initiative or on a proposal from the Committee on European Affairs, may invite the Prime Minister to present the position of the Republic of Croatia for a meeting of the European Council at the meeting of the Parliament or at a meeting of the Committee. Here is how we believe that the regular notification of not only the Parliament was ensured, but also the Croatian public about how the Government, or the Prime Minister, acted on the European Council and what effect this has on the Republic of Croatia. In other provisions, the law remains unchanged, and we believe that through such provisions of the law, a good balance has been reached through such a law between the supervision of this House of the Government of the Republic of Croatia when it operates in the EU institutions and the possibility that the Government will comply at certain times with the need for compromise in European affairs while fully respecting the provision of Article 144. The Constitution of the Republic of Croatia. Thank you very much.
ParlaMint-HR_2013-06-26-0.u43832	Thank you, Your Honor. Do the working bodies, presidents of the working bodies, committees want to present reports? No, I don't. I'm opening a debate. In the debate we are going through the clubs of representatives in the Croatian Parliament. It is the Club of Representatives of the SDSS and the Honorable Representative Milorad Pupovac. Here you go, Your Honor.
ParlaMint-HR_2013-06-26-0.u43833	Your Honor, Mr. President, Mr. Deputy Minister of Foreign and European Affairs, colleagues and colleagues. It is a matter of relations between the government and the parliament that, in my opinion, should be the name of this law, not the question of the relationship between the government and the parliament. Because as far as I know our Constitution in any part of the Constitution, it is not said that the Government and the Parliament cooperate, but the Parliament has its responsibilities, the Government has its responsibilities and there are certain relations in these responsibilities that are binding both on the Government and binding on the Parliament. And in my opinion, it would be better if the name of this law was changed to the motion itself and suggested that it be called the Law of Relations between the Government and the Parliament. Why am I saying that? Not because names are crucial to what they will be in reality or what people will do in relationships with each other, although they can, of course, and usually are important rather than because of the following facts. In a few days, we will become a full member of the EU and, in this respect, assume responsibility as members towards our citizens and other EU members. We will enter situations where there are new realities for us who are citizens of the Republic of Croatia, but also new realities for EU citizens. Realities that are much more demanding than they were at the beginning of our EU accession, realities that are much more demanding than they were in the EU transformation process. The EU faces a series of difficulties as we face a number of difficulties. He faces a series of challenges, as we face a number of challenges. One of the EU's challenges, one of Croatia's challenges is parliamentaryism and the role of parliaments. One of the places of crisis, I think of the political crisis within the EU as a kind of lack of parliamentary supervision, is a kind of lack of Parliament's strength in European affairs and in the EU itself, as it is, of course, crucial importance for us, which national parliaments will have in European affairs in relation to the government, as is also crucial to us, what role the national parliament will play in relation to other national parliaments in the EU. So, apart from the fact that there are elements of the fiscal crisis, other than that there are elements, clear elements of the social crisis, except that there are clear elements of the growing inequality between Member States for a long time, and lately clearly discussed within the relevant, intellectual, political circles of the Member States of the Union and the Union itself, and this is the lack of the present type of parliamentaryism when it comes to Parliament's roles when it comes to the EU and the role of national parliaments when it comes to the EU. The lack of confidence of EU citizens as well as the lack of trust of citizens of the Republic of Croatia in relation to the institutions of the Union or an increasing distance is not only due to the economic crisis, but also the consequence of the fact that most decisions have been made far from the eyes, far from the ears of those who are EU citizens. Or if those eyes and ears had the opportunity to hear and see, then they saw later after decisions had been made or after those decisions had already been made. The Republic of Croatia as a country with centuries of experience in life in complex state communities of different kinds has no doubt to develop a special sensitivity for the role of its national parliament in relation to its own government. There is no doubt that there is a need to develop a special sensitivity at the role of Parliament, the European Parliament, in relation to other EU institutions. And in this respect, for us, the debate on this law is not routine as is the impression that it rarely occurs, except on committees such as the Committee on the Constitution and the Rules of Procedure, which is a colleague of the Grbin, such as the Committee on European Integration or the Committee on Foreign Policy, or some other committees that I haven't had the opportunity to participate in, but I suppose they lead an equally lively debate, but that kind of debate that should be common to this kind of matter unfortunately we haven't had. We had a brief discussion, interested public actors, and of course we had a brief, intense, debate within our parliamentary committees. This debate, thanks to the skills of those who participated in it, thanks to their willingness to dialogue and listen, has received some results. What the Chairman of the Committee on the Constitution and the Rules of Procedure said that several key articles of the Bill on the Relations between the Government and the Parliament were amended after several meetings of the parent committees are a clear sign that there is a awareness that the position of the national Parliament in relation to the Government must not be regulated in such a way as to continue the practice so far. And so far practice has been about as practice as before modern times when nobles from European space would be in individual castles on the basis of interest and decide what and how they would be in each room or in the whole space. That kind of reduced democracy has no doubt to be changed. It needs to be changed first and foremost if we want it to change on the European agenda, we need to change it on the agenda of our Parliament's relationship with our government. And so much is the acceptance of amendments to Article 4(1) of the Law on the fact that the Committee on European Affairs on Foreign Policy, which is of course still and above all in the powers of national policies, plays an important and equal role both in the Committee on Foreign Affairs and in matters concerning common foreign and security policies and common and defence policies, the Committee on European Affairs and the Committee on Foreign Policy act synergyly and act in such a way as to make possible better views and interests both of the EU's common position. It is also particularly important, certainly more important than this first one, but I quote in the order of articles in the draft law, is Article 9, Article 10(2), as regards the report by the Council of the EU Council of Meetings, which, as my colleague Grbin has already announced here, accepts that ministers who participate in the work of the EU Council report from these meetings and report on the preparations they have carried out and on the positions to be represented before the meetings of the EU Council itself. This seems particularly important to us at the SDSS Club, and it seems particularly important that Parliament would not be in a position to inform a large part of what belongs to future business and as regards the future interests of the citizens of the Republic of Croatia and related to decisions within the Council of the EU that the representative body of the citizens of the Republic of Croatia will be subsequently notified or not be notified in due time or fully and particularly important, of course, before those decisions are taken. Untrusted that Parliament could limit efficiency or that Parliament could limit the possibility of consent is, of course, reasonable under the assumption that people sitting in Parliament will not adequately recognise what the interests of the citizens of the Republic of Croatia are. But we should simply change that logic because Parliament, regardless of its weaknesses, is here because it represents the citizens of the Republic of Croatia. The third article, which is particularly important that it has been amended and that it has been completed after the discussions held on committees, is, above all, the Committee on the Constitution and the Rules of Procedure, Article 11 which accepts the addition of this article and amends the first paragraph of that article, which is to define how the Prime Minister of the Republic of Croatia will submit a report to the Parliament on the meetings of the European Council. In the first proposal, it was accepted that it would only be about some, but as far as I understand after the debate, it will be done on all meetings of the European Council. This seems particularly important to us because, regardless of the trust that the Prime Minister or Prime Minister may have from Parliament and the citizens, they are willing to assess what these are and what topics Parliament should be reporting, which should not be reported simply is not a good relationship with Parliament. Parliament should, in this context, be able to assess what is relevant, which is not relevant by taking a position through the debate, by taking a position on how much it will be engaged in the debate as it will not be engaged in the debate. But until then, colleagues and colleagues, until one day there is no other home in the EU that will represent members, until then, and afterwards, the role of national parliaments must be particularly special in such positions as the issue of reporting from European Council meetings not only unequivocal but very clear, and must be special when they are in the context of small states such as Croatia, they must be extremely strong. Small countries do not have the power of political action within the EU institutions and within the entire European political space that large countries have. And what they have in their hands is, of course, the strength of their national parliaments is the art and skill of their representatives within the EU. And if we're going to deprive one of these elements then of course we can deprive ourselves of the elements of the presumption of our own equality in the decision-making system. And finally, Article 15. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. are also of particular importance for two things. First because of the role of the national parliament in proposing candidates for the EU institutions and bodies and secondly, because of the credibility of the candidates themselves and the candidates themselves. If these candidates and candidates pass at least two filters, the assumption is that filtering will bring better results, perhaps more complex but better than if only one filter passes. This one filter can, of course, be in many ways of quality so that it can guarantee good decisions, but this, as we know, depends on election results. For this reason, democracy, or democratic parliamentaryism, requires the role of parliament to be particularly important here. My colleagues and colleagues, the SDSS club will continue to insist on the important role of the national parliament and since it is through the debate Since through the debate a large part of the proposals that were coming have been accepted we will support this proposal to amend the law, and we would be happy if his title were as I said at the outset. [[Intruder: Bring an end to the esteemed MP.]]
ParlaMint-HR_2013-06-26-0.u43834	Thank you very much. Replications have been reported to your presentation. The first replica and respected representative of Peja Grbin. Here you go.
ParlaMint-HR_2013-06-26-0.u43835	Thank you, Mr. President. Well, here's why I owe you one brief explanation for your cooperation. Well, first of all, because of what it says in Article 4. The Constitution of the Republic of Croatia which speaks of the obligation to cooperate with certain parts of the government or specifically on cooperation between the legislative and executive authorities. However, this law covers many powers of the Parliament and ways they will end. So this isn't just a law concerning the oversight of the Parliament's work on government. This law encourages this very co-operation between Parliament and the Government so that our bodies, in the new circumstances, can be much better managed, because I think that cooperation is what we need first and that was why we proposed that name. And another little replica, here's what you said about reports from the European Council, so here's just to be perfectly clear, before every council comes to the government's materials, so the government has to deliver them to the Parliament. Unfortunately, it will sometimes be a week, two or three before the European Council, and sometimes these materials will arrive only a few hours before the European Council because it is a dynamic that these materials are delivered by the EU. However, after each European Council, the Government will have to submit a report on what happened on that council and on the Committee, depending on the nature of these decisions taken on the European Council, it will be mandatory to discuss this. Therefore, the public and the Parliament will know very well what happened on the European Council, what has happened and what decisions have been made. Thank you.
ParlaMint-HR_2013-06-26-0.u43836	Thank you very much. New replica and respected representative Zeljko Reiner. Here you go.
ParlaMint-HR_2013-06-26-0.u43837	Your Honor, Mr. President. I must say, I fully agree with everything that's a respected representative of the Professor. Pupović said except that, in fact, I was once moved to replication by his sentence, which is that these changes made to them are saying that there is awareness of the importance of Parliament. I unfortunately read this final proposal of the Co-operation Act, and here I agree with Prof. The public that it should be about the relations of the Croatian Parliament and the Government of the Republic of Croatia cannot read it, but it seems to me that this is about the government's domination of Parliament and the narrowing down of parliamentary democracy, especially when it comes to relations with the EU. Anything else that's a respected professor. The bud said I could sign that moment, but unfortunately it's not reflected in this proposal. Thank you very much.
ParlaMint-HR_2013-06-26-0.u43838	Thank you too, Vice President of the Parliament. There is a third replica and respected representative Branko Vuksic. Here you go.
ParlaMint-HR_2013-06-26-0.u43839	Reverend Pupovac, here's what I can do to join my colleague Reiner and say that I agree with most of what you said. In fact, at the very end of your speech, you said that Parliament's role must be not only unequivocal but must be clear and strong. I agree with my colleague Reiner here, but this law is just saying the opposite. Parliament's role is weak. You have touched one of the most important issues that should be addressed not only in Croatia but also in Europe. The key to the development of democracy or, in fact, the achievement of democracy, which is pursued by neoliberal capitalism is the role of Parliament. So we're at a turning point. More and more the European Parliament, national parliaments are weak. The euro-parliament relationship to other European bodies is well known. At one point you realized that decisions were made far from the eyes of the public, and that's true. They are made far from the public's eyes in Croatia and this Parliament does not decide, it only confirms. As stated in Article 3. Parliament is turning into an observer. Parliament, the parliament monitors, monitors, participates, participates, participates, monitors, does not decide. So the role of Parliament and this Law as well as the intensities that are in action in Europe are becoming increasingly weak and that is what we need to resist.
ParlaMint-HR_2013-06-26-0.u43840	Thank you very much. The reply to the replica, the esteemed representative, Milorad Pupovac. Here you go.
ParlaMint-HR_2013-06-26-0.u43841	So I would also like to thank my colleague Grbina for his explanation of certain, additions of certain articles, colleagues of Reiner and colleagues of Vuksic for what they said. One thing I'd like to say, I think this bill has found a measure, it's not as it could be, as it exists in Finland compared to the government and parliament, but it's not as it is in Italy. Therefore, he found some measure, whether the measure could be further on the side of Parliament, could. That it should be, it should be. And I advocate that evolution be done. But one way that evolution can be done is by colleagues and colleagues to strengthen our Parliament's capacity for European affairs. And this capacity for European affairs is unfortunately not enough yet. And that is the role of both the President and the Presidency of this House. And the chairman of the Committee of this Parliament to strengthen the capacity of working bodies that will be able to carry out European affairs. So that we do not have only one committee to decide on European issues. To be a super committee like the European Affairs Committee. But let's say the Committee on Agriculture, the Committee on Education and Science and other committees are secondary to that whole story. So that we do not only have a problem with the relationship between the Government and the Parliament, but we have a problem with the relationship within Parliament itself that the parent bodies for certain matters are not able to monitor the issues that need to be monitored. And we're going to have a committee that, for objective reasons, won't be able to do it on its own. So I see here one of the moments where we can strengthen the role of the national Parliament. And I now believe that after this debate and after the position it has and which I know as well as the President of Parliament himself, that we will be looking for ways to strengthen Parliament's role here.
ParlaMint-HR_2013-06-26-0.u43842	Thank you very much. I'm asking for one deal. We'd have a lunch break for the usual, but we're planning to do 10 agendas today. So it'll take a little longer. Thank you very much for your cooperation. And now I call on the Club of Independent Representatives in the Croatian Parliament, the Croatian Parliament and the Honorable Representative of Damir Kajin.
