ParlaMint-HR_2013-07-03-0.u35509	Here you go, Zeljko Reiner.
ParlaMint-HR_2013-07-03-0.u44872	Thank you, Madam Vice President. Here in the shortest lines since you got a written report from the board on the bench. So at its 24th session of June 27th, the Committee discussed this draft law and, of course, in the capacity of the home working body in accordance with the 67th Article of our Rules of Procedure. All participants in the debate stressed the need to improve the investment climate and concluded that this bill is an important step in this direction. The proposal for a bill is a compromise on the one hand for a favourable and simple investment environment for investors, but on the other hand protection of the interests of the Republic of Croatia. This bill significantly reduces the scope for corruption through project control instruments such as giving an opinion on the project by the Ministry of Economy and the State's Attorney's Office and prior to the possible conclusion of a property transfer contract owned by the Republic of Croatia to investors. It was also pointed out that a broad public debate, therefore, is an important factor in improving the bill in two readings. After the debate, the committee decided to propose the next conclusion to the Croatian Parliament with a majority of 7 votes in favour and 5 abstentions. The proposal for a law on strategic projects of the Republic of Croatia is adopted, and under 2nd of all opinions, observations and proposals submitted in the debate, the applicant is invited to take them into account when the law is finalised. Thank you very much.
ParlaMint-HR_2013-07-03-0.u44873	Thank you very much. Do the other committees want it? Thanks no. I'm opening a debate. They'll discuss clubs first. On behalf of the SDP representative club, colleague Franco Vidovic.
ParlaMint-HR_2013-07-03-0.u44874	Thank you, Madam Vice President. Mr. Minister with associates, esteemed colleagues and colleagues. Immediately at the start of the SDP club will support the Law on Strategic Investment Projects of the Republic of Croatia. Before us is the long-awaited Bill on Strategic Investments projects of the Republic of Croatia. It has been under public light since January of this year, and as we have heard from the minister now, there will be some time before the end of the second reading, and the proposal that we have in front of us came about after the public debate. In addition to the opinion of the professional public in Croatia, the proposal also welcomes the European Commission's remarks, and the provisions on environmental protection and the more detailed definition of the provisions under which an investment will be considered strategic. The fundamental reason why this law is proposed stems from the need for the urgent launch of the investment cycle in the Republic of Croatia as the main driver of growth and development of the Croatian economy. This law aims to shorten and significantly speed up the processes for the implementation of the full documentation necessary for the implementation of the project both public and private, which are of strategic interest to the Republic of Croatia. only the simplification of the acceleration of the procedure should have a clear impact on the increased interest in investment projects in the Republic of Croatia. The law deals with the process of assessing the selection, preparation and implementation of strategic projects, then with the availability of real estate owned by the Republic of Croatia, by giving concessions in relation to the implementation of strategic projects, by issuing administrative acts in connection with the implementation of strategic projects. But not in a way that changes already existing legal solutions, but in the context of existing, different legal solutions, as well as the Constitution of the Republic of Croatia lays down responsibilities for the project and clear procedures and in this way reduces the deadlines for obtaining the paper in principle. Article 5 defines the conditions and minimum limits for obtaining the status of a strategic project. The total cost of the project must be equal to or greater than 150 million kuna. If the project is able to be co-financed by the European Union programmes and funds, then the total value of the project's capital costs should be equal to or greater than 75 million kuna. In the case of investment of funds and project development in assisted areas, i.e. regional self-government units of the first category, i.e. local self-government of the first and second group and ultimately of the island, the lower value of capital costs of investment is 20 million kuna. In doing so, all projects running and determining as strategic must comply with spatial planning projects. They must comply with the strategic documents of the European Union and must not be contrary to the obligations undertaken by international contracts. And this article practically discusses the proposal's intention to fully respect regional, regional and local self-government. Because no project can be declared strategic unless it's in accordance with spatial order documents. Strategic projects under the proposal of the Law may be private, investment projects financed entirely or partly through the investment of the trader, domestic and foreign legal persons, and public investment projects, such as projects owned by a public undertaking owned by the Republic of Croatia or those proposed by a unit of local and regional, regional self-government, and ultimately public private investment projects. Such projects are considered to comply with the regulations governing a public private partnership. Special insurance has been set up through Article 8. Laws that generally define an unacceptable investor and unacceptable capital. So it is clear that the proposer's intention to eliminate suspicious capital, to try... possible neural points in a possible future partnership relationship that needs to be realised through the strategic project itself. [[The speaker doesn't understand.]] And in this way lays sound foundations for the whole process that has yet to be built. In the proposal before us, which is the basis of Article 6. The law equates domestic foreign investors with the ability to obtain strategic investor status. This is also understandable in view of Croatia's membership in the European Union and the principles to which the law is called in Article 4. But also on Croatia's desire to attract to a more substantial extent foreign investment... that the lack of clear procedures as well as the possibility of considering the deadline within which a project would be implemented was an obstacle to both domestic and foreign investors. [[The speaker doesn't understand.]] The Law also defines the chain of responsibility through Article 9. The law, i.e. through the government's obligation to form a committee to assess and identify proposals for strategic projects. Then through Article 11, which defines the establishment of an operational group for the preparation and implementation of strategic projects. These articles of the Law also define the scope of a business which should be dealt with by unformed bodies as well as the responsibility for carrying out the same tasks. It is important to emphasise that representatives of local and regional self-government are actively involved in the Committee for the Assessment and Identification of Project Proposals and then in the Task Force for the Preparation and Implementation of Projects. The rule shows that there is no speech about imposing decisions on units of local and regional, regional self-government. And there's no talking about skipping those in the decision-making chain. With respect to one of the European Commission's suggestions, an earlier proposal has been corrected in the environmental protection segment, so maximum compliance with the provisions of the Environmental and Nature Protection Act is prescribed. The central authority of the State Administration responsible for protecting the environment and nature by means of a legal solution before us is required to demonstrate and determine within 15 days the need to implement one of the procedures provided for in the specific regulations governing environmental protection and nature. If this is not in a position for complexity or other justified reasons, it will inform the Commission as well as the interested investor of the need for an additional 15 days. In the event of the need to carry out a process, any environmental impact assessment shall be carried out in accordance with specific rules establishing the protection of the environment and nature. The proposal for the Law found in Article 27 for the implementation of all procedures in space, and for the construction of all buildings necessary for the implementation of the strategic project, a local and building permit should be obtained. And for the use of these buildings, a useful permit. What is one of the regrets I have read from the public hearing of the report by committees is that it is not good not to apply the obligation to draw up an urban plan and a detailed plan in connection with the issue of local permits for the implementation of the project. However, the real truth is that it has been possible so far, clearly if it is planned... , i.e. the spatial plan was indicated in the text section the possibility of solving the space in this way. [[The speaker doesn't understand.]] It is also good that a system of responsibility is finally established for a particular project, especially in the administration. Every day delays in issuing opinions and permits for projects on the list of strategic investments, the state institutions will pay 5,000 kuna. The government intends to force the administration to strictly respect deadlines and the law on strategic investment projects. The law defines and limits the deadlines for issuing a solution after the investor has submitted the application neatly. The procedure is detailed in Article 14. A law that speaks of the urgency of dealing with strategic projects as well as the possibility of punishing the official person and the governing body who conducts the procedure. The relevant change has also been made in the concession-approval items, and it is envisaged to speed up the award of concessions in the case where an interested investor needs more different concessions in the context of a single strategic project. Procedures for the award of concessions in this case will be brought together and the Government of the Republic of Croatia will make one joint decision for all these concessions and conclude only one concession agreement. It is clear from everything that the intention of the Law is not to please the investor, but to the project of which the realisation will benefit the wider social community. Given the situation in the economy, such investments are essential for us to develop the economy in a sustainable way. It also allows for balanced and sustainable development of the entire community. It is clear that there is a need to support small investments and the smallest. But this law does not deal with it and such investments are not the subject of this Law. Also, some of the objections addressed to the ministry is that more effort must be made in structural reforms, not in the making of shortcuts for privileged entrepreneurs, to create a potential situation for diversifying capital in space without the local community being affected. These objections do not correspond to the truth and are easily denied. I've done it before in exposure, and for the sake of the public, I still have to do it again. This law is not a shortcut but a clear definition of procedures and showing all interested people that we are able to systematically and purposely work on the project from idea to realization the shortest and most effective way. By shortening the time limit within which the investment is carried out, we are practically raising the competitiveness and profitability of the project to the benefit of the entire community, clearly and to the benefit of the interested investor. This law is here to resolve these very things, not because of any privileged entrepreneurs. The fundamental misunderstanding of this law is that it is in principle deeply turned towards the progress of the Republic of Croatia, and its critics draw the wrong conclusions about privileged entrepreneurs. Further to Article 9 of the Law in the Committee for the Assessment and Determination of Proposals for Strategic Projects set up by the Government under this Act, the presence of a representative of a local self-government unit in which the project is being implemented is clearly defined. Article 2, Article 5 of the Law states that a strategic project can only exist which is in accordance with spatial order documents, so there is no capital savagery. And again, I will emphasise, in the area of local and regional (regional) self-government, a representative body, in accordance with the laws and in accordance with the prescribed laws, adopts spatial order documents. So there is no talk of excluding local and regional (regional) self-government, nor of imposing some projects that have not previously been declared by the local community. There is no talk of imposing projects that are not of interest to the local community, and this should be kept repeating. The business world and potential investor on the other hand expect the new Strategic Investment Project Act to help remove administrative barriers to large investments. We in the SDP are aware that this law does not solve everything, i.e. that the law solves a small segment of major investment that is important and will help create new jobs and send a signal to foreign and domestic entrepreneurs that it is time to start investments. However, parallel to this law, both the Ministry and the Government must launch other mechanisms as soon as possible to remove obstacles for all investors and we believe they will. I'm not saying that you shouldn't be careful about the property, according to the award of concessions and the like, but you don't always have to blow cold because we got burned once upon a time. In society, there is a great fear of bad experience in the '90s, and that fear is based on our historical experience, but fear does not mean that something like that will happen again. The fearsome must not stop us in the progress and research of borders as far as to go and constantly question and move those borders as soon as conditions are obtained. In any case, this particular fear can help us to better define the conditions under which a project will be announced strategically, under which conditions we are willing to open all doors and migration barriers, but also all of our knowledge and experience on the other hand helps us to look at the possible benefits of this law, to put them in line with our fears so that we can assess which way to go. It happens to us that for the first time we have clearly prescribed procedures, that we clearly see and show the way and the way the investment should take place and that is certainly a major shift from the practice so far. It's certainly a thing that all investors, whether they private or public, domestic or foreign, greatly appreciate. Perhaps the vice-president of the Republic of Croatia Branko Grcic best painted the spirit of this law. Although it is not the custom for me but here I will quote it: this law will apply all the positive regulations of the Republic of Croatia that define different segments in the preparation of investment projects. This is a law that will fundamentally change the environment for strategic investment projects. Because of all the above-mentioned ministers you have the support of the SDP club, you also have my personal support to insist on these positive changes. The SDP club will support the Law on Strategic Investment Projects of the Republic of Croatia. Thank you.
ParlaMint-HR_2013-07-03-0.u44875	Thank you. Now we'll move on to the replicas. First up, colleague Domagoj Ivan Milosevic. Here you go.
ParlaMint-HR_2013-07-03-0.u44876	Thank you, Madam Vice President. Well esteemed colleague Vidovic, if I were to really reflect on everything you said it would take 10-15 minutes, but essentially everything you said you proved that you simply did not understand in the SDP what it means to encourage an investment and entrepreneurial climate. And I'm going to rephrase to you, specifically, one sentence that you said, that this law should be a function of actually attracting foreign investors. Imagine that a serious foreign investor comes to Croatia and reads, of course, this law says that his administration should be attached, let's say General Electric, a certificate of impunity, BON 1 and BON 2, and then the Government of the Republic of Croatia will publish the details of his investment project. And besides, I'm looking at Hungary, the Czech Republic, Slovakia, Poland and think about what he's going to decide.
ParlaMint-HR_2013-07-03-0.u44877	Replication response, Franco Vidovic.
ParlaMint-HR_2013-07-03-0.u44878	I thank the esteemed vice president. A respected colleague, therefore in one part you may be right, yes, but the law states that he can also bring the certificates that apply in his country, or which... betray but I think it's less important. I think that entrepreneurs will appreciate much more that they finally have a clear path, a clear path to go from the very beginning of the investment to the end, that they will appreciate much more that it is hired by the practically vice-president of the government in charge of the economy, the minister of the economy and the like, in one project to the local community itself and that these arguments do not have any particular power before these arguments. Thank you.
ParlaMint-HR_2013-07-03-0.u44879	Replica, Dujomir Marasovic. Here you go, buddy.
ParlaMint-HR_2013-07-03-0.u44880	Honored Madam Vice President. Dude, you know what, I'm going to take a general replica of your speech in the sense that everything you're saying right now I wouldn't say that there's no logic or even that I couldn't support any of the proposals in this law. That's not the point. The question is asked by your colleagues, you speak on behalf of the SDP and the Kukuriku coalition, so now after two years, the authorities are proposing a law that might improve something. So for two years, you've spent the passing of laws in an emergency process on cemeteries, this and what I want you to understand. You've lost two years, and now you're going to be building some big strategic projects like Omble. Well, that'll do 30 people, and it'll be over in seven years. You do not understand what a strategic project is, is Croatian agriculture and Croatian tourism. It could have been employed in one year, say, hundreds of thousands of people. You are now destroying tourism on Croatian islands by raising the price of transportation and transportation towards Croatian islands. You've destroyed agriculture and destroyed it continuously, I won't say it on purpose, but if in some way you could say it like that. You didn't offer anything to Croatia. And now, in the end, you've mentioned Branko Greek to me. That's my Split. I'm a little patriot local. Well, he keeps saying we'll have a better life in a year. And now he's moved to 2016, he's already come to 2018 and 20th. So who is this Greek? What kind of economic strategist is he? What did he come up with economically, strategically? So he has no idea what he's talking about, I got him media... called some kind of strategist. [[The speaker doesn't understand.]] He has no idea. What did he strategically suggest? And you call upon him as you quote him, his words. At least if you'd quoted your favorite leader, I wouldn't blame you, that's all. Thank you very much.
ParlaMint-HR_2013-07-03-0.u44881	My friend, be careful, though, you are talking about people who are not present. Replication response, Franco Vidovic.
ParlaMint-HR_2013-07-03-0.u44882	I thank the esteemed vice president. Dear colleague Marasovic, I will not use your dictionary. I'll just say here we've been cleaning up your cemetery for two years, cleaning up what you left behind. And because you can complain and you can moan as much as you want, but that's a fact. [[Intruder Zgrebec: A colleague please!]] That's a fact. As far as love for Croatia is concerned, love for Croatia is shown in a way to pay taxes, not to take bribes, not to go into corruption and the like. It's love for Croatia. So, as far as the law itself is concerned, I think the law is good and all my colleagues believe in the SDP club think it's good. What is clear is nothing is perfect and clear that things can still be improved. And as for Mr. Branko Greek, I'm not his lawyer. The man is Deputy Prime Minister, Professor Dr Branko Grcic. I think that says it all, says a lot more about him than what you've said says a lot more about you than about him.
