ParlaMint-FR_2018-12-20-O1113.u1	The next item is the discussion, for final reading, of the 2019 Finance Bill (No. 1545, 1550).
ParlaMint-FR_2018-12-20-O1113.u14	I will be of exemplary brevity. Here we are at the end of the traditional budget marathon, with a text that has undergone some changes since the first reading this year, given the events that have shaken the country in the meantime. It is now a question of adopting or rejecting the text. Indeed, given the option in the Senate, it is no longer possible to amend it. This means, moreover, that even if a motion for referral to committee was adopted, we would have nothing more to say since we could no longer introduce any amendment; Therefore, to table such a motion in these circumstances appears to be a bit messy. [[Applause on all benches]] [[Same movements]] This year, as the Chairman of the Committee on Finance pointed out, we have examined a record number of amendments: about 10,000. Behind this number, there are people who are working to prepare the action of parliamentarians; I would therefore like to commend the entire public finance department of the Assembly, particularly the staff of my division, who had to work hard this year in view of the size of the text. Our debates often took place late in the night, even early in the morning; I would therefore also like to say how particularly effective the services of the National Assembly, placed under difficult conditions, have been in considering this and other texts. Evidence of the work done, the volume of the finance bill has tripled since its initial tabling. I am very pleased that, for the first time this year, the amending finance law is limited to budgetary adjustments; This is, I believe, a considerable progress. I thank the Government – the two ministers who are currently on the bench, as well as all those who have succeeded them, as well as the members of their cabinets – for the co-construction work, sometimes difficult, night or morning, that we have been able to carry out thanks to the quality of the human relations that unite us. I would also like to thank all members of the National Assembly, regardless of their political group, for the majority and the opposition – although, of course, I am thinking first of mine. I am a lover of good living together, and it seems to me that we are doing our utmost to ensure that our debates are calmed down. In any case, the respect that I have for all of you, and which I believe is mutual, is the guarantee of a good work in this House. [[Applause on the benches of the LaREM group]] Now, quite simply, we have to pass this bill, knowing that we will find ourselves quite quickly, in the spring, as a few amending financial laws are in sight. If we are happy to be able to conclude before the Christmas holidays and to return home, we will also be able to meet soon to discuss these amending texts which will contain measures on the remaining subjects.
ParlaMint-FR_2018-12-20-O1113.u15	Mr President, the Committee on Finance, the General Economy and Budgetary Control has the floor.
ParlaMint-FR_2018-12-20-O1113.u16	I associate myself with these preliminary comments with the discussion of the text – which, I remind you, is not yet adopted. Mr Le Fur, yesterday the Finance Committee discussed the amendments you mentioned. They were rejected not under Article 40 of the Constitution – which allows me to relieve my responsibility, as well as for once that of the Government (Sorry) – but of Article 45, which proscribes budget riders. The chairman of the Committee on Social Affairs considered that yours, in particular, was one of them; It will be up to the sitting to examine the matter and decide whether it should be debated in the Chamber. Of course, I will not sum up the PLF because I find that this is no longer the time. It is true that we have examined some 10000 amendments, apart from the PLFR, which is obviously a lot, in the same time as in previous years, for the good reason that we have reduced the time taken to examine the appropriations and have made it, I think, more effective. That said, ministers, the result is for the time being a fiscal balance – not to say a fiscal imbalance – extremely uncertain, as public deficits amount to 3.2 per cent of GDP, compared to 2.8 per cent last week, and they will rise to 3.4 per cent tonight, before they are likely to return to 3.2 per cent in some time. And we may be talking about 2.3% in some political comments, because, as the Minister of the Economy said, between the temperature felt and the actual temperature, there is the CICE. This uncertainty makes it difficult to read our country's fiscal policy and results. After the adoption of the FLP, the spring of the evaluation will have to take its full place. This is the time for evaluating public policies, for our ability to change them, move them, change them according to their results, regardless of any political consideration – whether its content is left, right, or center, a policy is effective or not, and national representation must be able to judge it. We will devote a lot of time to this, but it is absolutely necessary. Our Finance Committee has also decided to set up a fact-finding mission on the LOLF, the Organic Law on Finance Laws. It must be possible to review it, taking into account its many years of application, in order to determine, in conjunction with the competent minister, the Senate and the Court of Auditors, whether certain points should be changed in order to make it even more effective. [[Applause on a few benches of the LaREM group]] Finally, I would like to thank everyone: first of all the rapporteur-general, for the very difficult work he has done, and obviously also the whole of the Assembly's public finance department, as well as, more generally, all the services of the National Assembly, for these lengthy budgetary work sessions.
ParlaMint-FR_2018-12-20-O1113.u17	Mr Christian Jacob has the floor for a point of order.
ParlaMint-FR_2018-12-20-O1113.u18	[[Applause on a few benches of the LR group]] In this point of order, I would like to return to the discussion of the amendment referred to by Marc Le Fur. I heard you, Mr President, at the moment explaining that it had not been ruled out under Rule 40 – it was also discussed in the Committee on Finance. The question therefore falls within the purview of the Presidency and the meeting. I can't imagine it's not being debated this afternoon. We tabled it as part of our parliamentary group – we tabled four of them in this capacity, that number has not been exaggerated. This amendment concerns the indexing of pensions, family allowances and LPA, the personalized autonomy allowance. How can we consider that this is not linked to measures in favour of purchasing power, whereas it is precisely one of the factors which has determined, throughout France, the reactions to the decline in purchasing power? It cannot be said that the deindexation of pensions, family allowances and LPA is not related to debate, although it has been the driving force behind it. I therefore really ask that the sitting be resumed on this subject and that our amendment be debated here this afternoon.
ParlaMint-FR_2018-12-20-O1113.u19	Mr Eric Coquerel has the floor for a further point of order.
ParlaMint-FR_2018-12-20-O1113.u20	I, too, rely on the Rules of Procedure to support the Group's request. The Republicans, especially since amendments that we tabled on the bill that we will be debating this afternoon – those on the bonus issue – were rejected in committee before we were finally accepted for the sitting. I do not question the administrators, whose work is exhausting, but we have just experienced a phase in which amendments on the ISF – the solidarity tax on wealth – were rejected, among other things, when they had an obvious connection with our debates, because we must have the right to choose where we take the money. It was initially planned in the draft budget to take it in the form of an increase in the carbon tax, but this was rejected, either. In any event, since yesterday, given the speed of the pace and following mistakes, which are understandable, things have been called into question. For our part, our amendments have been considered admissible, and we are satisfied with them. However, it would of course be problematic if the Republicans could not be examined.
ParlaMint-FR_2018-12-20-O1113.u21	I will clarify my answer, given that the amendments tabled are currently being processed by the meeting department. I would point out – as you have already said, Mr President of the Committee, in response to Mr Le Fur – that, under Article 45 of the Constitution, "any amendment is admissible at first reading if it is linked, even indirectly, to the text tabled or transmitted". The manner in which this link is to be assessed has been clarified by the jurisprudence of the Constitutional Council: the assessment is made not with regard to the object or title of the bill concerned, but with regard to the content of its various articles. It is on this basis that you will consider the admissibility of the amendments you have tabled on the draft law on economic and social emergency measures. I would like to share your comments with the President and, as I undertook earlier, I will give you an answer during the morning.
ParlaMint-FR_2018-12-20-O1113.u22	All right.
ParlaMint-FR_2018-12-20-O1113.u23	I have received from Mr Jean-Luc Mélenchon and members of the La France group a motion of rejection in advance, tabled pursuant to Rule 91(5) of the Rules of Procedure. Mr Eric Coquerel has the floor.
ParlaMint-FR_2018-12-20-O1113.u24	We have now come to the final examination of a text that can be described as a crisis budget, a social and political crisis of historical magnitude. With this budget, ministers, you have tried to translate into budgetary terms the fact that, suddenly, the President of the Republic discovered that our country was in a state of economic and social emergency. I have to say that you're doing it wrong: you're answering wrong, next door, and not enough. You try to extinguish the fire by dropping the ballast, without changing course. You use too little Canadair for this, without worrying about what set the plain on fire. Basically, with this budget and the text that will be discussed this afternoon in the Chamber, you use the same method as when your Minister of State Nicolas Hulot left. At the time, it denounced your policy as the system behind the deterioration of the climate and the environment. You responded with individual psychologization, presenting him as someone from civil life, who would not have understood the need to follow rhythms, etc. You bring there, in fact, the same answer, except that you address yourself to the people, who have moved, who have awakened powerfully and who are watching you. To do this, you try to recycle the words of order of the yellow vests, at the service of your own policy. They tell you "tax injustice," you hear "less taxes." They tell you "equality of all in the territory and access to public services", you answer "too much state". They say "hunting privileges," you say "not touching capital." This leads you to contradictions that have become even more apparent in this hasty and accelerated debate. It started with the introductory article, which we discovered, at least, on late. However, it was important, even if, as I understand it, we are not under the increased supervision of the European Commission or under the sanction applicable in the event of an overrun, for two consecutive years, of the gold rule setting the maximum deficit at 3% of GDP. However, for the proponents of the ordoliberalism that you are, of this ideology that forces national parliaments not to exceed a sacrosanct rate, to rise to 3.2% deficit, as you are preparing for it, would have deserved a little more attention and debate during the examination of the introductory article. All the more so as we are told at the same time – this has been repeated this morning – that many budgetary measures will be taken during the year without Parliament being able to say its word. This is the case with the €1.5 billion in free cuts in public spending announced to us. Of course, Mr. Darmanin told us the other day that it was a habit, that the budgets under implementation could be revised. But finally, although it has not been a parliament for a long time, it does not seem to me that it has often happened to carry out pre-announced cuts of 1.5 billion, without the National Assembly being able to decide what they will be about. The same applies to the various measures you are announcing but which are postponed. I am thinking of the postponement of the corporate tax provisions or the issue of GAFA – the digital giants – which we discussed here. This was one of our great surprises, and I suppose it was the same for all the opposition groups, who had brought this amendment to the Senate: thanks to the amendment tabled by Marie-Noëlle Lienemann and unanimously approved in the Senate, but which you refused at the outset, we could immediately have applied to the GAFA what you are telling us will be applied to them in a few months' time, that is, a tax not only on advertising, which would be the subject of an agreement that you are trying to win out at the European level, without being certain to do so, since three countries, and not the least, of the tax havens that live there, are still opposed to it. And you tell us in advance that, regardless of this agreement, you will somehow tax the turnover. In addition to this introductory article, another important article that we all voted for, since it corresponds to the first claim of the yellow vests and enshrines their first victory, is the 18 terdecies: the cancellation of the increase of the carbon tax. However, you have refused – this is a real problem – to consider securing it, declaring all our amendments inadmissible. One of them tended to restore the ISF, whose product was, I would remind you, the same amount as the increase in the carbon tax; This would have made it possible not to increase the deficit or to aggravate cuts in public expenditure. Another was related to flat tax. Another, concerning kerosene, was aimed at taxing air travel; We were told that the Chicago agreement prevents action on this point, whereas it is actually possible, because this agreement, I remind you – in particular to the rapporteur-general, who replied on this point – does not concern domestic flights. [[Claims on several banks of the LaREM Group]] Let's move on to the precariousness bonus, which earned us, the day before yesterday, a homeer's night. The Presidency has tried to get an amendment to deal with the subject quickly, and we have had to catch it up with the flight with a point of order, supported by all the oppositions. This allows us today to state that, by announcing that a worker's salary at the SMIC would increase by 100 euros per month as early as 2019 without costing the employer another 1 euro, Mr.Macron made three lies in a short sentence. First lie: it will not be the salary that will increase but a bonus granted to people paid to the SMIC, which is obviously an important nuance. Why? You have understood this well: a premium does not open up the same rights, particularly with regard to unemployment, retirement and the sustainability of wages.
ParlaMint-FR_2018-12-20-O1113.u25	He's right!
ParlaMint-FR_2018-12-20-O1113.u26	To begin with, you invented an activity bonus, except that we were told right away that it was not going to affect all people affected by the SMIC and that those living with a spouse with a slightly higher income would be deprived of it. The number of beneficiaries is therefore approximately halved. [[Claims on several banks of the LaREM Group]] Third lie: you voted for a €2.675 billion credit, on which we questioned you in vain two nights ago, but thanks to Amélie de Montchalin, whom I congratulate for his honesty, we finally got a response yesterday in the Finance Committee, and we have thus discovered, if we take into account the 5 million tax homes concerned, that the €90 security premium announced by the Prime Minister would actually fall to an average of €44.60. All these households will therefore not receive 90 euros of activity premium: Mrs de Montchalin confirmed yesterday that they will only receive between 25 and 90 euros. While some will receive €90, most of the households concerned will actually receive less than €44.
ParlaMint-FR_2018-12-20-O1113.u27	Not at all!
ParlaMint-FR_2018-12-20-O1113.u28	In addition, this third lie will be paid for by all of us. You're doing a little Keynesian politics, a little policy of recovery, you're putting a little money in the service of purchasing power, but, as you're not used to it, I repeat, you're doing it wrong, not enough and you're not taking the money where it's necessary. I would point out that in ten years the share of labour compared to capital in value added has fallen by 10 percentage points, which amounts to around EUR 150 billion per year. Instead of touching capital, you have decided that it would be through taxes, social contributions, that we would contribute to this renewed purchasing power. However, we proposed amendments to increase the SMIC to EUR 1400 but you told us that it would cost too much money, that it would be impossible for companies. First, for some companies, this would be largely possible. And then we delivered you the solution: instead of giving 40 billion euros to companies through the CICE, without any counterpart – a measure, I remind you in passing, whose most positive study carried out by the Government estimated that it had allowed, in several years, to preserve only 100,000 jobs – instead, I said, to give these 40 billion to companies, it would have had to be used to enable them to move on to those who are developing in a very competitive sector and who play the job game. In the meantime, you have decided not to increase SMIC. Basically, the problem is this: you want to give up a little purchasing power but without affecting the distribution of surplus value. You have been thinking for a very long time, and you repeat, that the problem in this country would be the cost of labour – what we call the price of labour. However, as I have just demonstrated, it is not work that costs too much but uninvested capital. Your logic makes you improvise, accumulate errors. [[Mr. Eric Coquerel brandishes a newspaper]] Mr. The Mayor often praises your economic policy by quoting extraordinary figures. Of course, I do not disagree, the international situation is bad, there is a global economic slowdown, but you are aggravating it. From this point of view, all the figures given yesterday by Le Monde...
ParlaMint-FR_2018-12-20-O1113.u29	My dear colleague, you have no right.
ParlaMint-FR_2018-12-20-O1113.u30	Oh, it's okay! It's a journalistic source.
ParlaMint-FR_2018-12-20-O1113.u31	There's a rule, Mr. Coquerel.
ParlaMint-FR_2018-12-20-O1113.u32	We don't have the right to shake papers in the gallery!
ParlaMint-FR_2018-12-20-O1113.u33	Think of the background instead of exclaiming yourself! All the figures, I said, whether they are growth, household consumption or purchasing power, are lower than last year's figures. And the only branch you've been hanging on to in recent days is the INSEE forecast for 2019; There is nothing to say – INSEE and economists agree – that these forecasts will come true. In other words, 2018 was a very bad year for the French economy,...
ParlaMint-FR_2018-12-20-O1113.u34	Worse than under François Hollande!
ParlaMint-FR_2018-12-20-O1113.u35	... except for the richest 1% you've had with the removal of the ISF and the switch to flat tax. In addition, contrary to what you often welcome, Mr.Le Maire, business investment is declining, unless we compare the second quarter of 2017 and 2018.
ParlaMint-FR_2018-12-20-O1113.u36	Exactly!
ParlaMint-FR_2018-12-20-O1113.u37	[[Exclaims on the banks of the LaREM Group]] You also say that industrial employment is increasing. Again, I'm sorry to contradict you.
ParlaMint-FR_2018-12-20-O1113.u38	He's up 3%!
ParlaMint-FR_2018-12-20-O1113.u39	[[Exclaims on the banks of the LaREM Group]] As soon as we don't refer to the documents you're using to answer us, it shockes you a little. In the industrial sector, it is true that the number of jobs increased by 5000 in 2018, but at the same time there are 49500 more temporary jobs! In other words, the jobs you have created are precarious jobs.
ParlaMint-FR_2018-12-20-O1113.u40	That's not true!
ParlaMint-FR_2018-12-20-O1113.u41	[[Applause on the benches of the FI group. Exclaims on the banks of the LaREM Group]] The total number of hours worked shows that industrial employment is falling, that's the truth! But you continue to pursue the same policy. You are only trying a policy of revival to let go of the ballast but without giving you the means to do so. Moreover, I repeat, it will cost us a lot of money in terms of deficits and social security. I'll give an example. You're saying you're going to desocialize overtime. However, we have voted that the 2.5 billion that this measure will cost social security will not be compensated. As a result, with the de-socialisation and de-socialisation of overtime, you are putting a very bad blow to the labour market: any manager, when he needs to make the employees work more, will resort to overtime, which will cost him less.
ParlaMint-FR_2018-12-20-O1113.u42	No, no, no, no, no, no, no,
ParlaMint-FR_2018-12-20-O1113.u43	[[Long exclamations on the banks of the LaREM Group]] But if: they are desocialized and defied! It may be annoying to you, but it's reality.
ParlaMint-FR_2018-12-20-O1113.u44	That's not true!
ParlaMint-FR_2018-12-20-O1113.u45	Can you shut them up, Madam President?
ParlaMint-FR_2018-12-20-O1113.u46	Ladies and gentlemen, please let the speaker speak.
ParlaMint-FR_2018-12-20-O1113.u47	[[Exclaims on the banks of the LaREM Group]] If he has a choice between desocialised hours and defiances that cost him less or hire an employee who, de facto, will cost him more, any company manager will choose the first option.
ParlaMint-FR_2018-12-20-O1113.u48	Of course!
ParlaMint-FR_2018-12-20-O1113.u49	Yes! Business leaders aren't idiots!
ParlaMint-FR_2018-12-20-O1113.u50	[[New exclamations on the banks of the LaREM Group]] In fact, some members of the majority, when they were in the opposition yesterday, said the same thing to the right – as Mr Castaner did in 2013, when he had a different opinion than today.
ParlaMint-FR_2018-12-20-O1113.u51	It's not the same thing!
ParlaMint-FR_2018-12-20-O1113.u52	That was five years ago!
ParlaMint-FR_2018-12-20-O1113.u53	[[Mr. Jean-Paul Dufrègne applauds]] It may be annoying to you, but it's reality. [[Continued exclamations on the banks of the LaREM Group]] I'm going on. This measure is an unemployment trap and, in addition, you will make people work a lot more.
ParlaMint-FR_2018-12-20-O1113.u54	A little calm, please.
ParlaMint-FR_2018-12-20-O1113.u55	It's really unbearable, Madam President.
ParlaMint-FR_2018-12-20-O1113.u56	That is why I ask for a little silence, Mr Coquerel.
ParlaMint-FR_2018-12-20-O1113.u57	[[New exclamations on the banks of the LaREM Group]] You can give me one or two more minutes... Our colleagues are not happy to hear certain realities. Maybe they'd have to put them in the head!
ParlaMint-FR_2018-12-20-O1113.u58	Let the speaker finish his remarks.
ParlaMint-FR_2018-12-20-O1113.u59	[[Applause on several benches of the FI and GDR groups]] I'm going on. So you're creating an unemployment trap and you're going to get employees to work more. But the more you work, the more health problems you have, it's exactly like retirement: the more you ask people to work late, the more people have health problems. And since, at the same time, you're going to lower the contributions, there will be a time when we'll be told that there won't even be any more money to treat the workers you've forced to work longer. That's the reality. I'll tell you one thing: the problem in France is not that people don't work enough; It's because they don't earn enough. Don't! I would even add that many unemployed people would only like to work and that this is what we should do instead of choosing solutions that are not. You're going to lower government revenues, you're going to lower public spending, you're going to lower social contributions. Do you really think that the yellow vests will take these bladders for a very long time for lanterns? Above all, I'll tell you, your budget will multiply them. The police are already engulfing in the breach and threatening to launch a social movement. You immediately granted them 300 euros. I am very satisfied with this, but I would be surprised if it met their expectations, particularly with regard to unpaid overtime. They not only represent less purchasing power, but also indicate the number of police officers who would have had to be hired for years to cope with the increase in their duties. However, police officers who are less tired, less worn out, less under pressure are less likely to resort to reprehensible repressive measures. You don't give anything to others: nothing for public servants, nothing for hospital staff, who also accumulate overtime.
ParlaMint-FR_2018-12-20-O1113.u60	Yes!
ParlaMint-FR_2018-12-20-O1113.u61	Mr Coquerel, you have spoken for more than fifteen minutes.
ParlaMint-FR_2018-12-20-O1113.u62	[[Applause on the benches of the FI group]] I'll tell you three-colored vests soon. Indeed, nothing for the DGF, the overall operating endowment: you will soon see demonstrators girded with their tricolor scarf. Nothing for the chambers of commerce and industry.
ParlaMint-FR_2018-12-20-O1113.u63	We must conclude, Mr. Coquerel.
ParlaMint-FR_2018-12-20-O1113.u64	There's nothing to go back on the APL plank. There's nothing for accessibility for people with disabilities. There is nothing to do with the discriminatory increase in the fees for foreign students and which exacerbates the distortions in the selection at university. Nothing about the indexation of pensions on the rate of inflation. Nothing about the terrible mistake...
ParlaMint-FR_2018-12-20-O1113.u65	Thank you.
ParlaMint-FR_2018-12-20-O1113.u66	[[Protests on the benches of the LaREM group]] Give me another minute, frankly!
ParlaMint-FR_2018-12-20-O1113.u67	I'll give you 15 seconds, Mr. Coquerel.
ParlaMint-FR_2018-12-20-O1113.u68	[[Exclaims on the banks of the LaREM Group]] Nothing, I said, about the terrible error of the levy at source, of which we are all telling you that it will cause a social tsunami as soon as the French discover that they will have less money on their payroll. Besides, on this last point, I can't figure out what you...
ParlaMint-FR_2018-12-20-O1113.u69	Mr Coquerel, you cannot discuss another subject. Please come to a conclusion.
ParlaMint-FR_2018-12-20-O1113.u70	I do not understand that the majority, who face all the oppositions, which show them their wrongs, persists in error.
ParlaMint-FR_2018-12-20-O1113.u71	Thank you, Mr. Coquerel.
ParlaMint-FR_2018-12-20-O1113.u72	[[Applause on the benches of the FI group. – Hued on the benches of the LaREM group. – The president cut the speaker's microphone]] Anyway, I'm announcing a lot more yellow vests in the future. It is desirable, for you to change your policy, for you to change course.
ParlaMint-FR_2018-12-20-O1113.u73	All right!
ParlaMint-FR_2018-12-20-O1113.u74	[[Smile on the benches of the LR group]] We must let the speakers speak!
ParlaMint-FR_2018-12-20-O1113.u75	Don't start, please, with such remarks. I am in control of the debates, and I have left Mr Coquerel a few seconds more than expected, as a result of the sitting movements that were able to interrupt him. Mrs Sabine Rubin has the floor.
ParlaMint-FR_2018-12-20-O1113.u76	Of course, the Members of the La France insoumée group will vote in favour of the motion to reject beforehand, for the reasons mentioned in detail by Mr Coquerel. I would point out that, from the beginning of the examination of the text, we pointed out that the budget for 2019, identical to that of 2018, was a budget for the rich – abolition of the ISF, flat tax – while only a few DIY projects are planned, at the margin, in favour of purchasing power, with exemptions that weaken the social system. After the movement of the yellow vests, you could have seen your copy again, but nothing has been done in this sense: you've been content with a few small details, I repeat, at the margin.
ParlaMint-FR_2018-12-20-O1113.u77	Let's see!
ParlaMint-FR_2018-12-20-O1113.u78	You left a few crumbs to the most modest, without touching the richest grisbi, as our colleague has shown so well at the moment. By doing so, not only do you weaken the social security budget and you cut the state budget, so that the budget for 2019 is insinuating, but you do not meet the legitimate and double requirement of the French: more tax justice and more public services – and better public services. The yellow vests understood this smoke, this tartufferie. The discussion on a new reading did not allow for a review of all these points. It was therefore only a false debate which, I hope, will no longer be necessary when you start the great dialogue that you want to have with our fellow citizens.
ParlaMint-FR_2018-12-20-O1113.u79	Mr Fabien Roussel has the floor.
ParlaMint-FR_2018-12-20-O1113.u80	The members of the Group of the Democratic and Republican Left will vote in favour of the motion to reject it for at least one reason: the continuation of your tax measures in favour of capital and of all the measures that deprive the budget of several billion euros of revenue, while there are so many needs that are urgently needed for our citizens and our public services. You have chosen to maintain all these tax relief measures such as the flat tax or the abolition of the solidarity tax on wealth, whose restoration has been so much demanded by our fellow citizens in recent weeks and while 70% of the French support the yellow vest movement. You have chosen to maintain all the tax exemptions for financial income, dividends, profits of the big multinationals, while, I repeat, public services have so many needs, including the public hospital service – and I am thinking of the tragedy that occurred a few hours ago, when a patient died on a bed in the emergency department. [[Applause on the benches of the GDR group]] But you continue to deprive the budget of more than EUR 10 billion of revenue because you have made the choice to reduce capital taxes, as you say every time. You give gifts to those who do not need them. In short, there are always those who will pay more and those who will not pay.
ParlaMint-FR_2018-12-20-O1113.u81	Mr Roland Lescure has the floor.
