ParlaMint-FR_2018-11-12-O1058.u1	The next item is the debate on the draft amending finance law for 2018 (No. 1371, 1395).
ParlaMint-FR_2018-11-12-O1058.u12	All right!
ParlaMint-FR_2018-11-12-O1058.u13	The balance of appropriations opened and cancelled amounts to EUR 80 million. The PLFR aims to balance appropriations openings and cancellations in order to limit the impact on the balance of the general state budget: this approach had not been adopted since the 2007 and 2008 amending financial laws. In the context of this renovated PLFR, we must focus on the core of the subject. I do not wish to avoid the debate, but I would like it to deal with the content and purpose of this amending finance bill. [[Applause on the benches of the LaREM and MODEM groups]] Minister, you can count on my full support, both in the form and in the substance of this PLFR. I call on everyone to take a responsible attitude, like the Committee on Finance, and to adopt it.
ParlaMint-FR_2018-11-12-O1058.u14	Mr President, the Committee on Finance, the General Economy and Budgetary Control has the floor.
ParlaMint-FR_2018-11-12-O1058.u15	I take note of the willingness of the Government, which I approve, to bring together all the fiscal arrangements and appropriations in the finance bill for the coming year, and to present in this amending finance bill all the correction, adjustment and adjustment measures for the current year. We had argued in favour of this distribution – Gilles Carrez, in particular, did so with great talent – when we were in power: you put it into practice, and that's very good. In a way, indeed, the abuse of the procedure of advance decrees, which is a derogatory procedure, weakens the scope of parliamentary authorization. [[Smile]] Now that I have said good things about this text, I will say bad things, if I may.
ParlaMint-FR_2018-11-12-O1058.u16	You don't have to!
ParlaMint-FR_2018-11-12-O1058.u17	Yes, it's kind of a duty of balance! The real problem, in fact, lies in the time that Parliament, and therefore parliamentarians, have to examine these texts. I would remind you that the LOLF imposes a period of one week to obtain Parliament's opinion on the Government's advance orders. It is therefore a paradox that we have had far less than a week to examine this PLFR! It is understandable that some of our colleagues, particularly those from the opposition, are at least uncomfortable to examine this text in committee on Friday, and it is now Monday. The opposition has rights, which must be respected; For this purpose, the majority has duties, including giving it time to examine the texts. Moreover, it is not for the majority to say whether or not to amend a text: it is for parliamentarians to do so! I was the minister of the budget before you, and I know that no government has a strong desire to see its texts amended. Every government thinks it's alpha and omega, and knows exactly what to do. But it is the role of the opposition to seize the opportunities it encounters. A finance bill, for example, offers many opportunities. See what happened about fuel prices: the debate at the PLF was important. Opposition Members have tabled an amendment to freeze the carbon tax trajectory. Last year we proposed another path for energy taxation. But this year, all of a sudden, this debate came out of the Chamber: the public has seized it with great force, as we see this week. Thus, the review of the PLFR makes it possible, in a way, to update the debates. A month after the start of the PLF review for the coming year, some of them had time to crystallize in the French opinion. I repeat: the review of the PLFR offers, from this point of view, a useful time for discussion.
ParlaMint-FR_2018-11-12-O1058.u18	All right.
ParlaMint-FR_2018-11-12-O1058.u19	I am well aware that the Government still finds that Parliament is too long, but it must be remembered that the Government decides alone, while Parliament, where all political sensitivities are represented, must debate. It obviously takes more time, but there is no democracy without debate! That is why many amendments have been tabled on this text. Of course, many of them are not really related to this PLFR, but it simply comes from a lack of time. On the merits, the High Council of Public Finance considered that the macroeconomic logic of the 2018 Finance Bill is respected. In a few respects, the Government has met its commitments well. However, several questions arise. First of all, expenditure has increased little in volume; On the other hand, they rose sharply due to high inflation. However, in periods of high inflation, given the automatic drift of expenditure in value terms, it is easier to keep expenditure in volume: this masks the real increase in expenditure. Beyond the effects of inflation, 2018 is disappointing. We regretted his lack of ambition at the time, and we continue to regret it. The public balance improved by only 0.1 points between 2017 and 2018, i.e. nothing at all, while France experienced a period of strong growth. The context is very different from that experienced by Nicolas Sarkozy, when the French economy, in the context of a global recession, was itself in recession, and that experienced by François Hollande, marked by the end of the financial crisis and by new crises, especially those of the euro, which obscured the prospects for growth. We have now entered a favorable cycle, but you are not taking advantage of it. The structural effort is even weaker as the context is more favourable: it was zero in 2018. France is therefore not respecting its international commitments, particularly those of the Treaty on Stability, Coordination and Governance within Economic and Monetary Union (ETUC), which is quite worrying. I would remind you that we have committed ourselves to reducing our structural deficit by at least 0.5 percentage points per year in order to achieve our medium-term objective. This rule, in addition to limiting the deficit to 3% of GDP, is intended to regulate the increase in debt. However, the prospect of a return to balance is constantly being rejected by the Government, and this was again the case in 2018. Your forecasts are therefore not in line with the TSCG. I believe that France should respect the treaties it has signed: if we want to call into question this or that objective, then we must do so explicitly at the level of the European Union, and not act unilaterally by relying on the benevolence of the European Commission. Because we are not just any country but France, we must pay special attention to this. You have the opportunity to comply with the provisions of the TSCG, but you do not respect them: we regret it. I'm coming to the OPEX. It is true that you are making an effort to make their budgeting more sincere: we recognize it, and François Cornut-Gentille, present here, will probably say it again. You are increasing the budget of the Defence Mission as it moves forward to take into account the amount of the OPEX: this is also what we did in our time, albeit less important. The gap between the actual cost of OPEX and the internal tasks of the Ministry of Armed Forces and the amounts provided for in the Financial Act is narrowing. However, there is a gap of EUR 404 million, which will not be covered by interministerial solidarity, as was the case before. Why is that? Not only do you not respect the treaties, as I have shown, but you also do not respect the law of military programming: it is another matter of concern for us. In short, you cancel a little more than 300 million euros of appropriations on the current weapons programmes. I don't think that's a good thing. In fact, don't you take with one hand what you gave with the other? Of course, you have increased the budget appropriations of the armies, in accordance with the military programming law, which aims to reach the level of 2% of GDP. But is this increase very real, if you charge from these appropriations expenses which were previously based on other appropriations, under ministerial solidarity? That's a serious question! To sum up perhaps a bit caricatural, the more you ask the armies, the less you equip them. You will doubtless contest this way of looking at things, but in any case, we are not in favour of this method, which results in the army finding itself with less funds available than before. Last point: fuels. This is both a political and a technical issue, as the oppositions revealed in the debate on the PLF. I have a question to ask the Government and the majority on this subject: is the increase in energy taxation intended to compensate for the reduction in the housing tax?
ParlaMint-FR_2018-11-12-O1058.u20	No, no, no, no, no, no, no,
ParlaMint-FR_2018-11-12-O1058.u21	This is not your level, Mr. Chairman of the Commission!
ParlaMint-FR_2018-11-12-O1058.u22	[[Exclaims on the banks of the LaREM Group]] We have been asking this question for several weeks, with no answer. The amounts are the same: admit it's disturbing!
ParlaMint-FR_2018-11-12-O1058.u23	That's right!
ParlaMint-FR_2018-11-12-O1058.u24	[[Smile on the benches of the LaREM and MODEM groups]] Do you do numbering now, Mr. Woerth?
ParlaMint-FR_2018-11-12-O1058.u25	I insist: do you compensate for the drop in the housing tax by increasing fuel levies? I'm sure you're going to tell me that not, but from year to year, throughout the two trajectories – the reduction in the housing tax and the reduction in fuel taxes – the amounts are surprisingly similar. In the end, do you charge drivers today what tenant taxpayers will no longer pay tomorrow?
ParlaMint-FR_2018-11-12-O1058.u26	You're going astray!
ParlaMint-FR_2018-11-12-O1058.u27	[[Applause on the benches of the LR group]] In conclusion, this PLFR demonstrates an effort of sincerity and an effort to clarify the division of roles between PLFR and PLF. However, you do not make any effort to clarify your policies: this is what the French are asking for.
ParlaMint-FR_2018-11-12-O1058.u28	I have received a motion from Mr Christian Jacob and members of the Republicans Group to reject it in advance pursuant to Rule 91(5) of the Rules of Procedure. Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2018-11-12-O1058.u29	Before I get to the heart of the matter, I would like to start with a positive note, welcoming the effort of the Government this year to reduce the amount of the amending finance bill. Contrary to the customary practice in previous years, this PLFR has not become a catch-up law for next year's finance bill, the examination of which is concurrent. Without any tax measures, this "light" PLFR has the merit of trying to meet its primary purpose, that is to adjust the balance of the original finance law to keep the forecast of the implementation of the state budget. It is therefore not a finance bill bis, as the Chairman of the Finance Committee has pointed out. We are all happy about that, Minister. On the other hand, and that is a great pity, this commendable effort is totally undermined by an absolutely unacceptable examination of the burden. Thus, while the examination of the draft finance law in committee and the examination of non-attached articles already overlaps, the PLFR was introduced by the Government last Wednesday, 7 November, at 17:15. The examination in committee was scheduled for Friday 9, and the deadline for tabling amendments initially set at 15.00 a.m. the previous day, leaving us barely twenty-two hours to read the text, analyze it and then work on it so that we could table our amendments for the committee... Finally, the deadline for filing was extended to 20 hours, leaving us a few extra hours. As for the consideration of the PLFR in a public sitting, the problem is the same since the deadline for tabling amendments was set at seventeen hours on Saturday, 10 November, just over twenty-four hours after its consideration in committee. How can we accept deadlines for tabling amendments of 24 hours in committee and 48 hours before the sitting, when there is actually no urgency? Minister, it's never been seen before! How do you want Members to have time to take up the text, to do a good job and to propose amendments? If I do not doubt for a moment the willingness of my colleagues to carry out their mission with the utmost intellectual rigour, then they should be given the means to do so! The forced marching parliamentary work imposed on us is not only a lack of respect for Parliament, but also for the nation of which it is the emanation. The PLFR is indeed an essential text which concerns all our citizens. The French have the right to demand that their representatives, that we are, be able to control government action in the serenity indispensable for the functioning of any democracy. Three days to read the text, draft, table and consider the amendments is really not serious! For yes, this text, even though it does not include many articles, nine in total, addresses several subjects worth discussing. The agenda imposed by the Government completely undermines the rights of the opposition, and the verticality that the majority wants to impose on us is anti-democratic. You said in your opening remarks that you did not understand the debate that had taken place on this PLFR: I think you were referring to the reaction of the opposition members in the Finance Committee. What is happening deserves to be retained in order to prevent it from happening again. Let us turn now to the presentation that the Government has declined. How can we understand that neither of the two ministers in charge of this text has deigned to go before the Finance Committee last Wednesday?
ParlaMint-FR_2018-11-12-O1058.u30	But there was a minister!
ParlaMint-FR_2018-11-12-O1058.u31	Neither Minister Bruno Le Maire, Minister of Economy and Finance, nor yourself, Minister of Action and Public Accounts, took the time to travel to present us with the amending finance bill for 2018 and answer our questions.
ParlaMint-FR_2018-11-12-O1058.u32	It is as if I were blaming Mr Jacob for not defending this rejection motion himself!
ParlaMint-FR_2018-11-12-O1058.u33	This is contempt and disrespect for Parliament.
ParlaMint-FR_2018-11-12-O1058.u34	You're the one who's contemptuous!
ParlaMint-FR_2018-11-12-O1058.u35	These formal, but no less essential, points alone would justify this motion of rejection. But I now turn to the substance of the debate. Since the arrival in power of President Emmanuel Macron, France has been bogged down in a particularly worrying economic decline. One by one, the warning signals multiply. Whether it is the erosion of economic growth, the uninterrupted inflation of public debt...
ParlaMint-FR_2018-11-12-O1058.u36	It was the PLFR of two years ago!
ParlaMint-FR_2018-11-12-O1058.u37	... or the dramatic deterioration of our trade deficit, the indicators are unanimous in demonstrating the unrelenting failure of the economic policy chosen by the Government. After a first budget responsible for a €4.5 billion deterioration in the purchasing power of the French, the President of the Republic should have sounded the alarm. Yet, as paralysed by the urgency of the situation, the Government has persevered in a deadly fiscal policy. The decline in our country's economic growth is one of the most striking indicators of this inexorable diversion. In its opinion of 19 September on the PLF for 2019, the High Council for Public Finance had found credible the government's forecast of real GDP growth of 1.7 per cent. At the time, this figure was already showing a significant slowdown: 0.6 percentage points less than the 2.3% growth recorded for 2017. However, in its opinion of 31 October on the draft amending finance law, within a few weeks, the High Council has therefore revised this forecast downwards: in view of the most recent information, including the third quarter national accounts published by INSEE, this independent body now estimates that a growth of 1.6% is more likely. While the European Commission forecasts an average growth of 2.1% for the euro area, how can we not worry about this dreadful economic fall in France compared to its neighbours? With regard to the structural deficit, the observation is equally alarming: according to the High Council for Public Finance, after having been negative in 2017, France's structural effort will be virtually zero in 2018, even though the road ahead in order to meet the medium-term objective is important. Thus, the structural effort will not exceed 0.1 percentage points of GDP in 2018 and 0.3 percentage points in 2019, far from the minimum effort of 0.5 percentage points required by Brussels. This government's inability to tighten its belt by making drastic cuts in public spending explains the upsurge in a structural deficit that is expected to reach 2.6% in 2018 and 2.8% in 2019. We are still as close to 3%, and this is the first time that the deficit has increased in nearly 20 years. Next year, the Government's budgetary burden will increase the French government's deficit by €13 billion, bringing it to a record high of €98.7 billion. Yet, ignoring the evidence, the Government continues to dilapidate the money of the French, in the name of a demagogic and unreasonable policy. With public debt peaking at 98.6% of GDP in 2019, the two and a half years of Emmanuel Macron's presidency will mark a sharp increase of 175 billion euros in public debt. Untiringly, public spending continues to grow: after an increase of 20 billion in 2018, it will increase, the Chairman of the Finance Committee reminded him, by about 25 billion in 2019, i.e. by 0.6% in volume and 1.9% in value. If we want to get France out of the rut, it is an effort to cut public spending by EUR 20 billion that should be imposed on all of us. But the government has still not presented any detailed savings plan! Unfortunately, the failure of growth and the government's lack of confidence are not the only shaded areas that taunt the beginning of this quinquennium. Indeed, while the Prime Minister had just paid tribute to the soldiers who had fallen into the field of honour during the Great War, he was preparing a very dirty blow against the army in the context of this bill on amending finances.
ParlaMint-FR_2018-11-12-O1058.u38	Oh!
ParlaMint-FR_2018-11-12-O1058.u39	Due to the additional, yet predictable, cost of external operations that have largely exceeded the envelope originally provided for under the "Defence" mission, the Government has decided to cancel more than €404 million of the military budget appropriations in this amending finance bill. If the Military Programming Act 2014-2019 had been complied with, the additional costs should have been covered by inter-ministerial funding. The Government, with this unbearable plank, has been violating a practice that has been in force for more than ten years, with the aim of avoiding the use of military equipment. This initiative is all the more unacceptable as the new military programming law 2019-2025, passed just a few months ago, reaffirms the principle of interdepartmental funding beyond the initial staffing. It is the word of the State that is called into question in this PLFR. In total contradiction with the commitment of the President of the Republic as the head of the armed forces, a commitment enshrined in the law of military programming, this denial is a tremendous blow of massacred on the head of the forces in charge of the defence of our fellow citizens. Not to mention that with 3% of equipment credits written off, it is the indispensable modernization of the armies that is at risk. The members of the Republican Group have therefore tabled an amendment, which will be supported by François Cornut-Gentille, aimed at restoring the cancelled appropriations of the "Defence" mission, in the name of compliance with Article 4 of the military programming law. Finally, with regard to the situation of the 30,000 reservists of the national gendarmerie sent to the field since September 2018, I regret that this draft law on amending finance does not provide for an increase in the appropriations necessary to finance this new wage bill. It is not permissible for women and men who have decided to give their time in order to meet the increasing needs of the gendarmerie to receive their balances only in 2019, more than four months late. The "Security" Mission's 152 program could, however, have corrected the situation for payment of these balances to take place in 2018. At the end of this non-exhaustive review of the many mistakes made by the Government, it seems to me important to address the issue of solutions. For if France is sick, remedies exist. Provided you have the courage to administer them... It is possible to break the vicious circle of dropping out and to maintain our position among the major European powers. In order to boost French growth and purchasing power, the consolidation of public spending is an indispensable step. Indeed, only a massive tax relief that crushes our businesses today will be able to restore colors to the living forces of our country. That is why the Republicans propose 20 billion budget savings, to put an end to the excess of public spending. It is an indispensable prerequisite to clean up our public accounts and give us room for manoeuvre so that we can then lower taxes. Without a reduction in spending, all promises of tax cuts are illusions. The French know that. They will have confirmed this with the abolition of the housing tax, which will eventually be replaced by taxation at national level – the chairman of the Finance Committee stressed the importance of the transfers that occur in your budget texts. Moreover, as our country's external deficit explodes, reaching €62.7 billion in 2018, the removal of the reduced rate of ICTPE – internal consumption tax on energy products – is an incomprehensible measure, leading to a tax increase of almost €1 billion for entire sectors of our economy. Eliminating production taxes, increasing the reduction in corporate taxes, further challenging overtime, reducing the burden on wages, for example up to three SMICs: these are the recommendations of the Republicans Group to the attention of a majority who have already wasted too much time. In order to reduce the public deficit, public expenditure must be affected, and the trade deficit must be reduced, the competitiveness of enterprises must be affected. In general, systematic confiscation must cease. And it is not the extra cost caused by the introduction of the levy at source or the constraints associated with the new organization of the patent regulation that will allow us to avoid cataclysm. It would be the Government's responsibility to put an end to the tax machining of certain classes of people who are losing their purchasing power. Of course, it promises a reduction in household taxes of 6 billion euros: but in reality, it does the calculations that arrange it! If we include, on the one hand, reductions in social benefits, i.e. the quasi-freezing of pensions, family benefits and LPOs – personalized housing subsidies – and, on the other hand, increases in contributions – AGIRC and ARRCO for example – and income tax – the French will actually lose 300 million euros! Not to mention the increase in taxes on road fuels, which will increase by €3.7 billion including VAT. This is a significant increase since in five years households and businesses will have paid about 46 billion more. On the contrary, the return to the disindexation of pensions, family allowances and LPAs, the reduction of energy taxation and the reduction of income tax – which would neutralise the effects of the source levy on purchasing power – are easy remedies to implement and would restore air to French people today asphyxiated. Finally, I would like to conclude by stressing the unprecedented and absolutely unbearable tax crackdown on all French people who have to use their cars. Indeed, under the guise of convergence of gasoline and diesel taxation, the Government has organized an endless race to raise taxes on all fuels. Because there were two solutions, to ensure convergence: to reduce the highest rate or to increase the lowest rate. Now the two trajectories are ascending! As the level of fuel taxes peaks, you plan to increase them again and again, in January 2019, then in January 2020, then in 2021, and again in 2022. Such punitive taxation is inconceivable in the context of a general decline in purchasing power. Because if you are not responsible for the increases in the price of the barrel, you have a duty to suspend this increase in taxes when the price of oil goes up. You could have accepted our proposal, as part of the PLF, to take a break in 2019 on fuel taxes. You cannot, as you do, take the argument of the energy transition to justify these taxes while you only return to the energy transition of less than 20% of their product. These are, in fact, pure performance measures aimed at feeding the funds of a state that is unable to reduce its expenditure today. So an amendment by the Republicans Group will propose to freeze the increases in fuel taxes in order to stop this huge exercise to reduce the purchasing power of our compatriots. If the Republican Group regrets that its arguments have not been heard more by the majority in the debate on the finance bill, I still have hope – always! – that the Government regains its sense of responsibility and abandons a policy of demagogic and dangerous transfers in favour of a genuine economic rescue plan for our country. These are the various substantive elements that lead us to move this motion. [[Applause on the benches of the LR group]] As you have understood, both in terms of form and substance, the arguments raised justify this motion of rejection tabled by the Republican Group. Its adoption would allow us to resume consideration of the bill under much more serene conditions.
ParlaMint-FR_2018-11-12-O1058.u40	Bravo!
ParlaMint-FR_2018-11-12-O1058.u41	We come to the explanations of vote. The floor is for Mr Philippe Vigier, for the Libertés et territoires group, for a maximum of two minutes.
ParlaMint-FR_2018-11-12-O1058.u42	It is not my practice to vote on the motions for rejection, but we will vote on it, and for quite simple reasons, which have been very well mentioned by Véronique Louwagie. Firstly, as I will say in my speech earlier, the conditions under which we are required to legislate are, in my view, not very serious. The examination of this text is almost simultaneous with that of other budget texts. The television cameras are running the House, and you can imagine that our compatriots are wondering where the Members are! Secondly, and more importantly, I would have liked, Mr.Minister, to have you shed some light on the changes in strategy that have taken place with regard to the military programming law. When a law is passed, I think it is quite essential to respect it. We planned to be able, until 2020, to eventually seek funding from the inter-ministerial departments for OPEX. This is no longer the case. What is the reason for this change in strategy? Thirdly, with regard to environmental taxation, how is it that part of the budget allocated to it is allocated to the general budget?
ParlaMint-FR_2018-11-12-O1058.u43	And vice versa.
ParlaMint-FR_2018-11-12-O1058.u44	We should be enlightened: it seems to me important to go to the bottom of things and tell us what's going on ahead, so that we can know what's going on. Finally, as I understand it, a meeting took place this morning in Matignon to help our compatriots who are struggling to cope with the increase in fuel prices: perhaps you could enlighten us, minister? This motion for a preliminary referral...
ParlaMint-FR_2018-11-12-O1058.u45	Rejection!
ParlaMint-FR_2018-11-12-O1058.u46	[[Applause on the benches of the LR group]] This motion for rejection will at least allow, I hope, to go into these matters. These are the reasons why, of course, I will vote for it.
