ParlaMint-FR_2018-09-18-E2012.u1	The meeting was suspended.
ParlaMint-FR_2018-09-18-E2012.u15	[[Other movements]] We only had one dish tonight... Although the Government has already specified the fate of this amendment, I will defend it as it proposes the deletion of the "public interest judicial agreement" – the CJIP. Established by the Sapin 2 law of December 2016, which the article also aims to extend to all tax fraud, it allows the conclusion of a transaction between the public prosecutor and a legal person in cases of money laundering of tax fraud. This transaction leads to the payment by the corporation of a public interest fine to the Consolidated Revenue Fund, but does not involve an admission of guilt. Thus, in exchange for the payment of a fine, the harm caused to society as a whole is eliminated, undermining the necessary example of the sanctions that must apply to financial crime. The first CJIP, approved in November 2017, dealt with a large-scale case, which was recalled earlier: the tax fraud money laundering case for which HSBC was responsible. By agreeing to pay a fine of EUR 300 million, or about 20% of the assets of exempt customers, which amounted to EUR 1.6 billion, the bank was able to escape a lawsuit; In the end, she was able to escape any conviction. As Fabien Roussel has said, this procedure feeds the feeling of double standards: leniency, preferential treatment or feeling of impunity for some, severity and punishment much heavier for others... The deletion of this provision from the Code of Criminal Procedure is therefore necessary.
ParlaMint-FR_2018-09-18-E2012.u16	Mrs Emilie Cariou, rapporteur of the Committee on Finance, the General Economy and Budgetary Control, has the floor to give the Committee's opinion.
ParlaMint-FR_2018-09-18-E2012.u17	In consistency with what I explained at this afternoon's sitting, we are against it.
ParlaMint-FR_2018-09-18-E2012.u18	The next speaker is the Secretary of State to the Minister for Public Affairs and Public Accounts, to give the Government's opinion.
ParlaMint-FR_2018-09-18-E2012.u19	Unfavorable.
ParlaMint-FR_2018-09-18-E2012.u20	The Secretary of State has the floor to introduce Amendment No. 303.
ParlaMint-FR_2018-09-18-E2012.u21	This is an editorial amendment to correct an error in the Senate text.
ParlaMint-FR_2018-09-18-E2012.u22	Where's the mistake?
ParlaMint-FR_2018-09-18-E2012.u23	Call the rules!
ParlaMint-FR_2018-09-18-E2012.u24	Mr Eric Coquerel has the floor for a point of order.
ParlaMint-FR_2018-09-18-E2012.u25	On the basis of rule 58, paragraph 1, and always on the question of the sincerity of our discussions before the vote on rule 9 bis. We asked at the beginning of the sitting why Mr Darmanin, in view of his contradictory remarks, was not here to enlighten everyone's choice; We have asked Mr Dussopt to speak, but we have not heard him. Therefore, pending a reply, the La France insoumée group is asking for a suspension of the sitting.
ParlaMint-FR_2018-09-18-E2012.u26	Yes!
ParlaMint-FR_2018-09-18-E2012.u27	Mr Loïc Prud'homme has the floor for a point of order.
ParlaMint-FR_2018-09-18-E2012.u28	Madam President, I would like to make this point under Rule 58(1) of our Rules of Procedure for the proper holding of our debates. Mr. Dussopt doesn't seem very inclined to give answers to the question – though clear – that we asked him: how can our vote be lit up while the minister's volte-face is still quite extraordinary? We have asked that the minister be present, but obviously he will not come. The minimum of respect that you owe, both to Members of Parliament and to the institution, requires, Mr Dussopt, that you answer the question you have been asked. You must be able to argue on this volte-face between the debates in the Senate and those in the National Assembly.
ParlaMint-FR_2018-09-18-E2012.u29	The Secretary of State has the floor.
ParlaMint-FR_2018-09-18-E2012.u30	[[Applause on the benches of the LaREM group]] I reply in two respects: first, I would remind the various speakers that the Government designates its members as its representative on the bench of ministers. Secondly, if the Government's position has evolved between the consideration of the bill in the Senate and in your chamber, it is due only to one reason: the conviction work of your rapporteur...
ParlaMint-FR_2018-09-18-E2012.u31	Seriously?
ParlaMint-FR_2018-09-18-E2012.u32	[[Applause on the benches of the LaREM group]] ... and the work of co-construction of the text with the majority.
ParlaMint-FR_2018-09-18-E2012.u33	It's a little easy!
ParlaMint-FR_2018-09-18-E2012.u34	This explains why the report by Émilie Cariou, which is a work of very high quality, was unanimously adopted by the Committee on Finance, which examined it. [[Applause on the benches of the LaREM group]] It has indeed allowed us, by moving forward and examining the bill, that is, by working with all those who, in the majority, want it to be a success, to change the position of the Government with a view to obtaining the most effective text.
ParlaMint-FR_2018-09-18-E2012.u35	Mr Daniel Labaronne has the floor.
ParlaMint-FR_2018-09-18-E2012.u36	In my speech in general discussion, I highlighted the extremely thorough work that has been the subject of wide-ranging consultation on this bill between the Government and Parliament. I have indicated that we have taken into account the opinions of the Council of State and the recommendations of Bénédicte Peyrol's fact-finding mission on the international tax evasion of companies, as well as, through the Government's listening, the recommendations of the Bercy Lock Information Mission. I have therefore already mentioned these points and thanked the minister for his ability to listen, which has led to this highly collaborative work that has enabled us to evolve. So we have both demonstrated collective intelligence. Of course, I do not want to replace Minister Darmanin and Secretary of State Mr. Dussopt explained this very well: we have carried out co-construction work on this bill.
ParlaMint-FR_2018-09-18-E2012.u37	Co-destructive, more like!
ParlaMint-FR_2018-09-18-E2012.u38	[[Applause on several benches of the LaREM group]] It has therefore evolved according to this co-construction.
ParlaMint-FR_2018-09-18-E2012.u39	Mrs Marie-Christine Dalloz has the floor.
ParlaMint-FR_2018-09-18-E2012.u40	Secretary of State, I listened carefully to your answer. Let me therefore express my astonishment to you. You are in the process of explaining to us about this article 9 bis, introduced by the Senate and to which the Government you represent was opposed, that it was the debates at first reading in the Senate and then in the Finance Committee in the National Assembly that allowed the rapporteur to influence you. This explanation is calling me. The distinction is not entirely trivial: the Sapin 2 law already provided for such a convention in cases of trafficking in influence, corruption, trafficking in influence, money laundering, aggravated laundering and laundering of tax fraud. The addition of this concept of pure tax evasion is anything but trivial. Two cases seem to me to be possible: either the rapporteur enjoys considerable influence, and in this case one can imagine that the influence of the Bercy school still remains...
ParlaMint-FR_2018-09-18-E2012.u41	This has nothing to do with it!
ParlaMint-FR_2018-09-18-E2012.u42	... or you have, Mr. Secretary of State, a real and urgent need for money. This article would then offer you the opportunity to easily find tax revenues, and this very quickly, without you having told us at what level you estimate them. This raises a real question as to the reasons underlying Article 9 bis.
ParlaMint-FR_2018-09-18-E2012.u43	Mr Eric Coquerel has the floor.
ParlaMint-FR_2018-09-18-E2012.u44	I may not have the time to go back, so as to verify what Mr. Dussopt is telling us, to the chronological path that led to Article 9 bis. I'm telling you very frankly: I don't believe in him. I do not believe that the minister was convinced by the rapporteur's arguments. If Émilie Cariou has, I know, strong arguments, so far they have weighed more in the direction of ending or mitigating Bercy's lock. So, in my view, there is another reason that I would like to understand one day: it is not the bill that has changed, but the minister's opinion has been very clear.
ParlaMint-FR_2018-09-18-E2012.u45	[[Smile]] It's not the wind, it's the wind!
ParlaMint-FR_2018-09-18-E2012.u46	I have a bit of difficulty in thinking that, starting from a clear and structured statement explaining precisely how it was contradictory to wanting to end Bercy's lock at the same time, he was able to change at all. At the same time, however, the rapporteur, I am speaking to you and to all the Members you are influencing: I do not understand your logic that we are at the same time about to end in part with Bercy's lock – although I note that a compromise has already been reached, since, if we are going to consider some amendments a little later, we were already, with many colleagues from other groups, in favour of going further – and to give us the means, with the enlargement of the CJIP, to actually cancel part of this result. There is something totally contradictory about this. But perhaps this is a logic that gives you the partial easing of Bercy's lock, provided that in reality the CJIP is expanded, which will result in many cases not going to court. That is, very sincerely, the question I am asking myself. Your volte-face is indeed surreal. Of course, we will call for a vote against Rule 9a. Quite frankly, with clause 9, and now clause 9 bis, you are actually emptying out the substance of the bill that you are proposing to us in order to combat tax evasion.
ParlaMint-FR_2018-09-18-E2012.u47	Exactly.
ParlaMint-FR_2018-09-18-E2012.u48	As I fully believe in your convictions, dear rapporteur, it seems to me that this cannot serve the fight in which you have engaged. Articles 9 and 9a make it almost unnecessary to relax Bercy's lock, which we will vote for in Article 13. [[Applause on the benches of the FI group]] That is the reality.
ParlaMint-FR_2018-09-18-E2012.u49	Yes!
ParlaMint-FR_2018-09-18-E2012.u50	Mrs Emilie Cariou, rapporteur, has the floor.
ParlaMint-FR_2018-09-18-E2012.u51	As I have told you, this is an agreement with the legal person: its leader can perfectly be translated into criminal law during a public trial in which you hold so much. We also have a list of all the IJCs that have been concluded so far: when you look at the decisions made in this area, which are now public, they are much more detailed than any court decision. It even contains all the details of the methods of calculating the fine, which everyone can consult. It is therefore possible to publicly challenge such decisions. In addition, the minister said: I refer you to pages 253 and 254 of the report that followed the consideration of the bill in the Finance Committee. Mr. Darmanin had made it clear that, in the end, he supported this procedure because he did believe that it would improve not only sentencing but also the fluidity of justice. He also indicated that it was not a lock at all, that in this case it was the judicial world that was manoeuvring and that the conventions would be approved by the judge. He therefore explains all this in the report, on page 254. So I don't understand your question.
ParlaMint-FR_2018-09-18-E2012.u52	And why did he turn around?
ParlaMint-FR_2018-09-18-E2012.u53	The minister explained himself, and you want to know why. He said: that's all I have to give you as a precision.
ParlaMint-FR_2018-09-18-E2012.u54	I put Rule 9a to the vote.
ParlaMint-FR_2018-09-18-E2012.u55	The result of the vote is as follows: Number of voters 76 Number of votes cast 72 Absolute majority 37 For adoption 52 Against 20
ParlaMint-FR_2018-09-18-E2012.u56	Mr Hubert Wulfranc has the floor to support Amendment No. 108.
ParlaMint-FR_2018-09-18-E2012.u57	It aims to challenge the Supervisory and Resolution Authority, the CPRA: we propose that it be given the power to pronounce the withdrawal of the banking authorisation, in case of fraudulent acts in tax matters. As far as we are concerned, this option offered to the CPRA would be both appropriate, given the fault; useful, taking into account the necessary display of such misconduct; effective, taking into account the follow-up which would be reserved for the actions of the bank concerned. [[Applause on the benches of the GDR group]] It is really about identifying this banking sector and putting an end to a situation in which banks can, without a blow, return to their activities after such a procedure. That is the meaning of this amendment.
ParlaMint-FR_2018-09-18-E2012.u58	What is the opinion of the committee?
ParlaMint-FR_2018-09-18-E2012.u59	We are preparing, in Article 13, to expand the procedures for initiating complaints of tax evasion. We have just, in Article 8, increased the penalties for tax evasion. The committee is therefore against this amendment.
ParlaMint-FR_2018-09-18-E2012.u60	What is the Government's opinion?
ParlaMint-FR_2018-09-18-E2012.u61	Same opinion.
ParlaMint-FR_2018-09-18-E2012.u62	Mr Hubert Wulfranc has the floor to support Amendment No. 132.
ParlaMint-FR_2018-09-18-E2012.u63	In the same spirit, this amendment proposes to prohibit access to public procurement for five years to all companies that have concluded a judicial agreement in the public interest. Indeed, in view of the absence of guilt and the fact that the slate of those undertakings would be removed, we consider that there is a need to balance this conclusion, which we consider unfair in this respect and which, for a number of actors and decision-makers, in particular the public, will be a source of insinicity in economic relations. [[Applause on the benches of the GDR group]] In our view, therefore, the signature of such a convention must be accompanied by a ban, i.e. a five-year exclusion from the public procurement procedure.
ParlaMint-FR_2018-09-18-E2012.u64	What is the opinion of the committee?
ParlaMint-FR_2018-09-18-E2012.u65	He's unfavorable.
ParlaMint-FR_2018-09-18-E2012.u66	What is the Government's opinion?
ParlaMint-FR_2018-09-18-E2012.u67	It is also unfavourable.
ParlaMint-FR_2018-09-18-E2012.u68	Mr Fabien Roussel has the floor.
ParlaMint-FR_2018-09-18-E2012.u69	Madam rapporteur, we have worked so hard on all these questions that you cannot dispense with an answer. You also, earlier, sold us so much the public interest judicial agreements by telling us: don't worry, they will give rise to convictions. We have explained to you that with these same agreements no conviction would be imposed, since there is only a fine proposed. The undertakings concerned will therefore only be able to cope with one fine. We propose that there be at least this conviction, i.e. that these banks caught in the jar of jam incur a penalty of more than a simple fine, i.e. that they are deprived of the opportunity to participate in public tenders. Refusing to do so would be tantamount to recognizing that the companies concerned will not be convicted, which would demonstrate that this article is not effective in combating fraud.
ParlaMint-FR_2018-09-18-E2012.u70	The rapporteur has the floor.
ParlaMint-FR_2018-09-18-E2012.u71	[[Smile]] You see, Mr Roussel: I can't help but answer you when you question me! In general, automatic sentences are censored by the Constitutional Council – I thought it was superfluous to remind you. In addition, you propose to create a specific penalty. However, the additional penalty of exclusion from public procurement already exists for certain financial offences, but not for tax evasion. This penalty would not be applicable in the case of tax evasion, but would it be applicable in the case of a conclusion of a CJIP due to tax evasion? All of this does not seem to be consistent. Hence the unfavorable opinion.
ParlaMint-FR_2018-09-18-E2012.u72	Mr Hubert Wulfranc has the floor.
ParlaMint-FR_2018-09-18-E2012.u73	I would like to conclude this exchange of views by giving you my feeling, which is not that of a lawyer or even that of an elected one of some partisan sensitivity.
ParlaMint-FR_2018-09-18-E2012.u74	[[Smile]] Ah! We were scared!
ParlaMint-FR_2018-09-18-E2012.u75	You will understand that the feeling that emerges is that we are moving towards American justice. Basically: there is no more justice; We don't judge anymore, we compromise. But what is this word so introduced into our justice, concerning one of the most offensive offences to the public interest? The terminology of "judicial agreement in the public interest" becomes obsolete! We are no longer in judgment, we compromise; We're not guilty anymore, we're just vaguely responsible – here, I've heard this somewhere. In short: this CJIP is not justice, it is neither more nor less small arrangements between friends!
ParlaMint-FR_2018-09-18-E2012.u76	I have before me three amendments, Nos 229, 148 and 271, which can be discussed jointly. Amendments Nos 148 and 271 are identical. I call Mr Laqhila to support Amendment No. 229.
ParlaMint-FR_2018-09-18-E2012.u77	Article 10 of the draft law on the fight against fraud aims to strengthen customs sanctions in cases of abuse, ill-treatment, disturbance in the performance of the duties of customs officers or refusal to disclose requested documents. If this development is commendable, we propose to increase the amount of the fine to the maximum possible for a customs violation. The aim is to make this offence more dissuasive, without reclassifying the offence as an offence.
ParlaMint-FR_2018-09-18-E2012.u78	We come to identical amendments Nos 148 and 271. Mr Alain David has the floor to support Amendment No. 148.
ParlaMint-FR_2018-09-18-E2012.u79	The aim of this amendment is to increase the maximum amount of the fine from EUR 3000 to EUR 3700 in case of refusal to cooperate with customs officials. The Socialist and Related Group has chosen the amount of 3700 euros on the basis of the statements made in committee by the Minister for Action and Public Accounts: "If you propose, in the sitting, to raise the maximum amount to only 3700 euros, I will give a favourable opinion," he said.
ParlaMint-FR_2018-09-18-E2012.u80	Mrs Danièle Obono has the floor to support Amendment No. 271.
ParlaMint-FR_2018-09-18-E2012.u81	Article 10 reinforces customs sanctions in cases of abuse, ill-treatment, disturbance in the performance of the duties of customs officers or refusal to disclose requested documents, in particular by increasing the maximum amount of the fine from EUR 450 to EUR 3000. In committee, we proposed strengthening the sanctions, setting the amount at EUR 5000, which is the amount set out in the General Tax Code for refusing to provide documents to the tax administration. Minister Darmanin was against our amendment, but he had indicated that he would agree to set this amount at EUR 3500. We therefore come back with this new proposal, which should be agreed by the majority. Perhaps this time we can believe in the words of Minister Darmanin?
ParlaMint-FR_2018-09-18-E2012.u82	What is the committee's opinion on these amendments under joint discussion?
ParlaMint-FR_2018-09-18-E2012.u83	With the intellectual honesty that characterizes us, we obviously accept the two identical amendments.
ParlaMint-FR_2018-09-18-E2012.u84	You don't have to add any more!
ParlaMint-FR_2018-09-18-E2012.u85	The amendment which had been tabled by the La France group which was not submitted to the Finance Committee would have increased the infringement of the offence, whereas Amendments Nos 148 and 271, which aim to raise the amount of the fine to EUR 3700, allow us to remain in the same category of sanctions. On the other hand, Amendment No 229 poses the same problem as the amendment put forward in committee. Opinion against No 229, therefore.
ParlaMint-FR_2018-09-18-E2012.u86	What is the Government's opinion?
ParlaMint-FR_2018-09-18-E2012.u87	The Government is seeking the withdrawal of Amendment No. 229 from the Group of the Democratic and Related Movement, since, as the rapporteur said, setting a fine of EUR 3750 would increase the investigation of the criminal court rather than the police court, which would lead to a degree of burdensomeness. Fixing, as proposed by the other two amendments, the fine of 3700 euros allows to remain within the scope of the police court, giving customs officers the ability to act more quickly. Request for the withdrawal of the amendment by the Group of the Democratic and Related Movement in favour of the amendments by the Socialist and related groups and France unsolicited: to the nearest fifty euros, the objective is achieved for everyone.
ParlaMint-FR_2018-09-18-E2012.u88	Mr Julien Aubert has the floor.
ParlaMint-FR_2018-09-18-E2012.u89	The strengthening of the sanction is necessary, even if, in the drafting of the article, there are things in the same bag that are a matter of insult to agents and problems of communication of documents. I would have liked to know, Madam rapporteur, Mr Secretary of State, whether the worsening of the financial penalty seems as fair to you as it is to each other. In the future, excellent amendments will be tabled by my colleagues in order to review the wording of the article.
ParlaMint-FR_2018-09-18-E2012.u90	Mr Jean-Louis Bourlanges has the floor.
ParlaMint-FR_2018-09-18-E2012.u91	[[Smile]] We find the explanations of the rapporteur and the Secretary of State very satisfactory and we believe that, overall, we are successful. You have the assurance, Madam rapporteur, that we are not just defending the rights of lawyers, but also those of customs officers!
ParlaMint-FR_2018-09-18-E2012.u92	If I understand correctly, Mr Bourlanges, you are withdrawing Amendment No 229 which Mr Laqhila had defended?
ParlaMint-FR_2018-09-18-E2012.u93	Excellent deduction, Madam President!
ParlaMint-FR_2018-09-18-E2012.u94	Bravo!
ParlaMint-FR_2018-09-18-E2012.u95	I have before me three amendments, Nos 2, 52 and 53, which may be submitted to a joint debate. Amendments Nos 2 and 52 are identical. Mrs Véronique Louwagie has the floor to support Amendment No. 2.
ParlaMint-FR_2018-09-18-E2012.u96	Article 10 reinforces the customs sanctions applicable in the event of refusal to disclose the requested documents, in particular by customs officials. The article provides that the fine shall be increased to EUR 3000 instead of the current fine between EUR 90 and 450 and that it shall apply if all or part of the requested documents or information are not disclosed. These documents are often requested within a relatively short time frame, too short to allow companies to assemble them in time, particularly in the case of international trade transactions involving several entities. The article does not refer to the time allowed to undertakings to provide these documents. In view of the current wording, the fine would apply without distinction to operators in good faith who require time to gather all documents and operators with fraudulent intentions. It would be interesting to leave some time. This would also be in line with the law for a State serving a trustworthy society, in the course of which we discussed very much the time limits to be granted to citizens. Through these amendments, you are being given a reasonable period of time, so that operators in good faith can have time to gather the documents.
ParlaMint-FR_2018-09-18-E2012.u97	Mrs Marie-Christine Dalloz has the floor to support Amendment No. 52.
ParlaMint-FR_2018-09-18-E2012.u98	I do not question the basis of this article, but I believe that the concept of good faith should be taken into account. Of course, it will not be written in this way in the law – much less in a tax law that deals with fraud. However, could it not be added, in paragraph 5, after "This fine applies by request, if all or part of the requested documents or information are not disclosed", "within the reasonable time required" for their transmission? It is also necessary to take into account the time needed to gather all the documents in a procedure of this type! I think that would be a step forward. It would be up to the prosecutor and the tax authorities to determine whether or not reasonable time limits have been met. You know, like me, that mail from abroad takes a while; When a mail is sent from some countries, it is not received the next day. Could it not be possible to provide for a slightly more flexible application of the measure, which legitimately provides for a fine, by establishing a link between good faith and reasonable time? In the current editorial, everyone is considered a fraudster!
ParlaMint-FR_2018-09-18-E2012.u99	Mrs Marie-Christine Dalloz has the floor to support Amendment No. 53.
ParlaMint-FR_2018-09-18-E2012.u100	This is in line with the same approach, but by abandoning the concept of good faith in favour of the concept of refusal of communication: in the event of refusal of communication, it is considered that the penalty provided for applies as a matter of law. I think it is important to make that clear. On the other hand, this is no longer a time limit imposed by the administration and would not be compatible with the production of documents. These are two amendments which are quite similar, but which distinguish between a technical concept and a concept of intentionality, of bad faith.
ParlaMint-FR_2018-09-18-E2012.u101	What is the committee's opinion on these amendments under joint discussion?
ParlaMint-FR_2018-09-18-E2012.u102	We had already had this discussion in committee. I find that your proposal brings a balanced solution, a good compromise between the necessary efficiency of customs control and taking account of the constraints faced by companies. That being said, I find the wording that you are proposing too imprecise. In particular, I believe that the "reasonable time" will be difficult to characterize. In addition, the law for a State serving a trust society enshrines the principle of a right to error. What the customs officers are telling us is that in practice they are applying and applying sanctions in a reasonable manner.
ParlaMint-FR_2018-09-18-E2012.u103	Why don't you write it down, then?
ParlaMint-FR_2018-09-18-E2012.u104	In fact, some documents may be revived, others may not. In any event, the wording of the amendments is too imprecise. Opinion unfavourable to all of them.
ParlaMint-FR_2018-09-18-E2012.u105	What is the Government's opinion?
ParlaMint-FR_2018-09-18-E2012.u106	The Government's opinion was unfavourable on the three amendments, for the same reasons as those put forward by the rapporteur. I take this opportunity to answer the question asked earlier by Mr Julien Aubert. The fine provided for in the two amendments which have been adopted corresponds to a maximum amount, which will allow the penalty imposed to vary according to the seriousness of the facts, hence the diversity of the situations which you mentioned earlier.
ParlaMint-FR_2018-09-18-E2012.u107	Mr President, the Committee on Finance, the General Economy and Budgetary Control has the floor.
ParlaMint-FR_2018-09-18-E2012.u108	You cited, Madam rapporteur, the law for a state at the service of a trust society. Before the summer, we examined a text which was intended to try to create a relationship of trust between the administration and the people administered; But when we look at what is being proposed to us today, it was a little bit of the administration told to the children! The administration, as described in the text we are looking at, whether in Article 6, in Article 7 or in the following, is an administration which punishes extremely harshly and which obtains new possibilities for doing so in practice, with powers of sometimes extreme violence. That's a question. It therefore seems to me that the amendments allow those concerned to react to the constraints imposed on them.
ParlaMint-FR_2018-09-18-E2012.u109	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2018-09-18-E2012.u110	It is the notion of'reasonable time limits required', the rapporteur, which leads you to call our amendments imprecise. But you will allow me to think that the article, silent on the issue of deadlines, is even more imprecise! On the other hand, to bounce back on what President Woerth said, your reasonings are variable geometry. It is felt that the subject of trust between the state and citizens has remained confined to the only bill dedicated to it. When, in another text, we speak of citizens or operators in good faith, you refuse to include the notion of "reasonable time". There is therefore no consistency between the various texts. The approach, as we can see, is of varying geometry, and I regret it.
ParlaMint-FR_2018-09-18-E2012.u111	All right!
ParlaMint-FR_2018-09-18-E2012.u112	Mr Julien Aubert has the floor.
ParlaMint-FR_2018-09-18-E2012.u113	I want to support the arguments of the two previous speakers. You have, Madam rapporteur, attacked the notion of "reasonable time" as blurred. Yet it is very often used. In a decision of 31 March 2017, the Conseil d'État referred to this in relation to a claim in the tax field. This concept, even though it has not been introduced into our law by my colleagues, is nevertheless used in administrative case law, but also in taxation. It is also found in the European Convention on Human Rights. Anyway, it's pretty recurring. Two things one. Either one sets a number of days, which would run counter to the diversity of situations that the administration can face with enterprises; A concept which is therefore very often used is introduced, even if it is clarified in the context of a possible dispute. In any event, the drafting of the amendments cannot be attacked, which is based on a customary expression in administrative case law.
ParlaMint-FR_2018-09-18-E2012.u114	Mr Jean-Louis Bourlanges has the floor.
ParlaMint-FR_2018-09-18-E2012.u115	[["Very good! » on several benches of the LR group]] I do not understand the objection of the Secretary of State and the rapporteur to the law for a state in the service of a trust society. In fact, reasonable time is precisely what makes it possible to measure good faith. The concept is not precise, of course, as the time frame for the submission of documents or documents varies greatly depending on their nature. But the term "reasonable" allows us to appreciate good faith. However, all of our legislation is designed to focus on the relationship of trust and punish bad faith. Failing to mention "reasonable deadlines", you prevent a distinction from being made between the good and bad faith of the taxpayer. The amendments therefore complement other provisions previously voted on, much more than they oppose.
ParlaMint-FR_2018-09-18-E2012.u116	The Secretary of State has the floor to support Amendment No. 217.
ParlaMint-FR_2018-09-18-E2012.u117	This is an amendment of editorial consistency.
ParlaMint-FR_2018-09-18-E2012.u118	Mrs Lise Magnier has the floor to support Amendment No. 205.
ParlaMint-FR_2018-09-18-E2012.u119	This amendment is consistent with Amendment No 204, which, adopted yesterday in Article 2, was also intended to replace the words "local currency" with the words "MFC franc".
ParlaMint-FR_2018-09-18-E2012.u120	What is the opinion of the committee?
ParlaMint-FR_2018-09-18-E2012.u121	By consistency with the amendment adopted yesterday, favourable opinion.
ParlaMint-FR_2018-09-18-E2012.u122	What is the Government's opinion?
ParlaMint-FR_2018-09-18-E2012.u123	As currently drafted, the bill allows for the enforcement of sanctions in peaceful francs. I therefore suggest that the amendment be withdrawn; Failing that, adverse notice.
ParlaMint-FR_2018-09-18-E2012.u124	Do you maintain your amendment, Mrs Magnier?
ParlaMint-FR_2018-09-18-E2012.u125	I confess I don't understand, Secretary of State. Yesterday, your colleague Mr Darmanin had readily agreed to our colleague Dunoyer's request, stating that the reference to the CFP franc was in no way a consequence. An agreement had even been reached to verify, by the time of second reading, that that was the case.
ParlaMint-FR_2018-09-18-E2012.u126	Mr Charles de Courson has the floor.
ParlaMint-FR_2018-09-18-E2012.u127	I confirm what my colleague Magnier said about yesterday's debates. It seems that the only local currency is the MFF.
ParlaMint-FR_2018-09-18-E2012.u128	The Secretary of State has the floor.
ParlaMint-FR_2018-09-18-E2012.u129	[["Ah!" on several benches of the LR group]] Please excuse me, Member. I went a little fast because I had in mind the discussions with Mr. Dunoyer on the exceptions in New Caledonia and the Pacific. If I may, Madam President, I therefore correct the opinion of the Government, which is in favour.
ParlaMint-FR_2018-09-18-E2012.u130	[[Smile]] You're forgiven, Secretary of State!
ParlaMint-FR_2018-09-18-E2012.u131	Mrs Véronique Louwagie has the floor to support Amendment No. 43, which adds an additional Rule after Rule 10.
