ParlaMint-FR_2018-04-04-O1177.u1	The meeting was suspended.
ParlaMint-FR_2018-04-04-O1177.u12	[[Applause on the benches of the NG group]] It's not the same strategy at all. I would be grateful if you could give me a precise answer. Are you going to put in this 10 billion euro fund corporate securities or similar bonds from the Treasury – OAT?
ParlaMint-FR_2018-04-04-O1177.u13	The Minister has the floor.
ParlaMint-FR_2018-04-04-O1177.u14	First of all, I am glad that you recognize that the creation of this breaking innovation fund is good news.
ParlaMint-FR_2018-04-04-O1177.u15	We always said it!
ParlaMint-FR_2018-04-04-O1177.u16	All right. I think it is important to recall this, because the innovation of break-up in France, I would like everyone to be well aware of it, is not financed today. We finance incremental innovation, the renewal of production capacities, but with regard to the innovation that allows us to make SpaceXs, technological leaps by investment in artificial intelligence, with regard to all this innovation in which we must invest, but without guarantee of success because we do not know whether it will work or not, we do not finance anything. Now we're going to do it. And that will be thanks to proceeds from the disposal of State assets. As it will be progressive, I cannot answer your question right away. I would like to go back to your assertion that ADP is a strategic undertaking. Because the point of this debate is to go to the bottom of the issues. What are the strategic elements in ADP? The Hermès store, the chocolate sales corner or the hotels?
ParlaMint-FR_2018-04-04-O1177.u17	Flight plans!
ParlaMint-FR_2018-04-04-O1177.u18	Or the runways, the flight plans, indeed, the Member, the safety, the regulation, the tariffs,...
ParlaMint-FR_2018-04-04-O1177.u19	Land!
ParlaMint-FR_2018-04-04-O1177.u20	...not to mention the land? That, yes, it's strategic.
ParlaMint-FR_2018-04-04-O1177.u21	Exactly.
ParlaMint-FR_2018-04-04-O1177.u22	And there is therefore no question that the State loses the capacity to control and regulate the strategic nature of this undertaking. On the other hand, I believe that the expansion of the airport, a new terminal or investments in hotels or shops are not at the heart of the State's strategy. And if we are going to carry out these divestitures of assets, it is precisely to redefine clearly in the eyes of all the French – which has not been done for thirty years – the place of the state in the French economy. For me, and I fully assume it, because it is all the merit of the political debate to put the terms of the debate before the French without necessarily being in agreement, the place of the State is defined according to three criteria. I believe that the State, first and foremost, is the public services, the first of which is SNCF, which will therefore remain a major national public service, contrary to what some say to throw a little oil on fire in the current context. The second role of the State is to maintain control in areas that are within our national sovereignty. In this regard, it is clear that nuclear energy is not going to be privatized or anything in the military domain. And then there is a third type of state activity to which I am very attached: control of economic public order. Thus, when companies do not respect economic public order, whether they are French or foreign – think of Google or Apple – we start procedures to get them condemned. But as for the rest, I believe that it is not for the state to play the role that it is being played today, especially since there are other more effective means of control than the presence of 10%, 15% or 20% on a board of directors, in a company capital: regulation. Whether it is for La Française des jeux or, in the case of ADP, for runways, for air control, for security, for borders and also for tariffs – so as not to commit again the error committed with the motorways – it is regulation the right answer.
ParlaMint-FR_2018-04-04-O1177.u23	And the 10 billion, what will they be invested in? In ATOs?
ParlaMint-FR_2018-04-04-O1177.u24	Minister, I would remind you that you are subject to the same rules on speaking time as Members: the duration of the answer may not exceed two minutes.
ParlaMint-FR_2018-04-04-O1177.u25	[[Smile]] It was to compensate for my delay, Madam President!
ParlaMint-FR_2018-04-04-O1177.u26	Mr Régis Juanico has the floor.
ParlaMint-FR_2018-04-04-O1177.u27	Minister, here on February 21, I was robbing the Minister of Public Accounts, Gérald Darmanin, on the risks of a privatisation of French gaming. This sector of activity requires powerful and consistent regulation for reasons of public health, public order, the fight against fraud and the protection of our citizens from the risks of dependence. The French game is not a company like the others, because the game is not a commodity like the others. According to the Observatoire des jeux, those offered by the French Games cause 60% of the problem of problematic gambling in France. This is certainly logical in terms of its weight in the sector, but it is possible to estimate the only direct costs from the state budget to 900 million euros and to 8.7 billion the total economic and social costs of the problematic game due to the activities of the French game. Christophe Blanchard-Dignac, his former president, himself felt that it was sometimes difficult to arbitrate between the company's results and the company's social responsibility. This led him to remove the game Rapido, considered too addictive, in 2014. What about a private shareholder? What will the defense of responsible game by the French game leaders weigh against the temptation of shareholders to maximize their dividends? The other concern, Minister, is the financing of sport. La Française des jeux is the leading contributor to sport for all in our country, an effort that last year represented 80% of the financial resources of the CNDS, the National Centre for the Development of Sport, through the levies from its lottery, scraping and sports betting games. But these affected taxes were reduced by your government from €210 million in 2017 to €93 million in 2018 for the French game alone. Is it necessary to see in this half-robot, unprecedented on the part of Bercy, a first step in the disengagement of the French from the games in the financing of the sport? What will happen, Minister, to these missions of general interest for a private shareholder? The prevention and respect of the prohibition of gambling to minors, the fight against addictions, the fight against the laundering of dirty money: all these missions of public interest of the French game must not be cancelled!
ParlaMint-FR_2018-04-04-O1177.u28	The Minister has the floor.
ParlaMint-FR_2018-04-04-O1177.u29	Mr Juanico, I am sorry for that, but I will now be briefer without my answers.
ParlaMint-FR_2018-04-04-O1177.u30	[[Smile]] It was predictable!
ParlaMint-FR_2018-04-04-O1177.u31	[[Smile]] That's a shame, because I like to be exhaustive. Games will remain a monopoly. There is no question of reverting to the principle of monopoly. The idea of opening this sector to unlimited competition because we would privatize French gaming is not in line with the logic of the divestiture that the Government wants to do. The aim is to avoid excessive development of games in France. Whether it's scraping games, lottery or sports betting, all will remain in the order of monopoly. And regulation will apply. I wish, and have discussed it at length with Gérald Darmanin, who has authority over French gaming, that a regulatory authority be set up, because there is a risk of addiction, which I do not underestimate. It will apply its controls to all these games to avoid the development of addictions. And these controls are in the same perspective as before: it is a matter of having a strong, coherent and, in the case of French gaming, reinvented, in order to guarantee the maintenance of the control of the State even when it divests its assets. Therefore, be reassured, as I announce that we are going to put in place this regulatory authority that will ensure that there is no development of gambling addictions as part of this operation.
ParlaMint-FR_2018-04-04-O1177.u32	Mrs Marie-Noëlle Battistel has the floor.
ParlaMint-FR_2018-04-04-O1177.u33	Minister, since the beginning of the mandate, the Government's action seems to call into question any public intervention in the economy as well as in public services. With regard to housing or employment policy, for example, you and your colleagues are taking on a model change that will soon favour private operators. If some still had doubts about the liberal vision that is yours, the action plan for the growth and transformation of the companies that you propose is clear: French Games, Paris Airports, SNCF, EDF... The warehousing has indeed begun.
ParlaMint-FR_2018-04-04-O1177.u34	The big braderie!
ParlaMint-FR_2018-04-04-O1177.u35	Without learning the lessons of the privatisation of motorways, you are about to yield, by dogmatism and for some short-term profits, our florets and our levers of action. Beyond the political principle, this raises several questions. Is it appropriate today to cash sums, albeit round sums, if it is to give up tomorrow, as the Court of Auditors has regularly pointed out, to solid dividends? Is it effective to deprive ourselves of strategic tools at a time when we are urged to act? Is it fair to ask users to pay the price? I am thinking in this way of hydropower, the historic vector of the industrialization of the mountain valleys, but above all an indispensable tool for the energy transition and the planning of the territory, which represents clean, renewable and storeable energy for which our country must remain at the forefront. The challenges of energy independence, production security, water resource control and user costs must lead to extreme caution and firmness. We repeat this: energy is not a good like any other and should not be privatized as requested by the European Commission. The liberalisation process is not inevitable, as long as there is political will to defend the public nature of our dams. The highly mobilised energy trade unions, joined by local elected representatives and users, all reaffirm their commitment to this heritage, which is inseparable from the general interest. Mr Minister, can you give us a clear indication of the state of play in the negotiations with the European Commission on this subject and confirm your willingness to sanctify this national heritage, a strategic path that deserves to be protected? You told me you were paying attention to it during a visit to Isère.
ParlaMint-FR_2018-04-04-O1177.u36	My dear colleague, we must conclude.
ParlaMint-FR_2018-04-04-O1177.u37	[[Other movements]] Furthermore, having noted that you did not answer Valérie Rabault's question, I understand that the state will issue TSOs.
ParlaMint-FR_2018-04-04-O1177.u38	The Minister has the floor.
ParlaMint-FR_2018-04-04-O1177.u39	[[Smile]] I feel to your question that it was time to dispel certain cartoons – "liberal vision", "great raderie", we would sell the family jewels... It's like Martine Aubry selling the Lille Braderie!
ParlaMint-FR_2018-04-04-O1177.u40	Let's keep our dams!
ParlaMint-FR_2018-04-04-O1177.u41	[[Claims on several benches in the NG group]] Fi des caricatures, let's go back to reality and truth. Mrs Battistel, you are referring to "solid dividends", but I am sorry to recall that ADP's dividends represent only 140 to 150 million euros on average over the last three years, or 1.6% of returns, the lowest level of all the state's assets.
ParlaMint-FR_2018-04-04-O1177.u42	It's better than Book A!
ParlaMint-FR_2018-04-04-O1177.u43	But if it's your vision of state management, both on your banks and on some others, to receive 1.6% return dividends and cash them well, year after year, immobilizing to make 10 billion euros of assets, assume your choice! Mine is done: I prefer to place them in a fund for breaking innovation and thus have the capacity to finance what you are talking about,...
ParlaMint-FR_2018-04-04-O1177.u44	The OATs are probably better!
ParlaMint-FR_2018-04-04-O1177.u45	...renewable energy, whether in terms of production, storage or research into new energy sources. I think the money is better used that way. [[Murmures on the benches of the NG group]] And the French will cut between your old and dated vision, which wants us to receive small dividends and to immobilize a huge mass of public money, and ours. Where should public money be invested? Our choice is made: in the future of the French and in the new generations. You say that no lessons have been learned from the privatization of motorway companies. What allows you to say that?
ParlaMint-FR_2018-04-04-O1177.u46	The price of the tolls we pay year after year!
ParlaMint-FR_2018-04-04-O1177.u47	What allows you to say that? Do you know what we're going to do?
ParlaMint-FR_2018-04-04-O1177.u48	Privatize hydroelectric concessions?
ParlaMint-FR_2018-04-04-O1177.u49	No, I just don't think I've given you such a clarification, otherwise what would be the point of our debate tonight?
ParlaMint-FR_2018-04-04-O1177.u50	That was the subject of my question.
ParlaMint-FR_2018-04-04-O1177.u51	We will learn from what has been done with regard to motorway companies. An error was made when they were privatized: the concessions did not provide for the possibility of returning to the tariffs at a later date. Yes, I readily admit it, it was a mistake. It's better not to do twice the same thing. We will therefore correct it: in the context of the operation aimed at ADP, we will make possible both regulation and control, in order not to allow a concession, whatever its duration, to last with tariffs fixed once and for all and on which it is not possible to return.
ParlaMint-FR_2018-04-04-O1177.u52	Tell us what you'll put in the fund!
ParlaMint-FR_2018-04-04-O1177.u53	I would like to reassure you, Mrs Battistel: I am very willing to acknowledge the mistakes and, above all, we are here to correct them. [[Smiles – Applause on the benches of the LaREM group]] However, I will only reply a little later – I promise to do so – to your question about energy, because otherwise I may be taken up by the President.
ParlaMint-FR_2018-04-04-O1177.u54	We come to the questions of the Group of the European People's Party. Mr Jean-Hugues Ratenon has the floor.
ParlaMint-FR_2018-04-04-O1177.u55	Minister, I come back to the case, because on various points, your answers do not convince us. Paragraph 9 of the Preamble to the Constitution of 27 October 1946 states: "Any property, any enterprise, the operation of which has or acquires the character of a national public service or a de facto monopoly, must become the property of the community. » The latest examples of privatization, such as that of motorway companies, have been a disaster: private groups make profits on the backs of users who do not see the service improving in any way. In addition to initiating the privatisation of the SNCF by opening up some of its activities to competition, your government is preparing to lure to the private the French game in very juicy operations. But what guarantees will we have that a private company will maintain a policy of addiction prevention? I want you to come back to this point. Moreover, the transfer of an additional share of Engie's capital, such as the privatization of the ADP Group, also raises questions of national sovereignty, since an airport is a border. You are actually planning to abandon the state's management of air transport and gas. The logic of the private sector is necessarily to favour short-term profits, as it is based on considerations contrary to the general interest. What, then, is the logic at work on all privatisations, Mr. Minister, apart from that of gushing private companies?
ParlaMint-FR_2018-04-04-O1177.u56	The Minister has the floor.
ParlaMint-FR_2018-04-04-O1177.u57	Mr President, I do not know what language to say again: we do not want to privatize SNCF.
ParlaMint-FR_2018-04-04-O1177.u58	[[Smile]] Creole? The language you want, minister, but not the language of wood!
ParlaMint-FR_2018-04-04-O1177.u59	If I can say this again in the language you want, it will not change the reality: we do not want and we never intended, yesterday, today, or tomorrow, to privatize SNCF. SNCF is a major public service, but if we want it to remain so, we must give it the means to succeed, to develop and to invest, and to become as competitive as its rivals that will arrive tomorrow in the national territory.
ParlaMint-FR_2018-04-04-O1177.u60	Of course.
ParlaMint-FR_2018-04-04-O1177.u61	I want its production costs to continue to be 30% higher than those of Deutsche Bahn, but on the day that the trains chartered by Deutsche Bahn arrive in France and those of SNCF will not be competitive, this situation will weaken our national railway operator. The difference between those who want conservatism and us is that we believe in the future of SNCF's public service.
ParlaMint-FR_2018-04-04-O1177.u62	That's not true.
ParlaMint-FR_2018-04-04-O1177.u63	That is why we think it is necessary to modernise it. You tell me, MP, that the competition is not good: I will. In this case, let's stay at the time of Air Inter...
ParlaMint-FR_2018-04-04-O1177.u64	You prefer Ryanair?
ParlaMint-FR_2018-04-04-O1177.u65	...and France Télécom. For my part, I believe that the opening up of airlines to competition has made it possible to lower the price of air tickets. All French people, all our fellow citizens, know very well that it is not bad for some airlines to compete with Air France so that the fares for air passenger transport offered to them are cheaper and more accessible. You who sit on these benches, to the left of this House, should be sensitive to the fact that the cost of living, that of transport, is falling thanks to competition. [[Applause on the benches of the LaREM group]] In the background, your conservatism leads you to defend a number of privileges for those who have more expensive airline tickets when there is no competition. That is the difference between you and us.
ParlaMint-FR_2018-04-04-O1177.u66	And what do you do about the role of local authorities?
ParlaMint-FR_2018-04-04-O1177.u67	[[Exclaims on the banks of the NG group]] The same applies to France Télécom: if the company had not been confronted with competition, what would be the price of mobile telephony today?
ParlaMint-FR_2018-04-04-O1177.u68	10,000 jobs destroyed!
ParlaMint-FR_2018-04-04-O1177.u69	Yes, competition is a way to improve service and lower rates. In essence, honourable Member, we do not agree on what a public service is. In our view, it does not belong to those who exercise their profession within it: it belongs to the public, to the citizens and to the French people.
ParlaMint-FR_2018-04-04-O1177.u70	Mrs Danièle Obono has the floor.
ParlaMint-FR_2018-04-04-O1177.u71	Mr Minister, ladies and gentlemen, this is obviously not a question of language, but, indeed, a question of public service design and accessibility. I do not believe that the working conditions in companies such as Ryanair and the tax optimisation operations they carry out actually benefit the community. From our point of view, there is something disconcerting to see, precisely, the stubbornness of new and old liberals – this word is not an insult in my mouth, but rather the mark of a political-economic choice assumed. For us, since the beginning of privatizations – or rather, since we must no longer use the words that are annoying, since the beginning of the state's disposal of a number of its assets – the reality remains the same: only a short-term logic prevails. A good example of this is the privatization of airports. Under the previous quinquennium, the then minister of the economy, Emmanuel Macron, decided without any reason to privatize Toulouse-Blagnac airport, whose state owned 60%. Thus, the sale of 49.9% of its capital to a Chinese group based in tax havens was allowed, even though it had been promised to the French and French that the state would remain the majority shareholder! The new shareholder did not make the promised investments: on the contrary, he punctured the cash to grant himself colossal dividends. In our view, this example, like many others, raises the question of the economic, social and strategic assessment – not only in recent years, but for decades – of privatization policies carried out, especially with regard to the benefits and benefits that the national community has been able to derive in the medium and long term. We are no longer talking about the price of a few airline tickets, but about the overall strategy of the state and the accessibility of public services – particularly in the rail sector – throughout the country and for all citizens, not about the competition for which profits are obviously – and logically – the first objective.
ParlaMint-FR_2018-04-04-O1177.u72	The Minister has the floor.
ParlaMint-FR_2018-04-04-O1177.u73	Madam Member, I would like to point out that the various operations you mentioned are not of the same nature. For example, with regard to Toulouse-Blagnac airport, the State has retained a 10% shareholding and local authorities have increased to 40%, so we are not in the process of privatisation. Before putting all the operations in the same bag, it is better to look at exactly what they correspond to. With regard to evaluations, they are all welcome. In fact, I had proposed that our tax policy be evaluated in two years' time: this policy is taking on radical changes. In addition, I look carefully at the valuations that have been conducted, in particular on certain transactions involving the disposal of assets: I am thinking of the one relating to motorway companies. You noted earlier that the lessons had to be learned from what has been done in the past. This should of course be done if public decision-making is to be improved. On the operations we are considering, all the lessons learned from what has been done in the past have been drawn – which has been successful, the competitive processes that have proved to be effective, as well as what has been less successful. I note that the operations which have been the least successful have been those in which the State has not maintained, through regulation, means of control preventing them from becoming speculative. In no case should an asset transfer be like a speculative transaction: this will not be the case with the transactions you have just mentioned. I would not have the malice, moreover, to recall that with regard to privatisations, the government that did the most during the Fifth Republic is Lionel Jospin's: it is therefore proof that these privatisations are not necessarily left or right.
ParlaMint-FR_2018-04-04-O1177.u74	No: they are social-liberal or neo-liberal!
ParlaMint-FR_2018-04-04-O1177.u75	They may in fact simply respond, at a given time, to a reason of general interest.
ParlaMint-FR_2018-04-04-O1177.u76	We come to the questions of the Group of the Democratic and Republican Left. Mr Hubert Wulfranc has the floor.
ParlaMint-FR_2018-04-04-O1177.u77	Minister, let's go back to the French game: you are planning to reduce the state's shareholding to 25% to 30%. The idea of privatising French games is not new, since it has been dragging in Bercy's drawers for many years: Nicolas Sarkozy had considered it and Emmanuel Macron was still talking about it in 2014. The then Secretary of State for the budget, Christian Eckert, had protested against this prospect, believing that this privatization would be an economic countersense. The French gaming company is a well-functioning company, which allows the state to collect substantial tax revenues – 3 to 4 billion euros per year from the levies on the bets – and to receive 100 to 150 million euros in dividends. It makes this reference. Above all, the French game is not a company like any other, because gambling is not a commodity like any other. This raises, a priori, a question of ethics. Moreover, the company feeds 80% of the budget of the National Centre for the Development of Sport, the CNDS – we had a debate about the level of allocations allocated to it a short time ago. The company's network also allows, today, to support the buralists, for whom gaming commissions account for almost a third of the turnover: it therefore also plays a role in the local economy. Maintaining a state monopoly would, in our view, be justified by the urgent need to prevent and effectively combat the risks associated with gambling: this is the ethical dimension that I have just addressed. These risks – linked to money laundering, potential fraud, the protection of minors and the prevention of addictive behaviour – are social and societal issues. In the face of these proven risks, if you have indeed, Minister, turned on a counterfire by announcing that you want to guarantee the state's monopoly by doubling voting rights, your approach remains ambiguous. [[Applause on the benches of the GDR group and on several benches of the NG group]] In the light of this situation, have you planned to review this project?
ParlaMint-FR_2018-04-04-O1177.u78	The Minister has the floor.
ParlaMint-FR_2018-04-04-O1177.u79	No question, no answer!
ParlaMint-FR_2018-04-04-O1177.u80	Mr President, I share your willingness to fight against gambling addiction. Let things be very clear between us: there is no question of engaging in an operation that may prove speculative – I think I have shown, over the last ten months, my opposition to any such operation – or that could have the consequence of developing the addiction of young people to games. That is not my vision of society or what I want to develop. I recall that the state holds 72% of the French capital of the games, the remaining 28% being held by minority shareholders. First of all, I would like to point out that the level of tax revenues will be maintained: there will be no tax losses due to the change of majority shareholder. Indeed, the principle of monopoly is retained: there is no question of scattering French games in several companies. Secondly, it is my heart that the levy made for the benefit of the CNDS should be fully maintained.
ParlaMint-FR_2018-04-04-O1177.u81	He's been divided by two!
ParlaMint-FR_2018-04-04-O1177.u82	This remark seems to me to reassure all those who were concerned about it: it is important. Finally, in the third place, the Buralists were legitimately questioning: an agreement will therefore be reached with them. Here too, the advantages associated with the current organisation of the French Games will be fully maintained: I fully understand the concern expressed by the territories about the Buralists. Finally, I tell you again that on the occasion of this sale of assets, we will strengthen the regulation to which the French gaming company is subject by creating a regulatory authority which will be specifically designed to combat the development of addictions to games and to ensure that the new configuration of the company's capital does not have any negative consequences in this field. [[Applause on the benches of the LaREM group]] I would point out that our country does not currently have such a regulatory mechanism: it will be equipped tomorrow, in order to fight against addiction to the game about which I fully share, Mr President, your vision.
ParlaMint-FR_2018-04-04-O1177.u83	Mr Pierre Dharréville has the floor.
