ParlaMint-FR_2018-10-15-O1018.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-15-O1018.u12	We also note that four million households benefit from the energy check we have created to cover expenditure of primary energy need: it is a direct aid to households much more efficient than the regulated rates it has replaced. On the other hand, when we hear that in this budget we would oppose the French to each other, we respond with great firmness that each one finds his or her own account in a budget dedicated to work as in a budget that finances all the territories. Indeed, companies that create sustainable employment in France are the best guarantee for the return of growth and the maintenance of our social protection system. Jobs in our companies are the best guarantee to be able to invest enough in what benefits everyone: 400 million euros in our health care system, 1.7 billion in our armies and 700 million for the police and justice. It is also the guarantee of real support for rural areas and territories far from the major cities: we spend 1.6 billion on local public investment and the equipment of the territories; we finance the hiring of 400 medical workers to cover deserted medical areas; we finance the creation of a genuine precautionary savings for our farmers; We are financing and, above all, we are defending the modernisation of the tools to support the economic development of the overseas countries and territories. All of this we do not finance from debt, but through hard work and strong support for economic activity.
ParlaMint-FR_2018-10-15-O1018.u13	By the deficit, yes!
ParlaMint-FR_2018-10-15-O1018.u14	I would also like to reiterate this forcefully: we do not play the assets against pensioners, and we do not make the pockets of anyone! Retirees need assets at work to pay for their pensions, otherwise they are only financed by debt, and everyone loses: our children, our grandchildren, our great-grandchildren, who will have to find solutions that we have difficulty financing today. Since the presidential campaign, we have always been extremely clear about the effort we would be asking pensioners who receive more than €2,500 in monthly income.
ParlaMint-FR_2018-10-15-O1018.u15	900 euros!
ParlaMint-FR_2018-10-15-O1018.u16	It is an effort of redistribution and solidarity that we assume. The bad faith of the previous majority, however, has no limit when it comes to manipulating our elders. Recall that it increased retirement pensions at the beginning of the term, by 2.1% in 2012, then 1.3% in 2013... at the cost of a five-point increase in debt. And after those band debuts, 0% up!
ParlaMint-FR_2018-10-15-O1018.u17	Inflation wasn't the same! She was at zero!
ParlaMint-FR_2018-10-15-O1018.u18	We are significantly increasing the minimum old age and, more gradually and regularly, retirement pensions since 2017, at the rate of the increase in activity, at the rate that our country finances for employment from work: by 0.8% in 2017, by 0.3% in 2019, by 0.3% in 2020. I would add that 40% of pensioners are not affected by the increase in the CSG and that more than half of the others are there as of this year thanks to the reduction in the housing tax, and will find themselves there even more in 2019 with the second tranche of this decrease. For pensioners, we make the political choice to invest in the real quality of life issues that affect them, especially health. The "remaining zero charge", in particular, introduced in 2019, will be total in 2021 for optics, dental and hearing. We are investing €400 million for the optimal care of their community health care and €2 billion for modest pensioners to have access to personal services at home, a scheme previously reserved only for the most affluent households because it was based on a tax reduction.
ParlaMint-FR_2018-10-15-O1018.u19	Indeed!
ParlaMint-FR_2018-10-15-O1018.u20	We are also investing in caring for the dependency of their parents by devoting EUR 125 million to housing institutions for dependent elderly people and by opening a major project to take care of the loss of autonomy. Finally, we cannot let it be said that we would not control public spending. It is a strong commitment that we have made here, in front of the French and our European partners, by voting the law on public finance programming. We are not "cost cutters" obsessed with the culture of the number, and we assume it. A sincere budget, more effective public policies: these are the best savings plans. Our course for public spending is our reforms, and not the policy of planing or the general review of public policies, the RMPP, which has impoverished our public services without making them more effective. When we reform hospitals to develop prevention, when we reform justice so that it goes faster, when we simplify tax collection, when we reform a quality public audiovisual service or deconcentrated state services, close to citizens, we reform public spending! Our majority will be very demanding of the Government for this momentum to continue in the second part of the finance bill. The special rapporteurs of the Committee on Finance devoted all their energy to strengthening it, particularly in the spring of the evaluation. Our collective credibility is not a question of words but, above all, of results. 2017, 2018, 2019: these are three successive years where the deficit is less than 3%, which had not happened since the year 2000; three successive years in which public expenditure grew by less than 1% per year in volume, which had simply never happened; Three successive years above 1.5% growth, which had not happened in a decade. To return to Marcel Proust, it is true that "there is no easy success".
ParlaMint-FR_2018-10-15-O1018.u21	It's looking for lost time, it's not possible!
ParlaMint-FR_2018-10-15-O1018.u22	Here is the result of our efforts since the beginning of our mandate...
ParlaMint-FR_2018-10-15-O1018.u23	It's Time Found!
ParlaMint-FR_2018-10-15-O1018.u24	[[Applause on the benches of the LaREM and MODEM groups]] ... and you can count on our efforts, during our debates, to continue on the same path: these debates will be those not of lost time, but of the regained control of our public expenditure!
ParlaMint-FR_2018-10-15-O1018.u25	Mrs Emilie Bonnivard has the floor.
ParlaMint-FR_2018-10-15-O1018.u26	Mr Secretary of State, the Secretary of the Committee on Finance, the rapporteur-general, ladies and gentlemen, a budgetary policy that meets current and future challenges in our country should have pursued with courage and determination three priority objectives. First of all, reduce the excess spending and the waste of public money to really reduce our deficit and debt by showing responsibility to our fellow citizens and generations to come. Secondly, to reduce the tax burden on the French in order to give them purchasing power in favour of solid growth. Finally, improving and modernizing our public services for greater social and territorial equity. I would have liked to have found in this second budget of the "new world" at least a few firsts of decisions in this direction, after a disappointing first year in many respects, especially in terms of purchasing power. Unfortunately, there is nothing – not even the beginning of a courageous decision or a clear choice! On the contrary, this budget is that of renouncing the decline in public expenditure, therefore that of the massive and unjust transfer of taxation from one category of French to another and that of the elisibility of budgetary choices. Unfortunately, the numbers are stubborn, and salty addition for the French. In 2019, the menu includes an increase in our deficit to 2.8% of GDP, which puts France at the top of the class in the euro area. Even if the effect of the double tax credit for competitiveness and employment – CICE – is removed, France remains at a much lower level than the euro area average. On the other hand, unfortunately, we are about to betray our European commitment to reduce our structural balance by 0.5 percentage points. You are also proposing an increase in both our debt – which now amounts to around 100% of our national wealth – and the related interest, to the tune of 42 billion euros – borne by the French, of course.
ParlaMint-FR_2018-10-15-O1018.u27	It's really salty...
ParlaMint-FR_2018-10-15-O1018.u28	There is still an increase in public expenditure in volume, contrary to the Prime Minister's commitments and even though the French do not feel that public services, particularly in rural areas, are up to what could be expected from this effort. The gap is such between the plea made this afternoon by the Minister of the Economy for the necessary reduction of our spending and what is – or rather what is not – in this budget that is deeply confusing.
ParlaMint-FR_2018-10-15-O1018.u29	That's right!
ParlaMint-FR_2018-10-15-O1018.u30	Finally, in the continuity of 2018, you propose an increase in the levies and charges on several categories of our citizens. Motorists, first of all, with the continuation of the increase in fuel taxation without real alternatives being possible and effectively accessible to all today. Given the high level of high inflation – 1.7% – you could at least have interrupted the projected increase in fuel taxation for 2019, in consideration of taxpayers in our rural territories. You also continue to weaken the purchasing power of pensioners and families with the quasi-freezing of pensions and family allowances. Finally, you continue to punctuate disadvantaged communities or losers of the reform of the trade tax to finance other areas in difficulty. The only unfortunate innovation in this budget is very unfair, since it amounts to creating equalisation between the most fragile! You had a year to make real choices about reducing public spending. You didn't. However, this would have allowed you to finance the positive advances in your budget, such as the reduction in the burden on businesses and wages – proposed by the Republicans Group – other than by making the pockets of pensioners, motorists and families, or by delaying or advancing the application of tax measures to businesses and households depending on whether they degrade or improve the state's cash flow, as you did with the source levy. Finally, it would have allowed you to finance the reduction of the housing tax otherwise than by the public deficit – a deficit that the French will soon pay, in one way or another. Is that what we expect of a modern and responsible government? I don't believe it! To limit budget drifts in the absence of savings, and to ensure that all this is not overly visible, you continue to resort to the budget plan, which is always blind and often unfair. This is attested in this budget by the incomprehensible end of the exemption from burdens on seasonal workers in agriculture, or the reduction in the sports budget, which is totally in contradiction with our Olympic commitment.
ParlaMint-FR_2018-10-15-O1018.u31	That's right!
ParlaMint-FR_2018-10-15-O1018.u32	I thought we weren't lowering the expense! You'd have to know!
ParlaMint-FR_2018-10-15-O1018.u33	[[Applause on the benches of the LR group]] Trust and commitment to political choices come from clarity and distinction, as Descartes would say, from the ideas they convey. The true idea is clear and distinct. However, the budget for 2019 is in error because it lacks its starting point, which should have been the decrease in spending. It is therefore only a series of confused choices, of which we do not know what they will bring us, but whose costs they will cost us.
ParlaMint-FR_2018-10-15-O1018.u34	All right!
ParlaMint-FR_2018-10-15-O1018.u35	Mrs Sarah El Haïry has the floor.
ParlaMint-FR_2018-10-15-O1018.u36	Madam President, the Secretary of State, the Secretary of the Committee on Finance, the rapporteur-general, ladies and gentlemen, solidarity, the cement of our society, are at the centre of the concerns of the Group of the Democratic and Related Movement. This finance bill is therefore an opportunity for us to pay particular attention to them. I'll start with a statement. According to the document "Assessment of ways and means" annexed to the draft finance law, the reduction of ISF – solidarity tax on wealth – for certain donations cost EUR 192 million in 2017. With the abolition of the ISF last year and the creation of the property tax – IFI – the cost of this incentive for donations is only 65 million euros. The cost of the equivalent income tax scheme remained constant. This means that donations to associations have decreased by at least EUR 150 million.
ParlaMint-FR_2018-10-15-O1018.u37	Yes!
ParlaMint-FR_2018-10-15-O1018.u38	We feared last year that this reform would lead to a reduction in donations. In view of the figures, I believe that we are there.
ParlaMint-FR_2018-10-15-O1018.u39	We told you! You're the founders of the associations!
ParlaMint-FR_2018-10-15-O1018.u40	To remedy this, we have tabled several amendments, both on the first and the second part of the finance bill, to re-enact the incentive for donations and the desire to give in our country. We will also propose several amendments whose aim is to take into account forms of solidarity other than monetary donations, because it is a true culture of philanthropy that we want to develop, a school of French philanthropy. In the same spirit, we will also defend an amendment identical to the one proposed by the rapporteur-general in the Committee on Finance last week on an issue that I raised last year. The aim is to improve the sponsorship tax reduction scheme for SMEs. This amendment takes account of the fact that, in our territories, in our communes, it is mainly SMEs that contribute to local patronage, because they know our territories. Our territories are sources of wealth and energy from which we must draw. The Group of the Democratic and Related Movement has committed itself to strengthening the link of trust between the central state and local authorities, leaving to them, of course, where it is appropriate to do so, the choice and the means of action: this is nothing but the principle of subsidiarity.
ParlaMint-FR_2018-10-15-O1018.u41	Bravo!
ParlaMint-FR_2018-10-15-O1018.u42	We know that tax reform will be discussed next semester in the context of an amending finance bill, but our group would like to set some milestones for the consideration of this finance bill. It is true that the reform of the State's endowments will bring a system that has become illegible, as a result of a tangle of allocations and compensations for past tax reforms. However, pending this reform, Mr Secretary of State, we will support the amendment by the rapporteur-general which was adopted in committee and which provides for the removal of the municipalities from the scope of the reduction in the allocation of compensation for the reform of the professional tax – DCRTP. In the same context, and at the initiative of our colleague Richard Ramos, we will defend an amendment aimed at eliminating the negative effects of the current measures on the endowments of virtuous municipalities in respect of household waste, because the present situation runs counter to our desire to protect the environment. At the initiative this time of our colleague Bruno Millienne, and in connection with our amendment adopted last year, which introduced the possibility of upward modulation of the tax on commercial surfaces – TASCOM – in exchange for a reduction of the property tax for downtown and central-city businesses, we will defend several amendments that will open the debate on the reform of commercial taxation. This is essential in view of the revenues of our local authorities, but also and above all for the vitality of our city centres and city centres, as well as for the fight against the artificialisation of the soil. [[Applause on the banks of the MODEM group and on several benches of the LaREM group]] The Group of the Democratic and Related Movement hopes that this finance bill will continue and strengthen the measures adopted since the beginning of the legislature, but that it will also and above all send a strong signal for the solidarity and cohesion of our territory and our nation.
ParlaMint-FR_2018-10-15-O1018.u43	Mr Jean-Louis Bricout has the floor.
ParlaMint-FR_2018-10-15-O1018.u44	Mr Secretary of State, Madam Secretary of the Committee, Mr rapporteur-general, ladies and gentlemen, after a few dozen hours in committee, we are here in the Chamber to discuss the first part of the 2019 Finance Bill, an important debate on how to implement our public policies. One observation is necessary from the outset: the 2019 Finance Bill takes over and confirms the markers of the 2018 Finance Act. The ISF will not be restored and the flat tax will be maintained. Rich gentlemen, good news! Yes, they will always be there, these two measures that deprive us of €5 billion of revenue, which forces us to make huge savings – a drop in aided contracts and personalized housing aid, the LPA – and which compel us to find new revenue – an increase in the CSG for pensioners and ecological taxation. A size variant, in this 2019 finance bill, is the transformation of the CICE into a cost reduction for businesses. In 2019, a CICE calculated on the payroll of 2018 – some 20 billion euros – and, in addition, 6 % of expenses – another 20 billion will be disbursed to companies. Excuse me for a minute. Double spending, not least! In total, this finance bill will only exacerbate the social and territorial divides created by the PLF for 2018. Yet, given the suffering of fragile populations and weakened territories, given the collapse of consumption in the first half of 2018 and the growth figures, we could have hoped that the policy of runoff that you cherish so much would be called into question. My group and I have the weakness to think that the economy must walk on its two legs: on the one hand, to support our businesses in an extremely competitive international economic environment; on the other hand, to support purchasing power with a view to a revival through consumption. That is why we will propose another budget for the French: a more balanced budget between supply and demand policies, a worthy budget, really taking into account environmental issues. With regard to the double expenditure associated with the transformation of the CICE, it would seem to us much more useful to reorient it. It would be necessary, and even urgent, to set up an investment fund in order to accompany those who no longer accept ecological taxation as it weighs on their purchasing power or affects their profession. As for the few measures in favour of purchasing power, they are the subject of beautiful announcements, sold with well-educated elements of language, repeated and amplified by your parliamentary majority at orders.
ParlaMint-FR_2018-10-15-O1018.u45	On orders? - No, no, no, no, no, no, no,
ParlaMint-FR_2018-10-15-O1018.u46	Some of these measures may benefit from our support, but in total the account is not there. The announcement that you will release €6 billion of purchasing power for households is strongly contested by economists. A study conducted by the Observatoire français des conjunctures économiques – OFCE – reviews your ads downwards. The most comprehensive calculations also include measures relating to social benefits. If several social minima are actually going to be upgraded, the end of indexation on inflation of social benefits – pensions, LPA, family allowances – will cost households dearly. Your beautiful ads are actually a trompe l'oeil. In addition, they are implemented quite differently in different territories. For example, you tell us that the business premium will increase by 20 euros. What about it? By a small pass trick, you change its calculation method and at the end of the day, these 20 euros become 8 for a person at the SMIC. As for the housing tax, let's talk about it! For the most modest, who were already exempt, the impact on purchasing power is zero. Or rather – forgive me: for most retirees, the impact on purchasing power is absorbed, since they have been punctured through the CSG. As for other retirees, to whom you sell this exemption as compensation for the CSG increase, you forget to say that this compensation will be pecuniaryly different depending on the place of residence. In the department of Aisne, for example, the housing tax is on average 412 euros, compared with 570 euros on a national scale, i.e. a differential of 160 euros. The demonstration is made: there is a territorial divide. Moreover, when a grain of sand enters your beautiful advertisements and blurs your well-functioning communication plan, you have the indecency to stigmatize the mayors, who continue to use this tax tool to carry out their proactive policies. You have nothing but contempt for the free administration of the communes! Finally, I will mention the energy check. The aim of this programme is to improve the rest of the life after energy bills for our most modest citizens. It replaced the social energy tariffs, which were linked to consumption. I regret that the minister of action and public accounts is not there: he knows well that it is a little colder in the North than in the South. However, the amount of the cheque is the same everywhere: the fact that there is no longer any connection with consumption creates, in fact, territorial inequality.
ParlaMint-FR_2018-10-15-O1018.u47	Yes!
ParlaMint-FR_2018-10-15-O1018.u48	In total, this budget does not aim to reduce the territorial divide between urban and rural areas, to which you also add new geographical inequalities, always at the expense of the most fragile populations, for which you have no consideration.
ParlaMint-FR_2018-10-15-O1018.u49	All in nuances!
ParlaMint-FR_2018-10-15-O1018.u50	[[Applause on the benches of the Soc and GDR groups]] In short, it is a budget for the people and territories that are doing well.
ParlaMint-FR_2018-10-15-O1018.u51	Mrs Emmanuelle Ménard has the floor.
ParlaMint-FR_2018-10-15-O1018.u52	[["Ah! on various benches]] Madam President, the Secretary of State, the rapporteur-general, ladies and gentlemen, Jean-Paul Sartre, said: "I admire how one can lie by putting the reason on his side. Far be it from me to accuse you of lying; Perhaps you might rather be accused of "romancing" your budget for 2019, which, in terms of finance, is a feat, you will admit. It is indeed the impression that prevails when we examine this finance law: a budget in trompe-l'oeil, blurred, almost vaporous. It is difficult to identify your policy and your dynamics – or rather your lack of dynamics. But you will agree that the lack of readability is never a good sign when it comes to encouraging economic development and investment. Let us take the example of some emblematic measures. The changeover of the CICE in decline of long-term charges, first of all, will cost the State, in 2019, 20 billion euros more than in previous years! Indeed, the State will have to pay double, supporting the reimbursement of the CICE for 2018 and the reduction of contributions for the current year, i.e. a total of 40 billion euros. This is your leitmotiv: you want to promote work and employment. And yet... With 1 billion temporary aid for hiring less for SMEs, the elimination of 850 million euros of aided contracts and a few other closed taps, it is 2.07 billion euros that will be diverted from the labour and employment sector. As if this were not enough, farmers seem to have to pay the addition again, with the removal of the reduction of the burden for seasonal workers. In short, it is the famous policy of the "at the same time": you claim to act so that farmers can live with dignity from their work and, at the same time, you take them to the throat by a provision that risks, moreover, favoring posted workers. It's a height! I hope that the amendment tabled by the rapporteur-general will return to this measure! And I'm not talking about the huge burden on businesses, which you're turning into tax collectors by levying at source. Why didn't you just focus on mandatory monthly payments? With regard to the transfer of purchasing power from pensioners to assets, no surprises: it was the policy that Emmanuel Macron had announced during his election campaign. "Retired people must make an effort! "He said. And that's what's going on. In a very recent study, the Institute of Public Policy – IPP – explains that the most modest 20% of households will lose, as will the most affluent 20%, with the exception of the "top 1%" of the richest households; As for pensioners, who are penalized both by the under-indexing of pensions and the increase in the CSG, they will be "largely losers". Finally, in the area of capital tax relief, measures such as the abolition of the ISF and the creation of the IFI only benefit very high incomes. Again, no surprise. The same PPI study assures this: the removal of the ISF is the provision whose "effects are the most difficult to measure, this is where we have the least empirical data and evidence." In short, a nice gift to Mr.Macron's friends, the very ones who had him elected – just back from the elevator, you will tell me. Let's move on to the communities. They are asked to make ever more efforts in terms of operation while making a lot of investments; However, it is rare that the latter, in turn, do not generate significant operating costs. And if the PLF for 2019 does not entail a major upheaval for local authorities, their financial environment leaves them with more than limited room for manoeuvre, all against the background of uncertainties related to the future reform of local taxation. Finally, your budget was built on an assumption of growth of 1.7% next year and inflation of 1.6% in 2018 and 1.3% in 2019, assumptions considered " plausible" by the High Council for Public Finance in its opinion on the finance bill. According to your figures, the government budget deficit is expected to reach €98.7 billion next year – a more than significant increase compared to 2018. According to Bercy, this is due in particular to the tax cuts decided by the Government. "It is the state that will make the most of the effort," said the Minister of Public Action and Accounts at a press conference. I didn't know this was true of Mr Hollande's lessons in economics and his now famous "It's no big deal, it's the state that pays..."! But the French know well that it is they who will ultimately always be the turkeys of this financial farce.
ParlaMint-FR_2018-10-15-O1018.u53	All right!
ParlaMint-FR_2018-10-15-O1018.u54	Mr Fabrice Le Vigoureux has the floor.
ParlaMint-FR_2018-10-15-O1018.u55	Madam President, the Secretary of State, the Secretary of the Committee on Finance, the rapporteur-general, ladies and gentlemen, on Friday evening in my constituency I took part in a great citizen's meeting in a popular neighbourhood of Caen, Chemin-Vert. I have been able to assess once again how high the expectations of our fellow citizens are and how unrelentingly the public decision must be explained to them, as far away as it seems to many of them. We will often talk about millions and billions this week; I know, however, that, on every bench, we seek to never forget the politics of men and women. The 2019 finance bill is part of a path of public accounts recovery, a need that is increasingly understood by the French. A quick calculation shows us the urgency of not bending in this recovery. Thus, when one adds up all the sums spent by the State on ecology, higher education, student life, culture, justice, agriculture and official development aid, one comes very precisely to 42 billion euros, an astronomical amount... which corresponds precisely to the amount that the State will pay in 2019 on the sole interest of its debt. The difficult exercise of restoring public accounts is no longer a simple requirement: it is one of the main levers for developing the public services and policies of tomorrow. This finance bill is also part of a particular political context that needs to be kept in mind. In this regard, I would like to highlight two concerns. The first is the European challenge, which is immense, because, day after day, we see the appearance of dim democracies, whose brilliance, whose ideal of freedom and humanism gradually leaves room for nationalism and self-absorbing. The desire to overthrow the table has taken precedence in some countries over building bridges and bringing people closer together. We Normands are particularly aware of the price of freedom in Europe; We will also pay tribute to the heroes, both civilian and military, who, on the beaches, helped save our peoples almost seventy-five years ago. 2019 will be a European year; Let us not forget this in our budgetary debates, in particular by the constant concern to make our accounts sound and to pursue policies that promote social and fiscal convergence with our neighbours. The second concern that continues to inhabit us is the climate challenge. The IPCC report – the Intergovernmental Panel on Climate Change – does not seek to conceal this disturbing truth: our time is counted to avoid the irreversible. With regard to this and many others, we need Europe and unity so that, on all texts, on all themes, on all tones, the question of climate and its energy translation are central, simply because there is no catch-up session or second reading for our planet. One can always control a public debt; An ecological debt cannot be renegotiated. It is this challenge that leads us, for example, in this draft budget, to boost and accompany tax incentives in favour of a circular economy, to increase levies on pollutants or to accompany the most proactive industries in terms of ecological transition. Finally, the budget also includes resources for the younger generations, particularly in education and training. In this regard, I am proud to belong to a majority who devote more resources to education and skills, from kindergarten to first job, not to mention learning. This ambition is collective and continuous, as illustrated by the guidelines presented this morning by Mr Blanquer, Minister of National Education, on the future of the school, the real transmission belt of the Republic. These guidelines include a budget for school for all from three years onwards, an essential measure for the 25,000 children, very often of modest origin, who do not attend school and who will benefit greatly from it; a budget to defend the school of trust, which involves a salutary doubling of 100 % of the classes of CP and CE1 in schools REP – priority education network – and REP + – enhanced priority education network – which has direct and lasting effects on the success of children; Finally, a budget for the full-year implementation of the Student Guidance and Success Act, which ended the indecency of drawing lots and considerably increased the chances of success for each student entering higher education. Knowing the university for a long time, I can already see, colleagues, that something is changing in our faculties and that trust in this institution, which has been eroded for a long time, is recovering. Far from making the choice of failure, we made the choice of orientation from high school, of accompaniment to geographical mobility and of the increased customisation of curricula. It is a duty to invest in a world that is less and less linear and invites us to a renewed relationship to competences throughout our lives. [[Applause on many benches of the LaREM group and on several benches of the MODEM group]] Because it is the foundation of our educational ambition and helps prepare us for the great challenges of the future, the 2019 Finance Bill is a piece of legislation that needs to be brought high and strong.
ParlaMint-FR_2018-10-15-O1018.u56	Mr Charles de Courson has the floor.
ParlaMint-FR_2018-10-15-O1018.u57	Come on, comrade!
ParlaMint-FR_2018-10-15-O1018.u58	The old world is behind you!
ParlaMint-FR_2018-10-15-O1018.u59	The Bolsheviks salute you!
ParlaMint-FR_2018-10-15-O1018.u60	Madam President, the Secretary of State – we miss your two distinguished colleagues in the cabinet – and the Secretary of the Committee on Finance, the rapporteur-general, ladies and gentlemen, what is a good budget? It is a budget that respects our European commitments, economically efficient and socially just.
ParlaMint-FR_2018-10-15-O1018.u61	We're far from it!
ParlaMint-FR_2018-10-15-O1018.u62	We're gone wrong!
ParlaMint-FR_2018-10-15-O1018.u63	There's work to do!
ParlaMint-FR_2018-10-15-O1018.u64	As it stands, this budget for 2019 does not fully meet these three conditions: our European commitments are barely half respected; fiscal policy is not incoherent; Finally, there are real questions, not to say more.
ParlaMint-FR_2018-10-15-O1018.u65	So I'm not alone in thinking...
ParlaMint-FR_2018-10-15-O1018.u66	It is in these terms that we could sum up this draft budget, which is certainly not, at the same time, "responsible", "realistic", "anticipation" or even "in favour of purchasing power", as your language elements call it. [[Ms. Danielle Brulebois applauds]] Of course, it is generally more sincere than those of previous legislatures and it contains some good measures: the provision for savings for farmers, the reassessment of the AHH – the disabled adult allowance – in the draft law on the financing of social security, that of the minimum old age, or the abolition of small taxes, including the famous flour tax, etc.
ParlaMint-FR_2018-10-15-O1018.u67	"And Caetera": it's not nothing!
ParlaMint-FR_2018-10-15-O1018.u68	It's the "at the same time"!
