ParlaMint-FR_2018-10-18-O1024.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-18-O1024.u12	Mr Stéphane Peu has the floor to support Amendment No. 1323.
ParlaMint-FR_2018-10-18-O1024.u13	In addition to all the arguments that were raised this morning in the discussion on the article, I would like to point out that this is a weakening of national solidarity, and even a negation of the principle of national solidarity, in so far as they are intended to be financed by the overseas countries themselves. Above all, I would like to stress the fact – which alone would suffice to justify the deletion of the article – that a good law cannot be made against the views of all concerned. This is the case for this article, which meets the hostility of all parliamentarians from these territories, regardless of where they sit, including those of the majority.
ParlaMint-FR_2018-10-18-O1024.u14	All right!
ParlaMint-FR_2018-10-18-O1024.u15	I call Mr Olivier Serva to support Amendment No. 1538.
ParlaMint-FR_2018-10-18-O1024.u16	Madam Minister for Overseas Affairs, as you know, in July I tested this reform of the tax reduction ceiling in my department: Guadeloupe. Our fellow citizens have convinced me: the reform is risky, in three respects. First of all, with regard to the method, it is an uncoordinated reform that the ministry has undertaken not with the overseas, but against the ultramarines. The overseas bases should have been an opportunity for prior consultation and a wide-ranging communication on the subject. Because of a lack of methodology, the reform is almost unanimous against it. Secondly, in principle, under the guise of national solidarity, the reform sows the ferments of national division. Yes, it divides the DOMs and COMs – the overseas communities – by allowing "Domian" taxpayers to participate alone in the financing of schemes also located in the COMs, where the income tax is not applicable. It also divides the DOMs among themselves by distinguishing the discounts according to an alleged wealth of some DOM, Martinique, Guadeloupe or La Réunion, compared to the others, Guyana or Mayotte, as if one misery was better than another. Finally, it divides the very concept of national solidarity by losing its meaning, since it makes the investments necessary for the development of all overseas countries and territories based on the contributing capacities of the DOM households. Finally, Madam Minister, the measure is questionable in its effects. The EIF has been in existence since the adoption of LODEOM – the law for the economic development of overseas countries and territories – in 2009 and, even though it currently has only 40 million euros, this fund is not even fully mobilised due to lack of expertise and project management, particularly at the municipal level.
ParlaMint-FR_2018-10-18-O1024.u17	That's not true!
ParlaMint-FR_2018-10-18-O1024.u18	Moreover, the General Inspectorate of the Administration noted this already in a report in September 2012, denouncing the lack of readability in the investments made thanks to the exceptional investment fund. So, Minister, the overseas parties solemnly ask you not to play the sorcerer apprentices with this reform, whose unpreparation and inefficiency will have a negative impact on our economies. For our part, in the second part of the finance bill, we will introduce an amendment to remove the removal allowance, which benefits exclusively hexagonal civil servants transferred to certain COMs. The economy, which the Court of Auditors estimated at 140 million each year, would have no effect on the purchasing power of ultramarine households,...
ParlaMint-FR_2018-10-18-O1024.u19	All right!
ParlaMint-FR_2018-10-18-O1024.u20	[[Applause on several benches of the LaREM, MODEM, LR, SOC and FI groups]] ... and this amount could abound the exceptional investment fund, thus making the reform of the tax reduction irrelevant. Accordingly, we call for the deletion of clause 4 of the 2019 Finance Bill, which provides for the reform of the overseas tax reduction.
ParlaMint-FR_2018-10-18-O1024.u21	I call Mr Letchimy to support Amendment No. 1551.
ParlaMint-FR_2018-10-18-O1024.u22	I agree with Mr Serva's analysis, but I would like to stress a few points, Madam Minister, to try once again to convince you. How can you accept the existence of a 60% removal premium for Hexagonian officials who will work overseas and not touch it? How do you explain that? A 60% remoteness premium to go to work in an overseas department! We are in territorial continuity... Earlier, you said that 4% of taxpayers will be affected. You are right, because your calculation is based on 1.18 million people, if you refer to tax homes. But 80% of them do not pay tax, for multiple reasons – if they benefit from the discount, but also if they live in a difficult situation. Don't forget that the unemployment rate in Réunion is 23 to 25%, for example, which means that many people do not pay taxes because their incomes are insufficient, they are below the threshold, that's all! You have also indicated, not without vigour, that it is not 4% but 20% of the 244000 tax-paying persons involved, which is very clear. I stress this point: these are not the upper classes but people whose incomes are between 40000 and 50000 euros. I would like to refute a surprising argument which my young colleague, Amélie de Montchalin, has taken up in committee.
ParlaMint-FR_2018-10-18-O1024.u23	"College" will suffice!
ParlaMint-FR_2018-10-18-O1024.u24	I apologize, ma'am, even though talking about "young colleague" is a sign of respect.
ParlaMint-FR_2018-10-18-O1024.u25	Absolutely! That's not an insult!
ParlaMint-FR_2018-10-18-O1024.u26	You said that ex-colonies have benefited from an apprenticeship, some kind of tax-paying education. How could you say that? If you don't mind, I'll give you a quick history lesson. In 1866, under Napoleon III, overseasers benefited from what is called "tax autonomy": people paid a specific tax, a kind of personal tax. In 1892, Minister Méline removed this scheme and put in place a special aid to accompany people in the payment of the tax, which they then paid. It was not until 1946 that the latter was extended to income, fourteen years before that famous date of 1960, where the reduction was introduced because Europeans who came to work in Martinique and Guadeloupe had another reduction of 40%, unlike Martinique or Guadeloupiens who were doing the same job. In my opinion, therefore, your argument does not stand at all.
ParlaMint-FR_2018-10-18-O1024.u27	Yes, I do!
ParlaMint-FR_2018-10-18-O1024.u28	Forgive me, but the system isn't the same. Finally, you bother me terribly because, out of the 70 million you raise, you pay 20 million to the five overseas departments and 50 million to departments that are not subject to the IR, the income tax! This is an incredible injustice! You oppose each other because, you are well placed to know it, in Saint-Pierre-et-Miquelon, in Mayotte, in New Caledonia and in French Polynesia, taxation is very different! These friends, brothers and sisters will benefit from the redistribution of some of this money! From my point of view, it's an injustice! I therefore suggest that you accept the amendments to delete Article 4 or at least simply reduce the reduction, so that we can have a dialogue. In conclusion, let me repeat: we are not opposed to the opening of a discussion, as long as it takes. You see this yourself: there has been no consultation. It seems to me extremely unfair to admit it and to maintain your position.
ParlaMint-FR_2018-10-18-O1024.u29	All right!
ParlaMint-FR_2018-10-18-O1024.u30	I remind everyone that the speaking time is two minutes... Mr Jean-Hugues Ratenon has the floor to support Amendment No. 1878.
ParlaMint-FR_2018-10-18-O1024.u31	I have already had the opportunity to speak on this point in my statement on the article, but I would like to say, before coming back, how much I associate myself with the various statements made by my colleagues, in particular that of the Chairman of the delegation to the overseas countries and territories, who is a member of your majority. Minister, Minister, you can see that the ultramarine elected members of this House are united against your proposal. I therefore call on you to listen to reason and to abandon your arguments, which are not on the road. We oppose this puncture on our local economy, which is fragile enough that we cannot afford to withdraw at least 70 million from it, in order to feed a fund of which we know neither the distribution nor the efficiency. The impact assessment on this issue is very inadequate. Moreover, our territories need national solidarity, not solidarity between ultramarine territories. It is not for the poor regions to finance even poorer regions; It is up to the state to assume its responsibilities and to assume its role vis-à-vis the ultramarine territories, which are in dire need of a huge catch-up plan.
ParlaMint-FR_2018-10-18-O1024.u32	He's right!
ParlaMint-FR_2018-10-18-O1024.u33	There are several problems. First, we have no assurance that the fund will be used in its entirety – I think I remember that, in some years, that was not the case. Secondly, the contribution rate of each Territory will not necessarily be proportional to what the Fund will finance in practice. So we're gonna undress Peter to dress Paul. Our public services are dying in our territories, our citizens are living less and less well and are increasingly poor! Above all, the overseas world needs a policy of combating exclusion and the cost of life, and it is up to national solidarity to intervene! [[Applause on the benches of the FI group]] Ladies and gentlemen, trust the ultramarines to know what is good for them! We do not want this measure. I therefore call on you to vote in favour of the deletion amendments, which go beyond the political divides and federate the ultramarines, regardless of the political groups to which they belong!
ParlaMint-FR_2018-10-18-O1024.u34	I call Mrs Vainqueur-Christophe to support Amendment No. 2079.
ParlaMint-FR_2018-10-18-O1024.u35	I will not go back to what I said in my speech on the article, but I should like to know, Madam Minister, that your arguments are trying to convince me. It is true, as you said, that you assume; This is a good thing because I believe you must fully assume the decision you are making today. You are now convinced that it is no longer 4% but 15% – this is the first time I have heard of this – or, in our view, 20% of people who will actually be injured. You finished your speech by announcing 2.1 billion for convergence contracts, and the majority applauded you. So I tried to figure out where that money came from. According to the "Budget Blue", commitment authorizations for convergence contracts amount to 188 million, which, over four years, amounts to 752 million. We are far from 2.1 billion! Why is that money? I have referred to a document published by your own communications department, according to which the state does not abandon the overseas territories under any circumstances, as all the ministries are about to release EUR 2 billion under the next convergence and transformation contracts. But here's what you put in it: the contribution to the public service of electricity, the CSPE, which is used for equalization; 1 billion for hospitals – I would like to point out in this connection, since my territory is concerned with the CHU of Pointe-à-Pitre, a public institution, that the State is obliged to intervene in this matter and that this does not involve convergence contracts –; And finally, surprisingly, 700 million in favour of vocational training. Who will make believe here that such a sum will be spent when we know that the law for the freedom to choose one's professional future voted here is inapplicable to us and that the order that will allow it to be applied is not yet written?
ParlaMint-FR_2018-10-18-O1024.u36	I call Mrs Bareigts to support Amendment No. 2080.
ParlaMint-FR_2018-10-18-O1024.u37	Minister, I heard you this morning; So, you're in charge. I come back to a fundamental decision that probably distinguishes our approaches, because I also assume my action for a year – less time than you, therefore – as Minister of Overseas Affairs. I believe in national solidarity. I believe that, for the territories furthest from the national averages in terms of human and health development index, the need for schools, nurseries, national solidarity has its place and place. That is what makes the difference between what you are proposing and the policy we have pursued. In the planning law on real equality overseas, we have in fact supported a catch-up for Mayotte in terms of social benefits, the maintenance of the ZFA – a free zone of activity –, structural investments via the EIF, but by and only through national solidarity. You are telling us that the IR money will be punctuated in the overseas departments, which is a big problem for us because it is about ultramarine solidarity. In fact, you cannot do otherwise, since the overseas communities enjoy fiscal autonomy. However, three out of six do not perceive an IR. And, even if others are also taxing, because of the system of fiscal autonomy, they cannot take their money. You therefore take the wealth of the overseas departments to finance all public policies for the overseas. It's a fundamental difference. I don't believe in this method. In accordance with the programming law for real equality overseas, unanimously passed here and in the Senate, I believe that, after a certain period of time, ten, fifteen or twenty years, depending on the territory, when they reach the national average level of education, health or safety, yes, we will be able to go back to systems that have existed for too long but that have worked, minister. If, in Réunion, I have moved from a box in sheet metal without water and without electricity to my present situation, which makes it possible to live with dignity, it is thanks to this system!
ParlaMint-FR_2018-10-18-O1024.u38	Yes!
ParlaMint-FR_2018-10-18-O1024.u39	Thank you, Mrs. Bareigts.
ParlaMint-FR_2018-10-18-O1024.u40	It's a fact, you have to hear it, minister! In the future, we will still be able to revise this system, but what you are doing here is very dangerous.
ParlaMint-FR_2018-10-18-O1024.u41	All right!
ParlaMint-FR_2018-10-18-O1024.u42	Mrs Josette Manin has the floor to support Amendment No. 2081.
ParlaMint-FR_2018-10-18-O1024.u43	My request is identical: the deletion of Article 4. I would like to ask simple questions to the Minister and the Minister, who have come to us, like others – Prime Minister, Minister of Solidarity and Health, Minister of State, Minister of Ecological and Solidarity Transition, President of the Republic. But did you go to our markets? Did you buy a yogurt in a small "lolo", as they say in Guadeloupe or Martinique, to compare prices with the metropolis? Do you know the difference in the price of a school book, at the beginning of September, between the Hexagon and our ultramarine territories? Minister, the cut is full, our territories are rumbling and we do not know how we can respond to ultramarine populations.
ParlaMint-FR_2018-10-18-O1024.u44	Mr Joël Giraud, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor to give the Committee's opinion on this series of amendments to delete Rule 4.
ParlaMint-FR_2018-10-18-O1024.u45	I will be brief because I do not want to paraphrase the long comments made by the Minister for Overseas Affairs this morning. There's one thing I can't figure out. You explain to us all – and I share this view – that there is much to be done in the overseas countries of France in favour of economic catching-up, but also of the fight against the great poverty that is raging there. However, the cap on the tax reduction provided for in this Article, if applied, will only apply to 50,000 tax households, i.e. 4.34% of the total – households that reach the cap being only 6500, i.e. less than 2% of the total. The refocusing of a measure to reduce taxes on the most modest households does not seem to me to be anything other than a measure of tax and social justice. That is why I express an unfavorable opinion on all of these amendments.
ParlaMint-FR_2018-10-18-O1024.u46	It's a clear and direct refusal!
ParlaMint-FR_2018-10-18-O1024.u47	The Minister for Overseas Affairs has the floor to give the Government's opinion.
ParlaMint-FR_2018-10-18-O1024.u48	This issue has become disproportionate in relation to the number of people who will be affected by the reform. What I want to tell you is that no one here, especially me, disputes the specificities, difficulties or delays of the overseas territories in terms of infrastructure. Yes, Mrs Manin, I have gone around all the overseas territories, I know them well, and I can tell you that yogurt is unfortunately a little more expensive in my home than in Martinique. But don't say that the reform of the tax reduction will have an impact on the cost of living in the overseas territories! It benefits only 4% of households! Is it normal for the State to provide more assistance to those 4 per cent of the population, rather than to the very large number of people living on social minimums overseas? It's the wrong fight. I agree with you: we must work on the social minima; Moreover, the Government had just done so, since the increase in the activity premium also affected the Overseas Territories. I have heard that the middle classes would be affected by this measure but, for my part, I do not consider that a person who earns more than 4500 euros a month is part of the middle class – and that also applies to me. The abolition of the housing tax for 80% of households will represent an additional €134 million for the overseas territories, benefiting all their population, particularly their middle class. The focus should not be on the issue of IR, since all the measures taken by the Government would also apply in the Overseas Territories, which was normal.
ParlaMint-FR_2018-10-18-O1024.u49	It doesn't hold the road!
ParlaMint-FR_2018-10-18-O1024.u50	The exemption from social contributions on overtime, which you discussed before, will also apply in the overseas departments and regions – but not in the COMs. The debate on the status of COMs, DOMs and ROMs – the overseas regions – is not relevant. When I was appointed Minister of Overseas Affairs, I was the one who told all members of Parliament and senators that if they wanted to open the question of the statutes, I was ready, and I am still ready! But the only Member who tried to think about these questions and who made proposals – I am used to telling the truth – is Serge Letchimy: he alone sought to go further to clarify the specificities of the overseas territories and the recognition of their differentiation. We will work on this within the framework of constitutional reform. If each of the overseas territories persists in wanting to manage its own taxation, then let's go! I will not transfer taxation to the overseas countries if they do not request it, but if that is their will, why not give them that freedom? Serge Letchimy called for more economic democracy: I am in favour of it, but are the overseas territories ready for it? I am not sure, and we will have to have this debate in the days to come. I would now like us to agree on the figures once and for all. The number of taxable households is not 244000, as Serge Letchimy said, but almost 350,000. This means that our calculations are correct and that only 4% of households and 15% of beneficiaries will be affected by this reform, as I said this morning. This means that 85% of beneficiaries will not be affected. I would like to make a few clarifications, because not everyone knows the overseas territories finely, which is normal. The overseas elected representatives are also not familiar with the situation of Brittany or Normandy, for example; When I travel through Hexagon, I discover situations that I did not know, and it is normal for us to inform each other. You must know that the overseas territories are the territories of France whose taxation is the most unequal: the tax system is twice as redistributive as in Hexagon. So we need to ask ourselves about this model and try to get it moving.
ParlaMint-FR_2018-10-18-O1024.u51	Yes!
ParlaMint-FR_2018-10-18-O1024.u52	I agree with you that convergence cannot go without transformation. We talked the other day, with the President of the Republic, about all the young people who left Martinique: if they left, it was not because we were going to touch the IR or because we were trying to define a different economic ecosystem; It's because they don't see a future, because they don't project themselves into the future. I suggest that we plan together in the future. But it is not the question of the IR that will change anything, you know that.
ParlaMint-FR_2018-10-18-O1024.u53	Do both at the same time!
ParlaMint-FR_2018-10-18-O1024.u54	I'm trying! The EIF is an essential tool: it is the EIF that helps communities to bridge the delays in the Overseas Territories. You gave me figures from 2012, I think; I'll give you the 2016 and 2017 ones that some of you know. In 2016, of the EIF 40 million, EUR 39.4 million was consumed. So don't pretend that the EIF is not consumed! In 2017, we even consumed 49 million euros, which means that we even added 9 million euros – congratulations to those who did! According to the territories, one in five projects is funded to one in ten projects; This is a sign that this method of financing is a problem and that much more needs to be done.
ParlaMint-FR_2018-10-18-O1024.u55	Yes, but not with the IR! We have to do something else!
ParlaMint-FR_2018-10-18-O1024.u56	This is what we will do, but the IR will not be the only tool; We will strengthen national solidarity. [[Applause on the benches of the LaREM group]] Moreover, you cannot say that it does not already exist: national solidarity exists in the field of health, since the health plan makes overseas territories a priority.
ParlaMint-FR_2018-10-18-O1024.u57	All right!
ParlaMint-FR_2018-10-18-O1024.u58	Do not say that there is no national solidarity, while the state finances the hospital in Guadeloupe at 100% – I say it with transparency and realism, even if this decision is not due to me.
ParlaMint-FR_2018-10-18-O1024.u59	Do the same in Martinique!
ParlaMint-FR_2018-10-18-O1024.u60	[[Applause on several benches of the LaREM group. – Exclaims on the SOC, FI and GDR benches]] We are building a new hospital in Guadeloupe, which is 100% financed by national solidarity: we can congratulate ourselves!
ParlaMint-FR_2018-10-18-O1024.u61	Happy again! It's normal for us to finance the hospital!
ParlaMint-FR_2018-10-18-O1024.u62	Please, ladies and gentlemen!
ParlaMint-FR_2018-10-18-O1024.u63	Many other examples could be taken. National solidarity is growing day by day in the overseas territories; it has increased under the previous government and it continues under it, you can't say the opposite. I hate per capita figures but, if necessary, I will give them – even if I am not sure that it serves the overseas to make use of such data...
ParlaMint-FR_2018-10-18-O1024.u64	This is called equity: we must give more to those who have less.
ParlaMint-FR_2018-10-18-O1024.u65	[[Applause on several benches of the LaREM group]] That's what I'm doing! What are we doing with the IR? We consider that 4 per cent of tax households today benefit from a reduction that can be called into question and we have obtained – I have obtained – that the Government redistributes 100 per cent of the amount obtained by this measure in the Overseas Territories. When we come to the vote on the overseas mission's appropriations, we can ask the question of the reform of the EIF. Should we make it a co-piloted tool? Why not: I'm not closed on the question. Should part of the EUR 70 million be shared with the COMs? I am not opposed to discussing it, even though I personally believe that there is a general risk of losing to it by mixing the DOMs and the COMs. [[Applause on the benches of the LR group]] What I want is progress for everyone and everywhere! But progress for all also means that those who need to contribute more do so, both in the overseas territories and in the metropolitan areas, so that we can help those who are in difficulty. I am a left-wing woman and I assume it: that's why I reform the income tax for the 4 per cent of the most affluent tax homes in the overseas countries. I have no difficulty in saying it and I fully assume it.
ParlaMint-FR_2018-10-18-O1024.u66	And the suppression of the ISF, the solidarity tax on wealth?
ParlaMint-FR_2018-10-18-O1024.u67	[[Applause on several benches of the LaREM group]] I have heard completely wrong things about convergence and transformation contracts, which will replace state-region contracts. It is 2.1 billion euros that will be invested in the overseas territories, by the Overseas Ministry, of course, but not only: the ministries responsible for the interior, transport, health, vocational training and sports will also participate in these projects, which will be negotiated by the prefects in each territory. This does not include the CSPE, the contribution to the public electricity service, nor the credits for hospitals or agriculture, but it leaves, we can see, a great deal of freedom of decision. National solidarity exists more than ever, but it does not prevent being fairer and fairer with all taxpayers in all the overseas territories.
ParlaMint-FR_2018-10-18-O1024.u68	Mr Jean-Louis Bricout has the floor.
ParlaMint-FR_2018-10-18-O1024.u69	You have pointed out to us, Madam Minister, that we were not specialists in overseas taxation – I am the first – and that we did not know all the specificities and difficulties of your territories. However, when I listened to my colleagues representing the overseas countries, on all the benches of the House, I felt a feeling of humiliation and discrimination, I felt the contempt to which these territories suffer. Your relationship with the territories in general seems to me quite degraded. One clearly perceives a form of incomprehension, for example on the figures, since we have been witnessing a rather spectacular battle of numbers for a while.
ParlaMint-FR_2018-10-18-O1024.u70	We agree on the numbers!
ParlaMint-FR_2018-10-18-O1024.u71	Minister, you even went so far as to say that these territories would need a citizen tax education!
ParlaMint-FR_2018-10-18-O1024.u72	I didn't say that! Never! Don't make me say what I didn't say!
ParlaMint-FR_2018-10-18-O1024.u73	[[Exclaims on the banks of the LaREM Group]] But that's what I heard...
ParlaMint-FR_2018-10-18-O1024.u74	Only Mr Jean-Louis Bricout has the floor.
ParlaMint-FR_2018-10-18-O1024.u75	On the other hand, some of your comments have almost proved that the theory of runoff does not work in the overseas. Then why do you want it to work in the metropolis?
ParlaMint-FR_2018-10-18-O1024.u76	The theory of runoff doesn't exist!
ParlaMint-FR_2018-10-18-O1024.u77	Our colleagues in the overseas countries are obviously almost in shock and unanimously reject the provision you are proposing to them. I almost have the impression that a minister is missing on the bench: that of combating discrimination.
ParlaMint-FR_2018-10-18-O1024.u78	Oh!
ParlaMint-FR_2018-10-18-O1024.u79	All right!
ParlaMint-FR_2018-10-18-O1024.u80	It's not worthy of you! You don't think what you're saying!
ParlaMint-FR_2018-10-18-O1024.u81	How can such words be said!
ParlaMint-FR_2018-10-18-O1024.u82	Mr Max Mathiasin has the floor.
ParlaMint-FR_2018-10-18-O1024.u83	Madam Minister, your remarks are in line with the convictions we know you: you think that overseas people are privileged and that there are privileged overseas people. You are about to hit the overseas economy, since I repeat that no part of the convergence plans is in place today. You will legislate against the opinion of all ultramarine Members; you will legislate against the opinion of the ultramarine population; You will legislate against those who make the economy in the overseas. We take note of that.
ParlaMint-FR_2018-10-18-O1024.u84	Mrs Justine Benin has the floor.
ParlaMint-FR_2018-10-18-O1024.u85	Minister, you know that I feel a deep respect for you. I am speaking in this House with great seriousness, but also with a sense of responsibility. Can we seriously consider that removing the reduction or lowering the threshold will be sufficient to save money and redirect flows? My point is to get us out of a guilty oneirism that would want long neglected territories to be turned into bad students of the Republic. Yes to the tax reform! Yes to the investments! Yes to national solidarity! Yes to the definition of new economic models in our territories! But not at any price, ladies and gentlemen. My point is not to oppose the transformation of our economies, as you know very well, Madam Minister, but to include all our initiatives, our approaches and our laws in economic logics that are legible to all, which do not involve a pure symbolism or an unbridled search for the right culprits. Ladies and gentlemen, I invite all of you here on these benches to come to our territories, not just for one or two days. I believe in the sincerity of the Minister for Overseas Affairs, Annick Girardin, because she is an Islander like us, but at some point she will have to listen to the parliamentarians who have systematically accompanied each of her decisions. Ladies and gentlemen, come to our territories and stay there for a week! I invite you personally!
ParlaMint-FR_2018-10-18-O1024.u86	All right!
ParlaMint-FR_2018-10-18-O1024.u87	Mr Gilles Carrez has the floor.
ParlaMint-FR_2018-10-18-O1024.u88	Madam Minister, I do not question your sincerity because I have known for many years how committed you are to the development of our overseas territories. It is true that the measures provided for in Articles 4 and 5 concern very old tax expenditure: the cap on the reduction of income tax and the abolition of the non-collectible VAT recoverable. For years, we have been wondering about their real effectiveness, or even their fairness, honestly. The idea of turning these old tax aids into much more effective actions, linked to overseas investment, is a good orientation, but I do not understand, Madam Minister, the brutality with which you operate. [[Smile]] I have reviewed the screening assessments of both section 4 and section 5. No incremental options are proposed. However, if there is a proverb that we must apply in the field of public finances and taxation, it is this one: chi goes piano, va sano. In this case, it is a matter of converting the tax expenditure into budgetary appropriations. However, we all know that budgetary appropriations are regulated, limited, and that they are reduced over time. Since you have at your side the excellent minister of action and public accounts, an absolute commitment must be made that these budgetary appropriations, in this exceptional investment fund, will be used until the last euro, that there will be no regulation! I put myself in the place of the overseas colleagues, Serge Letchimy and Olivier Serva to mention only them. We only know too much music, heard in the field of housing and in many others: a tax expenditure is replaced by a budget appropriation but the following year, the budget appropriation is planed, reduced!
ParlaMint-FR_2018-10-18-O1024.u89	Yes! Remember the LBU, the single budget line!
ParlaMint-FR_2018-10-18-O1024.u90	We were forced to table deletion amendments because we could not do otherwise, but we are asking for nothing but progressive measures. Having said that, I have no doubt about your sincerity, Madam Minister, and I hope that we will find a consensus on this matter.
ParlaMint-FR_2018-10-18-O1024.u91	Bravo! It's common sense!
ParlaMint-FR_2018-10-18-O1024.u92	[["Ah! » on the benches of the LaREM group]] Mr François Ruffin has the floor.
ParlaMint-FR_2018-10-18-O1024.u93	[[Exclaims and applause on the benches of the LaREM group]] [[Exclaims on the banks of the LaREM Group]] Thank you for your welcome, colleagues. I will not intervene in substance, which is very technical. I don't understand everything, some acronyms escape me, about as much as anyone who applauds on these benches. However, I should like to point out the near unanimity of the colleagues who spoke before me: Mr Max Mathiasin, Democratic and Related Movement Group, Guadeloupe; Mr Jean-Hugues Ratenon, La France insoumée group, La Réunion; Mr Serge Letchimy, Socialist and Related Group, Martinique; Ms Ericka Bareigts, Socialist and Related Group, La Réunion; Hélène Vainqueur-Christophe, Socialist and Related Group, Guadeloupe; Mrs Justine Benin, Democratic and Related Movement Group, Guadeloupe; Mr David Lorion, The Republicans Group, La Réunion; Mrs Nathalie Bassire, group Les Républicains, La Réunion; and especially Mr Olivier Serva, group La République en marche, Guadeloupe, who chairs the overseas delegation and belongs to your ranks, dear colleagues of the majority. Do we want to make the overseas peoples happy in spite of them? Do we know what's good for them? Is it not embarrassing to see that, when you speak, Madam Minister, only metropolitan elected officials applaud you?
ParlaMint-FR_2018-10-18-O1024.u94	That's not true.
ParlaMint-FR_2018-10-18-O1024.u95	I find it troubling.
ParlaMint-FR_2018-10-18-O1024.u96	No, no, no, no, no, no, no, We are all elected members of the nation!
