ParlaMint-FR_2018-11-12-O1059.u1	The next item is the debate on the draft amending finance law for 2018 (No. 1371, 1395).
ParlaMint-FR_2018-11-12-O1059.u29	The speaker was Mr Jean-Charles Larsonneur, who had written on the item.
ParlaMint-FR_2018-11-12-O1059.u30	I would like to say a word about the cancellation of EUR 404 million of the defence mission's appropriations. This cancellation mainly concerns, in the amount of EUR 319 million, the programme 146, "Equipment of forces", for which the Committee on Defence and Armed Forces appointed me draftsman of opinion in the context of the examination of the draft finance law for 2019. The idea is good: it's about making the defence mission's budget more sincere. To this end, provisions for external operations, OPEX and internal missions, the MISSINTs, must be progressively increased as the overall increase in the budget is made. It was therefore planned to provide EUR 650 million for OPEX this year, EUR 850 million in 2019 and EUR 1.1 billion in 2020, the remainder to be financed by inter-ministerial solidarity. However, it has been decided to allocate almost all of the expenditure of OPEX and MISSINT – which totals EUR 1.37 billion – to the budget of the Defence Mission alone as of this year. It is a decision that I regret on a personal basis. However, this cancellation of appropriations must be relativised. First, the budget for the Defence Mission is increasing sharply; To say, as President Woerth has done, that we take away from one hand what we give from the other is to do an unfortunate approximation. The cancellation of appropriations represents only 1% of the budget of the Defence Mission and 3% of the appropriations of Program 146. Secondly, the Minister of Armed Forces and the Directorate-General for Armaments have endeavoured to minimize the impact of this decision, in particular by reducing payments to certain international organizations and by achieving savings in the negotiation of contracts. He should be greeted. However, we do not have a good visibility regarding the carry-over of loads to 2019. We are wondering about possible misalignments in equipment programs. Before I take a decision on these cancellations of appropriations, I would therefore like the Minister to give us assurances concerning the 38 million euros of appropriations which are still frozen under programme 146.
ParlaMint-FR_2018-11-12-O1059.u31	I call Mrs Sabine Rubin to support Amendment No. 231. I would remind you, Madam Member, that you have two minutes.
ParlaMint-FR_2018-11-12-O1059.u32	Don't worry, Mr. Chairman: I'll be very brief. I'll come back to ecology later. We do not want the "Cultural Diplomacy and Influence" programme of the "External Action of the State" mission to be a variable of budgetary adjustment for a ministry already subject to major financial cuts. In that regard, we deplore the modest resources allocated to cultural diplomacy by the Government. The planned cancellation of appropriations would only make it worse.
ParlaMint-FR_2018-11-12-O1059.u33	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u34	Unfavorable opinion. The cancellation of credits amounts to stabilizing, in 2018, the appropriations for 2017: it is therefore not a decrease. Only earmarked appropriations are affected, therefore not available.
ParlaMint-FR_2018-11-12-O1059.u35	I call Mrs Sabine Rubin to support Amendment No. 268.
ParlaMint-FR_2018-11-12-O1059.u36	We, the rapporteur-general, believe that the appropriations put in reserve should not be used to make adjustments, but should cover exceptional events. Through this amendment, we would like to return to the cancellation of EUR 400 million of the defence mission's appropriations and their reallocation to the financing of external operations. There is no point in trying to conceal the truth by means of technical tricks: you simply abandon the principle of interdepartmental financing of external operations. Yet this is a fundamental principle, which you refused to sacrifice during the examination of the military programming bill for the years 2019 to 2025. Article 4 of this law provides that the additional costs of external operations and internal missions must be financed by inter-ministerial solidarity. This article reflects a decisive political principle, according to which the whole nation decides to engage forces outside. Under no circumstances can armies take such a decision alone; It is therefore the nation as a whole that has to assume this responsibility. It is clear that this cancellation of EUR 400 million in appropriations is only a start. The additional costs of external operations are estimated at EUR 1.3 billion. Only €650 million have been provided; EUR 250 million will therefore have to be cancelled before the end of the year. It is clear that these successive cancellations will be reflected next year in the form of carryovers, which will be in addition to the new incremental costs of the OPEXs.
ParlaMint-FR_2018-11-12-O1059.u37	You're wrong.
ParlaMint-FR_2018-11-12-O1059.u38	From thread to needle, it is the whole increase in the army budget that will be swallowed up. With this amendment, we offer you the possibility of not denying your commitments.
ParlaMint-FR_2018-11-12-O1059.u39	I fear, Mrs Rubin, that you have made a mistake, because Amendment No 268 deals with agricultural matters.
ParlaMint-FR_2018-11-12-O1059.u40	You're right, excuse me!
ParlaMint-FR_2018-11-12-O1059.u41	That will not prevent the rapporteur-general from giving the committee's opinion on this amendment. (Sighs.)
ParlaMint-FR_2018-11-12-O1059.u42	I confirm that Amendment No 268 concerns the "Agriculture, Food, Forest and Rural Affairs" mission. The cancellations of the appropriations referred to relate to under-consumption estimated at EUR 26 million, to be reported to EUR 83 million in increase of the appropriations for this mission. Unfavorable opinion.
ParlaMint-FR_2018-11-12-O1059.u43	Mrs Valérie Rabault has the floor to support Amendment No. 128.
ParlaMint-FR_2018-11-12-O1059.u44	The adoption of this amendment would not have a very large budgetary impact. I would point out that last year I tabled a similar amendment aimed at maintaining EUR 300 000 in support of honey fairs under the European beekeeping programme. These fairs are all organized by voluntary associations, which have to pay for the analyses of exposed honeys. This amendment received forty-three votes in favour and forty-six against last year. He had therefore missed only a few votes to be adopted. The Minister of Agriculture had committed to continue to support honey fairs, in particular to ensure the safety and quality of honeys exposed through laboratory analyses. I take advantage of the PLFR to resubmit this amendment of appropriations, and of the possibility offered to me by the movements of appropriations which you, Minister, have operated on – otherwise I could not have done so.
ParlaMint-FR_2018-11-12-O1059.u45	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u46	I would point out to you, Mrs Rabault, that the amendment in question provided for EUR 300 000 for the whole exercise. In the context of a PLFR, it would have been logical to recalibrate the amendment accordingly.
ParlaMint-FR_2018-11-12-O1059.u47	You're right.
ParlaMint-FR_2018-11-12-O1059.u48	For the small honey fairs remaining for the month of December, it would have been good to propose an appropriation of EUR 25000. The opinion is therefore unfavourable.
ParlaMint-FR_2018-11-12-O1059.u49	That's bad faith!
ParlaMint-FR_2018-11-12-O1059.u50	What is the Government's opinion?
ParlaMint-FR_2018-11-12-O1059.u51	Unfavorable.
ParlaMint-FR_2018-11-12-O1059.u52	Mr Marc Le Fur has the floor.
ParlaMint-FR_2018-11-12-O1059.u53	There's honey in Brittany!
ParlaMint-FR_2018-11-12-O1059.u54	[[Smile]] And even bees!
ParlaMint-FR_2018-11-12-O1059.u55	This amendment had not been accepted at the time, but the entire beekeeping sector has suffered enormously in recent months. To give him a sign of support, modest anyway, to defend a production made not only by professionals, but also by passionate amateurs, would be objectively welcome.
ParlaMint-FR_2018-11-12-O1059.u56	Alas!
ParlaMint-FR_2018-11-12-O1059.u57	I call Mr Ludovic Pajot to support Amendment No. 80.
ParlaMint-FR_2018-11-12-O1059.u58	He's forbidden.
ParlaMint-FR_2018-11-12-O1059.u59	Mrs Marie-Christine Dalloz has the floor to support Amendment No. 250.
ParlaMint-FR_2018-11-12-O1059.u60	The minister repeatedly blames the opposition members for wanting to generate additional expenses. But here I give you the opportunity to delete them. As Special Rapporteur of the "Government Action Directorate" mission, I can give you some figures concerning the Prime Minister's budget: the flights of CETC – the Air Force Transport, Training and Calibration Squadron – cost €3 million, plus €2.3 million for stewardship costs and almost €20 million in staff costs for the firm.
ParlaMint-FR_2018-11-12-O1059.u61	It's huge!
ParlaMint-FR_2018-11-12-O1059.u62	[[Applause on several benches in the LR group]] All of this would greatly merit the reduction of the appropriations requested in the PLFR by EUR 1 million in commitment authorizations and payment appropriations in programme 129 "Coordination of government work" of the "Direction of Government Action" mission. There is no reason why the most modest French are the only ones involved and that the example does not come from above, especially from the Prime Minister. The Head of Government must also show that he is able to make efforts, reducing his budget by EUR 1 million.
ParlaMint-FR_2018-11-12-O1059.u63	Good idea!
ParlaMint-FR_2018-11-12-O1059.u64	What is the opinion of the committee?
ParlaMint-FR_2018-11-12-O1059.u65	I would like to point out to Mrs Dalloz that the appropriations are intended to finance the digital transformation of public action and that the cancellations of appropriations relate to the staff costs of the "Coordination of Government Work" programme.
ParlaMint-FR_2018-11-12-O1059.u66	Yes!
ParlaMint-FR_2018-11-12-O1059.u67	The appropriations are therefore financed by mirrored cancellations within the said programme.
ParlaMint-FR_2018-11-12-O1059.u68	You know that's not true!
ParlaMint-FR_2018-11-12-O1059.u69	All the efforts that have been made to secure the appropriations have been made through cancellations within the same programme. Unfavorable opinion.
ParlaMint-FR_2018-11-12-O1059.u70	What is the Government's opinion?
ParlaMint-FR_2018-11-12-O1059.u71	Same opinion.
ParlaMint-FR_2018-11-12-O1059.u72	Mrs Danielle Brulebois has the floor.
ParlaMint-FR_2018-11-12-O1059.u73	[[Claims on several benches in the LR group]] [[Same movements]] I caution Ms. Dalloz about how she stigmatizes the elites and the Government to the people. She wanted to do the buzz with her tintamarre on BFMTV, but nobody cares, nobody listens to it. Democracy has a price, Mrs. Dalloz; the Prime Minister needs means, for his action both in France and internationally. As you have been responsible for the report on this mission for ten years, it would have been helpful if you had made comparisons. For example, in 2015, Matignon employed 491 people...
ParlaMint-FR_2018-11-12-O1059.u74	That was your left-wing majority!
ParlaMint-FR_2018-11-12-O1059.u75	...and, this year, 462. I would also point out that between 2007 and 2012, there were the same number of people, but forty out of sixty-two cabinet members were paid by other jurisdictions. Travel expenses were funded from the expenditure budget. Today, Mrs. Dalloz, the Government shows its intellectual honesty: there is no pass-through, the cost of democracy is clearly displayed.
ParlaMint-FR_2018-11-12-O1059.u76	Mrs Marie-Christine Dalloz has the floor.
ParlaMint-FR_2018-11-12-O1059.u77	I note that you are following my interventions with interest, Mrs. Brulebois. No doubt you will have noticed that for seven years since I was special rapporteur for this mission, no media has ever relayed the content of my report. It turns out that this year, our fellow citizens show special sensitivity and pay greater attention to certain abuses – ask yourself why. Last year's Prime Minister's trip to New Caledonia cost 817000 euros. That was the shock, and that is why some media have taken over elements of my report. I didn't make it up. [[Applause on the benches of the LR group]] As for your comparisons, I remind you that comparison is not right. If you bring the workforce back to the overall budget over the last ten years, you will see that the current Prime Minister consumes the most, both in terms of appropriations and in terms of staff costs. Perhaps it is the price of democracy, according to your expression, but I find that the new world is, in this matter, somewhat excessive.
ParlaMint-FR_2018-11-12-O1059.u78	It's transparency!
ParlaMint-FR_2018-11-12-O1059.u79	I have before me several identical amendments, Nos 89, 214, 232, 239 and 482. I have a request from the Group of the European People's Party for a public vote on this series of identical amendments. The vote is announced in the National Assembly. I call Mr Cornut-Gentille to support Amendment No. 89.
ParlaMint-FR_2018-11-12-O1059.u80	Since the beginning of this debate, both the Government and the majority have been bragging about presenting a purely technical, serious and genuine PLFR with budgetary sincerity. Maybe it's true on some subjects. On the other hand, it is not audible when it comes to defence. Because this is a moral and not a technical problem, a problem of sincerity – and not just a budgetary one. You know very well, Minister: commitments have been made on several occasions on interdepartmental funding of OPEXs. One can be for or against the budget, but these commitments exist and they bind the Government as the majority. The challenge of this amendment is not only to try to defend a few hundred million euros – which is not nothing for our armies, which will lose them. Beyond this technical and financial aspect, I think the stake is really moral and political: is this majority still capable of respecting certain things? First, will she abide by the law? I recall that two military programming laws have affirmed and reaffirmed the principle of interdepartmental funding of OPEX. I turn to my colleagues from the majority, who are looking elsewhere: my dear friends, you voted less than six months ago to maintain interdepartmental funding. It is your credibility: are you going to let the principle that you recently reaffirmed be flouted tonight? I'm waiting for your answer. Think she'll be of interest to the military. Secondly, what about respect for public speech? The Minister of Armed Forces and the President of the Republic explained recently that there were no problems on this point. I can see that the tributes and ceremonies, the Pantheon, the Invalides, etc., are multiplied, but the military, at some point, is also looking at what is happening financially.
ParlaMint-FR_2018-11-12-O1059.u81	That's right!
ParlaMint-FR_2018-11-12-O1059.u82	Please conclude, dear colleague.
ParlaMint-FR_2018-11-12-O1059.u83	[[Applause on the benches of the LR and LT groups]] Last point, Mr President: there is respect for the will of the people, because there is a consensus on the subject, beyond partisan divisions. The only opposition is to Bercy. Minister, are you the spokesman for your ministry or are you going to respect the national will?
ParlaMint-FR_2018-11-12-O1059.u84	I call Mr Ludovic Pajot to support Amendment No. 214.
ParlaMint-FR_2018-11-12-O1059.u85	He's forbidden.
ParlaMint-FR_2018-11-12-O1059.u86	I call Mrs Sabine Rubin to support Amendment No. 232.
ParlaMint-FR_2018-11-12-O1059.u87	I've already defended him.
ParlaMint-FR_2018-11-12-O1059.u88	I call Mrs Emmanuelle Ménard to support Amendment No. 239.
ParlaMint-FR_2018-11-12-O1059.u89	Emmanuel Macron had promised this at the time of the promulgation of the law of military programming: this text is new opportunities for our armies to think about the army of tomorrow, he said on 13 July 2018. A few days ago, however, it was learned that, contrary to presidential commitments, the defence budget was going to be cut, as the army was going to bear the full cost of external operations, which amounted to some 400 million euros. Hence the inter-ministerial solidarity that usually participates in the national effort. On the day after November 11, when we remember the Great War and its countless sacrifices, we can say that the pill is difficult to swallow. The Ministry of Economy and Finance has even specified that the Ministry of Defence will mobilise other appropriations from the same mission to finance external operations and internal missions beyond the appropriations provided for in the original finance law. To pay for the addition, you will have to go to one or more of the following four programs that make up the "Defence" mission: "Environment and foresight of defence policy", "Preparation and use of forces", "Defence policy support" and "Equipment of forces", all essential. A priori, it will be the envelope dedicated to the equipment that will be touched first, which means that in order to pay our soldiers, the Government will tackle the envelope that allows them to defend themselves, so to defend us. We are far from the announcement effect of the President of the Republic this summer. This is the effect of an already-seen one, when one remembers the reasons for the departure of General de Villiers who, in 2017, said: "I won't be able to look my guys in the eye any more if we reduce our means". It therefore seems to me that it is essential to return to inter-ministerial cooperation. If the army protects us all, it must be supported by all.
ParlaMint-FR_2018-11-12-O1059.u90	All right!
ParlaMint-FR_2018-11-12-O1059.u91	Mrs Lise Magnier has the floor to support Amendment No. 482.
ParlaMint-FR_2018-11-12-O1059.u92	As Mr Cornut-Gentille has put the terms of the debate excellently, I will not go back to that. But I have several questions, minister: why this choice? Why go back to the commitments made? Why do you decide not to apply a law that was passed only a few months ago, the military programming law?
ParlaMint-FR_2018-11-12-O1059.u93	What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2018-11-12-O1059.u94	As I said in my opening remarks, there is both an appropriation of €404 million under a programme and a cancellation of €404 million on several of the mission's programmes, which is not in line with Article 4 of the military programming law – which itself must be recognised as not fully compliant with the law on public finance programming: we must call a cat, a cat.
ParlaMint-FR_2018-11-12-O1059.u95	That's right.
ParlaMint-FR_2018-11-12-O1059.u96	Nevertheless, there are many advances in the budgeting of OPEX, via the internal missions – the MISSINTs – with the additional costs of operations being financed in particular by the deployment of unused appropriations. I would remind you that the law on public finance programming has provided for an increase in provisions for OPEX and MISSINT at a rate of €200 million per year, i.e. 650 million in 2018 and 850 million in 2019, to reach 1.05 billion in 2020. This should, however, limit the additional costs in management. Unfavorable opinion.
ParlaMint-FR_2018-11-12-O1059.u97	What is the Government's opinion?
ParlaMint-FR_2018-11-12-O1059.u98	This is an important issue, as I said at the beginning of the debate, and one that probably deserves a thorough discussion. I would point out, however, that if there had been a decree in advance, this exchange would not take place; We wouldn't even talk about the subject.
ParlaMint-FR_2018-11-12-O1059.u99	Yes, we would talk about it!
ParlaMint-FR_2018-11-12-O1059.u100	No, honourable Members, since you could not have tabled an amendment. It is not to you that I will learn that there can be no advance decrees – even if there would probably have been a debate, of a different nature, in the Senate, in the Assembly, and possibly in the Joint Joint Committee.
ParlaMint-FR_2018-11-12-O1059.u101	But it turns out we're talking about it!
ParlaMint-FR_2018-11-12-O1059.u102	We welcome the fact that Parliament can consider amendments, question the Government, discuss the substance and ultimately decide whether or not to allocate the budget. That is normal, and that is why I believe that the Government's method is much more logical than you say.
ParlaMint-FR_2018-11-12-O1059.u103	That's to see...
ParlaMint-FR_2018-11-12-O1059.u104	Monsieur de Courson, I am not going to upset you – I feel you in a chafouin mood – by quoting the many times you have complained about the PLFRs. I have at my disposal a collection of very thick quotations for the 25 years that you have been looking at this issue as a parliamentarian. Let us go back to our sheep, and more specifically to the question that MP Cornut-Gentille rightly raises: will we respect the law, in this case the law of military programming? The answer is yes.
ParlaMint-FR_2018-11-12-O1059.u105	No!
ParlaMint-FR_2018-11-12-O1059.u106	Yes, I assure you, honourable Member, and I will show you that we will. What has happened, especially in recent years, especially in 2018 – Mrs Ménard has alluded to it? Last year, the Minister for Action and Public Accounts, whom I am, thawed 700 million euros; The truth is, we've thawed the entire military supply. I would not allow myself to make a judgment on the resignation of the great soldier, General Pierre de Villiers, but we could still agree that this resignation had nothing to do with the defence budget. I remember very well having thawed the credits in the last ten days of December, when we saw high enough tax revenues to make that possible. It was important to do so, as it reflected the letter and spirit of the President of the Republic's speeches. The second point is that we have passed a military programming law that provides – I say to Members of Parliament who sit on the right-wing benches in particular – for the largest increase in funds for the armed forces since the end of the cold war. Third point: what is going on today? The appropriations for external operations and internal missions are estimated at around EUR 1.4 billion. If you would listen to me, Mr. Cornut-Gentille, I am sure we could have an exchange on the subject at the corner of dialogue and mutual respect.
ParlaMint-FR_2018-11-12-O1059.u107	I'm listening, Minister.
ParlaMint-FR_2018-11-12-O1059.u108	Provisions and international contributions amount to some EUR 600 million. This is much less than last year: they reached EUR 1 billion. In the military programming law, we have planned to make an additional effort every year to make the external operations budget more sincere.
ParlaMint-FR_2018-11-12-O1059.u109	On that, we agree.
ParlaMint-FR_2018-11-12-O1059.u110	If there is one idea with which I totally disagree, it is the idea that it is up to the interdepartmental solidarity to ensure the funding of the OPEXs. This is a rule you may all be used to, but it does not contribute to budgetary sincerity. What is needed is to give more resources to our armies, so that they can pay for the expenses that look at the military. To date, neither Parliament nor the executive has provided the armed forces with the means to finance operations from their own budgets, which were in this case military in nature, and largely external operations. What we have decided in the military programming law, and I believe that this has been validated both by the Court of Auditors and by the Finance Committee of your Assembly, is to start, step by step, a budgetary "syncrisation" – this is, however, relative, since the amount of expenditure depends very much on external operations, hence on the interventions undertaken by the head of the armed forces, that is, the President of the Republic. In this case, we reason with constant operations: if tomorrow or the day after tomorrow conflicts were to break out in which France should project forces, the fiscal trajectory should obviously be reviewed. I would say this to Members very sincerely: if, by the end of this year, a large-scale external operation were to take place, we would probably come back to you. However, this is not the case today. Given what we know about the ongoing external operations, budgetary simmering is progressing, although – and this was criticized to me last year – the result is not yet perfect. Next year, we will add EUR 200 million of additional appropriations, again with the same objective of budgetary consolidation. In constant external operations, and if we do not have to intervene in other theatres of operation than those we know, we will even move even faster in this direction, since we can imagine that the funds allocated to these operations will be less than EUR 600 million. What is the situation in the Ministry of Armed Forces? First of all, there is an under-execution of EUR 155 million for the so-called Title 2, i.e. personnel expenditure: this is not an amount that would be withdrawn from the military, but clearly the result of the very important work done by the Minister of the Armed Forces. We are reassigning these EUR 155 million, which seems to me to be a good policy, and we are using them to finance part of the external operations – the latter, in fact, largely covering staff costs. We also have EUR 24 million from the redeployment proposed by the Minister of Armed Forces and EUR 404 million from the precautionary reserve – this is the figure mentioned earlier by the Chairman of the Committee on Finance. I would like to point out here, in particular to Mr Cornut-Gentille, who has carefully followed the debate on the military programming law, that it did not provide for the end of the precautionary reserve; It has provided for a general increase of €1.8 billion in appropriations, as well as a step-by-step sequencing of the external operations budget. In addition, like all ministries, the Ministry of Armed Forces has experienced a 3 per cent freeze on its appropriations. I would like to point out that last year the figure was 8% and that in previous years it had reached peaks. What we are saying is that the precautionary reserve is a reserve on which the Ministry of Armed Forces does not count when it places its military orders. In this regard, gross confusion has been committed.
ParlaMint-FR_2018-11-12-O1059.u111	That wasn't the subject of my arrest!
ParlaMint-FR_2018-11-12-O1059.u112	I'm not questioning you personally, Mr. Cornut-Gentille. The General Delegate for Armaments himself did not place an order corresponding to this amount.
ParlaMint-FR_2018-11-12-O1059.u113	He knew it would be useless!
ParlaMint-FR_2018-11-12-O1059.u114	That was the whole point of thawing the EUR 700 million last year: if this had not been done, orders for military equipment would have been postponed, in particular for small and medium-sized enterprises working for the Ministry of Armed Forces. In this case, this is not the case: we do not cancel any orders. What have the Ministers of Public Accounts been doing so far? Well, they were lying to national representation, in the sense that – please pass the phrase – they were "smart" in front of it. In order to pay for the OPEXs, they made interdepartmental funding and, at the same time, as other needs arose, they were poaching in the budget of the Ministry of Armed Forces to finance them. That's not what we do. We take note of the redeployment proposed by the Minister of Armed Forces, amounting to EUR 24 million, and we use the EUR 155 million unused from Title 2 as well as part of the precautionary reserve, which does not correspond to orders and which is not taken on the pay of the military or on armaments. We also avoid the use of interdepartmental funding for fiscal year-end operations. We are therefore honest about national representation: we could have done as we do every year, not only by decrees in advance, but also, in the context of the budgetary debate, ask everyone to contribute to the financing of the OPEX and, at the same time, to the army to participate in that of other government policies. That is not what we have chosen to do. Mr Larsonneur, I confirm that I have thawed the EUR 250 million of appropriations granted to the armed forces but not included in the precautionary reserve at the beginning of November.
ParlaMint-FR_2018-11-12-O1059.u115	All right!
ParlaMint-FR_2018-11-12-O1059.u116	[[Applause on the benches of the LaREM group]] The military and the Ministry of Armed Forces therefore have a sincere budget, based on parliamentary authorization, which respects the law of military programming and which, I repeat, allows the armies to benefit from the largest increase in appropriations which has been decided by the executive and authorized by Parliament since the end of the cold war. This is done in accordance with the commitments made to the armies, the efforts that the nation demands of its soldiers and the balance of public accounts. It seems to me that we should all welcome this.
ParlaMint-FR_2018-11-12-O1059.u117	Mr Charles de Courson has the floor.
ParlaMint-FR_2018-11-12-O1059.u118	Mr Minister, when we passed the initial finance law for 2018, many of us told you that if we planned a budget of 650 million euros only for the OPEX and the MISSINT – which we must not forget – we would miss about 600 million euros. What do we see at the end of the year? That 600 million euros are missing!
ParlaMint-FR_2018-11-12-O1059.u119	Yeah, so what?
ParlaMint-FR_2018-11-12-O1059.u120	We were told: we are aware of this, but we will make an effort of budgetary sincerity and increase the appropriations of OPEX and MISSINT by 200 million euros per year, as we have committed and as provided for in the military programming law. We were also told: don't worry, when we see that there is insufficient funding, we will not ask the Ministry of Defence to redeploy funds. This has even been done, as has been pointed out by several colleagues, in Article 4 of the current military programming law, which will end in 2018, and also in the military programming law that we have just adopted, which covers the years 2019 to 2025. It states that any slippage from the appropriations entered in the original finance law for OPEX and MISSINT would not be the responsibility of the Ministry of Defence. What's going on today? We don't respect what we voted for.
ParlaMint-FR_2018-11-12-O1059.u121	Yes, I do!
ParlaMint-FR_2018-11-12-O1059.u122	Redeployments are being carried out, at the expense of two areas. First of all, as usual and massively, they affect the "Equipment of forces" programme, amounting to EUR 319 million. Minister, you do not have the right to say what you have just said about the failure to postpone orders.
ParlaMint-FR_2018-11-12-O1059.u123	Why not?
ParlaMint-FR_2018-11-12-O1059.u124	Indeed, the rapporteur-general himself states in his report that "these cancellations of appropriations will result in the postponement of the orders planned for the next financial year". It's written black and white! Therefore, contrary to what you say, the physical programming carried out under the programming law is not respected – even if you say it is not serious, because it corresponds roughly to the 3% freeze on credits.
ParlaMint-FR_2018-11-12-O1059.u125	Thank you, Mr. de Courson.
ParlaMint-FR_2018-11-12-O1059.u126	As for the balance, which corresponds to EUR 155 million for the redeployment of appropriations not used for staff costs, the rapporteur-general attributed this non-use to "problems of retention and attractiveness of the ministry's trades".
ParlaMint-FR_2018-11-12-O1059.u127	Thank you, Mr. de Courson. The speaking time is the same for all speakers. Mr. François Cornut-Gentille has the floor.
