ParlaMint-FR_2018-07-20-E1027.u1	The meeting was suspended.
ParlaMint-FR_2018-07-20-E1027.u84	[[Exclaims on the banks of the LaREM Group]] On these two essential points, the publicity of the debates and the prompt hearing of the Minister of the Interior, no agreement was reached. It is intolerable to slam the door because our exchanges are on Twitter. For my part, I know what I did and what I said. But you should ask yourself, ladies and gentlemen: how is such a clear live-tweet possible? LCP's microphones and cameras, since the leak came from them, were they open? The President of the National Assembly should question himself!
ParlaMint-FR_2018-07-20-E1027.u85	Exactly!
ParlaMint-FR_2018-07-20-E1027.u86	What a fake ass you're doing!
ParlaMint-FR_2018-07-20-E1027.u87	It's the Watergate!
ParlaMint-FR_2018-07-20-E1027.u88	I also ask him to do so. [[Applause on the benches of the FI group. – Exclaims on the banks of the LaREM Group]] For the rest, we see that the majority continues to do everything possible to ensure that as little information as possible comes out of our House on this matter. It is a scandal that, beyond the state scandal, becomes that of the majority.
ParlaMint-FR_2018-07-20-E1027.u89	All right!
ParlaMint-FR_2018-07-20-E1027.u90	I cannot let you say, Mr Bernalicis, that LCP is filming an office meeting of the Law Commission. In fact, the published material was not on the LCP Twitter feed, but on that of a journalist. But it was fed by members of the commission – and you assumed it as far as you were concerned – otherwise we wouldn't have seen names and quotes coming out in quotation marks during the meeting.
ParlaMint-FR_2018-07-20-E1027.u91	Yes! We wonder who it's from!
ParlaMint-FR_2018-07-20-E1027.u92	This is a reality, and it is unbearable. Those who engage in such practices should not be able to participate in such meetings.
ParlaMint-FR_2018-07-20-E1027.u93	I'm the first surprised!
ParlaMint-FR_2018-07-20-E1027.u94	What are you implying, Mr. President? Go to the end of what you say!
ParlaMint-FR_2018-07-20-E1027.u95	Mr Stéphane Little has the floor.
ParlaMint-FR_2018-07-20-E1027.u96	After the committee bureau meeting, I am a little puzzled, and I find it very difficult, quite frankly, to interpret what happened. Since this morning there have been requests from opposition groups for the Prime Minister or the Minister of the Interior to come to the House to explain a case which I repeat is directly related to constitutional reform. Nor did I have a mandate from my group to accept the proposal made in committee, but I took it upon myself to do so in order to break the deadlock. It consisted of bringing the Minister of the Interior tomorrow morning, after we were suspended from work in the sitting. This would have allowed, since everyone was committed to it – as I did on behalf of my group – to resume consideration of the constitutional bill tomorrow afternoon under normal conditions. This, I believe, was an opening in the light of our debates this afternoon. [[Applause on the benches of the GDR, FI and LR groups as well as on a few benches of the NG group. – Exclaims on the banks of the LaREM Group]] Then came the question of in camera. Quite frankly, I do not understand the blocking on this point. I understand it all the less because I have the feeling that the majority, after having been forced a little bit by hand to create a commission of inquiry, creates the conditions to kill her in the egg and have her aborted. Maybe I'm wrong, but that's my explanation. Anyway, I don't see any more!
ParlaMint-FR_2018-07-20-E1027.u97	That's right!
ParlaMint-FR_2018-07-20-E1027.u98	[[Applause on the benches of the GDR, FI and LR groups, as well as on some benches of the NG group]] The Benalla case raises the question of the exercise of power and its abuse. There is something, however, in the attitude of the majority during the committee's bureau meeting, which looks like an excess of power, something that looks like a desire to make the committee of inquiry run out even before it has started its work.
ParlaMint-FR_2018-07-20-E1027.u99	All right!
ParlaMint-FR_2018-07-20-E1027.u100	Mr Marc Fesneau has the floor.
ParlaMint-FR_2018-07-20-E1027.u101	After blocking the consideration of the constitutional bill for twenty-four or thirty-six hours, the commission of inquiry is blocked. I regret it just as much.
ParlaMint-FR_2018-07-20-E1027.u102	We're dealing with multi-blockers!
ParlaMint-FR_2018-07-20-E1027.u103	At one point – and I'm telling everyone, not just the members of the opposition – we have to find a way out. I heard Mr Bernalicis say that he wants the Minister of the Interior tomorrow morning at nine o'clock, and that he also wants the Prime Minister despite everything, otherwise he will continue to block!
ParlaMint-FR_2018-07-20-E1027.u104	That's not what he said!
ParlaMint-FR_2018-07-20-E1027.u105	[[Applause on the benches of the MODEM and LaREM groups]] If you want to block, you have to take responsibility for it, including in front of the public. And before her, we will take note of your willingness to block not only the consideration of the constitutional bill, but also the work of the commission of inquiry. Otherwise, we must try to find a consensus solution. [[Applause on the benches of the MODEM and LaREM groups. – Long exclamations on the benches of the LR and FI groups]] The majority, you will recognize, worked with you, and responded, let's say, to your request to set up this commission of inquiry. But if, at every stage, we find all the ways and means to keep it going, because we don't agree on the date or format, then we have to take it!
ParlaMint-FR_2018-07-20-E1027.u106	All right!
ParlaMint-FR_2018-07-20-E1027.u107	And you, assume to make a commission of inquiry between you! For our part, we want this committee of inquiry to move forward, and we assure it.
ParlaMint-FR_2018-07-20-E1027.u108	Stop! It was already in the press this afternoon that the Minister of the Interior would be heard on Monday!
ParlaMint-FR_2018-07-20-E1027.u109	It's not worth shouting, Mr. Bernalicis, it won't impress me.
ParlaMint-FR_2018-07-20-E1027.u110	Mr Bernalicis, you do not have the floor.
ParlaMint-FR_2018-07-20-E1027.u111	[[Exclaims on the benches of the LR group]] We had a very simple solution: the chairman of the committee would have met the committee tomorrow without meeting the bureau first, after which we would have voted. The chair of the commission is looking for ways of consensus, and you are laying out oukases at all stages! These ways of consensus, we will have to find them, otherwise we will not succeed!
ParlaMint-FR_2018-07-20-E1027.u112	Yes!
ParlaMint-FR_2018-07-20-E1027.u113	[[Applause on the benches of the MODEM and LaREM groups]] It is in your and our interests to bring the commission of inquiry to a successful conclusion, we need the truth to be revealed! However, at each stage, you block: you do not want the constitutional bill to move forward, you do not want the commission of inquiry to move forward: you will have to take on it, at some point! You'll have to take it in front of the French! [[Exclaims on the benches of the LR group]] Our will is twofold: that Parliament should return to a normal pace of work, and that the committee of inquiry should begin to work.
ParlaMint-FR_2018-07-20-E1027.u114	Stop! That's lamentable!
ParlaMint-FR_2018-07-20-E1027.u115	So I propose one thing. If we are looking for a path of consensus, we must be able to find it.
ParlaMint-FR_2018-07-20-E1027.u116	There was a vote in the law committee! We have to respect the procedures!
ParlaMint-FR_2018-07-20-E1027.u117	Mr. Gosselin, a little calm...
ParlaMint-FR_2018-07-20-E1027.u118	[[Applause on the benches of the MODEM and LaREM groups. – "No! » on the benches of the LR group on the benches of the FI group]] I agree with you, Mr. Gosselin, that we must respect the procedures. But you can't make oukases every five minutes! That is not how we create consensus. You cannot tell us that the minister's hearing must take place at nine o'clock and not nine and a half hours, and then at nine and a half o'clock to demand the Prime Minister! If you do this, we can't do it, and you'll have to take care of it.
ParlaMint-FR_2018-07-20-E1027.u119	This commission of inquiry, you want it to fail!
ParlaMint-FR_2018-07-20-E1027.u120	Perhaps I would like to propose that you meet the Bureau again tomorrow before the committee meeting itself, in an attempt to find a solution. We've got to get there, between people who want to move on!
ParlaMint-FR_2018-07-20-E1027.u121	You don't want to move on!
ParlaMint-FR_2018-07-20-E1027.u122	Yes, Mr. Jacob. We've been trying, and that's all we've been doing for forty-eight hours. Who multiplies the rule-of-law reminders? Not us, let me know! [[Exclaims on FI banks]] Mr Bernalicis, you will not sell us the Inquisition under the mask of transparency. When you meet between group presidents, you don't tweet what you say!
ParlaMint-FR_2018-07-20-E1027.u123	That's right!
ParlaMint-FR_2018-07-20-E1027.u124	But he didn't tweet!
ParlaMint-FR_2018-07-20-E1027.u125	It's very good to talk to each other, it's normal...
ParlaMint-FR_2018-07-20-E1027.u126	You're accusing me of tweeting? It's very serious, what you're saying!
ParlaMint-FR_2018-07-20-E1027.u127	Ladies and gentlemen, please.
ParlaMint-FR_2018-07-20-E1027.u128	I didn't say it was you, Mr. Bernalicis! You didn't hear my sentence.
ParlaMint-FR_2018-07-20-E1027.u129	Are you accusing him, Mr. Fesneau? Go to the end of what you say! Go on!
ParlaMint-FR_2018-07-20-E1027.u130	Mrs Obono, only Mr Fesneau has the floor.
ParlaMint-FR_2018-07-20-E1027.u131	I didn't say you were tweeting: I said that, in the appearance of transparency, you were selling us the Inquisition. Mr. Mélenchon listened to the sentence!
ParlaMint-FR_2018-07-20-E1027.u132	Yes, he understands!
ParlaMint-FR_2018-07-20-E1027.u133	You don't have to feel targeted.
ParlaMint-FR_2018-07-20-E1027.u134	You were talking to him!
ParlaMint-FR_2018-07-20-E1027.u135	[[Applause on the benches of the LaREM and MODEM groups]] In any case, I call on everyone to ensure that we can talk without tweeting!
ParlaMint-FR_2018-07-20-E1027.u136	Mr Christian Jacob has the floor.
ParlaMint-FR_2018-07-20-E1027.u137	[[Exclaims on the banks of the LaREM Group]] I would like to respond to Mr Fesneau's comments, because they are not acceptable.
ParlaMint-FR_2018-07-20-E1027.u138	Tell them they're shameful!
ParlaMint-FR_2018-07-20-E1027.u139	[[Applause on the benches of the LR group]] You can't tell anything, you can't distract what's been said. We made a proposal...
ParlaMint-FR_2018-07-20-E1027.u140	They're not proposals, they're oukases!
ParlaMint-FR_2018-07-20-E1027.u141	I wrote to the Prime Minister asking him to hold a debate on this matter under section 50-1 of our Constitution. The letter came to him, I'm waiting for his answer. The Government has the freedom to accept or refuse, but it must express itself: either it refuses to come and intervene in this matter, or it accepts it. It would be important for us to have that answer. That's what's done. For the rest, things are relatively simple. A question arises: the date of the hearing of the Minister of the Interior. My colleagues have made a proposal to the Bureau of the Committee on the Rules of Procedure: ignoring our request to hear the Prime Minister, we agree to resume our work on condition that the hearing of the Minister of the Interior takes place as soon as possible, i.e. tomorrow morning. This seems to me a step forward in relation to our desire to hear the Prime Minister: we needed an agreement to be able to resume our work, here we are. The condition is that the Minister of the Interior be heard in the framework of the Law Commission transformed into a commission of inquiry. It seems to me that this proposal is clear and reasonable, contrary to what Mr Fesneau says, which comes back to self-ignition.
ParlaMint-FR_2018-07-20-E1027.u142	Reasonable, to decide at twenty-three o'clock a hearing at nine thirty o'clock tomorrow morning?
ParlaMint-FR_2018-07-20-E1027.u143	[[Approval on the benches of the LR group]] There is another question, which is absolutely unnegotiable: the transparency of this commission of inquiry. [[Applause on the benches of the LR group. – Mr. David Habib also applauds]] To you who spend your time giving lessons of transparency, I would remind you that, in the transparency law passed a year ago, we imposed very strict constraints on parliamentarians, but you refused that members of ministerial cabinets should be involved. You're the one who opposed it. [[Applause on the benches of the LR group. – Exclaims on the banks of the LaREM Group]] See where this has led us: that a barbouze – there is no other word – of twenty-six years has a salary of 10000 euros per month, an office accommodation and a function car with driver! He's better paid than the Director General of the National Police! That's the situation!
ParlaMint-FR_2018-07-20-E1027.u144	Do you support that?
ParlaMint-FR_2018-07-20-E1027.u145	Aren't you ashamed?
ParlaMint-FR_2018-07-20-E1027.u146	And you don't think there's a problem? And we need to debate it in camera, hidden, so that public opinion is not informed? You who are for transparency, have a little courage! Assume!
ParlaMint-FR_2018-07-20-E1027.u147	We're here!
ParlaMint-FR_2018-07-20-E1027.u148	Accept to be faced with public opinion! Accept a public debate! [[Applause on the benches of the LR group. – Mrs Emmanuelle Ménard also applauds]] These are our proposals: two very reasonable proposals which would have allowed us to resume our discussions. You won't? Well, we will continue to make points of order on the proper conduct of the sitting, that's all!
ParlaMint-FR_2018-07-20-E1027.u149	All right!
ParlaMint-FR_2018-07-20-E1027.u150	Mr Jean-Luc Mélenchon has the floor.
ParlaMint-FR_2018-07-20-E1027.u151	It is my turn to tell you that, always in the idea of finding in the institutional mechanism a way out of our difficulties...
ParlaMint-FR_2018-07-20-E1027.u152	Of course!
ParlaMint-FR_2018-07-20-E1027.u153	[[Rires on the benches of the LR group]] ... and as I mentioned earlier, I also wrote to the Prime Minister under Article 50-1 of the Constitution. The message was carried and delivered to him, if not in his own hands, at least in reliable hands.
ParlaMint-FR_2018-07-20-E1027.u154	Warf, warf, warf, warf, warf, warf,
ParlaMint-FR_2018-07-20-E1027.u155	Now it is up to the Government to answer us. If we do this, it is because we heard the President of our Assembly tell us that he had requested the intervention of the Government, as was evident from a President of the National Assembly. We fully understand that the ties between him and the majority prevent him from doing more. So we took responsibility ourselves, and in writing. We await the response of the Government. Perhaps Mrs Belloubet will be allowed to let us know in the evening: she is a member of the Government and, if one understands her reservation on a case initiated, she is still not out of the political field; So she's in a position to answer us, or she'll be. There can be no explanation for the fact that we do not have an answer. I ask you, ladies and gentlemen, to take stock of the moment and the place. That brings me to a second point. Ladies and gentlemen, we are not pursuing a secret policy.
ParlaMint-FR_2018-07-20-E1027.u156	No, no...
ParlaMint-FR_2018-07-20-E1027.u157	[[Murmures on the benches of the LaREM group]] Never. Not out of angelism, but because we do not believe in the effectiveness of such a policy. Therefore, I attest to the honour that none of the members of my group have lived-tweet the meeting that took place earlier. On the honor!
ParlaMint-FR_2018-07-20-E1027.u158	Oh, no, he only passed on information!
ParlaMint-FR_2018-07-20-E1027.u159	Mr. Bernalicis was questioned and charged. That's my answer, do what you want. It is not our political line at this time to use such practices. I would also like to say to the President that my colleagues' remarks were in no way directed at him. We do not believe that the President of the House has decided to make public what is happening in the committee. This is obviously an absurd accusation, Mr. President. I would like to point out, if there is any ambiguity, that we do not accuse you of that. However, there is still a problem. The truth is that all the content of the debate, as it took place, was known outside. I don't know what to do with this information, but I think it deserves better than the way we tear each other apart when no one here is responsible for the situation.
ParlaMint-FR_2018-07-20-E1027.u160	Let's see!
ParlaMint-FR_2018-07-20-E1027.u161	A barboze in the commission room?
