ParlaMint-FR_2018-07-21-E1028.u1	The meeting was suspended.
ParlaMint-FR_2018-07-21-E1028.u31	...and that's so much better. [[Applause on the benches of groups FI and LR]] It would have been necessary for the night to give advice to each other, so that they would not see each other rewriting the story because, since the beginning of this affair, everything that is a step forward to bring the truth to light, must be torn from the majority. We will continue to tear away everything that needs to be to make the truth about this case. I therefore thank you, Mr President, for your comments on the publicity of the debates, which has indeed been voted unanimously minus two abstentions – or one abstention, if one counts per parliamentary group. While we are pleased that the principle of publicity of debates has been accepted, we have, however, been struggling for two days with the words of the majority, whose positions vary – first white, then black, then grey. I'm waiting to see! With regard to the list of hearings, the majority proposed to hear personalities whose names had also been indicated by Guillaume Larrivé, but let us not be mistaken: it is the people whom the majority has decided to audition that will be heard, no more or less. It was this list that would have been validated even if Guillaume Larrivé and the representatives of the other groups had not made any proposals. This is a major problem for this committee of inquiry, after the failure of its bureau meeting yesterday. While a trans-party dynamic had been validated here, according to which the legislative power was organizing itself to carry out its mission of evaluating and monitoring the executive, we returned this morning to an authoritarian operation of the majority which is right anyway, because it is the majority. [[Rites and exclamations on the banks of the LaREM and MODEM groups]] The nature and state of mind of this commission of inquiry have therefore clearly changed, which we regret because it is necessary to order: we must stop with this permanent disorder,... ... with this tumult, these twists – the majority asking for closed hearings, then accepting public hearings, speaking, then not speaking, refusing a commission of inquiry, and then declaring that they do not object. We have to put this in order, a republican order!
ParlaMint-FR_2018-07-21-E1028.u32	He really dares everything!
ParlaMint-FR_2018-07-21-E1028.u33	In fact, I would remind you that two requests were made, both by President Jacob and President Mélenchon, to hear the Prime Minister not only before the committee of inquiry but above all in the Chamber, for political reasons, under Article 50-1 of the Constitution. If Mr Philippe must also be heard by the committee of inquiry, it is because he was involved, together with Gérard Collomb, Alexis Kohler and Patrick Strozda – in particular – in the crisis cell created especially for 1 May. Very nice pictures were taken on this occasion, showing that everyone was on the bridge and kept up to date, minute after minute, the head of state, who kept his phone close to him, in Australia – storytelling was perfect. This is at least the information of the article by the daily newspaper Le Parisien, which has not been denied in this House. Finally, why are Alexandre Benalla, Vincent Crase or Philippe Mizerski – the latter's identification took a little more time – not on the list of people being interviewed? Ladies and gentlemen of the majority, you are telling us that we cannot hear them because legal proceedings are under way. [[Applause on several benches in the LR group]] First, Mr Cahuzac had been heard in the committee of inquiry which dealt with everything surrounding the case concerning him.
ParlaMint-FR_2018-07-21-E1028.u34	That's right!
ParlaMint-FR_2018-07-21-E1028.u35	Secondly, there is the separation of powers. It's not up to us to self-censor.
ParlaMint-FR_2018-07-21-E1028.u36	Absolutely!
ParlaMint-FR_2018-07-21-E1028.u37	[[Exclaims on the banks of the LaREM Group]] If we want to audition a person, we ask. If the judicial authority objects, it must make it known. Point. Each has its own role, each has its own powers. This led us to ask that Emmanuel Macron be heard by the committee of inquiry. Of course, the President of the Republic is not accountable to Parliament. He may refuse to come, but nothing in the Constitution prevents him from accepting to come before the commission of inquiry.
ParlaMint-FR_2018-07-21-E1028.u38	Yes, he's not allowed to come in here!
ParlaMint-FR_2018-07-21-E1028.u39	[[New exclamations on the banks of the LaREM Group]] We'll say it as many times as we need to. And if we also have to ask Brigitte Macron to come, we will.
ParlaMint-FR_2018-07-21-E1028.u40	Thank you for closing, Mr. Bernalicis.
ParlaMint-FR_2018-07-21-E1028.u41	[[Applause on the benches of the FI and GDR groups]] Thirdly – and I will end with that, Mr President – with regard to the organisation of our work and the debates at the meeting of the Committee on Laws, this morning I experienced an amazing situation: it was at the end of the meeting, at the rescue, that we were reassured that all Members could be present and ask questions. However, the framework for our future work should have been the starting point for our discussion, followed by publicity, and then the organisation of hearings. This morning's committee did not decide on any timetable: I wanted to remind you that, in order to make your storytelling appear, everything has been decided unanimously.
ParlaMint-FR_2018-07-21-E1028.u42	All right!
ParlaMint-FR_2018-07-21-E1028.u43	Thank you, ladies and gentlemen, for sticking to a five-minute speaking time. Mrs Isabelle Florennes has the floor.
ParlaMint-FR_2018-07-21-E1028.u44	On behalf of the Group of the Democratic and Related Movement, I would like to say that we are pleased with the agreement reached this morning on the first point, which we felt was important. Like all of you, ladies and gentlemen, we are concerned about the transparency of the debates, which must characterize the committee of inquiry.
ParlaMint-FR_2018-07-21-E1028.u45	Let's just say you've agreed with us!
ParlaMint-FR_2018-07-21-E1028.u46	On this point, the discussions were interesting and serene. This is a good thing because it was necessary for us to reach agreement on this point. With regard to the hearings, I would like to point out that the Chairman and Co-Rapporteur of the Committee on Laws has proposed a good method of asking the groups to forward to the committee the proposals of personalities to be heard, while beginning the hearings on Monday. It is urgent that we start working, and we are pleased to be able to do so. The programme of hearings can be enriched as and when. It is also important to maintain this flexibility, as it is necessary to place it on all commissions of inquiry. [[Applause on the benches of the MODEM and LaREM groups]] As a result of these discussions, we wish to be able to resume the discussions on the draft constitutional revision in a calm manner. Some amendments are very much expected.
ParlaMint-FR_2018-07-21-E1028.u47	Mr Stéphane Little has the floor.
ParlaMint-FR_2018-07-21-E1028.u48	[[Applause on the benches of the GDR, NG and FI groups]] I too welcome the progress made this morning at the committee meeting, while regretting the fact that it took several hours for the oppositions to obtain the establishment of this committee of inquiry and for what seemed obvious and regulatory to us – that is, the public nature of the hearings –, rejected yesterday by the majority, to finally be accepted. All this represents a great deal of lost time, and these hesitations are damaging.
ParlaMint-FR_2018-07-21-E1028.u49	Exactly!
ParlaMint-FR_2018-07-21-E1028.u50	One of the challenges of this commission of inquiry will be whether we are dealing with the wanderings of one or two people or whether a militia or parallel police had been set up as a system by the majority party in Elysée.
ParlaMint-FR_2018-07-21-E1028.u51	Yes!
ParlaMint-FR_2018-07-21-E1028.u52	That's the real question. The hearings must allow us to shed light on this fundamental aspect of the case. From this point of view, the chain of command of the Elysée, that of the Ministry of the Interior and, of course, the leaders of the party The Republic on the move must be able to be heard. Furthermore, since the scope of the commission concerns the demonstration of 1 May, I would not understand that the union organizing the rally, which was the victim of the violence and problems in command of the maintenance of the order on that day, namely the CGT and its police service, are not being heard by our committee of inquiry. So I proposed this morning that they be heard. [[Applause on the benches of the GDR, FI and LR groups]] Finally, as you all know, ladies and gentlemen, in the area of police, trade unions are often given a role close to that of spokesperson. This was done under all governments. We therefore hope that all police unions can be heard in this committee of inquiry. We believe that these hearings are necessary for the manifestation of the truth.
ParlaMint-FR_2018-07-21-E1028.u53	Mr Jean-Christophe Lagarde has the floor.
ParlaMint-FR_2018-07-21-E1028.u54	In the normal functioning of social and political life, institutions must naturally be respected, but they are not indispensable. They are, on the other hand, when we are going through a crisis such as the one we are experiencing, because it is their implementation that must enable us to get out of it. This is the position of the IDU, Action and Independent Group. The fact that the National Assembly has been blocked for 48 hours now does not help resolve the crisis. It was blocked for very simple reasons. First, because it was legitimate and logical for a member of the Government who could speak on the matter to come here to assume political responsibility and explain his intentions, as was the case in the Senate. Secondly, because the opposition was entitled to a commission of inquiry, which the majority eventually conceded. Finally, because it was clear last night that, in order to guarantee the French that our institution works, that is, that it will bring them the truth, transparency and proposals to avoid such scandal in the future, all this had to be public. Not a Frenchman would have understood that we were holding the hearings in camera. In this respect, last night's discussions were very surprising not only because the public hearing is by law and behind closed doors, the exception, but also because transparency is the only thing that the French can expect from our institution which, until then, is not affected by this scandal. It is the executive power that is reached, and it is the legislative power that must guarantee transparency to the French. That is why, after the developments – sometimes also the annoyances – that we have observed, not only is the committee set up and the hearings will all be public except – I repeat our group's position on this – if one interested person so requests and if the committee considers it legitimate. [[Applause on all benches]] I now ask the committee that the hearing of police officers take place under different conditions: one can make their voices heard but not show their faces. Indeed, ladies and gentlemen, remember the Magnanville case: the national police are still traumatized by what has happened. We do not need to publicly expose the faces of the police, but simply to hear their voices. [[Applause on the benches of the UDI-Agir group and on several benches of the LaREM and MODEM groups]] As long as transparency is assumed, assured and hearings can take place, although there is still a disagreement on the level of the officials interviewed, our institution must be able to resume its operation, including in this Chamber. First of all, ladies and gentlemen, because if you want to refuse a hearing that seems legitimate and necessary, once again, the pressure of public opinion will force the majority to organise it.
ParlaMint-FR_2018-07-21-E1028.u55	That's right!
ParlaMint-FR_2018-07-21-E1028.u56	Conversely, illegitimate requests for hearings, which would be made to prosecute only in the political field and to block the institution, will be condemned by public opinion. For example, as I expressed in the Committee on Laws, it seems to me essential to hear very quickly the Chief of Staff of the President of the Republic, because his deputy is at the origin of the crisis. At this stage, however, I do not see the usefulness of hearing the Secretary-General of the Elysée and Mr Castaner, as head of the Republic on the move.
ParlaMint-FR_2018-07-21-E1028.u57	All right? Who do you think decided in this case?
ParlaMint-FR_2018-07-21-E1028.u58	I also think it is necessary to hear the military command of the Elysée.
ParlaMint-FR_2018-07-21-E1028.u59	You're not the one who decides!
ParlaMint-FR_2018-07-21-E1028.u60	The glass is half empty and it suits you!
ParlaMint-FR_2018-07-21-E1028.u61	Naturally, everyone has the right to express his or her views and opinions. We also need to hear the spokesman for the Elysée, some of which have proved inaccurate.
ParlaMint-FR_2018-07-21-E1028.u62	You can even say he lied!
ParlaMint-FR_2018-07-21-E1028.u63	That is what the IUD, Action and Independent Group would consider reasonable and capable of enabling our institution to return to normal functioning, which I believe is desirable. We are gathered as a constituent. We have a duty to learn from this crisis. Abuse of power stems from the fact that certain powers are excessive and insufficiently counterbalanced. That is what is happening in the French Republic. As I have already said, France is, in the Western world, the democratic country in which the President of the Republic has the most power and Parliament, the least power. I hope that we will continue our consideration of the constitutional bill and seize this opportunity to rebalance powers and protect against abuse of power.
ParlaMint-FR_2018-07-21-E1028.u64	It's the opposite! They want to weaken Parliament!
ParlaMint-FR_2018-07-21-E1028.u65	[[Applause on the benches of the UDI-Agir group and on several benches of the LaREM and MODEM groups]] This is, in our view, the duty of the National Assembly once the commission of inquiry has been set up, hearings are planned and all the French will be able to know the truth, since there will be no secret or in camera.
ParlaMint-FR_2018-07-21-E1028.u66	Mrs Marine Le Pen has the floor.
ParlaMint-FR_2018-07-21-E1028.u67	At least one thing is certain in the state of our knowledge of the case: Mr Benalla did not act alone; They were several, on May 1st, and they were many to have known of the offences that seem to have been committed. These elements alone justify the fact that the commission of inquiry can conduct as wide a hearing as possible, and without limiting itself to the facts of 1 May, what seems to be the desire of the Republic on the move – we understand them, they try to circumscribe the fire, but the best way to stir up the embers and get it back is precisely to give the feeling that you do not want truth and transparency in this matter. Some people have had exorbitant powers: who gave them? They got pass-rights: who granted them? They have been given hierarchical and political protection: who has granted it to them? Secondly, there are very heavy suspicions of parallel police, political police, not only on 1 May, but on a series of occasions during which Mr. Benalla, and even Mr. Crase, tried to exercise the authority that is normally the responsibility of our Republican law enforcement agencies. It is so true that the newspapers are full of examples of friction between police or gendarmes and this team, which was arrogating itself with undue powers, being protected by each other. [[Applause from non-attached Members]] It is, of course, essential to shed light on these actions that undermine our rule of law, our democratic and republican functioning. It would be good if the Republic in progress stopped obstructing the revelation of the truth.
ParlaMint-FR_2018-07-21-E1028.u68	Mrs Naïma Moutchou has the floor.
ParlaMint-FR_2018-07-21-E1028.u69	My vision is a little different from yours: I see the glass half full rather than half empty. First of all, the Law Commission, which had the powers of a commission of inquiry, was convened in extremely rapid time, in a record time – this was never done under the Fifth Republic.
ParlaMint-FR_2018-07-21-E1028.u70	Let's see!
ParlaMint-FR_2018-07-21-E1028.u71	It still took twenty-four hours!
ParlaMint-FR_2018-07-21-E1028.u72	It's the case that's never been seen before!
ParlaMint-FR_2018-07-21-E1028.u73	Yes, what has never been seen under the Fifth Republic is that a collaborator of the President of the Republic will hit demonstrators!
ParlaMint-FR_2018-07-21-E1028.u74	[[Exclaims on the benches of the LR group]] Its creation was voted unanimously by law commissioners, including the majority. We agreed on what was so far hard points: the hearing of the Minister of the Interior, Minister of State – it will be heard on Monday morning – the principle of public debate...
ParlaMint-FR_2018-07-21-E1028.u75	It's obvious!
ParlaMint-FR_2018-07-21-E1028.u76	...– the co-rapporteur recalled it –,...
ParlaMint-FR_2018-07-21-E1028.u77	Go on, Mrs. Moutchou.
ParlaMint-FR_2018-07-21-E1028.u78	She's telling us a fable!
ParlaMint-FR_2018-07-21-E1028.u79	... those interviewed who may, if necessary, request to be heard in camera; In this case, the committee will have to decide.
ParlaMint-FR_2018-07-21-E1028.u80	Once the majority has deliberated with itself!
ParlaMint-FR_2018-07-21-E1028.u81	As far as hearings are concerned, I also want to be optimistic. We agreed on almost ten names. For the rest, the groups will be able to propose other names and we will have every opportunity to rule over the water, depending on the first hearings and in accordance with the legal framework – let us not forget this: the argument is often swept away by a turn of hands, but I would remind you that a preliminary investigation is under way, the courts are seized. However, it would be a great deal for the legislator not to respect the law or the Constitution.
ParlaMint-FR_2018-07-21-E1028.u82	Speak for yourself!
ParlaMint-FR_2018-07-21-E1028.u83	What about the separation of powers?
ParlaMint-FR_2018-07-21-E1028.u84	We are all driven by the same desire to shed light on the facts. The Law Commission, which is investigating, has started work.
ParlaMint-FR_2018-07-21-E1028.u85	We ripped him out of the forceps!
ParlaMint-FR_2018-07-21-E1028.u86	[[Applause on several benches of the LaREM group and on a few benches of the MODEM group]] In view of these many points of convergence, it seems to me that all the ingredients are gathered to restate the work on constitutional revision, a reform that engages us all.
ParlaMint-FR_2018-07-21-E1028.u87	It was the opposition that imposed transparency!
ParlaMint-FR_2018-07-21-E1028.u88	Mr Philippe Gosselin has the floor.
ParlaMint-FR_2018-07-21-E1028.u89	[[Exclaims on the banks of the LaREM Group. – Applause on the benches of the LR group]] We all share on these benches the will to establish the truth. We welcome the fact that the committee has been able to reach an agreement, not without difficulties. First of all, it was difficult to set up this commission: the majority had to be won,...
ParlaMint-FR_2018-07-21-E1028.u90	Exactly!
ParlaMint-FR_2018-07-21-E1028.u91	But at last! It took forty-eight hours in all and for everything!
ParlaMint-FR_2018-07-21-E1028.u92	...and without the various media revelations, we wouldn't be there. Then I was surprised, like others last night, that you could claim transparency while closing the doors for the committee's work. Transparency was essential; We owe it not only to our fellow citizens but also to the presidency of this House, in the name of respect for its authority. Indeed, the President had made a very clear commitment to advertising.
ParlaMint-FR_2018-07-21-E1028.u93	All right!
ParlaMint-FR_2018-07-21-E1028.u94	I don't know what we'd go back in the name of. We have noted a number of points of agreement – we must welcome this, in the interests of the general interest – but of course there are still disagreements on names: if there is no question of convening hundreds of people for hearings that would last for hours and hours, we must hear officials, personalities at the top of the hierarchy, who know all the elements better than others, because of their position – I am thinking in particular of the Secretary-General of the Elysée. There are, of course, other people, first of all the principal concerned, whose name we all have in mind. It would be inconvenient, unimaginable that it could not be heard by the committee.
ParlaMint-FR_2018-07-21-E1028.u95	Of course!
ParlaMint-FR_2018-07-21-E1028.u96	As early as Monday, the Minister of the Interior will come to testify. And I remind, so that no one knows, that the auditions take place under oath. In other words, anything that could be said and that would not be the truth is subject to perjury.
ParlaMint-FR_2018-07-21-E1028.u97	Yes! It's very important!
ParlaMint-FR_2018-07-21-E1028.u98	He'll give it to those who will lie!
ParlaMint-FR_2018-07-21-E1028.u99	Everyone has these elements in mind. We will have to work intensely and quickly. The first hearing will take place on Monday at 10 a.m. It's already a little late compared to what was originally envisaged.
ParlaMint-FR_2018-07-21-E1028.u100	Absolutely! It's good to call him back!
ParlaMint-FR_2018-07-21-E1028.u101	We lose all weekend, but let's admit: we're not going to restart the mechanics. We take responsibility for it.
ParlaMint-FR_2018-07-21-E1028.u102	So do we!
ParlaMint-FR_2018-07-21-E1028.u103	This point has been acted on, our group does not dispute it. Another hearing is scheduled to take place at 2 p.m. However, we cannot be content with one or two hearings a day. In addition, it was also decided that the public sitting, on texts falling within the competence of the Law Committee – constitutional review but also draft law on asylum and immigration – could not be held in parallel with the hearings. We are talking about dozens of hearings, which will take place for about fifty to sixty hours. Under these conditions, it is the whole program of the coming days and weeks that falls into the water. Even if this afternoon and this night we are debating the revision of the Constitution, we cannot in any way proceed to the solemn vote on the text on Tuesday at seven o'clock.
ParlaMint-FR_2018-07-21-E1028.u104	He's right!
ParlaMint-FR_2018-07-21-E1028.u105	This is all the more true since at 16:00 on Monday, the bill for the freedom to choose one's professional future is scheduled for re-reading. The Law Committee is scheduled to meet Tuesday afternoon to hear from the Keeper of the Seals and Wednesday morning to discuss bioethics – another important topic. In short, the shooting window is a little narrow and we need to see clearly about the organisation of our debates, not only in the hours, but also in the weeks to come.
ParlaMint-FR_2018-07-21-E1028.u106	All right!
ParlaMint-FR_2018-07-21-E1028.u107	[[Applause on the benches of the LR, FI and GDR groups as well as among non-attached Members]] That is why, Mr President, very officially, I am asking for the meeting of the Conference of Presidents to take note of the new agenda, which obviously stems from the events of the last few days.
ParlaMint-FR_2018-07-21-E1028.u108	All right! These are responsible people!
ParlaMint-FR_2018-07-21-E1028.u109	It's not an obstruction. Everyone will have at heart, majority as opposed, to know the objectives in terms of the organization of the debates, the texts that will be examined or not – it will probably be necessary to make choices, unless a new decree calling for an extraordinary session or an extension that would lead us until mid-August or the end of August. It would be good to know so that everyone can cancel their holiday reservations, remind their employees and manage the various aspects related to the labour code. I am also thinking of the collaborators and agents of the National Assembly who, like us, need a little visibility. Of course, we are legislators, we control the action of the Government, we evaluate public policies, but we are also employers and we have our private life to organize.
ParlaMint-FR_2018-07-21-E1028.u110	That was before!
ParlaMint-FR_2018-07-21-E1028.u111	[[Applause on the benches of the LR and FI groups]] No one refuses the job, but everyone needs to organize themselves. We hope that today a Conference of Presidents can be convened.
ParlaMint-FR_2018-07-21-E1028.u112	All right!
ParlaMint-FR_2018-07-21-E1028.u113	Your request has been heard, Mr. Gosselin. We will provide an answer. Mrs Cécile Untermaier has the floor.
ParlaMint-FR_2018-07-21-E1028.u114	On behalf of the New Left Group, I believe that we are moving in the right direction and I welcome it. The commission of inquiry was finally set up – and that is a very good thing. I would like to thank the President of Rugy for saying, in words that have counted, that publicity is necessary. So we got it. We could have avoided heated debates on this last night.
ParlaMint-FR_2018-07-21-E1028.u115	Yes!
ParlaMint-FR_2018-07-21-E1028.u116	When it comes to in camera, of course, some people will have to be interviewed in this context, but we need to be very careful. Individuals may be encouraged to systematically request and be granted a hearing in camera. The president and the co-rapporteur will have to reassure us on this point. As far as the list of persons interviewed is concerned, there is a very large gap between that of the majority and that of the Republicans.
ParlaMint-FR_2018-07-21-E1028.u117	Yes!
ParlaMint-FR_2018-07-21-E1028.u118	We did not speak because we did not have a list in our hands. At this stage, we must transmit very quickly – from 14 hours – the lists of people we want to hear and decide on this point.
ParlaMint-FR_2018-07-21-E1028.u119	The scope of the hearings must be as wide as possible!
ParlaMint-FR_2018-07-21-E1028.u120	It is absolutely essential to ensure that the committee of inquiry is not an illusion and that it will be able, through the hearings it considers useful to hold, to shed light on events which are creating a great trouble at present. There is a need to speed up and agree on a common list.
ParlaMint-FR_2018-07-21-E1028.u121	That's right!
ParlaMint-FR_2018-07-21-E1028.u122	Exactly.
ParlaMint-FR_2018-07-21-E1028.u123	[[Applause on the benches of the NG, FI and LR groups]] We cannot set up a commission of inquiry and consider that Mr Benalla is not invited, nor is Mr Crase, the victims of Mr Benalla, or the police unions, who have expressed their concern on several occasions. Is it not desirable to draw up a list from 14 hours onwards which is not infra-minimal, like the one proposed by the majority, in order to be able to start much more serenely the work of a commission of inquiry which will play its full role?
ParlaMint-FR_2018-07-21-E1028.u124	Excellent proposal!
ParlaMint-FR_2018-07-21-E1028.u125	It's about our institutions. It's not nothing to convene a commission of inquiry. We must ensure that its work is publicized, but we must also organise hearings that could shed some light on it. [["Very fair! » on the benches of the LR group]] On the other hand, I believe that the list of hearings should not be finalized.
ParlaMint-FR_2018-07-21-E1028.u126	Exactly!
ParlaMint-FR_2018-07-21-E1028.u127	I say this from experience: the committee of inquiry into the Cahuzac case, of which I was a member, finally found it appropriate to hear one person or, on the contrary, to waive the hearing of another, which we had envisaged. We need flexibility and freedom in our work. That is the meaning of a commission of inquiry; If you don't, you don't have to do it. Finally, I agree with Mr Gosselin's comments on the organisation of our legislative work: we no longer know where we are going.
ParlaMint-FR_2018-07-21-E1028.u128	It's a drunk boat on every floor!
ParlaMint-FR_2018-07-21-E1028.u129	The immigration bill is on the agenda next week. Even if we sit tomorrow Sunday, we will probably not be able to vote on the constitutional bill on Tuesday.
ParlaMint-FR_2018-07-21-E1028.u130	It's obvious!
ParlaMint-FR_2018-07-21-E1028.u131	[[Applause on the benches of the LR group]] Can we not reasonably review the planning of all legislative work? The legibility of legislative work is, moreover, one of the recommendations of the majority itself, which intends to introduce provisions on this subject into the Constitution.
ParlaMint-FR_2018-07-21-E1028.u132	That is what you are telling us, ladies and gentlemen of the majority!
ParlaMint-FR_2018-07-21-E1028.u133	[[Applause on the benches of the NG, GDR, FI and LR groups]] We cannot come to the Chamber every day without knowing what we are going to do about it.
ParlaMint-FR_2018-07-21-E1028.u134	Excellent!
ParlaMint-FR_2018-07-21-E1028.u135	All the groups spoke. Several speakers raised the issue of the agenda. It is clear that some practical conclusions need to be drawn from the fact that the review of the constitutional bill is currently blocked – I refrain from commenting on the reasons for this situation. I will, of course, consult now to see how we can organize our work. We will of course do so as seriously as possible, Mr Gosselin, without agitating unrealistic solutions.
ParlaMint-FR_2018-07-21-E1028.u136	Next meeting, this afternoon, at 3 p.m.: Further discussion of the constitutional bill for a more representative, accountable and effective democracy. The meeting is adjourned.
