ParlaMint-NO_2018-05-15.ana.ud217e85	The representative, Petter Eide, will put forward a proposal for a representative.
ParlaMint-NO_2018-05-15.ana.ud217e852	The representative Kjersti Toppe has drawn up the proposal to which she referred. It's going to be line change.
ParlaMint-NO_2018-05-15.ana.ud217e859	Torbjørn Eggebø, head of the National Treatment Service for Advanced Invasive Foetal Medicine, says in the Medisin Day that all women should be offered early ultrasound. He goes on to say that the 38-year limit was set in 1983, based on how many foetal water tests the health care system had the capacity to perform. Gynecologist Peter Molnar of the Majorstua Clinic states the following: «In the 15 years I have worked with ultrasound in Norway, I have noticed an explosive increase. Very many pregnant people use early ultrasound, at least in the cities where the offer is large.» Is the representative Toppe concerned that women in districts do not receive an equivalent health offer as women in cities?
ParlaMint-NO_2018-05-15.ana.ud217e869	No, I'm not at all concerned about that, because the health supply in the cities that the representative is talking about is not a real health supply. It is not an offer that will ensure better health for mother and child. In my first period at Stortinget, this was a big deal. Then there was a Minister from the Labour Party who organized a large consensus conference, because there were so many trade unions that meant different things. Some trade unions were overestimated about one thing, others said the opposite. They organised a large consensus conference, and the report agreed that it was not advisable to introduce this as a routine offer for healthy pregnant women, because it had no health benefits for mother and children. That's what I'm still supporting, and I'm really sure that's still the right thing to do.
ParlaMint-NO_2018-05-15.ana.ud217e874	As the representative Toppe was inside his post, the Centre Party is the only party that does not want a Child Care Certificate. But in the rationale, the representative elegantly overlooks the fact that we are now talking about pregnancy where the state and the public are an organizer, unlike most people, who do it by the nature method. She also does not reflect that an adoption imposes similar requirements. I have followed this debate carefully, for there have been good arguments in both directions. But I particularly noticed in the head of the Biotechnology Council, who thought it was a good idea that we now made as strict demands as becoming a mother and a father as an already committed to becoming a football coach. Does the representative Toppe think it is special that one argues so strongly against such a certificate, as one actually must have in many other parts of society?
ParlaMint-NO_2018-05-15.ana.ud217e882	I admit this is a not entirely simple debate. It's an assessment -- that's argument for, and that's argument against. We've made it clear that it's not as easy as comparing a police certificate for a football coach. This is a treatment provision for couples who have a disease, and it will not be fully comparable. We could have been on a child care certificate, but I thought what was proposed by the government is so extensive. If one in his previous life has had a conviction for drug crime, should one not then be entitled to assisted conception? I thought there would be a hard border there, and that's the main reason why we're voting against what is now being proposed by the government.
ParlaMint-NO_2018-05-15.ana.ud217e889	I thank you for the introduction to the representative Toppe, who places his party where I expected to find it – on a conservative basis, albeit something old-fashioned. Then I want to correct an obvious misunderstanding. It's not like the left goes in for mitochondria donation -- we don't. But my question is related to assisted fertilization for lonely. Does the Central Party not see the dilemma that those who are interested in it today just need to sit on the Danish ferry to get an anonymous donor to their child?
ParlaMint-NO_2018-05-15.ana.ud217e898	Thank you for calling me an old-fashioned conservative. I'm often owed to be both radical and socialist, so that's what it is. To this end, one can go on a Danish journey: It is a good comment at the beginning of the committee setting, where one says that one can get an offer in another country, not be decisive for how to make it to our law. Then it almost didn't make sense to have a biotechnology message and a private law. We have to mean what Norway thinks is good for our health care and our inhabitants. So it will always be so that one can travel abroad and get a different offer, and especially in this field. I think we have to look away from it and determine what we think is the right thing.
ParlaMint-NO_2018-05-15.ana.ud217e905	Replicate cord shift complete.
ParlaMint-NO_2018-05-15.ana.ud217e910	We make laws and regulations to secure people's lives and create a good society for everyone. Today we are on the wrong road. Health inequalities are increasing. There are now eight years' difference in life expectancy between the best and worst urban areas in Oslo. The differences in power and wealth are increasing under this government, and it affects our health. Where differences go down in the rest of Europe, they increase in Norway just because we have a blue government that has chosen a policy that affects the many but helps the few. That is why it is important to discuss the biotechnology notification, that SV wants to have a principle on its back, and that is the opposite, that it should be a policy for the many, not for the few. New technology offers great opportunities, but often it's very expensive. This means that if it is left to a private market, only a small elite will have access to important treatment. Then there is a responsibility for us here at Stortinget to consider what everyone should have access to, and how we should regulate it, that we stop things that could harm society. One of the things that can be very daunting about biotechnology is that we can't just get growing class differences today, which we have under this government, but we can sement the differences in our biology itself. If we have private gene therapy against something that's hereditary, the richest can pay to genetically modify their offspring to be superior to everyone else. That's why SV is very happy that we have with all the other parties to say no to being allowed to do re-doping, i.e. private use of money to improve the genes of their offspring, and that it should not be allowed to create heritable changes – which will result in an upper class that is not only rich and gets more tax cuts from the government today, but which increases the differences, generation after generation. In order to bring down the differences, it's also important that we provide medical help to all those who can't afford to pay off their own pockets and travel around the world to get help. It is a public responsibility to ensure equal access to medicine. That's why SV is happy that we're now going to be clearer about opening up important gene therapy where it can save lives, that we're not ethically opposed to mitochondrial donation, but that we have to wait until it's medically possible to do so. But we don't think the code should shut down anything that can save many lives. Perhaps this will not be done in Norway at all, but that we will cooperate with the United Kingdom – which has already started – when they get better. But we believe that our legislation must be used to ensure equal access to medical treatment for people who need it, regardless of the size of the wallet. Therefore, we will also have research on fertilised eggs, which can provide knowledge that can save lives, but then with strong and strict limitations. Then SV is also a feminist party. The female body can give life, and there's always someone who wants to exploit and override. Therefore, SV will maintain the ban on surrogati in Norway. We are on the proposal to stop the exploitation of women in the international surrogatiindusty, and we are proposing measures to stop the use of commercial surrogati abroad. We are for PGD and testing like the NIPT test – because it is cheaper and better and stops forced late away, which is much worse – if women first want it. We want women themselves to have the right to determine their own bodies. That's why we want to give knowledge, and we think it's wrong to reject the woman's knowledge, but we support more help. We think that's the right way to ensure diversity and opportunities in society, like that. the fight SV ran for the care allowance, which makes it possible to have sick children. Because we are in favour of diversity in society – but through help, not by depriving knowledge. We're in favour of egg donation with excess eggs, and sperm donation and assisted fertilization to lonely, because we think it's good with more love and more children, if the parents have care. Finally, I will take up a serious matter. It is that the government parties and the Workers' Party will now remove the requirement for gene therapy approval under the Biotechnology Act. This is very serious, because until now there has been an agreement that gene therapy and how we should do it in Norway should be managed from Norway. Instead, they will move this to EMA in Europe, while in SV we believe that Norwegians should be governed by the Norwegian people and from the Norwegian big business. Then I would like to comment on the proposal No. 17 and 18 from SV, and indicates that SV will support the Workers' Party's loose proposals.
ParlaMint-NO_2018-05-15.ana.ud217e931	The representative Nicholas Wilkinson then addressed the proposals to which he referred. It's going to be line change.
ParlaMint-NO_2018-05-15.ana.ud217e938	Taking a choice to donate an egg or semen is a deep personal choice. When SV wants to limit egg donation to excess eggs from couples who themselves have had problems with fertility, I wonder what the representative from SV thinks about the pressure you can feel to donate their excess eggs just because you were incidentally infertile yourself. Isn't this a big burden to put on a small group?
ParlaMint-NO_2018-05-15.ana.ud217e943	This was a very strange argument, I think, as the Workers' Party also wants to open up for people to donate excess eggs. So the same question I can put back to the Workers' Party. There is a shortage of eggs in all countries that have open egg donation. We're facing the same challenge. Yes, it's difficult, but it's like today that we don't have enough knowledge, we mean -- and many people in the hearing answers too -- to know exactly how egg donation and the heavy hormone cure you're going through affect the human body. SV is very open to look at this further when more knowledge comes, but we think it's wise when we're going to make big changes, to start with one step at a time. That's why we want to lift the ban on egg donation and say that we want to start our experiment with those who take out eggs already, and let them donate excess eggs. I think it's rather scary that the Workers' Party chooses to break all the barriers at the same time, but we don't know enough about how this affects the female body over time.
ParlaMint-NO_2018-05-15.ana.ud217e948	I note that the representative Wilkinson chooses to spend his due time discussing health inequalities when we want to talk about biotechnology. When first mentioned, smoking is the main factor in health inequalities in Norway. There is smoking that causes people to get many diseases, and there is much more smoking among those who are socio-economically disadvantaged in Norway. Why, then, did SV vote against several of the restrictions in the Tobacco Damage Act that will just have an impact on the factor that is most important to health inequalities, when we last dealt with the Tobacco Damage Act? Was it a socially good position to take; that SV actively counters the most important measures we have had to reduce smoking — and thus less inequality in health?
ParlaMint-NO_2018-05-15.ana.ud217e953	Now it is actually so that SV has just made a suggestion in Stortinget to tighten up the whole smoking law, among other things. together with the Christian People's Party. We have put forward proposals for tightening up right now, which are under consideration in the Committee. And then I understand that the Right gets really stressed when we talk about inequality in health. It may not be so strange, because under this government, the differences in power and wealth increase dramatically. A major issue today in Health-Norway in all media shows that the differences between life and death in Norway increase sharply during the Right-Registration. In fact, the biotechnology notification that we are dealing with now affects the differences in health. The fact that we in SV say that we do not want heredity and re-doping affects the differences in health in Norway. That's why it's important when we're talking about something that's so ethically important, that we're also clear about what our ethics and morals are when we're dealing with ethical issues. For SV, it's this. We want a policy for the many, not for the few, where everyone has equal opportunities, also based on the Biotechnology Act.
ParlaMint-NO_2018-05-15.ana.ud217e960	The leader of the Biotechnology Study was very clear in hearing the proposal for the storage of eggs without a medical basis. I am somewhat surprised that the SV in the setting has not been able to conclude in this problem. One refers to both the advantages and disadvantages and believes that this has not been thoroughly assessed, and one asks the government to assess these advantages and disadvantages by opening up for the storage of unfertilized eggs when there are no medical reasons for it. Doesn't SV think this is going beyond the limits of what a welfare state should spend money on, when it's not connected to disease?
ParlaMint-NO_2018-05-15.ana.ud217e966	This is not true. SV has concluded, and we have concluded that there is not enough knowledge. I don't think that's a hoax. I think that is a rather serious matter. We are dealing with a biotechnology law that will last many years in the future. When we then receive a proposal for the storage of unfertilised eggs where it has not been concluded well enough, where there is no knowledge, it is not just that I have removed it. I'm quite proud that SV is the party that stands up and says, here we need more knowledge to make good decisions. I agree with the representative Kjersti Toppe that there are limits to what the welfare state should do. It's important. But for SV, there's one very clear goal. It's that we're going to use the biotechnology message to create a society for the many and not for the few. If we get knowledge that storing unfertilized eggs without a medical reason can help the population, can give people a better life, we can consider opening it up, but we won't consider opening it up today. We're voting against it, but we want more knowledge.
ParlaMint-NO_2018-05-15.ana.ud217e973	Replicate cord shift complete.
ParlaMint-NO_2018-05-15.ana.ud217e978	First, I would like to thank the committee chairman and the case rapporteur for an unusually good and balanced presentation. I know this takes her personally, and therefore there is even greater reason to give her thanks for the article. Laws are often said to be stronger ethics. In this way, the Storting is today invited to draw a snapshot of an ethical development that goes faster than many of us like. Biotechnology offers great opportunities to cure and relieve, but it also asks us eternal questions about what it is to be human, and how far we can intervene in the ecology of the body and the soul, to use such a concept. Yesterday we discussed an adjustment of the inflation target from 2.5 to 2 p.m., but as I followed the debate, I realized that we would like to see a downward adjustment of the inflation target of biotechnology, so that we could take on more of the rapid changes that are taking place. It is a symptom of this rapid development that we have had to postpone this spring's deadline for the submission of the Committee's position in order to allow a few party meetings to address important ethical issues – before they soon become larger in legal texts. Now that we're going to review the law, some say it's high time. It has not been revised for 15 years. There are many controversial and difficult questions here, so it explains that neither the red-green nor the current government has been able to provide an evaluation for the Storting before now. Those who follow this debate, and there are probably many, will discover that the dividing lines go somewhat across the traditional right-left axis of Norwegian policy. I think this is a health sign. Then I will ask the medical professionals – and the average interested audience – to carry with us non-medicines in the Health Committee, which, while the legal text is being drafted, could get us far into all the irresponsibleness of heavy, sad human creatures, where the legal texts may seem to set far too strict limits. There is clearly a need for strict regulation and a controlled development, properly enough. I think, for example, there is no one in this room who wants to open up to modify traits that could be inherited, or that gene therapy could be used to improve human properties, for example by re-doping. Nevertheless, most people believe that gene therapy and re-editing that can provide better medical treatment and cure serious illness are of the good. Fortunately, many of us agree that we are going to use the technology to combat disease, whether it's gene therapy on the foetus, or later by modifying somatic cells. The left says yes to gene therapy on the foetus, and we say yes to gene therapy research on fertilized eggs. Exploratory treatment is uncertain, and some research is ethically challenging, but without it we would not have moved on to treating or eliminating serious illness. In the case of mitochondria donation, the Left did not want to open for this now. We believe there is a need for a broader debate on this in Norway, as they had in the United Kingdom before they allowed it there. The rapid progress in this area underlines the need for a continuous and dynamic evaluation of the law, as we are proposing here today. Before I go on, I would like to stress that the Left is uncompromising about putting children's best ahead of everything else. The best thing that can happen to a child is to be brought into a family that longs for the child, who goes through fire and water to do its best. The greatest change in the moral reflection on biotechnological themes has probably been the upgrade of the child's social environment in recent years, while the importance of genetic origin has been reduced. The world is full of examples of betrayals against children who have two biological parents, parents who fail the task and expose their offspring to indescribable abuse. Children have no guarantee of a good upbringing, even if everything has happened according to the nature method – with one man and one woman present. As a result of the ethical and technological developments in the years to come, we are going to see an abundance of family constellations, relationships that we today find unfamiliar and strange, but which are going to hear the normal state in a few years' time. The advantage of having lived for a while is that I know how short a time since it is that a child with one caregiver was stigmatised and looked down on. We are currently in a situation where more and more people see it as completely natural that even families with two parents of the same sex have children. All children, regardless of the family constellation, must be guaranteed a good childhood.
ParlaMint-NO_2018-05-15.ana.ud217e1001	It's going to be line change.
ParlaMint-NO_2018-05-15.ana.ud217e1006	I know the Left as a party occupied by the rights of the children and have long traditions for it, and I think it's very nice that the Left goes in to ratify the third supplementary protocol in the United Nations, etc. However, in biotechnology issues, it seemed that there is no concern about allowing a supply where children — for example, children. Through egg donation and sperm donation in combination, i.e. embryo donation, there will be no biological ties with their parents, with whom they will be trained, and one in annotations debats the argument about the biological relationships. Is it true that the Left is not concerned about this in the biotechnology field, about the rights of the children?
ParlaMint-NO_2018-05-15.ana.ud217e1011	Of course, the Left is busy with it. As I said in my post, what I think is the greatest difference from the past to the last few years is that we upgrade the social environment around the child – perhaps at the expense of the biological – and that much of what happens to children of evil in the world today is completely unrelated to biological origin.
ParlaMint-NO_2018-05-15.ana.ud217e1016	The left is on a proposal for a decision asking ‘the government to return to the Storting in an appropriate way to limit the use of donor semen to the number of families per donor, not the number of children per donor’. How many children does the Left really think each donor should be able to have? One thing is the challenge is that there are a lot of kids who get half-sisters, but doesn't the left also see the challenge that the donor should be familiar with, that he might have to relate to the x number of children at some point? My question is, how many children should each donor have?
ParlaMint-NO_2018-05-15.ana.ud217e1021	I had expected this question from the representative of Bollestad, we have been involved in this earlier. Now it's like the left-hand side looks at the family constellation as especially important here. We experience that children's right to have biological siblings within one family constellation is important, and that therefore we do not set limits, beyond what we have already talked about in terms of the number of children. I experience the problem of the representative who is actually a little up-to-date and a little bit theoretical.
ParlaMint-NO_2018-05-15.ana.ud217e1028	But in Sweden they have – and they are about. 10 million inhabitants – set limits to this because it is actually a challenge for the kids that there will be a lot of kids to relate to one donor. Doesn't the Left see that issue – on behalf of the kids?
ParlaMint-NO_2018-05-15.ana.ud217e1033	Of course we see that problem, but I think we should cross that bridge when we get there.
ParlaMint-NO_2018-05-15.ana.ud217e1038	Replicate cord shift complete.
ParlaMint-NO_2018-05-15.ana.ud217e1044	Today, the Stortinge can finally debate and decide how the biotechnology field should be regulated in the future. I want to thank the committee for doing a good job with the setting. However, this debate has been delayed for ten years. The red-green government was supposed to have evaluated the law in 2008, but was unable to do so during its eight years in government. The Solberg government delivered today's big-time message, which is being debated, in its first period. Some have criticised that the notification does not conclude in all questions and that it is left to Stortinget to conclude. I do not agree with that criticism. The communication raises all issues with arguments for and against, and it provides a good basis for debate in the United Kingdom. Some of the themes are quite correct that the government has not concluded. It's simply because we're completely open that the two parties that then put in government had different views on many of these areas. I believe that big business politicians are able both to debate and to conclude for themselves, although many of these issues are ethically difficult. Biotechnology offers many opportunities for human benefit, but it is the Stortinget that should determine where the ethical boundaries are to go for the opportunities offered by technology. I agree with the majority of the Committee that this limit should be assessed in our view on ethics and values in Norway, regardless of what may be permitted in other countries. I am particularly pleased that the Committee insists that the aim of the law is to continue to be to make use of biotechnology for the benefit of people in a society where there is room for everyone. It is also good to see that most of the government's proposals have received broad support in the committee. This will include, inter alia: strengthen the legal status of children by reducing the age limit for the right to know who is the donor from 18 to 15 years of age, by giving parents the obligation to inform their children that they have been made by donation, and by improving the rules for assessing the suitability of couples seeking assisted fertilisation, inter alia. by introducing an obligation to provide a child care certificate. It is also good, and in a high time, that women with medical conditions that may lead to infertility at an early age are entitled to retain unfertilised eggs. I am pleased that the majority of the Committee supports the government's proposal to allow genetic testing of fertilised eggs in some cases, even if the applicant does not wish to be shown carrier status for, among others. Huntington's disease, which is a serious hereditary disease. The few couples involved should be able to get help to have children while not knowing whether they are likely to develop a serious heritable disease for which there is no treatment option. It is good that the majority of the Committee supports the proposal to harmonise and simplify today's rules on gene therapy. The rules will be easier to practice while maintaining strict regulation of the field. I am also pleased that the majority of the Committee supports the proposal to provide clear rules on when the Biotechnology Act applies to research involving predictive genetic research, i.e. tests to show whether you have a particular genetic defect that will increase the risk of disease during your life. Assisted fertilisation for solitude and egg donation are two questions that have been much discussed. A majority of the Committee supports this. However, I am surprised that a majority in the committee consider allowing embryo donation, i.e. the donation of fertilised eggs. Embryo donation is not recommended by a majority of the Biotechnology Council. I believe that embryo donation only takes into account the needs of adults. The child will have no genetic connection with any of the parents. I think it can be called into question whether this violates the purpose of the law to exploit biotechnology with respect for human rights and personal integrity. It is not relevant to argue that adopted children do not grow up with their genetic parents. The purpose of adoption is quite different and meets the needs of a born child for parents. I would also like to stress the importance of early ultrasound not being introduced as an offer to all pregnant women. Early ultrasound for all healthy pregnant women is not recommended by the Institute of Public Health. There is no evidence that this will bring health benefits to both mother and child. In addition, routine early ultrasound is not closely related to the purpose of the law that biotechnology should be exploited for the benefit of people in a society where there is ‘space for all’. As is well known, an offer of early ultrasound for all healthy women will lead to fewer children being born with e.g. Down syndrome. I have also noticed that the majority of the Committee proposes that restrictions on the use of donor semen be linked to the number of families per donor and not to the number of children per donor. I believe that this proposal will work against its purpose. The proposal gives some families the opportunity to get a larger sibling with the same donor. I do not necessarily agree that this should be given priority over sperm donation to as many childless couples as possible. The proposal may also lead to fewer children being born through sperm donation, because the total number of children being born will depend on how many children each family can have. In my opinion, therefore, the government's proposal in the communication to increase the number of children per donor from eight to twelve, divided into up to six families, is more appropriate. The proposal will meet both the family's needs for siblings from the same donor and provide an offer to as many children as possible. It can also be assessed whether the restriction of 12 children per donor can be waived when it is important for the individual family. This can help more children in one family to be biological siblings. However, it is important that this is further investigated in order to ensure that there is no risk that the half-sibling will have children without being familiar with its genetic kinship. I have followed and will, of course, follow this debate carefully, and I will follow up the decision of the Stortinge after today's discussion. In some areas, there will be a need for professional investigations. There may also be prima facie clarifications that remain after Storting's treatment. We will prepare a legislative amendment as soon as possible, which, of course, will have to be consulted in general before it is promoted by the Stortinget.
ParlaMint-NO_2018-05-15.ana.ud217e1069	It's going to be line change.
ParlaMint-NO_2018-05-15.ana.ud217e1074	The Minister of Health chose to criticise the previous government for using himself the entire previous period to provide an evaluation of the Biotechnology Act, without also addressing important issues – but leave it at that. One of the changes that now follow as a consequence of the setting is that egg donation is going to be legal. I have been in discussions with the Council of State on that issue and know that he is not one of those who think it should be legal. My question to the Council of State is: How will he in the further legislative work follow up the lifting of the ban, and what frame does he think is the right one in our common health service when this is going to be an opportunity for childless couples?
ParlaMint-NO_2018-05-15.ana.ud217e1081	The debate on egg donation I have taken both in the public room and in my own party, and I have lost both places. I respect that. Of course, I want to look very carefully at what is in the setting, and the leads in the comments there. There may also be some issues that have not been clarified in the vote and that we need to investigate and get our views on through the consultation process. But when we're going to work on this matter, we're going to base our work on this in Stortinget.
ParlaMint-NO_2018-05-15.ana.ud217e1086	I also hear that the Council of State is very sceptical that a majority is now in favour of Norwegian professionals following developments in the United Kingdom, where the correct experimental treatment of mitochondria becomes a reality. What will the Council of State think about exactly that when he gets the responsibility to implement it in our common health care? How will he ensure that Norwegian professionals follow medical developments in the United Kingdom when, hopefully, during 2018, we wake up to the news that a healthy child has been born as a result of this method in the United Kingdom?
ParlaMint-NO_2018-05-15.ana.ud217e1093	This is an entirely new method, and the Biotechnology Council has, in the light of a leading commodity, said that it should not be used. Here one could arise in situations where the changes one makes in the genetic material could also be passed on to future generations. That means that one here is facing a whole new situation. Of course, we have to ask the professional questions about this. Then I am absolutely sure that the Norwegian trade unions, regardless of what you adopt politically, will follow up on what is happening in this field internationally. New knowledge can give rise to new assessments. But when it comes to questions about changing man's legacy for generations to come, I think it's important that a layman lead the sense of whereabouts.
ParlaMint-NO_2018-05-15.ana.ud217e1098	The United Kingdom’s health authorities have assessed this approach and concluded that it is not a genetic method, because the genes being donated away are so few that it does not affect germ cell genetic properties. Does the Council of State consider that health authorities in the United Kingdom have made an incorrect assessment of this method?
ParlaMint-NO_2018-05-15.ana.ud217e1103	I believe it is on the basis of this whole big message and the Norwegian Biotechnology Act, which is an idea that Norway should make its own assessments of these kinds of questions. I believe that we should do the same in this case. We know that this is a question where it is necessarily not possible to put two lines under one answer. Then we have to make our own decisions before we draw a conclusion.
ParlaMint-NO_2018-05-15.ana.ud217e1108	I thought it was nice to listen to the post and what the council said about embryo donation, early ultrasound and the proposal to limit the number of families per donor. I hope that there will be a good end to some of the questions that the Committee has not been very clear in the configuration. I have a question about assisted fertilization to solitary, for which the Storting has gone in, right too. There is a shortage of sperm donors in Norway today, also for couples. If now it is also allowed for single people to be assisted by conception, how should one be given priority? Does the council see that single women should be given priority over couples, or vice versa, when there is a shortage of sperm?
ParlaMint-NO_2018-05-15.ana.ud217e1115	In this area, I feel that it will be that solitude will be assessed on the same line with others based on the criteria being made. If you have the right to donation, a get the offer. Then someone like today will be put in a line. It is then the waiting time that will be decisive. I don't think there will be a ranking of the two groups. There are arguments for and against this. I even voted against our own national meeting, but also lost that case. However, in view of the child’s right to know its biological origin, it will obviously be beneficial for the child to offer this in Norway, because then a few will receive this offer with a well-known donor. One will not have to do what many lonely people do today — travel abroad and get a donation from an unknown donor, which also deprives the child of the opportunity to know its biological origin. So from a child's perspective, this will be an improvement.
ParlaMint-NO_2018-05-15.ana.ud217e1122	First, I would like to thank the Council of State for its communication. He was sorry that someone had criticised that we had not adjusted everything. I won't. I think it's very nice, because I think there's a lot better parties on the Storing than it is in the government, so we like to take that job. When it comes to surrogati abroad, we in SV are very concerned about the exploitation of the female body in the international surrogati industry. The Progress Party, the Center Party, SV and the Christian People's Party have joined forces on a proposal to ask the government to stop the exploitation of women. The Party of Workers, the Right and the Left choose not to support that proposal. I would like to ask the Council of State an open and neutral question about this – because we are concerned – about what the Council of State thinks he can do to stop the female body and women being abused in the international surrogacy industry.
ParlaMint-NO_2018-05-15.ana.ud217e1132	I do not think there is any doubt – and my impression is – that all parties in Norway are concerned with this issue, that this is an area that has major challenges, and that one should not facilitate the use of surrogati. What becomes a very rapid discussion is whether it should be made criminal in Norway to use surrogati abroad. There is the government in the message and also the Right very clear that we do not think that is right. Starting a parent, starting a life with parents being punished for what caused one to be born, we don't think it's right. All children are welcome, regardless of how they have come to life. We are committed to giving children the best possible start to life, and it is not by punishing their parents for the method they have used to have children.
ParlaMint-NO_2018-05-15.ana.ud217e1137	I heard State Council Höie say what he doesn't want to do, but I asked what he can do. SV agrees that we should not go directly in for punishment for surrogati abroad. There was recently a case in the VG that a surrogate mother – someone was going to buy children from her body – died in India. It's a very serious situation. Rich people travel to poor countries and – I would say that at least some people – they take advantage of women. After all, SV proposes to ask the government to promote measures to limit the use of commercial surrogati abroad. We probably don't get the majority for that. We also promote proposals together with the Progress Party, the Centre Party and the Christian People's Party to stop the exploitation of women in the international surrogati industry. Neither do we get a majority because the Left and the Right are against both proposals. I ask again, for this is a very serious situation, in which people lose their lives: what will the Council of State do to stop the use of commercial surrogati abroad?
ParlaMint-NO_2018-05-15.ana.ud217e1154	As I said, there is a cross-political consensus on that, and Norway's position internationally is well known. I also believe that the representative sees that there are limitations in our ability to enter and govern the regulations of other countries. At that time, a quick discussion of the types of reactions to be taken in Norway against those who use this offer will lead to a rapid conclusion. I answered that in the previous question.
ParlaMint-NO_2018-05-15.ana.ud217e1159	During the proceedings, the Christian People's Party has asked a number of questions to the Council of State. One of them is the fulfilment of donor children's rights to know their origin. The Council of State has replied that the child’s right to know its origin is not so important that a need for own control procedures – we just trust that all, both foreign and Norwegian, private actors comply with the rules, even if we do not have control. Is the Council of State comfortable not having an overview of how many and which countries donor semen comes from? How can the children then have the right to know and know their origin?
ParlaMint-NO_2018-05-15.ana.ud217e1164	As I have said, we assume that those who are actors in Norway relate to Norwegian law, that's what we're thinking about. Having specific control systems for this is not considered appropriate. I am also not aware that there have been problems related to this.
ParlaMint-NO_2018-05-15.ana.ud217e1169	It belongs to the units of rare people that I take a line at the Council of State, but I want to challenge him, since in this matter we are relatively free as parties to have opinions and opinions often go across government boundaries. The Council of State noted that he does not see embryo donation in relation to adoption, that embryo donation has to be assessed in many ways other than, for example, adoption. I could imagine the Council of State deepening it.
ParlaMint-NO_2018-05-15.ana.ud217e1176	The background is that it is argued that none of the parents have a biological relationship with the child, is not a problem, and then one refers to adoption. Then I think you compare two completely different situations. Adoption is carried out because a child is born to have grown-ups and secure frames around him. Assisted conception is something society now offers couples, in the future also lonely, who want children who are not yet born. If one then looks at what is the purpose of the law, I think there's reason to ask questions about whether it's right to do so in a situation where none of the parents want a biological relationship with the child.
ParlaMint-NO_2018-05-15.ana.ud217e1181	The cord shift is over.
ParlaMint-NO_2018-05-15.ana.ud217e1186	First of all, I have to say that it is with humility and gratitude that I have managed to deal with this message. As a politician, I've reflected on the fact that we often deal with issues that concern a lot of people, but still don't have the ability to engage in the big heights. With biotechnology, it's different. Problems that really concern only a few of us directly have a high level of involvement in the population. Rarely are matters as important to them as to biotechnology. A few weeks ago, I met Tina and Linn. Last year they became mothers of little Imre, and they want to give him a whole sister the next time they're going to have a baby. They have fertilized eggs frozen at the LIVIO clinic here in Oslo, but today's rules stand in the way of Tina and Linn. They have been told that their eggs must be destroyed because the sperm donor has reached the roof of other families. We in the Workers ’ Party believe that families must decide for themselves how many children they will have and that they should not be met that other families were first at the mill. So we're glad that today we get a majority that there are the number of families that have to be constrained per donor, and not the number of children. When you can use the eggs you already have, it also means releasing a new round of hormone treatment and extracting eggs. It then becomes less intrusive for the woman. As far as possible intervention is a heading that fits well with the Workers' Party's approach to biotechnology. We want to use methods that are less invasive for both mother and child when it comes to conception, ultrasound and foetal diagnostics, etc. The working party believes it is unfortunate that assisted fertilisation by insemination now counts as an IVF test. Insemination is more gentle for the woman, but more people now choose to go straight to IVF because you have a better chance of succeeding. We have to keep on line that there are three IVF trials that count as the three public trials, and that insemination has to be kept out of this, or at least counted in a different way. We are proposing this today and hoping for cross-political support. The working party wants to provide all the early ultrasound, not only those who can pay for it, or those who live urbanly and have private offers easily accessible. The working party wants to give women access to the more precise and less risky NIPT test, rather than the KUB test that has been used over several years. It's about risk to the child and less stress to the mother. The working party wants to provide families with serious hereditary diseases with so-called pre-implantation diagnostics. We believe that this should be equated with foetal diagnostics. We believe it is far better for these women to have the opportunity to put in a fresh egg from day one, than to tell them that they have to try pregnancy after pregnancy, and then to have abortion offers after proven illness in the child after week 12. We believe it is less intrusive and more worthy to ensure families with serious hereditary disease in their families this possibility already from conception, rather than exposing their mother and the rest of the family to the mental and physical stress of a latent. It is important to stress that this is about women who can carry on seriously ill children who can risk a short and painful life if they survive their mother's stomach. Finally, I would like to say the following: In the Workers' Party, we keep our tab high and say that everyone is going. It's worth stressing in such a context as well. The opportunities offered by biotechnology and the majority now created are about giving the woman the right to know and then the right to make the choices separately. But it's just as much about the right not to know, or about the right to bring forward a child who will need the support of the big society throughout his life. I started my post by saying that it is with humility that we are dealing with many major questions in the hall today. I think it's okay to end with the same recognition. Finally, I would like to make it clear that there will be a change in the proposal that we have made today. The new wording will then read as follows: ‘The majority believe that insemination should not be counted as the use of the three official assisted fertilisation trials.’
