ParlaMint-NO_2018-10-01.ana.ud387e30	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2018-10-01.ana.ud387e345	I suggest Morten Wold.
ParlaMint-NO_2018-10-01.ana.ud387e353	Morten Wold has been proposed to the second vice-president of Stortinget. Other proposals are not available.
ParlaMint-NO_2018-10-01.ana.ud387e363	The President then asks for proposals at the Third Vice-President of the United Kingdom.
ParlaMint-NO_2018-10-01.ana.ud387e371	I'm proposing Magne Rommetveit.
ParlaMint-NO_2018-10-01.ana.ud387e379	Magne Rommetveit has been proposed to the Third Vice-President of Stortinget. Other proposals are not available.
ParlaMint-NO_2018-10-01.ana.ud387e389	The President then asks for proposals on the Fourth Vice-President of Stortinget.
ParlaMint-NO_2018-10-01.ana.ud387e397	I allow myself to propose Nils T. Bjørke.
ParlaMint-NO_2018-10-01.ana.ud387e405	Nils T. Bjørke has been proposed to the Fourth Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2018-10-01.ana.ud387e416	The President then asks for proposals from the Fifth Vice-President of Stortinget.
ParlaMint-NO_2018-10-01.ana.ud387e424	I suggest Abid Q. Raja.
ParlaMint-NO_2018-10-01.ana.ud387e432	Abid Q. Raja has been proposed to the Fifth Vice President of the Grand Council. Other proposals are not available.
ParlaMint-NO_2018-10-01.ana.ud387e442	The Secretary and the Secretary of State of the Grand Duchy shall then be chosen. The President shall request a proposal from the Secretary.
ParlaMint-NO_2018-10-01.ana.ud387e450	I suggest Runar Seestad.
ParlaMint-NO_2018-10-01.ana.ud387e458	Runar Seestad is proposed for Stortinget's secretary. Other proposals are not available.
ParlaMint-NO_2018-10-01.ana.ud387e468	The President then asks for a proposal on the Secretary of State.
ParlaMint-NO_2018-10-01.ana.ud387e476	I suggest Ingerd Schou.
ParlaMint-NO_2018-10-01.ana.ud387e485	The Ingard Schou has been proposed as Secretary of State. Other proposals are not available.
ParlaMint-NO_2018-10-01.ana.ud387e495	The 163rd aggregate of Norway is hereby declared as legally constituted. The President proposes that notification of this be sent to His Majesty the King through the head of the government. – It shall be deemed to have been adopted. The President requests that, after the Grand Duchy has been declared to be open, and after the census and the report of the state of the kingdom have been delivered, the King and the country of origin be given the authority to do so. The President further requests the permission of the Storting to appoint a deputation of seven representatives to receive His Majesty the King at the opening of the Storting. – This authorisation is also deemed to be granted. As a deputation, the representatives Helge André Njåstad, leader, Peter Frølich, Jette F. Christensen, Toril Eidsheim, Kjersti Toppe, Silje Hämdal and Audun Lysbakken are appointed. In response to the solemn opening of the Stortinget, the representatives of Stortinget have been invited to worship in Oslo Cathedral on Tuesday 2 October. 17. Does anyone want a word before the meeting is cancelled? - The meeting's been cancelled.
