ParlaMint-NO_2018-05-23.ana.ud447e28	The so-called alternate of Oslo, Mats A. Kirkebirkeland, is now taking its seat.
ParlaMint-NO_2018-05-23.ana.ud447e262	There is no one here who disagrees that we need to have a good preparedness for terror in the south, there are all quite a few in it. But when you come to meet the need from the professional staff in the south about how to maintain the preparedness for terrorism there, and then until those degrees reject the need for preparedness in the north, that's the big question: how is this going to work? So, three helicopters -- let's say two are in repair and one hull is in the air for some time. In the situation in general, when it comes to Northern preparedness: how does the Minister of Defence think this should be resilient? How do we have a real preparedness in the north with one helicopter in the air at any time?
ParlaMint-NO_2018-05-23.ana.ud447e267	I've also answered that earlier. I say that while we've done the distribution so that we get the counter-terrorism capacity we need, we also implement a project where we're going to lease in civilian capacity that can take some of the tasks the defense should have, where you don't necessarily have to use Bell helicopters. So a new helicopter offer within the health area will enter into force in June. Then there is extra capacity in the north so that the health area itself can take on the tasks that they will be able to take. Gradually, the new rescue helicopters come with a completely different capacity than what we have today. The police have agreed with LOS helicopters, so it will be possible to use them when necessary and appropriate. So a significant helicopter capacity is also being built outside the Defense, both in the north and in the south. That's why I think we're going to be able to solve the civil problems that preparedness says we have to solve.
ParlaMint-NO_2018-05-23.ana.ud447e274	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2018-05-23.ana.ud447e279	The Christian People's Party did not agree on the long-term plan, which was between the Workers' Party and the Right-Fremskrit Party-government. We believed that the Army and the Home Office should be given higher priority in order to ensure a more balanced defence. But just before Christmas, the Christian People's Party also joined the consensus, where we worked with the best possible solution for the country power within the given framework. And in December, the majority ordered the government for helicopter solutions between Bardufoss and Rygge, modern tanks and 2nd Battalion in Troms. Unfortunately, the government's answers have been revised in disparaging terms – not least, as several have been involved, the helicopter solutions applicable to the Army in the north. Helicopters are indispensable to a modern army, not least in the topography that is in North Norway. The army has been dedicated to helicopter support ever since 1964. So now the government offers suggestions with only three Bell helicopters on Bardufoss. Does the Minister of Defense and the Government want – is it willing – to sit down with the parties that agreed on the land power and find a good solution that is satisfactory for a modern army?
ParlaMint-NO_2018-05-23.ana.ud447e286	When the government presents the revised national budget to the Stortinget, it is clear that one wants to negotiate the issues in the Stortinget. But we believe that we have followed up the decisions that were made when we presented the land-use proposition. The decision asked that it be a shared solution, and the decision asked us to deliver a capacity with which the special forces were earned in terms of the capacity we are to build on counter-terrorism. It sets a framework for how we prioritise helicopters in the north and in the south. Then we've done some compensatory measures in terms of the picture for the entire helicopter operation you have in the north, and I think we're responding well. When you have to give priority, you have to give priority, but we have built up a considerable army capacity in these years we have been in government. So this is an army that is'stuck', I don't agree.
ParlaMint-NO_2018-05-23.ana.ud447e293	Let's go to the next main question.
ParlaMint-NO_2018-05-23.ana.ud447e298	With the Chairman of the Progress Party, Siv Jensen, as Minister for Finance and Fee, the fees in Norway increased by 6 600 million. kr – i.e. not every month, not every week, but every day the fees have increased by 4 million. kr. - Four million. kr every day for four and a half years. In addition to the fees, additional fees will be added, such as the introduction of the so-called death fee, which will bring in 40 million. extra kr in the treasury. The party has become the party for increased fees and increased fees for people most, or as Prime Minister Erna Solberg proudly said, the government, the Right Party and the Advance Party, have increased fuel charges more in one year than in eight red-green years. Before Christmas, the Advance Party, Right, Left and Christian People's Party increased the fees for non-alcoholic beverages by 42 pst. and the so-called sugar charge of 83 pst. – a massive tax increase affecting Norway’s largest mainland industry with full force. The enterprise by enterprise reports red figures and market failures. Several companies have had to cancel people, they've licensed people, investments have stopped. NHO Food and Drinks say it's been 10 pst. cases of placing on the market in important parts of the Norwegian food industry and the Norwegian food industry. This has been a charging policy aimed at shifting jobs and value creation from Norway to Sweden. Progress Party leaders and Finance Minister Siv Jensen have now come with their revised national budget. The alarm lights light up, it's red light, while the Progress Party leader is doing nothing to correct the crisis that is now affecting Norway's largest mainland industry. My question to the Council of State is: How much loss and how many jobs in industry will be lost before Jensen acts?
ParlaMint-NO_2018-05-23.ana.ud447e308	I am a little uncertain about what the representative Schlagsvold Vedum means that the alarm lights light up and that there are red lights. When we presented the revised budget, the government could report on an economy that is going well. Unemployment is on the decline, growth is on the rise, employment is on the rise, broad growth is reported in all industries throughout the country — broadly based. That's good news. I answered a question about a sugar charge and a shower exactly one week ago, from the Senter party. Nothing has happened in particular in the pins that changed the answer I gave a week ago. But what I challenged the Centre Party in my answer a week ago was why the Senter Party, on the one hand later, as they are concerned about border trade issues – then related to exactly this charge – while they are not as concerned with what is the main driver of border trade, namely food and meat, which is not subject to high excise duties, but with a customs protection, which the Centre Party has been pursuing for many years, and which makes food in Norway more expensive. In addition, the Central Party has proposed in its alternative budgets to increase taxes on other goods subject to border trade, such as: alcohol and tobacco. It's nice to be morally indignant about one fee sharpening, but double morality is not the same as twice as good morality.
ParlaMint-NO_2018-05-23.ana.ud447e319	I understand that Minister of Finance and Fee Siv Jensen does not want to comment that she has increased the fees in Norway by 4 million. kr every day since she became the Council of State, and that the Progress Party in the Government has increased diesel taxes more in one year than under eight red-green years, because it is absolutely amazing that the fees have now increased by 6 600 million. kr. And the problem with fees increases is that it affects people the most. It has no distribution effects; it has a negative distribution effect, for those who have low income, pays as much tax as one who has high income, so it's fundamentally unsocial. Then the Center Party has done targeted actions to strengthen Norwegian industry. That is why we had good customs protection — to create jobs, to bring value to Norway. That is why we have a charging policy that does not target shifting jobs from Norway to Sweden. Minister of Finance Siv Jensen should attend a meeting with NHO Food and Drink and hear about the situation in the food industry. Does the Minister of Finance think it is wise for Norway to have such extremely high taxes — and the huge increase in fees that occurred before Christmas — when jobs are lost in Norway because of this?
ParlaMint-NO_2018-05-23.ana.ud447e326	Let me first remind you that these tax increases came about as part of the budget negotiations in Stortinget, this was not a proposal the government put forward to the Stortinget. That being said, this government has reduced the total tax burden by over 24 billion. kr. It is a handshake to ordinary families, to Norwegian business, which is about strengthening competitiveness, about facilitating more jobs, and is about an average family getting NOK 10,000 less in taxes under this government than under the government Trygve Schlagsvold Vedum put in. It's a fact. So it's true that some charges have increased within a total relief of 24 billion. These include some environmental taxes, which have been sought by a large majority in the UK. Overall, however, car-related charges have decreased by 1.9 billion. kr. It has been important in recognizing that the car is an important means of making progress in our long-term country. Therefore, it has been important for the government — yes, to increase environmental taxes, but overall to reduce tax burden in Norway.
ParlaMint-NO_2018-05-23.ana.ud447e335	It opens for follow-up questions – first Sigbjørn Gülsvik.
ParlaMint-NO_2018-05-23.ana.ud447e340	The finance minister doesn't know that it's the Progress Party, the Right, the Left and the Christian People's Party together that have been involved in introducing the tax shock that came before Christmas, and it's also the majority that is behind that it's been 6.6 billion. NOK in net increased fees since accession. So the government is completely passive in a situation where people lose their jobs, where investments are put on ice, where traditional companies like Oskar Sylte and Roma say it can be the hook on their doorstep. They say Norwegian business is going well. Well, the blue-blue government has provided blood-red numbers in the sectors that are affected here. The last update shows that the industry itself expects that it can be sold shower for 130 million. liters in Sweden, an increase of perhaps between 30 and 40 pst. How long does the Council of State think it makes sense to sit passive and see that this happens?
ParlaMint-NO_2018-05-23.ana.ud447e345	I know that the government I'm part of has reduced the total tax and tax burden by 24 billion. kr since we joined. It is in stark contrast to the alternative central government budgets. When the Central Party proposes to increase the overall tax and tax burden by over 6 billion. kr only in one year, it becomes – when I hear the Central Party complains about this now – like listening to a pyromaniac shouting at the Fire Service. It's simply not for believers. This government is committed both to strengthening the framework conditions for business and to strengthening the family economy by reducing tax and tax burdens, and we have done so. But we have also always been quite clear that, within an overall scheme where we reduce the overall tax burden, we have increased some environmental taxes. It's about the polluter-pays principle, and I actually thought that the Senter-Party agreed.
ParlaMint-NO_2018-05-23.ana.ud447e350	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2018-05-23.ana.ud447e355	Fuel prices in Norway are now at a historically high level. Siv Jensen had our state council for only a few days in 2013 when she first increased the fuel charges. The page has continued. In 2017, it went so far that the government called in to the press conference and boasted that they had increased the fees more in one year than the red-green did in eight years. The result is that most people and businesses around the country now experience. Minister of Fee Siv Jensen likes to answer these questions by talking about everything else – about the annual tax, property tax, boat engines or what it might be. Today I hope that the party leader in the Progress Party can answer questions about fuel prices. My question is: does the Minister of Finance think that a petrol price of almost SEK 17 is acceptable, and is there a pain limit for the Minister of Finance?
ParlaMint-NO_2018-05-23.ana.ud447e360	It's not like I'm talking about everything else. I'm busy talking about the whole thing, and it's about what kind of framework conditions we equip Norwegian businesses with. Therefore, it has been important for this government to reduce the total taxes and taxes in Norway by over 24 billion. kr. Then it is true that the fuel taxes have been set up one year, and they were reduced in 2015, but overall, car-related taxes have decreased by almost 2 billion. kr under this government. The representative asks about the fuel prices. Well, I can take responsibility for a lot of things, but that the price of oil on the world market has now reached $80 barrel, there is very little the finance minister in Norway can do anything about it. Stakeholders in the industry themselves point to the growth of global market prices that is now raising fuel prices. But I agree that it is important that it must be possible for people to get along with their cars. Therefore, it has been important for us to change the car tax policy, so that fuel consumption goes down. That's what this government is doing.
ParlaMint-NO_2018-05-23.ana.ud447e367	Svein Roald Hansen – for follow-up questions.
ParlaMint-NO_2018-05-23.ana.ud447e372	The Council of State said that the revised national budget is reporting a good economy, and it is good that unemployment falls. But what has given the economic boost strength, according to the government's own documents, is low interest rates, weak crowns and responsible wage settlement. None of this is due to government policy. On the other hand, it is a fact that the government’s tax policy has led to the loss of many jobs: the airline seat charge – several hundred jobs lost in Eastfold and elsewhere. The sugar levy now threatens jobs in the food and beverage industry. And duty-free online trade for less than 350 kroner is subsidising jobs abroad at the expense of jobs at home. The question is: why does the Minister of Finance not want to close this tax gap and strengthen Norwegian jobs before even more disappear in the wake of government tax policy?
ParlaMint-NO_2018-05-23.ana.ud447e380	In his estimation of the reasons why the Norwegian economy is doing better, the representative Hansen elegantly jumped over another important factor, namely the expansionary fiscal policy of the government in connection with the oil price drop. It has certainly also helped to ensure that we quickly got through a difficult situation for the Norwegian economy, which has now turned to growth, optimism, more jobs, more employed, lower unemployment and growth in the economy. We're going to enjoy that. It becomes very strange for me to hear the Workers’ Party – of all – talk about tax cuts. There is hardly any batch in this room that proposes to increase taxes and taxes more than the Workers' Party. The Labour Party opted to increase taxes by billions of dollars – and lost the election because of it. I stand by what this government has done, reducing the total tax and tax burden by 24 billion. kr – to strengthen the business environment, in order to strengthen the family economy for the individual. 10 000 kroner in tax bills for an average family is a lot of money.
ParlaMint-NO_2018-05-23.ana.ud447e389	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2018-05-23.ana.ud447e394	When you hear this round, it is worth remembering that in its time, the Centre Party increased the charges for non-alcoholic beverages as much as it has been done, and the Center Party's own health policy, Kjersti Toppe, has repeatedly insisted on increasing the price of soda and candy, which I think makes sense. I think it's backwards to reduce the price of booze and candy – in the same way it's with alcohol and tobacco. These are, of course, the major public health challenges we have in this country. We have to do something about this. At the same time, the Christian People's Party is committed to strengthening value creation in Norway. I don't want there to be any growth in the shower sale and the candy sale and get more jobs because of that. That's not my goal. My goal is to secure jobs and generate growth in the country. We see that there is a loophole that I think would have been a good idea to close – if you order goods online in Norway, you have to pay VAT from the first crown, but if you order the same goods, for example. chocolate and shower, from abroad, you don't have to pay VAT, i.e. 25 pst. Discount. I think that's nice. Does the Council of State agree that one should at least look at and determine whether it is possible to seal the dirt hole?
ParlaMint-NO_2018-05-23.ana.ud447e403	I fully agree with the representative Ropstad that one of the most important things we do is to facilitate safe jobs in Norway. This government has done so, in cooperation with the Christian People's Party, by strengthening the framework conditions for Norwegian business, by reducing the overall tax burden, by strengthening the appropriations for infrastructure, by investing in research, competence and knowledge in school. The sum of it has produced good results over the years we have been in government. As for what the government will or will not do in the next budget, we must be allowed to come back to it when we present the government budgets. It is in the ordinary state budgets that the major review of different tax issues is made. We have just presented the revised budget. It's essentially an arena where we adapt maps and terrain.
ParlaMint-NO_2018-05-23.ana.ud447e410	Bears Moxnes – for follow-up questions.
ParlaMint-NO_2018-05-23.ana.ud447e415	I don't like to say "What did I say?" but what we see now with increased border trade is exactly what Red warned against in December. Red has no problems with social change, but they must be thoughtful and democratically anchored. That is why we proposed postponing the increase in fees to assess the impact on jobs in the food industry – the Progress Party agreed to vote down in December. But then the news came from the National Meeting of the Progress Party: They wanted to refuse the sugar levy, they said. Then came the revised national budget, where Siv Jensen came with zero measures to do something about the sugar levy. This is not a unique case. We heard from the same national meeting that the Progress Party is the Seafarers' Party. Then came the budget – without any action to change the problem of Color Line and deflagration to NIS. Is this what we can expect from the Advancement Party in the future, that the party says one thing and then does the opposite, and that they consistently talk out of both mouths?
ParlaMint-NO_2018-05-23.ana.ud447e424	I can assure the representative of Moxnes that the Progress Party will do everything we can, in government and in Stortinget, to follow up as closely as possible on our policies and our party programme. At the same time, we are in a coalition government that – at the top of it – is a minority government that has to negotiate solutions in Stortinget. The Progress Party will always be concerned with lowering the overall tax burden in Norway. We've also proven that we're doing through what we've done since we've been in government -- a reduction of 24 billion. NOK is quite a lot of money. I think the representative of Moxnes has misunderstood a little what is revised and what it is not. It's a round bend where we adapt maps and terrain based on what has happened in the Norwegian economy since we arrived and got the government budget adopted in the autumn. The major budgetary issues relate to the State budget, which comes in October.
ParlaMint-NO_2018-05-23.ana.ud447e433	Let's move on to the next main question.
ParlaMint-NO_2018-05-23.ana.ud447e438	My question goes to the Minister of Finance. Today we can read in the address that St. Olav’s hospital in Trondheim now has to sell three properties, including: its own important patient hotel, to finance a new building for psychiatry. So they've cut so much that they have to sell away property. This government has had more money available than any other government, but it is now cut in the hospitals, and there are consequences. The government’s red tape and efficiency reform is thefine name. In reality, the unpriority cheese needs to be in the welfare sector. Since 2015, it's cut close to 9 billion. kr in public activities and welfare. The consequences include: reducing the response to work-life crime. The Labour Inspectorate has cut more than 10 million. They are warned that they must reduce the risk of accident prevention, ergonomics, chemistry and psychosocial problems. In the case of the courts, you give with one hand and take with the other, and the cut-off is 51 million. kr only in the last few years. And the court administration and local courts now warn that the cuts lead to cuts in services and not in bureaucracy. In a time when very many people are out of work, the appropriations for Nav are cut. According to NTL Nav, the cuts will lead to 690 million. kr less in the operating budget, which corresponds to 1 100 fewer employees whose cuts are continued to 2021, as the government warns. We already know that the government has no idea what the results of the tax cuts of the rich have been. They spend billions on something they are not able to document has a positive impact on the Norwegian economy. So today, I would like to know if the Minister of Finance has examined how it goes with those who get these flat cheese matches, whether they've investigated the effect of the welfare cuts. Has the government talked to the Labour Inspectorate, to the courts, to Nav and to the hospitals about what is actually the consequences of the policy?
