ParlaMint-NO_2018-03-07.ana.ud465e28	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2018-03-07.ana.ud465e155	Finnmark is to the greatest extent now where they can take control of their own future. My appeal to Finnmark and to Troms from my first meeting with the representatives of the two states was: take control of the process further, decide for yourself what future you will have. That has been my clear call. That is why I also asked the parties to be assisted by a mediation person whom they prided on, in order to reach an agreement that they wanted to implement. That's what happened. It is such that the head of the state of Troms and the chairman of the county of Finnmark carried out a mediation by means of a former staging representative and former member of the government Knut Storberget. I realized that it was a very good process. They recommended this agreement. They are all three members of the representative's own party. They are democratically elected in the two counties. My hope now is that the two counties join the agreement that their own elected representatives have adopted, and in which, of course, I have not interfered.
ParlaMint-NO_2018-03-07.ana.ud465e160	It opens for follow-up questions – first Ingelill Olsen.
ParlaMint-NO_2018-03-07.ana.ud465e165	It is the Stortinget that has taken this decision. The Finnmarkings are not responsible for their own situation. They didn't choose it themselves. This is coercion. There is a great and loud demand for a referendum to be held in connection with the merger of Troms and Finnmark. The working party believes that the outcome would be overwhelmingly negative. If a referendum were conducted with a no-majority result, would it lead to the state council taking note of the outcome, bowing to the people's will in Finnmark and starting the process of converting the coercion decision?
ParlaMint-NO_2018-03-07.ana.ud465e172	The representative invites me to wonder what would happen if we in Norway did not have democratic elections and pride in them. We've had that. We had the last harvest. The Storting has made a decision that Stortinget can make. You can disagree with that, and I can see that many people in Finnmark are. But that's how far you have to deal with what the majority has decided, and then Finnmark can now decide his own future or leave it to me. I don't want to make decisions on behalf of Finnmark, I want Finnmark himself to take them, and I hope the county council in Finnmark does.
ParlaMint-NO_2018-03-07.ana.ud465e177	Kjell-Idar Juvik – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e182	Forces rarely bring something good with them. Now we're looking at Finnmark's exposure and rascal, and that's understandable. The same dissatisfaction we saw in Northern Ireland, and then the government turned around. More and Romesdal, Oslo and Rogaland have maintained their independence as a result of local resistance. The opposition from Finnmark has either been underestimated by the government, or then you simply haven't cared. The process has been unyielding and unsustainable by the government, and then you take responsibility for the states. Even today, you owe it to Stortinget alone. Now it will be up to the Council of State how this process is going to proceed. This will be crucial for increasing the unfriendliness of these states. Does the Council of State share the fears that the decision taken by a narrow majority leads to a lasting division between Troms and Finnmark? And what will the Council of State contribute to the proper implementation of this process?
ParlaMint-NO_2018-03-07.ana.ud465e188	I understand that someone is trying to make this a government project. So it's not. This is a regional reform initiated by the Stortinget, adopted by the Stortinget and followed by the government. If you think about it, you will know that the two government parties in the last period had one primary wish, and that was to abolish the third level of government – to get even stronger municipalities, which could make even more decisions. We do not have a majority for that. Then we relate to the decisions the Stortinget has made. Two democratically elected magnates have decided that Troms and Finnmark will become one state. I feel that the two county rapporteurs, representing their counties, have had a good process by means of a mediation person. They have reached an agreement, which they recommend and to which I hope the democratically elected counties will join.
ParlaMint-NO_2018-03-07.ana.ud465e193	Karin Andersen – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e198	Now the state council released the cat again and shows that this is a government that wants to lower this state level, and as a step on the way – as government parties have said on several occasions – these coercive mergers of the states come. It creates great problems, costs, wasted time, and evil blood. If you don't want to, you have to! If you do not accept the compulsory marriage and the conditions, the Council of State – at least in the media – has promised to come and clean up. It is no shame to turn around if you understand that a decision is wrong. My recommendation will be that the Council of State take the matter seriously, get up and talk to the Finnish authorities and those concerned, and get involved properly in the matter. Will the Council of State do that, or will you continue to coerce, at arm's length, without having been there and talking to them?
ParlaMint-NO_2018-03-07.ana.ud465e205	I can assure the representative Karin Andersen that I have been involved in the matter. I was in Finnmark two weeks ago, and I've had several meetings with the people elected from Finnmark and Troms. This is not about not knowing a thing, this is about dealing with a big decision, and I think it's the first time I've experienced that the opposition in Stortinget is crying out that the government is not going to do what the Storinget has decided. We can't have it that way. We have to follow up these decisions, and we do that by Finnmark and Troms deciding for themselves how they want to proceed with this process.
ParlaMint-NO_2018-03-07.ana.ud465e210	Karin Andersen – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e215	There are not many days since we received a full book sent to Stortinget about decisions made by Stortinget, which the government has not followed up. So there the government has a little bit to go on – to say it like that – by following up many of the proposals that the Storting has adopted and with which it is shared. But this is a matter where the Council of State also today in Stortinget admits that the goal is to lower this level. Then you invite a popular level to join some sort of decision on the way to settle down. That's not a good invitation. In the case of Finnmark in particular, the situation there is so special that there would be no shame to turn around. There are governments and parties that have changed their positions when they see in reality that this does not create anything good, that on the contrary it creates more problems, costs more and is not a solution that is good enough. Does the Council not see that decisions should in some cases be taken because they were initially neither appropriate nor good?
ParlaMint-NO_2018-03-07.ana.ud465e224	I see the representative Karin Andersen as a very experienced politician, and if she has only discovered today what is the primary position of the Advance Party and the Right, I am very surprised. This is not ‘catting out of the bag’ – these are our primary positions. They're very well known, through both party programs and elections. And then I want to say, the alternative to not removing the third level of government is to get bigger and stronger regions that are actually able to do the tasks they're going to do. Finnmark is – as Andersen’s representative says – in a very special situation. They're in a situation where they're struggling with school dropouts, and they're yelling at the workforce and their skills. It is the country that has the lowest population. Then it will strengthen Finnmark to grow bigger and stronger. Therefore, it is my goal to ensure that the decision taken by the Stortinget is implemented, and preferably that Finnmark and Troms themselves control the implementation.
ParlaMint-NO_2018-03-07.ana.ud465e231	Let's move on to the next main question.
ParlaMint-NO_2018-03-07.ana.ud465e236	State Council Meland says this is not a government project. Norway has had a regional reform no one really wants. Who really thinks it is wise to coerce Eastfold, Akershus and Buskerud into a new giant state, the Viking? Who is it that burns for Finnmark and Troms to coerce, where we get a region that is larger than Ireland and that has huge distances? And there's no local enthusiasm in Finnmark at all. The Right Party and the Advance Party have hardly been willing to defend the reform – well represented here by Monica Meland, who owes it to everyone else. It's the Right that has forced it through. But what they have said is that it is a compromise with the Christian People's Party and the Left. What was the Christian People's Party saying in June when this was enforced in Stortinget? It's a solution no parties really want,' said the Christian People's Party. And the representative Hareide was in Hallingdal this winter and said that many people have problems seeing that the Viking is an optimal region. That was very well said. Then he got follow-up questions, if he thought the Viking would be divided into two. Yes, he thought so, so now they had to work out of it. This is the Christian People's Party's position. They don't want the Fold, and they think it's going to be divided into two. In Finnmark, there is rebellion. But the Right-State Council of Malta has announced that additional coercion will be used, and then the government will sit in Oslo and decide. Why does the State Council of Malta think that it is wise that she should sit in Oslo on behalf of the government and the Right and coercion two states that do not?
ParlaMint-NO_2018-03-07.ana.ud465e251	It's a fascinating description of a reality I don't know about at all. I think it's very wise of a government council, especially as a member of a minority government, to deal with the decisions Stortinget has taken. I understand that Battle violence Vedum and many others disagree with these decisions, but it is therefore the case that the Stortinget discussed whether to reverse this position before Christmas. It decided a majority in this House not to do. Then it's not like I've threatened Finnmark with us ruling from Oslo. On the contrary, in all the conversations I have had with representatives from Troms and Finnmark, and in all the interviews I have given, I have said that it is up to Finnmark to control Finnmark. I want them to do it. I have no desire to do so from an office in Oslo. The representative knows very well that the legal system is such that if the parties do not agree, they may ask the Ministry to take decisions. That's what Troms did. When they did, I asked the parties to let themselves be assisted by a mediation agent. So I didn't want us to sit in Oslo and control the development of Finnmark. The parties were assisted by a person in whom they were proud, whom they were helped to establish an agreement, which the parties therefore recommended to their council. I understand that Battle Violence Vedum disagrees with the decision taken by Stortinget, but it is so done, and my hope is that representatives from Troms and Finnmark themselves will guide development further. So if this isn't the system, then we can make decisions, and of course we will.
ParlaMint-NO_2018-03-07.ana.ud465e264	It sounds very hollow when the Council of State, which is the front figure of those who want to use coercion, says that it is up to Finnmark to rule Finnmark. It is precisely the Right with its biggest representatives who have taken away Finnmark and other counties around the country the opportunity to rule their own county. So fair a council should be that she defends that position right now has forced through in Stortinget. And why do Monica Meland and Right think it's so wise to create new, big regions that nobody really wants? What gets better in Finnmark? What services are getting better? How is it going to be better school results, as a promise instead, by coercing Finnmark and Troms, when there's no local enthusiasm? What's the reason why the Right believes it's so wise to force Finnmarks to do something they don't want to do?
ParlaMint-NO_2018-03-07.ana.ud465e272	You'd like to think it's hollow. I have now tried in a neat manner to explain the main point of view of the Right and the fact that the Storting has made decisions that I am following. It can't be explained in any other way than I've tried to do here. Then it is that when our primary position cannot be implemented because we do not have a majority in this hall, I am too larger and stronger regions. I actually thought that the Central Party was also the time they put in government and had a municipal minister named Åslaug Haga, who probably drew a regional map with nine regions. Now we actually get eleven. It is both about following up the tasks that the counties have today, and – not least – about getting new and heavier tasks. It's about size. It's about capacity. It's about competence. It is not that the less a municipality or county is, the more competent they are, and the better services they provide. On the contrary, all the overviews show that in small municipalities, and especially in North Norway, there are labouring in just these areas.
ParlaMint-NO_2018-03-07.ana.ud465e281	It opens for follow-up questions – first Tryful Battle Force Vedum.
ParlaMint-NO_2018-03-07.ana.ud465e286	Monica Meland has made it his favorite exercise to push everyone else in front of him in this coercion practice. And I understand so much that the Council of State thinks this is unpleasant. She keeps saying that it's the decision of the Storting. But if the Right Will, there'll be a majority on a wink not to use this coercion. There was hardly a majority before Christmas. Knut Arild Hareide, leader of the Christian People's Party, has already announced that you want to divide the Week into two. Can Monica Meland say that this is a well-worked, wise reform, which has had good local processes, and which has created local enthusiasm, or has it become a achievement just to carry it out, cost what it costs, because it was part of the community reform? What is the best argument given by Monica Mæland to coerce Finnmark when she lets. More and Romesdal stand as their own state?
ParlaMint-NO_2018-03-07.ana.ud465e295	I can repeat and repeat that I am dealing with the decisions and negotiations that have taken place in Stortinget. It was just supposed to be missing. The alternative, I can also repeat, to small states that lack skills and have difficulties in finding jobs, is to get larger and stronger regions. That means that once the Storting has made this decision, I trust myself, as we say in the West. That means that I want this reform to be as successful as possible. And it'll be the most successful if the states themselves control the process, and not know that we're doing it at a department office in Oslo.
ParlaMint-NO_2018-03-07.ana.ud465e302	Heidi Greni – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e307	The regional reform began as an invitation from the government to the neighbouring talks between the states, where they themselves should consider whether aggregation was sensible. The conclusions of the negotiations with neighbouring countries were brutally overrun by the government next time, and it ended with coercion across the county council decisions. One of the decisions that is most difficult to understand for central politicians, for citizens in the state, and not least for local politicians from all parties, is the merger of the counties Eastfold, Akershus and Buskerud. It's a construction that breaks with all the prerequisites the government had for the establishment of functional regions. It will not be a common housing and labour market region. The population is 1.2 million – towards little Moor and Romsdal, which is getting smaller. And in the middle of the Week lies Oslo, which is a common labour market region with Akershus. At the same time, the government chooses to organise the county offices in a different way. They say themselves that this is incomprehensible. Can the Council of State explain to me how this construction can make sense, and how will the Council of State meet the strong reactions that have come upon the establishment of the Week as a new county?
ParlaMint-NO_2018-03-07.ana.ud465e316	I hear that the representative disagrees with the decisions that have been taken. We can wonder about that, but I'm dealing with them being done. They're made of the previous biging, they're confirmed by this biging. Then my job is to make sure that this regional reform, these groupings, is as successful as possible, and it is by allowing the state politicians themselves to control the process, whether it be in the East, in North Norway or in the West.
ParlaMint-NO_2018-03-07.ana.ud465e321	Geir Adelsten Iversen – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e326	I wonder if the Council of State understands the background of the great, enormous commitment, frustration and the uprising that is taking place in Finnmark. It's awfully strange that when the council called Troms and Finnmark into mediation, it was easiest to meet at the Gardermoen. Troms and Finnmark won't be a state, it'll be a continent. There will be major challenges due to distances, costs and not least to offering good services to people living in the new giant county. Of course, if the Finnish Government takes Finnmark seriously, she should listen to what people in Finnmark think. Will the Council of State support the implementation of a referendum on the merger of Troms and Finnmark?
ParlaMint-NO_2018-03-07.ana.ud465e335	That's not what the representative describes, that I called the parties into mediation. The parties wanted a meeting to discuss the situation with me. Actually, the invitation from both came at the same time. We had a meeting with me, where Troms asked that the department put down a common denominator, and they explained that they did not move forward in the negotiations. Then I asked that the parties get help from a broker. We discussed that. They suggested who the broker should be, they had contact with the broker and set time and place for the mediation meeting. I didn't get involved in that at all. I was just concerned that the parties themselves took control of the process, not that I did it.
ParlaMint-NO_2018-03-07.ana.ud465e344	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e350	This round of answers has been a whole series of explanations from the Council of State. What the Council of State has done in every answer throughout the Question Time is to distance itself from the coercive reform that it is going to implement. First, she owes everybody else. She says it's not a government project. She says we have to deal with the Storting. Nor is she the one who has invited to mediation, it is the parties that have done so. And don't you think she also says that we need to have the forced reform in Finnmark to stop the dropout in schools in Finnmark – at a time when the government has adopted a standard of teachers that will drain Finnmark for teachers? When will the Council of State be the Minister of State and actually stand up and take responsibility for what she has now planned to do? My concern is that if Malta and the state are going to meet the Finnish mark-ups in this way, it's going to be a very interesting exercise. The council did not answer Geir Adelsten Iversen's question: Is it relevant to hold a referendum, so that the Finnish markers are allowed to say what they think about the coercion of the states?
ParlaMint-NO_2018-03-07.ana.ud465e359	I understand that the Center Party wants to operate with a different reality description than the one that is the actual one. On the question of referendum, the answer to that is simply no. We have a good system in Norway based on grossing-up choices. It was implemented in September. I understand that the centre party is not satisfied with the election result. I am. So it's like the Stortinget just before Christmas discussed whether to reverse this decision. The answer to that was no. Then it is my job as municipal minister to implement the decisions Stortinget has taken. That's what I'm going to do. I have had a very good dialogue with the parties in both Troms and Finnmark, and it was the parties who wanted to be assisted by the ministry. I didn't get involved in it. It's about taking the elected level, the state level, seriously. It's not about overcoming it. It's not about forcing through solutions that I think are better fit than the parties. The parties are best placed to govern their own future, and I hope they will.
ParlaMint-NO_2018-03-07.ana.ud465e370	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e375	The Council of State will therefore not consider whether the Finnish mark-ups should be allowed to take a decision on this by referendum. She owes us a big shot, and the Stortinge adopted the reform, with the lowest possible majority. It is a reform that no one really wants. Neither does the own party of Malta want that reform. Nevertheless, it was adopted at Stortinget by a very limited majority. There is a reform that the Right Party does not want, and from which the State Council has now used six to seven responses to distance itself. And then the government won't let the Finns sail to say what they think about the reform? There's such a contradiction, there's such an explanation in what the Council of State here says, that it's quite remarkable. But let me ask another question, then. If it is now so thoughtful and important and the Storting has adopted it, why is it reasonable that Rogaland, who has one fifth of the area of Finnmark, is allowed to stand alone while Finnmark is being coerced?
ParlaMint-NO_2018-03-07.ana.ud465e384	The remarkable thing here is that the Central Party has no confidence in a big elections, has no confidence in democratically elected representatives at state level. It is the county leaders in Troms and Finnmark who have negotiated this agreement, and who have let themselves be assisted by a mediation person. It's a mistrust of our entire political system that I've barely seen my husband do. With regard to the assessment made by Rogaland, there is an assessment made by those who negotiated in this room, but it may be a tip to look at the population in Rogaland. Rogaland has over 400,000 inhabitants – many more than Troms and Finnmark have combined.
ParlaMint-NO_2018-03-07.ana.ud465e391	Let's move on to the next main question.
ParlaMint-NO_2018-03-07.ana.ud465e396	Tomorrow is March 8th – that is why I want to ask the Minister for Gender Equality a question. The social debater and the poet Sumaya Jirde Ali have recently been subjected to a brutal women's hateful and racist hate campaign led by the so-called Nettavis of the outer right, Resett. The threats, harassment and shellfishing have gone so far that Sumaya has had to withdraw from, among other things. March 8th marking in Bergen tomorrow. She has been called a tragic specimen of a human being, an immaterial being who should be sent home to Somalia, and one has commented: Call about her, spill gasoline and light the torches. This is an attack on democracy and freedom of expression. It particularly affects young minority women. Many have responded to the campaign against Sumaya with our own campaign in support of her. Only after several days of deafening silence and media pressure finally came Erna Solberg on the track and condemned the hate strikes against Sumaya. But to show its support and give visibility to the struggle for freedom of expression, the equality of women and the fight against social control by going on the 8th March train, from which Sumaya has been hounded away, however, it does not seem that she intends to do so. Apart from the Prime Minister's late response, there has seemed to be little political commitment from the right around this serious and important matter. The Minister for Equal Opportunities, who has been given a great constitutional political responsibility to combat discrimination and promote equality, has been so far both silent and invisible. I want to ask the Council of State where she's been for the past week, why not the country's Minister of Gender has taken Sumaya in defense when so many others have joined the 'I support Sumaya' campaign, and if the Council of State this time intends to take trains for Sumaya and her sisters who were pushed away from participating in, among others. tomorrow's marking.
ParlaMint-NO_2018-03-07.ana.ud465e409	I very much appreciate getting that question from the representative of Oberstegård. I am very concerned about the climate of debate that we are now experiencing. I'm concerned about the extent of hateful expressions based on ethnicity, religion, and the way of life. Sumaya is one of those who are hit very hard, and who are threatened with – at least temporarily – deafness. It shows that we don't have a society that has room for everyone. Although freedom of expression is very central to our society and our freedom of expression is inalienable, we now see that democracy is gradually being turned in. Not least, we also see this against the politicians. I was very sorry and very angry when I saw what Sumaya was exposed to. That's why I contacted Sumaya. I sent her an enquiry where I regretted what she was experiencing, and where I invited her to a conversation when she felt ready for it. I see her as a very strong representative who dares stand up for his opinions. I want to hear from someone who experiences it himself: what are the most important measures we should take in the fight against hateful expressions? The government has also presented a strategy against hateful expressions and an action plan that is important to follow up. I'm glad the Prime Minister so clearly went out and stamped what this is. I will engage in further dialogue with Sumaya and others to fight against what they now experience, and also fight the fight against hateful expressions.
ParlaMint-NO_2018-03-07.ana.ud465e418	Strategies are good, but when no one in the government went on the 8th March train in 2017, the current state councillor, Hofstad Helleland, said, and I quote: ‘I have never been particularly concerned about going on a train. I rather joined the Right to influence women's opportunities and situation." Then it's interesting to see what the Minister for Equal Opportunities is doing politically. On 23 May last year, the Stortinget decided that the government should reduce a sample to look at the gender challenges children face. In January of this year, the Council of State states in a letter that they will return to the Grand Duchy with information on the follow-up to that decision. A year has passed since that decision was taken. In the meantime, we have been told by the Children’s Ombudsman that while adult women who experience rape are offered rape receptions, children do not have the same offer. They don't, it's discrimination. How long should Norwegian children and young people wait before the Minister for Gender Equality sets up such a sample, and, more importantly, when can we expect to see concrete proposals that will strengthen equality among children and young people?
ParlaMint-NO_2018-03-07.ana.ud465e430	I guess I'm about to be a Minister for Gender Equality for six weeks. It's been very exciting. Not least is one of the areas in which I have prioritised going into, just youth challenges today. This is why we are now going to set up a separate selection to look at youth culture, on how young people and children are also affected by the digital world and the platforms on which they are now on, but not least give us more knowledge about gender role patterns and gender equality challenges that young people experience, both in education and in work. We're going to set up a separate youth committee. On 8 March, I invite bloggers and influencers to a meeting about the negative impact I think many people have on gender equality in relation to children and young people.
ParlaMint-NO_2018-03-07.ana.ud465e437	It opens for follow-up questions – first Freddy André Upper Courtyard.
ParlaMint-NO_2018-03-07.ana.ud465e443	I asked for another specific decision – but that's okay. Last summer, the Stortinget decided that the government should investigate a low-threshold offer to enforce the ban on sexual harassment. The Council of State states in a letter this year that the Ministry will return to the Stortinget with information on the follow-up to that request decision. The months go by. In the meantime, brave women have told us about violations and harassment. Recently, a new gender equality report showed that sexual harassment is widespread, that women are more exposed than their male colleagues, and that a total of 10 pst. women have been exposed to unwanted sexual attention monthly or more frequently. How long does the Council of State think she needs to investigate the need for a low-threshold offer and an extension of the enforcement authority of the Discrimination Board in this area, a question that was addressed already in 2012, by the Skjeie Committee?
ParlaMint-NO_2018-03-07.ana.ud465e452	I'm going to start an investigation into the low-threshold offer these days. It's because we have two reasons to take care of, both the one who's warning, and the one that's being warned of. If the Stortinge is to be presented with a proposal on how we can strengthen not only the information and guidance part of this work – as the Equality Ombudsman today receives very many requests – but also this one in dealing with these issues, which are very complicated, we must first investigate. I hope to come back with a proposal for Stortinget as soon as it is possible, after we have determined how this should work in the best possible way.
ParlaMint-NO_2018-03-07.ana.ud465e459	Freddy André Supreme Court – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e464	We're excited to wait for it. As mentioned, it's March 8th tomorrow. 253 days have passed since the government was asked to maintain and strengthen the duty of activity and presentation. In the meantime, the government has weakened the obligation to report by approx. 90 pst. by establishments which have been exempted. In addition, we see that the request decisions made by Stortinget are still suspended and explained that we are waiting for investigations. It is therefore tempting to remind the Council of State of Hofstad Helleland of what she said about the then Council of State of Audun Lysbakken in 2010, and I quote: ‘The light tray enters the sequence of a handful of red-green children’s ministers in the last five years who investigate, evaluate and reduce samples.’ Instead, he could have ‘put matters forward to the Stortinget’. But he might have met the wall. My question is then: How quickly will the Council of State ensure that the decision of the Grand Council is implemented and leads to action that gives children, women and men a more equal and secure everyday life – or has the Council of State perhaps met the wall?
ParlaMint-NO_2018-03-07.ana.ud465e480	The challenge in this case is that Stortinget has winged a little. First, the Family and Culture Committee took a decision to remove the obligation to make presentations. Then the finance committee made a completely different decision before Christmas. And then we have a request decision that I'm following up, where I'm going to come back with an activity and reporting obligation that ensures that companies don't get an increase in bureaucracy associated with this, but that also does the equality work around the different workplaces in a good way. We are in the process of working, and we will, after a thorough work, make a proposal for the Storting where we will take good care of the two considerations. [[The President cut off]]
ParlaMint-NO_2018-03-07.ana.ud465e487	Time's up. Kari Henriksen – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e494	We've heard things take time. Now the government has been sitting for almost five years, so the Workers' Party has submitted a proposal on social control and honorary violence. We have seen that women get involved in the public debate, and they are threatened with life – these are people from the representative of the Supreme Court about this – and locally we have a gay man who is not allowed to sing in choirs because he is gay. The right and the government have been relatively tame about social control, which is at best in Norwegian society today. The government has now been responsible for this field for almost five years, and we are still waiting for action. But this matter is important, it also underlines the Council of State in its answer. That is why I expect – and I take it for granted – that this is a topic that has been addressed by the Council of State when she is now responsible for the gender equality field. I would ask her to share with Stortinget three important measures that she will work to get work done or start processes on.
ParlaMint-NO_2018-03-07.ana.ud465e499	This is something that not only the government is very concerned about, but that the Storting is also very concerned about, and therefore there are now also several proposals in Stortinget. We are following up our action plan on hate response – not least about more knowledge and dialogue with those who feel affected – and we are also following up the action plan on negative social control, against forced marriage, and efforts to combat gender mutilation should be reinforced. First of all, it is important for us to strengthen legal protection for those who are subjected to coercion and negative social control. I look very forward to March 8. Then the Prime Minister and the Minister of Inclusion, together with me, have invited you to a lunch meeting in the Prime Minister's home, where we have invited a lot of women from the minority community to tell us how they experience this, and what we can do to improve their situation.
ParlaMint-NO_2018-03-07.ana.ud465e506	Geir Jørgen Bekkevold – for follow-up questions.
ParlaMint-NO_2018-03-07.ana.ud465e511	I was happy when I saw that the Prime Minister was out defending Sumaya earlier this week against what she called "net-troll on the far right". Unfortunately, not only the network roles pose a threat to women's equal rights to contribute in public space. It makes editorials that are not aware of what votes they give room to in their column, it makes listeners, readers and viewers who more or less deliberately add to men's contribution greater credibility or authority, and we do so as legislators if we do not take our responsibility seriously. However, since the public debate is increasingly taking place on social media, networking is one of the most serious threats to an inclusive and equivocal vocabulary. I would therefore ask the Council of State how she thinks that politics can prevent women from being forced into silence, in order to use the Prime Minister's words, as Sumaya and more with her have already become.
ParlaMint-NO_2018-03-07.ana.ud465e518	Sick and discriminatory statements do not belong either in politics or elsewhere, and it is with great concern that I look at this development and how it distorts the public debate we have. I believe that the policy can contribute something important to the independence of women, to the understanding that their voice is important, that they should be heard, and that in Norway they have a right to be heard. We have freedom of expression. You can say whatever you want, you can disagree as much as you want, but you have to be heard. It is also important that we ensure that we disseminate knowledge about this, not least that we involve more people in the public debate. I think that's important for all parties in the future, too, that we're more able to involve more than the few that stand very alone, and that are being subjected to such a pressure as they are now.
ParlaMint-NO_2018-03-07.ana.ud465e524	Let's go to the next main question.
