ParlaMint-NO_2018-02-28.ana.ud158e28	The representative, Mr Grøvan, will present a proposal for a representative.
ParlaMint-NO_2018-02-28.ana.ud158e114	It can't be a rarity that I answer a question in Stortinget to what is actually the law. It would be a rarity if I didn't. I fully agree that there is reason to discuss whether a person should have a higher age limit for the proportion of children's and young people's psychiatric services than what was set in the 1980s, namely 18 years, but if we are to do so, we must first investigate it and, secondly, promote it for the Stortinge, for example. in the context of a budget, because it has financial implications and that would be a change of rules. I cannot oblige hospitals to comply with any legislation other than that adopted by the Stortinget. I think the representative would have been very engaged and asked questions if I had done so in other areas. That this is practiced differently is not new either. This has been the case for many years, but then local assessments are given. But the reimbursement they receive from the state is linked to the legislation enshrined in the Stortinget, which says 18 years.
ParlaMint-NO_2018-02-28.ana.ud158e121	Here's the situation that you're experiencing that you haven't had a fair share before. It's been low threshold. You have not paid for this service. You have also not received a penalty if you have not met. The threshold has been low. There has been an innovation in the service – psychiatric youth teams that have met a good need. So this changes because of the financial framework for which the Council of State is responsible. To make this a rule discussion, I feel as a significant disclaimer of responsibility for a patient group that the Council of State itself has said he has lifted to the top of his priority list. How long can we wait? And what do you say to the young people who now find it harder to get help?
ParlaMint-NO_2018-02-28.ana.ud158e128	The description given by the representative of the situation is not correct. It has been completely dependent on the team you have belonged to, and which health care company you have belonged to. This has been practiced differently over many years. That means that someone has paid the bills of sale before, while others have not. Now there are several people who have received a claim for a propensity, but it is not due to a rule change. This is because many people have dealt with the legislation adopted by the Stortinget. What I've said is that I'm working on looking at this. But as the representative knows, if we are to raise age limits related to prostheses, it has an economic significance. Therefore, it would be natural to come back to this in budgetary terms.
ParlaMint-NO_2018-02-28.ana.ud158e135	It opens for follow-up questions - first Kjersti Toppe.
ParlaMint-NO_2018-02-28.ana.ud158e141	The introduction of input-driven funding in mental health protection is now forcing all hospitals to demand possession of young people who are struggling with alcohol and psychiatry. In the past, the practice of many companies was not to demand the possession of patients over 18 years of age, especially in paediatric psychiatric outpatients and psychiatric youth teams. This has been a wise practice. In Health Bergen, they have for the time being refused to claim property from people under 30 years of age, and they cannot see that it is justified to demand money from these young people. They tell about young people who can no longer afford to receive help, they tell them that hospitals need to use their time to help them seek out Nav for support. Youth teams were supposed to be a low-threshold offer. Does the Council of State realize that the introduction of input-driven funding in mental health protection is a wrong step, and will the Council of State do more than evaluate and discuss — and let the youth of the psychiatry omit property?
ParlaMint-NO_2018-02-28.ana.ud158e150	The introduction of input-driven funding in mental health is an important tool, both in order to improve the understanding of mental health activities, contribute to increased activity and receive more equal treatment with other hospital services. This is precisely because we want increased activity, not least in the field of mental health protection for children and young people, and that it is prioritised in line with the golden rule. In the case of local assessments relating to the paying of accruals, this may now be done as before, but the State reimbursement is linked to the regulation adopted by the Stortinget. There, the Stortinge has adopted an age limit of 18 years. I am in the process of assessing whether that age limit is wise, and will come back to Stortinget with an assessment of it. It is also important to say that all these excesses fall under equity participation 1, and once one has reached that ceiling, all services are free of charge.
ParlaMint-NO_2018-02-28.ana.ud158e157	Nicholas Wilkinson – for follow-up questions.
ParlaMint-NO_2018-02-28.ana.ud158e162	We have a whole new situation. Many more young people have to pay for mental health care. The councils refer to the code, but we're asking about people's lives out there. This is not the only excesses that have been increased by this government. It has been done in a lot of fields. How can it be that we have a government that can afford well over 20 billion? In tax cuts, which no one can document has provided more jobs, but at the same time saves money by putting financial pressure, effort-driven financing, increasing the proportion of young people in mental health protection and increasing the proportion of people in health care? I wonder if the Council of State can agree that Norway's wealthiest could have contributed a few thousand more copies, so that we could fund free mental health protection for young people and exempt all young people up to 18 years of age for self-esteem throughout the Norwegian health system.
ParlaMint-NO_2018-02-28.ana.ud158e169	All Norwegian young people up to the age of 18 are exempted from self-interest in mental health – regardless of where you get help, if you get help from a private contract specialist, if you get help from a district psychiatric centre, if you get help from child and youth psychiatry. Proportions for children and young people under 18 years of age are not available in mental health in Norway. This government has also made no changes to that limit. No matter how many times the representative repeats that error, it is a mistake. The government has made no changes to that limit. I'm assessing whether we're going to raise that age limit, especially in child and youth psychiatry, but it's a change that in case will have budgetary implications. It's a rule change that we have to come back to Stortinget with. The rules may be applied differently in the service. It's been done every year. This means that there has been a significant injustice, by chance, from where you have been given help, whether you have paid self-interest or one when you are over 18.
ParlaMint-NO_2018-02-28.ana.ud158e176	Olaug V. Bollestad – for follow-up questions.
ParlaMint-NO_2018-02-28.ana.ud158e181	Psychiatric health for children and young people has been an area of activity for the entire size of the population. We have a unanimous decision that we should get an action plan to help just these. It costs an awful lot to the individual to get sick at a young age. It costs society a lot. It often becomes a whole life of illness if it debuts at a young age. I have a question for the Council of State, because it now turns out that the economy can be a threshold for people either not being treated or not being treated, and this has changed since 1 January 2018. I hear the council say that he will assess whether the proportion should be lower for this group, so my question is: does he have a plan in the short term and in the long term? There are young people who are already outside, and there is a need for time for investigation. There are these young people we're concerned about.
ParlaMint-NO_2018-02-28.ana.ud158e188	In the same way as before, I believe that the best assessment in dealing with the individual patient can be made out of the service. It's still possible. These are branches which fall within the scope of Article 1(1) of Regulation (EU) No 575/2013. For example, many people who are assisted in childhood and youth psychiatry have also expenditure on medicinal products. This means that they reach roof 1 relatively early in the year and thus have completely free healthcare after that. It's also very important to say, because it's now creating the impression that you have to pay more than $300 every time you're in the field of child and youth psychiatry if you're over 18. It's until partial 1 is reached, and then it's free of charge. Many people also go to hospital, and they have medical expenses. This means that they are early in the year when it is roofed – and then it is free.
ParlaMint-NO_2018-02-28.ana.ud158e193	Let's go to the next main question.
ParlaMint-NO_2018-02-28.ana.ud158e198	Several places in the country plan hospitals to shorten the lay time for women and newborns after birth. In 10 years, the average period of hospitalisation after birth in Norwegian hospitals is from 3.2 days in 2007 to 2.7 days in 2016. In Bergen, for example. a measure of 40 pst. the newly-baked mothers should be able to return home after 6 to 24 hours when the new hospital is completed in 2023. There shall be no birthplace for normal birth. This is done at the same time as there is a lack of between 600 and 700 midwiferies on a national basis so that mother and child can have a defensive offer. 60 pst. local authorities do not offer home visits within two weeks, as recommended. The plan to send mother and children home after six hours is unreal. Development is totally unacceptable, and more professionals call for caution. The childlegs and midwives fear the health of mother and child. Fears of increased infant mortality, undetected nursing problems, unprovided help, untreated illness. Six hours is short. It's about twice as long as we're in question here today. Ensuring Norwegian women a safe and secure supply of birth and maternity is a political responsibility. Bargain services are now being defined by Norwegian hospitals. It is suggested that many women should not stay overnight after birth – and this government is guarded. Clinical directors only indicate that maternity care must be done in the most efficient way possible at least cost. Is the Council of State agreed to this, or will he now take action to secure women and their newborn children a decent and professionally defending provision of birth and maternity in Norwegian hospitals and in the municipalities for years to come?
ParlaMint-NO_2018-02-28.ana.ud158e211	Firstly, there is no plan for Norwegian women to leave the hospital six hours after birth. There is always an individual assessment of how long women and children need to be in the hospital after a birth. I have full confidence that the midwives, together with skilled birth doctors, assess how long each woman needs to be in the hospital after a birth, and so it should be in the future. I think it's very unwise if we politicians decide how long each patient should be in hospital. I have full confidence that the professionals can assess this. What we have a responsibility for is to help continue to develop good maternity care in Norway. It will not least be about strengthening the midwife services in the municipality. We see that very many birthing women get a much better offer if they receive continuous follow-up from the same midwife, both in pregnancy and after birth. That is why this government, together with the Christian People's Party, is committed to a strong construction of the health stations and midwifery services in the municipalities. We've committed over one billion. kr for the last four years. Now in 2018, in the budgetary agreement with the Christian People's Party, we have also set aside earmarked funds for the further construction of the midwife service, and fortunately we see that there are more midwives in the municipalities. Of course, hospitals should continue to take responsibility for the special offer that birthing women need even after birth. It is the national leaders in this area.
ParlaMint-NO_2018-02-28.ana.ud158e221	There's a limit to everything, even for average time in our maternity wards. There is also a limit to what a specialist council can omit to take responsibility for. Because it's a political responsibility to prevent midwives from becoming a balancing post, that pregnant women become a balancing post, and that infants get an unnecessary hard start to life. There is a lack of between 600 and 700 midwiferies in municipalities. For the last four years, 87 have been added, and at that rate it would take 30 years to get enough midwives to meet today's quality standards. In addition, when one builds hospital buildings that do not provide room — literally — for maternity care, it is particularly worrying. Will the Council of State put a stop to the reduction in hospital time in Norway and have an escalation plan for midwives in the municipalities?
ParlaMint-NO_2018-02-28.ana.ud158e232	I take absolute responsibility for strengthening maternity care in Norway. That is one of the reasons why the government, together with the Christian People's Party, has strengthened the offer, put out of money, and now in 2018 this has been reinforced by earmarked money for midwifery positions in the municipalities, and we see that as a result. In addition to money, we reverse the red-green policy that removed the legal requirement that municipalities have midwives. When the central party was in government, an initiative was taken and removed the requirement in the law that the municipality should have midwives. We've turned that around. From 1 January 2018, it is a legal requirement that the municipality should have a midwife's competence, as well as that we give the municipalities money to hire midwives, and we also oblige the hospitals to have a much better cooperation with the municipalities. Hospitals should, of course, also consider what services are available in municipalities when assessing the outsourcing of patients.
ParlaMint-NO_2018-02-28.ana.ud158e237	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2018-02-28.ana.ud158e242	It is almost shocking to hear that the Council of State is not answering the question here – that he has no responsibility for this. A new hospital is being built in Stavanger, and there they have put in nothing but that several mothers should go home the same day. So it's a change in policy. When this hospital is completed in 2023, it is not useful to come forward with a solemn wish to maintain the bedtime, because then there is no room there anymore. So these are decisions that one has to take today. I also mean it's a disclaimer when the council says that he can't decide whether to go out after a few hours or after a few days. No, but the Council of State may help those who want that security to do so. So my question is whether the state council can guarantee that women in Rogaland in the future will release a ‘fixed track’ from the hospital after they have given birth.
ParlaMint-NO_2018-02-28.ana.ud158e251	The women in Rogaland and in the rest of the country will get a good assessment of the midwife/maternity doctor about how long they need to stay in the hospital before they go home. In that assessment, an emphasis must also be placed on the provision of the municipality in which the woman lives. For example, there are hospitals that have good cooperation agreements with the municipality, which make it the same midwife who follows the woman into birth, who also follows the woman home from birth, and who follows up afterwards. We see that there is something the women who are born are very pleased with, not least in the districts where there are long distances. In the case of Stavanger, very many of the birthing women today are put on a patient hotel before they go home. What Health Stavanger has said is that more of those admitted to hotels today can get a better follow-up, in cooperation with the midwives at home in the municipality, than they get at the hotel. I think that is a professional assessment and not a political assessment, whether you should be in a hotel or be at home after birth.
ParlaMint-NO_2018-02-28.ana.ud158e258	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2018-02-28.ana.ud158e263	Elisabeth Rusdal of the Norwegian Women's and Family Association states: ‘Even pregnant cows have better protection in their pregnancy than women have in this country.’ I've received a lot of calves in my life. I have put them into feeding legs, given them safety and tranquillity and left them alone for a day so that they will have peace. So Susanne Albrechtsen says, ‘The objective is that 40 per cent of women should be super-fast home.’ And on the other hand, ‘We must use the health crowns effectively.’ My question to the Minister of Finance is this: Does Minister of Finance Siv Jensen think that health budgets are going to be so tight that clinic managers around Norwegian hospitals see it as a goal to print out women who have been born after six hours, and that 40 pst. by mothers and children to be printed within a short period of time?
ParlaMint-NO_2018-02-28.ana.ud158e285	Now the Minister of Health has responded well to what is the practice of this in hospitals. If the question to me is about the health budgets, I dare remind the representative Schlagsvold Vedum that health budgets are increasing every year.
ParlaMint-NO_2018-02-28.ana.ud158e290	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2018-02-28.ana.ud158e295	Once again, we see a finance minister who disclaims responsibility, because that's when this happens. It is now set as a goal that 40 p.p. of women who have been born should be super-fast home, and that – once they have had their child – they should leave the hospital and be transported home in six hours. This is on Siv Jensen's watch. Does the Minister of Finance and the Chairman of the Progress Party, Siv Jensen, believe that the aim is for women to be transported home six hours after they have been born?
ParlaMint-NO_2018-02-28.ana.ud158e300	Neither I nor the government deny us responsibility. On the contrary, we are in a situation where the Norwegian economy is now improving, because the government has been pursuing an expansionary fiscal policy for several years. The arrows point in the right direction. While we have managed to solve the major challenges we have faced in terms of the oil price drop – many have lost their jobs – we now see that unemployment is falling, and growth is rising. At the same time, we have been able to give priority to the important areas that this government has set itself. One of the areas that has been the focus of this government is health. Health budgets have risen every year. More specific questions related to birthing women and childbirth, it is quite natural to ask the Minister of Health, who is responsible for it. He has already explained that.
ParlaMint-NO_2018-02-28.ana.ud158e306	The President agreed. Ingvild Kjerkol – for follow-up questions.
ParlaMint-NO_2018-02-28.ana.ud158e313	Norway has the best birth and maternity care in the world. It is a chance that needs to be defended every day, and especially when planning for new offers. Now the situation is the one in several hospitals that you plan with less bedtime, you plan to leave earlier. From this point of view, my question to the Council of State, when in a previous answer here, he says that he has full confidence in the professional assessment made by midwives and obstetricians for repatriation: Well, what then, good councillor, when it is these professionals who are now calling for warning that the bedtime is now approaching a limit point, and that the reception apparatus in the municipalities is not good enough? What about these professionals, whom the Council of State says he has full confidence in?
ParlaMint-NO_2018-02-28.ana.ud158e318	It is quite right, as the representative of Kjerkol says, that Norway is probably among the four–five countries in the world where it is safest to feed and be a mother. It shows international studies. And not only that we are, but we have also had a positive development in the last 10-20 years. The positive development has occurred at the same time as one has had a quite significant reduction in the bedtime in the hospitals of birthing women. So at the same time that the downtime has fallen, the quality and the results have improved. The reduction in bedtime over the last 20–30 years has not been politically determined. It has been part of a professional development. That's probably how it's going to be in the future, too, that you have a development. This isn't unique to birthing, it's been the same development for all patients. But it is the individual doctor who has to take the evaluation of the individual patient.
ParlaMint-NO_2018-02-28.ana.ud158e325	Nicholas Wilkinson – for follow-up questions.
ParlaMint-NO_2018-02-28.ana.ud158e330	We've been the best in the world – until now. But everyone who opens the papers and reads about mothers with bad experiences, I also think how important it is that we take this up now. When we talk about professional advice, an important professional advice is that all mothers in active birth should have one-to-one follow-up of midwife. It has been discussed several times with the Council of State, and every time the Council of State has not had control, has lacked numbers, has lacked knowledge, despite the fact that we ask again and again. That's why we have to take it back up here now and ask the Council of State if he's finally got control of the quality of maternity care and now can tell us if all mothers in active birth have a midwife one-to-one, how many have it, and if not all have it, whether he will ensure enough midwife resources for all mothers to have the quality and the follow-up they're going to have in active birth.
ParlaMint-NO_2018-02-28.ana.ud158e337	I believe that we can safely say that Norway has control over the quality of birth care. So we're among the best countries to be born in. All international studies show that we are and that development has gone in the right direction. Despite the fact that we started out among the best in the international studies, we have, however, also improved significantly. It is absolutely right that we have a quality requirement that one should have one-to-one follow-up in the hospitals during birth. In contrast to what has been the case in the past, I have also introduced reporting requirements, so that hospitals now report the proportion of women who receive one-to-one follow-up. Unfortunately, I do not have the numbers in my head, but I can send them to the representative at a later stage.
ParlaMint-NO_2018-02-28.ana.ud158e344	Karin Andersen – for follow-up questions.
ParlaMint-NO_2018-02-28.ana.ud158e349	Some of the concern is that there are no professional reasons for these short printing times that we now see. It is planned and built in such a way that it will not be possible to maintain the professional judgement that the Council of State says must be there. It's simply not space and space. Many hospitals report that they now have a printing practice because lack of capacity — not professional assessments — is at the root of these rapid printouts. Along with that, we see an increase in birth depression, which has doubled in the last 15 years. While hormones are raging and breast-feeding has not started, mother and children are sent home in the past, and municipal health services are not in place either. Will the Council of State ensure that there is no planning and building that is too little to take care of the professional qualities of maternity care?
ParlaMint-NO_2018-02-28.ana.ud158e356	The dimensioning of the individual hospital is done locally and always in close cooperation with the professionals working in hospitals. There are separate working groups for each area and this is assessed locally according to the forecasts. In addition, we have established an own health company, Hospital Building HF, which ensures that the experience of new hospital buildings, both positive and negative, is further incorporated into the planning of new buildings. This means that one goes away from what has been a bit of the model in Norway in the past – that one builds a hospital each time as if one did it for the first time – but builds on both positive and negative experiences for each building. It will also help you to gain knowledge and to constantly improve these work. But those who make the best assessments of dimensioning are professionals and management locally.
ParlaMint-NO_2018-02-28.ana.ud158e361	Olaug V. Bollestad – for follow-up questions.
ParlaMint-NO_2018-02-28.ana.ud158e366	During the period 2007-2013, I was allowed to be rapporteur in one of the municipalities with the youngest population in the country, and that means there were a terrible number of births. During that period, the hospital decided to print patients earlier. We sat as a municipality and caught these, and I had many crying mothers in my office from that situation. So we know, by numbers afterwards, that birth depression has increased dramatically. It has great consequences for mother and great consequences for young people growing up with a mentally ill mother. The municipality is not able to detect it so early with a few home visits by midwife or health care sister. My question to the Council of State is: does the Council of State worry that depression of pregnancy and childbirth has increased so dramatically? And it could have some consequences for hospitals...
ParlaMint-NO_2018-02-28.ana.ud158e374	Time's up.
ParlaMint-NO_2018-02-28.ana.ud158e379	Yes, the increase in gestational depression and mental challenges — not only about pregnancy depression here, but also about mental health challenges — is something that concerns me. That is why, like the representative, I am very concerned that we are building up and strengthening good maternity care in Norway. During the period the representative refers to, where this increase has been, the average lying time has ranged from 3.2 to 2.7 days. I don't think a decrease of 0.5 days can explain that development in mental health challenges among birthing women. As the professionals say, this is a complex question. During the same period, we have seen a large increase in mental health challenges in the general population. But I believe the answer to that challenge is what I feel is that the Christian People's Party and the government agree, that we need to strengthen maternity care, not least in the municipalities, so that you get a good follow-up in pregnancy and after birth, and we do that by strengthening the midwife service in the municipalities.
ParlaMint-NO_2018-02-28.ana.ud158e384	Let's go to the next main question.
ParlaMint-NO_2018-02-28.ana.ud158e389	I've recently become uncle to little Erik, and as my sister could tell, there were amazingly capable people in the maternity ward, but they had terrible bad time. The government has cut the basic appropriations through so-called ABE cuts for several years. For those who wonder what is hiding behind that name, the flat cheese needs to be without priority or no analysis of what the actual needs of the different parts of the health sector are. The sector is screaming about the lack of resources in the food supply. Prime Minister Erna Solberg posted a clip on her blog post yesterday, where she said that the first day is the most dangerous thing in a child's life. That's what SV agrees with. That is why we have proposed in our alternative state budget to strengthen maternity care and to transfer more money to the municipalities. But we still see that the government is proposing new, unpriority cheese needs in health care year after year. Therefore, I would like to ask the Council of State whether he is affected by the stories we have heard about the great lack of resources in maternity care, and whether he will then propose to protect the maternity wards against these unprioritised cheese conditions in the future.
ParlaMint-NO_2018-02-28.ana.ud158e396	The government has prioritised growth in the hospital economy and facilitated a growth in patient treatment of 11.9 p.m. through the five budgets we have submitted. I just want to remind you that the total budget growth under the Stoltenberg II government – i.e. over eight years – was 10.5 pst. In five years this government has prioritised a higher growth in hospitals than the previous government has been able to do for eight years. I'm very happy about that, because there's a need, not least to give a good offer to all types of patients. It is important to give priority to hospitals. We have done that in tough times too, when the country has been in a situation of high unemployment and low oil prices. This has also produced good results. The waiting times are shorter, fewer patients are in line. We also experience that we have good results within, for example: maternity care. I am fully aware that those who work in hospitals have – and experience – a busy everyday life today, as they have done over many years. A huge effort is being made in hospitals. I don't think it's a good idea for the Stortinget or the government to start earmarking money in the hospitals' budgets for the individual areas. I think it's wise that those assessments are made locally, and that hospitals are planning to spend the money they get from the Storting, in those areas where they think it's the most needed.
ParlaMint-NO_2018-02-28.ana.ud158e405	The question is not whether the economy is growing, but whether the economy is enough to cover the problems. What I asked about was whether the stories of the mothers have made an impression, but the council didn't mention these mothers in a word. Then I can mention one of them, Madeleine Schultz, who says that her relationship with giving birth for the first time was somewhat like the “fit-mum” accounts on instagram”: ‘It’s primarily about how to tighten and streamline’ — as early as possible. SV wants them to be able to choose whether they want to go to the midwife or to be regular. We have mentioned this several times and have received a response from the Ministry of Finance that it is economically profitable for municipalities to send mothers to permanent agencies. We've heard stories about women who are denied freedom of choice. The daily paper shows that up to 44 stillbirths could have been avoided in 2016 by better follow-up in pregnancy. Will the government turn around, support SV and change the funding mechanism, so that we no longer actively prize Mother's right to choose a midwife, if she wants to?
ParlaMint-NO_2018-02-28.ana.ud158e419	I have to say again that both the representative and others give a picture of Norwegian maternity care that in no way matches what we see are the results. Norway is likely to have one of the world’s best birth nurses. Of course, that single patients have bad experiences, we have to take it seriously. It has to be worked on all the time. What I'm concerned about is that one, not least in healthcare, is going to meet the individual person. To describe Norwegian maternity care that cows like calves are better off – using the kind of pictures – I think is completely wrong. It creates a scare picture for women in Norway who have not yet given birth, that is what they are going to meet with. It's not. One is lucky when one is a nurturing woman in Norway, because one born in the country that is likely to have the best offer, and ranked as one of the best countries to be a mother in, even after birth.
ParlaMint-NO_2018-02-28.ana.ud158e426	Let's move on to the next main question.
ParlaMint-NO_2018-02-28.ana.ud158e431	My question goes to the Minister of Knowledge, who is now sitting impatiently. Right now, it's been 20 years since the first six-year-olds entered Norwegian school. So we're celebrating the 20th anniversary of the six-year reform. The question is, what has been the result of the school reform? So the goal was to ensure social smoothing by getting more children through the school and with better results. It was supposed to give early school start, because it was mandatory, something that kindergarten isn't. So we see today that there are many who are tired at school. Departure from further training is high. The number of ADHD diagnoses path, and children and young people struggling with the feeling of not reaching demands and expectations that are both in school and outside. In addition, an SSB study has concluded that the impact of the six-year reform seems to be small, both in terms of youth, the implementation of further education, and to what extent students are well professional or general. We know that there was a cost-saving reform. It was cheaper to have six-year-olds in school than in kindergarten. But the idea behind this reform was to take the best from kindergarten and the best from school and get the first year to really become a year of play and learning in a positive outcome. That doesn't seem to have happened. My question to the Council of State is this: Does the new Minister of Knowledge think that the six-year reform is successful?
ParlaMint-NO_2018-02-28.ana.ud158e446	The representative Knut Arild Hareide points to some of the challenges in Norwegian school, and we're going to take them seriously. At the same time, we should also be glad that there are several students who are now completing high school. We also see the results that students have, among other things. through the PISA study, that they read better, and that more people do well in real science. So it's absolutely right that we also have some challenges. I hope that the answer to the Hareide question is not that the Christian People's Party wants to take the six-year-olds back to kindergarten. The answer must be that we invest more in the youngest children in school. That's why we now, together with the Christian People's Party, have a great commitment to early school work. We know that it is in the first few years that it is especially important to invest in our children, make sure they learn to read, write and calculate, but at the same time they have a safe and good schooling day. The two things have to be seen in the context. We have to make sure that the children are well at school, that we build a team around the children, and especially around the children who are struggling. What we're doing now is we're making sure that there are more teachers in school. We make sure that there are more career paths and that we get teacher specialists who become specialists in initial training. I think we're going to experience the 20 years we've had with the six-year reform, and then we're going to take the best of what's been, and make sure that we strengthen the school in the future: both that we strengthen the common area that the school is, and that we focus more on good initial training, so that the children learn to read, write and calculate.
ParlaMint-NO_2018-02-28.ana.ud158e459	I can reassure the council that it is not the intention of the Christian People's Party to take the six-year-olds out of school, but it was an intention behind the reform that we should take the best of the kindergarten, the best of the school, and put together a new year. That intention is not followed up. Government predecessor Torbjørn Røe Isaksen said it was not relevant for him to make 1st grade into a season. Then he was also moved away from the role of the Minister of Knowledge to another role after he had said that, and my question is, to the one who has now been given this new trust: does he see that there is a need to adjust the very first year in line with what was meant, that we should have a year that is in a way on the premises of the children more than on the premises of the school, and that we are just securing learning through play the first year as well?
ParlaMint-NO_2018-02-28.ana.ud158e467	Now I believe that both kindergarten and school should be on children's premises. Of course, you can also learn by playing; you can also learn by playing in kindergarten. We see that the children who go to kindergarten do better at school too. It is important that more children go to kindergarten, and especially children with a minority background. That is why we have a strong commitment to it. We're also betting on skills building at school. So I think it's not our job as politicians to control the education of the school in detail. We have to give the teacher room to be a teacher. We need to give teachers the tools they need to adapt their training to the challenges they face. This means that if a teacher believes that the child can learn better through play, it must, of course, be prepared, both for the smallest and perhaps for those who are a little older. You can learn a lot — including adults — by playing.
ParlaMint-NO_2018-02-28.ana.ud158e474	It opens for follow-up questions – first Marit Knutsdatter Strand.
ParlaMint-NO_2018-02-28.ana.ud158e479	A good start to school is essential for success across the school cycle, and yesterday the Central Party presented a proposal for a review of the six-year reform in order to better address the needs of the younger students. Here, political action has been taken in the past, for which the Council of State must also be responsible today. After 20 years since Reform 97 was launched, and the age of school leaving was reduced – successfully or evenly – we now need a review. We experience that students’ premises have been set aside for the benefit of phase-out of kindergarten education, increased learning pressure and less free play time. And, as the Council of State says, the first years are critical. Does the Council of State think that today the school serves the needs of the youngest students in a good way, or does the Council of State agree that this development has gone too far?
