ParlaMint-NO_2018-11-28.ana.ud257e28	The representative of the Bears Moxnes will present two proposals for representatives.
ParlaMint-NO_2018-11-28.ana.ud257e118	It's not like we owe the government for not doing anything. We say that part of what they're doing is wrong, or that they're weak. We ask fairly precise questions, but we get an imprecise answer. In some contexts, Norwegian workers have also experienced that employee rights do not have a strong enough legal position. That's what they saw, among other things. in 2016, in conjunction with the Holship judgment of the Supreme Court, where the companies’ right of freedom of establishment led to the rights of workers. There was something that many responded to, including: The European Movement, which stated that it is important that the Supreme Court is involved in protecting the right to freedom of establishment, but that the judgment is challenging when it comes to labour policy. That also means the working party. There's some reason why we want the ILO core conventions into the Human Rights Act. It will give them precedence in Norwegian law. This will make them stronger than today in the event of any conflict with the EEA rules. The question is whether the Council of State intends to take the initiative in incorporating ILO core conventions into the human rights law. I also want a reason for the answer, whether it's yes or no.
ParlaMint-NO_2018-11-28.ana.ud257e127	In the premise of the questions, the representative told Tajik that the measures had been weak. Well, those measures have been developed together with the social partners and the agencies, and both the parties and the agencies themselves say that the strategy provides good results. These measures are effective; they are capable of putting more out of the game than was previously achieved. We're going to be very happy about that. But we shouldn't be content with that. We are now working with the parties to develop our third strategy, where we are reviewing those we already have, just to make several powerful actions. So it's true, as the representative says, that the EEA Agreement has some challenges, as we have seen in particular. the final judgments of the Court of First Instance. But the big picture is that the EEA Agreement is good for Norwegian workers, it is good for Norwegian working life, and it is good for Norwegian working conditions. In total, employees are better off with the EEA Agreement, precisely because the EEA Agreement ensures a level playing field across Europe. To this end with the ILO core conventions: I do not know which of the core conventions that the representative Tajik wants to incorporate. It has not been investigated, and I am also not sure that it will solve the problem that Tajik wants to solve.
ParlaMint-NO_2018-11-28.ana.ud257e136	Leif Audun Sande – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e141	Foreign workers are treated relatively equally, subject to conditions such as Norwegian, by generalising tariff agreements. In the decisions that cover travel, diet and lodging, and the starting point for the coverage is that these are posted workers as commuters. But then the employers are able to find a giant dirt hole. Polacks, Lithuanians and others who come here are not defined as being posted; they are defined as locals not commuting but repatriating, or even holidaymakers in their home country. It looks like a commuting arrangement: two weeks of work, two weeks of work – four weeks of work, two weeks of work. However, due to changes in definitions, employers skip all travel expenses to the employee, all cost to the employee, all accommodation expenses to the employee – get completely out of the way. This is social dumping in the system. Why does the Council of State take no initiative at all to close this gigantic hole, e.g. by supporting the Workers' Party's proposal on average working time calculations?
ParlaMint-NO_2018-11-28.ana.ud257e147	These were actually more questions on the same question. Travel, diet and lodging have been an area of different types of challenges. One is the one that has been EEA-relevant, which has been much discussed, but it has also been another challenge, which is about the so-called out-of-port establishments, i.e. the fact that you are neglecting the obligations to cover travel, food and lodging, because you get a so-called mailbox company. The last issue was, as far as I understand, largely addressed through the last year's collective bargaining, where the parties agreed on how to solve this. In this way, collective bargaining has taken a decision that solves the second – and collective bargaining is a joint management body, which has found a solution to the second issue. No, I disagree with the point of averaging. I believe that this is something that should be in the hands of the parties today. I do not want to carry out the tightening-up proposed by the Workers' Party.
ParlaMint-NO_2018-11-28.ana.ud257e154	Øystein Langholm Hansen – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e159	The EU agency directive was introduced on 1 July 2013. At the same time, the red-green government introduced a collective court of law. On 1 July 2015, only two years later, it was repealed by the Right-wing Party Government, which took over in 2013. The right of collective redress was considered by Norwegian workers to be the best way of controlling rentals under the Directive. It goes without saying that when someone's hired, they're not willing to go to court with neither the rental company nor the rental company, because then there's a great chance that you won't get any further involvement. This is considered to be a matter of private law by the government, where neither the Labour Inspectorate nor the trustee can enter into the relationship. Why does the Minister of Labour not want Norwegian workers to have this important tool?
ParlaMint-NO_2018-11-28.ana.ud257e164	The Temporary Agency Directive is also a good example of how EU directives contribute significantly to raising the standard and ensuring equal rights and conditions for workers. This is a good example of benefits from the EEA Agreement. The Temporary Agency Directive is also an example of the possibility for Norwegian authorities to exploit the space for action to have a higher standard than that envisaged by that Directive, because the Directive is a minimum level and not a maximum level. The reason for the issue of collective redress was that we did not want to continue it, first of all that there was very much controversy between the parties. We are concerned that in the spirit of party cooperation it must be that we listen to both sides of the table, and this was very controversial on the one hand. It was also not used, or hardly used, and it had seen no real meaning like that. We believe that this is a matter of private law. You have the opportunity today to go to trial, and it's basically unfortunate that others should go to trial on behalf of yourself, even if you don't want to.
ParlaMint-NO_2018-11-28.ana.ud257e171	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e176	The EEA Agreement, with the free movement of workers from countries with poor pay and working conditions and high unemployment, has major implications. We have to do more in Norway, but more and more occupational groups are experiencing a deterioration in pay and working conditions. The last matter of direct relevance to the content of the Norwegian Generalised Tariff Agreements is the Tariff Topic Decision of 11 October on the continued partial publication of the Industrial Agreement. The decision of the Norwegian Supreme Court was set aside, and the ESA’s view of the legislation, against the voice of the LO, emerged in the subject matter of the Tariff. My question is this: does Norway no longer have the room for action to comply with the judgment of the Supreme Court if the case is brought before ESA and ESA has a different opinion than the Supreme Court?
ParlaMint-NO_2018-11-28.ana.ud257e183	Indeed, Norway has an opportunity, and the Norwegian Government also insisted on the Supreme Court’s decision on the issue of travel, diet and lodging. This is a relatively complicated case, which has been going on in the Norwegian judicial system for very many years – for more than ten years it has been changing – before ESA came up with its opening letter and the parties in its negotiations tried to find a solution between themselves. They found a solution, and other questions came up on the subject of the Tariff in the autumn. The subject of the collective agreement is a joint management body where the parties sit together to discuss it. There has also been a great deal on the legal side after the Supreme Court was delivered. There have been several judges in the case, and proposals have also been made for a new broadcasting directive, which changes not least the issue of travel, diet and lodging. It is also, as far as I understand, the new directive on broadcasting, the subject of tariffs, that has been taken into consideration when they made their decision.
ParlaMint-NO_2018-11-28.ana.ud257e190	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e195	I understand the answer so that the Norwegian Magnificent could follow the judgment of the Supreme Court – the majority could do so. The matter has been under discussion for a long time between the management of the LO, the NHO and the Prime Minister and the responsible State Council. The association Norsk Industrie, NHO, took the case further to the control body of the EEA Agreement, ESA. They considered that the Supreme Court judgment on travel, diet and lodging of public tariff agreements was not in line with Norway’s obligations under the EEA Agreement, inter alia. the Posting of Workers Directive. My question then is: does the Council agree with the ESA's interpretation of the EEA Agreement's obligations?
ParlaMint-NO_2018-11-28.ana.ud257e202	I assume that ESA believes that the decision was not in line with the EEA Agreement. We have had several meetings with ESA on this matter, and we then figured out that the parties would sit together to see how they, as owners of the collective agreements, could reach agreement on their collective agreements. There were several issues related to travel, diet and lodging. Something was EEA-relevant, other matters were not. This has now been managed through the wage settlement between our partners and through the collective bargaining topic, where the parties are represented. And just the changes in the broadcasting directive were some of the subject matter until they were supposed to make their decision. The Broadcasting Directive significantly strengthens the rights of workers. It is good for workers, both in Norway and in Europe, to have the Posting of Workers Directive in place – precisely because it strengthens the rights of those sent out. It is also worth remembering that there are provisions on travel, diet and lodging in other countries, so that doesn't mean that you can no longer cover the expenses, because that's what you can get.
ParlaMint-NO_2018-11-28.ana.ud257e209	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e215	I understand the reality of the many words that the Council of States agrees with the ESA's assessment. The wording of Decision No 11 October is deliberately approximate. The subject says, among other things: that ‘they take their decisions within the framework of the legal basis referred to therein at all times shall be binding on the competence of the denominator’. The most concrete thing is that ‘coverage for ‘a reasonable number of return journeys’ is removed from the regulation’. In addition, it says: «The change is to be understood in such a way that there is no longer an obligation to cover travel between the country of origin and Norway.» My question is: does the Council of State agree that this means that workers who live abroad are cheaper for companies at the discretion of the Customs Council?
ParlaMint-NO_2018-11-28.ana.ud257e225	It has not been given that they will be cheaper in accordance with the decision of the Tariff Division. The Broadcasting Directive now sets out clearer rules on how travel, diet and lodging are to be determined and what is to be incorporated into that concept. The Broadcasting Directive clearly states that equal pay should be paid for equal work at the same place. It is significant that it is the Euro-LO that was among the drivers of the changes that were because they saw precisely that the changes would strengthen the workers' rights in Europe. Then it is worth remembering that we are concerned about discussing the autonomy and cooperation of the parties, tripartite cooperation and bipartite cooperation. It is the parties that own their agreements, and it is the parties that manage their agreements. Tariff heading is a composed, independent management body. Of course, the size of the issue can be overestimated by law, but it's a pretty big intervention in what we're talking about, the autonomy of the parties.
ParlaMint-NO_2018-11-28.ana.ud257e232	Karin Andersen – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e237	To date, the parties in Norway have been able to negotiate until wages and salaries can be met, and employment can be lived with. That's what's threatened with this ESA decision. As I understand the Council of State now, the Council of State believes that Norway has the opportunity to act in this matter. It must then be understood that the government does not want to secure food, shelter and transport as it has been in the workshop agreement in Norway from 1907 onwards, i.e. one of the pillars that has ensured us against the negative effects of labour immigration. Is it correctly understood that the Council of State says we can, but the government doesn't want to?
ParlaMint-NO_2018-11-28.ana.ud257e242	You always have the ability to test and put an action room on the top. In this case, there could be a risk of a breach of the Treaty. If it would be a dangerous way to go, I shouldn't say. What we've been concerned about is that once there's been a discussion, what's in the collective bargaining agreements, it's up to the parties to see if the collective bargaining agreement can possibly be reviewed and adapted to what is international law. I would like to point out again that the EEA Agreement is good for Norway. It is good for Norwegian workers, it is good for European workers. The Temporary Agency Directive, the Broadcasting Directive and the Enforcement Directive are all directives that strengthen the opportunities of Norwegian authorities to pursue unprofessional actors and help raise the rights of workers in Norway and Europe. And I believe that the opposition jumps smoothly over the benefits offered by the EEA agreement for Norwegian jobs and Norwegian workers. Now the parties have found a solution to the question of travel, diet and lodging.
ParlaMint-NO_2018-11-28.ana.ud257e249	Karin Andersen – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e254	Indeed, the Council of State is very happy that this can be adopted by Norway on its own initiative — for example. In fact, all the measures provided for in the agency directive could be adopted by Norway. So the high standards that this government needs directives in order to be pressured into adopting are completely possible. When the EEA Agreement was introduced, public disclosure was the very proof that we were to retain Norwegian control of Norwegian wage and working conditions in Norway. That's what was promised. When the conditions of public service are now threatened by this decision in the subject-matter of Tariffs – where the employer’s side would not respect a Norwegian Supreme Court judgment but takes it into account – one has to ask: Is the Council satisfied that the NHO, which is the government’s support player, has now put the whole EEA Agreement at risk?
ParlaMint-NO_2018-11-28.ana.ud257e261	I do not agree that the NHO has jeopardized the EEA Agreement. They have, like all other stakeholder organisations, prejudiced the interests of their members, and that is legitimate. They've won, and you can always think about it a lot. Yes, Norway can, of course, also raise standards on its own keel. It is strictly not necessary to have an EEA agreement to raise the standards. But what Norway relies on, with the EEA Agreement, is just access to markets. 80 pst. Norwegian exports go to the European market. I believe anyone who follows the brexit negotiations closely, sees that an outsidership is not necessarily particularly beneficial. For Norway, which is a large commodity exporting nation with an open economy, it would be relatively risky to say no to the open market access provided by the EEA Agreement. I have taken note of the fact that the parties have reached an agreement, both through the wage-fixing process in ours and through the subject of tariffs, on how the collective agreement is to be understood in terms of travel, diet and lodging. And that is in addition to the provisions that are already in the various directives.
ParlaMint-NO_2018-11-28.ana.ud257e270	Let's move on to the next main question. The President would not like to interrupt a good question change, but would remind us of Storting's Rules of Procedure § 72, that follow-up questions should be based on the main question.
ParlaMint-NO_2018-11-28.ana.ud257e277	Now the main issue is predatory policy. Robbery policy is about people's lives, it's about the right to manage the nature you've lived in and off for generations. The predatory policy is essential for the hunter who has reaped the abundance of nature. It is crucial for the older man who, every year, delights to go hunting with bickey saying, but who can no longer do so, or for the young couple who want to do hunting tourism and create a new diet, but who sees that the basis for nutrition disappears. It is crucial for the farmer who has used the mountain and the forest that grazes their animals, and sees that it is no longer possible because the animals are missing because of predators, or the small children's family who know only the unrest because there is becoming increasingly close wolves around their house, and who know the insecurity: Is it safe to use the school road anymore? Those who are most affected by the policy are those who are least heard. Those who take electric bicycles to their jobs in the department are the ones who run, and they don't know the politics of the body at all. In the most affected counties, 150 of 164 rapporteurs signed a treaty against predatory policies this summer. The main requirement was that the government had to follow up the collapse settlement. When I meet people who are affected by predatory policies, there is one clear message: the border is reached. The number of wolves has exploded due to unwise government policies in 2016 and 2017. Then my question is: will the Council of State listen to all those rapporteurs? Will he listen to all those affected by predatory policies, those affected by predatory policies? And will the Council of State ensure that the decision of the Storting on the wolf population is met?
ParlaMint-NO_2018-11-28.ana.ud257e284	It was then an unusually gloomy picture of the situation that the representative showed. Of course, we should follow up the decisions of Stortinget. That's what we're doing. We follow up on the Berne Convention, we follow up the message of biodiversity, we follow up the two predatory agreements and the majority decision on wolves. That's also what's done this year. And we're following up what's a clear zone management, that we have grazing priority areas where there's very low threshold for harvesting both wolves and other predators. This year we have the largest extract of the wolf that has been since the wolf was saved in 1973. I think there are 38 animals that are dead. 35 is fired. So this we're following up. I think it is positive that in the case of detected losses due to predators, the preliminary figures show that there is a slight decrease this year, even though it is very small.
ParlaMint-NO_2018-11-28.ana.ud257e292	I hear the Council of State think that I have a dark approach to predatory policy, but I have a realistic approach to it: 150 of 164 rapporteurs come up with a bulwark asking that predatory policy be followed up, and 150 of them are rapporteurs in the most affected states. They know the consequences of politics on the body. As regards the number of animals lost: within the wolf zone there is hardly any grazing animal left, ergo, it is of course not possible to lose grazing animals on the pasture. Governments know very well that today we have a number of wolves and a population that is more than twice as large as the size of the Stortinget when they adopted their predatory settlement. Then my question is: will the Council of State ensure that the agreed stock target is reached in the number of wolves, or is the Council of State aware that we now have a stock of more than twice the agreed target of the Storting?
ParlaMint-NO_2018-11-28.ana.ud257e299	The number of juveniles in 2017 was 10,5 when a raining 0,5 in frontier flocks. Two of them have already been taken out, so there were 8.5 young people, and there are a little over 4-6 young people, who were the decision of the Storting. That's the situation we have today. How many young people we have this year is just too early to say. But we will follow up on the policy we have with regard to the majority decision on the wolf, and we will follow up on what is in the commitments we have under the Berne Convention, which has also been adopted by the Storting. With regard to the complaint now under consideration in my department concerning the decision of the predators' dentures of wolves in the wolf zone, I cannot answer that question.
ParlaMint-NO_2018-11-28.ana.ud257e306	It opens for follow-up questions – first Tryful Battle Force Vedum.
ParlaMint-NO_2018-11-28.ana.ud257e311	Governments know very well that if we're going to be able to get on the settled stock of the Storting, we're going to have to take out wolves within the wolf zone. And some of the problem with zone policy is that those who live in that area experience that it has become a reserve. They were never asked if they would live in a reservation. They were never asked if they wanted their hunting opportunities to be lost, that they would lose their hunting rights, that they would lose the ability to drive grazing animals, that they would experience that there was more and more nearby wolf around their houses. But this has happened, and that policy has been trodden down on them. Does the Council of State agree that it is necessary to reach an agreed target, and must it also have pursued within the so - called wolf zone?
ParlaMint-NO_2018-11-28.ana.ud257e318	I agree with what is the policy of the majority of the population for this: we must have the large predators in Norway, we must also have wolves in Norway. We have a wolf zone where it's a predatory priority area. It's also adopted by the Storting. You still have hunting rights, they're the same in the wolf zone, there's no difference. Then we're going to follow up on the balance point between what's the big crowd's proposal on wolves and the commitments of the Berne Convention, to which Norway has joined.
ParlaMint-NO_2018-11-28.ana.ud257e323	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e328	The Berne Convention is not a problem. The relationship with the Berne Convention has been discussed and discussed by the Stortinget, so there is a great deal of room for action between the Council of State and the Government. However, there were 46 out of 47 rapporteurs in Trøndelag who this summer said clearly that enough is enough in predatory policy – there have been very high predatory losses in Trøndelag this summer – and there was also a criticism where the whole question of bear management in Central Norway and North Norway was central. In the government, the Right Party, the Advance Party, and the Left have pressed for the expansion of the bear zone in Trøndelag. That means that everything east of E6 in the North Throne Layer can be a bear zone. This means that municipalities like Steinkjer, Levanger, Verdal, Stjørdal, Meråker, Selbu and Tidal can become bear zones. Such an extension would result in serious conflicts — with the grazing industry, with one of the most active agricultural areas in the country and with the southern Sami domestic farming. Why will the Council of State and the Government press for the expansion of the bear management area?
ParlaMint-NO_2018-11-28.ana.ud257e333	Now there's no decision to expand the bear management area, but we're in a discussion with the predatory game topic – precisely because it's a problem that the number of bears and the bear trunk is falling – whether we have a large enough area to meet what's in the bear's stock. Now there is a dialogue between the predatory game subject and the Environment Directorate to see if a consensus can be reached, but the matter has not been addressed to the ministry. This is a dialogue in progress and until any changes are made, it is the zones for which predatory wildlife has been adopted.
ParlaMint-NO_2018-11-28.ana.ud257e338	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e343	The reality is that in the summer, the ministry simply called in predatory game on the carpet and said that if they do not expand the bear management area, the department may instruct them to change the entire management plan. That is the reality. Then it's true that someone then put the wild game subject in a dialogue with the Environment Directorate, and I can inform the Council of State that they have now agreed. The management plan will not be reviewed, which means that the bear zone will not be extended. It is agreed by the Directorate for the Environment and the Pest of Robbery. That's a reasonable decision. Does the Council of State mean the same thing? Does he also think it makes sense, and will he now put this away? Or is it that it is still relevant for the government to instruct the robber to expand the bear zone, as the ministry has previously threatened?
ParlaMint-NO_2018-11-28.ana.ud257e348	What I'm referring to is that we have a case-by-case procedure in which we're just asking to get together, that is, the predatory game subject and the Environment Directorate, to see if you can agree. Then no decision has been made by the government on any extension. The current situation is that of the predatory game zones adopted by the predatory game subject, and they will remain in force until any changes are made to it.
ParlaMint-NO_2018-11-28.ana.ud257e354	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e359	It's not right that they're still in a dialogue. They're done with the dialogue. They've had meetings, and I'm standing with the record in front of me here. It says that the parties assume that there has been a thorough process. The adopted management plan is valid and they also say that it will not be possible to make changes now on the basis of the conflicts. It's the council that both the directorate and the robbers give to the department, and I ask: doesn't the council also think it makes sense to put away the whole idea of expanding the bear management zone in Trøndelag?
ParlaMint-NO_2018-11-28.ana.ud257e364	It's not like it's a thought of expanding. Now, what we're going to think about is we're going to try to reach the population targets of the bear, and that's the discussion that goes on. Is this a sufficient area for us to reach the stock targets? Of course, if there is agreement between the Environment Directorate and the predatory game subject, it is positive that we can achieve that goal. If there's agreement, there's something that's important to have in the further process.
ParlaMint-NO_2018-11-28.ana.ud257e369	Sandra Borch - for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e374	The number of yews has been far above the stock target for many years, and the license hunt for yews has been partly unsuccessful because only about half of the set quotas have been taken out over several years. The fact that the population has been far above the target for many years has caused serious problems for grazing and for domestic farming. In recent years, there has been a testing scheme that has been very successful. We have enough knowledge to make this system permanent, and once again we see that the Council of State is refusing to ensure the active management of predatory game. What experience is the Council of State expecting to do that has not already been achieved through this trial system, and does the Council of State at all intend to make this system permanent?
ParlaMint-NO_2018-11-28.ana.ud257e379	First, it's important to find out that your loss rates have fallen in recent years. So it's a positive development. The second is that we have continued the trial scheme for hunting methods on you, even during this winter, even though the trial period is over. This is now to be evaluated, and then we have to make an assessment when that evaluation is in place.
ParlaMint-NO_2018-11-28.ana.ud257e384	Tore Storehaug – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e389	It is important that both objectives of Norwegian predatory policies are taken into account, that one should take care of grazing areas, and that one should take care of the predators for which Norway is responsible. In 2014, one came from a situation in my home country where one had great losses to you – 126 confirmed sheep carcasses that year – which led one to introduce the extraordinary measures now pointed to by the Council of State and which have been partially continued during the current trial period. Now we see that the herds are stable above the herds and have been taken up in relation to the period when one managed to bring down predatory losses in the grazing priority areas of Sogn and Fjordane. Now one at the same time sees that there are several yervtisper who are establishing themselves in the mountains between Uppland and Sogn and Fjordane. This means that one is at risk of a reprisal of what happened in 2014. Does the Council share that concern? And what would he do to prevent this?
ParlaMint-NO_2018-11-28.ana.ud257e396	As far as you're concerned, there's no doubt that when our measure is 39 young people every year, the Storting has settled on a low number. It's true that we've been over in the case of juveniles for a period of time. But there have also been large withdrawals of yours, among others. hi-up, which is controversial – there are also animal ethical aspects to this. We need to get a more effective withdrawal in the license case. That is why we have continued the experimental arrangements we have. I think I have to say that we must continue the policy we have, namely that we have a clear zoning with grazing priority areas and predatory game priority areas. We have to have an effective hunt when we ask for withdrawals, and then we have to keep in touch with the big picture, which is that the loss of grazing animals to you has fallen in recent years. We want to continue that development.
ParlaMint-NO_2018-11-28.ana.ud257e403	Tore Storehaug – for follow-up questions.
ParlaMint-NO_2018-11-28.ana.ud257e408	The last thing I can think of is that we want to continue the downturn that has been on yours. That's very good. Then it also requires that we have and use the whole tool kit we have. Success in 2014–2015 was that one introduced the exceptional measures early and that one did not expect. Now one sees that there are five yuvtisper operating in the areas between Uppland and Sogn and Fjordane. Some of them are a real fear of establishing themselves in the grazing priority areas, and one may be back in a situation that has created anxiety and frustration, and which cast doubt on our two-part goal in Norwegian predatory policy. Does the Council share that concern? And what does he want to do to prevent this?
ParlaMint-NO_2018-11-28.ana.ud257e416	I'm not going to make decisions here about killing permits on exactly the five yuvtispens to which it refers. We have to follow the management system we have. We have a license term. We're in it now, and we're facilitating that it can be effective hunting. The experimental systems continue, and if we get a situation where damage is needed, we have a very low threshold to authorise it. We've had that this year, and we're going to have that to the next year as well.
ParlaMint-NO_2018-11-28.ana.ud257e421	Let's move on to the next main question.
ParlaMint-NO_2018-11-28.ana.ud257e426	My question also goes to the Minister for Climate and Environment. For the first time in a long time, sea deposits in Norwegian fjords are planned for mining. Fördefjorden and Repparfjorden are both national salmon fjords intended to provide special protection for the wild species. The marine research institute has opposed the applications for marine landfill in both fjords and has warned against the consequences for, inter alia: fish eggs and life on the bottom. Repparfjorden is a national salmon fjord with a species-rich life. Repparfjord River is also a rich salmon eel. The mining company Nussir has applied for 30 million. tonnes of mining waste in Repparfjord from a copper mine in the municipality of Kvalsund during a 15-year period. Fördefjorden is one of the most important spawning fjords in the West for cod and an important seafood fjord. Several red-listed species have spawning and growing areas in the deeper parts of the fjord, where it is sought to dump mining waste. The mining landfill in Førdefjorden could have significant negative effects on coastal cod and eel, piggå and blue ling. The red-listed species blue-linge and piggå are likely to have spawning and growing areas in the planned landfill, and the landfill will remove the only known spawning area of blue-linge in the fjord so far. The fjords are one of the most valuable things we have. They're Norway's pride. Life in the fjords will not die. Therefore, young people in Nature and Youth have engaged and used civil disobedience to save the fjords. The leader of the Left, Trine Skei Grande, said on 30 July 2015: ‘This is one of the most important environmental issues we have next to the climate battle. You should never, never, never give in to such important things." That is why I am now asking the Minister for Climate Change and the Environment, how are things not going?
ParlaMint-NO_2018-11-28.ana.ud257e446	This has been a matter that has been important to the Left for many years. It was also a central theme in the government negotiations on Jeløya, and is one of the reasons why the decision that has been taken and that the government agrees on is that no new maritime landfills will be permitted during this major period. This is the first time we have such a decision and agreement in Norway. It is also agreed that we should review environmental legislation on mines and the landfill of waste from mines. It shall also be carried out during this grossing-up period. In the case of the two matters concerned with Repparfjorden and Fördefjorden, the agreement is that no change is made to the permission given there.
ParlaMint-NO_2018-11-28.ana.ud257e453	When the Environment Directorate made its first recommendation in the case on 4 November 2014, they said that the environmental considerations ensured that the objections raised against the plans for the landfill of mining waste in Fördefjorden should be taken into account. However, when the Directorate gave its final recommendation to implement the plans in April 2015, the reason was that the benefits of society were greater than environmental handicaps. Afterwards, studies from Nordic Mining show that the company has significantly reduced the number of jobs and the period to be operated, and they have increased the period of operation with open operation in the landscape. Workplaces were a key element of the assessments carried out by the Environment Directorate, which allowed them to say that they could do so and that the benefits of society were greater than environmental disadvantages. One might wonder how many jobs a dead fjord is worth, but when this premise is so radically changed, shouldn't the whole thing be reconsidered?
