ParlaMint-NO_2018-02-01.ana.ud515e32	The representative of Åslaug Sem-Jacobsen will present a proposal for a representative.
ParlaMint-NO_2018-02-01.ana.ud515e177	It's going to be line change.
ParlaMint-NO_2018-02-01.ana.ud515e182	It is good to hear that the Council of State will follow up and believe that the Riksrevision and the Committee have done a thorough job. I would like to stress the importance of the international agreements – which the Council of State had in mind – and mention that former fisheries minister Helga Pedersen will remain in Norwegian history as one of those who really made great progress in international registration of so-called u-fishing. She worked hard internationally with that. I'm glad the council says he'll follow it up. Then I'll ask you a little bit more specifically about Skagerrak and the North Sea. A part of what the Council of State said, was in a way a general strengthening of national supervision, but it is evident from this report that there is a special failure in the areas in which the representative of the Knag County mentioned the historical importance and potential of. I would ask the Council of State to say a little more specifically what measures he sees in the specific area.
ParlaMint-NO_2018-02-01.ana.ud515e189	I share what is said about the fact that former fisheries ministers and former governments have argued that Norway is now in fact the leader in the fight against illegal fishing. We're not going to go into that trap and be a little naive and think that somehow we've eliminated something, but we've done a considerable job, and internationally we've taken a leading role in this. As I pointed out in my article, we are a little dependent on bringing the EU. Otherwise, it is largely bilateral agreements that we deal with in the case of Skagerrak – among others. United Kingdom and Denmark. But now we've got the EU with us, and the EU is also more focused on this. There has been a challenge in the past, but now we have agreements with both Denmark and the United Kingdom to focus more on this. We also have areas that we have actually closed. At these times, there is a debate in Tvedestrand — on areas that are protected — about whether we can manage to raise the population of, among others. coastal cod in these areas. This has been going on for five to six years, the result is not yet available.
ParlaMint-NO_2018-02-01.ana.ud515e196	That's good, but what we don't depend on in international cooperation – and as I stressed is so important, and as the Council of State says – is in a way that we ourselves are left with control regimes, research and monitoring of population development. It is particularly in the areas we live in – with concern for those who are going to live on the fishing resources as a profession, but also generally as part of the natural cycle and for the many recreational fishermen in the area – that there has been too poor monitoring of the stock, poor monitoring of fishing practices and poor control of the regulations we have in these fisheries. That's what I'm asking the Council of State to comment a little bit more specifically.
ParlaMint-NO_2018-02-01.ana.ud515e202	As I said a little bit about in my main post, this is about having to have a lot more resources for both research and control in the areas we are talking about. But as I also say, with regard to this working group we have now been set up, we are totally dependent on having the EU and others with us in common to establish a common regulatory framework. Over the two years I have been a fisheries minister, I have participated in many debates where Norwegian interests, fishermen and industries are somewhat in doubt as to whether the others who also harvest the stocks in this area are following the legislation. The most important thing now is that we put in place a common regulatory framework, a common understanding of the state of the different species in these areas. A trap code is the goal. That's why we should be a little satisfied that we have at least got a working group in place – so that we look towards it.
ParlaMint-NO_2018-02-01.ana.ud515e207	That's good. I only have one last question. I expect this Council of State, like all the other Councils of State, to ask the Ministry of Finance to get as much money as possible for their important work – in the case of this Council of State, largely investments for the acquisition of income later. What we're really asking about here, and what I think is left in the National Audit Office's report, is: will one increase the relative proportion of attention in terms of control and research to the area that you've now pointed to has too little of it?
ParlaMint-NO_2018-02-01.ana.ud515e212	I feel that we have already done so, also through the leadership of Stortinget. There, I think both big business and government agree that we need more resources. I also pointed out that the Directorate actually focuses a lot on this in some areas in the case of Skagerrak: putting in place conservation areas and prohibition areas to see whether it is possible to develop and increase populations, especially with a focus on spawning areas, etc. There is no doubt that the government has increased access to resources through research, control and studies — and the Storting has also raised it further. The use of resources in both research and control has been increasing in recent years — and will continue to do so.
ParlaMint-NO_2018-02-01.ana.ud515e217	I think it's good that a set down a public selection to review all of this, I think it's really high time. In any case, the case of the Riksrevision shows that there are so many problems here in so many different areas that here one might simply need to sew this together in a new and better way. But that is in the long term. In the short term, there are a number of measures, and I also believe that for this area there is a whole determination with the EU, etc. But what's happened on the coast is just something that we in Norway have control of; there's nothing we can blame on others because we haven't managed in a good enough way. It's our own fault that we can't get better management of coastal populations. And we have a fjord line in this country that's adopted, but that's not being held, where the dispensation possibilities of the Fisheries Directorate are too extensive. Is there anything the Minister has thought about tightening up?
ParlaMint-NO_2018-02-01.ana.ud515e224	I remember the debate in 2017 when the department shut down two fjords in North Norway – in terms of not granting this kind of derogation. There were many different relationships that led to it. I remember that Knag Fylkesnes also pointed this out in his post with digitisation and collection of great data. There'll be a priority from my side now, because there's a lot of data, but it needs to be coordinated. So it's also like we get two more research vessels. In the action reform that took place in 2015, 2016 and 2017, 75 million were signed. kr to build a coastal research vessel. So it's clear: now it's important to gather together all the data that exists today about how the state is out there. And I'm optimistic; I don't think I see that there needs to be such a long run at this. As long as we get the data together, it's going to be pretty effective to get the necessary measures in place.
ParlaMint-NO_2018-02-01.ana.ud515e231	I understand that the minister has not really taken a special position on this with the fjord line and they asked questions there. But over to data: the challenge is that we have huge amounts of data, more than we need, but we don't intend to use this for efficient resource control. Then the directorate and the department say that here's a new and better system. Is there a point here that one starts to see the end of this new system, which I know has been developing for quite a long time?
ParlaMint-NO_2018-02-01.ana.ud515e238	No, you're very close to this. When I say that there is an incredible amount of data available today that you have knowledge of, you still lack some knowledge about collecting big data and seeing all this information in a context. This is going to be a bet from my side now. But when we had the fjord lines for treatment now, there was some sort of tightening up in this, with the debate that got into the wake of it, but it was pretty clear. So I also think we need something more about how climate change will affect our populations. Because we see that climate change also leads to fish stocks – different fish stocks and different species – moving on. It must also be part of this type of study, so that we are perfectly precise and accurate on what action we are going to take, for reasons both of the coast and of the industry.
ParlaMint-NO_2018-02-01.ana.ud515e247	Finally, a question about English: One of the most funny, but perhaps illustrative, aspects of the lack of control is that the Norwegian legislation is not translated into English. This means that non-Norwegian actors operating in these oceans do not have access to the Norwegian legislation. I think it's a little awkward to get. Can the Council of State now say that in the very short term we are going to translate this legislation into English?
ParlaMint-NO_2018-02-01.ana.ud515e252	I think the representative Knag Fylkesnes has challenged me on this at an earlier time. Therefore, I dare not guarantee anything, because when the representative Knag Fylkesnes says “very short” time – and I know that he is incredibly impatient – I take a reservation as to what is “very short” time. But now, brexit is likely to become a reality at some point in time, so also in such a context, it may be necessary to look at languages in legislation, etc. Because I am reasonably sure that the United Kingdom – as we see today – looks very much at Norwegian legislation when they become the big player after Brexit.
ParlaMint-NO_2018-02-01.ana.ud515e257	The cord shift is over. Several have not asked for the floor on case No. 1st@item: inlistbox
ParlaMint-NO_2018-02-01.ana.ud515e275	At the request of the Family and Culture Committee, the President will propose that speaking time be limited to 5 minutes to each party group and 5 minutes to members of the Government. In addition, the President will propose that, within the allocated speaking time, up to five lines be given with replies from members of the Government, and that those who have to sign up to 3 minutes in addition to the allocated speaking time. – It shall be deemed to have been adopted.
ParlaMint-NO_2018-02-01.ana.ud515e284	I would like to thank the Committee for a good cooperation during the examination of this proposal for a representative on the change in the requirement for the right to cash support. It has been reasonably easy and quick to decide on the proposal, as there is no doubt about where the respective parties stand in this matter. For the treatment of Inster. 368 L for 2016-2017 decided to introduce a five-year housing requirement for cash support, consisting of the Labour Party, the Right, the Advance Party and the Left. The reason for the change was that the Solberg government at the time thought that the scheme contributed to making it more profitable for immigrants to be at home with children rather than to send them to the nursery. According to the government, the requirement for living would give immigrants stronger incentives to get into work more quickly and stimulate increased use of kindergarten. Following the adopted change in June 2017, we have seen a number of examples of families that have been unfairly affected by the requirement to live. This applies in particular to applicants who have been members of the public pension scheme their entire lives and who now experience that the new rules do not provide them with cash support because they have a partner who has less than five years of residence. Despite the fact that the Committee was now given the opportunity to take action to remedy this injustice, a majority of the Committee has nevertheless chosen to maintain the requirement to live. That's what the Central Party thinks is regrettable. We stand together with the Christian People's Party in this matter, for the Center Party is, in line with the Christian People's Party, engaged in the freedom of choice of the family. But I have noticed that the Workers' Party, the Left and the SV argue that the scheme must be terminated because it is anti-integrative and that it keeps migrant women at home. The whole point of the cash support is just to make it easier for parents to choose to be home with the youngest children. Cash support is targeted and applies to children between one and two years of age. It's a loving arrangement for many parents, because it's actually that not everyone wants, can or for other reasons will send their 1-year-olds to kindergarten. I think we politicians should respect that. Nor should we forget that immigrant women, as we talk about every time the cash support is up for discussion, are a composite group. They're not the same. It's e.g. higher professional participation among second-generation immigrant women and those taking higher education than among first-generation immigrant women. We also need to distinguish between those who come from EEA countries, those with short residence in Norway, those with a refugee and asylum background, and all the active women who use the scheme. Language skills, competences and professional experience are also essential factors explaining the professional participation of migrant women. Moreover, one must not overlook the fact that many of those who want to work face a good deal of obstacles in the labour market. There seems to be a lack of knowledge about who the cash beneficiaries are. When compiling the statistics Cash support among immigrants, which is an annual statistics on the mission of the Ministry of Children and Gender Equality, children are the unit of analysis. This means that variables such as parental residence, educational background or occupational status are not included. We therefore know too little about the mothers who receive the cash support. In fact, we know about land background and residence, but we do not know whether women are in part-time jobs, in practice through Nav, during education, have children with their grandparents while they go back to work after leaving leave, or whether they are working, but chooses the cash support to spend time with their children. There is a need for more knowledge about who the cash beneficiaries are, and that is why the Center Party, together with the Christian People's Party, promotes a proposal where we ask the government to acquire more knowledge about who the cash beneficiaries are. So to this with kindergarten participation and language training: there is no doubt that language competence and kindergarten participation are important. In fact, childhood participation among minority-speaking 1-year-olds is low compared to children from other populations. However, through an offensive effort, the total number of children in kindergarten among minority children has increased considerably. Eight out of ten children now go to kindergarten in those age groups that really take up languages and other things they get from kindergarten. Therefore, I am questioning the arguments that these very smallest children, who have barely begun to walk and so far developed speaking skills, must be in kindergarten, while other one-year-olds via cash support get the opportunity to be at home. I think we need to lower our shoulders a little bit and let the little ones be small. If, for various reasons, parents choose to wait with kindergarten start for the smallest, it is their right. I also believe that we should be careful to stigmatise a group as diverse as the immigrant women are. The cash support is a good arrangement, and the Central Party will continue to support it. That's why it's regrettable that a majority voted in favour of a living requirement last year. And once you have the opportunity to correct the unintended consequences, a majority chooses not to do so – unfortunately. I take up the proposal from the Central Party and the Christian People's Party.
ParlaMint-NO_2018-02-01.ana.ud515e314	The representative of Åslaug Sem-Jacobsen has taken up the proposal to which she referred.
ParlaMint-NO_2018-02-01.ana.ud515e319	The working party is opposed to the cash support. I guess there's no surprise for anyone in this room. It's because we think it's wrong to pay people not to take advantage of a well-being, i.e. kindergarten. In our opinion, cash support has played its part. It is well documented, by selection by selection, and concluded, by most of the parties in this room, that cash support is anti-integration, that it violates the working line principle, and that it goes beyond equality. It keeps kids at home who had benefited from going to kindergarten, being integrated and learning language. It is not a system that is sustainable in the Norwegian welfare state. But despite the fact that more and more parties – including the government – have concluded this, it is not a parliamentary majority to abolish the cash support during this period. It also takes the Workers' Party over. We are therefore committed to supporting and proposing changes to the cash support that could make the less integration inhibitor. Therefore, we supported the introduction of the housing requirement in the previous period. Then it turned out, as the rapporteur said – that is also why we have this debate today – that such a living requirement would be unfair to some people. It will also affect groups that were not meant to be affected. This will be the case with most cash benefits. You won't be able to make those kind of changes without being able to get individual cases where it's obviously unreasonable. It is difficult to have that kind of requirement and to ensure that it does not turn out unreasonable. It will be an impossible task for Nav, and we in the Workers' Party have concluded that the positive consequences of such a housing requirement outweigh the negative individual cases where it seems unreasonable. That's why we're at what we said in the last period. The requirement for residence is correct. It is helping to make an anti-integrative, anti-equality and anti-workline system a little less anti-integrative, and therefore we believe it will last. The Labour Party will support proposal No. 1 in the settings. We are also of course to get the most knowledge about who the cash beneficiaries are.
ParlaMint-NO_2018-02-01.ana.ud515e330	The Act on cash support was amended in Stortinget in the spring of 2017. The five-year requirement for living was then introduced in order to receive cash support. It entered into force on 1 July 2017, and now, just under six months later, the Christian People's Party and the Center Party propose changes to the law, so that the residence requirement will apply only to the cash beneficiary and not to the other parent. The right view is that cash support is important for the freedom of choice of families with children, but that it was right for the Storting to make the tightening up of the requirement for five years of residence, for the sake of integration. If the requirement to live only applies to the cash beneficiary and not to the other parent, the requirement to live will be very easy to circumvent. One can imagine that the person who is in full-time employment and who fulfils the requirement for living will receive cash support, while the other parent is at home with the children. The importance of integration suggests that both parents have to meet the requirement. A clear majority of the Stortinget supports the rule that both parents have to meet the housing requirement, and also wished for this amendment when the Stortinget dealt with it at the end of the previous period. The Labour Party writes in its observations that they also believe that the requirement for living should be maintained for both parents, and we have heard that the representative of the Trettebergstuen has just said. We agree with your justification. It will be difficult to design exemption rules in such a way that they meet those that are well integrated. It will also be resource-intensive to deal with possible Nav exceptions. In the government statement, we are clear that we want to maintain the overall transfers to families with children, but that we want to assess the arrangements and scope of the various schemes aimed at ensuring good distribution and targeting against families with persistent low income. It's a completely natural follow-up of the Ellingsetter Committee's NOU, and we look forward to this work, and not least the discussions here in the Stortinge in the extension of that follow-up. It is fully possible to be a hot follower of cash support and at the same time to be a follower of the tightening that was carried out last year. Freedom of choice for families and the best interests of the child will always be strong for us in the Right. Just as kindergarten is a well-being, as the representative Trettebergstien said, cash support is also a well-being – an opportunity and freedom of choice for parents until the child is two years old. But at the same time, we know that the first few years after coming to a new country, after immigrants come to Norway, are very important to integrate well into society. Therefore, we believe that the change in introducing a five-year housing requirement for both parents in order to cancel cash support is correct, and we are still on it.
ParlaMint-NO_2018-02-01.ana.ud515e343	The cash support has been for discussion both in this room and in the media, and not least in the municipalities. There is a discussion that is beneficial. I'm going to try to focus on what's actually being treated in this room today, and that's what's going on on the housing requirement for the right to cash support. It was a very important step for the Progress Party when it was passed and agreed with the asylum agreement that this was something to be done about. The result was a five-year requirement for both parents. We still believe that this remains important, precisely because it has given rise to some challenges for integration in Norway, as was the case in the past. Therefore, it has been thought that although freedom of choice for families is very important, it is right to do so in the interests of integration. What we know is that about 44 pst. of those who received cash support in 2016 were just families with a minority background. When we then know how important integration is, we need to make strict demands – precisely in order to achieve better integration. The former State Council has also stressed that for immigrants with short stays in Norway and without any connection to the labour market, cash support may weaken the motivation to work and to learn Norwegian. This we still believe is consideration as it is important to include in the debate. We believe that there is nothing new today that shows that the situation here has changed. It is important to encourage all children, including children of immigrants, to be sent to kindergarten, because they know that children learn Norwegian and become better and more integrated when they get this knowledge from an early age. It also does something about the situation that children come into when they're going to go to school later, where you're going to acquire a lot of the most important knowledge you're going to have in life later. In the first few years after asylum seekers or refugees come to Norway, it is incredibly important for integration through work to also acquire knowledge of culture, and not least of language, it is important to make some demands. I believe that the proposal that is being promoted today by the Christian People's Party does not help parents and children to master this in a better way. Then the government has announced that the scheme that was introduced last year will be evaluated in a year's time. I have full confidence that that evaluation will be good and will bring forward a number of the moments that have been called for more information from the pulpit here today. I look forward to the evaluation and the debate that may come at that time.
ParlaMint-NO_2018-02-01.ana.ud515e356	It is a well-known case that SV wants to replace the cash support with a waiting allowance for kindergarten, and that we would rather use the money as a priority to increase the amount of child benefit for all families with children. It is about cash support standing in the way of equality. At the same time, SV is clear that we do not accept double standards of well-being and benefits that reinforce the increasing social and economic differences. Living time requirements for cash support hit families with poor advice hard when people with a migrant background are overrepresented in poverty statistics. I don't believe that distress creates work, or that need gives people work. On the contrary, even worse economics only make life harder for them with the least. I have seen for myself how people dig themselves into misery, and that all forces agree to pay the next bill, the next debt collection claim. All forces agree to look up and down on Finn.no for shoes for the kids when winter comes. Then it will not be easy to be an active jobseeker, nor to integrate into the Norwegian community. That is why last year SV voted against Prop. 85 L for 2016-2017, in the case of a five-year residence requirement for a right to cash support. The representative proposal we are discussing today corrects one of the many unfair consequences of the government's demand for a living. Although we do not want cash support for gender equality reasons, we support proposals that can help correct unsocial, double standards in our well-being. Therefore, SV's representatives vote for proposal No. 2 to change the residence requirement. As regards proposal No: 1, the SV’s representatives vote against. There is already a good deal of knowledge about the cash support. Among other things, in the last eight years, a total of six public samples have treated the cash support well and thoroughly, drawn on research, and as is well known, everyone has concluded that the cash support should be liquidated. I recognise that cash support is a political explosive issue, and that for some it is clear that there is also a performance in the scheme, but the time for investigations about cash support is really over.
