ParlaMint-NO_2018-11-08.ana.ud274e62	The representative, Lars Haltbrecken, will present a proposal for a representative.
ParlaMint-NO_2018-11-08.ana.ud274e364	No one has asked for the floor.
ParlaMint-NO_2018-11-08.ana.ud274e380	Today, the Financial Company Act § 13-9 second paragraph sets an absolute limit of 15 pst. for ownership interests of Norwegian life insurance and pension enterprises in non-life insurance and pension activities. The limit is proposed in this case removed in favour of a discretionary restriction on the conduct of insurance activities. The absolute limit of 15 pst. is perceived to prevent the more profitable and efficient management of pension assets. The boundary between investing in and operating insuranceforeign activities will be discretionary and will be enforced by the Financial Supervisory Authority. EEA legislation Solvency II sets common limits for all life and pension companies in the EEA area against carrying on insurance activities. By removing our extraordinary 15 p.m. ownership limit, Norwegian banks will have a regulatory framework in line with other European banks. The curious limit of 15 pst. was originally introduced into the insurance law in 1988. After that, the legislator has made significantly more stringent requirements for risk assessment and the retention of capital in financial corporations, which also include life insurance and pension corporations. Safe management of pension capital is essential. An overall financial committee would stress the importance of the ability of companies to meet their obligations towards their customers. We assume that the financial supervision in its supervisory activities will focus on that risk. It is a unanimous committee behind the vote.
ParlaMint-NO_2018-11-08.ana.ud274e391	Several have not asked for the floor on case No. 6th@item: inlistbox
ParlaMint-NO_2018-11-08.ana.ud274e407	The regulatory framework we are invited to adopt determines that non-traditional financial institutions actors will be able to provide payment authorisation services and account information services and will regulate those activities. In autumn 2015, other payment service directives, known as PSD 2, were adopted in the EU. In this case, the part of the Directive under public law becomes part of Norwegian law, in line with the EEA Agreement. The proposal amends the Financial Supervision Act, the Financial Contracts Act, the Financial Undertakings Act and the Payment System Act. These are the general rules proposed in the law. The more detailed provisions shall be laid down in the Regulation. For payment authorisation services, access to the provision of services is solved by being subject to concession requirements as for other payment undertakings. In the case of account information services, it is defined as an online service that offers to collect information from one or more of the users’ accounts. Such a service will only collect information and not enter into transactions. Such services are not regulated in Norwegian law today. The legislation we are to adopt today is to provide secure services and liability insurance and guarantee requirements are to be imposed for both types of service as a guarantee of any liability. The law requires the sharing of information and the provision of access to credit institutions' payment systems and payment account services. A Joint Committee has underlined the importance of the processing of personal data by the new payment service providers and indicates that the EU Data Protection Regulation, which entered into force in May 2018, will have an impact on the implementation of the PSD 2. In this case, the size will facilitate the benefit of new technologies to consumers through improved services, increased freedom of choice and more reasonable payment services. The Committee notes that the financial industry is in favour of the changes and is committed to the early introduction of legislation in order to achieve a common regulatory framework with the rest of the Nordic region and Europe. Financial supervision has an important role to play through its supervision of the new service providers. Access to technical solutions, payment systems and customer authentication could present challenges in a transitional phase and would require clear guidance from the authorities to allow all actors to adapt to the introduction of new legislation. In order to provide increased security for electronic payment services and thus to counteract and limit fraud, the PSD 2 requires the customer to be identified with so-called strong customer authentication. That's good. At the same time, new technical solutions are required for some economic operators, in particular business agreements with several users. The hearing bodies have stressed the need for dialogue between business and departments in the design of regulations, so as to ensure that technical solutions are in place prior to the application of regulations. Consumers are protected by the provision that any fees must be disclosed before a transaction is made and can be further regulated by a regulation. It is important that regulatory provisions be introduced in such a way that the necessary adaptations to current practices can take place in good time. Here is a unanimous committee behind the vote.
ParlaMint-NO_2018-11-08.ana.ud274e426	Several have not asked for the floor on case No. 7th@item: inlistbox
ParlaMint-NO_2018-11-08.ana.ud274e444	This is an interpellation I really wish we could be ahead of it. I wish I wouldn't stand here in the Storting and draw out a few of the far too many examples of violence, threats and discriminatory actions too many experience. I would like to relax, precisely because we initially have a good law in Norway. In the penal law, the hate crime of § 77, on aggravated circumstances, § 185, on hateful statements, § 186, on discrimination, § 264, on serious threats, § 272 e, on gross body damage, § 274 e, on gross body damage, and § 352 c, on gross damage. This shall provide those who are subjected to hate crime, a good protection whether the hate comes from skin colour, national or ethnic origin, religion, homophilic orientation or disability. Just before the summer, we in Stortinget decided that the provisions of the penal code on hateful expressions, hate crime and discrimination should be extended to include hateful expressions made, or discrimination exercised, by reason of a person's gender or gender identity. This is an important work that I am looking forward to the Minister of Justice promoting a proposal for the Stortinget. Despite the fact that the law appears to be in place to a large extent, the media have recently told of several serious cases of hate crime. These issues have focused on the social problem that this hate is actually. It deserves more attention than it has so far received, and I'm glad we can discuss it here today. Because that's exactly what I'm doing with the examples. As I said, I would like to avoid drawing these up here today, but all too often these attacks happen without us as a big community doing anything other than brooding as we scroll on to the next and more enjoyable thing. One evening in September, 33-year-old Kirsten Flakstad is on his way to his girlfriend. On the way, two strange men ask if they're boys or girls. The doctor ended up after being turned down and kicked repeatedly because of their sexual expression. TV 2 could tell this year about 22-year-old Liban Nur, who got tossed in racist shells, was knocked up and filmed by the perpetrator, who then spread the video of violence on social media and boasted of the incident. In 2016, 25-year-old Tamarin Varner was spitting on the trike in Oslo because she has cerebral parasites. This weekend, 17-year-old Håvard Skalli showed the bullet in his forehead after being at the Halloween party, to the NRK. The last words he heard before the battles, which were about his sexual orientation, do not suit the Greatness's pulpit. In Norway, people are not to be hounded, threatened or injured because of who they are, or because of a presumption of who they are. It is quick to take rights that have been won through decades of struggle, for granted. But there is an undercurrent of hate that needs to be identified and stopped. Hat crime affects too many, too often. Hate crime is, among other things, killing threats against Utøya survivors, being incited to samer in the 17th May train and anti-Siganism – hatred against Roma people. Recently, we've seen a number of hateful statements that take a lot of space in the media image. Not all of this is crime, but it might help to legitimize just the crime of hate, and it reflects many of the same attitudes. I am thinking here of everything from the criticism of the new baby of the Oslo Agency to the new rapporteur in Oslo’s Norwegianness. Sometimes this kind of expression can become a threat, and sometimes it can also become actual violence. This type of crime is totally unacceptable and must be combated. Hat crime not only affects the victim of the criminal act, but it creates uncertainty for all people who belong to the group. This is a form of crime that affects you because you are who you are, and sends a signal to everyone who belongs to a minority – that the person you are makes you a potential victim. Hat crime motivated in e.g. The victim's sexual orientation is experienced by many as an attack on all the scales. It weakens the premise that absolutely all citizens should feel safe and at home in Norway. Threats, for example, to social debaters based on their ethnicity, gender or sexual orientation are also an attack on democracy. In Norway, all shall be able to express their identity and participate in the public debate. Hat crime is an attack on the values on which we build our community: freedom, diversity, human dignity, equality and legal certainty. That's why it's especially important that we take hate crime seriously and work together to combat it. How we deal with these issues says a lot about how far we've come as a democratic society. Although the number of reviews has increased in recent years, there is still reason to believe that there are large numbers of darkness. It is a problem that too many do not report – despite the fact that the number of reported cases of hate crime again increased in 2017, to a total of 549 cases on a national basis. In the Annual Survey of the Police Directorate, 1.4 pst reported. by respondents who have been subjected to hate crime. Converting to the number of populations, this means that around 70,000 people may have been exposed to hate crime in 2017 — a significantly higher figure than the total number of reported cases. The police are even of the opinion that the dark figures of hate crime are probably significant. The police and the Minister of Justice have encouraged people to report hate crime to the police, but at the same time we see that there are very many people who do not report because the pressure of taking the step feels great, and the belief that the police are going to take the matter seriously is too small. Leader of the FRI received a threat message in March that motivated her sexual orientation. The head reported the case to the police's hate crime group in Oslo. The case was then moved to Agder police district because the perpetrator lived there. Afterwards she heard nothing before she received a letter in the mail saying the matter had been settled. She said afterward that she is unsure whether she wants to recommend others in the same situation to report, and that matters like this, where the one who is subjected to hate crime, must bear all the burden without follow-up, is not sound. When the police have no confidence, there is no doubt that something has to be done, because this is not a trust you can just pinch with your fingers and get in place. Neither are those who are subjected to hatred who are responsible here. It is the police's job to show that they are to trust, to show that those who come and report are being taken seriously. It is unacceptable that one chooses not to report hate crime to the police because they do not prioritize matters. At the same time, we see that only Oslo police districts are systematically working with hate crime. When the hatred crime group in Oslo was established, it became, among other things, justified by the police that they had to do a better screening job, and that there was a recognition that they had not worked enough with this field, as a separate group was established. More police districts should follow suit. It shall not be such that a notification in Oslo is followed up, while a notification in Finnmark is posted. In 2015, then Minister for Children, Gender and Inclusion, Solveig Horne had to answer questions from the United Nations on Norway’s action against racism, when the Committee was to examine Norway’s work against racism and discrimination. Norway has been criticised internationally for not doing enough to combat hate crime. The Organisation for Security and Cooperation in Europe, the OSCE, has, among other things: pointing out that the police are doing too little to identify the extent of racist-motivated violence, and the European Commission against racism and intolerance has previously concluded that there are no statistics that give a clear picture of the extent of racial discrimination. Several point to a lack of coordination across police districts as a problem. Hence my question: what will the government do to ensure that the work against hate crime is a priority task in all police districts, and that all matters are treated equally in all police districts?
ParlaMint-NO_2018-11-08.ana.ud274e490	First, I would like to thank the representative of Almeland for bringing up the theme of hate crime, a challenge the government takes and has taken the most seriously. Initially, I would like to briefly recall the definition of hate crime, as used by the police today: Hat crime is a criminal offence which is fully or partly motivated by, or which has a background in, hatred or negative attitude to religion, life vision, skin color, national or ethnic origin, homophilic orientation and/or disability. Hat crime is a serious crime of integrity against groups of the population that have a specific protection in the penal code. The police director's own figures show that for the whole country, 549 cases of hate crime were reported in 2017. This is an increase of 17 pst. from the previous year. The Directorate of Police explains the increase, inter alia: the fact that police knowledge of hate crime is much greater in more police districts. They believe that this has led to good understanding of phenomena and more accurate recording of matters in the districts. The police depend on the public's confidence that matters will be reported. We believe that knowledge development in the police districts will increase the ability to report. 37 pst. of the 2017 cases were registered in the Oslo Police District, which has had its own investigation group on hate crime since September 2014. In practice, this group of Oslo police districts also advises other police districts in the investigation of such cases. Unfortunately, there is still great darkness for hate crime. The government has taken a number of measures which, on the one hand, strengthen police competence in this area and, on the other hand, strengthen people's confidence that the police will take this type of crime seriously. In 2016, the government presented a strategy and two action plans with its own action against hate crime. These are: Government strategy against hateful expressions 2016-2020 Government action plan against discrimination based on sexual orientation, gender identity and gender expression 2017–2020 Government Anti-Semitism Action Plan 2016-2020 In addition, the government has its own action plan against radicalisation and violent extremism, which is also based on its work against hate crime. Tomorrow, the Minister for Children and Gender Equality and I will hold a round table on hate crime. We will then talk to non-governmental organisations, auxiliaries and other relevant actors about the status in the field. This is what we do, among other things. to get up-to-date knowledge of the challenge picture and input into new approaches to work. Although we have developed strategies and plans for work, we cannot lean back. We need to regularly acquire up-to-date knowledge about the problem complex and, if necessary, make adjustments on the action page. Victims of hate crime will receive equal treatment from the police, wherever in the country the incident has taken place. In its statement of objectives and priorities for criminal proceedings for several years, the National Advocate has raised the issue of hate crime as one of the types of action to be given priority in all police districts of the country, in line with other serious integrity-affecting crimes. It is the police chief's responsibility to ensure that hate crime is prioritised according to the Riksadvokat's guidelines. Fewer police districts, the establishment of Joint Criminal Procedures and a change in the local service structure will contribute to more efficient and consistent police service production. Fewer police districts help to gather resources and create stronger professional environments. The police shall have sound knowledge of how the provisions of the Criminal Code on hate crime are to be applied. Clear guidelines for recording cases have been needed. To this end, the Police Directorate has developed a guide for use in police districts to ensure uniform handling of the matter. Proper coding of matters in the police records is also necessary in order to base criminal-aggravating factors, in line with what the law requires. It is important that the police capture a possible motive for hating already in the event of a notification. All police officers must be able to recognise hate crime and to record and handle this type of crime properly. From April 2018, the marking of anti-semitism as a hate motive is implemented in the police registration system. This is one of the measures enshrined in the Government’s action plan against antisemitism. Oslo Police District has also developed its own collection of law-enforced judges on hate crime, and is also planning to develop a similar collection of examples of cases in which referrals are being made. Continued focus on legitimate responses will contribute to even better experience and to more equal treatment of such issues in police districts throughout Norway. The Police College offers a new course of further training in the prevention and investigation of hate crime from autumn onwards. The police are asking the public on their websites for tips on racist, discriminatory and hateful opinions on the Internet, and on information about websites that generate hate crime. The tipper is a 24-hour crew member at Kripos. They pass on requests to the right police district for further follow-up. For example, local police can contact people who spread hateful opinions online. This will help to strengthen police prevention efforts locally, as well as to take matters further into account in criminal proceedings. ‘Security, diversity, transparency, Government action plan against discrimination on the grounds of sexual orientation, gender identity and gender expression’ states that the government will assess ‘how gender identity and gender expression can be included in the protection of criminal law against various forms of hate crime’. In July, the Ministry of Justice and Defence sent an external inquiry into the protection of criminal law against discrimination. One proposal is to include gender identity and gender expression as a basis for discrimination, such as: trans-persons are better protected against discrimination. A central theme is the basis on which criminal law should be protected against discrimination and whether the coherence between the provisions of the criminal law and the anti-discrimination law is sufficient. Those who report anti-truth crime often need multidisciplinary assistance for their own security. Last year, twelve crime victims support centres were established, one in each police district. The system shall improve the follow-up of victims and relatives throughout the procedure and shall address, inter alia: against victims of hate crime. Hatred crime and hateful expressions not only hit the individual victim but create fear and insecurity in society as a whole. This form of crime can bring important voices to silence and thus weaken democracy. The measures described above provide the basis for people of ethnicity, religion, function or orientation other than the majority to feel confident that the police throughout the country are taking hate crime seriously.
ParlaMint-NO_2018-11-08.ana.ud274e539	I appreciated hearing the Minister of Justice talk here, precisely because I hear a Minister of Justice who seems to take this very seriously, who is taking this big social problem really seriously, and I think that is a good step in the right direction for us to do something about it. Recently, I have been contacted by many stakeholder organisations who have just expressed this concern that proper handling of cases of hate crime depends to a large extent on where one is located in the country – despite the fact that issues of hate crime are to be prioritised in all police districts, which I was in my first post, and which the Minister of Justice also repeated. One of the objectives of that action plan, ‘Security, diversity, transparency’ from 2017, is that issues of hate crime should be ensured equal treatment irrespective of residence. I am also aware – and pleased – of the Riksadvokat's guidelines that this should be a priority matter. At the same time, we see that it doesn't always become a priority. A supervisor, as mentioned above, was recently created for the police, which the government intends to act as a nationwide tool in registering hate crime cases correctly. However, the supervisor may not provide the staff of each district with the necessary resources or competences for the work to be done in the field. Furthermore, the government has a target of major trade unions, as we have heard, and room for specialisation in the police, but today’s actions do not ensure that all districts have the competence and resources to handle and detect hate crime. For this to be an effective tool in the fight against hate crime, many point out that there is a need for targeted specialisation and dedicated resource persons or groups in the districts, similar to the Oslo Police District scheme. I am also pleased that the Minister of Justice can report that there has been a separate further training offer. My hope is to ensure that this reaches out in all the districts, so that that competence actually also reaches out, that it not only becomes a training offer that only those particularly interested or those specifically dedicated take. Then I also have a great expectation of many of these action plans, both that they will be followed up, and not least that the new alerted action plan against racism and discrimination will also largely follow up on this. I look forward to hearing how this work will be followed up.
ParlaMint-NO_2018-11-08.ana.ud274e552	Let me start by stressing that I greatly appreciate the involvement of the representative. I think it's important to debate these matters and discuss them a lot. It's important to the police, and it's important to the public. This is a type of crime that too few decades back did not get enough attention, and on which we need to focus. I am convinced that the measures taken will produce results. I think a supervisor will produce results, and I think a study offer will produce results. I believe the Riksadvokat's constant references and priorities will produce results, and I believe that the knowledge acquired through registration will produce results, and that Oslo police districts share their knowledge. When it comes to the organisation of police districts, I have a very pragmatic and practical attitude to it. Oslo has dedicated resources to it. Oslo is a large district and it can be natural to do so. Otherwise, it's up to the police officers to organize to get the most police force out of it. After all, in the police reform, we have focused on common criminal action, which is a way of coordinating and prioritizing all issues, because it is important that there are some people who say which issues we should follow up immediately and which issues we should give priority to putting resources on. That's where the important priority against hate crime is going to be. Then you might want to look at whether some districts need dedicating, but I don't want to say that it's given that that's what's right. It may even be that it would be more natural to add even more resources and knowledge to Kripos or to a national prosecution unit. In other words, there are different ways of ensuring that knowledge is preserved, because we are still in a situation where we build up knowledge and are to disseminate this knowledge to policemen outside the country. But I'm taking this recording with me. Initially, police reform is determined by common criminal action, but there may be a need for both centralised solutions and specialisations in rural areas. But as I said, we're focusing on this, and as early as tomorrow, I'm going to sit down with the Minister of the Child to get even more new recordings from the organizations and those who are working on this. This is because the Minister for Children and Gender Equality is also Minister for Discrimination and is responsible for avoiding it in Norway. It illustrates another important point, that this is not just a police matter. This is also a matter that concerns wider sections of society, many parts of society, working life, public debate, the press and the media, but it also concerns the police.
ParlaMint-NO_2018-11-08.ana.ud274e563	A Saturday at Tøenen is a woman with hijab on her way home from the store. Out of the blue she hears a lady yelling – I have to apologize in advance for the use of words, President – ‘fucking Negro whore’. Immediately afterwards the lady goes to attack her. This is one example. The representative Almeland came up with another example, which I was also going to take up, which was about Tamarin in 25 years who was on the trick. As mentioned, she has cerebral paresis, a disability that makes her unable to control all the movements of her body, and which makes her limp a little when she goes. She's used to looking, but this time there was a boy who got up, went to her and spit on her. When Tamarin went to the police to report the case, she was told that she was the first to report hate crime on the basis of disability. This wasn't long ago. The National Attorney has, as said here, hate crime as one of his priorities. Nevertheless, there is only one department in the Oslo unit east that works specialised in hate crime. That's not good enough. The Minister referred to a counsellor. It's fine with supervisors, but the most important thing is that something happens out there. When hate crime is a priority area, it must be an objective to increase the level of competence in all police districts and to ensure dedicated resources to prioritize the area. Today, districts’ empowerment appears to be arbitrary and voluntary. SV has proposed that the government set up dedicated groups in different police districts to work against hate crime and with the aim of covering the whole country – groups to have special competence in the field, work systematically against hate crime, increase the competence of all police personnel in their districts and report on what is being done. SV has also proposed the establishment of a national unit with coordination and professional responsibility for hate crime. What I'm asking is whether this is something the minister can support?
ParlaMint-NO_2018-11-08.ana.ud274e572	Tomorrow it is 80 years since the persecution of Jews in Germany was seriously escalated, with the crystal night. 1,400 synagogues were burned down, and over 7,500 stores were vandalized. In addition, 91 Jews were killed and about 30,000 Jews were led to concentration camps. Today, 80 years later, Nazis march again in our streets. The neo-Nazi organization called the Nordic Resistance Movement is recruiting in Norway, with messages of hatred, division and violence. The goal is Jews, crooks, immigrants, the left side and the media, to name someone. Just that draws a very dark and serious sky over this interpellation debate, because people feel a very real fear. In my home country, the Nazis have actions every month. They have markings in our pedestrian streets. They tried to block a election room in Sarpsborg on election day last year, and wherever you go, we see stickers and posters with hate messages from this group. Recently, they have hung stickers where we can see pictures of hedgehogs from lampposts with the inscription ‘reserved for traitors’ – reserved for traitors. The members of the organisation have committed violence, the ultimate consequence of hate crime, including fatal results in other countries. This is one of the organized spearheads of hate crime in Norway, an example of hate crime and how far it can go, and one of the drivers of some of the worst attitudes. In 2017, 549 cases of hate crime were reported on a national basis, and there is an increase of almost 18 p.p. from the previous year. That's why I'm very pleased with this interpellation. I am also pleased that SV has previously made proposals that are now under consideration, with measures against hate crime. Because it is clear that there is not enough work to combat hate crime throughout the country, when today we only have a dedicated group to do this in Oslo and the emergence of organized neo-Nazis has been allowed. It underlines that more needs to be done. Therefore, SV proposes to set up dedicated groups in several police districts to work against national hate crime and to set up a national unit with coordination and professional responsibility for hate crime. This is about taking people's fear seriously. It's about the extreme remarks we see in the comment field. It's about the events we've already been referred to from this pulpit. It's about heat, and it's all about what I've been talking about today: organized groups around a violent hate message. We have to take that seriously. We have to show that society is going to stand up for those who are hit by hate.
ParlaMint-NO_2018-11-08.ana.ud274e585	First, thank the representative, Mr Almeland, for this important interpellation. The theme of hate crime must affect us all, because hate crime is the source of racism, discrimination, phobia against lesbians, homosexuals, transpersonals – people who are defined not to belong to the normal. I was recently on a trip in Poland, and in Krakow I stumbled almost over a demonstration of secondary groups that were carefully planned. The demonstration had the clear message that gays and transpersons were not wanted in the country. These are secondary groups that are not only in Poland but are also growing in other European countries. They organize and are on training camps. I'm pretty sure other types of crime are in the wake of these groups, and that should worry us. I understand that concerns our Minister of Justice. Since this has been going on for a while, the Council of Europe has already addressed hate crime, and since 2013, what they call ‘No Hate Speech Movement’, and has taken several initiatives to make campaigns, especially among young people, precisely in order to prevent hateful expressions. We may need a campaign in Norway to get a sense of both the criminality and the absence of it. I think it's worrying. Although the police now have better methods and higher skills to monitor and detect hateful statements, I suspect that it may be just the top of the iceberg you get revealed. I am pleased that the Minister of Justice points out that we are going to take this very seriously. It is important for us that there is equal practice throughout the country, that there is no difference between this in either detection or trial in the court. I think the police have to put the effort into prevention. This concerns police visits to schools where drug and alcohol abuse is a high priority. I think hate crime against groups is incredibly important to come up with. Thank you again to the representative who raised this topic. I'm sure we're going to continue working on that, and I'm excited about how the Minister of Justice will follow up questions and initiatives taken here in the Chamber.
ParlaMint-NO_2018-11-08.ana.ud274e600	I would like to start by giving praise to the representative Almeland to address this interpellation on an important topic. I am also pleased to hear that the Minister of Justice takes this very seriously. We live at a time when more and more of our everyday lives are moving across the Internet, and where social media with all the amazing things it brings, is also an arena for both serious and less serious hot and bullying – whether it's bullying among schoolchildren, or what we've seen in the last few days, where a city council from the Environmental Party of the Greens in Oslo, which I myself have argued a lot about when it comes to politics, is hottered when she comes with a good news that she's waiting for a child and writing this on social media. We live at a time how much of what we don't like comes out on social media and on the Internet, while this may have been more hidden in the past. I had, I think it was in 2014 or 2015, the joy of being with the Prime Minister as her State Secretary to the Mosaic Religious Society in Oslo, where unfortunately we heard from the leader there that terms such as both ‘hore’, ‘homo’ and ‘Jew’ are still among the most used shells in schoolyards in Oslo. To me, it was a wake-up alarm. I am pleased that the government, as well as the Municipality of Oslo and many other public bodies around the country, have different strategies, whether it is the government's action plan against antisemitism, it is strategies against hateful expressions, or it is an action plan against violent extremism – it is perhaps the most serious on the scale of that kind of heat and it can bring with it. We know from elsewhere in Europe that, for example: Jewish children dare not say at school that they are Jews. Muslimism, especially online, is an increasing phenomenon. This is sad because strong political debate is both important and good for democracy. But when it moves into hot and hateful statements, it's something we humans simply cannot accept. I am also very pleased that political Norway is united that we should not accept this, this is not about party boundaries, but about how we want our political debate and propriety between people to be in our society. I would once again like to thank the interpellant for addressing this important issue, and I am pleased that the government has several strategies to follow up. But this work is probably not over with the first – here we must all be alert and continuously take our part in the work ahead.
ParlaMint-NO_2018-11-08.ana.ud274e613	One of the most difficult things to do with writing this interpellation and figuring out what to say was not that there was a lack of examples to draw out or things to bring up, but it was simply to figure out which examples I could draw out, because there are so many horrible ones that are not suitable to draw out on the pulpit of the Great Government. For all of us in this room must acknowledge that we have not done enough in the past – none of us have done enough with this in the past. That is why we have to look forward, and I am glad that the Minister of Justice is warning that he is at the ball here. There are some special challenges in our time as well. When you are exposed to so much hatred in social media and on the Internet, it creates a different reality for those who have these hateful thoughts, and you get much more than before confirmation of these thoughts. When films with tutorials are broadcast, i.e. training on how to re-paste the mouth of people who look like they're gay, or glue other body openings, it really shakes me, even when it's broadcast movies that encourage people to commit gross violence against people they think are different. In the last video we've seen a film where a young boy, fortunately not in Norway, is dying on the ground with the comment: This was the right thing to do. It is also sent around in Norwegian environments. These are examples that are so cruel that it really, really is in place that we all realize that this is something we have to work with in the future. I am pleased with many of the signals the Minister of Justice sends here today. I'm also glad he's signaling that he's going to look at this with the organization, because there's clearly more models and more ways to do it. The important thing for me is that we make sure that the competence is there, because there are priority issues today, but there is not enough competence out there, so we need to find good ways to make sure that the competence comes out. We also have to recognise that the term ‘hat crime’ is greater than many people may have in their consciousness. Because it's about gay people, who have been mentioned a lot today, but it's also about disability – it's about an incredible number of groups that are very easily forgotten in this kind of debate. I'm looking forward to continuing this discussion. This interpellation I hope was just a small start.
ParlaMint-NO_2018-11-08.ana.ud274e624	I will again be allowed to thank the inter-pellant and the other participants in this debate. I think it was very good and not least thought-provoking posts from everyone. I think we can all admit two things. One is that we need more knowledge about this – both we, the police and public Norway – but we can also be clearer about attitudes. When it comes to attitudes, I think you can take it more seriously when it comes up. I think that applies to the police, but it also applies to all of us who personally participate in the public debate. We need to be clear, show attitudes when it comes to unacceptable statements – even if they are not criminals, I think it's a point to show the opinions. As far as police work is concerned, this is a priority. There is also reason to remember that we are in the midst of a police reform. The majority has been dealing with police reform a while ago; the police are in the process of reforming it now. Most decisions on the latest organisational changes will be put in place in 2018. I'm still a little restrained by detailing the police. There are a lot of people who want to draw an organisational chart for the police, where there's something to say either about a particular effort against a type of crime, about a geographical location, or about where it's going to be a janitor's office. I think we're going to let this reform go, and then we have to try to let the police officers organize their work as much as possible. This does not mean that they should be without political attention or political pressure. We have tools through the dialogues with the Police Directorate and the Riksadvokat's writing, where we say what to prioritize. I don't have any strong thoughts about how to draw an organisation chart or an organization box out at the police department. The most important thing is that it works. As far as this type of crime is concerned, I think it is very important that all the police, all the police patrols and all the prosecutors are obsessive about it, clear about it, understand it and recognize it when it happens – that you are not so special that it gets away. This is something that the new detection shows, namely that there may have been some crime out there, which you may not have thought of as a hate crime. That means you don't get with the criminal-aggravating element that's supposed to be on the ground. For example, when you have: It must be punishable if it is hate crime. It's important that everyone recognizes it. I also agree with the representative that the Internet is not a legal zone. It's not that because we've got the Internet, it's free to do what you want there. The Internet should also be subject to the same rules and laws that apply to the rest of society.
ParlaMint-NO_2018-11-08.ana.ud274e640	The debate on substance is closed. So 8 is going to be equal to-- so 8 is going to be equal to-- 8 is
ParlaMint-NO_2018-11-08.ana.ud274e652	Then it seems that the Storting is ready to go to voting. In Case No. 1 no voting theme exists.
ParlaMint-NO_2018-11-08.ana.ud274e688	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2018-11-08.ana.ud274e698	The legislative decision will be taken until the second reading in a later meeting in Stortinget.
ParlaMint-NO_2018-11-08.ana.ud274e707	The Committee had decided to do the following:
ParlaMint-NO_2018-11-08.ana.ud274e863	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2018-11-08.ana.ud274e873	The legislative decision will be taken until the second reading in a later meeting in Stortinget.
ParlaMint-NO_2018-11-08.ana.ud274e926	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2018-11-08.ana.ud274e936	The legislative decision will be taken until the second reading in a later meeting in Stortinget.
ParlaMint-NO_2018-11-08.ana.ud274e1211	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2018-11-08.ana.ud274e1221	The legislative decision will be taken until the second reading in a later meeting in Stortinget. In Case No. No voting theme is available.
ParlaMint-NO_2018-11-08.ana.ud274e1253	Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
