ParlaMint-UA_2022-07-08-m0.u1	Glory to Ukraine!
ParlaMint-UA_2022-07-08-m0.u12	Thank you. Now. Kulinich Oleg Ivanovich. After that, Sergey Volodymyrovich. Dear colleagues, and after that, we move on to the agenda. Please invite the people's deputies to the hall. Oleg Ivanovich Kulinich. After that, Sergey Volodymyrovich Vlasenko.
ParlaMint-UA_2022-07-08-m0.u13	Dear Sir, dear colleagues, Ukraine has long been the main theme of all world news, but this week in Europe, it was not only about the war in our country but also about the future reconstruction of our nation. This topic became central to the forum in the Swiss Lugano, which brought together European politicians, leaders of international organizations and leading economists. There is a firm intention of donor states to help rebuild Ukraine, and the main thing is that these countries are confident of our victory. Ukraine’s recovery plan involves modernizing many of our nation’s directions. Moreover, it clearly sees the prospect of Ukraine’s economic integration into European society. But it is not enough to believe in victory, and it must be approached by all means. Our international partners must have a clear and complete understanding: sanctions pressure should not stop for one minute. The Russian economy is rockets in peaceful Ukrainian cities and thousands of innocent Ukrainians killed. And in recent times, unfortunately, these are tragic examples of Cremenchuk, Mikolayev, Kharkiv, Restoration, and many other population sites of our nation. That's why we're waiting for quick agreement and a seventh batch of sanctions against the terrorist state. By the way, the official recognition of the RF by the State-sponsor of terrorism, particularly by the United States of America, would help to significantly deepen the sanctions gap for the Russian economy. So we welcome the adoption by the U.S. Senate Committee of an appropriate resolution, and we hope that this process will come to a logical conclusion. One source for the reconstruction of Ukraine was the European leaders who called it frozen and confiscated RF assets in EU countries. So we are waiting for the European Union to develop legislation as soon as possible, which would allow it to do so in the shortest possible time. And it's very important not to delay this process because Russian missiles destroy our infrastructure every day. Above all, in order to restore Ukraine, our European partners need to understand clearly that we have a full - scale war. And it's a war, not a crisis, not a conflict, which is said quite often in foreign media. Because it is Ukraine in the center of Europe that is at war with a nation that is trying to intimidate the whole world. At the same time, we are protecting not only our independence and territorial integrity but also the democratic values of the whole world. And we would like our international partners to understand the scale of what is actually happening in our country and the scale of future reconstruction. Thank you.
ParlaMint-UA_2022-07-08-m0.u14	Thank you. Please, Vlasenko Sergey Volodymyrovich, faction of Fatherland. Please invite the people's deputies to the hall.
ParlaMint-UA_2022-07-08-m0.u15	Thank you, Mr. Head. Dear colleagues, ten days ago, we introduced the flag of the European Union into this session hall as a sign of Ukraine's becoming a candidate for accession to the European Union. We have many tasks in front of the state, and Parliament in particular, related to this high status of candidate. We need to adopt laws on those issues that President Ursula von der Ljaen, President of the European Commission, told Parliament. In particular, there is a need to overcome corruption, to make changes to mediation and to restore freedom of speech, to adopt other laws that will start a real economy, and to do so, Parliament needs to start working in a planned, normal regime. We need to stop our chaotic congregations, which are not always prepared, which lead to the fact that when we adopt one law in two weeks, we either cancel it or make substantial changes. This work of the chaotic parliament leads to the day - to - day appearance and the extension of corruption laws. Parliament is unable to respond to what we consider to be corruption, by the executive branch, in particular the situation of the conversion of the forest sector and the attempt of corporateism, the reading of privatization, the forests of Ukraine, and the question of NAC "The Naftogaz of Ukraine". Parliament should therefore start working in a planned, state-of-the-art regime to improve the efficiency of the work of the Ukrainian Parliament, allowing this work to be planned and more effective. Of course, such a planned work cannot take place without a change in the visibility of the Supreme Council, without the admission of journalists to the watchtowers, without the ability of deputies to communicate their position to their colleagues and to Ukrainian society. Of course, all these positions should be pro - Ukrainian, and they are pro - Ukrainian, because Parliament has reacted harshly to the situation of collaborators today. I therefore call on the leadership of the Supreme Council and the Ukrainian Parliament to return to the normal, planned work of the Ukrainian Parliament, which will benefit not only Parliament but also the Ukrainian State as a whole. Thank you.
ParlaMint-UA_2022-07-08-m0.u16	Thank you. Dear colleagues, the time for performances is up. Let's get to work. In harmony with article 28. [[B in m in s a l in]] Dear colleagues! Dear colleagues! Dear colleagues, may I have your attention? I feel like I'm in the Bessarab market. Please take your seats and let's get to work. Dear colleagues, in accordance with article 28 of the Supreme Council of Ukraine’s Rules, I propose that a signal vote be held to predict the outcome of the day’s vote. People's deputies please take part in the signal vote by pressing the "yes" button. We're working with a sensory button, I won't remind you of the rules, you all know. So, dear colleagues, let's move on to the vote. People's deputies, please vote. Friends, the green button, I repeated it five times. [[12:29:38]] For-286 Thank you. Dear National Deputies, a list of issues previously agreed upon by the Conciliation Council, are given to you. So let's move on to the day-to-day issues. Dear colleagues, as we always do: first we vote on those issues that are not discussed, then we vote on those issues that are discussed. Do we have a deal? Ladies and gentlemen, please take your seats. Dear colleagues, we are now moving on to question 7529. This is a draft decree to terminate the mandate of the Ukrainian People's Deputy Novinski V.V. Dear colleagues, there is an offer to accept this decision in general, 7529. Ready to vote? People's deputies, please vote. [[12:30:58]] For 295 Decision taken. Thank you, colleagues. Orders adopted in general. Next bill. This is a bill amending the Ukrainian Act on the Integration of Ukraine into the Convention on jurisdiction, the right applicable, recognition, enforcement and cooperation in relation to parental responsibility and child protection (registration No. 6145). I propose to adopt, as a whole, the draft Law amending the Ukrainian Law on the Accession of Ukraine to the Convention on jurisdiction, the right applicable, recognition, execution and cooperation in relation to parental responsibility and child protection (registration No. 6145). Ready to vote? People's deputies, please vote. [[12:32:06]] For 294 Decision taken. Next. Project Rule 7477. Draft Decision on the suspension of award procedures for the Supreme Council of Ukraine in the field of education in 2022. Dear colleagues, I'd like to make an offer to include in the agenda the Bill of Order 7477. People's deputies, please vote. [[12:32:43]] For 290 Decision taken. I propose to adopt, as a whole, a proposal that takes into account the Committee's proposals and the necessary technical and legal amendments, a draft Decision to suspend the award procedures for the Supreme Council of Ukraine's education awards in 2022 (registration number 7477). People's deputies, please vote. [[12:33:17]] For 295 Decision taken. Dear colleagues, next. This is a draft law amending article 151 of the Ukrainian Code of Administrative Judiciality concerning the enforcement of orders in the form of a cessation of an order in a state of war or in a state of war (register No. 7292). I'm proposing to include this issue in the agenda of the day session. People's deputies, please vote. [[12:33:55]] For 295 Decision taken. I propose that the draft Law amending article 151 of the Ukrainian Code of Administrative Justice should be adopted on the basis of the Committee's proposals and the necessary technical and legal amendments. People's deputies, please vote. [[12:34:34]] For 296 Decision taken. Thank you, colleagues. The law is passed in general. Next. This is a draft Decision approving the National Information Programme for 2022-2024 (Registration No. 7298). I'm proposing to include this issue in the agenda of the day session. People's deputies, please vote. [[12:35:09]] For 276 Decision taken. I propose to adopt, as a whole, a draft Decision approving the tasks of the National Information Programme for 2022-2024 (registration number 7298), taking into account the Committee's proposals and the necessary technical and legal amendments. People's deputies, please vote. [[12:35:40]] For 279 Decision taken. Orders adopted in general. Next 7378. This is a bill amending the Ukrainian Law on Protection of the Interests of Reporting Subjects and Other Instruments during the War or State of War to exempt persons from the responsibility for violating the time limits for publishing financial statements during the war or state of war. Dear colleagues, I'd like to make an offer to include this issue in the agenda. People's deputies, please vote. [[12:36:21]] For 281 Decision taken. I propose to adopt, as a basis, the draft Law amending the Ukrainian Law on Protection of the Interests of the Accountants and Other Instruments during the War or State of War, on the release from liability for breach of the time limits for the publication of financial statements during the war or state of war (project No. 7378). People's deputies, please vote. [[12:36:58]] For 281 Decision taken. I'm proposing to cut in half the deadline for proposals and amendments to prepare for the second reading of Bill 7378. People's deputies, please vote. [[12:37:24]] For 261 Decision taken. Next up, colleagues. The two Bills 7414, 7414-1 were also agreed without discussion. It's a bill amending the Ukrainian Consumer Credit Act to settle long-term debt for periods of military, state of emergency. I'm proposing to include this issue in the agenda of the day session. People's deputies, please vote. [[12:37:59]] For 282 Decision taken. Dear colleagues, I'm making an offer. We agreed without discussion, just as a matter of fact, didn't we? Wait a second. One second. Dear colleagues, I propose to adopt Bill 7414 as a basis. It's a bill amending the Ukrainian Consumer Credit Act to settle long-term debt for periods of military, state of emergency. People's deputies, please vote. [[12:38:52]] For 281 Decision taken. And, dear fellows, I'm making a proposal to cut in half the deadline for proposals and amendments to prepare for the second reading of Bill 7414, which we've just adopted as a basis. People's deputies, please vote. [[12:39:21]] For 266 Decision taken. Let's move on. The next bill, 7510, was agreed without discussion. But we're just putting it in the order of the day session. This is a draft law amending the Ukrainian Law on the State Service for Special Communications and Protection of Information of Ukraine to ensure the formation and implementation of state policy in the field of active counter-aggression in cyberspace. I'm proposing to include this issue in the agenda of the day session. 7510. Please vote for inclusion in the agenda. [[12:40:07]] For 297 Decision taken. Ladies and gentlemen, I would like to propose that the bill be defined as urgent and that it should be reduced by half by the time of the introduction of alternative bills for Bill 7510. People's deputies, please vote. [[12:40:35]] For 273 Decision taken. The next bill is not discussed either. This is a draft of the Law on Amendments to Certain Legislative Acts on Parental Decisions on the Temporary Exploitation of Children outside Ukraine (Registration No. 6146). I offer to accept as a basis for redrafting the provisions in accordance with part one of article 116. Bill 6146. People's deputies, please vote. [[12:41:17]] For 301 Decision taken. I'm proposing to cut in half the deadline for proposals and amendments to prepare for the second reading of Bill 6146. People's deputies, please vote. [[12:41:44]] For 267 Decision taken. Let's move on. The next bill is 6383. We also agreed on it without discussion. This is a draft law amending some of the Ukrainian legislation on the introduction of building information modelling (VM technology) at all stages of the life cycle of objects and the scientific and technical accompanying of objects, and improving the procedure for the examination of objects adopted in accordance with the law of order. I propose that this bill be adopted, 6383, on the basis of a revision in accordance with article 16, part one of the Rules. Please vote. [[12:42:43]] For 287 Decision taken. I'm proposing to cut in half the deadline for proposals and amendments to prepare for the second reading of Bill 6383. Ready to vote? People's deputies, please vote. [[12:43:11]] For 249 Decision taken. Let's move on, dear fellows. The next bill is also uncontested, 7396. This is a draft law amending some of Ukraine's laws on the functioning of the Automated Information System for Education Management. I propose to include 7396 in the agenda of the day session and ask the national deputies to vote. [[12:43:50]] For 267 Decision taken. I propose to adopt a draft Law amending some of Ukraine’s laws on the functioning of the Automated Information System for Education Management (the registration number of Bill 7396). [[12:44:20]] For 264 Decision taken. Dear colleagues, we've voted as the basis just now, haven't we? Yes, I'm sorry, we have another bill after that, 7396. I would like to propose to cut in half the supply and amendment deadlines for the preparation of the second reading. People's deputies, please vote. [[12:45:00]] For 256 Decision taken. Thank you. Let's move on, dear fellows. Then we have two bills: 6405, 6405-1. We made a deal, too. Oh, the procedure. Yes, of course, one minute, please, Klimpush-Cincadze. We continue to vote without discussion. Please.
ParlaMint-UA_2022-07-08-m0.u17	Ladies and gentlemen, I would like to draw your attention to the fact that once again we are simply disrespecting our obligations under our already candidate status and our progress towards the European Union membership talks. I insist, as head of the Committee on the Integration of Ukraine into the European Union without the conclusions of the Committee on Integration into the EU, that we simply have no right to consider our obligations in European integration. Moreover, we will insist that we make changes to the Rules and have similar conclusions for the second reading, as all candidate countries have done, giving additional rights to the committee of profile. Thank you. And I'm going to count on it not to happen again.
ParlaMint-UA_2022-07-08-m0.u18	Dear colleagues, I propose to adopt Bill 6405 as a basis. This is a draft law amending some Ukrainian legislation to develop general aviation, adapting Ukraine's legislation to European Union legislation in the field of civil aviation, establishing additional mechanisms for effective control of aviation security and deregulation in the field of civil aviation. So this is the base of 6405. People's deputies, please vote. [[12:47:05]] For 266 Decision taken. And, dear fellows, I'm proposing to cut in half the supply deadline, the amendments to prepare for the second reading of Bill 6405. People's deputies, please vote. [[12:47:32]] For 257 Decision taken. Dear colleagues, next project without discussion (6003) This is a bill amending some laws of Ukraine to improve validation mechanisms for end-user owners and the ownership structure of legal persons. I'm proposing to adopt this bill as a basis, 6003, as a basis. People's deputies, please vote. [[12:48:11]] For 261 Decision taken. I'm proposing to cut in half the deadline for proposals and amendments to prepare for the second reading of Bill 6003. Ready to vote? People's deputies, please vote. [[12:48:37]] For 258. Decision taken. Dear colleagues, no discussion is over. But I'm asking you to be there because it's still a very important European integration law. And we start with the first law -- 5628. This is a draft Personal Data Protection Act. Ladies and gentlemen, I would like to propose that we consider this issue in a simplified manner. [[12:49:13]] For 251 Decision taken. We agreed: two in favour, two in favor, and we vote against. Right? Please ask the people's deputies, factions and groups to sign up: two in, two in, two in. Please, Gerus Andrey Mihajlovich, "Serve of the People" faction.
ParlaMint-UA_2022-07-08-m0.u19	I'm behind this bill, and there's nothing more to add. So let's go to the vote.
ParlaMint-UA_2022-07-08-m0.u20	Thank you, Andry Mikhailovich, for your constructive state position. Let's move on. Please, Stepan Ivanovich Kubi, "European Solidarity" faction.
ParlaMint-UA_2022-07-08-m0.u21	Mr. Head, I'd like to give Alexia a word. Thank you.
ParlaMint-UA_2022-07-08-m0.u22	Please, Hotcharyenko.
ParlaMint-UA_2022-07-08-m0.u23	Alexei Hotcharenko. Friends, an important bill, an important subject, but I have a question. Look, we're finally speaking for the first time in this rostrum, where there's also the flag of the European Union and the flag of the European Union in the hall. And I'm proud of it. This is the only right way for our nation, there is no doubt about it. Guys, let's not just put the flags on, but let's do it. Why is this bill, which is extremely important for the European Union, which is very carefully prescribed, this subject of personal data protection is carefully laid down in European legislation, why do we not see the conclusion of the European Integration Committee? Why didn't we base this bill on European Union legislation? Guys, you don't have to invent a bike, you have to do that. We've chosen a goal -- we want to become members of the European Union -- so let's do it the way they do it. Let's not invent anything, let's do it everywhere. Let's let this flag of the European Union become our focal point in the fight against corruption, in the fight against the bard, which, unfortunately, can be seen today, in the protection of human rights, which are extremely important to us, in the construction of a democratic country with the rule of law, to fully respond to each letter of our candidate status. It's the only thing that will enable us to then become, not a candidate, but a member of the European Union. Friends, let's move like this on these European rivers in every sense of the word. So, my friends, I'm asking you to follow European standards and move only in this way. The future of Ukraine in Europe.
ParlaMint-UA_2022-07-08-m0.u24	Thank you. Please, Shufrich Nestor Ivanovich, Platform for Life and Peace.
ParlaMint-UA_2022-07-08-m0.u25	Thank you. Dear Lord Chairman! Dear colleagues! Protecting the personal data of our citizens is one of the main constitutional obligations of the state towards Ukrainian citizens. And it's perfectly logical that this bill will be supported by our group. And today, we have appropriate laws that apply to the constitutional rights of our citizens, to consider through the prism of a probable, although in the near past and unlikely, accession to the European Union. It is therefore perfectly logical that when preparing this bill for second reading, we should take into account the traditions that are now being used to protect the personal data of our citizens in the European Union. Dear colleagues, we have a unique chance, and I have heard it in my own ears, talking to the Heads of State of the European Union, that Ukraine can become a member of the European Union not after 10-15 years, but after 6-18 months. And we have to pay the utmost attention to these bills. I say again, what was impossible, in my mind, five to six months ago, is now becoming a reality. We must not lose it; we must unite for the sake of the reality of our country’s presence in the European family. It is worth our unity and our responsibility. Thank you for your attention.
ParlaMint-UA_2022-07-08-m0.u26	Please, Eutusek. Vlasenko Sergey Volodymyrovich, faction of Fatherland. Dear colleagues, after which we will proceed to the vote. It's a very important European integration law. Please, Sergey Volodymyrovich.
ParlaMint-UA_2022-07-08-m0.u27	Thank you. Dear Mr. Head! Dear colleagues! Indeed, an important law that should normally be adopted with a view to establishing candidate status and on the way to full membership in the European Union. The only thing I want to remind you is that the European Union is about human rights, and the possibility of non-judicial information being received by individuals or legal persons from appropriate telecommunications providers is clearly violating human rights. So I would really like to say that the law is important, but it's going to have to be worked on a little bit, it's going to have to be amended to bring it into line with the requirements of the European Union. And I fully support colleagues who say that the position of the Committee on European Integration should be taken into account. So when I go back to my previous speech, I can point out that the transition to the normal work of the Supreme Council will lead to a reduction in the bills that will contain such, well-called, will contain such, absolutely, not entirely European, so to speak softly, things. So once again, I would like to emphasize that we need to go back to the normal work of the Supreme Council, not in an aural way, but in a planned mode, to the normal work of the Supreme Council Committees, not in an aural way, but in a normal way, perhaps from an offline regime that allows a little bit of time for the national MPs to work. Online mode allows you to go offline and continue working. Of course, journalists should also be allowed to see discussions in the Supreme Council. Thank you.
ParlaMint-UA_2022-07-08-m0.u28	Dear colleagues, we have concluded our consideration of the matter. People's deputies, please prepare for the vote. The only thing I'm very much urging you to do is support this bill, it's actually an implementation of the GDPR European standard into Ukrainian legislation, which is very important today. Well, as for the conclusions of the European Committee, I completely agree, the only thing that's been on the bill for a year. I think you can come to any conclusions in a year. So please. [[B in m in s a l in]] Is it? They just said no, I'm sorry. Then if there is. [[B in m in s a l in]] Okay, okay. No, I can't. I didn't name anyone. Okay, well, there's a good conclusion. Dear colleagues, let's go to the vote. People's deputies please take their seats. Dear colleagues, I propose to adopt draft Law 5628 as a basis for the protection of personal data. Dear colleagues, please take your seats. People's deputies, please vote. [[12:58:02]] For 216 The decision is not taken. Great. Dear colleagues, then I bet. Please take your seats, your seats according to the plates where your name is written, it's no different. Dear colleagues, I'm making a proposal -- this bill again first. I'll point it out again. People's deputies, please vote. [[12:58:52]] For 260 Decision taken. Ladies and gentlemen, I don't even know how to address you after this as a performance. The culture of communication simply does not allow. Let's move on, let's skip. Everyone has a conscience. Dear colleagues, let's move on to the next one. This is Bill 6067. This is a draft law amending some legislation on employment reform, social insurance for unemployment, promoting productive employment, including youth, and introducing new active labour market programmes, 6067 and 6067-1. I would like to suggest that we consider this issue in a simplified manner. [[12:59:53]] For 235 Decision taken. Let's move on. Dear colleagues, two-for-two-against, right? Please sign in: two in, two in. Please, Ion's Maria, "European Solidarity."
ParlaMint-UA_2022-07-08-m0.u29	Please pass the word to the Prince. Thank you.
ParlaMint-UA_2022-07-08-m0.u30	Princess, please.
