ParlaMint-UA_2022-07-19-m0.u1	Glory to Ukraine!
ParlaMint-UA_2022-07-19-m0.u12	Thank you, Galina Mikolayevna. Dear colleagues, we have agreed to move on to acting from the MP factions and groups for three minutes. I'm asking you to sign up representatives of the MP factions and groups for statements on this issue. Please, National Deputy Gnatenko Valeriy Sergiyyovich, Ukrainian Remembrance Group.
ParlaMint-UA_2022-07-19-m0.u13	Dear colleagues! Dear Mrs. Oksano! Article 1 of the Constitution of Ukraine teaches us that Ukraine is a sovereign and independent state, stressing that it is also a social state. The Ministry of Social Policy is one of the most important bodies in the executive vertical. This year’s Minsocu activity: Ukrainian taxpayers paid more than 350 billion dollars from their own pockets, almost a third of the country’s national budget. We believe that at such a high cost, Ukrainian citizens have the right to demand effective policies. The rotation of a prisoner of such an important ministry during the war is both a risk and a chance for our state. The chance to become better, more effective, and more up - to - date. The Ukraine Recovery Group expects that with the arrival of the new Ministry leadership, we will be given a higher priority in the Cabinet of Ministers. We believe that the proposed candidate, Mrs. Oksana, will be able to preserve the heritage of the ministry and increase their communication with the profile committee. We are convinced that it should not be about the name, but about the power of the institutions and their effectiveness, especially in terms of the state of war. Ukrainians need a new social policy that will match the current situation and become the foundation for further strengthening state support. Ukrainians deserve high social standards and quality services. Our pensioners are not to be married; they are worthy of a decent pension for a full and active life. Support for unprotected populations should be shocking, not by the number of different forms of assistance and the means needed to obtain them, but by the effectiveness and urgency of the process. Finally, we have to provide a full-blown inclusion for people with disabilities. And new challenges arise in connection with the war before the Ministry of Social Policy and its leadership. These are the pressures on employment centers and the need to expand rehabilitation centres, and to increase the work of social protection agencies. The Cabinet of Ministers is primarily responsible for the party of power. At the same time, we realize that it is impossible to leave the country without a minister of social politics at this time. Our voters voted for us to work to overcome social injustice. That is why we support the candidature of Oksana Zolnović and count on fruitful cooperation for the benefit of the Ukrainian people. Thank you.
ParlaMint-UA_2022-07-19-m0.u14	Thank you. The word is given to the national deputy Rušišin Jaroslav Ivanovich, faction of the political party "Golos". Clemensa Julia Leonidivna. Same faction.
ParlaMint-UA_2022-07-19-m0.u15	Klimenko, the Voice faction. Dear colleagues, first of all, I would like to point out that I would like to hear the report of Minister Lazebna before we appoint a new minister. Because we appoint and appoint new ministers, and we invent bicycles every year or six months or two. So in order for the new minister to be able to take over matters effectively, it is necessary at least to listen to the report of the old minister released yesterday, Mrs. I hope on the committee she was reporting, even though she didn't make it for the hall. And it's a bad practice, unfortunately, which is tolerated in this room. As for the new Mrs. Minister, I would like to, and we've met, and we thank her for meeting her was really meaningful. But we want to emphasize the priorities that we see for social policy, for the new Minister and for the Cabinet of Ministers. First of all, it's the return of our citizens from abroad. Six million citizens are now abroad. Without effective programs, the Ministry of Social Policy, and the Ministry of Education, and the Ministry of Health, there is no possibility of bringing these people back, unfortunately, we do not see. So we're really looking forward to this priority, and that these programs are going to be developed first of all. The other one. Internally displaced persons who are inside the country who also need the attention of the Minister of Social Policy. Thirdly, verification, eventually, social benefits made from different funds. It's always been a breadwinner for corrupts. And we want to see that these verifications, these verifications are done. And people who really need social assistance get social benefits, not all who have expensive cars and houses use the government budget. Thirdly, we want to see that the social services law is finally implemented. It was adopted a few years ago. And we still don't see at community level or at community level there's actually no social services, we don't have old services, like boarding schools, like sanitariums, and many different care for older people, new ones don't open. And the fifth. We'd like to see programs for our veterans, namely prosthetics. We have 700,000 people in the army, many of them will, unfortunately, remain with disabilities. And we want to see specific programs for these people. Again, prosthetics should take place in Ukraine, prosthetics should be carried out without corruption. And we want to see that people who have been sitting on stretches for many decades as in a corrupt dining room finally get out of there. For prosthetics to be available absolutely for all. What is more, unfortunately, we will need it for years to come. So this is our wish to the Minister. We will be careful to make sure that this is all there is to it.
ParlaMint-UA_2022-07-19-m0.u16	Thank you. Please give the word to Laby Mikhail Mikhailovich, faction of the political party "Serve of the People." Please.
ParlaMint-UA_2022-07-19-m0.u17	Dear friends, it is very important today to support Mrs. Oksana Ivanovna’s candidacy, for without a minister of social policy today there is no hour. We understand today's load in the state, we understand, today a few fronts of work led by Vladimir Alexandrovich. And the Ministry of Social Policy is also a very big challenge today. And the previous speaker said, I support here, in terms of verification and digitization, in principle, of all social benefits, because we understand today's movement of people, we understand that we need to synchronize several bases of finding where today's person is, where he's living with his license, where he can participate in some of the other moments of discussion of losing social housing, giving documents. Today, this very important role and mission is being performed in Western regions, for example, by united territorial communities. I would like to find out, thanking the united regional communities in Ukraine for what they are doing today and the trials they are enduring, because today we understand that they are creating a new account of their immigrants — our citizens of Ukraine, who have moved to other parts of the country, were forced to leave because of Russian aggression in our country. So today there is and is forming a certain calculation of local communities and a certain vision of how to deal with these issues. I'd like to wish Oksani Ivanovna at work, if you work from a minister's chair, more often to form an opinion from a basic level where today we see practical actions, how we can serve our population, all of our forced displaced people. You're going to find this formula right here in the areas where our citizens are now located and they need your attention, your constant attention and your help. Nor can we and cannot leave even for a second those who have left our country. Today, I would like to make a very fruitful contribution to the Consular institutions and to you, Mrs. Oksano, very, very much please, pay attention to all of our forced displaced persons abroad, because they also need both verifications and identifications. I ask the consular authorities to establish this link and help our Ukrainians and abroad. Thank you. I wish you fruitful work and success in your position. Thank you.
ParlaMint-UA_2022-07-19-m0.u18	Thank you. The word is given to the National Deputy of Ukraine, Mikhail Vasilovich Makarenko, MP for Life and Peace. Mikola Skorik, please. Is that what I understand? Please.
ParlaMint-UA_2022-07-19-m0.u19	People's MP Skork, MP for Life and Peace. Mr. Chairman, honourable colleagues, distinguished members of the government, distinguished candidates, respected citizens of Ukraine who may be watching this talk. Yesterday, the candidate met with representatives of our parliamentary group, and on the basis of this meeting today at the morning meeting of the group, it was decided to support her candidacy as Minister of Social Policy. What would you like to say? Today, a candidate from the Supreme Council stands out for a rather short term, but a rather meaningful and ambitious speech about what the Ministry is planning to do. In all that Mrs. Oksana said, there is a very serious problem. We have only a growing budget deficit, and we realize that even those changes to the budget that have been adopted at one of the previous meetings of the Supreme Council will be very difficult to implement. We insist that the format of government with the Supreme Council really be changed. We insist that the government should return "the time of the government" to Parliament. We insist that there should be a dialogue between the government and the deputies, because, starting on February 24, the format of the work of the Supreme Council changed: there is no majority and no opposition, there is a Supreme Council that makes balanced decisions and is responsible for these decisions. And these decisions about social policy, we understand that they will be unforgivable and perhaps unpopular. We insist that there should be a dialogue with the deputies about how to make it the least possible for our citizens to feel a blow from it. Our deputy faction, for its part, tells us that we will actively and constructively support the government and are ready to work together. We wish you a successful candidate in your new position. Thank you for your attention.
ParlaMint-UA_2022-07-19-m0.u20	Thank you. Please, Irina Volodymyrna Heratschenko, faction of European Solidarity.
ParlaMint-UA_2022-07-19-m0.u21	Dear Prime Minister, distinguished colleagues, dear candidate! Ukraine has defined membership in the European Union as our key priority. So European political practice requires not only the presentation of the future minister but also the report of the previous minister. European practice requires respect for the government not only during the presentation but also during the release, because it was the Prime Minister of Ukraine who presented all the previous ministers here and then disappeared during their resignation. We talked about this yesterday with the distinguished Prime Minister, and we demand that all personnel assignments take place under European political culture. As for the candidate for the post of Ministry. Our faction also met with your candidate. Indeed, social policy and economics are the two key challenges facing today's government, and these are the most complex challenges, and our faction is ready to help resolve these issues by voting for all the bills that will support social policy that will work for our citizens. Indeed, we want to hear a clear policy about our refugees, temporary displaced persons and Ukrainians, 6 million of whom are now being forced abroad. How are we going to get them back? The role of the Ministry of Social Policy with the Ministry of Health, with the Ministry of Education, will be very important. It is very important to move Ukraine from a country of benefits to a country of services, and we must do this reform together. Indeed, the key issue remains that of helping our respected soldiers who were wounded by a Russian invader. And this rehabilitation policy has to be more responsive and meet NATO standards. We called on the minister to unlock the issue of adoption of children because wartime may take as long as it is blocked today, thousands of Ukrainian children who have lost their parents are left without the possibility of finding a new family. So, Your Honor, Mrs. Oksana, we urge you to be one of the priorities for unlocking the issue of adoption. Thousands of Ukrainian families today want to take care of a Ukrainian child. Well, and it'll be very European if the "Council" channel today similarly shows these debates on the social issue, and not that disgraceful censorship will be included. We also want to see pay policies, social benefits for the Russian occupation. Because, in fact, today there are a lot of funds that are being paid to someone, not paid to someone, there is a certain horde.
ParlaMint-UA_2022-07-19-m0.u22	Please, National Deputy Evtushok Sergey Mikolaiovich, "Fatherland" faction. Dear colleagues, after that, we are moving on to making a decision. People's deputies please take their seats, and I invite Sergio Mikolaiovich Evtushka. Mikhail Mikhailovich Zimbaluk. Ladies and gentlemen, after this speech, we shall proceed to the vote. Please, Mikhail Mikhailovich.
ParlaMint-UA_2022-07-19-m0.u23	Mikhailo Cimbaluk, Fatherland. First of all, thank you to Sergio Eutuska for her word. Dear Mr. Head, distinguished national MPs, the social policy of the state depends not only on the work of one ministry. Social policy depends on the concerted professional work of the entire Cabinet of Ministers and the laws that are passed in this session hall. And it has become a bad practice when ministers, when they leave office, do not report to Parliament, perhaps not so clearly passing their release. If Marina Lazebna were on this rostrum, I think she would have something to say, because she represented not only herself as a minister leaving her post, but a multi-million-dollar community of social workers who are worthy of respect because they work with people in places today. It will not be easy for the new minister because she had experience in government and administrative work. But I would like, Mrs. Oksano, to wish you all the positive things that were done in the previous team, taken for the future and multiplied. There are serious challenges to you, as before the entire government, especially the pension reform. Those pensions, which are now minimal, do not respond to any criticism, to which, on that pension, it is impossible to live. And we hope that you will finally be the initiator of the Cabinet of Ministers' decision on the consumer basket that forms all social benefits, including pension benefits. We're waiting for you, or we're going to give you another choice, which is the basis for the minimum of living in the state. We're also going to ask you to be decent in representing the social sphere, because today there's a difference, depending on the community that can pay a decent wage to social workers. Do not allow the services, the benefits guaranteed by the Constitution, to drop at the level of the territorial community and to seek funds. Decentralisation is primarily the transfer of powers with financial resources, it's a very important thing. And many challenges are before you and before the government, we want you to go through them with dignity. Thank you.
ParlaMint-UA_2022-07-19-m0.u24	Thank you. Dear colleagues, we've concluded our discussion, we're moving on to making a decision. People's deputies please take their seats. Honorary colleagues, in accordance with article 85, paragraph 12, of the Constitution, have put to the vote the proposal to appoint Žolnovich Oksana Ivanovna as Minister of Social Policy of Ukraine. Ready to vote? People's deputies, please vote. [[10:41:26]] For 282 Decision taken. [[Applause]] Show the factions, please. I'm asking the profile committee, along with the Apparatus, to issue a ruling on the consequences of the decision we've made. Honourable National Deputies, in accordance with article 10 of the Ukrainian Law on the Cabinet of Ministers of Ukraine, the person appointed as a member of the Cabinet of Ministers of Ukraine shall, on the day of his appointment before his appointment, serve at the plenary session of the Supreme Council of Ukraine, take an oath. Minister of Social Policy of Ukraine, Ivanovna Žolnović, is invited to take an oath to the rostrum.
ParlaMint-UA_2022-07-19-m0.u25	I, Žolnovich Oksana Ivanovna, aware of the high responsibility of a member of the Cabinet of Ministers of Ukraine, solemnly swear allegiance to the Ukrainian people. I commit myself to upholding Ukraine’s Constitution and laws, strengthening Ukraine’s sovereignty and independence, upholding human and civil rights and freedoms, and caring for the well - being of the Ukrainian people, the constant democratic development of society. Thank you.
ParlaMint-UA_2022-07-19-m0.u26	Thank you. Congratulations. Congratulations on your entry into office. Congratulations. Dear colleagues, at the Conciliation Council, we agreed on a day’s schedule. We're about to start with questions that don't need to be discussed, we're going to vote on them. Then we will vote on two more questions that need to be discussed. After that, we will move on to one human resources issue: discharge from the post of Head of the Ukrainian Security Service. After that, we'll announce a 30-minute recess for the committee to pass. I ask you not to depart, because after 30 minutes, we will move on to another human resources issue: to grant permission to release the President of Ukraine, the Attorney General of Ukraine. And then we're going to vote on a whole series of other legislation that we have. It's a brief order of the day. Therefore, I ask that you keep the meeting in this room and come in accordance with the Rules at the right time after we have a recess. As we move on to the issues that we have agreed on at the Conciliation Council, which will not need to be discussed in this room. I would like to ask the people's deputies to take their seats, and I will begin with the draft Order establishing a temporary special commission of the Supreme Council of Ukraine on the issue of monitoring the receipt and use of international material and technical assistance during the war (registration number 7563). I propose to accept, as a whole, the necessary technical and legal amendments, the draft Ordinance on the Establishment of a Temporary Special Commission of the Supreme Council of Ukraine on the issue of receiving monitoring and. [[B in m in s a l in]] Aah! Any comments from the committee? Please, then, give me a few minutes. [[B in m in s a l in]] Aah! I got it. Dear colleagues, I'm sorry. Then I'm going to take this as a whole, taking into account the Committee's observations and the necessary technical and legal amendments, the draft Interim Regulation. [[B in m in s a l in]] Dear colleagues, if you don't mind, I'll give the committee's head a few minutes, he'll say what kind of remarks, and we'll vote as it is. Please, I give the floor to the head of the committee of Calchenk Sergey Vitaliovich. Please.
ParlaMint-UA_2022-07-19-m0.u27	Honorable Presidium, distinguished national MPs! Our committee considered the draft decree yesterday at its meeting (registration 7563) and recommended that the Supreme Council consider it in accordance with article 138 of the Rules, taking into account the comments of the committee in its conclusions, and determine how to vote. These remarks relate primarily to the alphabetical order of the names of the national MPs, as well as the replacement of the word "work" with "activity" and a few small editorial details. Thank you for your attention.
ParlaMint-UA_2022-07-19-m0.u28	I think it's a great point to take them into account. Dear colleagues, did you think they put something in there, yes, as you always think? Ladies and gentlemen, I propose to take into account the Committee's proposals and the necessary technical and legal amendments the draft Ordinance establishing a temporary special commission of the Supreme Council of Ukraine on the issue of monitoring the receipt and use of international material and technical assistance during the state of war (registration number 7563). Ready to vote? People's deputies, please vote. [[10:47:04]] For 314 Decision taken. Next up, colleagues. 7561. I propose to adopt, as a whole, with the necessary technical and legal amendments, a draft regulation amending the Ukrainian Supreme Council Regulation on financial security for the activities of Ukrainian national deputies (registration number 7561). Ready to vote? People's deputies, please vote. [[10:47:48]] For 308. Decision taken. Next. 7349. Dear colleagues, here are two votes: to include and send immediately for re-reading, as we agreed. Therefore, my honourable colleagues, I propose to include in the agenda of the day a draft Act amending some Ukrainian legislation on improving the fight against terrorism (registration number 7349). People's deputies, please vote. [[10:48:34]] For 275 Decision taken. And I'm proposing that a committee be sent to prepare for the re-reading of the draft Act amending some Ukrainian legislation on improving the fight against terrorism (registration number 7349). People's deputies, please vote. [[10:49:08]] For 275 Decision taken. Thank you, colleagues. Next up, colleagues. 7566 is a draft Decree on certain issues of forced alienation under the legal regime of martial law. I propose to accept, as a whole, the necessary technical and legal amendments, the draft Decree on Certain Questions of Forced Disqualification under the Legal regime of the State of War (registration number 7566). Ready to vote? People's deputies, please vote. [[10:50:05]] For 316 Decision taken. Dear colleagues, we're going to have two bills, these are the second readings. We talked to faction leaders and groups. No one is going to insist on the amendments, so I'm going to put them on the table right now. 4323 is a draft law amending some Ukrainian legislation on the application of measures of forced feeding to convicted persons and persons in custody. I propose, in the second reading and in general, with the necessary technical and legal amendments, the draft Law amending certain Ukrainian legislation on the application of measures of forced feeding to convicts and detainees (registration No. 4323). Ready to vote? People's deputies, please vote. [[10:51:15]] For 301 Ladies and gentlemen, please come to Helen Kostovny with a button that doesn't work. Somebody come along, take care of it. The next question is 4324. This is also a second reading. We made a deal with our colleagues, too, and they won't make any adjustments. So I immediately propose, in the second reading and in general with the necessary technical and legal amendments, a draft law amending the Ukrainian Criminal Procedure Code on the application to prisoners and persons who are being held in custody of forced hunger. [[B in m in s a l in]] One more time, one more second. I propose, in the second reading and in general, with the necessary technical and legal amendments, a draft law amending the Ukrainian Criminal Procedure Code on the application of measures of forced feeding to convicted persons and persons in custody (registration No. 4324). People's deputies, please vote. [[10:52:48]] For 288 Decision taken. Thank you, colleagues. Let's move on. Dear colleagues, we'll still have two bills in the first reading with discussion. It's 7550 and we're up from the bottom, Alexander Sergiyovich, 7163. And then we move on to the staff issue of discharge from the post of Head of the Security Service, and then we announce a recess so that the committee can come together and make a decision on the second human resources issue. So, your honors, let's move on to question 7550, this is the President's immediate bill. This is a draft law establishing legal and social guarantees for citizens of the Republic of Poland who are present in Ukraine. I'm making an offer. Review of the simplified procedure. I'm asking you to consider this with a reduced procedure, 7550. People's deputies, please vote. [[10:54:19]] For 266 Decision taken. Dear colleagues, I invite you to the report of the Deputy Minister of Foreign Affairs of Ukraine, Mikola Stanislavovich Tocitsky. Please, Mikola Stanislavovich.
ParlaMint-UA_2022-07-19-m0.u29	Dear Mr. Head, distinguished national MPs! Since the first day of Russia’s full - scale invasion, friendly Poland has been an example of providing assistance to Ukraine and Ukraine. One aid measure was the temporary shelter of over 3.5 million Ukrainians who had to move to Poland because of the aggression of the Russian Federation. On March 12, a law was passed in Poland to assist Ukrainian citizens in the face of armed conflict in the territory of our country. The law regulates the key issues of being in Poland with our fellow countrymen, sets up aid tools, provides for legalization mechanisms for the housing, employment, education, medical care and social security of Ukrainians. We received the same rights in Poland that Poles have on their home land. It was an unprecedented decision. Ukrainian President Vladimir Zelensky called the adoption by Poland of the law a great step, a great gesture of great soul, for which only great friends of Ukraine are capable. During a joint meeting with the President of the Republic of Poland, Andrzej Dodo, the head of the Ukrainian State here in the Supreme Council, on 22 May, expressed his gratitude to the Polish Seima for adopting the law. This law will not remain unilateral, the President has instructed the Ministry of Foreign Affairs of Ukraine to develop a mirror law. This law was passed by the Ministry of Foreign Affairs to the Cabinet of Ministers of Ukraine.
ParlaMint-UA_2022-07-19-m0.u30	Thank you. Thank you, Mikola Stanislavovich. I invite you to the report of the First Deputy Head of the Committee on Human Rights, Depopulation and Reintegration of Interimly Occupied Territories in Donetsk, Lugansk and the Autonomous Republic of Crimea, Sevastopol, National Minorities and International Relations of Maksima Mikolaiovich Tkachenka. Maxim Mikolaiovich, please.
ParlaMint-UA_2022-07-19-m0.u31	Good afternoon, colleagues. The Committee of the Supreme Council of Ukraine on Human Rights, Depopulation and Reintegration of Temporaryly Occupied Territories in the Donetsk, Luhansk Region and the Autonomous Republic of Crimea, the City of Sevastopol, National Minorities and International Relations at its meeting on 19 July 22, Protocol No.62, reviewed the draft Law of Ukraine on the establishment of legal and social guarantees for citizens of the Republic of Poland who reside in Ukraine (Registration No. 7550) (since 11.07.2022), submitted by the President of Ukraine. The bill was drafted in response to the adoption on March 12nd, 22nd, of the Law of the Republic of Poland to assist Ukrainian citizens in the context of armed conflict in the country. The aim of the bill is to improve the living conditions of citizens of the Republic of Poland, to establish new legal and social guarantees for citizens of the Republic of Poland who are in Ukraine. The bill provides for citizens of the Republic of Poland and members of their families – marriages, children (independent of nationality) who have arrived in Ukraine from the Republic of Poland, legal residence in Ukraine within 18 months of the entry into force of this law. The citizens of the Republic of Poland who are legally present in Ukraine will be entitled to employment in Ukraine, to economic activity in Ukraine, to education in Ukraine, to medical care in Ukraine under the same conditions as Ukrainian citizens, and to separate social benefits. During the plenary session of the Supreme Council of Ukraine As a result of the discussion, the committee decided to recommend to the Supreme Council of Ukraine a draft Ukrainian Law on the establishment of legal and social guarantees for citizens of the Republic of Poland to support this bill. Thank you.
ParlaMint-UA_2022-07-19-m0.u32	Thank you. Dear colleagues, please proceed to the discussion of this bill. Please sign up: two in, two in, against who wants to speak. The word is given to Solomia Anatolyevna Bobrovsky, the faction of the political party "The Voice".
ParlaMint-UA_2022-07-19-m0.u33	I give you my word to Pippi Natalia.
ParlaMint-UA_2022-07-19-m0.u34	Natalia Romanovna Pippa.
ParlaMint-UA_2022-07-19-m0.u35	Dear Ukrainians, dear Polish brothers and sisters, of course this bill is primarily about yours and our support, about the understanding that changed these days. About the misunderstandings that we've had and gone into the background, and now we understand how close we are before we were, that we're the only European family. And this bill is about the gratitude you gave us on this most difficult day of our lives. Six million Ukrainians have gone through Poland, there are now three and a half million, for Poland, which is a population of about forty million -- that is a large number of people. And whoever was there saw how many Ukrainians are now in Poland, we thank you for the support and acceptance. But in order for this bill to work, it needs to be redrafted and changed to other laws that are profiled. If there is no change, this bill will not work properly. So I urge the authors and the relevant ministries to work out and make this statement that we are making this bill a reality. Therefore, for your freedom and our freedom, for our common European future and for the fall and surrender of the last empire of evil. Thank you, brothers and sisters of Poles.
ParlaMint-UA_2022-07-19-m0.u36	Yes, thank you, thank you. The word is given to Gregory Mikhailovich Nemiri by the faction of the political party "The All-Ukrainian Union of the Fatherland," please.
ParlaMint-UA_2022-07-19-m0.u37	Please pass the word to Michael Zimbaluku.
ParlaMint-UA_2022-07-19-m0.u38	Mikhail Mikhailovich Zimbaluk, please.
