ParlaMint-UA_2022-07-18-m0.u1	Glory to Ukraine!
ParlaMint-UA_2022-07-18-m0.u15	Honorable Presidium, Your Honor! Vladimir Aresonkov, trust MP. First of all, our group wanted to express their deep appreciation and respect for those who today defend the territorial integrity and independence of our country, who, day and night, risking their lives and health, showing real examples of courage and heroism, is carrying heavy service on the front and back to ensure the lives of Ukrainian citizens. Our respect goes to the better sons and daughters, the soldiers of the Ukrainian Armed Forces, the National Police, the National Guard, the Border Guard, emergency services, the battalions of territorial defense, our medics and volunteers! Of course, we all look forward to a long - awaited victory. On matters of the order of the day. The "Trust" MP will undoubtedly support important bills that address national security and defence issues. 7510 is the implementation of state policy in the field of active anti-aggression in cyberspace. Let's stress, an important bill, it's about the functioning of an active system of counter-aggression in cyberspace itself. The Bills 7415, Bill 7412, are an extremely important block of legislation relating to the protection of social rights and guarantees for military personnel and members of their families. They are important both in terms of increasing the financial security of military personnel and in terms of social adaptation of veterans after injury or deterioration of health. The 7449 bill on the protection of the rights and freedoms of internally displaced persons is extremely important. Bill 7436. It is also a matter of exchange of persons who refer to prisoners of war. I want to say that we welcome the beginning of the work of a special commission of the Supreme Council to deal with international humanitarian and international criminal law, because this is an important topic, an extremely large number of crimes committed by aggressors in this area. We must help the law enforcement authorities to complete the investigation and ensure that the perpetrators are punished. And to the end. The Bureau of Economic Security is starting a more active phase of work. We consider it necessary to help him do so and to convey to the Committee on Legal Protection the subject of committee knowledge. Thank you.
ParlaMint-UA_2022-07-18-m0.u16	Please make the final statement instead of Julia Volodymyrovna Mikhailo Mikhailovich Zimbaluk. Dear colleagues, after this we are moving on to the agenda, please invite the deputies to their workplaces. Mikhailovich, please.
ParlaMint-UA_2022-07-18-m0.u17	Thank you. Dear Mr. Head, your honor! Mikhailo Cimbaluk, Fatherland. Today, there is another very important component of Ukraine's state policy, other than defence policy, which is social policy. It should be borne in mind that in the country today nearly 8 million Ukrainians have been internally displaced and nearly 5 million Ukrainian citizens have been forced to leave the country in European countries. It is important that the State remembers them. Today, we have to say that social policy has lost its verticality, where there are insufficient social workers in united communities because they are kept at the expense of the local community. It is important that the State, by guaranteeing the provision of social services in the Constitution, allocate material resources to this effect, since it does not transfer money to places by handing over authority. There is an important thing about people demobilizing from the Armed Forces and other power structures, and they now need social rehabilitation. The Ministry of Social Policy maintains eight such rehabilitation centers. Unfortunately, however, there are attempts to convert these centers into a calculated way, which may be the loss of central funding and the failure to provide full service to those citizens who, at the cost of their own health, protect the territory of our State, their integrity, and return to their homes, do not receive social services. We have to finally hear, and what is the minimum of living and how we can live on the pension of 2,000 to 200 at this level of inflation. We expect the government to finally talk about the real subsistence minimum and bring all the social payments today into line. We also have at last, as a government, whether to encourage the government to adopt the Order on the so-called consumer basket, which forms many components, or to propose other approaches. We don't hear that today. There is also a problem with the unemployment system. We expect government specific answers to specific questions. Glory to Ukraine!
ParlaMint-UA_2022-07-18-m0.u18	Heroim Slava! Irina Volodymyrna, 30 seconds out of procedure. Please, Irina Volodymyr.
ParlaMint-UA_2022-07-18-m0.u19	Dear colleagues, each time we meet, we honor the memory of the fallen heroes. And respect for the army in this room must begin with respect, including military uniforms. Jan Zinkewicz, of our faction, expressed indignation that there is now a man in military uniform who has no right to wear it without performing military duties. I'm sorry, General Zabrodsky is not coming into the military room. People who have now signed the same contract with the U.S.S.S.O. and the others don't come here in military form. We demand that the man, we have Kovalov in the pixel tomorrow, come and say that he is the GUR in the occupied territories? We demand that the man who came into the military room, who was kissing Lukashenko yesterday, immediately leave the hall and change his clothes. This is a requirement of our faction. This is respect for the Armed Forces of Ukraine. Now!
ParlaMint-UA_2022-07-18-m0.u20	Dear colleagues, in accordance with article 28 of the Supreme Council of Ukraine Rules, as always, I propose a signal vote. I'm reminding you that the sensor button and we're voting for the "yes" green button. Dear colleagues, take your seats. Dear colleagues! Ready? People's deputies, please. What Is the Response?Oh, my God! What do you suggest I do?Oh, my God! You said, man heard, man must make a decision. What kind of questions do you want? You want me to take him out, or what? Again, what does it mean to react? I gave my word, the man said it, the other man heard it, everything. What questions might there be? There would be questions if I hadn't given my word, right? May I announce a successful signal vote? Thank you very much. People's deputies, please proceed to the signal vote. Take your seats and go to the vote. Stop, please, dear colleagues! Dear National Deputies! Dear National Deputies! Ladies and gentlemen, may I ask you to step aside in order to allow a man to leave this place? Dear colleagues! Dear colleagues, I ask the national deputies to take their seats. Please hold a signal vote. People's deputies, please vote. [[12:38:24]] For 299 You see, Chewchenka was taken away, it would be 300. Thank you. Let's go, dear fellows, to the day-to-day issues. We can cross, can't we? Dear colleagues, the list of questions you have been given is previously agreed upon by the Conciliation Council. Let us go to his consideration. For your consideration, there is a question of discharge from the post of Minister of Social Policy of Ukraine. Dear colleagues, pursuant to article 85, paragraph 12, of the Constitution, article 12, paragraph 12, of the Supreme Council of Ukraine is to be released from office of the Ministers of Ukraine. On July 15, 2022, according to part of article 18 of the Ukrainian Law on the Cabinet of Ministers of Ukraine, Lazebna Marina Volodymyrovna filed with the Supreme Council of Ukraine a request to accept her resignation as Minister of Social Policy of Ukraine. The relevant materials are provided electronically through SEDO. Previously, we added the following procedure: a report from the profile committee -- up to 2 minutes, statements from MPs and groups -- for 2 minutes for the performance (up to 16 minutes), for the decision-making process. Just 18 minutes. Is that the order of the day? Let's move on to the question. [[B in m in s a l in]] Dear colleagues, I understand. Well, people want to say something. Let anyone not take the floor. The head is invited to the speech for the report. The head of the Committee of the Supreme Council of Ukraine on Social Policy and Veterans' Rights, Galina Mikolayovna Trelyakova, is invited to report.
ParlaMint-UA_2022-07-18-m0.u21	Dear colleagues, the Committee of the Supreme Council on Social Policy and Veterans' Rights this morning, under the Order of the Head of the Supreme Council of Ukraine, Stefanchuk Ruslan Alexiyyovich of 15 July of this year No115606, considered the application submitted in accordance with part of article 18 of the Ukrainian Law on the Cabinet of Ministers of Ukraine by Lazebna Marina Volodymyrni of 15.07.2022 on the resignation of the Minister of Social Policy. The committee decided to agree to the release of Lázebne Marina Volodymyrovna from her post as Minister of Social Policy on her application for resignation, and to recommend to the Supreme Council of Ukraine to accept the resignation of the Minister of Social Policy of Ukraine of Lázebne Marina Volodymyrovna. I would like to add that this morning, when the committee met, the members of the committee thanked Marina Volodymyrian for her leadership of the Ministry of Social Policy in the very difficult working times of the Ministry: at the beginning of 2020, the coronavirus, 2022 -- a corresponding invasion, a large-scale invasion of the aggressor. We've had to make a lot of changes before the legislation, work with the Ministry, the government, with the Office of the President, to make the legislation fit for time. I want to thank Marina Volodymyrna again. And I ask the deputies to support the committee's decision. Thank you.
ParlaMint-UA_2022-07-18-m0.u22	Thank you, Galina Mikolayevna. I also think that we will all join in thanking Marina Lazebny for her triumphant work. Dear colleagues, I'd like you to sign up for a two-minute performance from the MP factions and groups. Those who wish to speak are recorded. Please log in. Please, Vladimir Yuriovich Aresonkov, MP group "Trust".
ParlaMint-UA_2022-07-18-m0.u23	Your Honor, your fellow Members, of course, the "Trust" MP refers to the Minister's statement as if with understanding, and we will support her resignation. But in turn, I would like to say that this position -- the minister of social policy -- is very important today. Who doesn't talk about what economics, finance, issues today that are related to the provision of Ukrainian troops, law enforcement and so on, they're like priority and important, but believe me, if social policy with all its components in support, the regulation today of the activities of individual population groups that need special attention, if this system doesn't work, then we can get an extremely complex, or even crisis, situation, including during the period leading up to the new heating season, when we have problems with the complexity of funding. So I'm now paying attention to the future head of this ministry and this direction that we need to work actively with the MPs, with representatives of local governments today, the territorial communities, the professional ministries in order to fully assess the situation and anticipate all the risks that will arise in the future. Thank you.
ParlaMint-UA_2022-07-18-m0.u24	Please, Danilo Alexanderovich of the Getmans, "Serve of the People."
ParlaMint-UA_2022-07-18-m0.u25	Dear colleagues, let us thank the minister for the work she did in the most difficult times for our country. We all realize that difficult times require as much concentration as possible. And the need to strengthen the team of such a dutiful ministry is obvious. So let's move on to making decisions and less politics. Thank you.
ParlaMint-UA_2022-07-18-m0.u26	Thank you. Please, Galina Ivanovna Vasilchenko, faction of the political party Voice.
ParlaMint-UA_2022-07-18-m0.u27	Please give my word to my colleague, Julia Klimenko.
ParlaMint-UA_2022-07-18-m0.u28	Julia Leonidina Klimenko, please.
ParlaMint-UA_2022-07-18-m0.u29	Dear colleagues! Of course, we can long thank the previous ministers, the existing ones, the future ones, but we do not particularly see the result. The Minister of Social Policy is one of the most important roles in the Cabinet of Ministers of Ukraine. Because the work of this minister applies to virtually all Ukrainian citizens, beginning with pensioners and ending with those who are to be born. Regrettably, we do not see any meaningful policies or policies regarding internally displaced persons in Ukraine caused by war. Nor do we see any program targeting people — 9 million people who have left Ukraine and 6 million who are now abroad. No program in five months of social policy was designed to bring these people back. And as a result of the survey: 65 percent of the 6 million aren't going back to Ukraine anytime soon, it's mostly young people, it's economically active people, it's children, it's our future. Therefore, dear colleagues, we will not thank the Minister of Social Policy, who has been swimming for all these years. We want the next Minister of Social Policy to have enough power to bring back fundamental social policy, to send it back to the development of families in Ukraine, and to return our six million citizens, and to create conditions that would be better for them under the conditions they now have in Poland and elsewhere. We need to get our people back, otherwise there will be no economy, no social policy, and there will be no one to fight for in the years to come. Thank you.
ParlaMint-UA_2022-07-18-m0.u30	The word is given to Nestor Ivanovich Schufrich, the "Platform for Life and Peace" group.
ParlaMint-UA_2022-07-18-m0.u31	Thank you, Your Honor! Now we have to take a quick look at this question. It's a coalition issue, it's determined. Therefore, our esteemed minister is a woman, and men must satisfy all the petitions and petitions of our colleagues. We ask that the new minister be nominated as soon as possible, because such a direction cannot be without the master. We vote in favour. Thank you.
ParlaMint-UA_2022-07-18-m0.u32	Please, Lopushansky Andry Jaroslavovich, faction of the political party "European Solidarity".
ParlaMint-UA_2022-07-18-m0.u33	[[Unheard]]
ParlaMint-UA_2022-07-18-m0.u34	Andrew Jaroslavovich, do you pass the word or refuse the word? Well, he didn't tell me anything, Irina Volodymyrna. Well, please, Irina Volodymyrna.
ParlaMint-UA_2022-07-18-m0.u35	Dear colleagues, "European Solidarity" is the only faction that did not vote for any of the personnel assigned to this power. Because most of them are based, not on professional qualities, but on loyalty to the President's Office. And it's obvious that respect for Parliament requires a report from a minister who resigns from the Supreme Council, especially taking into account how long we've been discussing this resignation with you, so that it doesn't look like an escape from a ship that's under a storm. And so we are expressing our complete disagreement with what is happening today as the so-called exclusion from our positions of Attorney-General and Head of Security of Ukraine. All of this is actually done under the guise that under the terms of the state of war they've adopted changes to the law that the President can remove, but only if it's about his authority. I would like to remind you that we are here, more faithfully, you are systematically reviving Parliament, when today you do not require all the layoffs that are to take place, especially when it comes to such serious accusations with the participation of the Supreme Council of Ukraine, because, according to the Constitution, and this is the Basic Law of Ukraine, it is the Supreme Council of Ukraine that appoints and releases the Head of the Security Service of Ukraine as well as the Minister of Social Policy, but at the request of the President of Greens, and so does Henprocuror. And that's why we demand, our faction, that all those persons to whom there are questions. And there's this version that they're all on time, these questions that we've been dealing with, not just in social politics, but with territorial integrity, with the deployment of the terrorist forces to report to Parliament, with answers to Parliament, and with Parliament not avoiding responsibility for personnel decisions. But if you'll excuse me, it's your responsibility to vote without a report.
ParlaMint-UA_2022-07-18-m0.u36	Krulko Ivan Ivanovich, "The Fatherland" faction. Mikhail Mikhailovich Zimbaluk, please.
ParlaMint-UA_2022-07-18-m0.u37	Mikhailo Cimbaluk, Fatherland. Dear colleagues, this is indeed an archival issue that is being addressed today by the Supreme Council of Ukraine in the absence of a Prime Minister, in the absence of government members. This suggests that the Supreme Council, unfortunately too large, ceases to be the center of decision-making. We're becoming statisticians. Dear colleagues, for example, like many people, I would like to hear the report of the Minister of Social Policy on the work done. Indeed, there is something positive to say, but there are many things that the minister has failed to do. Perhaps we would have heard the problems and reasons why this happened. The fact that she did not come to Parliament tells us that she probably did not have a clear release. Because of this, it is a bad tradition for ministers to leave their posts without reporting, sorry, during an unforgivable period. Lazebna worked during the challenges of the Coronavirus, a large - scale war. Then indeed the Ministry, and these are the tens of thousands of people who work in places, who have done their duties conscientiously, they should say "thank you." And to the end. Dear colleagues, social policy is the main thing, I stress once again, after the defence sector. These things need to be brought to the attention of the Prime Minister of Ukraine, who is probably already on his way to retirement, since he did not come here today to explain why.
ParlaMint-UA_2022-07-18-m0.u38	Ladies and gentlemen, the discussion is over. Let's move on to making a decision. I'm asking the people's deputies to take their seats. Once again, I'm asking all national deputies to take their seats. In accordance with paragraph 12 of the first part of article 85 of the Constitution of Ukraine, part of the first article of article 18 of the Ukrainian Law on the Cabinet of Ministers of Ukraine, I am voting on the proposal to release Lazebne Marina Volodymyrovna from the post of Minister of Social Policy of Ukraine for her resignation. Ready to vote? People's deputies, please vote. [[12:53:34]] For 277 Decision taken. Please make a decision on the outcome of the decision we have made with the Apparatus. Thank you, colleagues, we've completed the personnel question. Let us move on to other matters of the order of the day. As always, we have a number of issues that we are voting on without discussion, so please ask the national MPs not to disagree, there will be several. Yes, dear colleagues, Bill 7545 is a draft decree for the execution by the chiefs of the Dryzkowska, Kostinej and Slovenian City Military Administrations of the Kramator Region of the Donetsk Region of the authority provided for in part two of article 10 of the Ukrainian Law on the legal regime of martial law. I'm proposing to include this issue in the agenda of the day session. People's deputies, please vote. [[12:54:41]] For 310 Decision taken. I propose to adopt, as a whole, with the necessary technical and legal amendments, the draft Decision on the implementation by the Chiefs of the Friends, Constantine and Slovenian City Military Administrations of the Kramator Region of the Donetsk Region of the powers provided for in part two of article 10 of the Ukrainian Law on the legal regime of military status (registration number 7545). Once again, take the basis with the necessary technical and legal amendments. People's deputies, please vote. [[12:55:29]] For 313 Decision taken. Thank you, Your Honor. The next question is 7550, without discussion, we include in the agenda and shorten the deadlines for introducing alternative bills. Therefore, dear colleagues, I propose to include in the agenda of the day the draft Law on the establishment of legal and social guarantees for citizens of the Republic of Poland who are in the territory of Ukraine (registration number 7550). People's deputies, please vote. [[12:56:14]] For 315 Decision taken. I propose to cut the deadline for introducing alternative bills to Bill 7550. People's deputies, please vote. [[12:56:41]] For 276 Decision taken. Thank you, colleagues. Let's move on. Then we have a series of ratifications. We agreed, first, we're talking, everyone else is voting without discussion. We turn to question 0156 of the draft Law on the Ratification of the E5R Grant Agreement (the Energy Efficiency of Public Buildings Project in Ukraine) between Ukraine and the European Investment Bank and the Investment Grant Agreement (the Energy Efficiency of Public Buildings Project in Ukraine) between Ukraine and the European Investment Bank. I would like to suggest that we consider this issue in a simplified manner. People's deputies, please vote. [[12:57:36]] For 268. Decision taken. Dear colleagues, please sign up: two for, two for, against, to discuss this bill. Please, Jurczin Jaroslav Romanovich, faction of the political party "Golos".
ParlaMint-UA_2022-07-18-m0.u39	Please pass the word to Inni Sussoon.
ParlaMint-UA_2022-07-18-m0.u40	Another Romanovna Sosun, please.
ParlaMint-UA_2022-07-18-m0.u41	Inna Sowsun, Voice faction. Dear colleagues, of course, such a decision that is now being made must be supported. Because energy efficiency is what we have declared and promised to go this way. We passed laws in this Parliament, including for energy efficiency. In principle, we have done a lot to ensure that energy efficiency as a goal of government policy in the country is working. But problems at the same time are, very serious, at the level of executive power. Look, tomorrow, and I'm sure, the whole room is looking forward to this, we're going to be looking at bills that include looking for $8 billion to buy gas to somehow go through the next winter. But at the same time, we are not doing anything to reduce the consumption of gas -- those are the things the government should be doing now. We could take steps right now to come up with a little less demand for the amount of gas we need in the next winter. But what is happening now in this direction? In short, nothing. I understand that now, in wartime, much is very difficult to do. But at the same time, the minimum steps, such as electric heating, heat pumps, are something else that we can do right now, at least in those areas that are less militarily affected by war. But unfortunately, these things aren't there, we don't see them, but we're still trying to figure out how to find money to go through this winter, instead of systematically preparing for the winter, including by reducing consumption. So, colleagues, this kind of deal is good, it's great. But let's see how they're done, because so far, we're not seeing a reduction in consumption. And unfortunately, we need to start honestly telling our voters that the next winter is going to be very difficult and, unfortunately, not even this agreement will help them. Thank you.
ParlaMint-UA_2022-07-18-m0.u42	Please give the floor to the Ukrainian national deputy Pavelek Rostislav Mikolaiovich the faction of the political party "European Solidarity".
ParlaMint-UA_2022-07-18-m0.u43	Please pass the word to Ivanni Klimpush-Cincadze.
ParlaMint-UA_2022-07-18-m0.u44	Ivanna Orestovna, please.
ParlaMint-UA_2022-07-18-m0.u45	Dear colleagues, "European Solidarity" will obviously support this bill, this ratification. And we hope that the money for the energy efficiency of public buildings will be used quickly and efficiently. And this is really the approach that we would now have to apply all over the country, both to early recovery and in the future, this approach should be used to restore those buildings that were damaged by the Russian terrorist state. At the same time, we do not really have enough effective public policy to reduce the use of energy resources by Ukrainian society to date. Not the decline that Russia has brought on our businesses, our buildings, but the decline that would be promoted and realized by the government's approaches, by well-designed policies, and by decisions that could be endorsed in this room. So I'm joining those who apply to the government, come out with proposals, and immediately implement maximum energy conservation throughout Ukraine so that we can go through the next heating season more, less, sorry, painfully. Thank you.
ParlaMint-UA_2022-07-18-m0.u46	Thank you. Please, I take it, Alexy Yuriovich Kucherenko, yes, from Fatherland? Please.
