ParlaMint-UA_2019-10-29-m1.u1	Dear colleagues, please take your seats, prepare for registration.
ParlaMint-UA_2019-10-29-m1.u12	Thank you. Dear colleagues, request to register with factions: two in favour, two in opposition. Cimbaluk Mikhailo Mikolaiovich. Mikhail Mikhailovich, I'm sorry.
ParlaMint-UA_2019-10-29-m1.u13	Thank you, Mr. Head. First of all, I would like to express my gratitude to the head of the Committee of Social Policy, on the matters of the veterans of Mrs. Trelyakow Galina. I want to thank all the members of the committee, for it has indeed brought together representatives of various political forces around the problem, a problem that exists in many Ukrainian families. According to recent statistics, over 161 thousand families have children with disabilities from childhood. And I would like to thank Mrs. Queen, who has also united efforts through the sacrifice of her bill to make this bill a law. Thank you all. And please vote yes.
ParlaMint-UA_2019-10-29-m1.u14	Bobrovska Solomija Anatoliyevna
ParlaMint-UA_2019-10-29-m1.u15	Thank you. In fact, it's the right thing to do, and it's logical, because we're a social state and we're moving towards it, but it's interesting to hear and see where the pay raises are going to come from. That's the first one. And the second. Besides, when we talk about pay raises, and once again we're talking about "fishing, not poles," it's good that both the legislators and the colleagues who are working on it and taking care of it can still look for a way of socializing children who have to be cared for or cared for by their parents. So that during the day you can go to specialized schools or to spend time and so that your parents can go to work. So it's a much more complex, bigger and more global, a more complex program this time. And two. We need to think about an inclusive society, starting with the front door and ending with organizations, education and so on. Thank you.
ParlaMint-UA_2019-10-29-m1.u16	Gerasimov Arthur Volodymyrovich. Zinkevich Jan Vadimovna. Please turn on the microphone.
ParlaMint-UA_2019-10-29-m1.u17	Good afternoon, colleagues! I want to say that this bill is very important. Because, unfortunately, we have a very difficult situation for parents who care for their children with disabilities and also for those with disabilities. And unfortunately, those social benefits that are at the moment, they don't even cover the basic drugs. That's why we, the faction of European Solidarity, will support this bill. And we think it's very important that you all support it, too. Thank you.
ParlaMint-UA_2019-10-29-m1.u18	Batenko Taras Ivanovich, MP for the Future.
ParlaMint-UA_2019-10-29-m1.u19	Please give the floor to Ms. Irina Konstankevitch.
ParlaMint-UA_2019-10-29-m1.u20	Irina Miroslavna Konstanovic.
ParlaMint-UA_2019-10-29-m1.u21	The "For the Future" group, which is made up of national MPs -- majors and represents more than 4 million voters in Ukraine -- thinks that the legislative initiative is the right one, the most necessary one. But at the same time, it's just part of solving a big problem. First of all, I would like to point out that in the eighth session. In calling parliament, we took the first steps towards inclusion. Unfortunately, the inclusion in education is present, but it is not present in preschool education. So we need to move on. The second problem is the size of funding. And the money we provide for this bill is unfortunately small and will not solve problems of a social or health nature. Next, I would like to draw attention to the fact that the Ukrainian Institute of Strategic Research predicts an increase in the number of children with disabilities next year to 200,000. So we have to budget more in the 20th year. I ask you to take these aspects into account and we support Bill 2031 at the same time. Thank you.
ParlaMint-UA_2019-10-29-m1.u22	Thank you. Dear colleagues. I see. We've got one show left. Request to prepare for the vote. From Papiev Mikhailo Mikolaiovich, "The Opposition Platform for Life." Then we vote.
ParlaMint-UA_2019-10-29-m1.u23	Thank you. Dear Ukrainian National Deputies, this is an important bill. I would just like to draw your attention and draw your attention to some of the differences and why the bill of the Royal People's Deputy is more lenient and should be voted for. In the first bill, you're just raising the allowance for care, but you're not solving the main problem of these people -- you're not increasing or increasing the amount of government aid at all, and you're letting them live on this coined state aid again. And now the situation is that we're going to have to support this money bill of yours first, because it's hard to explain that there's nothing going on. But notice, we need to raise the basic payout right now -- that's state social assistance, not just care. We will vote on both the first and the second bills, and our Opposition Platform for Life supports them.
ParlaMint-UA_2019-10-29-m1.u24	Thank you. Dear colleagues, let's go to the vote. I am voting on the proposal to adopt, on the basis of the draft Act amending article 3 of the Ukrainian Act on State Social Assistance to Persons with Disabilities and Children with Disabilities, on the promotion of persons with disabilities from childhood care allowance (registration number 2031). Please prepare for the vote. Ready to vote? Please support and vote. [[16:25:23]] For 324 Decision taken. Show me the factions, please. "The Servant of the People" is 220, "The Opposition Platform for Life" is 26, "European Solidarity" is 20, "The Fatherland" is 14, "For the Future" is 10, "The Voice" is 16, "the Non-factional" is 18. Thank you. Decision taken. Dear colleagues, let's move on to the next issue of the agenda. You are invited to consider the draft Law on the Ratification of the Agreement between the Government of Ukraine and the Government of the United States to improve the implementation of the tax rules and to apply the provisions of the U.S. Law on Tax Requirements for Foreign Accounts (registration number 0001). It is suggested that this issue be considered in a simplified manner. Please support and vote. [[16:26:22]] For 266 Decision taken. The report is given by Hodakovsky’s Deputy Finance Minister, Pavel Viktorovich.
ParlaMint-UA_2019-10-29-m1.u25	Thank you. Dear Dmitre Alexandrovich, distinguished national MPs, your opinion is proposed by the draft Ukrainian Law on Ratification of the Agreement between the Governments of Ukraine and the United States to improve the implementation of the tax rules and apply the provisions of the U.S. Law on Tax Requirements for Foreign Accounts (FATCA). The agreement was concluded on February 7, 2017, in Kiev. The agreement foresees that it contains requirements for foreign financial organizations, such as monitoring the availability of accounts that are opened by U.S. taxpayers in Ukrainian financial organizations and informing the U.S. tax office about them. According to article 9 of the Ukrainian Law on International Contracts, the treaty is subject to ratification. The ratification of the agreement will allow the internal state procedures necessary for the agreement to take effect in relations between the two countries. The implementation of the draft law does not require additional budgetary funding. That is why we propose and ask for the support of this bill. Thank you.
ParlaMint-UA_2019-10-29-m1.u26	Thank you. The word for the report is given to the head of the Committee on Foreign Policy and Inter-Parliamentary Cooperation, Yaremenek Bogdan Vasilovich.
ParlaMint-UA_2019-10-29-m1.u27	Dear colleagues, the Committee on Foreign Policy and Inter-Parliamentary Cooperation, at its meeting on 9 October 2019, reviewed the draft Ukrainian Law on Ratification of the Agreement between the Government of Ukraine and the United States Government to improve the implementation of the tax rules and to apply the provisions of the U.S. Law on Tax Requirements for Foreign Accounts (FATCA) and approved the decision to recommend to the Supreme Council of Ukraine that the draft law be adopted on the basis and in general. The purpose of the draft legislative act is to ratify the Ukrainian-American Inter-Governmental Agreement of 7 February 2017 in Kiev, which will increase compliance with the requirements of international tax legislation in the relations between Ukraine and the United States and will ensure that the provisions of the FATCA Act are applied on the basis of internal reporting and automatic exchange of information in accordance with the Convention between the Government of Ukraine and the United States of America on the avoidance of double taxation and tax evasion in respect of income taxes and capital taxes and the Protocol thereto, which was deposited in Washington on 4 March 1994. The ratification of the agreement will provide the legal basis for the disclosure by banks of information on U.S. taxpayers' accounts in Ukrainian financial institutions in cases and in terms of the scope of the agreement. According to an explanatory note signed by the finance minister of Ukraine, the implementation of the law does not require additional budgetary funding. The main scientific and expert office of the Supreme Council of Ukraine believes that the treaty can be ratified. Please have your support. Thank you.
ParlaMint-UA_2019-10-29-m1.u28	Thank you, Bogdan Vasilovich. Please register: two in, two in the opposite, from factions. Ironman Jaroslav Ivanovich, Voice.
ParlaMint-UA_2019-10-29-m1.u29	Dear colleagues! The Voice faction will vote for this ratification, that's an important change. Unfortunately, we promised to ratify it a few years ago, and for a long time we had a process of agreeing to these changes. Unfortunately, once again this does not apply to Ukrainian citizens, this is exactly what is happening to citizens of the United States. But this is a fine example of how another State makes sure that all taxes, including those in not only the United States, are paid. And in a sense, it's a good example for our country, how we can fill out our executions if we follow and make our tax terms more extensive for our activities, including outside our country. Thank you.
ParlaMint-UA_2019-10-29-m1.u30	Thank you. Danilo Alexandrovich Getmantsev, "Slut of the People" faction.
ParlaMint-UA_2019-10-29-m1.u31	Thank you. I ask you to support the decision to ratify this agreement. This is about the exchange of tax payers from the United States with Ukraine between Ukraine and the United States of America. By the way, until this agreement, we also propose to support the two bills that we have in order of the day. And in fact, this is the mechanism that will not only allow us to reveal information about U.S. taxpayers, about their income they receive in Ukraine, but also to launch those mechanisms that will eventually allow our government, our State Tax Service, to get information about the assets and assets of our citizens that they're still hiding abroad. So these are the simple steps that we've been talking about in the parliamentary and presidential elections for so long. And I'm asking you to back me up. Thank you.
ParlaMint-UA_2019-10-29-m1.u32	Thank you. Volosin Oleg Anatolyevich.
ParlaMint-UA_2019-10-29-m1.u33	Dear colleagues.
ParlaMint-UA_2019-10-29-m1.u34	Dear colleagues, are they still willing to speak? Then I ask you to prepare, after Oleg Anatoliyovich has spoken, let us proceed to the vote. Please turn on the microphone.
ParlaMint-UA_2019-10-29-m1.u35	Dear colleagues, in fact, we will, of course, support our faction to ratify this convention. But the question is different. The question is, what we don't have to do in this room today is look like there's nothing going on in the Ukrainian-American relationship. Regrettably, Ukraine has entered the US presidential campaign in 2016 and has inherited this problem to the current government, unfortunately, Ukraine today is extremely toxic to both parties that dominate American politics today. This problem cannot be ignored. We have today, in fact, a ruined normal dialogue between Ukraine's strategic partners and the United States, because we're just being used as pedestrians in a political game in the United States. And we believe that the Ukrainian Parliament should assume responsibility for conducting a full investigation into the possible involvement of the previous Ukrainian authorities in the 16th year electoral campaign. As long as Parliament does not take this responsibility and create an appropriate interim commission of inquiry here, it will interfere with the organization of Mr. Greensky's full-time visit to Washington, and it will impede the development of our relationship with these scandals, because today Ukraine is simply walking into this game. I hope that you will have the support of the "Serve of the People" faction in the first place. We need to work out together what happened in the 16th year, what actions were actually performed by Ukrainian citizens, officials to take advantage of their capabilities, including in law enforcement agencies, to intervene in the American electoral campaign. If that doesn't happen, we'll still be used. So I hope that Parliament will declare its firm position and demand that the law enforcement agencies conduct a full investigation into all the facts of the intervention in the 16th American elections. Thank you.
ParlaMint-UA_2019-10-29-m1.u36	Dear colleagues, there are no more willing to speak? Please prepare for the vote. Dear colleagues, please prepare for the vote. I'll bet you a vote. I am voting for the adoption of the draft Law on the Ratification of the Agreement between the Government of Ukraine and the Government of the United States to improve the implementation of the tax rules and to apply the provisions of the U.S. Law on Tax Requirements for Foreign Accounts (Registration No. 0001). Please support and vote. [[16:35:39]] For 310 Decision taken. The law was passed in general. Dear colleagues. Show the factions, please. "Serve of the People" – 214, "Responsible Platform for Life" – 24, "European Solidarity" – 21, "Fatherhood" – 12, "For the Future" – 11, "Voice" – 16, "non-fractional" – 12. Dear colleagues, there have been statements from two factions asking for a break. Vadim Evgenovich Ivchenko.
ParlaMint-UA_2019-10-29-m1.u37	Vadim Yvchenko, "The Fatherland" faction. First of all, I wanted to thank my colleagues at the Future Group and my colleagues at the House of Fathers. This is the normal position when we can go out to the people and, believe me, prove to you the requirements that people place on the square before the Supreme Council. I want to remind you that the last thing that power can accomplish is that teachers can go through almost 3,000 hours after work and tell their demands. But for the time being, the resolution of a peaceful public action to protest the narrowing of the rights and guarantees of educational rights. "We, as participants in a peaceful public organization, protest against the authorities' intentions to narrow labour and socio-economic rights and guarantee educational institutions instead of fulfilling the requirements of article 61 of the Education Act." The state is constantly saving in education. The total amount of education expenditure in government and local budgets for the 20th year is projected at 5.6 percent of GDP. This is a reflection of the national priorities and the residual principle of financing, which is to be at least 7 percent. No expenditure is taken into account for the implementation of the Ordinance of the Cabinet of Ministers on the Paying of Scientific and Scientific Educators and Educational and Scientific Institutions, which provides for the establishment of a staff member's salary for the lowest qualification category of 2.5 living minimum. Colleagues, article 7 of the bill, provide a minimum of two thousand 102 bracelets for working persons, although according to the Ministry of Social Policy, they are 4 thousand 732 bracelets. The minimum wage is proposed to be set at 4 thousand 723 bracelets, even lower than the actual minimum wage. In the draft budget of the 20th year, the costs of educational subsidies for teaching staff in Kiev are limited. So the education community that came out, they're asking the Supreme Council to join us: first, to anticipate education costs of at least 7 per cent; second, to ensure that the requirements of article 61 of the Education Act for the establishment of a minimum wage of at least 3 minimum wages are met; third, to amend the Labour Code, the Labour Code, the Labour Code, the Law on the exclusion of minimum wage payments, allowances, bonuses, rewards and other payments; fourth and last, to take account of the introduction of the Total Secondary Education Act, including the observation of educational professions, namely the non-admission of teaching workers to term contracts, employment contracts, the abolition of allowances for check-outs, class management.
ParlaMint-UA_2019-10-29-m1.u38	Ten seconds, let me finish.
ParlaMint-UA_2019-10-29-m1.u39	I'm sorry, I'm sorry, the introduction of compulsory certification for the opportunity to engage in pedagogical activities in secondary education establishments, the introduction for teachers of a 40-hour working week.
ParlaMint-UA_2019-10-29-m1.u40	Dear colleagues, let's stick to it. Ten seconds and that's it.
ParlaMint-UA_2019-10-29-m1.u41	Thank you. Thank you for the opportunity to express your position as an educator. And I want to say, let's join the budget formation and let our teachers not be ashamed of each of us. Thank you.
ParlaMint-UA_2019-10-29-m1.u42	Another statement is from two factions with a replacement for the performance. Mikhailo Leontijovich Bondar.
ParlaMint-UA_2019-10-29-m1.u43	Thank you. Dear colleagues, I want to turn to the political power of "European Solidarity" and as a member of the fighting, as a boy who lost his brothers in the Lugansk Stanica during the battle, where the troops are now divorcing, I want to correct this tendency that locals are asking to withdraw troops. We get, I don't want to read, which village councils and who signed, but I'm going to read, that's exactly what I'm going to call President Vladimir Zelensky of Ukraine. "We, MPs, are at a session of the rural council, which took place on 18 October 19th, having considered the appeal of the inhabitants of our village council, expressly against the withdrawal of forces and resources from the Ukrainian Armed Forces and other law-abiding bodies of the Ukraine military law enforcement authorities, special appointment by the Ministry of Internal Affairs of Ukraine, the National Police of Ukraine, the Ukrainian intelligence authorities from the borders of temporarily occupied territories in the Donetsk and Lugansk areas. At present, the Ukrainian Armed Forces are protecting our people, making it possible for authorities, educational and medical institutions, shops, post offices, shops, shops, and so forth. We ask you, Mr. President, not to ignore our appeal and to make an appropriate decision that will protect the interests of all your constituents, of all Ukrainian citizens." I ask you to listen just before and realize that there are no conditions under which troops can be divorced. And these criminal orders that are now given to our boys to leave these positions that we've been fighting since we were 14 years old, with the losses we've won, now they're taking them out into a clean field -- that's a shame, you can't let that happen.
ParlaMint-UA_2019-10-29-m1.u44	Thank you. Let's move on to the next question of order of the day. Dear colleagues, you are invited to consider the draft Act amending certain laws of Ukraine in connection with the ratification of the Agreement between the Government of Ukraine and the United States Government to improve the implementation of the tax rules and to apply the provisions of the U.S. Law on Tax Requirements for Foreign Accounts (Registration No. 2102). It is suggested that this bill be considered in a simplified manner. Please prepare for the vote. Please support and vote. [[16:43:28]] For 230 Decision taken. Thank you. Dear colleagues, a word for the report is given to Hodakovsky Paul Viktorovich, Deputy Minister of Finance.
ParlaMint-UA_2019-10-29-m1.u45	Dear Dmitre Alexanderovich, distinguished national MPs! Thank you for voting in favour of the draft Law on the Ratification of the Agreement. The need for amendments to a number of legislative acts is duly ratified, including the draft Act amending certain laws of Ukraine in connection with the ratification of the Agreement between the Government of Ukraine and the United States Government to improve the implementation of the tax rules and the application of the provisions of the U.S. Law on Tax Requirements for Foreign Accounts (FATCA). In particular, the draft law provides for amendments to the Banking and Banking Act of Ukraine to the disclosure of banking secrecy, information on legal and natural persons containing banking secrecy will be made available by banks in cases and in the scope defined by the FATCA Agreement and other valid international agreements containing provisions on the exchange of information for tax purposes. It is also proposed to amend the Ukrainian Depository System Act in part of access to information contained in the Depository Accounting System. The information contained in the Depository Accounting System will be provided in cases and in terms of the scope defined by the FATCA Agreement and other valid international treaties. The proposed amendments to Ukraine's legislation will allow further accession to the multilateral agreement of the competent authorities on automatic exchange of information on the financial accounts of the MCAA SRS. The subjects of the contract are the Ministry of Finance, the National Bank, the State Tax Office. Accordingly, we ask for the support of this bill. Thank you.
ParlaMint-UA_2019-10-29-m1.u46	Thank you. The first deputy head of the Committee on Finance, Tax, and Customs Policy, Železniak Jaroslav Ivanovich, is given the floor for the report.
ParlaMint-UA_2019-10-29-m1.u47	Dear colleagues, thank you, first of all, for supporting the ratification that was just now. These bills that we're going to introduce to you are bills that implement these very norms. Again, they do not apply to Ukrainian citizens. Unfortunately or fortunately, these are the standards that the United States has set for itself to see their citizens pay their taxes. Perhaps each of you, when filling out some data in the bank, has already filled in the graph as to whether you are a United States tax agent. It's like our banks, without waiting for any changes to the legislation, that's what they're doing. So in fact, what's now going to be proposed is to consolidate that legal status and enable the transfer of information to our tax office in the United States, again, about the citizens of the United States. And in the future, if there are other information-sharing agreements, then Ukraine will join them and be able to exchange information. After considering this bill, 2102, our committee, the Committee on Finance, Tax and Customs Policy, decided to recommend it to be adopted in the first reading and as a whole as a law of Ukraine. Please support this decision. Thank you.
ParlaMint-UA_2019-10-29-m1.u48	Thank you. Please register: two in, two in the opposite, from factions. Juršin Jaroslav Romanović.
ParlaMint-UA_2019-10-29-m1.u49	Can I get out of here? Thank you very much. In fact, it's good to set and practice better mechanisms for actually development and such a question as avoidance from actually tax avoidance, that the United States gives us a very good example in that direction. Of course, I would like such standards to be applied to Ukrainian citizens, because in fact, now, for example, in a different direction, in the direction that you're going from abroad, it's very often very difficult to meet all the financial requirements. So let's take this as a first step and welcome this first step. But we need the same mirroring procedures so that our citizens don't have to prove after six months or more that they didn't avoid paying taxes, and all taxes abroad at the time of their work were paid adequately. We support the proposal and we vote. Thank you.
ParlaMint-UA_2019-10-29-m1.u50	Nikolainko Andri Ivanovich.
ParlaMint-UA_2019-10-29-m1.u51	Belkova.
ParlaMint-UA_2019-10-29-m1.u52	Belkova Olga Valentinovna.
ParlaMint-UA_2019-10-29-m1.u53	Thank you. Thank you, Mr. Head. Belkova, Fatherland. Well, of course, colleagues, we'll also support this bill, and the next one. The only thing I'd like to do is disagree a little bit with some colleagues who said that this bill doesn't directly affect Ukrainian citizens. That's why I don't agree. The fact is that the American law really directly requires the disclosure of information about American citizens. At the same time, America is a very specific strategic partner for us and for all the countries that sign these agreements and ratify the respective agreements, and they offer an incentive for countries, including citizens from those countries. Yes, as a result of the adoption of these laws, I very much hope that Minfin will be used to work with colleagues from the United States, which will allow Ukrainian citizens to avoid double taxation. And that's why Fatherland, who cares about the interests of its taxpayers, will be unreservedly supported. At the same time, if we look at some comments from the Chief Executive, and I respect their work on such important issues as banking secrecy, depository matters, we would still like to see the adoption of this law in the first reading and the next one in the same way. With this motivation, we will be supportive. Thank you.
ParlaMint-UA_2019-10-29-m1.u54	Thank you, Olga Valentine's Day. Nina Petrovn Yuzanin.
ParlaMint-UA_2019-10-29-m1.u55	Dear colleagues, I'd like to explain a little bit more to you what we're taking in right now. Because in fact, Bill 2102 is amending two laws, the Ukrainian Banking and Banking Act, and the Ukrainian Depository System Act. And it is complemented by just one paragraph on how banking secrecy about legal and natural persons is revealed. And here's the first part of this paragraph right over here, that's the requirements of the United States ratified agreement right there, and the second part directly tells us what we need to make. we should also make other international agreements that contain provisions on the exchange of information for tax purposes, which are binding on or concluded by the Supreme Council of Ukraine on the basis of interdisciplinary agreements. The disclosure procedure is established by the National Bank. This means that, in addition to the disclosure of bank secrecy by accounts of non-residents, there are grounds for the transfer of such information to the competent authorities of other countries, with the appropriate mutual receipt by Ukraine of information on the bank accounts of Ukrainian citizens opened in other countries. It's all good. We're really starting to automatically exchange information. We're the only ones with a spoon. Is our State Tax Service ready to accept such information, and will it be ready for such information? You see, this is about all legal and physical persons. Last summer we were in Georgia. They have been preparing for the format of the adoption of this information in conjunction with the European Union for more than 7 months. This is their technical equipment, their desire, and their lack of corruption.
ParlaMint-UA_2019-10-29-m1.u56	Ten seconds, let me finish.
ParlaMint-UA_2019-10-29-m1.u57	That's why I'm here. Indeed, there is an entirely new period in the activities of our legal and physical persons. So I want the Ministry of Finance to take immediate action.
ParlaMint-UA_2019-10-29-m1.u58	Thank you. Ladies and gentlemen, we have our last speech. Then we go to the vote. Request to invite national MPs. The word is given to Papiev Mikhail Mikolaiovich. Out of place, right?
ParlaMint-UA_2019-10-29-m1.u59	Thank you. Honorable National Deputies of Ukraine, Your Honor! You see, once again, the Supreme Council of Ukraine, instead of working to raise the social security of Ukrainian citizens, has now come into the position of "whatever you choose." And let's start by saying that as early as 1994, there were contracts signed between the Ukrainian Government and the United States Government in accordance with the FATF requirements. And today, I am grateful to Nina Petrovna, who explained in a very clear language that these laws apply more than just to the residents of the United States. If you want to make sure of that, I would like to ask the Ukrainian National Deputies to read the findings of the scientific and expert administration of the Supreme Council of Ukraine. Today, if we thoughtlessly vote on this bill and generally vote on it, it will refer not only to the disclosure of the banking secret of the United States residents, but also to non-residents and legal and natural persons, and it may have very serious consequences, it is necessary to prepare for such things. And we need Ukraine to understand, at the end of the day, that in addition to what you choose, we need to think first of how to organize the lives of Ukrainian citizens, how to protect them, how to become patriots of Ukraine, not patriots of some United States resident, even with respect to them. Given that there are several residents of the United States of America in the government and in this Supreme Council, I think we're even going to vote on these bills. Thank you.
ParlaMint-UA_2019-10-29-m1.u60	Hetmans with motives are a minute.
ParlaMint-UA_2019-10-29-m1.u61	Thank you. On the subject of a spoon that has been pointed out by our distinguished colleagues. Indeed, this law allows for the automatic exchange of information with more than a hundred countries in the world who are already having such an automatic exchange about the assets of our citizens that they are hiding abroad. And the honourable opposition must know that in order for us to start this process, we must first adopt this law, and then within a year, or as long as it takes, we must introduce it. It's a normal thing when we know about money, about assets that our citizens are hiding abroad, and we're also reporting on the funds that foreign citizens are hiding here. It's an automatic exchange of information that works in most countries of the world. Thank you.
ParlaMint-UA_2019-10-29-m1.u62	Thank you. Dear colleagues, let's go to the vote, ask to take our seats. I would like to propose a proposal to adopt, on the basis of the draft Act amending certain laws of Ukraine in connection with the ratification of the Agreement between the Government of Ukraine and the Government of the United States to improve the implementation of the tax rules and to apply the provisions of the U.S. Law on Tax Requirements for Foreign Accounts. Please prepare for the vote. Based, based on. Ready to vote? Please support and vote. [[16:57:08]] For the 320. Decision taken. Show me the factions, please. 221 – Servant of the People, Opposition Platform – Life – 14, European Solidarity – 22, Fatherhood – 14, Future – 14, Voice – 18, non-fractional – 17. Dear colleagues, the committee recommended that the whole be accepted. Against? In general, are we ready to vote? No, it's not. Okay. Here's a suggestion: let's cut in half the preparation period for the second reading. In accordance with part two of article 116 of the Supreme Council of Ukraine’s Rules, I am voting on the proposal to cut back on half the deadlines for preparing proposals and rights and preparing for the second reading of the bill (register No. 2102). Please support and vote. [[16:58:18]] For 268. Decision taken. Dear colleagues, next question. You have been proposed a bill amending the Ukrainian Tax Code in connection with the ratification of the Agreement between the Government of Ukraine and the United States Government to improve the implementation of the tax rules and to apply the provisions of the U.S. Law on Tax Requirements for Foreign Accounts (Registration No. 2103). Let's talk about the question, and I'll give it out of the procedure. Dear colleagues, it is suggested that this issue be considered in a simplified manner. Please support and vote. [[16:59:15]] For the 250. Decision taken. The procedure is Šufrich Nestor Ivanovich.
ParlaMint-UA_2019-10-29-m1.u63	Thank you, Your Honor Chairman. Dear colleagues, considering that this issue is the subject of the previous two issues, I propose that we vote without discussing it in the first reading and on the basis of it. Thank you for your attention.
ParlaMint-UA_2019-10-29-m1.u64	Dear colleagues, there is a fine offer to vote without discussion. So please prepare for the vote. I'll bet you a vote. Dear colleagues, wait, there was an offer without discussion. Let's vote, 226 votes if there's no discussion in the room. [[Noise Nodes]] Look, Arthur Volodymyrovich, we're delaying the process. [[B in m in s a l in]] And all the other factions offer without discussion. Perhaps you will listen to your fellow Members of Parliament? Let's do it for the lady's sake. [[Noise Nodes]] Okay. All right, Arthur Volodymyrovich, we'll continue tomorrow. I give the floor to Deputy Finance Minister Hodakovsky Paul Viktorovich.
