ParlaMint-UA_2020-11-05-m0.u1	Please approach the rostrum for a moment.
ParlaMint-UA_2020-11-05-m0.u12	Dear colleagues! Dear colleagues, once again, I am now giving an order to the Committee on Budgets to meet immediately. [[B in m in s a l in]] Look, I'm about to (with all the representatives of the MP factions and groups) and I'm giving the commission to meet up today, and I'm going to meet the budget committee right now. We're sending Bill 4100 for re-reading. They're working on it now. At 12:00 we are holding an extraordinary meeting of the Supreme Council, where we are considering Bill 4100 and we are going back to the budget. I understand there's no objection. [[B in m in s a l in]] We'll put it to a vote now, I know. I'm just talking about our plan of action, and I'm grateful for everyone's understanding. I'm talking to those national deputies who didn't drink coffee until 11:00. I'm asking you very, very much to understand the responsibility that lies with you and to be in the session room, not then to come and talk about that 10 people are late, 15 are late. I see 346 in the hall. Thank you all very much. I would like to vote on the proposal to refer a bill to the Committee to prepare for the re-reading of the draft amending the Code of Budgets of Ukraine (Registration No. 4100). Please support and vote. Ready to vote? [[B in m in s a l in]] Wait. Ready to vote? Please support and vote. [[11:09:49]] For 262 Decision taken. Thank you. Once again, I'm calling on the Committee on Budgets to deal with this issue expeditiously so that we can look at it in the conference room at 12 o'clock. Thank you. Stay put, we'll keep working. Thank you. Dear colleagues, you have been invited to consider the draft Decree on certain features of the holding of parliamentary hearings during the quarantine period in Ukraine (registration number 4302). Is there a need for discussion? You don't? Can we vote? I am voting on the proposal for adoption in the whole of the draft Decree on certain features of holding parliamentary hearings during the quarantine period in Ukraine (registration No. 4302). Please support and vote. [[11:11:06]] For 318 Decision taken. Thank you. The next issue of the agenda is the bill. This is a short cut. I will immediately put to the vote a proposal to shorten the deadlines for the submission of proposals and allowances and prepare for the second reading of the draft Act amending Chapter XX of the Tax Code of Ukraine (as regards the features of the administration of taxes for the financing of expenditure as defined in Article 14, paragraphs 31-34 of the Ukrainian Law on the State Budget for 2020). This is a reduction in the preparation time for the second reading. Ready to vote? Please support and vote. [[11:12:06]] For 275 Decision taken. Dear colleagues, I remind you, a moment of attention, I remind you that on Monday all the MP factions and groups have reached the only position on this matter. Almost all MP factions and groups have reached the only position. This is the bill (registration number 4304) on the re-establishment of certain provisions of the Ukrainian Anti-Corruption Act and the Ukrainian Criminal Code and the draft Act on the re-establishment of certain provisions of the Ukrainian Anti-Corruption Act. Everyone signed 126 people's deputies, if I'm not mistaken. No, 126 signed 126. But for reasons that are not clear to me yesterday after this document was considered and the position was reached that this document would be considered in the Hall today, after the profile committee considered it and invited the Supreme Council to accept it as a basis and in general, one of our colleagues, Alexander Anatoliyovich Dubinsky, introduced an alternative bill 4304-1. I will not comment on this action, but you know that the Supreme Council does not violate the laws. We cannot consider this law today because there is no committee conclusion. No, I think we're going to shorten the deadline now and consider this bill next plenary week with another package of bills that are also important for the Supreme Council to address this crisis. [[B in m in s a l in]] No, there will be no discussion here, Peter Alexiovich, and others, I'm sorry. For reasons, after we vote. I am voting on the proposal to shorten half the deadlines for the first reading of the draft Law on Restoration of Certain Provisions of the Ukrainian Law on Prevention of Corruption and the Criminal Code of Ukraine (registration No. 4304, 4304-1). Ready to vote? Please support and vote. [[11:14:57]] For 292 Decision taken. Thank you. I'm out of procedure. Not out of motive, out of procedure, Peter Alexiyovich.
ParlaMint-UA_2020-11-05-m0.u13	Ladies and gentlemen of the people, Mr. Head! I got it yesterday. There was a meeting yesterday with the ambassadors of the Great Seven. We have reached an extremely important position that we urgently need to reinstate anti-corruption laws. I had an alternative proposal for us to shorten the deadline for this bill to one day, ad hoc, and today we've discussed the renewal of anti-corruption laws. You denied me the right to an alternative offer. And why Mr. Dubinsky as a human being is trying to block the consideration of anti-corruption laws, is now known throughout the country and around the world. Don't go there. I'm asking you very much and I'm addressing the entire room.
ParlaMint-UA_2020-11-05-m0.u14	The decision was made. It'll be just as the hall decided. Julia Volodymyrna is a procedure. Nestor Ivanovich. I'm sorry, Schuffritch, I'm sorry. "The Voice," who? Jaroslav Jurchisin is a procedure. Radina's procedure. Keep moving, we'll keep working. It's Shufrich now. Julia Volodymyrna Timoshenko. After that, Shufrich.
ParlaMint-UA_2020-11-05-m0.u15	Dear colleagues, I think we've all forgotten the hysteria that started all over the country about the fact that no day without electronic declaration, no day without hard anti-corruption. I can't understand how we can essentially postpone the adoption of this question for a week now? You know very well that there is a consensus between all factions without exception -- to adopt this law now and to renew the electronic declaration today, to renew the strict responsibility for illegal wealth today and today, to do everything to stop the country from practically cracking down on all international media so that we can be the basis for today's discussion of corruption in the world. We propose to vote immediately in ad hoc modes.
ParlaMint-UA_2020-11-05-m0.u16	Julius Volodymyrically, Parliament has always remained that stable structure, and it will now remain that way. I'm sorry to comment. I'm not sure all factions are in the same position. I'm not sure about that. [[B in m in s a l in]] I answered. No, it's not. No, it's not. The next issue of the agenda is the project. [[B in m in s a l in]] Let's go to. Nestor Ivanovich, it will be. Are we still talking about political positions or are we starting to work? I'll go on. [[B in m in s a l in]] Does everyone want to come out? Suffritch Nestor Ivanovich.
ParlaMint-UA_2020-11-05-m0.u17	Thank you, Dmitri Alexanderovich. Dear colleagues, regarding the individual "slayers" who meet with ambassadors. In 2014, we had to watch what you voted for and not make a problem for the Constitutional Court. He was placed on a stretch — on the one hand, unconstitutional standards were extended, although everyone at the time said that they did not conform to the Constitution. So you don't have to fight corruption right now, hoping it won't pass, because you're going to have to fight it yourself. So don't hold back and answer for what you did six years ago. And now Ukraine is paying and suffering. Thank you for your attention.
ParlaMint-UA_2020-11-05-m0.u18	Juršin Jaroslav Romanović.
ParlaMint-UA_2020-11-05-m0.u19	In fact, all the political forces, when the President's initiative came in question from the standpoint of law, called on the Supreme Council to act within the framework of legislation. The Supreme Council's rules are a law to be enforced. So in fact, yes, the individual representatives of most of this decision were dragged away. But it is very important for us to act within the framework of the law so that we do not undermine that decision. And now the only way to accelerate is to go to an alternative initiator, call him off and vote on him, who's consensual. There's no other way. So, my friends, it's the right thing to do now. We welcome the speaker's call to the Voice to move on the Rules. Thank you.
ParlaMint-UA_2020-11-05-m0.u20	Radina Anastasia Olegovna One of the factions. Put your hands up again, colleagues.
ParlaMint-UA_2020-11-05-m0.u21	My colleagues, I would like to thank the Head of the Supreme Council of Ukraine for the important decision. We must now speak the truth to the electorate and to society. We need to make two decisions. First decision to return anti-corruption legislation. And the second decision on the Constitutional Court. The adoption of only one decision, colleagues, is a lie. It will be abolished by the Constitutional Court immediately. We'll act honestly. Thank you.
ParlaMint-UA_2020-11-05-m0.u22	Dear colleagues, it is important for us that this law then is not said to have been accepted with a breach of procedure and would not have been appealed again in the Constitutional Court or in any other court. Parliament's position today was demonstrated when we voted in favour of shorter terms. I'm sure if we vote in favour of this law and on the basis, and in general, we will see an even better result. Thank you. So let's get to the point. The next question is 2458, draft law. [[B in m in s a l in]] I'm sorry. I'm through. I'm sorry. I'll be right back. You are invited to consider the draft Law on the Principles of State Anti-Corruption Policy for 2020-2024 (registration number 4135). It is suggested that this issue be considered in a simplified manner. Please support and vote. [[11:22:42]] For 234 Decision taken. Thank you. The head of the National Agency for Prevention of Corruption, Novikov Aleksandar Fedorovich, is invited to attend.
ParlaMint-UA_2020-11-05-m0.u23	Ladies and gentlemen, we have all witnessed that today the anti-corruption system of the state is in total danger. Its preservation and development today depend on our reputation in the international arena and, more importantly, on the trust of citizens. At that time, the anti-corruption strategy must show that countries have a clear plan to fight corruption, and there is a clear understanding of how to build a system that is not compatible with the practices of corrupters. There are at least three reasons why the adoption of an anti-corruption strategy is absolutely necessary for Ukraine. First of all, it's a healthy budget. We estimate that the strategy will save up to 200 billion dollars a year. Only through customs measures will the economy reach at least 50 billion dollars a year. You know very well how much these funds are now important for the welfare of citizens by voting on the 2021 State Budget. Secondly, the strategy takes into account the interests of all stakeholders in combating corruption. We have conducted numerous consultations with citizens, and anti-corruption strategies have undergone a process of agreement between 37 authorities, including 12 ministries. We discussed and reconciled the document with all interested parties from late June to mid - September. That is why an anticorruption strategy will help to bring together all authorities and ensure their teamwork in the fight against corruption. Thirdly, the area of coping with corruption, which focuses on a strategy defined after exploring citizens and businesses. In general, it's eight key areas. These include health care, the defence sector, and the fight against illegal construction. After we developed an anti-corruption strategy in NAZC, it was approved by the government and supported by the National Council on Anti-Corruption Policy. Today's anti-corruption strategy is a chance not to lose hope in Ukraine without corruption.
ParlaMint-UA_2020-11-05-m0.u24	Thank you. The chairman of the Committee on Anticorruption Policy, Radina Anastasia Olegovna, is invited to attend.
ParlaMint-UA_2020-11-05-m0.u25	Good afternoon, dear colleagues. The Committee on Anti-Corruption Policy has considered bill 4135 and recommends that the Supreme Council approve the bill on a basis. Why is it important, colleagues? We often complain with you that we have no agreed strategic documents, we often complain that we have no agreement in the various branches of government to achieve strategic goals. So anti-corruption strategy is now our ability to figure out where we're going, what we're doing, how all branches of government work together to achieve the overall result. This strategy answers the question of how we deal with corruption in key areas. More importantly, colleagues, at last this strategy answers not only how to plant but how to prevent corruption. That's exactly what we're talking about in this strategy: e-services for citizens and businesses, anti-corruption component in education, conflict of interest reform, judicial reform, a transparent system for assessing the quality of the work of prosecutors, a risk-oriented state-of-the-art business surveillance, which actually means not to touch the "white" business. Next, colleagues, customs automation, tax automation, the only electronic urban cadastre. All of these are tasks that we can carry out in a coherent way if we find out what and when all branches of authority are to do: Parliament, executive power. I very much ask, colleagues, to support and now give society, and the world a clear signal that Ukraine remains in the fight against corruption and speaks clearly about how and when it will be done. Thank you very much, colleagues.
ParlaMint-UA_2020-11-05-m0.u26	Thank you. Sign up: two in, two in, two in, two in.
ParlaMint-UA_2020-11-05-m0.u27	Please, National Deputy Heratchenko Irina Volodymyrna, faction of the political party "European Solidarity".
ParlaMint-UA_2020-11-05-m0.u28	Please pass the word to Victoria Sumar.
ParlaMint-UA_2020-11-05-m0.u29	Victoria Sumar, please.
ParlaMint-UA_2020-11-05-m0.u30	Dear colleagues, the NAZK Law was approved in October 2014. So Parliament gained its powers, and in fact, right after five years of the beginning of the work of the previous Parliament, we created this whole anti-corruption architecture. NAZK was a very important link in it. Then there was the NAB, then there was the SAP, then there was the Anti-Corruption Court. And these were actually independent structures that were based on new approaches to fighting corruption in Ukraine, totally agreed with our international partners, which provided a unique level of transparency for Ukraine. Because before that, no one had seen the wealth of officials publicly and transparently, which had to be declared constantly in the process of even buying something. We've been declaring ourselves for over five years. We've all been through full declarant checks. And in the last year under ban and under the sauce of wanting to step up the fight against corruption, we see just the murder of this anti-corruption architecture. We're looking at how they're destroying the NAB and its independence, how they're trying to take SAP under control. We see how the Constitutional Court is making a decision today. We're sure they agreed with the President's Office. And it's not just the opposition talking about it. And today it is very important to get out of this crisis, which was actually brought together by the authorities together with the Constitutional Court. And this crisis is being discussed by everyone today, and the Ukrainian people clearly support the restoration of the declaration today. We now demand that we have signed letters, and we are able to hold an emergency session immediately, and to adopt a law that is signed by all faction leaders and which is a healthy compromise. Thank you to the Head of the Supreme Council for this compromise. We demand that this be approved immediately today and that such a session be held. And of course, we're going to vote on the strategy, because it's really important to us today.
ParlaMint-UA_2020-11-05-m0.u31	The word is given to the national deputy of Venislav Fedor Volodymyrovich, faction of "Serve of the People".
ParlaMint-UA_2020-11-05-m0.u32	Honorable Presidium, distinguished national MPs! Indeed, Ukraine is in a rather interesting situation today, caused by a sad decision of the Constitutional Court of Ukraine to abolish anticorruption legislation. Today's strategy, which is proposed for adoption as a basis, is exactly going to be a clear signal because Ukraine has a clear understanding of the irreversibility of the road to fight corruption. The strategy may raise some questions, but today we take it as a basis. If any of the Ukrainian national MPs have any suggestions, I think we'll be able to correct them peacefully between the first and the second readings. But today we are obliged to adopt it as a basis for showing a clear signal of the irreversibility of Ukraine’s course in the fight against corruption. The strategy provides for comprehensive and comprehensive measures to prevent such a negative phenomenon that is not taken by virtually all citizens of Ukraine. And so I ask you to support this strategy. The "Serial of the People" faction, I think, will vote in favour. Thank you.
ParlaMint-UA_2020-11-05-m0.u33	Mother Grigory Mikolaiovich.
ParlaMint-UA_2020-11-05-m0.u34	Dear National Deputies! The "Response Platform for Life" faction for fighting: (a) corruption as a phenomenon (we simply do not hear these proposals from power) and (b) for fighting corruption. But in the framework of the current, active legislation that operates in Ukraine, well, not in the territory of consultation with international partners. The bill, or anti-corruption strategy, will be supported in the first reading, because it is a treaty, a plan of intent in the form of a law, based on a law that requires the NAM to enforce it in the form of individual laws, regulations aimed at combating corruption. We'll be supportive. There's a note to this program, and essentially by working between the first and the second readings, it can acquire more or less a form that is actually going to be aimed at combating corruption. We'll support, vote in favour in the first reading.
ParlaMint-UA_2020-11-05-m0.u35	Please, National Deputy Lozinski Roman Mikhailovich, faction of the political party. Jurchisin, please.
ParlaMint-UA_2020-11-05-m0.u36	Dear colleagues, it's really very important to shift the state's work into a strategic framework when, before we throw in, excuse me, we understand clearly what the purpose of the decision is. What is an anticorruption strategy? This is a core document that allows us to predict in advance where there are problems that are proposed by the decision mechanisms, but most importantly, for which the Cabinet of Ministers is responsible, for which the Supreme Council is responsible, for which the law enforcement authorities are responsible. In fact, today we are drawing up an anti-corruption plan for the country. The only time I took that plan was in the 14th year, and that's why you and I got anti-corruption infrastructure, which allowed us, in particular, to win the car. We now have an important responsibility — whether we can work strategically or not. In fact, we have a very good example when all the executive authorities, the judiciary, the law enforcement agencies, the public organizations and the international partners were also very positive about the development of this anti-corruption strategy. So I very much hope that at such a difficult time when society is at issue at all and whether the Supreme Council is fighting corruption, we will unite and adopt an anticorruption strategy as soon as possible. Well, everyone who doesn't vote can see that they have corrupt risks and they're not ready to take responsibility for them. Thank you.
ParlaMint-UA_2020-11-05-m0.u37	"Paternal" and "For the Future." Anton Eduardoovich Polakov.
ParlaMint-UA_2020-11-05-m0.u38	Anton Polyakov, Montenegro, MP for the Future. Dear Mr. Novikov, really, thank you, you're working with the parliamentarians. But I've read your strategy and, frankly, in the face of every problem that we have written: introduced, secured, simplified, cancelled, implemented, developed, developed, completed, implemented, implemented, minimized, impossible, reduced, limited, adjusted, conducted, given, developed, accepted, projected, improved, revised, deleted, solved, created, set, defined, published, compounded. It's not a strategy, it's a report. Are you telling me you're having trouble putting up those corrupts who are sitting in this room right now? What's bothering you? Billions are allocated to anticorruption bodies. We will vote for this strategy if it really helps you, because how many of these organs have been created. What other organs do you need to create to really start working? Thank you for your attention.
ParlaMint-UA_2020-11-05-m0.u39	Please, Devajchenko Valentina, Fatherland.
ParlaMint-UA_2020-11-05-m0.u40	Honourable national MPs, citizens of Ukraine, while top-corruption, more simply, rats, top-corruptioners are biting the ship of Ukraine, in this Parliament is playing an unfair game. Who is the person, the outsiders who are blocking the proceedings now, and the main approval of the Law on the Full and Full Return of Electronic Declaration? One. The other one. A certain discharge from any person's office who's entered into a register of corrupts, but here and now. Return the honest rules to this House! Let's not just vote for strategy and not just for strategy, but for concrete steps, concrete punishments of specific top-corruptioners! There is no virtue without cleansing, and there is no justice in the absence of it. without the responsibility and irreparability of punishment. That's our goal. That's the position of the Fatherland faction. I address everyone, let's go back and vote for the bill.
ParlaMint-UA_2020-11-05-m0.u41	Thank you. "Trust," Aresonkov Vladimir Yuriovich. Then we go to the vote. Please invite the people's deputies to the hall.
ParlaMint-UA_2020-11-05-m0.u42	Dear colleagues! Dear Mr. Head! Of course, the position of the "Trust Group" is an extremely important bill. Yes, there is some discussion. First of all, because we, the Supreme Council, as the supreme legislative body, have created in previous years, in fact, everything necessary for the system to function so that those organs that were created to combat such a shameful phenomenon as corruption at all levels have all the necessary weights to do so. But of course, coordination of the activities of individual bodies, regulation of individual legislation is a time requirement. So we understand the authors with the very idea of creating such a general concept, and we think we need to vote and adopt it. The Trust MPs support this decision.
ParlaMint-UA_2020-11-05-m0.u43	Thank you. Let's go. [[B in m in s a l in]] "The Voice" was speaking. I'll bet you a vote. Please prepare for the vote. I am voting on the proposal for adoption on the basis of the draft Law on the Principles of State Anti-Corruption Policy for 2020-2024 (registration number 4135). Please come in, people's deputies, to the hall. Is everyone ready to vote? Everybody ready? Right? Please support and vote. [[11:40:29]] For the 320. Thank you. No, I'll bet you a cut. I am voting on the proposal, in the second part of article 116, on the reduction of half the time limits for the submission of rights and proposals and the preparation for the second reading of the bill, registration number 4135. Ready to vote? Please support and vote. [[11:41:11]] For 229 Decision taken. Thank you. Dear colleagues. Gerus is a procedure. Gerus Andrey Mihajlovich, please.
ParlaMint-UA_2020-11-05-m0.u44	Dear Chairman, request to withdraw 2458, transfer it to later.
ParlaMint-UA_2020-11-05-m0.u45	Taking off today’s consideration is meant. Is there no objection? No, thank you. Let's move on to the next question of order of the day. Ruslan Alexiyovich.
ParlaMint-UA_2020-11-05-m0.u46	Dear colleagues, we are considering Bill No. 4131: draft Act amending certain laws of Ukraine to ensure the effective implementation of parliamentary control. Ladies and gentlemen, I would like to vote on this issue under a reduced procedure. Please support and vote. [[11:42:33]] For 244 Decision taken. The word is given to the Ukrainian national deputy Dmitry Aleksandrovitch.
ParlaMint-UA_2020-11-05-m0.u47	Good day to you again. Dear colleagues, Parliament has always been a point of stability, Parliament has always been and has remained the point of resolving key issues for this state, and Parliament will continue to do so in the future. Parliament is the only legislative body in our country, but you and I have also been entrusted with important functions related to the implementation of control, the control of various activities, primarily the executive power. And all of this is and is provided for by the Constitution and the Rules of the Supreme Council of Ukraine. However, very often we face the fact that by adopting laws that are sometimes very important for this state, they do not fully realize all the potential that we place as Ukraine’s national deputies. Therefore, Bill 4131 proposes that many issues be addressed in order to make parliamentary hearings more quality and effective, and that the work of the committees and their weight in taking and controlling decisions by both executive and those adopted by the Supreme Council of Ukraine have been more powerful and effective. And of course, what has been placed on us as the Supreme Council of Ukraine: to perform its functions according to the Constitution and the laws of Ukraine. I think that this bill is important in order to prove to others that we have parliamentary control behind us. And we'll do it qualityly. I thank everyone for their support.
ParlaMint-UA_2020-11-05-m0.u48	The word is given to the Head of the Committee on Rules, Deputy Ethics and Organization of Work of the Supreme Council of Ukraine, Sergio Vitaliyovich Calchenka.
ParlaMint-UA_2020-11-05-m0.u49	Honorable Presidium, distinguished national MPs! The regulatory committee at its meeting reviewed the draft Law (registration 4131), introduced by the Ukrainian National Deputies. The bill, as stated in the explanatory note, is designed to build an effective parliamentary control system in Ukraine and to ensure better implementation of the laws and other acts of the Supreme Council. The drafters propose amendments to the relevant laws to provide time limits for submission to the Parliament of reports, reports by the Attorney-General, the Head of the Security Service of Ukraine and the Antimonopoly Committee of Ukraine, the Fund of State Property of Ukraine, the Head of the National Bank of Ukraine and the Authorized Supreme Council of Human Rights, the Court of Auditors, as well as reports, reports, information from other State bodies whose submission is provided by special laws, the amendment of the Committee Act, the addition of new articles of the Rules and the presentation of relevant provisions of the Rules in the new edition. The committee will support the proposed changes to parliamentary control. At the same time, he drew attention to some of the shortcomings of the bill, which he concluded. In addition, a member of the John’s Court of Auditors, present at our committee meeting on behalf of the Court of Auditors, noted that taking into account the changes to the Rules of the Supreme Council set out in the bill, it would be necessary to make appropriate changes to the individual articles of the Law on the Court of Auditors, namely, the parts of the fourth article 20, part two of article 23, article 28, part one of article 30. Then, in accordance with part one of article 116 of the Rules of the Supreme Council of Ukraine, according to which the Main Committee, as an exception, may decide to take into account proposals made and amendments that were not the subject of the first review if the need for such proposals is noted in the conclusion of this Main Committee and announced by the chairman of the plenary meeting, he supported the proposal to make the appropriate proposals. on the need to amend the provisions of the Act on the Court of Auditors.
ParlaMint-UA_2020-11-05-m0.u50	Thank you. Thank you, Sergey Vitaliovich. Honorable Colleagues — Is It Needed? Can we vote? Is it necessary or can we vote? Vote. Please invite the national deputies to the hall. I am voting on the proposal for adoption on the basis of the Committee's proposals for a bill amending certain laws of Ukraine to ensure the effective implementation of parliamentary control (registration No. 4131). Ready to vote? Everybody ready? Please support and vote. [[11:48:23]] For 323 Decision taken. Thank you, Your Honor. [[B in m in s a l in]] No, no, not at all. The committee said, on the basis of that, it was based. You know, we're under the rules. Thank you again. Let's move on to the next question of order of the day. No, wait, the budget we can't, we can't now. No, I understand, colleagues. [[B in m in s a l in]] 4130. Now, one minute. Dear colleagues, this is a draft law amending some of Ukraine’s laws regarding the provision of free food for children, one of whose parents died (disappeared) during the protection of Ukraine’s independence and sovereignty (registration number 4130). It is suggested that this issue be considered in a simplified manner. Please support and vote. [[11:49:39]] For 256 Decision taken. The chairman of the Committee on Social Policy and Veterans’ Rights, Trelyakov Galina Mikolayevna, is invited to attend.
