ParlaMint-UA_2020-02-20-m1.u1	Dear colleagues, please prepare for registration. Ruslan Alexiovich Stefanchuk
ParlaMint-UA_2020-02-20-m1.u53	Thank you, Nestor Ivanovich. And so, the order of 1098 national deputy Šufrich Nestor Ivanovich. The committee rejected the amendment. I'll bet you a vote. Please identify and vote. [[16:44:35]] For-54 The decision is not taken. Regulation 1100, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u54	The next amendment relates to resolving the same issue, and I will stress once again that the marginally permissible size of the land of agriculture in the area of the inhabited area owned by the same natural or legal person of private law can account for up to 10 percent of the total population of the land of the rural area. I'm clarifying my position, and I'm answering your question again. This could be possible, an increase of 10 percent, if the standard proposed by this law is set, is 10,000 hectares per person. That's why we're offering this fuse.
ParlaMint-UA_2020-02-20-m1.u55	Thank you, Nestor Ivanovich. It's just that in the same line you've proposed the previous three revisions. Maybe we shouldn't bet, they didn't pass. Let's put it on, right? Okay. I'm betting on a vote of 1,100 people's deputies, Šufrich Nestor Ivanovich. The committee's proposing a rejection. Please identify and vote. [[16:46:09]] For-55 The decision is not taken. Next line is 1101. Please, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u56	Mr. Ruslan, in order to avoid your concern about whether I insist on voting the amendments, I now place you under the transcript to the knowledge that I insist on any subsequent amendments that will be made to their vote.
ParlaMint-UA_2020-02-20-m1.u57	Thank you, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u58	And with regard to the amendment that was announced, I want to read it: to supplement article 130 of the Ukrainian Code of Land with the following provisions: "A land area of agriculture that is not privately owned cannot be alienated without a national referendum", which is the main requirement of our political power. And I would like to take the first paragraph of this amendment into account for a 10 percent limit in one area, in one residential area. Thank you.
ParlaMint-UA_2020-02-20-m1.u59	Thank you, Nestor Ivanovich. The vote is based on the vote by Nestor Ivanovich Šufrich. The committee's proposing a rejection. Please identify and vote. [[16:47:37]] For-65 The decision is not taken. Next line is 1103. Please, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u60	Why do we now insist on considering every amendment? Because unfortunately, when we consider this issue on the committee after signing a memorandum on the definition of the draft law procedure at the committee meeting, we have reached only 758 rights and, unfortunately, less than 10 percent of our 3,000 199 rights have been considered. That is why we are now insisting on such scrupulous consideration to prove once again the main requirement of our political power, which corresponds to the demand of two thirds of our country's citizens for the very possibility of selling Ukrainian land only after a national referendum.
ParlaMint-UA_2020-02-20-m1.u61	Thank you, Nestor Ivanovich. It is amended as follows: 1103 People's Deputy Shufric. The committee turned her down. I'll bet you a vote. Please identify and vote. [[16:49:11]] For-63 The decision is not taken. Next line is 1107, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u62	President-in-chief, this is also the question of additions to article 130 of the Ukrainian Code of Land, which we propose to complement with the following provisions: "To establish the results of the U.K. referendum", which is the main requirement of our political power, "in relation to the sale of agricultural land, it is prohibited to alienate agricultural land," with the words in footnotes: "(including transfer as a contribution to the statutory capital of a legal person, standstill, emphitevsis contracts, etc.) in addition to inheritance, transfer to the property of a state or local government."..
ParlaMint-UA_2020-02-20-m1.u63	Thank you, Nestor Ivanovich. There is a vote of 1107 people's deputies, Shufrich. The committee proposes to reject it. Please identify and vote. [[16:50:48]] For-60 The decision is not taken. Next. 1108, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u64	Thank you. We are moving slowly towards one of the most painful issues that farmers are concerned about today, and which will certainly need to be regulated after a national referendum. Any aspect that relates to various possibilities, transactions for the sale of the alienation of private land, and therefore public and municipal property, can be settled after the Ukrainian people have been held and given their consent. But when the Ukrainian people say no, it's irresponsible to enforce this law. And we will insist that this law be repealed.
ParlaMint-UA_2020-02-20-m1.u65	Thank you. This is the vote of the People’s Deputy Shufrich. The committee proposes to reject it. Please identify and vote. [[16:52:20]] For-60 The decision is not taken. Next line 1111, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u66	Dear Chairman, today 7.5 million of our citizens are landowners. Tell me, please, is it fair that other citizens do not have ownership of the land of agriculture? Moreover, they are forbidden this right when we have more than 10 million acres [10 million ha] of land in state and municipal property. So let's break them up first, and then we'll go back through a national referendum on the question of the possibility of selling them. First, provide all Ukrainian citizens with ownership rights to their country of origin. Please vote.
ParlaMint-UA_2020-02-20-m1.u67	Thank you, Nestor Ivanovich. This is a vote of 1111 by Nestor Ivanovich Šufrich. The committee's proposal is to reject. Please identify and vote. [[16:53:49]] For-60 The decision is not taken. Unfortunately, Nestor Ivanovich. Next 1115, please.
ParlaMint-UA_2020-02-20-m1.u68	The situation that is now being provoked can have far - reaching consequences. So we insist on supporting this amendment, which is essentially our main requirement: to hold a national referendum. I insist on supporting this amendment.
ParlaMint-UA_2020-02-20-m1.u69	Thank you, Nestor Ivanovich. This amendment, with a substantive requirement of 1115, shall be put to the vote. Please identify and vote. [[16:54:39]] Z-62 The decision is not taken. Next item. 1121, Nestor Ivanovich?
ParlaMint-UA_2020-02-20-m1.u70	I'm sorry, we missed 1119 and 1120.
ParlaMint-UA_2020-02-20-m1.u71	Excuse me, 1119, Nestor Ivanovich. It's substantial.
ParlaMint-UA_2020-02-20-m1.u72	We are getting close to understanding that, by turning exclusively to the people of Ukraine through a national referendum, we can get the right to adopt this and similar laws. I therefore insist on voting on this amendment.
ParlaMint-UA_2020-02-20-m1.u73	Thank you, Nestor Ivanovich. A vote of 1119 people’s deputies, Shufrich, is under way. Unfortunately, the committee rejected her. Please identify yourself and vote. [[16:55:56]] For-59 The decision is not taken. Next line 1120, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u74	Thank you, Your Honor Chairman. Many expenses will be caused by the adoption of this law for our landowners, who, during the formation, even the theoretical possibility of selling land, will lose a significant percentage of the conditional, meager salary to which this law will provoke them. Therefore, we ask the people of Ukraine whether they are willing to sell their property to the earth for nothing today. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u75	Thank you, Nestor Ivanovich. Edit your 1120 turn, you insist. The committee insists on rejecting it. Please identify yourself in this room. [[16:57:10]] For-56 The decision is not taken.
ParlaMint-UA_2020-02-20-m1.u76	Continuing the previous subject.
ParlaMint-UA_2020-02-20-m1.u77	We haven't announced yet, Nestor Ivanovich.
ParlaMint-UA_2020-02-20-m1.u78	1124.
ParlaMint-UA_2020-02-20-m1.u79	And once again, in support of the sequence of our position, I would like to point out that "The Opposition Platform for Life" stands for the principle of ensuring that the Ukrainian people are able to express themselves in a national referendum and, after that, to put in place the market for land, and in that case, if the people of Ukraine approve of this initiative. In the meantime, when rent payments go up, I think it's pointless to provoke people to the very possibility of dispossessing property. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u80	Nestor Ivanovich, vote 1124. Please identify and vote. [[16:59:02]] For-59 The decision is not taken. Cannot initialise Evolution's mail component. 1126.
ParlaMint-UA_2020-02-20-m1.u81	According to statistics, the average price in Ukraine for pie is now equal to 7,000 dollars, slightly less than $300. This means that the average value of Ukrainian land in today’s conditions should be not less than $4,000 per hectare. We understand that once the law is passed in these conditions, the sale of land will be provoked, which has been talked about repeatedly within a maximum of $1,000 - $1,000 - $200, and the average will be about 800. In order not to rob our landowners, we insist on holding an all - Ukrainian referendum to determine whether the time has come for the sale of the land. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u82	Thank you, Nestor Ivanovich. 1126 to the vote. Please identify and vote. [[17:00:31]] For-59 The decision is not taken. 1130.
ParlaMint-UA_2020-02-20-m1.u83	I'm sorry, Mr. Chairman, we haven't considered the pages yet.
ParlaMint-UA_2020-02-20-m1.u84	1128. I'm sorry.
ParlaMint-UA_2020-02-20-m1.u85	Thank you. This amendment reads as follows: To supplement article 130 of the Ukrainian Code of Land with the following provisions: "The land of the land of the land of the land of the state may be alienated only after a national referendum is held, which is the main requirement of our party." Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u86	I'm betting on a vote of 1128. Please identify and vote. [[17:01:37]] Z-62 The decision is not taken. 1129.
ParlaMint-UA_2020-02-20-m1.u87	Thank you. The popular social services -- the name Razumkov, the Commission, the Ratings -- now determine that 73 percent is the average of citizens of our country who are definitely opposed to the introduction of the land market. Does this indicator remind you of the support of the President of Ukraine during the second round? So I urge you to come around, stop, face back to the people you want to serve, hold a national referendum, listen to our main requirement, and only then pass this law. Thank you for your attention. Please vote.
ParlaMint-UA_2020-02-20-m1.u88	I'm betting on a vote of 1129. Please identify and vote. [[17:03:01]] For-68 The decision is not taken. Cannot initialise Evolution's mail component. 1133.
ParlaMint-UA_2020-02-20-m1.u89	The following amendment refers again to 130 articles of the Earth Code: The warning of the consolidation of Ukraine’s land parcels must meet the requirements set out in the corresponding 93 amendments. And all of this is possible only after a national referendum has been launched, because this principle has been laid down as a major requirement during the election campaign, and today, President Greensky and the "Serve of the People" party. So we insist on a referendum before making any other decisions.
ParlaMint-UA_2020-02-20-m1.u90	I'll bet you 1133. Please identify and vote. [[17:04:32]] For-60 The decision is not taken. 1134.
ParlaMint-UA_2020-02-20-m1.u91	This amendment refers to section X, paragraph 21, of the Ukrainian Code of Land. And in it we propose to complete the following wording: "It is not possible to carry out and establish the results of an all-U.S. referendum on the very possibility of buying and selling Ukrainian land any change on land ownership issues." Only after the referendum can we address these issues. Thank you for your attention. Please vote.
ParlaMint-UA_2020-02-20-m1.u92	1134. Please identify and vote. [[17:05:54]] For-60 The decision is not taken. Cannot initialise Evolution's mail component. 1137.
ParlaMint-UA_2020-02-20-m1.u93	I'm sorry, there was another 36.
ParlaMint-UA_2020-02-20-m1.u94	1136.
ParlaMint-UA_2020-02-20-m1.u95	Dear Chairman, we cannot today separate this issue from one of the main issues, including yours as then the leader of the political party "Serve of the People," the promise of settling the issue of the peoples of the country. We must now focus on the principles of ensuring this opportunity for the Ukrainian people. That is why we insist and do not deviate from this position on the requirement of law enforcement on the basis of a national referendum and only.
ParlaMint-UA_2020-02-20-m1.u96	I'll bet you 1136. Please identify and vote. [[17:07:29]] For-64 The decision is not taken. Cannot initialise Evolution's mail component. 1137.
ParlaMint-UA_2020-02-20-m1.u97	The next amendment comes from the same principle that Ukrainians have the right to make their own decisions to evaluate one or another initiative. That's why we insist, and this is our main requirement, by going against the sale of Ukrainian land, we insist on ensuring that the referendum can be held and only then consider the law. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u98	I'll bet you 1137. Please identify and vote. [[17:08:41]] For-60 The decision is not taken. Cannot initialise Evolution's mail component. 1139. 1138.
ParlaMint-UA_2020-02-20-m1.u99	Thank you. Dear Chairman, you were absent when Mr. Ruslan was chairman, and we agreed that all the amendments I insist on would be voted on. So once again, by insisting on the individual principles of the possible norms of this law and the possibility of resolving the issue of relations in the land market, we are talking about that it is possible only after a national referendum is held, which is the main requirement of our political power, which is now firmly opposed to any one.
ParlaMint-UA_2020-02-20-m1.u100	I'll put it to a vote, yes, 1138. I'd like to make up my mind. [[17:10:13]] For-59 The decision is not taken. 1140.
ParlaMint-UA_2020-02-20-m1.u101	Of course, only after a national referendum has been held do we have to look at the different aspects of the relationship between the land market and its introduction. But this may be only after a national referendum. That's what our faction called "The Opposition Platform for Life" is strongly opposed to selling land today. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u102	I'm betting on the 1140 vote. I'd like to make up my mind. [[17:11:22]] For-58 The decision is not taken. 1142.
ParlaMint-UA_2020-02-20-m1.u103	Dear colleagues, honourable chairman, the following amendment again concerns the powers of the Cabinet of Ministers of Ukraine and the issue of the transfer of ownership rights that can be considered and settled solely after the holding of the U.K. referendum, which is the main requirement of the political party "The Opposition Platform for Life" and its factions in the Supreme Council of Ukraine, which are firmly opposed to the sale of land today, taking into account the impoverishment of people and their categorical rejection of this initiative today. Thank you for your attention.
ParlaMint-UA_2020-02-20-m1.u104	I'm betting on a vote of 1142. Please identify and vote. [[17:12:44]] For-58 The decision is not taken. 1143.
