ParlaMint-UA_2020-03-03-m1.u1	Good evening, dear colleagues. Please prepare for registration.
ParlaMint-UA_2020-03-03-m1.u12	Thank you. It's the 2150 vote, People's Deputy. The committee's proposing a rejection. Please identify and vote. [[16:10:47]] For-79 The decision is not taken. Next issue is 2,151 National MP Belkovy. National MP, please.
ParlaMint-UA_2020-03-03-m1.u13	Mr. Head, Mr. Chairman of the Committee, well, I understand the issue that you're raising, which you've just described in part of what you need to find a healthy balance between the interests of renters, especially in the part that concerns gardening, the long-term cycle of agro-production and so on. At the same time, we all talk about the adoption of this law. Well, we should all be provoked to some reforms. If everything is so wonderful, why are we making any changes? If we change the general principle of the possibility of selling and buying land, it would be right to find a balance on the basis of the committee between interests and renters and new owners. Because it may be that only these so - called tenants who have signed these agreements today will be the only new owners on very unfavourable terms for many peasants and owners of the land they are.
ParlaMint-UA_2020-03-03-m1.u14	Thank you. The vote is number 2151 of the People's Deputy Belkovy. The committee's proposing a rejection. Please identify and vote. [[16:12:23]] For-76 The decision is not taken. Next issue is 2153, National MP of Ponomarov. There is no Ponomarov. Next line 2154, national deputy Kabachenko.
ParlaMint-UA_2020-03-03-m1.u15	Dear colleagues, 2154 and 2156 should be considered together and in the context of my previous rights. My previous papers showed the following logic. In order for the farmer to have the right to buy out agricultural land, there were clear fuses, namely, that he had to use the land for a purpose, he had to pay taxes, and he had to rent land for no less than nine years. Then he had the right to buy this land and to contact the State Land Agency for a 10-year buyout schedule. In the current version of the regulation, there is a completely different logic that any tenant has the right to buy land and manage this land without any safeguards. I ask you very much to support your work.
ParlaMint-UA_2020-03-03-m1.u16	Thank you. There is a vote of 2154 people's deputies, Kabachenko. The committee's proposing a rejection. Please identify and vote. [[16:14:06]] For-76 The decision is not taken. I want to ask you: do you have the next 2156, the same argument, can we put it right now? There is a vote of 2156 people's deputies, Kabachenko. The committee's proposing a rejection. Please identify and vote. [[16:14:32]] For-79 The decision is not taken. Next issue is 2157, Bakunec People's Deputy. Please.
ParlaMint-UA_2020-03-03-m1.u17	Good afternoon! National Deputy Bakunets, Trust MP. My revisions also apply to the Transitional Regulations. It is this right that it offers a specific offer to give individuals the right to buy land from what they have either in constant use or when they have the right to inherit forever, to own land, or when they have the right to rent. And the most important thing is to sell these land to residents with a five-year pay-off. That's my offer. And yet at the cost of a normative assessment of the state of this day of sale. That's important, too. In addition, in order to avoid the use of land trade, as individuals, simple residents, do not need to trade, they do not have the funds. So there's a five-year proposal. Please place my application for confirmation.
ParlaMint-UA_2020-03-03-m1.u18	Please take the seat of the committee.
ParlaMint-UA_2020-03-03-m1.u19	Dear colleague, the committee has been proposed for seven years, and it has been in the first draft of the bill, so it has been more effective in committee drafting. But all the standards you're saying sound something like that, if you read it, in Transitions.
ParlaMint-UA_2020-03-03-m1.u20	Thank you. Is there a need to put her to the vote, National Deputy Bakunec? Yes. Okay. There is a vote of 2157 people's MP Bakuntz. The committee's proposing a rejection. Please identify and vote. [[16:16:37]] For-80 The decision is not taken. Next amendment 2158, national deputy Shahov. Please.
ParlaMint-UA_2020-03-03-m1.u21	Sergey Shahov, Luhanščina, Deputy Group "Trust". Your Honor, perhaps you've confused something by "transitional position"? I fully support our colleague Paul Bakuntz for five years. I don't know where you've been there for seven years, but today, when you've been driving all the way through Lugansk County, in a week's work in the districts, I've heard your address, you know, how many and all? And the main question today is to be the state bank of the earth, and the state can buy the land. And the third. Please tell me, why didn't you take into account any requisitions from the Reverend, Sukhova, Shahova of the "Trust" Group regarding agrochemical passports? There are agrochemical passports on state land, and there are no agrochemical passports on private land. Who will reclaim that land today? Who today will oversee the earth so that it will not be completely destroyed, the top layer of soil, as did the fascists during World War II? Thank you. Sergey Shahov, Luhanščina, Deputy Group "Trust".
ParlaMint-UA_2020-03-03-m1.u22	Thank you. There is a vote of 2158 people's deputies, Shahov. Please identify and vote. [[16:18:09]] For-84 The decision is not taken. Next issue is 2159, Keith's National MP.
ParlaMint-UA_2020-03-03-m1.u23	[[Unheard]]
ParlaMint-UA_2020-03-03-m1.u24	People's deputy Keith. You won't. Thank you. Next line is 2160, National Deputy Halimon. Don't insist. Next issue is 2161, the national deputy of Hajud. Don't insist. Next issue is 2163, People's Deputy Litwinenko. Don't insist. Next line is 2164, National MP Rudik. Don't insist.
ParlaMint-UA_2020-03-03-m1.u25	How come you don't insist?
ParlaMint-UA_2020-03-03-m1.u26	Could you please raise your hand so I can see it? All of it. Thank you.
ParlaMint-UA_2020-03-03-m1.u27	The Society wanted to wish the chairman health, happiness, well - being, that he would endure the final consideration of the bill. This, imagine the gross sin that a group is committing, insisting that this market should be according to these rules that no one in the world or in Ukraine recognizes. Ten thousand ha in one hand. Five family members — 50,000 ha. Well, you really do walk on this earth, fellows. Well, you can't all run away from Ukraine. Well, someone's coming to command. Do not take sin upon soul, company. Think about it. Listen to what people are saying. I'm scared for you when I come to my constituency. 82 percent voted for Zelenski in Smila. Now it's half the size. What's going to happen. the number of those who wish to vote. And what happens in the local elections, I'm scared. Society!
ParlaMint-UA_2020-03-03-m1.u28	Thank you. There is a vote of 2164 people's MP Rudik. The committee's proposing a rejection. Please identify and vote. [[16:20:25]] For-88 The decision is not taken. Next issue is 2165, Magret People's Deputy. Please.
ParlaMint-UA_2020-03-03-m1.u29	Thank you. It would be very strange to expect that my amendment would be supported, since it has been sounded several times, perhaps a lot, but I think it should be sounded. "Before a referendum is held, there is a ban on the sale of agricultural land." The last word in this question should be "for the Ukrainian people." Well, I guess so. I'm not even suggesting a comment from the committee head.
ParlaMint-UA_2020-03-03-m1.u30	I'm putting the 2165 People's Deputy Magary to the vote. The committee's proposing a rejection. Please identify and vote. [[16:21:38]] For-79 The decision is not taken. Next issue is 2166, Mager's National Deputy. Please.
ParlaMint-UA_2020-03-03-m1.u31	Thank you. Because no adjustments are made today, as they did yesterday, the day before yesterday, and every day. Thank you.
ParlaMint-UA_2020-03-03-m1.u32	You don't insist, do you? Thank you. Next issue is 2167, People's Deputy Litwinenko. Don't insist. Next issue 2168, National Deputy Kolyhayev. Kolyhaev, isn't he insisting? Is the national deputy of Kolyhayev not insisting?
ParlaMint-UA_2020-03-03-m1.u33	I don't insist.
ParlaMint-UA_2020-03-03-m1.u34	Thank you. Next line is 2169, National MP Christmas. Don't insist, all right? Next issue is 2170, National Deputy Bondarev. Please.
ParlaMint-UA_2020-03-03-m1.u35	Constantine Bondarev, "The Fatherland" faction. The "Fatherland" party has always been for the development of the Ukrainian village, the owner of the Ukrainian land. Today’s authorities want to turn Ukrainian land into a commodity and sell it to their foreign owners, who already have certain debts, and they want to pay off these certain debts. The oligarchs will come, not Ukrainian, but foreign oligarchs will come to the Ukrainian land, and the Ukrainian people will come for an answer to the Ukrainian authorities. We insist that we cannot turn Ukrainian land into a commodity and sell it for nothing. First, the development of the Ukrainian producer, the Ukrainian farmer, gives him the opportunity to develop and then the Land Market Act. I insist that my amendment be voted on. It's about not being able to invest in statutory capital.
ParlaMint-UA_2020-03-03-m1.u36	Thank you. It's about the 2170 people's Bondarev vote. The committee's proposing a rejection. Please identify and vote. [[16:24:05]] For-81 The decision is not taken. Next item is 2172. People's Deputy Frost, I'm sorry. People's Deputy Frost.
ParlaMint-UA_2020-03-03-m1.u37	Thank you. Thank you for your word. Moroz Volodymir, 59th Donetschin constituency. Fill in section X "Transitional positions" in paragraph 61 of this sentence: "61. Citizens who are entitled to permanent use have the right to purchase such land for permanent possession of land owned by state and municipal property designated for agriculture and agriculture and have the right to purchase such land for a payment period of up to 5 years at a price equal to the standard monetary valuation of such land without having to conduct land trades." Thank you. And I'm asking you to back me up.
ParlaMint-UA_2020-03-03-m1.u38	Thank you. I'll bet you 2172 people's deputies to vote. The committee's proposing a rejection. Please identify and vote. [[16:25:23]] For-80 The decision is not taken. Next line 2176, National Deputy Volosyn. He insists.
ParlaMint-UA_2020-03-03-m1.u39	Dear colleagues, I just don't want to take up extra time. I ask you to put this right to a vote, which is to remove from section X, paragraph 6-1, transitional clauses the words "who have acquired land leases by transforming the right of permanent use in respect of the plots marked." That is, to deprive those who, in a questionable way, can thus be counted on land. Thank you.
ParlaMint-UA_2020-03-03-m1.u40	Thank you. It is the vote of 2176 of the national deputy of Volosin. The committee's proposing a rejection. Please identify and vote. [[16:26:25]] For-78 The decision is not taken. Next line 2177, National Deputy Šufrich Nestor Ivanovich. You don't? Okay. Is there a Nestor Ivanovich? Nestor Ivanovich, I'm sorry to have to cut you off from more interesting things. Your 2177.
ParlaMint-UA_2020-03-03-m1.u41	Thank you, Mr. Chairman. This is certainly our principled question. You know, up to 131 articles, we have a lot of suggestions for improving the mechanism that should regulate the very possibility of realizing its property rights. But we can talk about all of this and we will have a moral right solely after we have our opinion and, if you want, the people of Ukraine will express their will in the U.S. referendum. I'm surprised again, and once again I urge you, please contact those to whom you seem to serve. Just lean in front of them and ask them if they're ready for such an innovation, in order to sell the last thing they have in the poor world, their own land. And by the way, today's poll published by the Razumkova Center has once again confirmed two thirds, even more.
ParlaMint-UA_2020-03-03-m1.u42	Thank you, Nestor Ivanovich. The only thing I want to remind you is that this amendment does not apply to article 130, but to the Transitional Regulations. I'm putting to the vote 2177 of National Deputy Nestor Schufrich. The committee's asking for a rejection. Please identify and vote. [[16:28:20]] For-72 Unfortunately, the decision is not taken. Next line is 2178, People's Deputy Frost.
ParlaMint-UA_2020-03-03-m1.u43	Moroz Volodymir, 59 constituency, Donetskina. I want to remind you one time that the Opposition Platform for Life is against selling land. We're talking about the fact that today we have to hold a referendum first, people have to be identified. We're talking about today's war, today those people who have pies on the dividing line aren't able to use these pies at all. And we can't give them the answer to how the earth market will work for them. And so it's very important to correct 2178 in section X of Transitional Positions to rule out 6-1. Thank you. Please be supportive.
ParlaMint-UA_2020-03-03-m1.u44	Thank you. It's the 2178 vote of the people's deputy of the Frost. The committee's proposing a rejection. Please identify and vote. [[16:29:38]] For-73 The decision is not taken. Next issue is 2179 of the Burmić People's Deputy.
ParlaMint-UA_2020-03-03-m1.u45	Anatoly Burmich, "The Opposition Platform for Life." I'm still underlining, and my colleagues, that all we do in this room is sell the land or more, less without consulting the people, it's all going to be wrong, it's all fog. And despite the fact that there are already positive thoughts in power and the referendum, and the fact that we're being deprived of such a government, I think that's going to be the main solution to the earth issue. Until we have consulted our people, the owner of the land under the Constitution of Articles 13 and 14, as he is, there is nothing we can do. Which is why I urge you to consult with our people. Thank you. For a referendum.
ParlaMint-UA_2020-03-03-m1.u46	Thank you. Regulation 2179. The committee's proposing a rejection. Please identify and vote. [[16:31:03]] For-74. The decision is not taken. Next line is 2180, Burmić National MP.
ParlaMint-UA_2020-03-03-m1.u47	Yes, I want to continue that our Ukrainian people deserve respect for themselves, they deserve to be counted with them. Today, more than seventy percent -- 73-75 -- is to stop and not start selling the land in the way we're offering today. And so I think that those positive changes in the thinking of the leadership of the Supreme Council State about how to hold a referendum and take away all the initiators of this disgraceful project, let's stop and consult the people. Let's hold a referendum, see if we need a market and what it looks like. And then we'll make decisions, everything that concerns the interests of the people. I'm talking about a referendum. Thank you.
ParlaMint-UA_2020-03-03-m1.u48	Thank you. It's the 2180th People's Deputy of Burmić. The committee's proposing a rejection. Please identify and vote. [[16:32:30.]] For-73 The decision is not taken. Next issue is 2181, National MP of Ponomarov. There is no National Deputy Ponomarov. Okay. Next line is 2183, People's MP Skorik. Please.
ParlaMint-UA_2020-03-03-m1.u49	I insist. Deputy Skorik, "The Opposition Platform for Life." In section X of the "Transitional Positions" of Ukraine's Earth Code, paragraph 6-1 is proposed to be deleted. Dear colleagues, the honorable leadership of the Supreme Council, the honourable citizens of Ukraine, I would like to refer once again to the representatives of the "Serve of the People" party on the basis that, against the backdrop of the strong rumors that tomorrow will be the reformation of the Cabinet, it seems to me that it is time to say "no" to this disgraceful law and cast all negatives on the previous Prime Minister and the previous Cabinet of Ministers. I urge you to do so. We're not even worried that this will increase your rating, because it will preserve the national acquisition of Ukraine, the land of Ukraine. I really want to take the right step and do what the whole of Ukraine expects of you tomorrow is to change not only the Kabmin, but to abandon this shameful law. Thank you for your attention. Please support my work.
ParlaMint-UA_2020-03-03-m1.u50	Thanks for the show. It's going to be 2183 people's MP Skorik's vote. The committee's proposing a rejection. Please identify and vote. [[16:34:10]] For-75 Unfortunately, the decision is not taken. Next item is 2184 of the People's Deputy Plačkov. People's Deputy Plachkov, I'm sorry.
ParlaMint-UA_2020-03-03-m1.u51	Thank you. My fellow Members, I would like to draw our attention, however, to the fact that specifically on sanctions for violating the requirements for the border concentration of agricultural land that may be owned by one person. Let's take a close look at this bill, and what sanctions are envisaged. In fact, it contains a very strange punishment for violators when the State offers to organize the land trade on its own and the proceeds of the sale are carefully paid to the offender. Mr. Solski, please comment on the sanctions that this bill will provide for violators of land legislation. Thank you.
ParlaMint-UA_2020-03-03-m1.u52	Thank you. I will give the floor to Mr. Solski, but your amendment relates to the addition of the payment schedule by paragraph, set up by the Cabinet of Ministers of Ukraine. But I'm handing it over to Mr. Solski. Please.
ParlaMint-UA_2020-03-03-m1.u53	Yeah, actually, it's a different thing. There, not voluntarily, but forcibly, according to the court’s decision, the body that is suing. It is a legally established body in the field of land administration. in the field of land relations regulation. It's not what you say.
ParlaMint-UA_2020-03-03-m1.u54	Thank you. Puts to the vote 2184 of the People's Deputy. The committee's proposing a rejection. Please identify and vote. [[16:35:54]] For-72 The decision is not taken. Next line is 2185, national deputy Plačkova, please.
ParlaMint-UA_2020-03-03-m1.u55	Dear colleagues, why has such a true tradition of Ukrainian power become a complete disregard for some positive experience in recent years and, on the contrary, the implementation of far from the best practices of the world? Now they're trying to force us to actually, in the form of deregulation, implement a completely unlimited market for agricultural land. Once again, however, there are no safeguards, such as the ban on land sales, unless the government approves a mechanism to verify the purchaser’s requirements for legislation and so on. Please also comment on the safety features, if possible. And I ask you to put this amendment to the vote and support it. Thank you.
ParlaMint-UA_2020-03-03-m1.u56	Thank you. I'm betting on the vote of 2185 of the People's Deputies. The committee's proposing a rejection. Please identify and vote. [[16:37:04]] Z-70. The decision is not taken. Next issue is 2187, Royal People's Deputy. None. Next issue is 2188, National Deputy Gnatenko.
ParlaMint-UA_2020-03-03-m1.u57	Thank you, Your Honor Chairman, for being able to prove your case. 49 constituency, Donetsk district, Gnatenko. I request that the following amendments be made to Article 131 X, section “Transitional positions”, paragraph 1, in the following wording: “Citizens who are entitled to the right of permanent use, the right to permanent hereditary ownership of land owned by public and municipal property designated for the purpose of holding (farm) agriculture, as well as land leases, are entitled to the purchase of such land into property with a payment schedule of up to 10 years at a price equal to the standard monetary valuation of such land, without the conduct of land trade.” Thank you. Please be supportive.
ParlaMint-UA_2020-03-03-m1.u58	Thank you. Vote number 2188 of the national MP, Gnatenka. The committee suggests that this amendment be rejected. Please identify and vote. [[16:38:29]] For-68 The decision is not taken. Next line 2189, National Deputy Gnatenko.
ParlaMint-UA_2020-03-03-m1.u59	Thank you for being able to prove this. 49 constituency, Donetsk district, Gnatenko. Paragraph 6 of section X of the Transitional Provisions of the Ukrainian Land Code states in the following edition: "Ukrainian citizens who have a permanent use or right to forever inherited ownership of land by state and communal forms of agricultural property for farming purposes, as well as land leases for agricultural purposes that have acquired land lease rights by reshaping the right to permanent use in respect of designated land areas or are in the process of reshaping such land may acquire such land plots with a payment schedule of up to 6 years at a price equal to expert valuation, without having to make land trades." Please also support this amendment and put it to a vote. Thank you.
ParlaMint-UA_2020-03-03-m1.u60	Thank you. It is the vote of 2189 People's Deputies of Gnatenka. The committee's proposing a rejection. Please identify and vote. [[16:39:47]] For-73 The decision is not taken. Next item is 2,190 of the Gnatenka People's Deputy.
ParlaMint-UA_2020-03-03-m1.u61	The presiding officer, today tens of thousands of state acts and tens of thousands of areas are in the hands of the people who are in the territory of uncontrollable temporary territories in the Lugansk and Donetsk regions. Who took these people’s views into account? These are the people who refer to Ukraine, and we hope that they will soon be in the territory of our controlling republic. You think that this law, put into the order of the day, is so perfect that you don't want to make any adjustments. I think it's a big mistake and it's only through a referendum that we have to decide on the possibility of adopting this law. Please support the amendment for the next 2190 and vote. Please.
ParlaMint-UA_2020-03-03-m1.u62	Thank you. Puts the vote to 2190. The committee's proposing a rejection. Please identify and vote. [[16:40:57]] For-73 The decision is not taken. Next line 2191. Gnatenko, please.
ParlaMint-UA_2020-03-03-m1.u63	I also ask you to support the motion and put it to a vote of 2191 and 2192. Thank you.
ParlaMint-UA_2020-03-03-m1.u64	Thank you. It's the 2191 People's Deputy of Gnatenka vote. Please identify and vote. [[16:41:27]] For-76 The decision is not taken. Next line 2192, National Deputy Gnatenko. Please identify and vote. [[16:41:48]] For-69 The decision is not taken. Next issue is 2193, National Deputy Arsenyuk. Don't insist. Next line is 2194, National Deputy of Cimbaluk.
ParlaMint-UA_2020-03-03-m1.u65	Mikhailo Cimbaluk, Fatherland. Respectable society, Ukrainian land is not only a peasant, it is a Ukrainian village, but a Ukrainian village is a cradle of national wealth. And our political position is unalterable that only the Ukrainian people can determine whether to sell land or not in an all-U.S. referendum. Next. Ukrainian land is not a commodity, it's a product for manufacturing and processing goods, and that's where the value is added. And, Your Honor, let's send this bill to work and stop this thing, and move on to the U.K. referendum. And this is about reselling, not allowing speculation and setting up a bribe.
ParlaMint-UA_2020-03-03-m1.u66	Thank you. There is a vote of 2194 people's deputies of the Tsimbaluk. Please identify and vote. [[16:43:27]] For-82 The decision is not taken. Next line 2195, National Deputy Guzenko. Don't insist. Next line 2196, National Deputy Lashenko. Don't insist. Next issue 2197, National Deputy Vasiliev. Don't insist. Next issue is 2198, National Deputy Ivchenko.
ParlaMint-UA_2020-03-03-m1.u67	Dear colleagues, you know, there are such lands of constant use, and each year farmers hold a convention and ask that you give these lands to us. They drafted a bill registered by the Fatherland along with other political forces. Lands of constant use, not so many, colleagues. About 300,000 hectares. We have to give them their property. Instead, what does the committee offer in private without consulting the farmer? They've been processing these lands for 20 years. They offer to buy them, buy them. Colleagues, let's be fair. Why can't we give ownership to those who, sorry, started farming when no one needed it in the early 1990s? So "Paternity" proposes to give the land permanent use to ownership. And I'm asking you to support this amendment.
ParlaMint-UA_2020-03-03-m1.u68	Thank you. I'm betting on the vote of 2198 national MP Ivchenka. The committee didn't support it. I'd like to make up my mind. [[16:45:23]] For-79 The decision is not taken. Next line is 2199, Frolov. Don't insist. Next 2,200, Nadravichenko, National Deputy. Please.
ParlaMint-UA_2020-03-03-m1.u69	Valentin Nastavajchenko, faction of the Fatherland. Julia Timoshenko, like all Fatherland, we insist that farmers themselves should be given the right to free ownership of the land that they are processing. It is the Ukrainians and farmers who work on earth who have to own the land. The popular referendum for us is not the same as for you, fear. What kind of fear is that? Go out and ask people and hear a clear answer. You can't take the land from people right now. And as for how much better it gets, I'll give you an example. Open now, Finland, open now, how many acres of land are sold by the landowners of the citizens of Finland. So near Porvoo, it's both Poltava from Kiev and Porvoo from Helsinki, one hectare of 80,000 euros. And that's what a Finnish citizen can be proud of. Why can’t Ukrainian citizens do so? I have the answer because you're not ready, you're not.
ParlaMint-UA_2020-03-03-m1.u70	Thank you. This is the vote of 2,200, the national deputy of the Republic of Nadjajchenko. The committee did not consider this amendment. Please identify and vote. [[16:47:03]] For-81 The decision is not taken. Next issue is 2201, national deputy of Zagradni.
ParlaMint-UA_2020-03-03-m1.u71	Next edition of Dubnov, 2202. Don't insist. Kirilenko, 2203.
ParlaMint-UA_2020-03-03-m1.u72	Ichchenk.
ParlaMint-UA_2020-03-03-m1.u73	Yvchenko.
ParlaMint-UA_2020-03-03-m1.u74	Vadim Yvchenko, "The Fatherland" faction. Dear colleagues, once again, I'd like to tell you that you're all traveling around your districts. We see in Facebook what happens to each of you when farmers come to see you. It is the request of farmers and those who have received land for permanent use. They proposed their bill, and these are their amendments. They suggested that these lands be handed over to them. These bills existed both in the past and now. And it's fair to give up the land of constant use that was given to people by January 1, 2002, because somehow in the Earth Code something was forgotten about this notion of "land of constant use." Let them form these lands into property. Fellows, you are now hearing agrarians. The farmers can hear you now. Let's support this amendment and finally restore justice. We'll support the Fatherland.
ParlaMint-UA_2020-03-03-m1.u75	Thank you. I'll bet you a vote. Please identify and vote. 2203. [[16:48:55]] For-81 The decision is not taken. Belkova, 2204. Don't insist. Heroshenko, 2205. Don't insist. Who insists? I can't see, Irina Volodymyr.
ParlaMint-UA_2020-03-03-m1.u76	Vica Sumar. Let them go, you'll see Sumar. Please pass the Victoria Sumar.
ParlaMint-UA_2020-03-03-m1.u77	Sumar Victoria Petrovna.
ParlaMint-UA_2020-03-03-m1.u78	We're going back to the key questions that, frankly, we'd like to get answers in the context of the bill that we're currently considering, but unfortunately, they're not. And to be honest, I was personally surprised by the answer that we can't set up a moratorium, for example, on the change of purpose. I was surprised to learn in particular that we cannot ban the sale of land to those who do not work in agriculture. So what's the reason for this approach? We're talking about the Constitution being written for all citizens, but these restrictions are imposed by all European states. Because they protect the manufacturer because they protect the farmer and the farmer who works on the ground. Doesn't it seem to you that with the approach proposed in this bill, we're just dealing with sales of state land, primarily speculative capital, instead of protecting a real producer?
ParlaMint-UA_2020-03-03-m1.u79	Thank you. I'm betting on a vote of 2205, Sumar. Please identify and vote. [[16:50:47]] For 104 The decision is not taken. Vlasenko, 2206.
ParlaMint-UA_2020-03-03-m1.u80	Thank you, Mr. Head. What does this shameful law of robbery suggest? This law suggests that all citizens whose agricultural land is owned by the right of permanent use or the right of permanent inheritance should once again buy these land. I want to remind you that the right to permanent use and, in particular, the right to eternally inherited possession was essentially a quasi-proprietary. It was a quasi-proprietary. So the people who have already been transferred this land to the right of ownership, by just calling this right a little bit differently, are now offering ownership the second right. So this is a completely absurd design that should definitely not be applied and I agree with my colleague, Vadim Ichchenk, that we need to help farmers and give this land to them free of charge. Because it's a farmer's requirement. But this will be possible only after the U.S. referendum. Thank you.
ParlaMint-UA_2020-03-03-m1.u81	Thank you. There is a vote of 22,206 national MP Vlasenka. The committee's proposing a rejection. Please identify and vote. [[16:52:18]] For-78 The decision is not taken. Let's see the factions. Next issue is 2207, Royal People's Deputy. None. Next issue is 2208, Kachura People's Deputy. Don't insist. Next line is 2210, Bogdanec national deputy. Don't insist. Next issue is the People's Deputy of Krasov. Don't insist. Is he insisting? I'm sorry. People's deputy to the Krasov.
ParlaMint-UA_2020-03-03-m1.u82	Sir, I can have two minutes, because I have two 2211 and 2212. They are linked and can be united.
ParlaMint-UA_2020-03-03-m1.u83	Please, your time is coming.
ParlaMint-UA_2020-03-03-m1.u84	Thank you. These rights are offered to protect the interests of those who are entitled to permanent use, the right to permanent possession of land owned by state and municipal property, including those designated for farming. These are land plots of about 30 to 40 hectares. People have been processing them for a very long time, and they have no opportunity to inherit them or inherit them by law. And there is no such possibility in this law. This amendment solves this issue. Amendment 2211. If we do not want to give this land to people who are working long hours on this earth free of charge. So I've got an offer to make a buy-in of these land properties with a payment schedule of up to 10 years. At a price that is equal to the legal and monetary valuation of these land areas, without land auctions and trades. Thank you.
ParlaMint-UA_2020-03-03-m1.u85	The position of the committee immediately following these orders.
ParlaMint-UA_2020-03-03-m1.u86	Alexi, I wanted to answer you, in principle, and the other colleagues who discussed this. First, the committee's editorial does not oblige, but gives farmers the right to buy land that they have formed in a way that is now heard repeatedly, in particular through continuous use. This is the first moment. The other one. When we are. I'm absolutely glad, like a lot of lawyers, that the 2002 Earth Code has stopped practice, and there's no such thing as "continuous use." Because this is, in fact, more advanced structures, such as rentals, other rights related to ownership. And the fact that in this Earth code after that this right of permanent use has not been formed, I think it's a plus. The next moment. When you talk about farmers, what constant use they give without money, I also want to make a comment from other farmers.
ParlaMint-UA_2020-03-03-m1.u87	Do you insist on voting? Where's Krasov? Then turn it on, please. Is that the second one, too? That's my vote. I'm betting on a vote of 2211. Please identify and vote. [[16:56:02]] For 112 The decision is not taken. Cannot initialise Evolution's mail component. Edit 2212, Krasov. Two reports? I'm betting on a vote of 2212. Please identify and vote. The committee's dismissed. [[16:56:31]] For the 110. The decision is not taken. Cannot initialise Evolution's mail component. Next line, Davidenko 2213.
ParlaMint-UA_2020-03-03-m1.u88	Good evening. Mikola Tarasovich, my draft refers to the "Transitional Regulations" of the Earth Code of paragraph 6.1. You counted it, I heard, we're all very pleased. You were also talking about a colleague. And in fact, the committee's most successful editor. But still, if the MPs probably knew that their revisions were partially, editorially, or counted there, there would be no questions. I don't insist on voting. Thank you.
ParlaMint-UA_2020-03-03-m1.u89	Thank you. Next item is 2214, Aliksiyczuk. Don't insist. Taruta, 2215.
