ParlaMint-FI_2015-06-10-ps-18.u1	The committees have chosen their chair and vice-presidents as follows:
ParlaMint-FI_2015-06-10-ps-18.u12	Mr President! When you read the Government’s annual report and its appendix, which then includes the state’s financial statements, it is very clear that there is a contradiction between words, deeds and figures. I have pointed out many times in the past how much employment appropriations allocated by Parliament in the administrative sector of the Ministry of Employment and the Economy are not used each year in a situation where there is a period of mass unemployment. According to the statistics system of the Ministry of Employment and the Economy, there are 350,000 unemployed, long-term unemployment is increasing, and the social guarantee for young people is not working. In spite of this, however, in 2012 from Article 32.30.51 — that is, the very article with the public employment service budget — the amount of 36 million was not used, in 2013 three times the amount, 95 million, and now the savings from previous years are already EUR 212 million at the turn of the year. So that's the kind of money that's been left unspent. In principle, if you add together last year's actual budget, the amending budget and now these savings from previous years, the Ministry of Employment and the Economy would have had EUR 717 million at its disposal, of which only EUR 505 million has been spent over the past year, that is, a huge amount has been left unused for the unemployed, immediately unemployed, jobs and training places. I hope, though, that the Committee on Audit and the Committee on Labour and Equal Opportunities and any other bodies will make a real contribution to this. Parliament has wanted that money to be used to promote employment, and so huge forced savings have been made one year after that.
ParlaMint-FI_2015-06-10-ps-18.u13	Madam President! Here on page 11 of the report it is reported that Finland has a good EUR 1 billion from the Greek State, which is linked to the first Greek aid package then in 2010. Today we have to watch the news every day about what will happen to the Greek state, and if it happens very badly now, that is, the money will run out, then it is quite clear that we will not get this one billion money, or at least we will not get it for years. I do not quite understand the atmosphere in Greece today in relation to these matters. At least when you follow the Finnish and international media, it seems to the Greeks that it is the fault of everyone other than the Greeks themselves that they are now in such an economic situation. However, the basic reason for the problems of the Greek economy is simply that it has been over-exploited, that it has been eaten more than it has been earned and that it cannot now be the fault of Finland or other countries that these countries are waiting for and require Greece to pay the debts it has to these countries. The attitude of the new Greek Government is also strange. The government seems to be starting from the fact that once it has made unwarranted promises to the people in the elections, it can then also say to these creditors that we cannot commit ourselves to these commitments made by the Greek State and that we now have the right to default or to demand a very strong return from the creditors. I really hope that a solution can be found to the current situation, that Greece will commit itself to the agreements it has entered into and that it will be able to get on its feet in the long term.
ParlaMint-FI_2015-06-10-ps-18.u14	Mr President! In this special report, the National Audit Office will pay due attention to the clear shortcomings in the reporting by ministers on the social impact targets set for them in the budget. Although there has been a visible improvement in the coverage of efficiency targets compared to previous years through systematic guidance, the quality of reporting is not yet quite the desired level. According to the National Audit Office, reporting on efficiency targets has increasingly remained only for the purpose of describing separate measures. In the future, the setting of these effectiveness objectives should be developed in such a way that ministries report mainly on objectives that are of genuine relevance to the governance of the administrative sector concerned.
ParlaMint-FI_2015-06-10-ps-18.u15	Mr President! I am referring to what Mr Zyskowicz said about Greece’s claims — if we were in the company, it would not be worth more than what is likely. This claim is unlikely to have much value, since it has been subject to a separate risk assessment for this claim. Perhaps the bigger problem is that when Greece was, in a way, already on the right track with regard to its administration and economy, then since the elections there has been more liturgy and show from the government than real reform,
ParlaMint-FI_2015-06-10-ps-18.u16	To the list of speakers.
ParlaMint-FI_2015-06-10-ps-18.u17	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u18	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u19	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u20	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u21	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u22	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u23	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u24	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u25	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u26	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u27	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u28	To the list of speakers.
ParlaMint-FI_2015-06-10-ps-18.u29	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u30	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u31	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u32	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u33	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u34	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u35	To the list of speakers.
ParlaMint-FI_2015-06-10-ps-18.u36	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u37	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u38	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u39	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u40	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u41	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u42	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u43	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u44	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u45	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u46	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u47	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u48	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u49	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u50	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u51	[[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]] [[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u52	[[Technical problem: content could not be processed by the linguistic parser]]
ParlaMint-FI_2015-06-10-ps-18.u53	Madam President! Allow me to speak on one more point in relation to Greece. If we are talking about the Greek economy and the problems that are at the root of it, as it were, in the long term, they relate above all to a weak or too narrow tax base, where Greece has long had a problem of tax avoidance and also too low tax revenue. There have been problems such as the long-term accumulated deficits, which, above all, also relate to the Greek economic structure and the fact that the Greek export sector, for example, has not done very well in this intra-euro area trade. In view of these facts, it is also quite clear to me that very serious mistakes have been made in dealing with this crisis, which have also considerably weakened the economic situation in Greece and also made it more difficult for Greek decision-makers to put the public finances in order in Greece. As I mentioned in my previous speech, it is quite clear that since these aid packages have been accompanied by these demands, for example, for cuts in public expenditure and also for reductions in public employment, the GDP of Greece has decreased significantly at the same time as unemployment has increased and the ratio of Greek public debt to GDP has also increased very significantly. In other words, these demands for these drastic cuts in public spending, oversized ones, have in fact constantly increased the likelihood that Greece will be able to repay its debts — as we all hope, of course, that they will have the opportunity — and, at the same time, created the basis for this humanitarian crisis, which is a fact in Greece at the moment. In my view, it is in the interests of both the euro area and Finland at the moment that it is possible to reach an agreement on this tranche of loans, which also includes conditions that do not make this situation worse and continue this crisis management line that exacerbates the Greek economy. As far as Mr Elo's question on the line of the Left Alliance is concerned, I personally think it is absolutely clear that, from the point of view of continuing to work with the euro as a whole, it is necessary to carry out structural reforms to the way in which the euro cooperation currently operates.
ParlaMint-FI_2015-06-10-ps-18.u54	Mr President! I would like to return to these employment funds with a few points. Firstly, the new government intends to cut EUR 110 million from its modest employment budget in itself. After this, how are we gonna deal with the things we're talking about here? Secondly, the government is going to cut a little over 200 million unemployment benefits, which means that the long-term unemployed are going to have to rely on municipal income security, that is to say, there will be a major problem. Employment money is transitional money, it has not gone to waste. If there is anything left over from the previous year, they will be transferred to the next year. Secondly, there is the long-term committed money that has been decided on in the past, and even this year, the obligations are still being met. The money is not standing anywhere, and it is not lost, but the question is that it is going to end this year. Our problem is that there is too little money for employment and there is nothing missing. The earmarked money is in such a way that 40% of the employment budget has been allocated to the long-term unemployed and to their care, but 60% has been allocated to other purposes in the regions. The transfer of 300 days of labour market support to the municipal level, where the State and the municipality nevertheless bear the cost of financing, was a good reform compared to the fact that it was before 500 days. The wage subsidy was reformed in a good way so that it pays precisely, gives them a higher percentage if the long-term unemployed are employed, the most difficult to employ. It is not just long-term unemployment, but other forms of employment management such as the Youth Guarantee. I just wanted to say this, perhaps, in this debate.
