ParlaMint-NO_2021-11-17.ana.ud541e28	The representative of Mr Wetrhus Thorsvik will put forward a proposal for a representative.
ParlaMint-NO_2021-11-17.ana.ud541e121	Preparing the Norwegian community for an ageing population is very important. The opinion to which the representative Troeen referred, when the previous government put in place a system for the district councils to expand security housing, I am still standing by. There is also a background for the government to withdraw the scheme. We want to see this in the context of a greater commitment – the possibility for all municipalities to expand security housing and new forms of housing. In fact, at the beginning of the previous ageing period, the Stortinget took a decision to investigate new forms of housing for the elderly. I am sorry that the previous government did not follow up. The project that got on the tap had a lot of good work, which we're going to include in the further work. But the background that we don't want to go further with that system is that we want to see it in the context of a larger bet, in the context of a home reform, which is also about the services that older people get in the home. I think that we need to think about new ways of developing housing that provide a safe and age-enhancing society, as it is called, where older people can live at home as much as possible and get security through good services and the use of technology – where also these social common arenas, to which the representative Troeen points, are more likely to be present in and around the homes. So this we'll come back to and look at in a larger context.
ParlaMint-NO_2021-11-17.ana.ud541e128	The turnaround from the state council is surprising, and it's disappointing, and it's very sad for many older people who need us to organize better so that they can have as active an age as possible. Being able to live life as self-held as possible and with the possibility of dealing with others is important at all stages of life. So we know that it's an ever-increasing lifetime. We also know that many of the challenges of creating a safe old age for older people are being faced by the district councils in particular. Now I hear the council say they wanted a bigger bet. I just want to remind the council that the municipalities that were involved in this project – it is therefore 209 of the country's municipalities that are within that pilot with security housing. Is this major investment anything but security housing?
ParlaMint-NO_2021-11-17.ana.ud541e135	I very much appreciate the fact that the representative quotes me, and that quote said that we believe that building security housing, developing new forms of housing for the elderly, is becoming very important in the future. Therefore, we should have implemented similar arrangements for all the municipalities in the country. It's not a complete revolution. We take the consequences of this, and that is why we work with other schemes that will benefit all the municipalities, and we will come back to that very much. A pilot in 200 municipalities is interesting in itself. Why not make arrangements that all the municipalities in the country can apply for? We have experience with this from the past, where the House Bank has been an effective tool, and we want to look at that again.
ParlaMint-NO_2021-11-17.ana.ud541e142	There will be follow-up questions – first Erlend Svardal Bøe.
ParlaMint-NO_2021-11-17.ana.ud541e147	Living as self-held as possible and together with others is important in all stages of life. It's especially important when age starts to set its tracks and the usual circle is getting smaller, maybe because spouses and friends are falling off. Then, as a society, we have to stand up. By facilitating the early entry of older people into organised housing, we can hopefully help to postpone their need for help and they can cope with themselves longer and thus thrive better in everyday life. The Council of State was in the districts, and my question to the Council of State is: When the government now cuts funds for security housing, what does the Council of State think would be a good offer for lonely elderly people in the districts?
ParlaMint-NO_2021-11-17.ana.ud541e154	I believe that the municipalities are well able to assess it. Living the whole life-reform, as the previous government presented, pointed out in particular that this was to be the municipality's own reform. It contained a catalogue of good examples from different Norwegian municipalities of how to develop good neighbourhoods, good burgundy for the elderly, where the social arena has also been preserved. Here I think Norwegian municipalities need help from the state, and it's a work we're going to do, with tools that can help municipalities achieve these goals that the Life Life Reform points out, with good meal experiences, good social meeting venues – here I think we need to think new – and also grants and investment instruments to enable municipalities to implement these investments.
ParlaMint-NO_2021-11-17.ana.ud541e159	Erlend Svardal Bøe – for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e164	I agree with the Council of State that the municipalities probably need help from the state, but that's exactly what the Solberg government gave. There were funds put in for security housing. The reason why I'm asking the government council about lonely elderly people in the districts is that it was in the districts of the Solberg government that initially wanted to start security housing, because we know that there is a shortage of such housing in the districts, and we know that it's in the districts the proportion of older people will increase most. For the individual, an organised housing with a common living space will help to reduce solitude and maintain cognitive functions through activity. So in the first place, this was to be directed at the districts. When the Hurdal platform says that district policy needs to be strengthened and renewed, it is in stark contrast that the government is cutting the funds we have invested. Then my question is to the Council of State: does the Council of State not agree that it is right to start with security housing in the districts? And how district friendly does the Council of State think it is to cut funds for security housing in the districts, as the government does now?
ParlaMint-NO_2021-11-17.ana.ud541e172	This government has a district policy that enables municipalities to solve the problems. That is why, in the additional proposition that Stortinget is now dealing with, together with the government budget from the Solberg government, we have increased the free revenues of municipalities by 2.5 billion. kr. It's important. The previous government was not very generous with hand bills to allow municipalities to invest in future housing and care for the elderly. Take, for example: ‘all time low’ — ‘pardon my French’, President — was in the last budget of the Solberg Government. The fact that we are now looking with new eyes at a system to provide more flexible housing for the elderly, where technology can be used, where the municipality is given the opportunity to have a different type of crew than what you have in happy life care, I think the districts will be grateful for in the longer term. Then it wasn't the right project that wanted to happen this time, but the municipalities are better able to do the problems after the extra proposition. [[President clubs]] [[The President Clubs Again]] [[The President Clubs Again]]
ParlaMint-NO_2021-11-17.ana.ud541e179	Then you're out of time. The President hopes we can stay within the limits. Let's go to the next main question.
ParlaMint-NO_2021-11-17.ana.ud541e186	The events in Kongsberg and Bislett have shaken the country. The police are investigating, but everything indicates that there is a breakdown in psychiatry. Seriously ill people who may be a danger to themselves and others do not receive the necessary help. It costs innocent people their lives, and I think many people react to the Workers' Party-Center Party government now proposing crumbs in the extra allocation to health and psychiatry, in the situation in which we stand. You're sending an extra $600 million. kr to the sick person of the country in the form of an increase in the excess. You punish yourself with cuts in the free amount, while you spend hundreds of millions of dollars on increasing the trade-union deduction. The money runs out to climate and assistance. The needs of psychiatry are enormous. I visited ROS in Bergen, who is working on eating disorders, and they are warning about the increase among children and young people. For very many years, we have seen a sharp decline in institutions, and experienced psychiatrists are warning that people are not getting needed help. It's going down on the sick, and it's going down on community -- yeah, it's actually going down on the safety of all of us. The size was decided in the spring – with, among other things, The votes of the Labour Party and the Centre Party, together with the Advance Party – that we should stop the construction of institutional sites. We need to review the available capacity, and we need to look at the need further. The Progress Party is clear that we need to earmark money for the construction of institutional sites in the future. Does the Council agree that the number of institutional places needs to be increased, and that it is more important to strengthen psychiatry than to increase the trade union deduction?
ParlaMint-NO_2021-11-17.ana.ud541e199	I'm worried about the increased needs of mental health. There is also a background for the Hurdal platform to have, as one of its main initiatives, an escalation plan across the mental health field, ranging from low-threshold mental health services in municipalities to long-term complex treatment and daily settings. I am also pleased that the Hurdal platform has exactly the decision that Mr Listhaug's representative refers to, as one of the points: that the reduction of daily space ends on this government's watch. Then we want to step up this, and in the additional proposition that the government has put forward, we're strengthening the hospitals by 700 million. kr, and we strengthen the basic funding, which means that the priority of mental health protection is reached. The government that represented Listhaug was part of, even in the department I am currently in, did not manage for a single year while they were driving the country, to fulfil their own priority rule for mental health protection. We're going to change that now. By increasing basic funding, all emergency services in hospitals will be given a stronger priority. Not least mental health protection. It is also important that we be able to prevent – early – the type of events to which the representative refers. When the damage has happened, it is too late – then it is left to the judiciary and the police to investigate such serious incidents. Our ambition is to strengthen the whole field, consistently, and we will give priority to that in the future budgets.
ParlaMint-NO_2021-11-17.ana.ud541e210	The problem is that these institutions are now needed. That's why this has to happen fast. You can't sit and wait for investigations up and down and down. There are sick people who don't get help. In 2017, the law on the use of coercion was amended. The threshold for the force was raised. In retrospect, the Progress Party believes that this should not have been done. This has led many to walk around the streets and live in our society with major mental problems because they are too healthy to get an offer or do not want to be coerced. The rules of coercion play a major role in the security of society. Now, at the hearing, there is a new proposal from the Forces Committee, which may make it even more difficult to use coercion. Will the Council of State take the initiative to scrap the proposal of the Forced Law Committee and make it easier, not more difficult, to use coercion to help the sickest among us — those who may be a danger to themselves or to others?
ParlaMint-NO_2021-11-17.ana.ud541e219	First, I want to say that we're not waiting for major investigations. In the additional proposition that the Stortinget has to deal with now, we have already strengthened basic funding in hospitals and put the emphasis on mental health protection in that priority, with the visiting FACT team, who can meet the users at home, and we have said that the reduction of daily places ends on our guard. As regards the legislative processes that are going on, on the use of coercion in healthcare, we also intend to evaluate the amendment of the Law on Mental Health from 2017. It was a law that was passed with the votes of both the Labour Party and the Advance Party. At that time, the Labour Party and the Senter Party wanted to be evaluated. It was a proposal the Progress Party chose not to give its support to, but we are now implementing it. We have to follow up the work of the Forced Restriction Committee, and we'll get back to that. The consultation period expired last week.
ParlaMint-NO_2021-11-17.ana.ud541e226	There will be follow-up questions – first Sylvi Listhaug.
ParlaMint-NO_2021-11-17.ana.ud541e231	Cystic fibrosis disease does not receive the necessary health care. Ellen Winther, 46 years old, is in Svelgen, Westland, and is completely devastated and dismayed that she has received the fourth rejection of medicine Kaphtrio – a medicine that has amazing results, where the doctors in Denmark say they can see with the naked eye that lung capacity is increasing. Ellen's condition is very serious. She's got 22 pst. lung capacity. She cannot have a lung transplant, and she has the pulmonary disease cystic fibrosis at the end stage. What can save Ellen is simply to get access to Kaftrio. This medicine is now authorised in 15 European countries. The last one was Spain. Nevertheless, Norway cannot afford to use this medicine, and there will be a rejection of these patients, who are in a desperate situation. Will the Council of State cut through and ensure that Ellen gets access to the medicine that can save her life, and as her doctors say she can get proper health care?
ParlaMint-NO_2021-11-17.ana.ud541e240	It is important that patients with all types of diagnosis and suffering receive the best available help in Norway. We have a system for that, combining both the priority criteria adopted by the Stortinget and the available space for action in the hospital budgets at all times. The system of new methods is an arrangement that the representative Listhaug and her party have legislated. It is important that patients and professionals have confidence in this system, and it should now be further developed. Tomorrow there will be a report where the whole system has been evaluated, and it will provide us with an important basis for a priority debate in the future. It is always challenging when new drugs are being approved — if you have the opportunity to put them into use in Norway. That way to Norwegian patients we want to be as short as possible. But this is a system which is legalized with the votes of the Progress Party.
ParlaMint-NO_2021-11-17.ana.ud541e247	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e252	The Progress Party will change that precisely because we see that it is not working, while the Council of State is pushing the bureaucracy ahead. In Norway, cystic fibrosis-sickness is not most readily available, as it is refused. It's 400 cystic fibrosis disease in Norway. They have three choices: You can buy the medicine yourself. A family does it with a 13-year-old daughter. They pay NOK 228 000 a month. You can become a health refugee, as Christian in Bergen now estimates. He's considering moving to Denmark. He was recommended by the doctor to do so, for he gets a pneumonia now in winter, so he can actually die. You can live in despair, become sicker, or have your lungs transplanted for those who can. Ellen doesn't know any of the parts. The working party says it's a common people's turn. It is definitely not cystic fibrosis-sickness's turn – and they are now completely despairing. Does the Council of State consider it sustainable for people to be forced to become health refugees or to pay NOK 228 000 per month of their own pocket in order to receive proper health care in Norway?
ParlaMint-NO_2021-11-17.ana.ud541e270	First, I would like to say that I am not pushing the bureaucracy in front of me. I'm dealing with the laws the Stortinget has passed. I think that's a good tip for any government council. The system of new methods has now been evaluated. Tomorrow we will have a report, and I would like to invite both the representative Listhaug and others to participate in a public debate on it. It's challenging to have to finance new drugs. I think we need to work with other countries to get the best possible purchase agreement on behalf of Norwegian patients and also set some standards towards an industry that pays very well. We all want to help seriously ill patients, but we need a system that guarantees justice and priority. It's the only way to run a cooperative public health service. That's the way it was under the previous government, but I'm very happy that we're now getting a good debate on the system New methods, because that's what we want to develop.
ParlaMint-NO_2021-11-17.ana.ud541e279	Seher Aydar - for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e284	I would like to follow up on the question of access to healthcare. There are several health care costs that are not covered by the free card. There may be costs of bandages, stunning equipment, etc. In addition, the teeth are still not treated as part of the body. Now the government is increasing self-interest and doing nothing with dental care. When we know that differences are increasing in our society, that very many people have poor advice — it can be disability, minimum pensioners or single mothers who have poor advice — the Council of State believes that the government's action in the field of health policy, both of what is done, such as the use of drugs. increase self-employment and non-participation, e.g. with dental care, contribute to the access of more people to our healthcare?
ParlaMint-NO_2021-11-17.ana.ud541e293	This government has put forward an additional proposition, and that is limited on what we get changed in the budget of the Solberg government. I have to say I was surprised when I saw the Solberg government produce such a sharp increase in the excess. Last year, the Solberg government tried the same thing. It was turned back in cash by Stortinget. Now there are negotiations on the budget here in the house, and I send a greeting to those who are negotiating. When it comes to dental health, I also want to tell the representative that it's not like we're doing nothing. There is also a reinforcement in the Hurdal platform. This government wants a gradual expansion of public dentistry, with the aim of making it more equal to other services. We will first focus on those who have special needs, and then go after the age trends to expand the public service.
ParlaMint-NO_2021-11-17.ana.ud541e300	Seher Aydar - for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e305	I also want to send a greeting to those who are negotiators, and hope that they can change as much as possible on what the government has delivered right now in health, to make it more accessible to people no matter what kind of economy they have. That's right, what the council says about dental reform in the Hurdal platform, but my point is that there's nothing in the draft budget. There's nothing going on – not a start, not a small step, not a hint that we're going to try to equate all of our health services, and here we're going to, for example. start with those who can't afford the worst, or those who have the biggest expenses. Why doesn't it do anything?
ParlaMint-NO_2021-11-17.ana.ud541e310	The supplementary proposal is an adjustment to the budget of the previous government, unfortunately. There has been no room to make big changes. We have prioritised mental health and capacity in hospitals, which are in a very stressful situation as a result of increased hospitalisations now due to both covid-19 and other respiratory infections, in order to allow them both to prioritize mental health and to re-enter patients’ treatment from the pandemic. We've also prioritised the tenets. The reason why we've made a priority is because we've had limited possibilities in an additional proposition. We have considered this to be the most important thing, the most urgent thing, and then the Hurdal platform has binding formulations to step up its efforts for more public dentistry.
ParlaMint-NO_2021-11-17.ana.ud541e315	Marian Hussein – for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e320	I'm actually a little shocked at the answer given by the Council of State, because it's the way the Big Government has presented the last additional proposal, and when the Council of State responds by sending a greeting to those who negotiate, it shows that the Council of State really wants to reduce the self-interest from the Solberg government. Here's a tactical or political game that goes at the expense of people who have bad advice, and those who are currently sitting and worried about how much they can buy in Christmas presents, versus what they have to save to pay for health expenses to next year. I think this is really quite alarming, because it's about life and health for a lot of people. Yes, we may disagree on politics, but using self-interest to force SV to negotiate what the council itself wants, I think it is very shocking to listen to.
ParlaMint-NO_2021-11-17.ana.ud541e327	I feel that this is going to put things a little bit on my head, because in this room there was neither last year nor this year a large majority to increase the proportions of disease, as I have seen from that party so far said about its priorities. It is the Solberg Government that has put forward proposals, contrary to the budgetary agreement they made with the Progress Party last year. We have priority – we do not play political games. We've prioritised 700 million. kr to strengthen the hospital budget. We've prioritised 100 million. kr to the fixed medical system, which is urgent. We have prioritised a recruitment package to train more specialist nurses, which calls for our services. We have also prioritised low-threshold mental health services for children and young people. Policies are priorities. An additional proposition is limited, and we believe that this was what was most urgent now.
ParlaMint-NO_2021-11-17.ana.ud541e334	Marian Hussain – for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e340	At the same time, the additional proposals of the Council of State and the Government show that priority is not given to the disadvantaged or poorly advised, when it comes to both taking away the inadequate ability to make extra money and at the same time not doing anything about self-interest. It seems that this government has also not prioritised doing anything with the increasing differences and giving a helping hand to the people who need it the most in society. Once again, I hope that the Council of State in next year's budget will come up with a proposal in the area of the Minister of Health that does not increase the differences in society and where our classed health services end up.
ParlaMint-NO_2021-11-17.ana.ud541e347	I would like to remind the representative that one should speak through the President.
ParlaMint-NO_2021-11-17.ana.ud541e352	I think I just have to repeat: the supplementary proposition is an adjustment of the Solberg government's budget. I fully agree with the representative – next year's budget will be the government's budget. It's a process we've already started. Health policy should not contribute to increasing differences. It should help the opposite, that it is not who you are, or where you come from, that determines how long you can live and how well you can take care of your health. That'll be our priorities. That's where the Hurdal platform is headed. That's where we put our common health care. There, we want to strengthen the mental part of health care. There we want to ensure that we have a fixed medical system that is stable and provides good medical coverage throughout the country, and we want to invest in children and young people through broad public health measures. There's a process I'm looking forward to. It's a budget I want to be more proud of. What we've been able to do in the supplementary proposition is priority.
ParlaMint-NO_2021-11-17.ana.ud541e359	Kristoffer Robin Haug – for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e364	The Council of State highlighted the importance and importance of providing adequate beds within psychiatry and ensuring that these are in good treatment institutions. It is a very good assessment that we in the Greens fully support. Here we see a great opportunity today. There are many of the country's special hospitals for psychiatric disorders that have been proposed today, throughout the country. In other words, we are at risk of losing very many very good treatment places and beds in psychiatry, and it will be very challenging to replace these with equally good treatment places in the somatic hospitals. It is not well enough to determine to what extent it will actually work in practice, and this change will be irreversible. You'll never be able to get back the specialised hospitals. My question is, does the Council of State see here an opportunity to preserve these good treatment institutions and treatment sites?
ParlaMint-NO_2021-11-17.ana.ud541e371	I do not know if I fully recognize the description that there are major plans to lay down many specialist hospitals. Where there are structural changes in the country, we know that. It's here in Oslo, it's in the Inland – there they are in the precinct, there's no decision on which way they want to go yet – and beyond that, we have the hospitals we have. And so is it that here we have ideal actors, especially in mental health and drug abuse, who we want to develop with a different kind of connection to public health than our predecessors. On our watch, the reduction of daily seats will not continue. We want an escalation throughout the field, from low-threshold mental health in the municipalities to those who need long-term daily treatment. We're going to come back to this, but we're going to point out the additional proposition, where we're strengthening basic funding in hospitals, so that you can give a priority to mental health protection.
ParlaMint-NO_2021-11-17.ana.ud541e378	Let's go to the next main question.
ParlaMint-NO_2021-11-17.ana.ud541e383	My question goes to the Minister for Climate and Environment. During the interview of the historic climate summit in Glasgow, the government presented its additional proposal to the State budget. They were able to weaken an already too weak climate policy. Even the Minister for Climate and Environment had to admit that emissions are getting higher with the Workers' Party and the Central Party's draft budget than the right-wing government's proposals. It would have been tempting to ask the Council of State how you could do it every day, but I will not. I know the Minister for Climate and Environment as a person who is eager to get started with the emissions cuts. Therefore, I would like to receive an answer as to what he intends to do to correct this fade at the beginning of the government period. What will the Minister for Climate and Environment do to ensure more measures that quickly cut emissions and actually strengthen climate policy next year and years after that? The Minister must agree that it is a terrible response to the Glasgow Summit to start with a weakening of a far too bad climate policy.
ParlaMint-NO_2021-11-17.ana.ud541e390	I thank the representative Haltbrecken for a good and important question. First, I would like to make it very clear that the emission cuts will be significantly larger in 2022 than they were in 2021, because we're increasing the CO 2 tax by 28 pst, and that will have an impact in large parts of the economy. So it is true that, compared with the budget that was presented, we have made an adjustment to the user charge that mitigates the impact of the CO 2 tax on petrol and diesel. We've been honest that that's the way it is. If you compare with what's presented, it's a little weaker. If you compare with what's been practiced, it's a significant improvement. What is absolutely true is that Norway has too weak a climate policy to achieve the goals we have. That's why we're going to go through each sector to look for all sorts of emission cuts. We are going to introduce a tight governance instrument, which we call climate-emission budget or carbon budget, where we are going to set targets for how much emissions we can allow ourselves year after year. It will be a falling path. In all future budget deposits, we must govern within the falling path of what we can allow to discharge. This will mean that all sectors in Norway, transport, industry, construction, fish, agriculture — any social sector — will have to find the cuts that are possible in order to stay within that framework. What we need now is a governance instrument that makes you not only look for simple steps here and there, but completely systematically provides for a structural change in the Norwegian economy, so that we get into a much faster economy that is renewable, sustainable and circular. There is no doubt that we are far behind there, and I fully share that concern with the representative Haltbrecken.
ParlaMint-NO_2021-11-17.ana.ud541e403	The Glasgow Climate Pact, which was adopted at the climate summit, encourages world governments to end the inefficient fossil energy subsidies. Inefficient subsidies are subsidies that would have given greater value creation if they were used for something other than stimulating more fossil production or use of fossil energy. Unfortunately, the oil tax package adopted last autumn by the majority of the population is an excellent example of such inefficient subsidies. Then my question is: will the government follow the Glasgow climate agreement and end all inefficient fossil subsidies? And if not, why not follow such an important agreement?
ParlaMint-NO_2021-11-17.ana.ud541e408	We were actually contributors to that decision. We would even like to remove the word 'inefficient', because we believe that all fossil subsidies should be eliminated. I believe we have a plan for that, because when the oil tax package was adopted last year, it was also adopted. It was limited in time. Then I want to pay tribute to the previous government at one point, and it was that they proposed a change in the oil tax agenda we are going to have after the oil tax package, to a real neutral system. We've supported that. When we get it in place, I believe that there is no basis for saying that we have neither effective nor inefficient oil subsidies. I believe that with the implementation of that policy, we are in line with what was adopted in Glasgow. I would like to mention that this has also been relevant in terms of the aid budget and the conversion of former oil for development into energy for development.
ParlaMint-NO_2021-11-17.ana.ud541e414	Follow-up questions will be given the opportunity – first Lars Haltbrecken.
ParlaMint-NO_2021-11-17.ana.ud541e419	The council says it's a time-limited oil tax package. That's in itself right, but that time limit is of a fairly long nature. It is expected that there will be 58 applications related to new oil and gas expansions as a result of this oil tax package. One of the major projects, the Oscar Wisting field far north of the Barents Sea, which was too unprofitable for Equinor before the oil tax package came, was made artificially profitable by the oil tax package. So we are in danger of using inefficient subsidies for quite many years to come in the field of oil and gas development. My question remains whether the government will ensure compliance with the Glasgow climate agreement, ensure that the inefficient subsidies are closed, so that we do not continue with subsidies and fossil energy for many years to come.
ParlaMint-NO_2021-11-17.ana.ud541e424	The expiry date of the exceptional oil tax package is 2022. Then it is true that the projects will last longer than that – of course the representative Haltbrecken is right in – but by the fact that it has already been adopted when it was adopted, I believe that we are phased out any scheme that could be considered unreasonable stimulation. That decision in Glasgow doesn't have a date either. It was not specified from when, so you must have it as a policy direction. I believe that we will be satisfied by the fact that we are going to have a neutral oil tax system after the extraordinary oil tax package from the Koron era is dissolved.
ParlaMint-NO_2021-11-17.ana.ud541e429	Frank Edvard Sve – for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e434	Now that Norway has, after saying, been sitting and seeing that China and India at the climate summit are only going to continue with their huge coal power stations and their impurities, how can it be possible to throw away environmentally friendly Norwegian hydropower on poor and expensive symbolism policies, such as the electrification of the base actually is? Can the Council explain the environmental impact of electrifying the socket, sending the gas to Europe, creating power from it there, then sending the power back to Norway?
ParlaMint-NO_2021-11-17.ana.ud541e439	It is beyond doubt that electrification of the base will reduce emissions, because it replaces gas-produced power on the base. It can't be discussed, I think, that as long as you replace something that's produced with gas with something that's produced with electricity, the emissions go down. If that were the case, the use of gas in Europe was unlimited, you could ask questions about it. But now Europe itself has decided to tighten up the quota price, to tighten the quota availability, and to phase down the use of natural gas, and in that picture electrification will actually contribute. It is true that there is a large and demanding response, but that it has a climate effect, there is little doubt about it. It will help both to reduce Norwegian emissions and to reduce global emissions, such as in any other case replacing fossil energy production with renewables.
ParlaMint-NO_2021-11-17.ana.ud541e444	Frank Edvard Sve – for follow-up questions.
ParlaMint-NO_2021-11-17.ana.ud541e449	What the Norwegian people don't understand is that burnt gas is burned gas, and what climate effect you can get when sending pure Norwegian hydropower onto the socket, then sending the gas to Europe, which is then burned in Europe. If the gas is burned in Europe or Norway, the Norwegian people do not understand the difference. So I didn't think there was any answer to how one can get an environmental effect of burning the gas in Europe instead of burning it in Norway, and replacing it with Norwegian pure water power is at least very few who understand. So what's the environmental effect?
ParlaMint-NO_2021-11-17.ana.ud541e454	It is difficult to imagine any individual measure in Norway that has a greater environmental impact. About 28 pst. Norwegian emissions come from the socket, and very much of it will be reduced by electrifying the socket. And then Europe, which for all practical purposes is our only gas market – 98–99 pst. of all gases goes to Europe — with their own decarbonisation. They shall reduce the use of gas as soon as they can, but the truth is that it is not possible to do overnight, it is a long canvas to bleach. Gas is used in both power generation and e.g. in private homes, in industry and in a number of other contexts. So when we see the two measures in context, that is, what Europe is doing to reduce its dependence on gas in the long term, and what Norway is doing to reduce emissions in both oil and gas production is undoubtedly having an impact on the climate. And if the Norwegian people don't get it, we're going to get better at explaining it.
ParlaMint-NO_2021-11-17.ana.ud541e459	Kristoffer Robin Haug – to the next follow-up question.
ParlaMint-NO_2021-11-17.ana.ud541e464	What is certain after the Glasgow Summit is that there is an urgent need to take concrete action. That's why I'm going to be very specific on my question. The clay rail system is a large emission source in Oslo with annual emissions of more than 400000 tonnes of CO 2. Catching emissions through CCS will cut Oslo CO 2 emissions by around 14 pst. in the year, i.e. 1,3 million tonnes between 2021 and 2030. The government has previously promised to support the project if it received external funding, but on 16 November the EU rejected it and one of Norway’s main emissions reduction projects, while at the same time building new green industries, is at risk. In the light of the rejection of the application to the EU Innovation Fund, I ask: How will the government now ensure the financing and implementation of CO 2 capture at the combustion plant at Klemetsrud in Oslo?
ParlaMint-NO_2021-11-17.ana.ud541e483	I share the 100 percent Haug's commitment to the Klemetsrüdplant. It's almost impossible to imagine that we're going to reach the world's or Norway's or to the extent that the capital of Oslo's climate goals without carbon capture and storage, so we just have to succeed in that. Until yesterday we were waiting for the answer from the EU Innovation Fund. It is a pity that the Klemetsrüd plant was not supported. It would have been useful, obviously because of the contribution, but also to link it even closer to European processes. Now we have to think about what we're doing. I have already been in contact with both the Minister of Oil and Energy and other members of my government on what we are now going to do, and we are going to get back to that in an appropriate way. There are quite considerable budgetary implications. I don't have the answer to it clearly, but at least I can say that we are very aware of the need for CCS, carbon capture and storage, and not least waste management, because even in a future circular economy, it is something that needs to be burned, and we must have carbon capture at the end.
ParlaMint-NO_2021-11-17.ana.ud541e490	Let's move on to the next main question.
ParlaMint-NO_2021-11-17.ana.ud541e495	It's wise for the state councils to stay standing. Climate action has now been taking place in Glasgow, and one of the really new elements is that countries are going to come back to the next year with higher ambitions, more plans and more measures to be taken. And that applies to all countries. We have our climate targets, and they are very closely linked to the EU's climate targets. However, the government platform does not really say anything about how the government is dealing with the EU, which is now strengthening its objectives through its Fit for 55 with new goals that will also affect Norway, among others. that we will have a measure of the non-quota sector likely up to 50 pst. I assume that the EU will now review its objectives to see if they will also reinvigorate towards the next COP, in Egypt to the next year. So my question is: will the Council of State guarantee that Norway will join the whole package of the EU for Fit for 55, with their reinforcement, and will the Council of State work to strengthen its objectives, and that we also join them?
