ParlaMint-NO_2021-12-08.ana.ud311e28	The representative, Mr Kristjánsson, will present a proposal for a representative.
ParlaMint-NO_2021-12-08.ana.ud311e154	11 B.C.E. The estimate for Energy Norway is the state's share of increased dividends, rent taxes and VAT as a result of the sky-high electricity prices. Today we're told that the government spends $500 million. kr to increase housing and social assistance to help people pay electricity bills. At the same time, there's a bunch of people with normal and low incomes who don't get anything. Therefore, I wonder if the Prime Minister can guarantee that the package that comes meets everyone who needs help with the power bill, and that it comes before Christmas. I also wonder if it will be the size of the increased income that the state receives because it milks Norwegian households at a time of sky-high electricity prices.
ParlaMint-NO_2021-12-08.ana.ud311e159	It is such that the country's income from electricity goes up and down over the years. In 2020, when electricity prices were low, the government had low revenues. Now they're very tall. Now they're extraordinarily high, and therefore the government will do what it does. Yes – I have to be allowed to say that – it's going to hit a bunch of people. We believe that it should meet all those who are current customers today because everyone is affected. Then there'll be a goal in addition to the arrangements I've now outlined, and it's left to say that the cost of housing support and students, which is several hundred million dollars, is one part of this, but the bet we're talking about now is a billion bet, that is, several billion dollars. It's not ear to ear to the income of the state, they're going to go up and down, but it's going to be a powerful package that hits into the everyday life of the power customers, so we're going to help those who are the hardest hit – that's what the Storting has decided – but we also want to help out wider than that.
ParlaMint-NO_2021-12-08.ana.ud311e166	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2021-12-08.ana.ud311e171	Now the prime minister goes very far in saying that a solution is just around the corner. Then it's tempting to say that it's taken a long time, but it would actually be an unfair criticism, because the government has already come up with a number of different schemes that have cost a terrible amount of money. One has already used 3 billion. kr on an unfocused flat cut on the electricity charge, which hardly anyone will notice. And then you have an output of 2.3 billion. kr in exchange from Statkraft and not spent it on this at all, but on completely different things, simply to start new, expensive universal welfare schemes. Had rather spent the money on supporting all households that consume less than 1.2 million. NOK, each of them could get NOK 4500. It would be a highlight. But we have to take the positive here, and it's that one goes a long way in saying that a system is on its way, and that, as far as I understand the prime minister, she's going to meet broad teams that actually have the challenges of paying, not least the many who are now getting the permit notice in a tough time before Christmas. So the question is simple: can the Prime Minister now guarantee that people get back the security they now need before Christmas?
ParlaMint-NO_2021-12-08.ana.ud311e178	People get safe before Christmas. The hope is that those who receive housing support can get money before Christmas. What about the students and payments – now the higher minister of research and education is sitting here: it also comes quickly. The security before Christmas in view of the arrangement I am sketching will come. Then you have the security of what lies ahead. But I want to say one thing: we have also made a government budget for ordinary people, which means that people get more of the tax if you have ordinary and lower incomes – unlike the government that Rotevatn put in. People will learn that some important welfare services, including: children's home and SFO are becoming more reasonable. So it's also part of the total economy of people: a budget that's designed to remedy it -- in addition to the arrangements we've made over the fall. Lower electricity charges in January, February and March and twice the amount of the housing allowance – all these things need to be seen in the context. And then there's a broad system that's now being developed for the first time, that's going to hit the power customers in a way that relieves this exceptionally difficult situation.
ParlaMint-NO_2021-12-08.ana.ud311e185	Let's move on to the next main question.
ParlaMint-NO_2021-12-08.ana.ud311e191	The country is in the midst of a power crisis and a coronary crisis. We have a totally debilitated government – in a crisis that has major consequences for both households and business. The top of the tap bag was when we saw that the oil and energy minister went to the United States to talk about sea wind in the middle of the situation we're in. It was so unmusical that it was hard to understand that it would work. I am pleased that the Minister of Oil and Energy has returned, but this is a situation that has been solved throughout the autumn. A supplement to the State budget was presented with a few ears in tax cuts, which do not solve the crisis. One spent weeks negotiating with the Socialist Left Party and came out with nothing or nothing to solve the crisis. The Party of Progress has tried throughout the harvest to assist in the adoption of measures. We have proposed to remove VAT and electricity charges for the current year and next year, but we were voted down. We have proposed paying 4000 kroner to all households, just to get rid of the red tape that takes time to pay out the money, but we were voted down. Our point was to get the money out before Christmas. We have proposed to deal urgently with proposals to take control of the foreign tables, but have been downgraded. Now we have another proposal for a solution: the concessions to Statnett for the new foreign tables of Germany and the United Kingdom have a §12. «The Ministry of Oil and Energy reserves the right to modify the terms of the concession during the concession period if the general interest so requires.» Will the government get out of action and take control of the export of electricity, which we have the opportunity to do, and ensure that Norwegian electricity customers do not pay the price of a faulty and totally irresponsible climate policy in Europe?
ParlaMint-NO_2021-12-08.ana.ud311e205	I note that all the proposals of the Advance Party have been voted down. It happens here in this room, so I don't want to comment on it any more, I just want to repeat that it's wrong, the picture the representative gives of that we've been passive to a power crisis. So we went into increased housing support, one of the first things was extraordinary payments to housing beneficiaries. We cut the electricity charge in January, February and March, overall – there is a reduction of 50 pst. Then we suggest increasing housing support in December and through winter to help those who need it the most. I'm going to give you 100 million. more to the municipalities in order to facilitate increased social assistance. We'll give NOK 3000 extra in loans and scholarships to students with electricity costs. We call the power companies to look at the possible suspension of payment, that is to distribute bills over the year, and there will be a new powerful package for households. So let me just put it very clearly in place. Norway's energy exchange with the countries around us has served us well. It has given us certainty – that at times when we have had dry years and low coverage in the magazines, we have been able to exchange. It's an advanced system that can give us the opportunity to import force at night and export by day. This is a system Norway is connected to, and has served us very well. Now there is an extraordinary situation that is not about lack of electricity, but that it is a price situation that affects the whole of Europe linked to a major energy change taking place in Europe. There is nothing Norway can skip, and Norway should not skip. This connection gives us security – that we have links to Sweden, Russia, Denmark and European countries. It is safe for Norway. But when the extraordinary situation arises, we also put in extraordinary measures to relieve the power customers in such a way that they get through a heavy winter, and don't get so high expenses that it really goes on health and the economy loose.
ParlaMint-NO_2021-12-08.ana.ud311e214	Many analysts say that this is a crisis that can persist for many years, and I notice that you have not intended to take control of the cables. But for many, this power crisis is dramatic. I get e-mails from the desperate people who sit at home in 12-14 degrees. They're sitting with plaster, they're putting dunes and carpets in the windows to keep the cold out. Students sit on the home exam with bubble jacket and thick jerseys. Linda can't afford to celebrate Christmas, bake cake – she's turned off refrigerators and freezers. There are desperate mothers who are afraid that they can't afford to pay Christmas gifts and buy Christmas food for the family. Power prices are destroying the economy to many families and lonely in Norway. The government has now had all the autumn, and so what we've been getting so far is increased housing support – which goes to less than 100,000 of the country's 2.5 million households – and loans and scholarships to students. Would the Prime Minister apologize to all those who are now freezing and desperate because the government has not come with any help this fall?
ParlaMint-NO_2021-12-08.ana.ud311e221	I want to tell them – and I get the same e-mails, perhaps some of the same as the representative Listhaug and many others – that the situation makes a deep impression on me and on the government. It's taking us up, so we're working on finding the system that can hit power customers wide. That's why I can only repeat: there's a system that's going to rescue the power customers; the extraordinary situation that has now arisen with these prices, which gives the state income, makes it possible to give a handshake back to the power customers. It will relieve the situation; it will not solve the 100 pst. for all, but it will give a substantial handshake to families. I don't want to talk down the housing support, which is important for particularly vulnerable groups, nor talk down the support for the students, but they're power customers, and they're going to get this handshake, which is going to be effective and give them security against Christmas and payments right over New Year's.
ParlaMint-NO_2021-12-08.ana.ud311e228	There will be follow-up questions - Sylvi Listhaug.
ParlaMint-NO_2021-12-08.ana.ud311e233	It's not just the households this is dramatic for. Businessmen are also hit hard. Riis Gartnery at Kjeller produces 1 million flowerpots per year. They've soon been through two years of corona, lack of labour, and now they're experiencing a power crisis at the top of this. Tove writes to me that she is unwell by the concerns. Her energy costs could increase by 2 million. kr; she has budgeted 900000 kroner. And as if this is not enough, the Arbeiderparti-Centre-Registration also sends an extra bill to Tove and other gardeners: 270 000 kroner is for her annual CO 2 tax. This is an industry that is totally dependent on CO 2 to grow and increase crops. Why does the government put its feet under this kind of industry, and will the government come up with measures aimed at industries that are hard hit by the power crisis as well?
ParlaMint-NO_2021-12-08.ana.ud311e246	Over time, it has been an advantage for Norwegian industry and industry that we have consistently had lower energy prices than the countries around us. We have secure access to renewable energy, we have a power situation that allows our business both to expand and to do so with low emissions. We want to go back there. An important part of the current crisis must also be to look at how we can increase the production of renewable energy in Norway. We have the opportunity to do that. It is not possible to follow the recipe of the representative, Mr Listhaug, who does not want wind from land, does not want wind from the sea. Then this doesn't go up. We must have a policy that provides us with more power in orderly forms from land, and a large-scale effort on sea winds. We also have to look at how we can make more use of our hydropower. Then, over time, we can secure our business life, so that they are sure to have access to renewable energy. This is a crisis that hits Europe now. We have measures we have to take now, we want an energy commission that looks through this completely, so that we can achieve more renewable power in the coming years.
ParlaMint-NO_2021-12-08.ana.ud311e251	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2021-12-08.ana.ud311e256	The advance party is against wind power on land because it rages Norwegian nature, unless the majority of the population in the referendum say yes to it. The Progress Party has also made proposals to develop more hydropower, not least to look at sheltered watercourses and how they can be exploited. The Progress Party used the first weeks we were in the government to remove the inheritance fee, or the ‘tax on death’. The working party and the Centerpartie have spent their time increasing fuel taxes – petrol and diesel are already high prices – increasing car taxes, increasing the proportion of sick people by 600 million. kr. This comes at the top of record electricity prices that the government does not handle, increased food prices and the increasing interest rate we have in the country. The economy of the people most is being attacked by all teams, and the state treasury is being filled in: 30 billion. kr only on electricity. Was it this Workers' Party and the Center Party that meant in the election campaign – do ordinary people have their turn to pay record high taxes and taxes into the state treasury?
ParlaMint-NO_2021-12-08.ana.ud311e263	I have a completely different reading of the situation for ordinary people. Thus, two out of three receive equal or lower taxes and lower taxes compared to the time spent by the government representative Listhaug. There will be increased appropriations for hospitals; there will be increased appropriations for the municipalities, which will ensure the well-being of people near where they live. We stop the privatisation in health care, which means that you need to have a good economy to ensure you have safe health care. Now they get the tax cuts with lower and medium incomes. We who are over have to pay something more. That's fair. This makes Norway more productive, more participatory, providing opportunities for more people to live a life where they also control their own economy. When we're so concerned about having a proper measure on the current, it's to follow up the decision here in the Storting last week. We're going to hit those that are hit hardest, but there are many; there are households around Norway that now have high electricity costs. We're going to reach them with a good order. It's a different recipe than the Progress Party – I can sign it on – but it's going to be accurate, and it's going to give people security.
ParlaMint-NO_2021-12-08.ana.ud311e270	Roy Steffensen – for follow-up questions.
ParlaMint-NO_2021-12-08.ana.ud311e276	The representative of Listhaug mentioned the US trip to the Minister for Oil and Energy. I'm going to follow it a little bit, because the Minister of Industry also went to the United States. So it's in a situation where we have record power prices and people are worried about whether they can pay their bills. At the same time as business and especially the food industry experience a race of cancellations, both the Minister for Oil and Energy and the Minister for Industry choose to travel to the United States instead of managing crises here at home. The new government has wavered in the management of these crises from day one. So I have to ask, were the trips to the United States something that the prime minister asked the state councils to do, or was it that the journeys were interrupted, something the prime minister asked them to do? Or is this something they've come up with on their own? In any case, I would very much like an assessment by the Prime Minister of whether it was wise for the Councils to go to the United States while they should be here and run crisis management instead.
ParlaMint-NO_2021-12-08.ana.ud311e283	Yeah, I asked them to leave. I would do it again. They are out there representing Norway, promoting our trade interests, our long-term political interests and trade interests in securing the country both incomes, jobs and well-being. Yes, I asked them to come back when we saw the consequences of the omicron variant and the need for tightening that hit parts of the business. The oil and energy minister also came back because of the infection situation, which meant that it was necessary to have political leadership back in the Oil and Energy Department. But it's not that when a Council of State is travelling, the work of the Council of State is not done. The phone is working, the departments are working, the government is working, and we've been working on high gear with the system that's now coming with power, with the Minister of Oil and Energy at the head. It is she who has the front and developed, with the support of the members of the government. If we're going to say that we're going to have every man at home when there's a difficult situation, I don't think we're caring for Norwegian interests, with such an extroverted country as we are. We can totally handle it this way.
ParlaMint-NO_2021-12-08.ana.ud311e292	Roy Steffensen – for follow-up questions.
ParlaMint-NO_2021-12-08.ana.ud311e297	Despite the fact that the phones are working, they have at least chosen to come back. That's good. From NTB we can read that the Minister of Industry will meet the social partners to discuss new measures for those affected by the Prime Minister at the press conference yesterday. Last November, Støre said: ‘But it surprises me that the government has not prepared a clearer arrangement when they go out with new tightening...’ About the same time, the current Minister of Finance, Slagsvold Vedum, said: ‘We need a crisis plan, not clumsy crisis packages.’ Now it looks as if the government has not prepared a clearer arrangement, and that they are also working with patchy crisis packages in front of a crisis plan. The Progress Party expects that some of these now being discussed in these cluster crisis packages are measures that do not shut down business, but rather help to keep the wheels going. We have to do everything in our power to avoid bankruptcies and redundancies, and the Progress Party hopes that we can find out if the pay support scheme is something that is now on the table.
ParlaMint-NO_2021-12-08.ana.ud311e314	I have a completely different experience of what has been played out now. We have taken intervention to reduce the infection. We haven't shut down. There is due emphasis on the absence of closure, but contact mitigation measures. So it's still possible to have activities throughout the economy. We were concerned that when such measures are taken, there must be compensatory measures for people and for business. I respect the fact that the former Minister of Finance needed time to develop a compensation scheme for business. Our criticism last autumn was that there were different compensation schemes, and when the need came back, one did not have one up and stand up. We use the one that was closed in the harvest, and we put it into effect immediately, in November and December. Now we know that there's a system there, you know it -- some adjustments in the rates, and then it's there. We've reactivated the cultural system. We have reactivated and strengthened the support that goes through the municipalities. And the Minister of Industry is going to have conversations with the parties about the arrangement of it. Whether wage subsidies can become an element of the arrangements, we have dialogue with the parties about. But there are arrangements in place to protect both businesses and people.
ParlaMint-NO_2021-12-08.ana.ud311e323	Lars Haltbrecken – for follow-up questions.
ParlaMint-NO_2021-12-08.ana.ud311e328	Explosive power prices worry a lot. On 1 January, the government came up with a new network lease that could come at the top of the exploding power prices. The proposed scheme could be an extra cost for many and also an obstacle to investing in energy efficiency and self-production of electricity. The system creates uncertainty, and we don't know exactly how it will affect individuals. This is something that we in SV believe you have to wait to introduce until you have a better overview of the consequences of it, and a better arrangement on that system. My question to the Prime Minister is whether he will take care to suspend the new network lease system and provide a better system, and not give people a new power shock in January.
ParlaMint-NO_2021-12-08.ana.ud311e333	We don't intend to postpone that arrangement. We believe that there is a system that can encourage you to use electricity over the clock in a way that can also work for energy savings. It is important that the measures we now take, where we relieve people of the cost, and there is, as I said, a powerful package, continue to maintain people's will and ability to use electricity over the course of the day in a way that takes advantage of the times when prices are low. We haven't considered postponing it. We believe that it is a system that can come into force from January.
ParlaMint-NO_2021-12-08.ana.ud311e338	Sofie Marhaug – for follow-up questions.
ParlaMint-NO_2021-12-08.ana.ud311e343	I am returning to this broad package that comes, because from 1 January there will also be a separate package. There will be an increase in the rental network as the large electricity company Elvia says will be so large that it will zero the cut-outs in the electricity charge. There's a running-time charge on electricity, which the asker before I just referred to, and the capacity of the North Sea Link will double. The locks to the European electricity market will be opened. Therefore, I wonder if the Prime Minister can guarantee that the broad package that is coming will not be destroyed by the other crap package that comes to ordinary people from 1 January – in the form of a rush-time charge on electricity, increased network rental and increased exports?
ParlaMint-NO_2021-12-08.ana.ud311e350	The President will propose that we avoid the word 'third'.
ParlaMint-NO_2021-12-08.ana.ud311e356	Then I won't repeat it. The system should make it less burdensome and more manageable to have the high current bills we have now. It's going to make it better for households to deal with the situation that in Norway we're essentially firing our houses with electricity, and that ordinary households are going to get relief in the situation that's now with the high electricity costs. It is difficult today to say what the consequences are on the prices of one and the other foreign connections. No new cables shall be built during this period; this government has decided. We're going to have official control over the cables we have abroad. We're tied up with the countries around us; it's wise for Norway over time. Then we're going to make sure that the power customers come out of this extraordinary situation with a handshake from the community that makes it a better economy in their everyday lives.
ParlaMint-NO_2021-12-08.ana.ud311e363	Let's go to the next main question.
ParlaMint-NO_2021-12-08.ana.ud311e368	It was a heavy night yesterday when new invasive measures were introduced. I think the government got some funny criticism from the civilians yesterday about this with infection protection. There was too much game and criticism for the sake of criticism and shadows also for what we believe there is reason to ask the government some critical questions, namely the arrangement for financial support measures. Now a compensation scheme is reintroduced that is a very good reason to look critically at. The pandemic became a disparity crisis during the last government because a policy was pursued that gave too much money to them at the top of the Norwegian community, at the same time as it went well for many of them, while workers paid the price of the crisis. What many have pointed out is that the compensation scheme just ended up allocating too much to the large and the rich, as well as having some other demanding aspects, namely that it actually distributes aid to enterprises that are then restricting their activity. This is why, among other things: The LO has been very clear that they preferred a pay-as-you-go scheme, a scheme that pays instead to keep people working. Now the ghost of unemployment is back for many, not least our hotel and restaurant workers, who have had an incredible number of tough rounds through the pandemic, and who are now again afraid of their jobs. Then our question is: why not, as the trade union movement has asked, wage support instead of compensation scheme – or at least in addition to compensation scheme?
ParlaMint-NO_2021-12-08.ana.ud311e375	I agree that the compensation schemes as they were got a rash that was not lucky. I think SV and the Workers' Party agreed that, for example. the requirement not to have dividends, high bonuses, high wage increases, etc. should enter into the agreement with the beneficiaries. It was voted down here in Stortinget. What we've been busy about now is having a system that comes into force quickly. Last week we had not imagined that we should have national intervention measures. It is the omicron variant that has given us an image that requires these measures now – that is what, according to Bjørn Guldvog, is a game changer in this situation. Then it was right to resort to the system that is there, that comes up quickly and stands – it is known. There are changes in the case of trades, etc., which will make better sense in the situation we are today. Then I'm busy with the arrangements we have, and that we're now using, for example. for cultural life. Cultural life is among the most affected. There we have revived the guarantee scheme they have, which they can get for the next six months – it will last until the summer. Cultural life is concerned that, in addition, an element called incentive schemes should be considered. that you can have events – not with the full audience, but that you can still do. These are the types of recordings we now need to make, and the state councils in the various fields will have contact with their different sectors to listen to it, including in contact with the major organisations – Work, LO and NHO. Then we'll listen to their input into this with salary subsidies. Nor is it something that we can just put into a system overnight, so we need to have dialogue about and see how this can be done. But I fully agree with the representative Lysbakken that now that we have measures – we are hoping that these are measures that should not last too long – it is important to avoid people getting laid off and losing their jobs. We have also decided to extend the day-to-day pay legislation out of January, in order to provide safety for workers in the situation that has now arisen.
ParlaMint-NO_2021-12-08.ana.ud311e386	The last is good, both that and the arrangements for freelancers were something that was missing last night, but I then perceive that the government has told me that both parts should be continued. That's good. I think it is important to send a signal that, as long as the crisis lasts, the necessary measures will also be taken for them. It is good if the government engages in dialogue with the parties, but I would like the government to have a clearer positive attitude towards wage support and salary subsidies now, because it is possible to roll out a system for it quickly. It's not least a very strong wish for it from LO. Can the Prime Minister give a signal as to whether there is something that has been assessed or assessed by the government and which can be discussed in connection with the fact that the Storting must find solutions around the compensation scheme?
ParlaMint-NO_2021-12-08.ana.ud311e395	I absolutely believe that there is something we can discuss, and I know that as we meet here now, the Minister of Industry meets the parties. But my point is that when we decided on measures that, in total, make them important to some businesses, it was important to get schemes up quickly. Then we could not walk about something that had to be investigated and assessed, and that was not ready to be packed. But, as I said, in the various areas – whether it's public transport, culture, travel, outdoors, the restaurant industry or the rest of the world – we have active contact with the parties to listen them out. And then we'll see if it's quick to make changes that take care of some of their interests. I feel that at both LO and NHO there is a desire to twist the mechanisms towards maintaining competence. This is not a type of crisis where we're supposed to be afraid to lock up competences. Rather, there is a greater risk of loss of competence out of an industry that you hope to be able to get back into full-time business in a short time.
ParlaMint-NO_2021-12-08.ana.ud311e402	It opens for follow-up questions – Audun Lighthouse.
ParlaMint-NO_2021-12-08.ana.ud311e407	We think it would have been possible to roll out a salary subsidy scheme immediately, but it is good that the government will assess it. Once the government has made a proposal to reintroduce a variant of the compensation scheme, the question is where the important social requirements that SV and the Workers' Party together called for when we were in opposition. We know, for example. that, despite the fact that the right-hand government repeatedly assured that the dividend ban was irrelevant, because no one was going to make any dividends, it turned out that large sums were taken out in dividends – contrary to what the previous government said. For us – and this I think I have a lot of people around the country with me on, not least all those who have paid the highest price for the crisis through layoffs and unemployment – it is incredibly important that the Right's faults in crisis management are not copied. So why has the government not put forward in this round a proposal for a dividend ban in the compensation scheme?
ParlaMint-NO_2021-12-08.ana.ud311e414	It is because there is a system in place for measures to last four weeks. So it's the last couple of weeks of this year and the next two weeks of the new year. But it's clearly a theme we're going to come back to when we get over New Year, if it's worth extending the arrangements and making adjustments in them. Then we'll take it up and light it up too fully. Our attitudes are the same as they were then.
ParlaMint-NO_2021-12-08.ana.ud311e419	Let's move on to the next main question.
