ParlaMint-NO_2021-06-14.ana.ud492e551	The representative Per Espen Stoknes will present a proposal for a representative.
ParlaMint-NO_2021-06-14.ana.ud492e1273	I think we have to remind ourselves that we have doubled the budget for transport in the last eight years. There is more activity than ever in the transport sector — and large contracts and small contracts within the construction sector. I see that we have had a very high proportion of Norwegian deliveries over the eight years we have been doing, and we now see a trend based on the figures presented by the representative Myrli and to the extent that Veileck has presented. This may indicate that there is a turnaround towards the fact that some of these major contracts are now won by foreign contractors. I think we're all going to take that seriously. We shall ensure that best efforts are made to ensure that Norwegian suppliers – Norwegian suppliers – are able to benefit as much as possible from the efforts made in the transport sector. We have a variety of contracts in this sector, and they are both large and small contracts. Unfortunately, some projects are not possible to break up, but at the same time, I think we will continue to work to see how we can best facilitate the best possible success of Norwegian suppliers in the competition.
ParlaMint-NO_2021-06-14.ana.ud492e1282	We'll probably get back to that theme. I will ask the chairman of the committee another question. The national transport plan is, of course, the major issue for the Transport Committee during the four-year period and, as usual, the work of the Chairman of the Committee as rapporteur of the case. Now we are in the situation that for the first time since 2005, there is no majority in the Grand Duchy behind the National Transport Plan. My question to the chairman of the committee is: how does he assess that situation, and what will it be for NTP to say in the future that there is no majority behind the plan in Stortinget, and to what extent has it been interested and desirable from the government and government parties to have a majority with the Progress Party, which was the only possibility that really existed to have a majority behind the National Transport Plan? The chairperson of the Committee referred to the alternative of the Party to the Progress in its main contribution. But the question is, to what extent was it possible to obtain a majority behind the national transport plan?
ParlaMint-NO_2021-06-14.ana.ud492e1289	Now it is the case that the Progress Party must be allowed to speak in favour of its own proposal. Our assessment is to add 400 billion. kr at the top of the 1 200 billion. kr that the government has laid down, and which we base on in our work, is unrealistic and not feasible within the space of action we see in the years to come. Therefore, it was not possible for us to reach a common agreement in this round with the Progress Party, plus that we also have a disagreement relating to tolls and urban growth agreements and other things in the plan. Having said that, I feel that there is a fairly broad agreement overall to the main framework of the National Transport Plan of about 1,200 billion. kr. I feel that there is a broad support for the main priorities of the national transport plan. There is no great interest in picking projects out of the plan. So I think that plan also contributes to a good predictability in the years that come. At least we have an ambition to implement this if the election result in September gives us that opportunity.
ParlaMint-NO_2021-06-14.ana.ud492e1296	I hear the place boasts of New Veier. That's good. There we had a very good cooperation in government, and what we did with New Roads is historical, and if the opposition hasn't understood it yet, they'll probably understand it as they read history books in a few years' time. What we've also done with Nye Veier is that we've moved a little bit on limits. Originally, E6 was supposed to stop in a place called Ensby. Not so many have heard of it. We adjusted it up to Hafjell to increase the benefit of it, also in line with what New Veiger himself wanted. Now the government has proposed Biri-Hunndalen. The Hunndalen is probably not so many who have heard of it, but it is a little after Gjøvik. While business, especially at Raufoss and along Rv. 4 into Oslo, which produces values over 70 billion. kr, and Højres own local politicians all the way – really all along the whole rv. 4 – wants a complete expansion and a better expansion. Will the place be able to be with e.g. to support the proposal to move the border to the Year and not to Hunndalen, so that New Veger will be given responsibility until the Year, as they themselves wish? It's something that would definitely be a security for business along the way. 4th@item: inlistbox
ParlaMint-NO_2021-06-14.ana.ud492e1305	This national transport plan is built up in such a way that we only prioritise projects during the first six-year period. It's just to have a flexibility to continue working on projects within the 12-year period we're talking about. Riksveg 4 is a good example of a bottleneck for business, which we absolutely want to raise in the further planning work. It is important for us that we contribute to the overall planning of the further sections also on Rv. 4th@item: inlistbox At the same time, what we've put into New Vee's portfolio now is exactly the distance that the representative Johnsen refers to, and that's a natural continuation to connect the Mjøsby in a good way. I think that's a project that has good connection also in the region, and then it's natural for us to continue working on the planning work on the remaining part of Rv. 4th@item: inlistbox We see that it is natural to reconsider when we are going to roll the national transport plan, and then the planning work must be completed.
ParlaMint-NO_2021-06-14.ana.ud492e1312	A few months ago, the Minister of Finance presented the Right View message, and it appears that the economic space for action will be smaller in the years ahead. The government of Solberg's wasteland must end in order for something to happen again to future generations, and in recent years, the Right has formed budget pluralities along with the Advance Party. The representative of the place was in the post, and he was also interested in it when Sverre Myrli asked the question. But I could have thought of getting it a little bit more in clear order how the representative of the place simply assesses the realism of the Progress Party's proposal to spend $1,600 billion. kr on transport in the next few years, and whether that is why we are not now getting together behind a realistic national transport plan.
ParlaMint-NO_2021-06-14.ana.ud492e1320	First of all, I would like to say that I feel that there is a fairly broad connection to that envelope of 1200 billion. kr that the government has taken into account. I feel that it is a broad commitment to the main priorities of the national transport plan. So I don't think there's any reason why we're going to make more uncertainty about what's in the NTP than what's necessary, because the fact that there's such a broad connection to the framework level and to the main priorities, makes it a level of predictability. Then, together with the Progress Party, we have now for eight years delivered sixteen budgetary settlements, and we have also created a national transport plan together in the past. I am sure that we have a civil majority even after September, we will be able to do this in a good way within the responsible financial framework.
ParlaMint-NO_2021-06-14.ana.ud492e1325	The representative place is a tough defender for the ferry-free E39 to unimaginable sums, among other things. to send people on four-field roads under the sea – Mortar axis, Rogfast, etc. It has been shown that environmental arguments do not bite sinfully on the right side. So I want to angle the question a little differently to the representative Place: can the representative explain to me how his favorite argument on the common housing and labour market can be realised with a toll tariff of perhaps 800 kroner – for example. Rogfast tur-return? Does not the representative ask himself that question at all?
ParlaMint-NO_2021-06-14.ana.ud492e1332	I'm a little uncertain about where these toll tariffs come from, because I can't do that without further notice. But at least there is great local enthusiasm associated with these projects that the representative here refers to. Whether it is Rogfast, Hordfast or Møreaksen, there is a broad political majority behind these projects – precisely because they contribute to building the housing and labour market on the west coast. It's important. We have a high value creation potential that we can help to get out by building strong housing and labour markets in the whole country. This is extremely important from my perspective because building up the regions is one of the possibilities we have just to contribute to future value creation. What is one of the major challenges in some areas is just to attract the skills we need to develop the business we have. We'll have enough to live off in the future. I think that supporting value creation, growth and development is crucial in the future, even if we are to achieve our climate and environmental objectives and develop new technologies related to it.
ParlaMint-NO_2021-06-14.ana.ud492e1337	With that, the line change is over.
ParlaMint-NO_2021-06-14.ana.ud492e1342	The working party has set out some objectives for the work on the national transport plan. Firstly, the emissions from the transport sector are going down, so that we can meet our international climate commitments. We need to build stronger housing and work regions and strengthen the framework conditions for Norwegian business. That was target number two. Objective three is that we should achieve the objectives of the vision of zero killed and severely damaged in traffic. Objective four is that we should combat social dumping in the transport sector. Serious work is one of Norway’s main competitive advantages. The fifth objective is that transport investment should strengthen Norwegian enterprises with Norwegian wage and working conditions. Let me immediately say that of course there is a lot of good in the government's national transport plan. 1 200 billion must be used. kr for transport purposes for the next 12 years. But there are some issues that are hardly affected in the Storing Communication. One of the most important challenges in the transport sector is social dumping, unprofessional actors and pressure on pay and working conditions. I've read the message well. I do not think the term ‘social dumping’ is mentioned in the Storing Communication at all. We must combat social dumping in the transport sector. A serious work life must be what we're going to work for. There is a great deal to be done here, and therefore the efforts in this area must be stepped up. In addition, Norwegian businesses and Norwegian enterprises need to be left for the large amounts we are now going to spend on transport. During this government, many of the expansion projects have become so huge that Norwegian construction companies are unable to submit tenders. The projects are simply too large. We can't have it like that. Transport investments need to strengthen the Norwegian construction industry with companies following Norwegian wage and work conditions, which have apprentices, who take work on health, environment and safety seriously, who pay taxes and taxes to the community and which are part of social service. The working party has made some changes to what was the government’s NTP scheme. Over the twelve-year period, repriorities are made in our 9 billion alternative arrangement. kr. In addition to increased bets on county roads of 2.4 billion kr and increased NTP frame by 3,6 billion. release this total of 15 billion. kr for new bets. Our efforts – which is then in addition to the government’s proposals – go to county roads, fishing ports, railways, urban growth agreements and collective investment, racial protection and planning and start-up of some national road projects in addition to those proposed by the government. In the case of county roads, we propose that more be allocated to county municipalities in our alternative budget every year. We estimate that 200 million. kr of which is invested each year on county roads, together with a total of 2,4 billion. kr over the 12-year period. In the case of fishing ports, the majority in this room has against, inter alia: Votes of the Labour Party – adopted to be transferred to the counties. It is a transfer that is not adequately funded. At this moment, it is still likely that there are four county municipalities that have not signed the agreement to take over the fishing ports. The Workers' Party now proposes that a system be established whereby county municipalities can apply for funds for upgrading fishing ports through a one-off pot. The Workers' Party will pursue an offensive railway policy. We will stop the outsourcing and fragmentation and have a more comprehensive and transparent organisation. We do not want to expose the operation, maintenance and preparedness of the government within the railway infrastructure. It is necessary to draw up a long-term plan to resume the maintenance run on the railway. The railway structures adopted must be implemented. The government is cutting the intercity expansion. The Workers' Party does not consider that to be correct. The ambition of intercity development on the Dovrebanen, the Eastfold Railway, the Westfold Railway and the Ringeriks Railway must be at hand. In addition, more measures are needed for more goods on the road. The Labour Party welcomes the increased government's commitment to urban growth agreements and grants for collective projects, but that is not enough. The Workers' Party will significantly increase the focus on urban growth agreements, collective projects and other collective actions. The Labour Party believes that a national racial protection plan must be drawn up and must be drawn up with the counties and apply to both county and national roads. We are pleased that we have got the whole Stortinget to agree that a national racial protection plan should be drawn up, but it has to be followed up with appropriations. The Workers' Party proposes a significant investment in racial protection in our NTP scheme. We also contribute money to further planning and starting some road projects in the first planning period, which can then be completed in the last planning period. So I'd like to say a few words about the NTP process. It is the first time since 2005 that there has not been a majority in the Stortingen for NTP. It's sad, because the national transport plan becomes a better document when there's a majority in the back. The Progress Party played its part. They simply did not want to compromise with the government. We saw that when we saw their option, which is a completely unrealistic NTP scheme – yes, I would say unprofessional NTP scheme. It's the choice of the Progress Party, but the result was that they didn't get any influence on what was the government's NTP. It's their choice. NTP is a good planning tool if used correctly. With the NTP arrangement of the Progress Party, the plan would become an airlock that cannot be implemented. The Progress Party has over 100 proposals for individual projects. SV has over 50 proposals. It is announced that even more proposals are being made in the morning today. They're not put out yet, so I'm not sitting on the number, but at least that's a huge number of suggestions. NTP treatment is now approaching a proposal bonus. On the weekend I was called up by several media throughout the country: now there are even more proposals for individual projects, will you support them, and will you support them? The Labour Party agrees with many of the proposals of the Progress Party and most of the SV's proposals, but what would NTP have been if the Stortinge had adopted 150 or 200 or 250 individual proposals for individual projects? National transport plan is not a collection of individual decisions and projects. National transport plan is a roadmap for the transport sector over the next 12 years. That's the way it should be, and that's the way it should be. Then the plan becomes a good planning tool. It's a shame if it's now destroyed. Let me say a few words as case rapporteur for the Harstad package, case No. 38 on today's map. It is gratifying that there is a large majority in the Stortinget for the revised financing arrangements for the Harstad package. With what is now adopted, new infrastructure will be built in and around the city, on both road and public transport. There are projects that are absolutely necessary for the urban development that Harstad is going through. The city has major urban development plans and proposes a modern land and transport policy based on future challenges. It's done a good job locally in Harstad. It is well-treated in the municipality of Troms and Finnmark, and the Stortinget approves the revised financing scheme for the Harstad package. With the projects and measures in the package, I think we can establish that Harstad will be an even better city than what Harstad is today. Finally, I would like to take the opportunity to make some suggestions. So it's in case number. 31. National transport plan and proposals No. 1-7, on behalf of the Workers' Party, the Centre Party and the SV, proposal No. 8, on behalf of the Labour Party and the Centre Party, and Proposal No. 10, on behalf of the Workers' Party.
ParlaMint-NO_2021-06-14.ana.ud492e1380	The representative Sverre Myrli has taken up the suggestions he referred to. The President may inform the House that 372 proposals have been made. It's going to be line change.
ParlaMint-NO_2021-06-14.ana.ud492e1389	It sounds like we have to cancel all the agreements we have tomorrow afternoon. The representative Myrli was involved in ambitions related to intercity development. They, together with the SV and the Centre Party, have made a proposal which reads as follows: ‘The majority believe that the ambition for the InterCity operation on the Dovrebanen, Østfoldbanen, Vestfoldbanen and Ringeriksbanen is at stake.’ The government has now submitted an NTP that is adapted to the economic situation, on the basis of which it is assumed that improvements in supply will be made as soon as possible within the economic space in which it is located. The Labour Party has, as far as I can see, set of 2 billion. kr extra in addition to the government's proposal for the railway system. How does the representative Myrli manage to realize the level of ambition at the intercity bet by 2 billion? extra kr to the railway?
ParlaMint-NO_2021-06-14.ana.ud492e1401	That's a good question. It takes a huge amount of money to continue and complete the intercity expansion. I believe that the Minister for Transport has answered, on questions from the Committee, that something like 170 billion is needed. kr. Now parts of it are in the national transport plan – it needs to be emphasised – but considerable sums are needed to complete it. We reacted in the first place to the fact that the government is going away from ambition. I have registered that the government parties in Stortinget are a little different and are also adding a little more money to the railway. The working party has a solution, and just to make it clear: we don't have the money to complete it now, but the ambition must be to continue the intercity development. We must follow the ambitions we have had, and there must be clarifications in cities that are now waiting – Fredrikstad, Sandefjord and Larvik. That is why it has to be planned further, and that is what we have put money into. It has to be planned further, and then we have to contribute money to further expansions beyond what is there, into the next national transport plan in four years.
ParlaMint-NO_2021-06-14.ana.ud492e1408	To another theme - New Roads. We established it against the votes of both the Workers' Party, the Centre Party and the SV in 2015, if I remember correctly. We have seen that New Weger has managed both to reduce costs and to increase the cost-benefit factor for a good part of the projects they are implementing. With the innovation that lies in Nye Veier, you can now see an opportunity to transfer more to both Bane NOR and the State Road Service, which means that we might get an improvement for all transport activities. I register that SV has plans to wind up New Veier, and I understand that the Workers' Party, the Centre Party and SV have an ambition to take over power in the election. How does the Workers' Party view the further development of New Roads in a constellation of parties that want to wind up the company?
ParlaMint-NO_2021-06-14.ana.ud492e1415	I don't know how many dozens of times I've got that question from the committee chairman, but he's going to get the answer again. The working party was opposed to the creation of New Roads, which is quite correct, but we respect the fact that the bulk of the population adopted it. When it was adopted, our approach has been that we hope New Roads will succeed, because we also want to build up the same roads that New Roads have in their portfolio. But I have to say that this is also a little play by the government and the government parties. Many new projects are now being introduced into New Roads without funding. The same amount shall be granted each year to New Roads, but the government shall extend the period of five new years until 2041. So the government and the government's challenge is that all the projects they're now transferring to New Roads, they can't say anything about when they're done. In the worst case, it may take 20 years for those projects to be completed. So in the worst case, they're not done until 2041. At least it's not a good idea. That is why we need to go through the whole process of organising and building roads in Norway.
ParlaMint-NO_2021-06-14.ana.ud492e1424	One thing that is at least certain, is that the Workers' Party and Sverre Myrli can sit on the reserve bench, because we agree on the same framework as the government parties add up to, but we have 1 billion. Extra kroner. I have experienced the Workers' Party representatives who have traveled around and said that now they are going to expand intercity, and the ambition is that it will be done in 2030. And then it's 2 billion. kr more than the government of 12 years – there are 166 million. kr per year. It's bluffing people when you travel around and say you're going to build and have completed intercity by 2033. Or, as you say, you have to reverse the railway reform and the railway launch. It costs a few billion, too. To say that others have unprofessional alternative national transport plans is becoming very unprofessional of those who are actually in favour of it. As the representative was inside, the government is placing eleven new projects without money, and the Workers' Party is fully behind it. It can't be very serious what the Workers' Party is now promoting.
ParlaMint-NO_2021-06-14.ana.ud492e1434	There was basically no question here, but I can talk a little bit anyway. The working party has a serious NTP structure, and we also want that, because NTP should be a serious and predictable plan. When I see the proposals of the Progress Party, I do not think there is a single national road project in Norway that the Progress Party has not submitted. They've sent out to the party organization: if there's some way in their district, come with it – we'll put it in our NTP setup. This is the NTP work of the Progress Party. It's unrealistic, and I would also say it's unrealistic, because it turns up the expectations -- people lift the flag, eat cake and say that now one comes into the NTP, and then it's not possible to realize. The Workers' Party does not promise that the intercity expansion will be completed by 2030. That is not possible, for the government that, among other things, Mr. Hoksrud was Secretary of State in, in the Ministry of Transport, it has doubled and delayed the expansion. So it's not possible to achieve what I think was a unanimous growing goal in 2013, to complete the intercity expansion in 2030. But we have to plan further, so that one day we'll be done.
ParlaMint-NO_2021-06-14.ana.ud492e1443	Sverre Myrli and I are from Akershus. It is very important that we get the job on Lower Romerike – it is important for the climate and important for those who live there. Then we have a concrete proposal, proposal No. 167, that the Lørenskogbahn, or the Rome Railway, should enter the national transport plan. I have seen that the Labour Party talks a lot about the plan, but they have said very clearly that they will vote against it. Then I'd like to ask, is it just words, or does it also come from the Workers' Party? I'm worried that climate and transport are down-prioritized by the Workers' Party – they talk and talk, but they vote against it. Then I would like an answer: will the Labour Party vote in favour of this specific proposal? And if not, will the Workers' Party promise that Lørenskogbanen can come in if we are to rule the country?
ParlaMint-NO_2021-06-14.ana.ud492e1450	It is an advantage to read the setting before a person speaks up and criticises. The Workers' Party has put in place considerable efforts in collective development. I fully agree with my colleague on Akershus' bench that the Rome Railway, or the Lower Romerike track solution, or what one should call it – dear child has many names – must be realized, and the Workers' Party has worked for it for 10–15 years. There is no doubt that once the Fornebuban is realised, as the state is with and funding, when the new T-Bahn tunnel in Oslo is completed, which the state is with and funding, the path solution Lower Romerike, the Roman Railway, must also be realized. It has been the Labour Party's approach all along – in Stortinget, in Oslo municipality, in Akershu County municipality and now in Viken County municipality and throughout Oslopacket 3 work. So yes, it's a very important project, the Workers' Party is to realize it. The Labour Party is in order for the state to participate and finance it in addition to funds from Oslopackakt 3, and yes, a new government must intervene.
ParlaMint-NO_2021-06-14.ana.ud492e1455	The working party says that one wants the state to cover up to 70 pst. of the urban growth agreements, i.e. not 70 pst., but ‘up to’ 70 pst. We see that the Workers' Party has added 80 billion. kr to urban growth agreements and urban agreements, i.e. nothing more than what the government has put in. So one, using creative bookkeeping, has said that one should increase by 3 billion. kr, by saving on collection costs. What is it? Is it road pricing that isn't invented yet, or is there any other thing? My question to the representative of the Workers' Party is: Is it true that if the Oslo Tunnel gets 70 pst., there is another project that only gets 10 pst., because it is “up to” 70 pst., because you have no more money than the government?
ParlaMint-NO_2021-06-14.ana.ud492e1462	Yes, we do. We've added the difference. The government has added 66 pst. to the collective projects, according to the notice, and then we have entered the difference between 66 pst. and 70 pst. because we believe that the state should contribute 70 pst. to large collective investment in large cities. ‘Until’ means that there shall be no blank authorisation. Projects shall contribute to the reduction of greenhouse gas emissions, which contribute to the strengthening of the overall land and transport planning. It should not be the case that the metropolitan areas come with a project, and then the state should just turn up. No, collective projects must contribute to the achievement of the common objectives set by both the State and the city. We have suggested that someone start using new technology, like road pricing, or at least start figuring it out. But it's completely possible to start on a smaller scale. Initiatives have been taken in both Tromsø and Kristiansand, where one can apply new technology. We are absolutely sure that it is possible to make it far more effective than what is being done now.
ParlaMint-NO_2021-06-14.ana.ud492e1469	The cord shift is over.
