ParlaMint-NO_2021-12-14.ana.ud410e261	The representative, Mr Bård Hoksrud, will put forward a proposal for a representative.
ParlaMint-NO_2021-12-14.ana.ud410e424	A guiding principle in our tax system is that we have to pay taxes according to our ability. Therefore, we also have a progressive income tax, with the tax rate rising as revenue rises. It ensures that we have a tax system that has a redistributive effect. The tax system shall finance well-being and at the same time stimulate work and value creation, contribute to strengthening productivity growth and competitiveness in the Norwegian economy, and also contribute to a completely necessary green transition. Therefore, over the last eight years, the government of Solberg has also reduced taxes and taxes by a total of 38 billion. kr. This means that a very common family has got about NOK 16 000 more to walk with during these years compared to the 2013 tax package. At the same time, corporation tax has been reduced to 22 p.m., and it has become more favourable to invest in Norwegian companies. The Solberg government put down a tax selection this summer, such as: to assess how to change the tax system in order to strengthen productivity growth and competitiveness in the Norwegian economy, as well as how to facilitate strong and diverse ownership in Norwegian business. At the same time, distributional considerations and sustainability considerations shall be taken into account. We record that the current government has given an additional mandate that illustrates the difference in convergence to a large extent. The starting point for the tax commission's mission is revenue neutrality, but where the Solberg government would have explored an alternative with total tax relief, the current government would rather have recommendations on how to increase the tax level. This difference is also very evident in the changes made by the Workers' Party, the Centre Party and SV in the State budget for 2022. Total taxes and taxes have already been proposed in this budget increased by as much as 9.2 billion. kr if we calculate the full-year effect. And who knows how much they're going to total the next four years. The tax on Norwegian ownership is significantly increased, which makes it more expensive to invest in Norwegian enterprises and will help the companies to be deprived of capital that could otherwise have been used for investment and to secure and develop new jobs. It shows that what we warned against before the elections, unfortunately, has become a reality. The combination of the Workers' Party, the Centre Party and the SV is a guarantee of increased taxes. On several occasions, the Minister of Finance has claimed that two out of three Nordics receive lower taxes with the government's tax arrangements in the supplementary proposal compared to the Solberg government's proposal. That's not right. On the contrary, there are as many as 56 pst. the increased or unchanged tax in that comparative case. In addition, estimates from the Ministry show that not only those with the highest income but also those with the lowest income on average receive increased taxes in the additional income compared to that of the government of Solberg. I record that the Minister of Finance believes that it is not relevant to compare with the Solberg Government proposal. I disagree. It is the most reasonable basis for comparison for 2022 because that is what is the alternative, and experience suggests that negotiations with the Progress Party would not have increased the tax burden, on the contrary. So it is that the Workers' Party, the Center Party and SV cut the parental deduction and choose not to introduce the job deduction. It is a deduction that is targeted at young people in the establishment phase and young children’s parents with low or middle incomes. It is incomprehensible that the government will not use these deductions to reduce taxes on these groups. In addition, the maximum individual pension savings amount is reduced from NOK 40000 to NOK 15000. It is a scheme that is intended to stimulate self-saving for retirement, and I think it is very unfortunate that this scheme is being cut. Similarly, schemes for the purchase of shares in the employer’s enterprise or in the enterprise in which they are employed are abolished. For many, it is motivating to be able to own shares in the company in which they work, and thus to participate in the capitalisation as a supplement to wages. There is obviously not a value that the government parties and SV share. In the autumn and winter, we have experienced a situation with exceptionally high power prices, which requires exceptional measures. That is why we have made changes to our budget, where we use extra dividends from State power and re-prioritise the reduction in the electricity charge to a more targeted scheme for those who are struggling to pay the electricity bill. In addition, we will provide an extra scholarship to the students. This is in addition to the increase in housing aid and will be paid early in 2022. The government has finally presented its proposal on how to compensate electricity customers more specifically than with a flat reduction in the fee. We are positive to the main principles of the plan, but will consider whether there is a need to make some adjustments. We'll get back to that. With right-wing government, taxes have been reduced for everyone, and it has become more attractive to invest in Norwegian enterprises. Several people have had more to walk with. It's good for the individual, it's good for the family, and it's good for the community. If the President allows, at the end of the day, I will address that proposal to the Right, the Christian People's Party and the Left are behind.
ParlaMint-NO_2021-12-14.ana.ud410e449	The representative, Helge Orten, then addressed the proposal he referred to.
ParlaMint-NO_2021-12-14.ana.ud410e454	It sounded like he was with me at Tromsø this weekend and sang to celebrate Viking, but I guess he wasn't there on the weekend. The representative Knutsen spoke a little about what happened this morning – the press conference on Korona. I think the press conference showed that at least the Progress Party should not contribute to making the debate here longer than is necessary, because there are clearly things that need to be improved in the package that was presented. I will just briefly mention the wage support scheme; I hope that the Minister of Finance can make sure that he gets back to the office and fix it when this debate is over. In addition, we need to look at the compensation mechanism for market failures. It appears that the measures will last well in January, while the compensation scheme will expire on 31 December. It's quite obvious that it has to be fixed. At the same time, the Progress Party has promoted two loose proposals in the Chamber today on the deferred tax regime. We hope, of course, that we will have agreement to settle this already today. For what is the matter: the Progress Party today proposes a large-scale tax and tax package, both in taxes and taxes. We're going to go on with the practice we've had in the last eight years, with a total of 38 million. kr. There was a lot to catch up on this fall, both in the budget that the Solberg government provided, and in the additional number that the Big Government provided. The Progress Party has proposed a scheme that will bring lower taxes to all. We are proposing to further reduce the taxes on wealth, we are leaving behind a tax on waste incineration, we are leaving to reintroduce the air passenger charge, we are not increasing the CO 2 tax, we are proposing significant reductions in the price of petrol and diesel, and we are proposing significant reductions in the price of typical wholesale products. The Centre Party attempted on the New Day 18 a few weeks ago to produce the budget harvest as if the Workers' Party-Center Party government's pre-negotiable budget with SV kutter fees of 2.3 billion. kr. It's wrong, and it's a simple task to document – what the Center Party is doing is to compare with the draft budget that Erna Solberg presented. It was not adopted, and it is going to be totally wrong to use it as a basis for comparison; there are changes from today's situation that matter to people, not what anyone else wants the budget to be in 2022. The correct thing to do is to look at the level of fees on 31 December 2021 and on 1 January 2022 – following the adoption of the level of fees by the Workers’ Party, the Centre Party and the SV. The correct answer is that the total fees will increase by over 2 billion. with the adopted budget. If you also calculate the full impact of the CO 2 tax on the oil industry, this is about $1,760 million. NOK has been incurred there as well, so the fees are increased by 2 to 4 billion. kr. Then it's nice to hear Knutsen's representative, who suggests that when one fee goes up, another has to go down – as if it's a zero sum game. So it's not. There is an increase in taxes, and there is an increase in taxes, which comes already after eight weeks in government. The parties therefore propose tax increases on the CO 2 tax by 28 pst. An air passenger charge is introduced, a waste incineration levy is imposed, and the one-off charge for chargeable hybrid cars is increased – which will affect 20,000 customers who are waiting for their car in the new year and who can get an extra charge of up to NOK 80000. I have believed that party leader Vedum was serious when he has protested at just high fuel prices, air passenger charges and CO 2 tax. Then it was very strange to hear the representative Geelsvik, who just talked about the need to increase the CO 2 fee for, among other things. petroleum industry. In the evening post on August 10th this year we could read: ‘If Sp takes the government offices many charges will get an overhaul.’ Now I can’t speak for all readers of the evening post, but I would think most interpreted this as that charges should be lowered. In the interview, the current Minister of Finance also called for a tax return. We in the Progress Party have thought that this has been unnecessary because that is what we are dealing with here today. We have thought that the need has not been present because we have reduced the fees in total, but now that we see that they are increasing already at the first opportunity, there may be a need for a fee notification anyway.
ParlaMint-NO_2021-12-14.ana.ud410e488	The President shall assume that the representative will address the proposals he referred to in the submission.
ParlaMint-NO_2021-12-14.ana.ud410e493	I would love to.
ParlaMint-NO_2021-12-14.ana.ud410e498	The representative Roy Steffensen then addressed the proposal of the Progress Party.
ParlaMint-NO_2021-12-14.ana.ud410e503	Differences in wealth and income are far too high in Norway, and these developments have accelerated in recent years. The Korona crisis and the financial measures taken to remedy it have also contributed to it. Today, I think it is wise to remind myself that some of the measures that have been adopted in this Chamber have just helped some of the richest people in the country to withdraw, while the crisis has also struck dramatically crooked and led others to much worse advice. The increase in differences is also driven by significant tax cuts to the wealthiest in the country. Now in Norway, we have a wealth inequality that is similar to that in the United Kingdom, and greater than in countries such as the United Kingdom. Spain. New SSB figures also show that income inequality is much greater than previously estimated. There's a lot of hidden wealth that hasn't been included in official statistics, but that means that the country's richest people leave the rest and get a bigger and larger part of the pie. If you are serious about wanting low inequality in Norway, you also need to take these figures seriously, and that must mean being willing to change the tax system and make it more redistributive. Tax is one of the most important and effective instruments we have to influence the distribution in Norway, and it is not possible to believe that the inequality should be low and argue for ever new cuts in taxes on wealth. That is why I am pleased that the majority is now proposing a fairer tax system. SV would have liked to go even further, but in sum, this is radically different and far more redistributive than what the right-wing government has provided in recent years. Now the wealth tax has to increase and become more progressive. Animal dwellings are also to be taxed more, we increase the tax on the largest income, and the dividend tax is to be increased. It was just supposed to be missing, and we're using the increased tax revenue from the largest incomes and wealth to expand the welfare of people. At the same time, people with normal incomes – the vast majority – also receive lower taxes. This is a first step. The tax system is going to have to be even more redistributive in the years to come. SV will reintroduce a large inheritance tax and put in place a fair housing tax to gain control of the housing market, which has become a difference machine in Norway. In order to achieve our climate targets too, environmental taxes need to be increased to make pollution more expensive. In this agreement, we increase the one-off tax on fossil goods cars to ensure that more people choose to drive a zero-emission car, and we increase the fees on fossil fuels. At the same time, we avoid part of the proposed tightening of electric cars. The instruments still need to be strengthened in order to achieve the 2025 target adopted by the Storting. But the oil industry must also contribute, and I am glad that we are now increasing the CO 2 tax for the oil industry as much as the tax is increasing for people. In the future, we also need to look at and change how fiscal policy today favours fossil investment in Norway rather than the greens. In order to avoid most people being hit by tax increases, SV proposes a green people's bonus, a scheme where the new revenue from the increase in CO 2 is paid back to people with low and common incomes. The money goes in the SV's proposal as a whole to all over 17 years of age who make 500 000 kroner or less. Each person in this group will receive a payment of NOK 1450 for the next year. Such a model of compensation should now be investigated by the government. It is absolutely crucial in the future that we do not compensate for further increases in environmental taxes by reducing other environmental taxes. Now we need to put in place a tax policy that both reduces the differences in Norway and takes the climate crisis seriously.
ParlaMint-NO_2021-12-14.ana.ud410e531	I'm among the lucky ones who are looking forward to Christmas. Not everyone does. Even before the Korona and power crisis, the queues for the poor house were too long and the differences in our society were simply grotesque. More and more young people are growing up in families with far too low incomes, while in the list of Norway’s richest, stunned dynasty heirs thrones. The only difference between them is who are their parents, what family they are born into. Some parents have to ask for Christmas help at finn.no, while others see billions pile up. It almost sounds like a BBC costume drama, but is Norway anno 2021. And even though there can never be too many seasons with Downton Abbey, class distinctions make better than historical fiction than Norwegian reality. Differences have increased for a long time in Norway, and new research from the SSB shows how real valuation of both income and wealth suggests that inequalities are far greater than we have previously believed. In particular, the wealth inequality is great. One of the reasons why the very wealth inequality is so great is that money makes money and tends to accumulate. That might not have been exactly the way the French economist Piketty formulated himself, but for those who didn't intend to read his bricks from a book, that was his conclusion. Return on wealth is greater than economic growth, and that's how big wealth will grow like snowballs into eternity. To stop this development, that someone uses all the snow to build his own snow castle, while we others are left with nothing, Red proposes a progressive wealth tax and not least a fair tax on inheritance. Our proposal for a tax settlement for 2022 would have made less property taxes paid, but those who do pay more. And the inheritance tax we're proposing, has high deductions, which don't hit the cabin or grandma's bundle, but puts an end to extreme wealth and power inheriting. Even before the Corona and the power crisis, the differences were too big, and I'm concerned that yesterday's news will once again send the corona bill to the workers, that those who are now on leave will be there for the third and fourth times, and that those who are asked to take an extra roof of well-being have already started over and over again in recent years. The Corona crisis has become a disparity crisis. While hundreds of thousands of workers have lost income, there was hardly any crisis to trace at the top of the tax lists for the Korona year 2020, when they were presented last week. On the capital list of the richest country there have never been more billionaires than now, after the crisis. For the food industry, it's literally a good shop when we replace outdoor mushrooms and restaurant with canteen beer and Grandiosa. It is very good that the government is now imposing limits on profits and dividends for those receiving emergency aid. It really only makes it even more sicker that the bourgeois government has uncritically thrown crisis money at businesses that don't need it, for almost two years. But to get a fair path out of the coronary crisis, we have to make sure that those who have made good money contribute more. The best way to do that is to increase the tax on the profits of companies. If the coronary crisis had hit eight years ago, the daily food barons would pay 28 pst. of its enormous profits to the community to cover daily, health and crisis packages for other companies that have gone poorly, but since then the tax rate has been reduced to 22 pst. It makes the community miss over 25 billion. kr annually which could have been a direct contribution from the well-being of the companies. Red therefore proposes to increase corporate tax, in a predictable and gradual way, initially by one percentage point, to the level that both the current government parties and the right-hand side thought was perfect when they entered the tax settlement a few years ago, namely the sacred 23 percentage points. With that, I take up Red's proposal in the matter.
ParlaMint-NO_2021-12-14.ana.ud410e548	The representative Marie Sneve Martinussen then addressed the proposals she referred to.
ParlaMint-NO_2021-12-14.ana.ud410e553	1991 will be an important year in fiscal policy and in climate policy. The reason is that in 1991 we introduced the CO 2 tax in Norway, as one of the very first countries in the world. It was a wise decision, because the climate challenge is primarily a market failure where large negative impacts for others in terms of CO 2 emissions are not priced into the business models. Correcting that failure is the whole point of taxing emissions and the whole point of the forurein-payer principle. It's effective, it's fair, and it's worked well. The same way that 1991 is a brand year in that way, I also think that 2021 will be standing as a brand year. This is because this is the year in which we've been a few that that tool, the forureinar-payer-principle, should be strongly strengthened to reach the climate targets to Norway and convert the Norwegian economy. When the previous government presented the proposal to escalate CO 2 taxes sharply towards 2030 – and it is not very long since, it is barely a year – there was considerable resistance from several. The party of the finance minister thought it was completely out of date and was not going to happen. The party of progress was opposed and, as far as I understand the representative, Steffensen is still opposed. There was a lot – both the government parties today and, in addition, the Socialist Left Party – that was against some industry paying CO 2 tax, for example. the waste incineration industry. But now that we're here after a government has first looked at this, and then a new one has done it, and the budget has come and gone, there's pretty much full agreement that we're going to reach the goal of NOK 2,000 in carbon price by 2030, that the escalation is going to happen linearly, by 28 pst. increase next year, and that we're going to close more and more holes in that system, so it hits wide and it shouldn't be free for anyone to escape greenhouse gases. So I'm going to say that there's a reason to enjoy it. In a demanding year, in many ways, including in climate policy, this will be standing, and it is important. It shall be stated that there is still reason to criticise the profile on which the plurals were finally identified, including at that point. Among other things, we're going to have less emission reductions than the Solberg government proposal because one in road traffic is going to leave that principle in place and let more people escape. But in the big picture, the direction is now right, and that's good. What is still the main difference between what the bourgeois government would have agreed and proposed, and what is being done now, is that one forgets the other side of the green tax change. Because what we in the Left and the Solberg government were clear about is that it's going to be a tax change. It will cost more to emit CO 2, but then it will pay more to create jobs, and one will lower taxes and taxes in other areas. That was followed up in our draft budget, and that was an important part of the climate plan. And that's the principle that the finance minister, the government and the red-green plural no leave, because they're increasing tax and tax pressure by nearly 10 billion. kr. It's demanding for a lot of companies. This means that it's not a green tax change, and it's going to be harder to convert. Thus, at a time when many companies have it demanding, to say it carefully, Christmas gift from the red-green majority is that an increase in the wealth tax, an increase in the dividend tax, a reduction in the stock tax – in short, it will be more demanding to invest in Norwegian jobs for Norwegian owners. It is not good for the green shift, but it is also not good for the overall economic development in Norway. Finally, I am told – in the light of the situation we are facing, and the day we have today – that now there are many company owners who, for very different reasons, are very concerned, and it is because of the closure of Norway that is now being implemented. Some industries are now being shut down for all practical purposes. Different occupational groups are banned for all practical purposes and one is uncertain about the future. There have been some estimates of answers from the government today, but there are still a number of questions left, when the plans will be agreed upon in the Storing, when they will apply, and when the money will come out to those who need them. The answers must come as quickly as possible, so that people can go one by the way secure Christmas time meets.
ParlaMint-NO_2021-12-14.ana.ud410e583	Korona and electricity prices characterise Norway, Europe and the world, as a mild taste of the challenges we face as the natural and climate crisis continues to rise in intensity. Our task as politicians is to be ahead of solutions to ensure a stable society. Then it is important to remember some of the underlying causes of the current crisis we are in today. One of the biggest drivers of the power price is just that the material consumption increased in the coronary apex by that we could no longer spend money on each other and on services, but spent money on material consumption instead. It drove production up in the world's factories, and with that consumption of raw materials and fossil energy and thus energy prices in addition. High electricity prices hit hardest those with the least and charges are most difficult to deal with for those with the least. We in the Green Party believe that the answer to this is not to close the borders and cut incentives to save energy – instead we have to think again. Firstly, Norway is one of the countries that actually serves the high energy prices. Exceptionally high gas prices mean that we can bring even greater sums into our common pension fund, and at the same time, the government also makes a lot of money that you and I have large electricity bills. It is unreasonable, and therefore it is positive that the government has taken action to remedy the situation in the short term, but we must be prepared that this is a situation that will also affect us in the future. For this reason, the Green Party has proposed a long-term scheme that limits the amount of tax revenue and dividends from the power industry to be included in the State budget. Taxes and dividends above such a ceiling are assumed to be distributed again at an equal amount per person residing in Norway. With our proposal in 2022 we would have paid out almost NOK 2000 per person, or equivalent NOK 6000 for a single mother with two children. The principle of climate reward is throughout the Environmental Party of the Greens' Alternative State Budget. In addition to the fact that the increase in the price of goods and services that pollutes is to be charged to the country, we believe that it should be distributed again to create a win-win situation for both people and the environment. We think it is positive that the government should now investigate such solutions, and we very much appreciate SV's efforts to ensure this. In our alternative budget, we are increasing the cost of fossil fuels, but we are proposing to redistribute the revenue from them – parts of it to a fund for food transport and parts of it to the inhabitants of Norway. The government's air passenger fee is also proposed to be re-allocated, and the same is true with the proposal for an airline seat fee between the largest cities in Norway and on flights out of the country: some of it is set aside for a fund to ensure the development of zero-emission aircraft, and something is handed over again to the inhabitants of Norway. In total, in our alternative state budget, we propose to redistribute NOK 4000 per head, that is NOK 16 000 to a family of four. Last, but not least, I want to draw attention to the fact that the current government has repeatedly stated that we need to build the new green industry on the back of today's oil industry. We in the Greens will take them to the floor. We charge a levy on all the production of oil and gas and use the revenues from this to speed up the green shift. The challenges in the years to come are great, and we need more legs to face. We therefore need to ensure a strong conversion package while gradually stepping down the oil and gas industry, rather than leaving it to the market to throw oil workers into unemployment each time we have a new crisis. The Environment Party The Greens solution is therefore an offensive commitment to new green industries, financed by a levy on the oil industry. And with that, I would like to address the Greens' proposals to the Greens' Greens' Group in the European Parliament. Four and five.
ParlaMint-NO_2021-12-14.ana.ud410e604	Then the representative Kristoffer Robin Haug brought up the proposals he referred to.
ParlaMint-NO_2021-12-14.ana.ud410e609	Norway is one of the best countries through the pandemic, both economically and healthily. Now, unfortunately, we're facing another challenge in the pandemic, with the omicron variant. Yesterday, the government came up with even more stringent measures to prevent infection, which we know will mean significant costs for businesses, for culture and volunteering and for individuals. In that case, it is not the answer to give business a huge increase in taxes, as the government and the SV propose in the tax regime to be adopted today. Even the social-democratic government in Sweden believes that the time is not within the scope of tax increases, for the tax increases will particularly affect small and medium-sized enterprises across the country. The answer is not to increase the tax on work, as proposed by the red-green parties, because we know that it will weaken the value creation and the basis for well-being. In parallel with that, we see that there is a sharp increase in the electricity price without companies being included in insurance schemes. It's also an abrupt stop through the pandemic. Later today we will also adopt a pension from the first kroner, which is a good case, but the government wants to introduce it from 1 January without compensation. The sum of that is a pretty big extra bill for the companies, which I'm asking the Minister of Finance to be very aware of, because there's something we need now, it's that they get their senses through the tough time, which I noticed the Minister of Finance also commented today early. The sum is pretty much, and you also have to be aware of that. In the budget we provided, the families of young children received a tax of NOK 2000 in the form of increased parental deductions. Unfortunately, the government and SV remove it. Even more disappointed and not least surprised, I am about the halving of the tax deduction for gifts to non-governmental organisations. The gift or deduction limit is reduced from NOK 50000 to NOK 25000. Several organisations report that this will result in a dramatic reduction in the gift income of their work. The centre party claims that this cut to volunteering is part of their policy of equalising differences. It's hard to understand. There are common people who are engaged in tax deductions for gifts; it means very little for the richest. Not least, cutbacks in the work of volunteering will normally mean an increase in, not a minor, differences in society. All in all, I am not in doubt that the best tax and tax arrangements for the next year are the arrangements proposed by the Centre-Right-Registration, and that we are behind in the setting. We proposed a lower step tax for those with the lowest income. It will make working more profitable. And with our tax plan for next year, a normal family would pay almost NOK 16 000 less in taxes compared to the tax level from 2013, if it had continued. The Centre-Right-Registration also systematically worked to improve the framework for Norwegian business. We have conducted a responsible economic policy that respects our competitiveness. We've simplified reporting and the form field. We have reduced the corporate tax on the profits of companies from 28 pst. in 2013 to 22 p.p. Now. It strengthens incentives to invest in Norwegian enterprises and jobs. At the same time, we will increase the wealth tax on secondary housing. In 2013, an investment in an additional apartment was lower in wealth tax than an investment in a Norwegian company. Now, luckily, it's turned around. The aim is, of course, that a greater share of savings should go to business. Emissions have fallen five years in a row and last year was the lowest level since 1993. They've got to move on down. In January, we presented a climate plan showing how to reduce emissions and signalled that charges for non-quota greenhouse gas emissions should be escalated to around 2 000 2020 kroner per tonne in 2030. This is followed up by a proposal to increase the non-quota charges by NOK 167 next year. With such an increase every year, we will reach the projected level of the 2030 climate plan. The red-greens weaken this tax approach, which, together with quotas, is the main instrument of climate policy. They come with other measures — and many are good — to replace them, but the impact of these measures is uncertain. Thus, there is a big question mark about whether the red-green climate policy in the budget for next year cuts emissions to the extent we need to achieve the climate targets.
