ParlaMint-NO_2021-10-27.ana.ud17e28	The representative, Mr Bård Hoksrud, will put forward a proposal for a representative.
ParlaMint-NO_2021-10-27.ana.ud17e150	That's because I got a question about it, and then I answered what it meant. The Norwegian people own the fund, the Stortinget sets frameworks and long-term goals. I have been a foreign minister for seven years and answered questions about the fund's arrangements. It was possible to stand firm, because it was not the foreign policy fund. It's not now either. Sectoral policy was not to favour a single sector, nor is it now. So it's a very neat relationship that you can answer. At the same time, I believe – again – that this hall, the Stortinget, the people, determines how the fund is impacted. We take that responsibility together. That's what I said to the Financial Times. I have no idea that it has changed the world's perception that this fund is serious, professional and has a long-term perspective. But it must also be in the front line and meet the challenges we face in the short term and in the long term, and that is what the climate challenge is all about.
ParlaMint-NO_2021-10-27.ana.ud17e159	Erna Solberg – for follow-up questions.
ParlaMint-NO_2021-10-27.ana.ud17e164	This interview was given at the Glasgow conference shortly to begin. That's why it's also put in a context, where it's often seen as using the fund, not to have the greatest possible return, but as a political instrument, for example. towards funding. The main theme of the Glasgow meeting will be climate funding at international level, and in particular how developing countries will meet their needs. It is lacking in the promises made in the Paris Agreement. Then my question to the Prime Minister is: What promises about climate finance will the government make? And how will they anchor this before they deliver it? These are promises that in this case will have to be made over several budgets.
ParlaMint-NO_2021-10-27.ana.ud17e171	Let me just repeat that we are running the government's policy through the government's platform, through government's budgets and through the various departments. For this reason, foreign policy objectives of the Ministry of Foreign Affairs and development policy are being pursued in the field of the Minister of Development. There is a need to increase climate finance. There is a target of $100 billion that can help poor countries to make the transition towards renewables, not go through the polluting fossil age. Norway shall participate there. We have the ambition to be able to double that climate finance. It has been announced by Solberg as Prime Minister, I think it was through the VG, also was her intention. We're in the same path on it. We come back, of course, in budgets in Stortinget and also in terms of how it is to be set up. Norway is already at a high level, so an ambition to double is a great ambition, and it underlines that the climate is going to be a very important framework for development policy for many years to come.
ParlaMint-NO_2021-10-27.ana.ud17e182	Erna Solberg – for follow-up questions.
ParlaMint-NO_2021-10-27.ana.ud17e187	So now the prime minister has created confusion about the oil fund. He's not quite clear, but I'm glad the signals are related to funding. But I must say that I think the answer from the Prime Minister now created even more confusion than the answer given in the reply to the change of lines during the debate last week, when the Prime Minister said that he should have a greater role and coordinate all the policies, and now has decentralised it to all the Councils. It is the Prime Minister who has the main role to play in ensuring that we have a good common policy from a government related to climate issues. But my main question goes back to this: when the simplest often is the best thing to make sure that we don't create confusion about, for example. The oil fund, why was there a need to send out a signal to the outside world that this government was doing something different with the fund than previous governments did?
ParlaMint-NO_2021-10-27.ana.ud17e194	I cannot take responsibility for Solberg's confusion. It's obviously growing and rising, and she's confused after listening to a line change in the Storting and then reading an article in the Financial Times, where even the ingress was alarming. So I can just repeat: I answered a question from the Financial Times. It was a brilliant answer that informed the case, which explained how we should take care of the state pension fund abroad, the largest fund in the world, in a good way, in a long-term way, and we should be able to meet challenges to it. This Prime Minister is going to take responsibility for the whole of politics, but he points out that when we conduct foreign policy, it happens over the domain of foreign policy. Development policies take place over the domain of development policy, and energy policy, stronger investment in sea wind, renewables, etc., there. Then the representative can be sure that the Prime Minister will follow this closely and is a proponent. But we're a team, and that team needs to deliver well. If the international media ask me questions, and that's what they're going to do to Glasgow, they're also going to get answers, which I hope will be reproduced both in the ingress and in the main text.
ParlaMint-NO_2021-10-27.ana.ud17e203	Hans Andreas Limi – to follow-up questions.
ParlaMint-NO_2021-10-27.ana.ud17e208	There might be more than the representative Erna Solberg who's a little confused. By 2014 former Labour Party leader Jens Stoltenberg said about the oil fund: ‘The oil fund shall not be used as a policy instrument, but ethical guidelines underpin the investment, and so it should be.’ This has also been the Biggest's policy in relation to the oil fund, although some parties have wanted to put political leadership at the disposal of the oil fund. What is the danger of this is that there will be questions in the countries and companies where the oil fund is to invest: what is the intention of achieving the best possible return to moderate risk? Does the oil fund have other intentions with its investments? Is not Prime Minister Gahr Støre afraid that his statements, which have obviously made more reactions than he himself will admit, can help to put our pension money into play?
ParlaMint-NO_2021-10-27.ana.ud17e221	No, I'm not afraid of it. It is quite right that the oil fund is not a political instrument in political matters that the government is running. No, the administration is set aside for competent, senior administrators. Are they political leaders? Well, once we've decided, for example. – against the opinion of the Progress Party – that the oil fund should step down its investments in coal, I would call it a political leadership, but it was thoroughly explored and anchored and finally reached broad consensus. It was the former Minister of Finance, Siv Jensen, who carried it out. It's a political leadership. When the oil fund now interprets the society in which it lives and demands its investment on water quality, respect for human rights, labour rights, etc. – and eventually have quite clear views if an enterprise has a high climate risk – then it is a political leadership of the Norwegian community. But it's the fund that makes the decisions. The government has a properly introduced rule-driven arm length distance from it, of course.
ParlaMint-NO_2021-10-27.ana.ud17e226	Ola Elvesuen – to the next follow-up question.
ParlaMint-NO_2021-10-27.ana.ud17e231	The oil fund should not be a political instrument, but the oil fund of its size has definitely – and we have definitely – an interest in the world achieving its climate goals. It is clear that the investment of the oil fund is contributing to this, and it is in the long-term interest of the oil fund that we are achieving these objectives. There are many large funds that now aim to ensure that the portfolio is in line with the 1.5 degree target and the climate objectives we have, among other things. the UN-sanctioned Net-Zero Asset Owner Alliance, where such objectives have been set. When the fund announcement comes to spring, the climate will be a large part of it. My question is: is the Prime Minister open that the oil fund should be part of the Net-Zero Asset Owner Alliance association and set a target that its portfolio should be in line with the 1.5 degree target and that we should achieve it?
ParlaMint-NO_2021-10-27.ana.ud17e240	We have a good tradition of talking about such things in this fund announcement, and it's natural that we talk about current issues like this. I think it will be an important topic in Glasgow, where climate finance, as the representative knows from his previous work, becomes a very central topic. Let me say it this way: I am concerned that the fund we have, which is the largest in the world, is in line with its time – that it should manage financial risk, for which it has many instruments, and that it should be able to deal with climate risk, which is an important theme in the future, in the short term and also in the long term. The fact that the world has set an objective of achieving the objectives of the Paris Agreement is something that is caught up in our pension fund, when they make their investments, stress tests their investments, and through the impact of ownership, assessments of whether the companies they have invested in are on the right track. If they are not, the fund has shown the ability to influence both through ownership and, in some cases, by sovereign decisions.
ParlaMint-NO_2021-10-27.ana.ud17e247	Let's move on to the next main question.
ParlaMint-NO_2021-10-27.ana.ud17e252	These are very difficult times for many economics. Current bills are increasing and — at least for a few days — high in record terms. A lot of people are worried about getting these to maturity. Nevertheless, this government chooses to continue the special policy of taking precious force from land and sending out to platforms, which will in the long run make this even worse. Diesel and petrol prices are sky-high, and the question is whether they will be even higher if the tax increases that the previous government introduced continue. Food prices are strongly increasing. The commodity prices internationally are sky-high, and there is also fear of fertilizer access as we are gradually entering a new spring zone. At the top of this is the interest on the way up. Many economists are now concerned about the economy of ordinary people, and in the Poor House they report that they are worried that there will be more people who will have to resort to help from there. We're also approaching Christmas, with all the challenges it'll give. At the same time as the wallets for ordinary people are bleeding, the state spends money – through oil and gas and through taxes and VAT. Equinor, today reporting a huge profit for the third quarter, over 80 billion. kr, pays the State with record tax. Is the Prime Minister concerned about the economy of ordinary people? What does the government intend to do to facilitate the situation for ordinary people now that expenditure is increasing in all areas, giving challenges to many families and individuals?
ParlaMint-NO_2021-10-27.ana.ud17e271	Overall, this is a government for ordinary people, the interests of ordinary people, and after eight years when the representative Sylvi Listhaug and her party have been in charge in Norway, it is time to reverse developments: more fair distribution, more well-being available to ordinary people, on which the wallet should not determine the quality depending on where you live, and what you earn. That shift is absolutely necessary. Yeah, I'm worried about what's now happening to many people around the world, because this is a phenomenon that goes beyond Norway. Increased prices of power, increased prices of food and increased prices of minerals affect jobs across a wide range of areas. It's one of the biggest drivers in the direction of conflict and inequality that we see in the world today. The government responded the day after the decision of the Storting last week to increase housing support and send a clear signal to the municipalities to look it up against the calculation of social assistance, so that those who are most severely affected can be rescued. It's important, and we're going to follow the situation closely. In our supplementary budget number, we will also look at several aspects that we can do something about when it comes to both electricity and fuel expenditure. I am not going to advance decisions about it now, but we believe it is right that the polluter should pay. We aim to increase the CO 2 tax to NOK 2000 by 2030, but we want compensatory measures, just to see the situation for ordinary people. That is exactly why we prioritise the municipal economy. That is precisely why we do not give priority to the big cuts that the representative, Mr Listhaug, makes every time it is a budget, to those who have the most. Therefore, they will receive less than NOK 750,000 in income tax cuts and a better economy. Those who have their children in kindergarten will get cheaper kindergarten. We're going to reduce the price of SFO. We're going to put in a whole series of measures to make everyday life more robust for ordinary people to meet the kind of turbulence that's coming, and also give them dignity and freedom of action in their own lives.
ParlaMint-NO_2021-10-27.ana.ud17e287	The Prime Minister was inside the pandemic. Then we sat here in this room and adopted crisis packages of billions of dollars to help in the extraordinary situation, which has made Norway pretty good out of it. This is a global situation, but it's still here in this room that we can take care of ordinary people in Norway. Now a crisis package is needed for ordinary people. Instead of making even more dependent on public assistance, there is the possibility that the state will allow people to keep more of their own money and deal with their own incomes. Does the Prime Minister agree that it is necessary to allow people to retain more of their own income, so that more people can live on their own income instead of having to accept public assistance?
ParlaMint-NO_2021-10-27.ana.ud17e294	I think it has to be a goal that people can manage, that they have a whole, steady position with a salary to cover for themselves and theirs, and that they can face situations that change. Prices go up and down, now they go up to important conditions. Then it has to be a goal. That's why this government's goal is to be left with more of its own income for those who have low incomes, by making cuts in tax there. Then they of us with high incomes, like the representative and me, have to pay something more. Then it cannot be a priority for us, in all budgetary contexts, to cut taxes on wealth for them at the top. Then there has to be a fair social distribution of it. Then it must be that people are equipped to send their children to kindergarten without experiencing the unnatural burden of the economy, and that in a wide range of areas we have a welfare state that stands up. That welfare country must have income. That is why I am in favour of stability by the fact that the welfare state is well-funded, and that there are policies that give priority to ordinary people getting out of it in a fair way.
ParlaMint-NO_2021-10-27.ana.ud17e301	There will be follow-up questions – first Sylvi Listhaug.
ParlaMint-NO_2021-10-27.ana.ud17e306	The problem is that charges only hit those who have the least, bang hard. The fact that there are sky-high expenses now, with the VAT on top, makes the state serve and ordinary people bleed. That is why, in such a crisis package, it is necessary to reduce diesel and petrol taxes, because we see that this is an important cost item for very many common people. Therefore, it is important not only to take a few cents on the electricity charge now, but actually to remove it completely. If this is to be added to the power bill, you also have to remove the VAT, which is 25 pst. by the bill, which goes straight into the state treasury. That's why, in the situation we're in now, where extraordinary increases in food prices are being warned, we have to consider reducing food prices. It can also have an impact on border trade and then secure jobs in Norway. Will the Prime Minister take the initiative in a crisis package to meet the challenges of ordinary people with significantly increasing prices of a number of vital products and reduce the charges for ordinary people?
ParlaMint-NO_2021-10-27.ana.ud17e314	This Prime Minister and the Government will present a budget which puts ordinary people first, which will ensure that they get more of their work back, which will ensure that the services that are important to them in everyday life related to health, well-being and care are available. It's a work we're working on right now. The representative represents a party that has been in front of budgets for eight years, which has increased the fees for ordinary people, turned them up. Now, a few weeks after a government change, they have to be shut down. It is tempting to reflect on: if this package is to be implemented, by removing VAT and reducing taxes, when do prices evolve to reintroduce them? Here we must have two thoughts in our head at once. We need to secure income for this welfare state, and then we need to distribute it fairly. The key is in both the tax and tax framework, which should be more equitable. Then we're going to look at fuel taxes, we're going to look at taxes that hit ordinary people – because taxes don't hit socially equally – and then we're going to have a redistributive, active welfare state that gives ordinary people security in everyday life.
ParlaMint-NO_2021-10-27.ana.ud17e321	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2021-10-27.ana.ud17e326	The Progress Party has helped to reduce taxes by 37 billion. kr. It doesn't help to blame the Progress Party now, in the extraordinary situation we're in. What people are wondering about is what the Prime Minister, the Workers' Party and the Senter Party will do, but unfortunately we don't get any answers – except that we know that we have to do something about housing support. So it's going to hit 66 000 households. We are 2.5 million households in this country. In other words, most people don't want any pleasure in this. Neither do the students want any joy from it. I have to say that it makes the impression when you see students who wrap themselves up in dunes, who freeze, and who sit and try to study at the same time as they hack teeth. Many are concerned that they are not able to pay their bill. Therefore, I wonder: Will the Prime Minister take initiatives to help students cope with the exceptional situation?
ParlaMint-NO_2021-10-27.ana.ud17e333	It might be useful to do that, to look at groups that are particularly vulnerable. However, the measures of the representative, Mr Listhaug, should apply across society. It will bring relief to those who have much, it will bring relief to many people who can face this crisis. It's socially very little accurate. We are looking for arrangements that make those who are now particularly affected. We have opportunities to do that. We've already shown it through what's happening with housing, the signal of social assistance. We're going to strengthen the municipal economy, which enables the municipalities to follow up. They're tighter and closer. Here we must be focused on assisting those who are particularly affected, not weakening in general – in line with what is now the Progress Party – the state's ability to have a strong and good, redistributive welfare state.
ParlaMint-NO_2021-10-27.ana.ud17e340	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2021-10-27.ana.ud17e345	What the Progress Party wants is to strengthen the ability of people to act themselves, without state alms. What Prime Minister Støre wants to add is help a few – 66 000 households – and then he will look at the students. Who else is it that you're going to look at? Most common families have two pieces that go to work, get their income and things to pay their bills in a normal situation, but as economists say, there are very many common families that have little to go on. These are the ones that are now in a very demanding situation, with the Christmas trade for the door and all the expectations it brings. Therefore, these narrow measures that the Prime Minister has outlined will not take many, and that is why I wonder: what should be done for ordinary people? Are there other groups than students and those who receive housing you're going to help, or is that where it stops?
ParlaMint-NO_2021-10-27.ana.ud17e350	We say in the Hurdal platform that we want to reduce charges that affect ordinary people. We'll get back to November 8th, when the supplementary proposition comes, where we'll show you how to do it. In addition, I don't want to talk down that we're doing this with housing, that we're providing a better framework for social assistance that hits those who are the most vulnerable. I want to go back to what is the distribution profile of this government's policy, as opposed to the representative's. The tax cuts the representative has contributed to have gone to them with the most. It has not taken those who have been exposed. We want to strengthen the economy of those who have come second over these years. We want to make the important welfare services that provide them with security in everyday life, more accessible, better quality and more independent of their own wallet. We want to stop privatisation. There are important measures to ensure common people and to ensure their safety in everyday life.
ParlaMint-NO_2021-10-27.ana.ud17e357	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2021-10-27.ana.ud17e362	High costs and electricity prices hit many, and increased housing support is important. There may also be other groups that need housing support. Otherwise I would like to remind you, even in the light of the previous questions, that the most important thing about environmental taxes is that they work and have an effect, and that effect cannot be zeroed out. We all need that – even ordinary people. The pandemic continues to have a major negative impact, for example: in public transport, where it appears that many have not responded to this offer, that there are not as many as there are now travelling by public transport as before the pandemic. Many public companies report large cuts in the offer after Christmas if there is no increased support from the state. Then my question becomes: Will the Prime Minister make sure that the collective offer is as good for the next year as it has been now, and that is held up also through the pandemic?
ParlaMint-NO_2021-10-27.ana.ud17e371	The representative is right that this is a concern for the county councils around, who have experienced that people have been away from the collective services, and that when the pandemic is now on its way back, the same number does not come back. It presents a financial challenge. This is one of the questions we are now considering in dialogue with the states. We'll get back to whether there'll be specific measures related to it, but this too has something to do with the economy we adopt for municipalities and counties, and the freedom of action they get to face this situation. We are concerned that the collective offer should come up quickly. I don't think it's possible to guarantee that through a political action it comes up at the same level as it was before the pandemic, regardless of what becomes the customer base, but it's important to follow closely, so that there won't be lasting damage to the collective offer that's developed in many places, among other things. Here in this city.
ParlaMint-NO_2021-10-27.ana.ud17e378	Then we move on to the next main question.
ParlaMint-NO_2021-10-27.ana.ud17e384	On Sunday, the Glasgow climate summit begins. I've also read the Financial Times, but I hung myself up in a slightly different part of the interview, because the Prime Minister said – and this is my translation, but I think it kind of hits: if we were to shut down production on a Norwegian base from one day to the next, it would mean the end of the industrial shift needed to succeed in achieving carbon neutrality. I think it's a bit of a shame that the Prime Minister uses the very rare opportunity to speak in one of the world's largest newspapers to actually construct a digger strawman, because no one wants such a rapid shutdown of all production on Norwegian pedestal. What we are discussing in Norwegian policy is whether to look for new fossil energy, where production will start 10–15 years into the future. The Prime Minister often repeats this slogan, develops, does not liquidate, but it is also a strawman, because no one wants to wind up the industry. What we're discussing is how to best develop it. Because what we don't want more exploration is that we're going to spend a lot of resources looking for fossil energy, it won't pay to take up in a world that's succeeding in the fight against the climate crisis, and that too much investment in oil in the next few years is going to make sure that we don't get started quickly enough with the new green tasks that the same industry will live on in the future. They are the ones who are going to secure and create good LO jobs in the industry. On a measurement in VG on Monday, 34 pst says. of the Workers' Party's own constituencies that they wish to stop the search for oil and gas in new areas. Then my question is: why does the Prime Minister discuss with strawmen instead of meeting the arguments that are more and more common in Norway, namely that looking for more fossil energy is both bad climate policy and risky industrial policy?
ParlaMint-NO_2021-10-27.ana.ud17e395	The decision on search activity on Norwegian pedestal shall be taken by the government and shall do so when it assesses a whole set of criteria. It is linked to the financial risk for the country, as well as climate and environmental conditions that are included, in addition to the fact that companies know that it is moving in a renewable direction and that the demand for fossil energy resources is falling over time. My point was to illustrate quite briefly that the world is going to need oil and gas for years to come, also as part of the shift that is. The challenge we are facing with the high energy prices in Europe is due, among other things, to: that there is a very, very vulnerable situation because the renewable sources that are on their way up are more vulnerable if there is no wind, and if there is a shortage of solar power. I believe it is important for Norway to demonstrate to those who are our customers and partners that Norway is a stable supplier. But Norway is also a driver of the change we are talking about here, because what is going to change this is not that Norway on the supply side shuts down, but that on the demand side there are expectations of renewable energy and that it exists. It must then be developed, and Norway has a major industrial potential, for example. sea wind and hydrogen. A very important criterion for this is that we succeed in capturing and storing CO 2. If we succeed in catching and storing, the Norwegian gas may also benefit from a slightly longer perspective. So that's what we have to figure out. First of all, it is also an important message in Glasgow that the industrial transition we are about to create the new power, which comes from renewable sources, is an industrial process. And also that the transitions that must take place in industry must have economics in order to be able to bear. There can be Norway as a proponent. We must contribute to this, both financially and industrially.
ParlaMint-NO_2021-10-27.ana.ud17e409	If we are to achieve industrial change, climate policy and oil policy must be linked, and then we have to take into account how we believe the demand side will develop, when we are going to discuss the extent to which we are going to contribute. I noticed that the Prime Minister of Scotland, Nicola Sturgeon, who is in a very similar situation as Prime Minister Gahr Støre, with an economy heavily dependent on oil and gas and an industry heavily dependent on it, said the following in an interview on the occasion Glasgow: that for countries like theirs, with large remaining resources of oil and gas, it is tempting to tell themselves and others that, based on both economic and energy, one must continue to search for and extract oil and gas for the last possible moment. It will, she says, in her view be fundamentally wrong, and there will be an approach that cannot be justified in the face of the climate crisis, nor will it be justified financially. Does the Prime Minister think that the Scottish government wants to liquidate and not develop Scottish industry?
ParlaMint-NO_2021-10-27.ana.ud17e418	No, and I fully agree with the Prime Minister. This government hasn't written anywhere that we're going to drive to the last possible moment. We have probably, after estimates from the Oil Directorate, used up over half of the identified resources that are. I have not spoken in that direction at all. I say again, the decisions to make about exploration and activity, the government will take on the basis of a thorough review. We've had 25 open laps. The question and the manner in which it should be a 26th should be considered by the government. The scope of new activity related to existing infrastructure and matured areas, known as TFO rounds, has to be assessed by the government. And it has to be assessed against the considerations we're talking about here. The important thing is to do this in parallel with having an active industrial policy to develop the new renewable industries, and what Norway is going to need – about electricity prices – is more renewable energy. We have a major challenge, and then the representative's party and my party and others must be willing to look at hydropower, wind on land and wind at sea. These are the major challenges Norway has to face in order to gain more power.
ParlaMint-NO_2021-10-27.ana.ud17e427	There will be follow-up questions – first the Audun Light Bin.
ParlaMint-NO_2021-10-27.ana.ud17e432	It's absolutely right that if we're going to bring down fossil energy quickly enough, it has to be solved on the demand side. But we must then pursue a policy in Norway that takes into account that the world can actually achieve the climate goals we work for. The UN Programme Area for the Environment, UNEP, has published a report in connection with the Glasgow meeting showing that 15 of the world’s largest fossil energy producer countries, including Norway, have plans for a production level of 110 pst in 2030. above that compatible with the 1,5 degree target. In the case of oil and gas, 57 and 71 pst respectively. over. Yesterday, the United Nations issued a report that shows that the world is not capable of reaching the 1.5-degree target, nor of reaching 2 degrees, but is heading towards 2.7-degree heating. Does the Prime Minister agree that all the oil and gas now found and planned to be produced in the world cannot be burned?
ParlaMint-NO_2021-10-27.ana.ud17e441	It seems likely that all the oil and gas found cannot be burned. Let me say this: we're going to Glasgow to contribute there through the days this conference lasts, to commitments, policies, goals and follow-up that can reach the 1.5 degree goal. It's a big collective responsibility. There is movement in some of the largest countries. It's late, but it's on its way. In meeting with the Russian Foreign Minister yesterday, I heard notes saying something about Russia's view of this which we have never heard before. The credibility of that is measured when we get to the big conferences, and China the same thing. Norway shall be a driving force behind it. So Norway has not only a responsibility here, but a great opportunity, in my opinion, if we have the economy of the companies and the economy in the country to drive forward some of the technological solutions that can cut Norway's emissions, but that can also help cut global emissions. For the technologies we know about, the world is going to need.
ParlaMint-NO_2021-10-27.ana.ud17e450	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2021-10-27.ana.ud17e455	I think that was a good answer, because it's just like the brutal mathematics in the climate crisis, is that there's already more fossil energy in the world, also more oil and gas, than what we can burn if we're going to avoid catastrophic global warming. This is the big paradox that we have to solve in Norwegian policy in the next few years: either we manage to sell all the oil we have in stock and everything we have to look for – but the precondition for that will be a world that will not succeed in achieving the climate goals – or we succeed in a climate policy that prevents so much oil from burning that the question immediately arises as to whether it is profitable and wise to continue looking for more fossil energy. At least I think it must be a good start that the government is honest and clear that there is a potential large spat for Norway here. Does the Prime Minister agree?
ParlaMint-NO_2021-10-27.ana.ud17e462	I'm not dealing with jokes, I'm dealing with what we're going to do, being profitable and wise. I think that is a good starting point from the representative Lysbakken, whom I agree with. The price picture here is difficult to stand by now and say something about – those who have guessed about it have often been wrong. But it's assumed, I see in some calculations, that what we're going to see beyond now is that the oil price will fall to $35, and that will trigger that we're getting renewable energy. Right now, the oil price is much higher than that, and it's because of some of this shift that's going on in Europe, which is not even. The coal has not been replaced and coal is still attractive. So there's a big transformation that's going to happen, and what's in the UN reports and the IEA reports, is also that it's urgent to develop the new forms of energy, the new technologies and the new industries, so that the demand side can turn there. Norway wants to contribute to this. It may be a bit charismatic to say that this will end in Norway from day to day, but it is to show that where we are today, Norway – as a democratic and predictable country – is an important supplier of energy to Europe, and Europe should know that.
ParlaMint-NO_2021-10-27.ana.ud17e471	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2021-10-27.ana.ud17e477	Then we are still in the situation that if we are to achieve the climate targets, keep the heating down to 1.5 degrees – and also below 2 degrees – significant amounts of fossil energy that are currently planned to be produced cannot be burned. So all countries are now increasing their search, their production, also considering that it would be a problem if there are other countries that are being sold, for example. the last oil. Producer countries have to start talking at some point about how to manage this process. Is it appropriate for the government to initiate a process with other oil producers in order to discuss how to control that deceleration, so that one does not look for – and put in production – more oil and gas than what is actually possible to sell within climate targets?
