ParlaMint-NO_2021-10-20.ana.ud207e37	The representative, Kristoffer Robin Haug, will present a proposal for a representative.
ParlaMint-NO_2021-10-20.ana.ud207e8028	Let me first say that I very much appreciate the fact that the representative Solberg is back in Stortinget – welcome back, we appreciate that. So I can admit that a lot is good in Norway, a lot is going well, but when the representative Solberg saw until those degrees emphasize that all the arrows point in the right direction, I certainly believe that there is a subjective perception that needs some comments. Firstly, the pandemic is not over. The effects will continue to affect large parts of Norwegian business. Unemployment is still high, long-term unemployment is increasing. In the case of the trade balance: if oil and gas are left out, the deficit is thus far in the year 221 billion. kr, and it has not been sufficiently arranged for the Norwegian industry to participate in the green shift. Greenhouse gas emissions have virtually not moved. My question is: does the representative Solberg agree that these huge challenges are demanding, that they are not new, and that the government she herself led did too little to address these challenges?
ParlaMint-NO_2021-10-20.ana.ud207e8040	I agree that we still have too much time off, but the big challenge we have now is the mismatch between the skills that people have and the jobs that are. We have record high job creation and record high demand for labour. That is why I missed it as a clearer field of action in the government statement. For us, there was one of the two main initiatives we put forward in the throne: getting more people to work. So I would like to remind you of the numbers I gave in my post regarding the export income from mainland Norway, which has increased by 44 pst. if we look at the period from January to September this year measured against January to September in 2013. That means that we've made a big deal for it already, and the pace that the government advertised with a great deal of bravour, is the same pace we've had through a pandemic, through an oil price drop and through a difficult situation. I might have thought you'd increase your pace a little bit over the next ten years.
ParlaMint-NO_2021-10-20.ana.ud207e8047	With regard to the mismatch in the skills we currently have in the business world, the representative Solberg – who has not adapted his skills to the needs of the business community – must take a significant responsibility for it after eight years. That's the first one. The second is that we can't just measure the trade balance in growth from 2013 until today. We have to assume what are the realities. When the reality is a deficit of 221 billion. kr per September, that means that we are in a serious situation. As long as we know that oil and gas revenues are going to be reduced, we have to bring up the options, and then the efforts over the last eight years have been far too small in relation to the challenges of reality. Only one example of this is the recent discussions on high electricity prices, variability, etc. Then I register that the Right now is very concerned about it, but you can ask questions about what the previous government has done to prepare Norwegian power customers for the situation we are now experiencing. Did it come unprepared to represent Solberg?
ParlaMint-NO_2021-10-20.ana.ud207e8054	I have pointed out that the export ambitions are no greater than what we have delivered in the last eight years – the ambitions of the new government in relation to what we have delivered. I also want to point out that we have done extremely much in terms of competence policy. We've made sure that people who get unemployed can now take education while they get a day's pay. We have made sure to prepare the university and higher education sectors for targeted measures to enable them to cooperate more closely with business. We have delivered a big message about how we are going to create continuing training offers, and how we are going to build on it. We have a number of industry programmes, and we're going to follow this up. In the case of the issue related to electricity, it is such that we have answered yes to approx. 600 concessions during this period on small power, wind power and larger hydropower plants, where most of them are hydropower. It's been invested 60 billion. kr in the power grid during this period. We've prepared to build more power, and we've built better networks to make this better in the future.
ParlaMint-NO_2021-10-20.ana.ud207e8063	I want to start by thanking the representative of Solberg for his efforts as Prime Minister in the last eight years. It's worth staying a little bit with the government that's now gone off, which likes to call itself a business-friendly government. It was a government that swore to a neutral or passive industrial policy, where it was strongly warned against picking winners. The new government is in favour of an active enterprise policy. We then point out that the fishing industry is an industry with opportunities. Mineral nutrients must have a special policy for them. Travel is going to have a stake, and the maritime industry is going to work with the authorities to develop further. We're going to bet on sea wind, and we're going to take up the food. Then my question is: does the representative Solberg not see the value of an active industrial policy in which the state works with private people to develop concrete industries?
ParlaMint-NO_2021-10-20.ana.ud207e8070	Thank you for a nice review. I just want to say that in all the areas referred to here, this government has led an active policy. We have delivered on concessions for mineral extraction. We have delivered on our own travel life message. We've worked with a lot of travel through the pandemic. We have pursued an active industrial policy by focusing on good roads and infrastructure in Norway, by focusing on training people with skills that business needs, and by working closely with the instrument for innovation and innovation with new instruments, such as: Like catapults, to make sure we get it. In addition, we have built on research and development, and we have doubled the focus on nutrient research targeting many different areas to ensure that we have more legs to stand on in the future. What we have done is an active industrial policy. What this government announces is an activistic enterprise policy — an industrial policy in which one goes into and examines and governs in state-owned companies.
ParlaMint-NO_2021-10-20.ana.ud207e8077	I hope Right will support the active industrial policy of the government, and I feel that there is an industrial policy that also the industry itself is interested in. This government is based on important principles such as industrial freedom, private ownership and an active industrial policy. The previous government ended up becoming the first government to impose a ban on food in Norway. As a morning gift or a test, a ban was introduced on legal nutrition in Norway — fur nutrition. Combined with the fact that the Right, the Advance Party, the Christian People's Party and the Left failed to compensate the industry in four years, there has been a standing ban on nutrition. Then my question to Solberg's representative is: is she proud to have led the first government that imposed a ban on food in Norway?
ParlaMint-NO_2021-10-20.ana.ud207e8082	I believe it is important that we have taken important animal protection considerations in the fur animal industry. There's two ways to do it. You can set very strict rules – that's what our neighboring country has done, and that has meant that many have not been able to operate without compensation. We in the previous government chose a different line, where we agreed that we should not set very strict rules and make sure that people went out of business without being compensated, but where, on the contrary, we made sure that it was replaced. Then we've had a lot of discussions with Stortinget, that's absolutely right, about the level of compensation. My question back is: Is it so that the Center Party has been able to get through to cancel this now? Does this mean that it is free to feed fur animals, or is it that they intend to live with the policy of the previous government?
ParlaMint-NO_2021-10-20.ana.ud207e8089	The President will stress that it is a little reluctant to ask questions when it is not possible to answer.
ParlaMint-NO_2021-10-20.ana.ud207e8094	Let me first say thank you for the effort for eight years – and welcome back to Stortinget. The most important argument against the wealth tax is that it discriminates between Norwegian and foreign owners, and it makes it more attractive to be a foreign owner in Norway. I remember a Right who was very concerned about securing Norwegian companies the best framework conditions, and not least as good framework conditions as foreign competitors, but now Right goes in to more than triple the level of charges in Norwegian jobs by 2030. In the years ahead, Norwegian companies will pay a CO 2 tax of DKK 2 000 per tonne, while the estimated quota price in Europe, according to the Ministry of Finance, is approx. NOK 1000. The Progress Party is in favour of the polluter-pays principle, but a proposal to triple the CO 2 tax will soon be a recipe for job deflagration and reduced value creation in Norway. Then my question is to the representative of Solberg: why does the Right believe that Norwegian companies should have a double level of fees as our closest competitors in Europe?
ParlaMint-NO_2021-10-20.ana.ud207e8109	I believe it is absolutely essential that we take the climate challenges seriously, and that Norway should contribute to reducing climate emissions. We're going to do that as individuals in our consumption, and we're going to do that as businesses. I think it gives a competitive advantage to be early ahead with new technology, and that if they have green solutions in the future, it will be possible to make more profit in the market for businesses. Then we're going to create new markets for new types of energy. It's not possible to get hydrogen to penetrate the market if we don't have a higher price of fossil fuel. It is not possible to get to all the new technologies without actually costing more to pollute. Therefore, we are concerned that pollution should be more expensive, but it should be cheaper to engage in other activities. That is why we need good financial conditions. We need to facilitate taxation in other areas to ensure that conditions of competition do not deteriorate.
ParlaMint-NO_2021-10-20.ana.ud207e8114	The last Solberg government did before it resigned, was put forward a government budget that shows that the emissions gap to achieve the 2030 climate target is even greater than we thought, and even greater than the climate plan of the Solberg government provided. The measures proposed in this State budget and in the climate plan will not close the gap. The climate action of the previous government has not been good enough. This means that the problem is even bigger now. More emissions need to be cut faster. Internationally, too, there is impatience. Today, the UN is out saying that the world's planned fossil energy production is twice the level to reach the 1.5 degree target. Neither will the 2-degree target be achievable. The IEA has pointed out the same and the EU will ban exploration for oil and gas in Arctic areas. In Norway, on the other hand, we subsidise oil production. So how can the representative Solberg be satisfied with the efforts of the Solberg government on climate?
ParlaMint-NO_2021-10-20.ana.ud207e8120	Emissions have fallen in the last five years. The rate of emission reduction is increased by the measures implemented. We presented a plan in January, which has been dealt with in the Stortingen, which we believe also shows the direction forward. So it's true that because of the error of calculation that has been made on marine oil, such as on one source, the calculations back to 2012 have been incorrect in terms of climate emissions in Norway. The trend and decline have nevertheless been there, but emission miscalculations from 2012 are behind these changes. I fully agree that it is therefore important that we have good and strong instruments. That is why I really intend to congratulate Mr Kaski, who is the main partner of the government in budgetary terms, because this is a government which, in its government statement, primarily lowers the ambitions of the most important instrument, namely to praise CO 2.
