ParlaMint-NO_2021-06-02.ana.ud52e210	The representative, Mr Hemdal, will put forward a proposal for a representative.
ParlaMint-NO_2021-06-02.ana.ud52e483	The issue that Stortinget is now dealing with deals with important clarifications and changes in the Health Personnel Act and the Patient Records Act. These changes will facilitate cooperation and learning in health and care services and strengthen patient safety. Account has also been taken of the patient’s privacy and the need for flexibility in health and care services. The proposal opens the way for a specific treatment situation to be looked up in a patient’s journal to provide health care to another patient. The proposal must be seen in the context of the proposal for a new legal framework for the establishment of treatment-oriented health records with interpreted genetic variants across establishments. The proposals provide a basis for health professionals to examine whether genetic variant has been interpreted in the past, irrespective of the activity in which the gene variant has been interpreted. It will provide better interpretation of the individual gene variant, better diagnostics and more effective treatment. The proposal also includes a new provision on the exchange of patient information in the occupational health and safety community. The aim is to support health professionals in making decisions on health care and to ensure proper training of health professionals or to implement health care in their activities. The proposal makes it clear that the obligation of professional secrecy does not prevent healthcare professionals from exchanging patient information at morning meetings and in other interactions necessary for the implementation of health care in the establishment. The proposal is not limited to the internal working community. Work communities may also be established across levels of health and care services or across public and private activities. Personnel working e.g. in multidisciplinary teams, could be considered to be a health profession. The proposal facilitates the training of health professionals both internally and across establishments. A limited access to a patient’s file is proposed to find out whether information about the patient may be suitable for teaching. For the protection of the patient's privacy and because it includes confidentiality-related patient information, the proposal does not include the use of information without the patient's consent or any other waiver of professional secrecy. It is also proposed to clarify access to the waiver of professional secrecy, so that health information can be used for the development and use of clinical decision-making tools in healthcare, where health professional considerations so require. This is of major interest to society. The proposals in this proposition contribute to the development of the patient’s health service, and I am pleased that there is a majority in the committee that supports these changes.
ParlaMint-NO_2021-06-02.ana.ud52e502	It's going to be line change.
ParlaMint-NO_2021-06-02.ana.ud52e507	National audit simulated data interference resulted in a high level of control of ICT infrastructure in three out of four health regions. The national audit also obtained access to large amounts of sensitive health information in all healthcare professionals. In this case, we get a troubling comment from the Medical Association that they are not sure that personal information is taken care of. So my question to the Council of State is, with the experience you have, from both the National Audit Office's report and the situation and events that have been out of health care, how can you be sure that personal information does not get confused as a consequence of this change as well?
ParlaMint-NO_2021-06-02.ana.ud52e512	I think it's like two slightly different issues. This is about the access of healthcare professionals to patient information. There, of course, we depend on the integrated control mechanisms that are now in place, for example. that as patients we can go in and see in our electronic journal who has been inside and seen – that is very positive. But this is primarily about the culture of healthcare related to how to manage this kind of information. I generally see it as good among health professionals. There is a high level of awareness about the obligation of professional secrecy. With regard to the possibility of outsiders getting involved in our ICT systems, there is something that is constantly working to reduce the risk. It is also presented in the report to which the representative Toppe refers from the National Audit Office.
ParlaMint-NO_2021-06-02.ana.ud52e520	That's almost the same question. Hospitals have been leaking personal information in many of these cases. The duty of professional secrecy and the proposal of the government is good enough, but if the hospitals just taste good anyway, that's not good. What does the government do to get better systems, as the Medical Association has also requested? This government has run the country for eight years, and we've seen things that aren't good even now in the last year, so I hope that's the last year with this government. But I hope and want to know what the government is doing to build and get better IT systems in hospitals.
ParlaMint-NO_2021-06-02.ana.ud52e525	I am very uncertain about what the representative means that the hospitals like a sieve. I am not familiar with examples of personal data being balanced in this area. Examples of health professionals passing on or acquiring information that they should not have had about the patient are, unfortunately, the fact that our ICT systems are now making it more possible to discover it, while in the past, for example, was very difficult to track who had a paper file. But I almost have to ask the representative Wilkinson to clarify whether he believes that Norwegian hospitals like a sieve, because that is a very serious claim.
ParlaMint-NO_2021-06-02.ana.ud52e530	We've seen several things, for example. domestic, where personal information has been leaked. It's been very difficult. There were several issues in 2020, and I think the Council of State has seen it, before the Riks revision made this report. I also understand from those who work in hospitals, that many of the systems are old, that they need new, better systems. Therefore, I just want to ask: does the government have any plans to upgrade the IT systems in hospitals?
ParlaMint-NO_2021-06-02.ana.ud52e535	The last thing happens on a huge scale and has done it all the way. Where you have had the greatest challenges, you are in Health South-East, where you had big plans that were stopped, and where you lost time. Mr. Wilkinson is well aware of that. There is one thing I informed about in Stortinget. So that's enough in Health South-East you have the biggest needs, and where you've made a little more of a profit compared to the other health companies in that area. But there is a significant investment in ICT infrastructure in our hospitals. The example of the representative from the Inland region is an example from a postal record where, for a period of time, personal information was available but which was removed. But again – there’s something quite different than creating the impression that our hospitals like person-sensitive information like a sieve. I take that claim very far from it.
ParlaMint-NO_2021-06-02.ana.ud52e542	The cord shift is over. Several have not asked for the floor on case No. 3rd@item: inlistbox
ParlaMint-NO_2021-06-02.ana.ud52e561	At the request of the Health and Welfare Committee, the President will arrange the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, within the allocated speaking time, up to four lines of response will be given after contributions from members of the Government and those who have to sign up to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e568	Since 1995, Norway has participated in all EU health programmes. The programme we are discussing today was launched by the European Commission as part of a reconstruction package following the Korona outbreak in spring 2020. The EU4Health programme has as its overall objective the objective of contributing to the protection of European citizens from cross-border threats to health, improving the availability of medical devices, medicinal products and other crisis-related devices and contributing to the strengthening of the response and robustness of national health systems. EU4Health shall support actions contributing to more European self-production of medicinal products, medical devices and personal protective equipment, as well as to joint procurement and storage. There has been a written hearing in the matter, and no input has been received. A majority of the Committee supports the proposal of the Government. There is little doubt that the pandemic has become visible to us how dependent we are on international cooperation. Norway is a small country in the world, and we are vulnerable to supply. We are totally dependent on cross-border cooperation. Strengthening cooperation with the EU will be positive for Norway in several ways. Close ties with the EU will be important strategic in view of the future management of health crises and operational cooperation. Norwegian participation in such programmes will also be useful for Norwegian research communities. Previous participation in such programmes has proved to be very fruitful for Norway, and not least Norwegian researchers have much to contribute to European cooperation, which can benefit all countries.
ParlaMint-NO_2021-06-02.ana.ud52e579	The Corona outbreak and pandemic have shown us that we are totally dependent on having good cooperation with other countries in Europe. There is no doubt that it has put us to the test, and that this proposal, the programme in which we should participate, makes sense. What should be emphasised at the same time is that it could be good for everyone to get an overview of what the actual costs of what we have been involved in since 1995 have been. The Progress Party supports the proposal precisely because we are in a pandemic, and it would be quite unheard of not going into it, because it is also about preventing future crises. I would like to correct the proposal of the Progress Party. The new proposal reads as follows: ‘The government is asked to return to the Storting in an appropriate manner with a cost overview of all quotas, participations, projects and actions Norway is, or has been, part of the EU.’ We want this because it's the way that many streams grow up to be small. And it might be good for Stortinget to get such an overview.
ParlaMint-NO_2021-06-02.ana.ud52e593	The representative of Morten Stordalen then addressed the proposal he referred to.
ParlaMint-NO_2021-06-02.ana.ud52e598	The centre party does not currently support the consent to participate in the EU Regulation on Health Programmes. We are some of those who believe that cross-border cooperation in health policy is important, especially when we know that the main health challenges are cross-border: antibiotic resistance, pandemics and market supply failures. When it comes to this matter, we think it is completely unclear whether the programme involves extended powers for the European Commission compared to today, and we believe that this is also very little mentioned in the proposal. We also note that the Programme provides that the Commission may carry out the procurement of goods and services on behalf of the participating countries in the Programme and adopt acts to implement the objectives of the Programme. What this can mean by negative consequences for Norway is also not problematic. It is also a very important point for us not to support this today, and it is that the proposal for consent to include the fourth EU Health Programme in the EEA Agreement will be discussed in the Storting before the issue has been addressed by the EEA Committee. It is in the same way as with a number of other EEA cases in ours, but the Central Party believes on a general basis that matters should be dealt with in the EEA Committee before they are submitted to the Stortinget. Norwegian participation in the fourth EU Health Programme has potentially problematic aspects that have not been clarified. We think it is unclear what the consequences of inclusion in the EEA Agreement will be, especially if it involves the transfer of authority to the European Commission. We therefore see no reason to agree to this until the cases have been finally discussed in the EEA Committee. That's the background to the proposal we're making, which I'm now addressing. And then I'd like to inform you that the Center Party can support the proposal from the Progress Party.
ParlaMint-NO_2021-06-02.ana.ud52e611	The representative Kjersti Toppe then addressed the proposal from the centre party and the SV to which she referred.
ParlaMint-NO_2021-06-02.ana.ud52e616	We have an EEA Committee to deal with EEA matters in order to get good information before we bring in new laws. SV cannot accept urgent legal proceedings without the law being dealt with by the EEA Committee which we have decided to have. We propose to send the whole law back, so that we can process the law well later. SV supports the proposal of the Progress Party in the case since it has been amended.
ParlaMint-NO_2021-06-02.ana.ud52e621	I will first be allowed to thank the President-in-Office for a good cooperation in the course of this matter. I am very grateful that Norway, a small country outside the EU, is allowed to participate in just those types of programmes from the beginning of the process in order to be able to participate in the influence. We should be there from the very beginning because we can affect the device etc. and do not miss out on the first releases. So to the proposal: Personally, I think it would have been more interesting to know what it would have cost Norway if we weren't involved in just these programs. Therefore, the Labour Party does not support the proposal in the case of the Progress Party.
ParlaMint-NO_2021-06-02.ana.ud52e628	The Covid-19 pandemic has shown the ring-effects of a health crisis on all parts of society, locally, nationally and globally. The pandemic has shown how dependent Norway is on cooperation with the EU. Acquisitions of vaccines are just one example. As the EU develops and equips itself for future health threats, it is important for Norway to participate in order to reduce our vulnerability. The new EU Health Programme, EU4Health, is an important element in this strengthening of European health preparedness. The programme is more than ten times as large as the previous health programme. The Programme has overall objectives of contributing to the protection of European citizens from cross-border threats to health, improving the availability of medical devices, medicinal products and other crisis-related devices and contributing to the strengthening of the response and robustness of national health systems. Participation in EU4Health will be an important contribution to strengthening Norwegian preparedness for cross-border threats to health. Participation will also promote European cooperation on common public health challenges and contribute to achieving the UN’s sustainability objectives on good health and quality of life and the global objectives of preventing and limiting non-infectious diseases. The Health Programme will finance a number of practical actions, including the EU's ambitious cancer plan. Experience from the pandemic shows that in many areas Norway is dependent on the European joint solutions. When the EU now strengthens its efforts to address future health crises, this is something that Norway should participate in. The Ministry of Health and Health is in the process of establishing an enhanced governance model to ensure that we get as much back for our participation in this important programme. Norway has cooperated closely with the EU on health since the conclusion of the EEA Agreement and has participated in all EU health programmes. EU4Health is a cooperation programme similar to the previous programmes. Health policy remains a national competence. Participation in previous health programmes has been useful for Norway. Norwegian trade unions have contributed to further development and research in important fields. Norwegian participation in the EU Health Programme EU4Health represents a strategic choice for further Norwegian links with the EU's strengthened health preparedness and preventive health work. The corona pandemic has shown the importance of European cooperation, and no country can cope with such major health crises on its own. With long-term public health challenges, we benefit greatly from European cooperation. Norwegian participation has been considered very important, and I am very pleased that a majority in the Committee has joined in the vote on the motion for a resolution.
