Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	OsmanOktay.Ekşi	Ekşi, Osman Oktay	M	1932	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0006par0111	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	OsmanOktay.Ekşi	Ekşi, Osman Oktay	M	1932	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0007par0170	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Bekir.Bozdağ	Bozdağ, Bekir	M	1965	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0006par0171	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	OsmanOktay.Ekşi	Ekşi, Osman Oktay	M	1932	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0008par0175	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Yahya.Akman	Akman, Yahya	M	1966	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0007par0176	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Bekir.Bozdağ	Bozdağ, Bekir	M	1965	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0006par0177	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	OsmanOktay.Ekşi	Ekşi, Osman Oktay	M	1932	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0008par0178	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Yahya.Akman	Akman, Yahya	M	1966	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0006par0179	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	OsmanOktay.Ekşi	Ekşi, Osman Oktay	M	1932	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0008par0182	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Yahya.Akman	Akman, Yahya	M	1966	
ParlaMint-TR-en_2011-06-28-tbmm-T24	tbmm-2011-06-28sit02spe0006par0183	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 1, Session 1	2011-06-28	Unicameralism	24	1	1	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	OsmanOktay.Ekşi	Ekşi, Osman Oktay	M	1932	
